Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.7061863038100205,2.553668793042983,3.1961631901888135,2.0989210798456823,14.623091507921355,20.661974230640837,1.4158404049831266,6.096986981202587,5.943159120844142,7.987433450050238,4439.15185546875,286.0533142089844,3663.647705078125,2713.05908203125,1603.412841796875,5514.18994140625,1249.2386474609375,1928.3280029296875,4658.40087890625,1913.562255859375,3223.676513671875,487.8915100097656,2088.952880859375,884.30322265625,756.507080078125,2645.424560546875,272.0493469238281,1300.92822265625,4055.207275390625,4191.69873046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03333333507180214,0.03921568766236305,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.037254903465509415,0.03333333507180214,19.417522430419922,-42.20703887939453,19.723529815673828,19.417522430419922,-42.20703887939453,19.723529815673828,19.417522430419922,-42.20703887939453,19.723529815673828,19.164108276367188,-42.27438735961914,19.90120506286621,19.164108276367188,-42.27438735961914,19.90120506286621,19.164108276367188,-42.27438735961914,19.90120506286621,19.575063705444336,-42.14092254638672,19.88654899597168,20.112159729003906,-42.24336242675781,19.502906799316406,20.112159729003906,-42.24336242675781,19.502906799316406,19.265357971191406,-42.34968948364258,19.834156036376953,10.670199842217182,17.371898822517718,-1.0,0.003854895104895105,2.5,0.0,10.08,64
L-1:2,2.4428847085900083,11.475405795021658,8.243650688388778,7.994698729792636,4.064124471888463,2.2539604087947205,5.24513328823139,5.0681139205409425,8.577126743044065,4.135958440474877,3335.517333984375,957.587646484375,1143.5477294921875,1908.000244140625,813.6911010742188,1000.46435546875,628.8694458007812,1458.763427734375,3632.4501953125,2117.0517578125,3077.797119140625,474.958740234375,2651.177978515625,1317.7122802734375,65.1333236694336,2351.609619140625,680.2874145507812,2502.554931640625,2009.2813720703125,1795.924560546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03333333507180214,0.0313725508749485,0.005882353521883488,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.037254903465509415,0.037254903465509415,0.037254903465509415,21.179431915283203,-41.35664749145508,16.263151168823242,21.179431915283203,-41.35664749145508,16.263151168823242,21.055646896362305,-41.511478424072266,16.118892669677734,20.801753997802734,-41.76363754272461,16.17840576171875,20.37516212463379,-41.94304656982422,18.29669761657715,20.241498947143555,-41.2831916809082,17.282941818237305,20.241498947143555,-41.2831916809082,17.282941818237305,20.703020095825195,-41.492923736572266,17.003257751464844,21.050491333007812,-41.41831588745117,16.530637741088867,21.050491333007812,-41.41831588745117,16.530637741088867,10.280421817897661,6.9113807936067175,-1.0,0.004475607135181603,0.0,0.0,11.9,64
L-1:3,0.8283668021099654,5.976283495147882,1.6873830351095809,7.224891159524469,2.1393942498284524,15.601799303606292,7.841753683582774,6.591880814089796,6.943901468216543,1.9134289493399192,2443.185302734375,328.2593994140625,2591.436767578125,1398.4298095703125,1934.725830078125,6525.02490234375,438.51568603515625,4152.65576171875,0.0,0.0,4573.95849609375,497.4630126953125,2771.1376953125,1095.1724853515625,681.8186645507812,2349.804931640625,556.6907348632812,2347.33349609375,1644.611572265625,1543.41845703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.04313725605607033,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03333333507180214,0.03529411926865578,0.0470588281750679,0.0313725508749485,22.379045486450195,-41.20408248901367,14.961312294006348,22.41265106201172,-41.4094123840332,14.890958786010742,22.41265106201172,-41.4094123840332,14.890958786010742,22.41265106201172,-41.4094123840332,14.890958786010742,21.463428497314453,-41.65208053588867,16.069978713989258,21.422399520874023,-41.693363189697266,16.013761520385742,21.568307876586914,-41.158504486083984,15.490723609924316,21.568307876586914,-41.158504486083984,15.490723609924316,22.255224227905273,-41.190338134765625,15.024565696716309,22.255224227905273,-41.190338134765625,15.024565696716309,6.634180006628669,5.136942554462782,-1.0,0.0043709825528007356,4.75,0.0,10.88,4
L-1:4,6.724947461912139,2.601252278168159,17.020645342855634,20.04687294878639,17.629399886025777,3.258431282099699,17.17469830224703,13.826409909108582,8.878081809746766,7.470714911932179,6636.68359375,1064.8927001953125,3043.36328125,3809.486328125,1111.398193359375,5303.6806640625,1393.1446533203125,5493.5732421875,3198.13232421875,1298.82470703125,869.69189453125,365.35565185546875,5901.388671875,2392.277099609375,1226.214599609375,5154.69189453125,4280.6142578125,6371.75830078125,5283.8916015625,5049.6904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.03333333507180214,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.027450982481241226,29.16531753540039,-39.97723388671875,4.343273162841797,29.16531753540039,-39.97723388671875,4.343273162841797,29.16531753540039,-39.97723388671875,4.343273162841797,28.821762084960938,-40.286460876464844,4.5656890869140625,28.821762084960938,-40.286460876464844,4.5656890869140625,28.524436950683594,-40.49060821533203,4.5860595703125,28.56020164489746,-40.03081130981445,4.689172744750977,28.64537239074707,-40.0939826965332,4.6041765213012695,28.64537239074707,-40.0939826965332,4.6041765213012695,28.64537239074707,-40.0939826965332,4.6041765213012695,15.407938092892705,17.62798211917336,-1.0,0.002648158803222094,2.75,5.08,7.89,68
L-1:5,11.440236082241993,18.17359390051798,13.971491014794582,3.253858585988099,13.002939416902041,4.8255806054745,10.21782301528162,5.10146114998913,15.574978282300288,14.696309568420022,4336.62158203125,1067.07177734375,3086.330810546875,2276.877197265625,1211.5660400390625,3693.109619140625,35.88459014892578,1336.3328857421875,6607.04931640625,5051.19677734375,6649.7353515625,1267.961181640625,5204.69140625,2147.29248046875,162.37254333496094,3686.290771484375,2250.43701171875,3779.331298828125,2901.09619140625,3273.233642578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.03529411926865578,0.0313725508749485,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.03529411926865578,0.03333333507180214,0.0313725508749485,0.0313725508749485,29.25737190246582,-40.73735427856445,3.8144774436950684,29.240869522094727,-40.65745162963867,3.7351205348968506,29.240869522094727,-40.65745162963867,3.7351205348968506,28.858543395996094,-40.79508972167969,4.083040714263916,28.858543395996094,-40.79508972167969,4.083040714263916,28.83673095703125,-40.851741790771484,3.983368396759033,28.83673095703125,-40.851741790771484,3.983368396759033,28.83673095703125,-40.851741790771484,3.983368396759033,29.25737190246582,-40.73735427856445,3.8144774436950684,29.25737190246582,-40.73735427856445,3.8144774436950684,8.647167302062192,13.464033575987314,-1.0,0.003091021881344462,2.25,0.0,7.83,64
L-1:6,7.646807644028676,7.249476582934012,9.927700281447905,10.53295262300416,3.6384861338180756,8.152896820302585,4.244369803026189,12.32991142565213,17.970929377069567,3.5817955974003532,2894.2041015625,468.468505859375,4386.8740234375,2950.551025390625,3066.599365234375,5246.72998046875,1632.1212158203125,3879.208251953125,3344.91357421875,991.4146728515625,3733.7158203125,108.08006286621094,3123.89013671875,1318.7750244140625,129.48617553710938,3602.05859375,939.6705322265625,2690.57421875,1797.8642578125,3684.884765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.029411766678094864,0.03529411926865578,0.03921568766236305,0.027450982481241226,0.0313725508749485,29.513931274414062,-40.44547653198242,3.7338502407073975,29.513931274414062,-40.44547653198242,3.7338502407073975,29.4782772064209,-40.58332061767578,3.77935791015625,29.4782772064209,-40.58332061767578,3.77935791015625,29.4782772064209,-40.58332061767578,3.77935791015625,29.3448429107666,-40.73101043701172,3.7905654907226562,29.3448429107666,-40.73101043701172,3.7905654907226562,29.489337921142578,-40.57194519042969,3.7754085063934326,29.489337921142578,-40.57194519042969,3.7754085063934326,29.489337921142578,-40.57194519042969,3.7754085063934326,11.76250960606052,6.737020577628786,-1.0,0.004293148880105402,4.5,0.0,9.31,76
L-1:7,2.3237632497457956,2.7765963899811714,3.546260384862188,13.939680299861807,15.273090943507954,4.625851114676763,4.941535067920452,13.27726839008938,7.703406248534195,6.4955736182641886,3765.089599609375,933.5670776367188,1951.5208740234375,1641.7191162109375,2444.992919921875,2488.501953125,1201.4931640625,7302.5341796875,4602.64404296875,2051.4462890625,4399.84423828125,1221.806640625,2459.661865234375,1989.693603515625,148.3509063720703,3060.927734375,265.18792724609375,2835.8623046875,2769.199462890625,1630.23046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0470588281750679,0.03529411926865578,0.037254903465509415,0.0313725508749485,0.03333333507180214,0.0313725508749485,0.03529411926865578,29.553808212280273,-40.37440872192383,3.245246171951294,29.677581787109375,-40.40504455566406,3.138610363006592,29.4713077545166,-40.63821029663086,3.4883267879486084,29.37961196899414,-40.70796585083008,3.4887852668762207,29.37961196899414,-40.70796585083008,3.4887852668762207,29.37961196899414,-40.70796585083008,3.4887852668762207,29.293415069580078,-40.67518615722656,3.4171717166900635,29.293415069580078,-40.67518615722656,3.4171717166900635,29.293415069580078,-40.67518615722656,3.4171717166900635,29.553808212280273,-40.37440872192383,3.245246171951294,11.53494459888794,7.3669056518093115,-1.0,0.0038524048625792813,3.0,0.0,8.33,68
L-1:8,21.094066204950572,4.914988408435846,8.304158900960717,6.47694612798126,7.864417999004355,24.91981961853971,17.221344753481468,19.676931848767147,18.156845903881415,3.066156954941834,3303.50244140625,1077.998291015625,1025.96630859375,2469.560302734375,1133.610595703125,4142.97265625,719.9006958007812,5523.68896484375,2837.727783203125,329.810302734375,4344.3056640625,285.6331787109375,2862.52001953125,1297.7744140625,511.4208068847656,3341.474365234375,244.79791259765625,2797.363525390625,2147.586669921875,2433.300537109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03333333507180214,0.027450982481241226,0.03529411926865578,0.03921568766236305,0.03333333507180214,0.0313725508749485,0.029411766678094864,0.027450982481241226,0.0313725508749485,30.00624656677246,-41.995994567871094,2.9889767169952393,29.97385597229004,-42.14712905883789,3.0173895359039307,29.75076675415039,-41.82817077636719,2.9006052017211914,29.624149322509766,-41.81869888305664,2.9482927322387695,29.624149322509766,-41.81869888305664,2.9482927322387695,29.624149322509766,-41.81869888305664,2.9482927322387695,29.528270721435547,-41.92039489746094,3.078799247741699,29.528270721435547,-41.92039489746094,3.078799247741699,29.837289810180664,-42.00699234008789,3.0181655883789062,30.00624656677246,-41.995994567871094,2.9889767169952393,4.704812187638021,17.570967003642583,-1.0,0.003929861529199277,6.25,4.27,11.19,68
L-1:9,10.863366404792549,3.2772946890965566,5.2852415598153,2.1278311709299924,3.9329394395986594,16.093575545170967,6.773019429691791,4.417583093768056,6.896845573215214,4.725588464327103,4875.29931640625,787.8758544921875,2304.42431640625,3016.78515625,1730.072509765625,3996.0380859375,1010.4671020507812,3177.80419921875,4342.28076171875,2221.11083984375,4225.4560546875,1085.19775390625,2179.89111328125,861.7059936523438,662.4616088867188,2521.273193359375,252.69021606445312,2260.1318359375,3121.503662109375,4396.54345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.03333333507180214,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.029411766678094864,30.551132202148438,-43.494728088378906,2.172015428543091,30.551132202148438,-43.494728088378906,2.172015428543091,30.459257125854492,-43.48186492919922,2.2516534328460693,30.459257125854492,-43.48186492919922,2.2516534328460693,30.459257125854492,-43.48186492919922,2.2516534328460693,30.446413040161133,-43.633060455322266,2.3793697357177734,30.446413040161133,-43.633060455322266,2.3793697357177734,30.78809928894043,-43.61365509033203,2.3424744606018066,30.78809928894043,-43.61365509033203,2.3424744606018066,30.551132202148438,-43.494728088378906,2.172015428543091,9.33697876809566,16.492225297561724,-1.0,0.003798614487117161,6.0,0.0,8.93,68
L-1:10,2.357359574829233,6.054142804454418,3.466044954944694,1.451864524534584,5.600267449384729,13.896891601772184,13.13862791981275,4.976616334527545,7.100351554713523,9.76405200130846,1557.4580078125,1008.0652465820312,2990.376220703125,422.7374572753906,463.6313171386719,4061.22021484375,1026.8790283203125,3443.163818359375,3135.75537109375,3695.331787109375,3558.0546875,254.42298889160156,1541.301025390625,1656.081298828125,498.73089599609375,3165.268798828125,329.3419494628906,3631.79345703125,1747.77978515625,1115.364013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03333333507180214,0.029411766678094864,0.037254903465509415,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.0313725508749485,0.029411766678094864,0.029411766678094864,30.9649600982666,-43.280094146728516,1.7233706712722778,30.9649600982666,-43.280094146728516,1.7233706712722778,30.915563583374023,-43.39091873168945,1.7542134523391724,30.915563583374023,-43.39091873168945,1.7542134523391724,30.915563583374023,-43.39091873168945,1.7542134523391724,30.962121963500977,-43.44343948364258,1.7315750122070312,30.962121963500977,-43.44343948364258,1.7315750122070312,30.955141067504883,-43.45121383666992,1.8148688077926636,30.955141067504883,-43.45121383666992,1.8148688077926636,31.114404678344727,-43.37101745605469,1.8348737955093384,12.61118656272182,6.403603571447386,-1.0,0.004155027932960894,7.0,0.0,9.35,36
