Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.1711142837437685,5.6271790669676385,5.629701339153738,0.6787429341827318,1.968753032437867,3.770168558198499,5.06871099262933,3.0914872177787474,1.105008534258236,0.9536108719537458,615.1836547851563,18.722373962402344,609.524169921875,349.6944580078125,64.25460052490234,659.6788940429688,204.63766479492188,563.8765869140625,340.10162353515625,293.87042236328125,787.0520629882813,50.4242057800293,839.7960815429688,500.45245361328125,360.4651794433594,846.5687255859375,200.66482543945313,873.9376831054688,568.555908203125,386.17388916015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.86114501953125,-23.07497215270996,-8.778343200683594,156.06219482421875,-22.69123077392578,-7.882909297943115,155.025390625,-23.35938835144043,-9.646254539489746,154.9534912109375,-23.178058624267578,-9.9908447265625,154.8931884765625,-23.472387313842773,-10.278011322021484,155.0194091796875,-23.601030349731445,-10.435349464416504,155.11077880859375,-23.15374755859375,-10.294999122619629,155.06365966796875,-23.101707458496094,-10.003275871276855,155.05950927734375,-22.99411964416504,-9.636738777160645,155.2882080078125,-22.95061683654785,-9.447460174560547,7.049654004451009,7.594589540304505,1.0,0.015952762923351158,0.3333333432674408,0.0,25.57,32
L-1:2,0.16342306677913593,0.3271651687841896,2.9543689383285,0.5379417733451654,9.503209522088488,0.9769049126132642,5.014993968588515,2.692903567575248,2.0396546499930848,1.3282527966279298,830.4663696289063,34.81340789794922,749.29248046875,457.84747314453125,0.0,0.0,222.541259765625,920.2191162109375,496.38409423828125,389.8299865722656,705.8710327148438,133.0263214111328,814.5490112304688,666.7720947265625,301.8846435546875,745.6871948242188,237.43222045898438,1020.1480712890625,757.0901489257813,798.7389526367188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.758544921875,-22.954200744628906,-8.8871488571167,155.73846435546875,-22.9488525390625,-8.797683715820313,155.81011962890625,-22.874526977539063,-8.569206237792969,155.26318359375,-22.225881576538086,-9.22137451171875,155.31170654296875,-22.313175201416016,-9.433905601501465,155.49658203125,-22.530399322509766,-9.494003295898438,155.48565673828125,-22.554826736450195,-9.327622413635254,155.4696044921875,-22.772401809692383,-9.16724681854248,155.4378662109375,-22.88865089416504,-9.023902893066406,155.5826416015625,-23.028352737426758,-9.074501991271973,5.942649133397799,7.357186294722102,1.0,0.013533193779904305,0.0,0.0,25.86,108
L-1:3,2.2111585901216775,5.777767965039621,2.4152228384492687,4.164149989427281,11.05747252546479,9.85089311216648,1.5585838769876266,1.1736105228037979,2.0879553151642876,4.295872844709193,792.0904541015625,3.497392177581787,746.4681396484375,588.6470947265625,306.6549377441406,586.52197265625,157.76820373535156,1103.1962890625,651.9927368164063,539.842529296875,928.4235229492188,41.592247009277344,1025.180908203125,881.5552978515625,428.0841064453125,969.934326171875,294.2550048828125,1095.3193359375,1170.196044921875,790.546142578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.9761962890625,-21.991256713867188,-8.255671501159668,155.60882568359375,-21.941251754760742,-8.983556747436523,155.4705810546875,-21.920307159423828,-9.141158103942871,155.341552734375,-21.693857192993164,-9.2949857711792,155.2696533203125,-21.92190170288086,-9.507431030273438,155.2874755859375,-22.103370666503906,-9.371966361999512,155.2952880859375,-21.960586547851563,-8.984882354736328,155.31695556640625,-22.135059356689453,-8.697203636169434,155.44903564453125,-22.40549659729004,-8.609648704528809,155.79620361328125,-22.220277786254883,-8.429060935974121,5.7606299468780735,4.9747007223209225,1.0,0.011941460055096418,1.666666716337204,0.0,24.77,36
L-1:4,12.893331128630562,7.050030572520675,4.841078835576546,3.748177105960226,1.7503347490811638,8.05860461807687,10.629807694569182,20.55579590819473,24.35647139017036,19.62298544461411,583.5737915039063,61.66632843017578,911.6829833984375,376.24114990234375,359.630126953125,1180.939453125,311.71026611328125,1029.0347900390625,612.8931274414063,452.9100646972656,660.6512451171875,71.50884246826172,396.1543884277344,278.5579833984375,49.92886734008789,411.79034423828125,179.68824768066406,554.9716186523438,624.557373046875,598.9240112304688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.75274658203125,-22.561508178710938,-9.22073745727539,155.83978271484375,-22.607288360595703,-9.257375717163086,155.85552978515625,-22.492162704467773,-9.36662769317627,155.85552978515625,-22.492162704467773,-9.36662769317627,155.71319580078125,-22.70063591003418,-9.639627456665039,155.70025634765625,-22.767417907714844,-9.61929988861084,155.7120361328125,-22.812679290771484,-9.66623592376709,155.5816650390625,-21.831750869750977,-9.065315246582031,155.597412109375,-22.197484970092773,-9.087203979492188,155.597412109375,-22.197484970092773,-9.087203979492188,14.55449264319142,8.448698944117716,1.0,0.014793294940353764,12.000000357627869,3.52,20.55,68
L-1:5,6.587979681306473,9.705869440283001,5.308677082411201,1.9197538140925225,2.5803219007320624,1.94079868852804,5.328931355169121,5.411018556748116,7.388915812311927,5.958424867413555,814.7747802734375,2.4372875690460205,647.7202758789063,540.8094482421875,442.9349060058594,842.7982788085938,189.98684692382813,1201.6923828125,909.5929565429688,517.6351318359375,970.52001953125,39.7526741027832,0.0,0.0,229.42286682128906,794.8853759765625,244.5846710205078,930.7866821289063,658.8677368164063,575.7905883789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.16552734375,-21.598201751708984,-8.562641143798828,158.22662353515625,-21.57638931274414,-8.57978630065918,158.27911376953125,-21.532873153686523,-8.67618179321289,158.305419921875,-21.513835906982422,-8.763885498046875,158.35308837890625,-21.52259635925293,-8.876784324645996,158.319580078125,-21.702404022216797,-8.795791625976563,158.41485595703125,-21.797237396240234,-8.409734725952148,157.82586669921875,-21.522296905517578,-8.66647720336914,157.883056640625,-21.551715850830078,-8.628360748291016,157.97991943359375,-21.66270637512207,-8.588857650756836,2.9898738387312287,6.242973749329117,1.0,0.012630078924291143,3.6666667759418488,0.0,24.69,100
L-1:6,0.7620225457107445,1.4477112408511585,8.329568154320299,9.753083793821167,8.829422030854085,3.8626178373082367,1.4546753161629578,0.5686490573878301,0.7963101341720861,0.4398469680235853,853.78076171875,75.04664611816406,796.775146484375,478.2310791015625,237.22950744628906,622.785888671875,224.56060791015625,617.2909545898438,213.02293395996094,236.196044921875,566.7073364257813,41.16844940185547,823.7007446289063,572.6554565429688,267.01507568359375,672.7430419921875,272.4217529296875,921.6906127929688,665.331787109375,714.8826904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.00860595703125,-19.666378021240234,-7.917229652404785,158.9847412109375,-19.60828399658203,-8.077857971191406,158.8450927734375,-19.487707138061523,-8.25228500366211,158.83294677734375,-19.267230987548828,-8.620469093322754,158.64697265625,-19.487871170043945,-8.672107696533203,158.56536865234375,-20.440759658813477,-8.553153038024902,158.6187744140625,-20.56798553466797,-8.497693061828613,158.58782958984375,-20.9966983795166,-8.29132080078125,158.5704345703125,-19.876537322998047,-7.9800214767456055,158.5704345703125,-19.876537322998047,-7.9800214767456055,4.022321439614413,9.886609609079343,1.0,0.016054737516005124,2.0000000596046448,0.0,28.66,108
L-1:7,3.806841367748414,0.4671370925870357,6.477550591411614,3.8304560471306903,6.447960812368295,2.1728935025382157,3.4621769331969996,1.0201353554550094,7.3266354275192835,1.309615100619525,1123.4571533203125,35.59320831298828,573.1223754882813,477.8681640625,273.6844177246094,527.193603515625,374.7480773925781,686.9675903320313,421.7185974121094,492.9996032714844,700.4000854492188,120.35752868652344,728.0137329101563,497.6029968261719,242.17300415039063,678.7438354492188,240.0252227783203,987.68603515625,856.7843627929688,497.8518371582031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.913818359375,-20.749521255493164,-8.484375,159.13946533203125,-20.490497589111328,-8.504695892333984,158.9886474609375,-20.505720138549805,-8.703961372375488,158.9012451171875,-20.31371307373047,-8.969429016113281,158.8992919921875,-20.262954711914063,-9.002586364746094,159.065185546875,-20.079864501953125,-8.725278854370117,159.1490478515625,-19.916584014892578,-8.484920501708984,159.095703125,-20.264026641845703,-8.354403495788574,158.881591796875,-20.606319427490234,-8.063169479370117,158.86614990234375,-20.871566772460938,-8.07933235168457,6.09091608611431,6.6645734271334165,1.0,0.014380367189813444,1.3333333730697632,0.0,27.75,108
L-1:8,9.629234169494092,12.536395386163381,12.50383582286161,6.543875412112907,0.9215269359679739,5.851896312971273,8.232034644013988,8.505719331949406,16.218732689625664,13.66340445500342,638.3175659179688,207.69688415527344,1019.2071533203125,783.5013427734375,350.2950134277344,947.8524169921875,276.0679016113281,953.8779907226563,653.454833984375,442.84417724609375,768.1456909179688,30.296022415161133,823.2545166015625,508.85650634765625,2.7734562172554433E-4,700.8428344726563,176.8024444580078,883.231201171875,839.8582763671875,776.3538208007813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.09619140625,-20.50010108947754,-8.153203964233398,159.1314697265625,-20.21312713623047,-8.232048034667969,159.06207275390625,-20.180633544921875,-8.382518768310547,159.06024169921875,-20.355674743652344,-8.734212875366211,159.0230712890625,-20.31649398803711,-8.758133888244629,158.95654296875,-20.540950775146484,-8.580207824707031,158.95654296875,-20.540950775146484,-8.580207824707031,159.06884765625,-21.209627151489258,-8.376482009887695,158.93914794921875,-20.43732452392578,-7.942132472991943,158.93914794921875,-20.43732452392578,-7.942132472991943,11.764380627383854,8.132225904014664,1.0,0.012192874692874694,10.000000298023224,4.08,19.85,108
L-1:9,2.877147547138315,3.2751652912142086,3.78657320834877,10.856533229824617,11.742995575384763,2.0990651274951206,4.413643720393138,2.6768839973138037,6.544709661241627,6.495278012962567,1003.8779296875,89.37863159179688,924.7965698242188,448.7904968261719,290.171875,526.2410278320313,114.44256591796875,692.6038208007813,646.2733154296875,385.2924499511719,727.2238159179688,113.83634185791016,624.6203002929688,470.211669921875,212.3171844482422,581.9338989257813,261.27691650390625,646.0003662109375,757.8128051757813,635.139404296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.29595947265625,-19.530729293823242,-8.081138610839844,159.29595947265625,-19.530729293823242,-8.081138610839844,159.369140625,-19.01308250427246,-8.898521423339844,159.4007568359375,-18.682056427001953,-9.207571029663086,159.34130859375,-18.728038787841797,-9.661542892456055,159.3790283203125,-18.816722869873047,-9.254410743713379,159.20703125,-18.661466598510742,-8.764314651489258,159.0712890625,-18.832908630371094,-8.394315719604492,159.06256103515625,-19.280080795288086,-8.078489303588867,159.2183837890625,-19.52263832092285,-8.166738510131836,6.715719827314628,12.836755522302656,1.0,0.014032882011605415,1.0000000298023224,0.0,29.02,4
L-1:10,1.8977731160743576,1.0194736230484016,8.847045306497527,3.1134393070844744,2.9834183897057445,1.6231599488126565,4.923877876960253,4.519121119032672,7.246359782947176,4.365649451971988,759.2872314453125,28.590452194213867,986.581787109375,531.6826171875,233.12527465820313,645.137939453125,383.1061706542969,822.6311645507813,564.7708129882813,492.82342529296875,923.727783203125,64.07307434082031,1020.1941528320313,654.2269287109375,137.8497314453125,851.421630859375,273.16595458984375,843.3958740234375,728.4497680664063,737.2030639648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.6473388671875,-20.023685455322266,-8.733074188232422,159.6473388671875,-20.023685455322266,-8.733074188232422,159.7236328125,-19.947477340698242,-8.777071952819824,159.7281494140625,-19.650009155273438,-9.00112533569336,159.61651611328125,-19.96888542175293,-8.883103370666504,159.61651611328125,-19.96888542175293,-8.883103370666504,159.52813720703125,-19.46908187866211,-9.398673057556152,159.177490234375,-19.647865295410156,-8.973647117614746,159.21246337890625,-19.982934951782227,-8.61319637298584,159.3912353515625,-20.047521591186523,-8.68161392211914,5.300765928226572,7.372812266683113,1.0,0.013081523739418476,0.6666666865348816,0.0,20.31,108
