Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.800667101065251,5.000807326103227,11.369779508610174,6.341006466900149,0.15289602487501466,6.229545493334393,8.498178000070133,5.556132858036821,11.131394621704576,5.449847812849331,299.8771057128906,46.32842254638672,235.07078552246094,194.5796661376953,118.90137481689453,694.4819946289062,75.01195526123047,465.7127380371094,92.08475494384766,81.49517822265625,239.60450744628906,38.391292572021484,317.4536437988281,376.8119812011719,203.97752380371094,452.9104919433594,184.88169860839844,405.6772155761719,236.7954559326172,268.6488952636719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.1098039299249649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051176615746829,3.4768444881244305,1.0,0.031059299895506792,4.5,0.0,33.97,96
L-1:2,0.8464206154273497,6.540503938085212,3.3077831005758145,7.02424232473641,1.495601566918257,1.8854419542341507,6.271882229978997,4.0308313174886194,9.389742008106621,3.1200150432262013,634.8201293945312,103.90616607666016,337.06451416015625,308.4835205078125,178.02049255371094,435.2227478027344,162.77981567382812,482.2050476074219,502.8631286621094,225.07223510742188,412.35235595703125,69.71389770507812,539.4630737304688,172.36138916015625,163.62718200683594,980.7788696289062,224.35487365722656,689.352783203125,488.520263671875,605.706298828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.376594404044606,8.82896600137909,1.0,0.020962566844919785,3.5,0.0,22.4,68
L-1:3,8.412567289398241,6.2291988210087155,4.402018181694423,1.1807844392272244,0.9873226722021621,2.740472108327941,1.6707693554114178,5.705217225517862,14.389920205435056,0.4162609727116557,325.9927673339844,52.57733154296875,532.0531005859375,351.5732727050781,143.71380615234375,418.2069091796875,129.47955322265625,401.80108642578125,417.2021484375,208.52000427246094,473.64093017578125,54.240623474121094,597.8521118164062,293.4462585449219,77.08289337158203,882.899169921875,247.0631866455078,813.0059814453125,128.82920837402344,114.46724700927734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.779796947629688,6.483287143376643,1.0,0.023347381095725466,4.5,0.0,22.16,68
L-1:4,9.66680969347965,10.918084636229459,1.916018226888681,6.298399394132139,3.9203481143424126,2.2030625173825804,3.631750696557499,12.873795611325061,15.090657193003386,9.000154084656696,914.0173950195312,257.2971496582031,836.5310668945312,980.9169921875,142.5263214111328,1047.468994140625,0.0,0.0,385.9866027832031,367.9444885253906,605.2051391601562,31.775959014892578,516.8583374023438,480.6665344238281,158.72369384765625,853.7310791015625,253.74563598632812,648.267333984375,607.9810180664062,614.1377563476562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4340379142780684,7.850513733206055,1.0,0.016689905186837703,4.0,4.92,17.1,100
L-1:5,11.074721716683152,5.044912001828877,0.31616561632997836,8.253029958403653,2.7380396379797083,10.234438513386277,10.143309764493495,9.956696644378258,1.9226031176015148,8.204400624588526,809.7175903320312,80.77753448486328,621.5857543945312,505.33514404296875,0.027250217273831367,63.223915100097656,114.88424682617188,524.3161010742188,410.25408935546875,201.96290588378906,600.8172607421875,53.42143630981445,501.460205078125,127.14539337158203,229.99847412109375,562.2904052734375,91.25846099853516,581.5753173828125,650.7008666992188,481.0878601074219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.371141089864885,4.072349601123916,1.0,0.01911849710982659,3.5,0.0,20.79,32
L-1:6,7.384136158809858,4.412147635454306,3.604096119305113,12.430480444257219,4.8442906219763335,0.7358675208262547,3.9301683349642484,8.74608237699376,9.350931706470519,9.257724744241914,548.9175415039062,1.572816014289856,544.4232177734375,108.65885162353516,110.14039611816406,449.9671325683594,204.93946838378906,613.5067138671875,558.4318237304688,824.6240844726562,612.7044677734375,48.48244857788086,441.8556213378906,250.89291381835938,311.25323486328125,899.943115234375,298.5910949707031,875.3460083007812,1207.8212890625,1481.6488037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113799627499018,9.974466237626684,1.0,0.015944641950228544,7.0,0.0,17.94,68
L-1:7,15.816422632333284,9.503965613327338,11.918007432256355,7.692461419529657,6.183442939593818,16.383140059749696,12.006966157842422,7.412838894114801,5.958830301805311,17.77278556034825,483.5459899902344,102.78386688232422,399.10198974609375,95.47026824951172,125.44303894042969,737.0111083984375,45.50729751586914,573.2088012695312,510.8934326171875,199.37950134277344,711.9105224609375,24.805654525756836,683.3919677734375,475.54473876953125,384.68267822265625,1137.8883056640625,68.22724914550781,1443.38134765625,416.1849365234375,179.046630859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76118092567631,7.580446244911524,1.0,0.016309040121889287,11.5,0.0,18.35,100
L-1:8,3.148351166775881,24.202074165976114,38.206927726818,44.83465096137456,34.150087203054575,21.343296136026748,24.326434962425086,11.526978462629096,2.4621131897178454,15.251221387544906,346.1129455566406,207.23135375976562,458.3840637207031,632.95654296875,42.030853271484375,358.82025146484375,71.47830963134766,380.6891174316406,311.272705078125,324.15478515625,326.5653991699219,0.4458259642124176,365.5457458496094,294.1009521484375,353.21630859375,504.5589599609375,163.69578552246094,627.344970703125,308.14739990234375,484.1855773925781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.38949098901179,21.57967543755833,1.0,0.02543401759530792,16.5,14.04,24.78,100
L-1:9,18.382756998467343,12.855291910338117,3.0093479773168927,6.20082291004339,1.359587322843489,5.21355835017704,1.7923803809202403,7.4613629428002,10.401540424767832,16.377781748224816,660.90673828125,2.787449598312378,793.925048828125,303.817626953125,223.5646514892578,505.3764343261719,336.49969482421875,684.763671875,559.1849975585938,542.3870849609375,527.2238159179688,153.55772399902344,563.1349487304688,302.67218017578125,186.2357635498047,831.90673828125,146.33236694335938,994.552001953125,397.6480407714844,628.57568359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.12156863510608673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.974385948427235,9.08443084458949,1.0,0.015631964809384166,4.0,0.0,15.23,44
L-1:10,12.462776134618876,11.597255984626322,10.51394122546196,13.456045334738501,7.076282937424134,8.862191786309621,18.676229206960933,29.150574445410733,31.792543164006595,19.048212391542723,746.888671875,58.397239685058594,730.8514404296875,293.5000305175781,163.33299255371094,772.363525390625,226.59490966796875,934.2548217773438,631.48486328125,576.828125,568.474609375,83.88825988769531,482.49072265625,595.8587646484375,153.55816650390625,783.4136352539062,53.646514892578125,1075.33056640625,664.440673828125,799.2810668945312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.11764706671237946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.101423741306654,8.786925254424636,1.0,0.013896349862258952,16.5,0.0,11.53,12
