Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.4813113489741605,7.822622231888066,0.5392809295498887,5.548430393309086,4.1393258965040065,4.2485034909058585,0.8839101461055351,1.1871999301287774,7.1535213362779615,18.362427834354477,730.08056640625,112.5922622680664,1145.097412109375,804.1095581054688,204.8455810546875,893.803955078125,43.99892807006836,780.2279663085938,591.0304565429688,485.2934875488281,772.596435546875,159.92091369628906,554.3478393554688,335.0290222167969,189.63356018066406,675.0652465820313,123.3431625366211,579.82177734375,813.68603515625,443.4707336425781,0.8881289958953857,0.9736199378967285,1.0,0.9394235610961914,0.966292142868042,0.9912066459655762,0.9916951656341553,0.8793356418609619,0.8837323188781738,0.9052271842956543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.1142272949219,-8.75338077545166,-1.8021492958068848,356.6559753417969,-8.826351165771484,-2.3632171154022217,356.5753479003906,-8.765151977539063,-2.5778892040252686,356.974853515625,-8.710206985473633,-3.228177070617676,357.58642578125,-9.410747528076172,-3.609299421310425,358.59564208984375,-10.947600364685059,-5.049855709075928,359.7770080566406,-12.138383865356445,-5.828366756439209,2.8955864906311035,-9.987112998962402,-5.230196952819824,2.291163444519043,-10.045244216918945,-4.0889410972595215,359.23797607421875,-8.534602165222168,-1.302945613861084,1.1216371649957253,9.334004413025687,-1.0,0.01292056074766355,1.0,0.0,34.76,4
L-1:2,2.7772689254623306,1.0451067340691431,10.799407061863752,11.276169171074644,6.873169187400645,3.7602341949786866,1.9972744707016863,6.487675602289927,2.5336177744458905,0.39658369151496636,1100.5380859375,36.49690628051758,1165.4437255859375,767.02099609375,88.71005249023438,1114.580810546875,86.72445678710938,1046.868896484375,523.6930541992188,468.00836181640625,753.7850952148438,77.96788787841797,1032.036376953125,455.4989318847656,317.84564208984375,1419.296142578125,537.5990600585938,1211.23291015625,311.1344299316406,421.90252685546875,0.8397654891014099,1.0,0.9164631366729736,0.9491939544677734,0.9477283954620361,0.9604299068450928,0.9667806625366211,0.9501709938049316,0.9355154037475586,0.6174889802932739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.9202575683594,-8.615607261657715,-2.9238104820251465,358.9606628417969,-8.481083869934082,-2.8380050659179688,359.18756103515625,-8.59364128112793,-3.437593698501587,359.16656494140625,-8.731379508972168,-3.6960535049438477,359.3377990722656,-8.856305122375488,-4.005218029022217,0.2248602658510208,-9.798531532287598,-4.843066215515137,0.2248602658510208,-9.798531532287598,-4.843066215515137,0.47140905261039734,-10.009063720703125,-4.531448841094971,0.40489253401756287,-10.68878173828125,-3.5234766006469727,358.85430908203125,-7.9259138107299805,-2.7351274490356445,2.249583404076551,7.930142224226267,-1.0,0.011652216992816447,3.5,0.0,26.88,76
L-1:3,5.599366451156847,3.321971445664144,0.4202403250409287,4.780115704079847,0.9113130131965782,2.017552597028881,3.0635490502795184,3.5639590429579395,2.376259247018828,3.970877552146281,694.4686279296875,31.412691116333008,406.83428955078125,547.66650390625,99.60891723632813,601.4281005859375,334.720947265625,710.4218139648438,1245.1632080078125,990.2987060546875,981.279296875,228.22698974609375,794.6005249023438,545.731201171875,430.8865661621094,996.0364990234375,377.4286193847656,1121.9058837890625,558.4823608398438,148.5446319580078,0.8993649482727051,0.9418661594390869,0.7459697127342224,0.9311187267303467,0.9364924430847168,0.947239875793457,0.9482169151306152,0.9404006004333496,0.9106009006500244,0.9042501449584961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480860710144043,-12.637188911437988,-7.920875549316406,0.6154959797859192,-12.338495254516602,-7.8777875900268555,359.5059509277344,-9.719291687011719,-4.243905544281006,359.4519348144531,-9.813928604125977,-4.716846942901611,359.4588623046875,-10.008377075195313,-5.198550224304199,0.2687315046787262,-12.193451881408691,-7.349522590637207,1.3113771677017212,-13.276060104370117,-8.584924697875977,4.485368728637695,-13.260218620300293,-7.349785804748535,1.7314651012420654,-12.732308387756348,-7.049492359161377,0.6715354919433594,-12.671635627746582,-7.616915225982666,0.7826124614844678,6.980707842353638,-1.0,0.015767861381438406,1.0,0.0,37.96,108
L-1:4,6.837140400159638,6.558268415722608,2.676525956570168,16.2789085252774,6.4942403682971515,8.54978979374663,9.974157902597646,4.628344589162975,9.734389673072636,21.0266212979791,1864.78857421875,434.1053771972656,1597.7655029296875,1111.8770751953125,266.3294677734375,73.65249633789063,0.0,0.0,1204.09326171875,995.70166015625,2953.106689453125,104.47563171386719,2948.373046875,1999.286376953125,1173.2655029296875,2839.895751953125,863.9710083007813,1546.4068603515625,1515.690673828125,1136.63720703125,0.971177339553833,0.9355154037475586,0.95652174949646,0.6121152639389038,0.9369809627532959,0.9438202381134033,0.961406946182251,0.9789936542510986,0.9926722049713135,0.9785051345825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9210205078125,-9.97409725189209,-6.407295227050781,359.9210205078125,-9.97409725189209,-6.407295227050781,3.5682027339935303,-10.251029014587402,-8.294562339782715,358.20404052734375,-9.659316062927246,-5.391840934753418,1.8796249628067017,-9.220519065856934,-7.178616046905518,1.5434846878051758,-10.419051170349121,-5.53233003616333,1.448456883430481,-10.657170295715332,-5.572739601135254,1.448456883430481,-10.657170295715332,-5.572739601135254,1.0672180652618408,-10.70493221282959,-5.8341169357299805,0.5289629697799683,-10.301770210266113,-6.125593185424805,1.8775329837861385,15.770585853534115,1.0,0.007867768595041322,14.25,-2.39,19.04,76
L-1:5,8.876998308759731,1.242269130844678,2.117610416266161,7.177289528647885,5.059649755825107,6.9188571651910395,8.662034238361503,3.6326742359225324,3.548145131681374,3.3259884229121575,1596.2384033203125,205.5181121826172,844.1954345703125,219.50033569335938,37.87551498413086,1684.8621826171875,422.4516906738281,1265.2861328125,1061.61376953125,22.71082305908203,1061.61376953125,22.71082305908203,189.34092712402344,917.2655029296875,189.34092712402344,917.2655029296875,492.3655700683594,1199.03369140625,869.5928955078125,487.1491394042969,0.9335613250732422,0.9262335300445557,0.95652174949646,0.9511480331420898,0.9462628364562988,0.9462628364562988,0.9462628364562988,0.9462628364562988,0.9501709938049316,0.9306302070617676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.164032459259033,-12.313526153564453,-7.117831230163574,2.8594632148742676,-12.138205528259277,-6.75034761428833,2.9162468910217285,-12.037182807922363,-7.651000499725342,3.0253918170928955,-11.730607032775879,-7.692594528198242,2.9647092819213867,-11.570259094238281,-7.923303127288818,2.9647092819213867,-11.570259094238281,-7.923303127288818,3.3616394996643066,-11.904386520385742,-7.5658040046691895,3.3616394996643066,-11.904386520385742,-7.5658040046691895,3.3697102069854736,-12.154260635375977,-7.135979652404785,3.3744826316833496,-12.410383224487305,-7.241602420806885,3.593380336045135,5.578623691507898,-1.0,0.011963441757019739,0.5,0.0,24.59,64
L-1:6,1.9858341552281467,7.492134384573723,1.8514300755008875,10.22810821769739,2.539104332048792,0.39484313166607293,1.1693724054440713,4.792285904068556,3.4034547615593063,2.232830050405073,1552.206298828125,81.13915252685547,594.5233764648438,257.515625,178.196533203125,1128.5496826171875,229.70606994628906,751.1087036132813,521.1182250976563,560.0689086914063,1345.1435546875,87.43435668945313,862.3500366210938,674.6531982421875,180.3489532470703,994.1746826171875,546.4020385742188,1529.525390625,873.2392578125,514.8206176757813,0.9447972774505615,0.9477283954620361,0.9794821739196777,1.0,0.990229606628418,0.9926722049713135,0.9702003002166748,0.971177339553833,0.9682462215423584,0.9399120807647705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579577922821045,-11.413084030151367,-6.836254119873047,2.278136968612671,-11.54188346862793,-7.475494384765625,2.2963881492614746,-11.430147171020508,-7.652105331420898,2.8096961975097656,-11.109060287475586,-7.74501371383667,3.2087557315826416,-10.801706314086914,-7.709399223327637,3.4407639503479004,-10.527495384216309,-7.465007305145264,3.3232851028442383,-10.360945701599121,-6.86704158782959,3.0512266159057617,-10.475719451904297,-6.429834842681885,2.58840012550354,-10.855234146118164,-6.009937763214111,2.1064817905426025,-11.179336547851563,-6.659740447998047,3.820439455060185,5.925291270229264,-1.0,0.009998822421102215,1.75,0.0,24.26,100
L-1:7,12.232041031879296,10.483535404901252,0.6562989719424756,9.10802582986292,0.33212389266451287,5.026888628183782,1.4090354580977293,7.614989630228913,4.358869761276644,0.25754912636890087,971.3856811523438,42.947669982910156,1646.541259765625,565.4059448242188,336.2168273925781,884.911376953125,325.30059814453125,886.1842651367188,321.17645263671875,89.52882385253906,1465.2601318359375,36.38264846801758,968.1207275390625,884.375244140625,440.5005798339844,1415.1304931640625,292.5433349609375,1129.0682373046875,635.9803466796875,537.52490234375,0.9819247722625732,0.9658036231994629,0.9242794513702393,0.908646821975708,0.7445041537284851,0.9447972774505615,0.9706888198852539,0.9765510559082031,0.985344409942627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746112108230591,-11.145533561706543,-7.327899932861328,3.0269830226898193,-10.664456367492676,-7.605809211730957,2.646925210952759,-10.4261474609375,-7.489565372467041,2.522773504257202,-10.826318740844727,-7.252680778503418,2.306253433227539,-11.389838218688965,-6.679933071136475,4.250098705291748,-12.204963684082031,-10.258896827697754,3.6967484951019287,-12.284890174865723,-9.176295280456543,3.7590792179107666,-12.206809997558594,-8.089083671569824,3.7084550857543945,-11.630250930786133,-6.76558256149292,3.6712424755096436,-11.223380088806152,-6.9418416023254395,1.955542730040461,7.402781637053731,1.0,0.010630644190246839,5.0,0.0,20.18,68
L-1:8,10.86893758678417,24.394550597379922,8.264763734076736,3.682752602416812,10.3300269977699,7.390447225213151,6.378325848420973,4.254970713363957,1.3784963735118454,7.62202759650076,2794.9296875,1413.18896484375,2861.4765625,2436.840576171875,2041.966064453125,2598.865478515625,1027.93798828125,869.9293823242188,773.1323852539063,1724.1390380859375,2779.544921875,1010.9586791992188,1348.4935302734375,1373.7034912109375,777.662841796875,2261.887451171875,1084.010009765625,3171.48681640625,3222.498046875,535.4276733398438,0.932584285736084,0.9364924430847168,0.9252564907073975,0.927699089050293,0.9482169151306152,0.9384465217590332,0.9443087577819824,0.9540791511535645,0.9452857971191406,0.9296531677246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0337042808532715,-12.647796630859375,-9.329178810119629,4.618233680725098,-13.097290992736816,-8.825732231140137,4.618233680725098,-13.097290992736816,-8.825732231140137,3.153629779815674,-12.139012336730957,-8.607420921325684,3.350839138031006,-11.78020191192627,-9.439839363098145,3.350839138031006,-11.78020191192627,-9.439839363098145,3.5247623920440674,-12.350946426391602,-9.988040924072266,3.5247623920440674,-12.350946426391602,-9.988040924072266,4.0337042808532715,-12.647796630859375,-9.329178810119629,4.0337042808532715,-12.647796630859375,-9.329178810119629,6.967164900683828,12.834087398783652,-1.0,0.006508652205703144,2.75,8.42,15.26,64
L-1:9,3.3048092029754366,2.2313126852444323,7.337744685191059,7.955642273728679,4.378064192635061,0.6520138041044098,1.2543643647782863,5.475301710736936,1.761466301206217,1.5402780889001624,959.6907348632813,9.140684127807617,1634.8509521484375,822.4478149414063,190.89013671875,1431.11962890625,826.9213256835938,892.734619140625,253.8571319580078,73.65800476074219,1489.8380126953125,41.386531829833984,744.0884399414063,454.3478698730469,764.8970336914063,1341.71923828125,307.48077392578125,752.3345947265625,475.6090393066406,410.28668212890625,0.91841721534729,0.9291646480560303,0.9531021118164063,0.9794821739196777,0.9535906314849854,0.9189057350158691,0.9545676708221436,0.9555447101593018,0.9379580020904541,0.9159746170043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7695350646972656,-12.439497947692871,-8.164874076843262,2.112607955932617,-12.495542526245117,-8.521872520446777,1.87602698802948,-12.486559867858887,-9.061498641967773,1.87602698802948,-12.486559867858887,-9.061498641967773,2.737576961517334,-11.896374702453613,-9.762896537780762,3.3643500804901123,-13.266579627990723,-10.775733947753906,3.512035608291626,-13.234099388122559,-10.589702606201172,3.816026210784912,-13.254443168640137,-10.316113471984863,3.7625553607940674,-13.252815246582031,-9.632482528686523,3.7541611194610596,-13.028812408447266,-9.043683052062988,0.9431710324234279,6.803544558186597,-1.0,0.01028147857889237,2.0,0.0,22.49,68
L-1:10,2.7757517366963462,3.0368703569127122,4.415000309649365,7.683716078375276,3.6233722748909742,2.0525531777864736,2.407155793555093,1.4616392860552627,5.121316943072026,11.68009859281074,1553.6329345703125,5.539065361022949,1480.06201171875,873.5294189453125,106.80570220947266,1175.378662109375,348.394287109375,1526.1370849609375,935.5350952148438,943.3297729492188,106.92616271972656,1475.891357421875,106.92616271972656,1475.891357421875,106.92616271972656,1475.891357421875,210.10606384277344,1565.5367431640625,1013.5765380859375,483.3891296386719,0.9218368530273438,0.932584285736084,0.9487054347991943,0.9467513561248779,0.9682462215423584,0.9462628364562988,0.9462628364562988,0.9462628364562988,0.9418661594390869,0.9467513561248779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.801479458808899,-12.23498249053955,-8.527938842773438,1.7165782451629639,-12.743773460388184,-9.040935516357422,2.127340793609619,-12.691964149475098,-9.72642993927002,2.459817409515381,-12.528491020202637,-9.966614723205566,2.990006685256958,-12.388503074645996,-10.133048057556152,3.4823145866394043,-12.186624526977539,-8.561958312988281,3.4823145866394043,-12.186624526977539,-8.561958312988281,3.4823145866394043,-12.186624526977539,-8.561958312988281,3.4823145866394043,-12.186624526977539,-8.561958312988281,3.2025668621063232,-12.605727195739746,-8.187710762023926,7.082085614109499,7.73809958234817,-1.0,0.009016487291046486,0.5,0.0,22.5,68
