Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.3816038770907304,7.456524823822375,4.067471851883422,5.88502703084022,3.806967301151604,12.849912215389619,13.48679786760097,7.741132232796209,4.39001115720327,1.5052397814002378,587.2890625,122.67070007324219,405.00006103515625,324.7087097167969,312.03997802734375,769.8743896484375,207.78660583496094,355.9409484863281,690.4708251953125,698.2288818359375,1323.0296630859375,213.4718780517578,714.4564819335938,610.542236328125,118.6740493774414,768.6205444335938,1076.60546875,1222.0313720703125,315.3218078613281,346.7471008300781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.45977783203125,-65.58641052246094,-0.36743998527526855,172.14300537109375,-65.71461486816406,0.26925128698349,172.30072021484375,-66.00914001464844,0.4841986298561096,172.2723388671875,-66.10295867919922,0.3870539367198944,172.4581298828125,-66.35814666748047,0.05725108087062836,172.7694091796875,-66.21636962890625,-0.2992018759250641,173.7838134765625,-66.26185607910156,-0.4163670241832733,174.192626953125,-66.6028060913086,-0.4340784251689911,174.29443359375,-66.59520721435547,-0.39677971601486206,172.2344970703125,-65.61215209960938,-1.007118821144104,5.716491442347638,5.017467182901795,-1.0,0.015285900405327157,2.3333334028720856,0.0,30.17,100
L-1:2,5.353226980591443,1.7444948731122418,5.361027979244719,8.36619216149475,4.843286476220912,6.162142323980608,1.5693062222393204,7.094712602926935,1.9146171501768678,7.315885550935697,794.5374755859375,246.96109008789063,509.66058349609375,303.3180847167969,390.8892517089844,1314.807861328125,435.3339538574219,617.4111938476563,909.3035278320313,566.3179321289063,1047.4615478515625,92.36752319335938,830.768798828125,838.0597534179688,162.39622497558594,711.0452270507813,19.244455337524414,430.25396728515625,609.0634155273438,524.1776123046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.18798828125,-66.65215301513672,-0.15256249904632568,172.6993408203125,-66.76103210449219,0.12506577372550964,172.25213623046875,-66.7918930053711,0.16811704635620117,171.91925048828125,-66.94110107421875,0.19266079366207123,171.86749267578125,-66.99824523925781,0.21283815801143646,172.364013671875,-66.74703216552734,-0.06716276705265045,174.4744873046875,-66.91679382324219,-0.7328282594680786,174.6060791015625,-66.74542999267578,-0.8618572354316711,174.5645751953125,-66.82244110107422,-0.8410320281982422,174.207275390625,-66.88412475585938,-0.5370272994041443,5.716822437028099,7.270277764605146,-1.0,0.013822898799313893,0.6666666865348816,0.0,27.63,32
L-1:3,9.654651208734851,6.079248594568468,4.217485230310517,0.632718027768726,4.839034548892537,3.622243689568037,1.9616874541037481,3.0963557516623683,3.4130597544724615,4.075301634488621,1115.8428955078125,13.489026069641113,868.7071533203125,634.4271850585938,514.3670043945313,1231.5560302734375,1074.4632568359375,1936.996337890625,1219.1856689453125,1501.0828857421875,2122.790283203125,159.3148956298828,1017.0045776367188,823.3245849609375,105.49153137207031,1495.090576171875,256.6553649902344,688.3551635742188,670.1861572265625,341.7508850097656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.9390869140625,-66.63753509521484,-1.1854732036590576,173.41845703125,-66.9090576171875,-1.0182775259017944,173.05908203125,-67.12796020507813,-0.8515393733978271,174.25933837890625,-67.20716857910156,-0.0946483314037323,173.7332763671875,-67.3800048828125,-0.529558539390564,173.7332763671875,-67.3800048828125,-0.529558539390564,173.91162109375,-66.68965148925781,-1.2039686441421509,174.3131103515625,-66.60029602050781,-1.3327440023422241,174.3131103515625,-66.60029602050781,-1.3327440023422241,174.2860107421875,-66.5439453125,-1.3104883432388306,9.38289761752993,3.4884156179381085,-1.0,0.009347226256171945,3.333333432674408,0.0,18.39,32
L-1:4,26.994133371176723,20.55062406247379,13.436754076647837,3.2116444791578496,25.76693347646999,3.600272715165416,2.8318395570819566,14.228962584510244,26.313295138781047,29.93115066907805,1165.11328125,84.8830795288086,1296.607666015625,837.6512451171875,1023.434814453125,1788.3162841796875,117.41796875,1701.0543212890625,1244.080078125,1476.3974609375,0.0,0.0,1034.259521484375,1155.0814208984375,152.96014404296875,1911.62060546875,629.6061401367188,1152.752197265625,874.191650390625,671.0408325195313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.143310546875,-65.72513580322266,-1.0033037662506104,174.46868896484375,-66.02243041992188,-0.7525278925895691,174.46868896484375,-66.02243041992188,-0.7525278925895691,174.294677734375,-66.13621520996094,-0.6541036367416382,174.48468017578125,-66.0086441040039,-0.7422236800193787,175.56298828125,-66.10865783691406,-0.8481080532073975,175.449951171875,-65.80720520019531,-1.0208852291107178,175.6861572265625,-65.68650817871094,-1.0325616598129272,175.6861572265625,-65.68650817871094,-1.0325616598129272,175.143310546875,-65.72513580322266,-1.0033037662506104,13.781992271730164,22.996442007278436,-1.0,0.012255892255892256,8.66666692495346,4.39,20.8,100
L-1:5,6.732032518419968,3.8779916675277804,2.157166052638541,1.8439635502204164,3.82638494923117,5.604816322320983,3.0430276338430504,2.9153372421146666,1.5066659903756419,3.6378814142337403,935.9275512695313,139.54136657714844,886.1190185546875,787.0845947265625,356.8233337402344,1006.8455200195313,378.98919677734375,947.1344604492188,1145.251220703125,762.465576171875,553.2266235351563,28.207366943359375,867.053955078125,61.0924186706543,528.9324340820313,2165.357177734375,538.7617797851563,1163.6063232421875,701.6689453125,625.8322143554688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.94219970703125,-66.47330474853516,-0.892241895198822,174.52911376953125,-66.6598129272461,-0.7722991704940796,174.52911376953125,-66.6598129272461,-0.7722991704940796,174.1461181640625,-66.7479476928711,-0.7232655882835388,174.30633544921875,-66.70233917236328,-0.7582884430885315,174.30633544921875,-66.70233917236328,-0.7582884430885315,175.854248046875,-66.44365692138672,-0.9575555324554443,175.90899658203125,-66.23932647705078,-1.022239089012146,175.90899658203125,-66.23932647705078,-1.022239089012146,175.7841796875,-66.2662124633789,-0.9812955260276794,9.3792664244506,7.481107997777012,-1.0,0.011195505238256166,0.3333333432674408,0.0,18.93,32
L-1:6,5.975681743641141,2.563941180962146,7.195693554552371,7.8414510562098805,3.714064033473875,4.236534920304968,9.08519877047939,8.090797201435564,8.393094683888997,16.16699935198888,2382.87841796875,463.2763977050781,535.9623413085938,213.82179260253906,265.8131103515625,1102.866943359375,267.4924621582031,2001.388916015625,2116.562255859375,1342.0035400390625,2622.999755859375,28.43904685974121,1850.665771484375,1325.5623779296875,755.5650634765625,3030.794921875,905.5714721679688,2617.390869140625,1289.8809814453125,308.96258544921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.56036376953125,-66.6208267211914,-1.3977683782577515,175.6641845703125,-66.69486999511719,-1.0804851055145264,175.43048095703125,-66.69039916992188,-1.2342424392700195,175.078125,-66.72552490234375,-1.3018505573272705,175.014404296875,-66.57892608642578,-1.4835337400436401,175.014404296875,-66.57892608642578,-1.4835337400436401,175.014404296875,-66.57892608642578,-1.4835337400436401,175.94244384765625,-66.26128387451172,-1.636868953704834,175.94244384765625,-66.26128387451172,-1.636868953704834,175.56036376953125,-66.6208267211914,-1.3977683782577515,11.501450470069027,16.001182950032156,-1.0,0.00903466099118273,0.3333333432674408,0.0,16.98,68
L-1:7,3.6707969722295983,12.1488287911393,15.594700597363518,2.98141139364959,9.733690086190899,2.9713985496222817,7.020333456985731,5.390817495920063,7.905162350330261,22.863446872054972,952.2432861328125,201.30938720703125,879.0557861328125,485.2937316894531,57.634681701660156,1232.9622802734375,767.5614624023438,1236.4033203125,2134.458740234375,1813.042724609375,563.224853515625,143.90597534179688,1630.3184814453125,1678.26904296875,514.31982421875,1366.6546630859375,4.346877098083496,1376.8623046875,1132.1639404296875,545.05029296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.57464599609375,-66.87203979492188,-1.2691569328308105,175.208740234375,-67.06544494628906,-1.4444258213043213,174.76123046875,-67.35499572753906,-1.4550246000289917,174.11517333984375,-67.53497314453125,-1.3740392923355103,174.22479248046875,-67.62503051757813,-1.4018977880477905,175.759521484375,-67.2876968383789,-1.0006283521652222,175.67279052734375,-66.49795532226563,-1.2428812980651855,175.67279052734375,-66.49795532226563,-1.2428812980651855,176.02178955078125,-66.23869323730469,-1.3200693130493164,175.95343017578125,-66.43193817138672,-1.3432984352111816,29.2236657845993,13.274540982265302,-1.0,0.009472920696324952,4.33333346247673,0.0,19.59,64
L-1:8,19.899815093757294,19.54556004378599,16.742699644444475,7.590736349539603,8.533954793467993,11.78643928465153,3.6955360593599065,9.145168033636148,12.47093246221777,18.19637046581048,927.3240356445313,124.91825866699219,1815.4298095703125,1137.3538818359375,746.4395751953125,1811.630126953125,254.74185180664063,1724.7567138671875,0.0,0.0,2980.187744140625,727.909423828125,1209.21630859375,1769.155029296875,291.1882019042969,2275.81298828125,601.6564331054688,1739.73876953125,2055.387939453125,973.2174072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.6707763671875,-67.80868530273438,-0.7645017504692078,175.6707763671875,-67.80868530273438,-0.7645017504692078,175.22314453125,-67.84185028076172,-0.7333535552024841,175.22314453125,-67.84185028076172,-0.7333535552024841,175.93927001953125,-67.7386703491211,-0.7004837393760681,175.9586181640625,-67.80767822265625,-0.7160735726356506,175.8702392578125,-67.63287353515625,-0.9002882838249207,175.8702392578125,-67.63287353515625,-0.9002882838249207,176.24700927734375,-67.16523742675781,-0.9895945191383362,176.24700927734375,-67.16523742675781,-0.9895945191383362,12.25724117660111,13.71745737565304,-1.0,0.0064962121212121205,7.666666895151138,5.98,11.76,108
L-1:9,5.772977802509715,2.964512060685578,11.926024591557034,7.523413080803259,3.1615009376950076,2.067014263861355,4.141366347029419,2.9222645731750747,6.490066635850916,1.5785961420045787,726.3855590820313,196.40396118164063,476.61419677734375,715.4100341796875,344.19464111328125,1192.8184814453125,85.9947280883789,1955.005859375,801.2728271484375,584.3275146484375,1026.5965576171875,122.61137390136719,1631.9212646484375,1571.7742919921875,119.82682037353516,753.3994140625,443.3744812011719,1226.39111328125,435.54248046875,573.7156982421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.5697021484375,-67.22010803222656,-1.6348966360092163,175.5697021484375,-67.22010803222656,-1.6348966360092163,175.26800537109375,-67.29268646240234,-1.5567457675933838,175.1448974609375,-67.43120574951172,-1.422774076461792,175.11627197265625,-67.22219848632813,-1.4276918172836304,175.11627197265625,-67.22219848632813,-1.4276918172836304,175.73016357421875,-67.66047668457031,-1.2991297245025635,175.98486328125,-67.1838150024414,-1.4605334997177124,175.939208984375,-67.08970642089844,-1.5603394508361816,175.939208984375,-67.08970642089844,-1.5603394508361816,23.10813015008546,7.604594566824293,-1.0,0.011014968966776196,1.3333333730697632,0.0,17.24,108
L-1:10,10.572190582231247,2.0841256271951654,0.6134449712406677,4.743122418825778,7.859346159648977,13.373282962127274,8.896591363943267,1.2994818785244344,0.21730917878585407,4.759953352308726,1095.7967529296875,156.88230895996094,829.5406494140625,333.3468933105469,383.87786865234375,963.7945556640625,233.9664306640625,853.442138671875,1143.0303955078125,976.0379028320313,1554.141845703125,133.3384246826172,1795.1029052734375,1710.8377685546875,357.58660888671875,2232.5966796875,489.3208923339844,1424.0841064453125,2010.09375,936.8865356445313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.963623046875,-67.19223022460938,-1.4811408519744873,175.6444091796875,-67.32252502441406,-1.4646720886230469,176.05584716796875,-66.99635314941406,-1.2123388051986694,175.6707763671875,-67.13272094726563,-1.305269718170166,175.5465087890625,-67.2244873046875,-1.3860552310943604,176.009765625,-67.02682495117188,-1.4822179079055786,176.009765625,-67.02682495117188,-1.4822179079055786,176.4490966796875,-67.00215148925781,-1.5785568952560425,176.4490966796875,-67.00215148925781,-1.5785568952560425,176.4490966796875,-67.00215148925781,-1.5785568952560425,11.019969139579787,10.912091313892335,-1.0,0.010075757575757575,0.6666666865348816,0.0,16.72,100
