Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.78719563588304,0.7599888478056094,2.5035511627085043,6.792433795997408,1.023580639379922,1.4849738830455945,3.4129942623790797,5.2898011926913275,3.49602314750482,5.1154238091455655,970.1155395507813,24.187883377075195,365.7528076171875,255.8029327392578,0.4533816874027252,714.6928100585938,178.77484130859375,824.8616943359375,470.9829406738281,412.1253967285156,682.1468505859375,39.405921936035156,1039.7034912109375,711.4581909179688,127.43287658691406,827.7430419921875,225.10496520996094,833.9572143554688,702.8450927734375,694.2416381835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.13499450683594,-68.35800170898438,10.326000213623047,140.14700317382813,-68.22100067138672,10.329999923706055,140.97300720214844,-68.46700286865234,10.47599983215332,140.97300720214844,-68.46700286865234,10.47599983215332,140.875,-68.43399810791016,10.49899959564209,140.89100646972656,-68.37699890136719,10.508999824523926,140.89100646972656,-68.37699890136719,10.508999824523926,140.5919952392578,-68.39099884033203,10.454000473022461,140.2169952392578,-68.39099884033203,10.371000289916992,140.2169952392578,-68.39099884033203,10.371000289916992,5.1892979232212495,7.759115296918098,-1.0,0.016861609727851768,1.5,0.0,16.64,4
L-1:2,8.7191994002294,7.070386376541349,3.491730744063477,7.643389669675391,8.364584535033659,2.733412095724356,13.981786781048472,11.703237490332569,5.684011688214603,6.109270828966195,535.275390625,137.9327850341797,1792.178466796875,1097.455810546875,748.0579223632813,1755.0504150390625,273.3360900878906,1206.2567138671875,1291.1148681640625,717.4443359375,1010.852294921875,63.47187042236328,1344.0823974609375,583.1254272460938,45.2778205871582,1939.6597900390625,1079.93896484375,1620.4544677734375,446.4410705566406,195.09365844726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.38099670410156,-68.14600372314453,10.534000396728516,139.39199829101563,-68.0009994506836,10.559000015258789,139.39199829101563,-68.0009994506836,10.559000015258789,139.39199829101563,-68.0009994506836,10.559000015258789,139.4759979248047,-67.91699981689453,10.524999618530273,138.89300537109375,-68.01000213623047,10.347999572753906,139.96099853515625,-68.18299865722656,10.581999778747559,139.96099853515625,-68.18299865722656,10.581999778747559,140.02699279785156,-68.1510009765625,10.70300006866455,140.02699279785156,-68.1510009765625,10.70300006866455,12.997098941919775,12.04081174876275,-1.0,0.012025641025641026,2.0,0.0,14.74,36
L-1:3,15.200117712323678,4.432500156817293,0.3107781185424025,13.306970553483348,19.36997031370606,16.807669930577287,11.872218992192177,21.654374558356402,5.139102535550895,16.431298983580664,1852.2239990234375,268.7780456542969,1486.1583251953125,1087.947265625,134.9426727294922,258.09332275390625,635.169677734375,1394.6175537109375,1900.9754638671875,1594.3076171875,2105.660400390625,1210.735595703125,3390.46630859375,2123.291015625,209.53477478027344,1270.396240234375,1247.7969970703125,2740.308837890625,1154.1024169921875,1849.3765869140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.4429931640625,-67.0270004272461,10.696000099182129,139.4219970703125,-67.75499725341797,10.28499984741211,144.3249969482422,-65.36299896240234,11.442999839782715,139.4219970703125,-67.75499725341797,10.28499984741211,140.1269989013672,-67.58000183105469,10.451000213623047,140.1269989013672,-67.58000183105469,10.451000213623047,140.1269989013672,-67.58000183105469,10.451000213623047,140.58299255371094,-67.41100311279297,10.565999984741211,140.58299255371094,-67.41100311279297,10.565999984741211,140.58299255371094,-67.41100311279297,10.565999984741211,8.977655166967885,17.945774496906125,-1.0,0.009179883945841393,14.0,0.0,13.56,76
L-1:4,2.8028061851330404,1.878210970639321,3.9397039529854534,6.376426249297374,18.346586688063013,6.766544350280918,3.2337213203842325,10.550425299406312,3.2133195336428506,5.829763790315066,1541.410400390625,418.5801696777344,1798.2530517578125,1260.60302734375,471.3995056152344,1961.9356689453125,339.1410827636719,3203.09033203125,1019.4326171875,30.781522750854492,2077.90087890625,200.19154357910156,685.1491088867188,1186.966064453125,469.0205078125,1588.0980224609375,335.6395568847656,1752.572021484375,1355.033447265625,1335.3897705078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.32400512695313,-65.5780029296875,11.00100040435791,147.32400512695313,-65.5780029296875,11.00100040435791,148.86399841308594,-64.64700317382813,11.732000350952148,148.86399841308594,-64.64700317382813,11.732000350952148,148.7740020751953,-64.87300109863281,11.564000129699707,148.7740020751953,-64.87300109863281,11.564000129699707,148.13099670410156,-65.21700286865234,11.295999526977539,148.13099670410156,-65.21700286865234,11.295999526977539,148.13099670410156,-65.21700286865234,11.295999526977539,147.32400512695313,-65.5780029296875,11.00100040435791,3.385693912207326,10.383079964733684,-1.0,0.008881866796305298,3.5,3.8,10.44,36
L-1:5,13.111826130897457,2.726066331153501,3.9812120115288003,4.994966797494794,3.701306126721529,7.497749147521469,6.495797287416921,14.340033090219658,13.412106735537128,11.459613994849137,1138.05224609375,26.455808639526367,22.40007972717285,11.210018157958984,85.14507293701172,399.33038330078125,114.21953582763672,717.9992065429688,1118.2896728515625,706.7998657226563,2017.748046875,403.0043029785156,2077.90087890625,200.19154357910156,372.169677734375,1752.3065185546875,594.1179809570313,987.18701171875,1065.7904052734375,728.025634765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.80599975585938,-62.34000015258789,3.134999990463257,140.7519989013672,-62.54800033569336,4.89300012588501,140.72900390625,-62.35499954223633,2.859999895095825,140.53799438476563,-62.50600051879883,4.13700008392334,140.53799438476563,-62.50600051879883,4.13700008392334,140.73500061035156,-62.42300033569336,3.8510000705718994,148.7740020751953,-64.87300109863281,11.564000129699707,140.73500061035156,-62.42300033569336,3.8510000705718994,140.6739959716797,-62.374000549316406,3.434000015258789,140.6739959716797,-62.374000549316406,3.434000015258789,24.375596928799954,26.449122879780102,1.0,0.012245454545454545,3.5,0.0,13.47,100
L-1:6,13.830101850044107,15.397259208181964,13.963345606458441,0.38544591328680555,3.3274815774386206,2.9185227714111495,7.111039935828774,3.216616906335787,6.2970442422036825,11.36899140937474,2715.769775390625,542.5022583007813,1546.0743408203125,724.8619384765625,35.21959686279297,1366.4111328125,363.7082214355469,879.5823364257813,687.0150756835938,634.2868041992188,1227.1788330078125,17.213369369506836,313.5628662109375,34.62309646606445,564.4940795898438,1555.854248046875,217.2501983642578,1104.899169921875,731.4642944335938,1051.8580322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.8560028076172,-62.80699920654297,1.0080000162124634,139.8560028076172,-62.80699920654297,1.0080000162124634,139.85499572753906,-62.845001220703125,1.2170000076293945,139.85499572753906,-62.845001220703125,1.2170000076293945,139.96600341796875,-62.83700180053711,1.4579999446868896,140.3249969482422,-62.742000579833984,1.7130000591278076,139.55299377441406,-62.810001373291016,0.652999997138977,139.55299377441406,-62.810001373291016,0.652999997138977,139.42100524902344,-62.8489990234375,0.6830000281333923,139.42100524902344,-62.8489990234375,0.6830000281333923,20.109930805052645,7.268829561774962,1.0,0.01127435064935065,0.5,0.0,13.89,32
L-1:7,1.753588017352705,5.109336647931818,11.63716759921769,13.637513950225756,17.78651054213215,20.369472981514154,20.986087017249375,9.097686502220636,7.726450291847661,3.1979833771958552,1006.6331787109375,130.41441345214844,1705.921630859375,930.8671264648438,376.4550476074219,1249.2667236328125,466.7453308105469,2397.9228515625,1696.9129638671875,815.3155517578125,1611.4619140625,234.08299255371094,1848.484130859375,1252.1639404296875,523.0751342773438,2118.60693359375,815.0193481445313,1917.849365234375,1113.3907470703125,743.2474975585938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.3780059814453,-61.56999969482422,-0.06499999761581421,141.3780059814453,-61.56999969482422,-0.06499999761581421,141.1820068359375,-62.00600051879883,0.25699999928474426,141.6060028076172,-61.858001708984375,0.25699999928474426,141.6060028076172,-61.858001708984375,0.25699999928474426,141.43099975585938,-61.84700012207031,0.13099999725818634,141.43099975585938,-61.84700012207031,0.13099999725818634,141.09500122070313,-61.784000396728516,-0.11100000143051147,141.09500122070313,-61.784000396728516,-0.11100000143051147,141.09500122070313,-61.784000396728516,-0.11100000143051147,15.883366432424838,9.350836487202471,-1.0,0.008343434343434344,8.5,0.0,11.8,32
L-1:8,15.282660675423589,29.877106213441568,26.069063451128404,15.136122086056456,25.028247721125446,22.05793367869957,1.6575575172370418,3.986149213353291,12.638608347592442,4.270110430084069,1717.34716796875,719.8999633789063,1061.119873046875,1133.985595703125,537.510498046875,1060.614501953125,250.79031372070313,932.2860717773438,1324.735595703125,728.3329467773438,1696.2672119140625,362.5827331542969,425.55950927734375,202.7212371826172,728.478515625,1923.2154541015625,217.96762084960938,1728.42431640625,1423.3834228515625,397.3321838378906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.69000244140625,-61.222999572753906,1.4249999523162842,141.69000244140625,-61.222999572753906,1.4249999523162842,141.9250030517578,-61.27399826049805,1.4509999752044678,141.9250030517578,-61.27399826049805,1.4509999752044678,142.12600708007813,-61.29600143432617,1.5110000371932983,142.12600708007813,-61.29600143432617,1.5110000371932983,141.75799560546875,-60.71500015258789,1.6030000448226929,141.50399780273438,-61.03799819946289,1.4609999656677246,141.50399780273438,-61.03799819946289,1.4609999656677246,141.69000244140625,-61.222999572753906,1.4249999523162842,7.516106988239076,16.37266695061999,-1.0,0.008060103403705299,7.0,3.76,10.69,76
L-1:9,6.587412162608313,6.067007445184781,3.3921125865420816,3.4305267761410594,7.4177052250522175,7.901784119012516,2.6940548622976412,3.56134423351081,14.738151807440046,14.00340022925085,1094.0728759765625,16.03997802734375,805.0020751953125,850.6373291015625,623.278564453125,1612.8997802734375,456.93377685546875,516.32666015625,1094.5164794921875,588.2763061523438,1197.2821044921875,52.487857818603516,1739.1673583984375,645.5370483398438,118.08717346191406,829.2830810546875,281.77734375,770.4718017578125,768.3154296875,371.5060119628906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.1790008544922,-61.801998138427734,1.187000036239624,141.1790008544922,-61.801998138427734,1.187000036239624,141.19200134277344,-61.801998138427734,1.1339999437332153,141.13499450683594,-61.77299880981445,1.1169999837875366,141.13499450683594,-61.77299880981445,1.1169999837875366,141.14300537109375,-61.76100158691406,1.0870000123977661,141.14300537109375,-61.76100158691406,1.0870000123977661,140.77099609375,-61.854000091552734,0.9319999814033508,141.61700439453125,-61.68000030517578,1.3830000162124634,141.24899291992188,-61.757999420166016,1.2690000534057617,2.94110285909944,8.711225290222234,-1.0,0.011085512660855126,2.0,0.0,15.26,100
L-1:10,1.6020801489759202,4.7779346616956175,3.7320766461363144,1.9784202918815321,2.9522205698684156,10.837484676360289,6.249941716719817,7.742406520439661,8.769314657655068,4.910621959937272,743.0603637695313,200.70460510253906,750.2992553710938,490.9974060058594,256.8923034667969,855.9041137695313,300.5255432128906,1476.8787841796875,1328.85888671875,972.6876220703125,895.2130737304688,244.17897033691406,765.8653564453125,364.0298767089844,495.0420227050781,842.7166137695313,487.46875,842.4942016601563,846.4397583007813,350.32110595703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.70199584960938,-62.07699966430664,0.4749999940395355,140.9290008544922,-61.928001403808594,0.4729999899864197,141.44200134277344,-61.65399932861328,0.5220000147819519,141.44200134277344,-61.65399932861328,0.5220000147819519,140.48599243164063,-62.152000427246094,0.6129999756813049,140.48599243164063,-62.152000427246094,0.6129999756813049,140.73199462890625,-62.10300064086914,0.6150000095367432,140.73199462890625,-62.10300064086914,0.6150000095367432,140.61599731445313,-62.137001037597656,0.5220000147819519,140.70199584960938,-62.07699966430664,0.4749999940395355,6.103618464862371,4.531953738374942,-1.0,0.013301999048072347,1.5,0.0,15.97,0
L-1:11,3.726428869363651,3.11039681691297,8.50780750485257,1.7283676973395448,9.997503710116867,1.826787526409441,8.861043359893404,8.479030063957486,3.028579035299858,6.204221575558934,1253.5623779296875,103.4642333984375,995.796630859375,287.7089538574219,250.33212280273438,772.6969604492188,302.0029296875,731.5997924804688,454.7642517089844,573.92626953125,1720.9464111328125,329.39068603515625,757.582763671875,570.8571166992188,563.723876953125,1150.8743896484375,312.4358825683594,1024.9210205078125,1029.3565673828125,673.6198120117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5290069580078,-60.733001708984375,-0.13699999451637268,142.5290069580078,-60.733001708984375,-0.13699999451637268,142.5290069580078,-60.85499954223633,-0.0689999982714653,142.7030029296875,-60.9630012512207,0.07999999821186066,142.9709930419922,-60.97999954223633,0.26899999380111694,142.9709930419922,-60.97999954223633,0.26899999380111694,143.35499572753906,-60.91600036621094,0.41600000858306885,143.35499572753906,-60.91600036621094,0.41600000858306885,142.8209991455078,-60.29899978637695,-0.25200000405311584,142.4340057373047,-60.56100082397461,-0.26499998569488525,21.444048468281952,9.939698593408295,1.0,0.012377272727272728,1.5,0.0,15.56,0
L-1:12,8.280706151289078,7.882830563695802,9.627418486522869,2.120469682915074,3.540344477990057,4.734852272652101,10.654663514434757,4.225664388312962,9.930994803992192,3.5971560221771655,2160.6396484375,325.21942138671875,1582.7733154296875,1013.0862426757813,136.81719970703125,1055.3330078125,69.24928283691406,639.1536865234375,1227.7593994140625,907.2672729492188,1136.8865966796875,20.841461181640625,346.815673828125,583.010009765625,6.2763166427612305,967.230712890625,390.9826354980469,2044.300048828125,689.357177734375,642.9624633789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.9320068359375,-61.04499816894531,-0.3610000014305115,142.9320068359375,-61.04499816894531,-0.3610000014305115,143.06100463867188,-60.85100173950195,-0.3569999933242798,142.78599548339844,-60.7869987487793,-0.47099998593330383,143.45700073242188,-60.7869987487793,0.164000004529953,143.3679962158203,-60.933998107910156,0.06400000303983688,143.3679962158203,-60.933998107910156,0.06400000303983688,143.03199768066406,-61.125,-0.14399999380111694,143.03199768066406,-61.125,-0.14399999380111694,142.96499633789063,-61.13600158691406,-0.289000004529953,16.863935368204586,4.132837199780811,-1.0,0.009724431818181818,2.0,5.28,14.67,0
L-1:13,5.660022849942187,2.961868605311065,6.803847792041448,6.91804124284542,12.701480724252944,18.7726107435198,16.951181774817364,8.375663126515589,1.9241971684473238,1.5617861386619905,808.482177734375,0.8244908452033997,1218.53369140625,963.980224609375,574.6959228515625,1045.5899658203125,173.62667846679688,1530.2626953125,1043.3072509765625,840.2791137695313,1444.9967041015625,188.6536865234375,1046.720947265625,917.4154052734375,105.14057922363281,729.4815673828125,376.0884094238281,1410.73486328125,979.3931884765625,591.9369506835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.47999572753906,-60.48699951171875,0.15000000596046448,143.71200561523438,-60.327999114990234,0.14100000262260437,143.71200561523438,-60.327999114990234,0.14100000262260437,143.65899658203125,-60.47600173950195,0.3529999852180481,143.57200622558594,-60.5260009765625,0.33000001311302185,143.57200622558594,-60.5260009765625,0.33000001311302185,143.4969940185547,-60.55099868774414,0.27900001406669617,143.4969940185547,-60.55099868774414,0.27900001406669617,143.40499877929688,-60.57600021362305,0.16899999976158142,143.40499877929688,-60.57600021362305,0.16899999976158142,15.20999840751674,8.64366167608343,-1.0,0.015155947775628627,5.5,0.0,17.91,0
L-1:14,5.707932788777607,1.2972157883748554,9.12694201747388,14.158469625774226,10.399801113720832,2.9042858699254657,3.7751938867049426,5.073812718515842,8.666306633326364,4.34548966327535,518.1371459960938,7.362395286560059,505.38043212890625,351.16937255859375,551.4257202148438,1200.1875,491.22021484375,940.3812866210938,874.7532348632813,433.01678466796875,1521.0809326171875,370.2935485839844,880.9521484375,545.7080688476563,333.2217102050781,1088.40625,428.5235595703125,1573.2335205078125,873.420654296875,736.9755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.84500122070313,-60.61199951171875,-0.12600000202655792,143.72999572753906,-60.6609992980957,-0.22599999606609344,143.63800048828125,-60.66899871826172,-0.2770000100135803,143.69400024414063,-60.6609992980957,-0.3050000071525574,143.69400024414063,-60.6609992980957,-0.3050000071525574,143.56500244140625,-60.68600082397461,-0.3499999940395355,143.56500244140625,-60.68600082397461,-0.3499999940395355,144.25599670410156,-60.39799880981445,0.10599999874830246,144.08299255371094,-60.5260009765625,-0.02500000037252903,144.08299255371094,-60.5260009765625,-0.02500000037252903,6.064772698717346,8.196093908519533,-1.0,0.011916066606660667,2.5,0.0,15.13,0
L-1:15,11.714960346370301,3.6535264975044206,12.94124684463242,6.367156631666189,7.117647712881162,0.9952045978793198,4.657031799501848,2.3782542088654965,10.37067581842404,20.23623059123446,850.6704711914063,338.08416748046875,827.5017700195313,667.458740234375,673.5645141601563,954.2989501953125,783.3311157226563,931.7291259765625,1267.5406494140625,814.0482177734375,1188.74267578125,67.073974609375,1099.0455322265625,481.9705810546875,226.70591735839844,1093.3958740234375,65.27098846435547,1632.556884765625,898.5498046875,411.7996520996094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.98699951171875,-60.275001525878906,-0.40799999237060547,144.98699951171875,-60.275001525878906,-0.40799999237060547,145.38999938964844,-60.112998962402344,-0.36399999260902405,145.38999938964844,-60.112998962402344,-0.36399999260902405,145.99400329589844,-59.87900161743164,-0.2070000022649765,143.9969940185547,-60.59700012207031,-0.5289999842643738,143.9969940185547,-60.59700012207031,-0.5289999842643738,144.41299438476563,-60.512001037597656,-0.46399998664855957,144.41299438476563,-60.512001037597656,-0.46399998664855957,144.69900512695313,-60.409000396728516,-0.4410000145435333,10.046350914299202,3.2461780942596543,-1.0,0.012142506142506141,2.0,0.0,14.12,0
L-1:16,12.530641282674573,13.56831713717466,19.659283109700297,5.336243864307972,2.038057718652814,17.57226553851132,15.213637560835839,3.4393380305392607,1.5945461403188896,14.402198229119962,1695.202880859375,122.24512481689453,774.7178955078125,390.32196044921875,423.7756042480469,738.21826171875,845.7431030273438,2011.34912109375,1149.02978515625,527.8411865234375,1493.0792236328125,484.6395263671875,2822.646240234375,946.145263671875,333.9102783203125,774.405029296875,422.41619873046875,1772.6549072265625,1010.6266479492188,1546.0943603515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.7969970703125,-59.8650016784668,1.9299999475479126,144.8560028076172,-59.7599983215332,1.9529999494552612,144.7100067138672,-59.70500183105469,1.9759999513626099,144.51300048828125,-59.96900177001953,1.5579999685287476,144.51300048828125,-59.96900177001953,1.5579999685287476,144.51300048828125,-59.96900177001953,1.5579999685287476,144.94000244140625,-59.8650016784668,1.7960000038146973,144.94000244140625,-59.8650016784668,1.7960000038146973,144.83799743652344,-59.891998291015625,1.8830000162124634,144.83799743652344,-59.891998291015625,1.8830000162124634,17.85762921216806,21.439051459014177,-1.0,0.009552493966210782,4.0,5.0,13.57,0
