Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.108185169607732,8.67223418806052,10.729792256749592,4.650215837486728,0.9266618127129089,0.745356014713278,2.618473880254873,2.3616819850096684,6.614398143963933,5.910609260675497,765.0792236328125,20.105100631713867,729.9584350585938,368.2508544921875,313.1358947753906,666.5385131835938,299.0964660644531,689.9166259765625,568.2283935546875,303.8810119628906,399.5730895996094,37.63095474243164,382.66729736328125,364.27960205078125,344.26043701171875,582.6524047851562,321.61456298828125,785.0510864257812,807.1849975585938,677.178955078125,0.2392157018184662,0.23137256503105164,0.23137256503105164,0.22352942824363708,0.2352941334247589,0.26274511218070984,0.2352941334247589,0.2705882489681244,0.2549019753932953,0.24705883860588074,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.128258952919755,5.371456389137953,1.0,0.015713109354413703,3.000000089406967,0.0,27.26,68
L-1:2,1.6996732218518027,1.8866006522458265,4.458612124192337,7.696419199643376,9.478589645888743,0.7453560147132695,2.0591168191937186,3.167828726017459,2.636807917686755,4.7512982037035085,928.8331298828125,45.018985748291016,624.5023193359375,592.59814453125,120.6178207397461,328.8598937988281,0.0,0.0,709.3714599609375,545.7205200195312,423.2835388183594,43.9934196472168,592.1107177734375,459.5933532714844,147.44497680664062,594.1259155273438,81.78473663330078,966.3924560546875,674.6737060546875,599.5218505859375,0.2352941334247589,0.2352941334247589,0.22745099663734436,0.19607844948768616,0.24705883860588074,0.2823529541492462,0.29019609093666077,0.2862745225429535,0.26274511218070984,0.25882354378700256,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.1666666716337204,0.3333333432674408,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.608475033759103,7.711079416298544,1.0,0.015393796455117209,3.333333432674408,0.0,30.77,108
L-1:3,2.027587570526223,5.414167893213373,9.28956576931843,16.16871926209425,6.53730934290028,8.06225798857255,1.8901864367780743,1.6829982650054285,2.031743617241292,3.3390647321417153,794.3784790039062,2.9836573600769043,785.1858520507812,593.5355224609375,646.6891479492188,1295.526123046875,476.5242004394531,1437.0594482421875,1059.8533935546875,163.45199584960938,740.2304077148438,0.008429300971329212,498.84356689453125,455.9316711425781,222.78538513183594,502.9327392578125,420.3764343261719,436.2563171386719,503.6861877441406,497.0109558105469,0.22745099663734436,0.22352942824363708,0.22745099663734436,0.2392157018184662,0.25882354378700256,0.2666666805744171,0.27450981736183167,0.2862745225429535,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.758187736352946,1.243143271460379,-1.0,0.012910611693139574,1.3333333730697632,0.0,21.83,64
L-1:4,10.419000049235578,24.01715707277496,9.283467360563026,3.5413381761364153,3.4078239623230773,2.6666667461395264,2.3217715366189635,14.060913887157733,11.534437479665787,2.042477202549397,472.602783203125,136.5187225341797,563.4502563476562,316.64520263671875,14.273177146911621,1087.196533203125,208.46128845214844,785.158935546875,456.636474609375,300.7961120605469,259.2035217285156,1.8375295400619507,599.6268310546875,465.49102783203125,144.7377471923828,947.8164672851562,147.5601043701172,744.6987915039062,418.04107666015625,281.97198486328125,0.2666666805744171,0.22352942824363708,0.1882353127002716,0.2039215862751007,0.2352941334247589,0.24313727021217346,0.2823529541492462,0.3019607961177826,0.30980393290519714,0.2980392277240753,0.36666667461395264,0.2666666805744171,0.1666666716337204,0.20000001788139343,0.3333333432674408,0.3333333432674408,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44030682005593,20.12571098176354,-1.0,0.017722291407222913,2.0000000596046448,7.33,40.66,68
L-1:5,4.853406737496466,0.9425622931216753,4.857835981862211,0.9076290281532982,7.344130220720172,2.6874193295241824,1.6219314639341356,0.615930737586648,2.179848789566784,4.6808852079178305,478.5997619628906,40.514076232910156,498.9657897949219,407.9576110839844,160.6282958984375,886.6353149414062,91.47107696533203,880.8370361328125,331.30657958984375,206.0801544189453,492.770263671875,15.947521209716797,403.404541015625,294.7279968261719,97.25838470458984,372.5296936035156,97.1246566772461,430.2544860839844,374.02532958984375,318.828125,0.2196078598499298,0.21568629145622253,0.23137256503105164,0.2352941334247589,0.2823529541492462,0.27843138575553894,0.2705882489681244,0.2549019753932953,0.24313727021217346,0.23137256503105164,0.2666666805744171,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.845735097781,10.446665935412899,1.0,0.019632867132867132,0.6666666865348816,0.0,33.69,36
L-1:6,3.8005848635967117,3.6370702020421906,1.9343776439201235,2.889932821832759,3.2782125251836316,7.6955978164234775,10.94642123313937,8.384264345867246,8.716972359832594,1.2559011539422449,599.65087890625,38.869712829589844,743.4380493164062,399.4715576171875,130.58583068847656,620.1367797851562,182.33541870117188,728.0112915039062,421.1133117675781,199.02915954589844,549.3177490234375,95.26024627685547,560.150146484375,188.444580078125,157.8741912841797,236.7596435546875,152.64083862304688,471.7798156738281,675.7428588867188,347.733154296875,0.24705883860588074,0.24313727021217346,0.2352941334247589,0.22745099663734436,0.2196078598499298,0.21568629145622253,0.21568629145622253,0.2392157018184662,0.24705883860588074,0.24705883860588074,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.2666666805744171,0.30000001192092896,0.2666666805744171,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268749618840547,8.787939232857156,1.0,0.017468805704099824,2.6666667461395264,0.0,33.6,100
L-1:7,4.013864979219926,7.570456548881763,9.377818420626646,16.244250641763077,4.725467318519591,1.4907120294265221,6.3447064628289604,15.510677449060164,4.293315075396421,0.9056135334483284,1288.987060546875,43.043373107910156,624.2749633789062,408.6177062988281,304.89031982421875,1197.5377197265625,282.76898193359375,1242.4564208984375,855.467529296875,246.69778442382812,771.5125732421875,102.30247497558594,565.113525390625,207.15260314941406,288.7359313964844,675.7013549804688,329.1322021484375,678.677978515625,407.98724365234375,400.745849609375,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.24705883860588074,0.2549019753932953,0.26274511218070984,0.27450981736183167,0.27450981736183167,0.25882354378700256,0.24313727021217346,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3387085876314,3.595504702592512,-1.0,0.01300581573308846,4.33333346247673,0.0,24.28,108
L-1:8,1.490712029426539,0.4111671434678309,6.039693259711868,15.753442473249335,14.313057759854823,10.088497600941686,6.813736577665781,6.258206069351367,7.4092514213235185,3.473849327613162,647.1065063476562,42.496829986572266,241.48654174804688,200.76219177246094,261.74005126953125,651.900390625,386.1136169433594,779.1724853515625,554.1736450195312,488.84197998046875,485.2225646972656,100.53578186035156,489.18603515625,571.8325805664062,321.56915283203125,928.7640380859375,197.05213928222656,575.3660278320312,611.047119140625,436.3408508300781,0.250980406999588,0.22745099663734436,0.2352941334247589,0.2352941334247589,0.24705883860588074,0.25882354378700256,0.2666666805744171,0.2862745225429535,0.29411765933036804,0.2705882489681244,0.36666667461395264,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.437096647620923,6.1913902797983775,-1.0,0.02111617822966507,5.333333492279053,12.06,40.35,100
L-1:9,8.062257988572554,2.1325586805417007,1.1528525966094945,11.34414323494929,13.590787060806184,4.7726071633268905,1.2187609507598691,4.468901076072655,4.058230063809473,0.2602814224955542,788.8631591796875,101.16649627685547,900.9248046875,370.9502258300781,224.64578247070312,795.5010375976562,79.6121826171875,345.58892822265625,277.0268249511719,236.56842041015625,735.3988037109375,11.571601867675781,554.1901245117188,378.07415771484375,117.82755279541016,683.068603515625,89.06793212890625,522.8732299804688,375.6036376953125,298.20245361328125,0.24705883860588074,0.2352941334247589,0.2196078598499298,0.22745099663734436,0.24313727021217346,0.26274511218070984,0.27843138575553894,0.27450981736183167,0.25882354378700256,0.2549019753932953,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754225672033306,13.083930461827293,1.0,0.020786140089418776,1.666666716337204,0.0,31.88,100
L-1:10,8.692270132653361,6.473946970509271,2.765691150247263,10.77850770628052,3.8877184031147793,7.695597816423478,4.686386383847142,6.901962784909435,8.656450678333268,9.773486806448213,372.77587890625,61.918792724609375,281.57086181640625,307.7174072265625,505.340576171875,1006.6209716796875,251.8098602294922,945.7178955078125,769.8139038085938,435.6075744628906,680.4519653320312,76.84364318847656,726.9093627929688,395.3945617675781,169.03099060058594,547.2893676757812,292.3833312988281,652.9306030273438,489.60601806640625,406.9661560058594,0.2549019753932953,0.2392157018184662,0.2352941334247589,0.2392157018184662,0.2392157018184662,0.24705883860588074,0.25882354378700256,0.2705882489681244,0.27450981736183167,0.2666666805744171,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.36666667461395264,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.642796230760812,8.94587503325906,-1.0,0.01814194577352472,4.666666805744171,0.0,32.5,44
