Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,13.248360116947234,3.206768113401992,2.896643095508944,7.041138542500273,6.552997399302091,11.99769347374225,9.867923140557972,10.917006473499795,13.193406273828574,18.10856689909621,2569.97705078125,402.8895568847656,2324.9658203125,764.527587890625,101.19953155517578,2441.079833984375,1119.5709228515625,2134.079345703125,1798.00244140625,1288.091064453125,2942.30322265625,127.26309967041016,1730.1331787109375,1135.0499267578125,513.1762084960938,2254.48046875,936.4823608398438,2136.5283203125,2382.169921875,1395.8614501953125,0.4235294461250305,0.38431376218795776,0.3686274588108063,0.3607843220233917,0.3450980484485626,0.33725491166114807,0.38823533058166504,0.43529415130615234,0.45098042488098145,0.4392157196998596,0.16052815318107605,0.1626129299402237,0.15218903124332428,0.16052815318107605,0.15218903124332428,0.16886727511882782,0.16469770669937134,0.17929118871688843,0.16052815318107605,0.16678249835968018,198.2231903076172,-32.900325775146484,-17.35390281677246,198.2231903076172,-32.900325775146484,-17.35390281677246,199.7370147705078,-33.32243347167969,-14.843602180480957,199.7370147705078,-33.32243347167969,-14.843602180480957,198.7940673828125,-34.716026306152344,-16.574026107788086,201.06040954589844,-34.07609176635742,-19.13578987121582,199.3070526123047,-35.13982009887695,-20.392108917236328,199.3070526123047,-35.13982009887695,-20.392108917236328,196.8995361328125,-34.65556335449219,-20.628219604492188,196.8995361328125,-34.65556335449219,-20.628219604492188,17.134720319186222,10.834998502633258,-1.0,0.005089020771513353,9.411765098571777,0.0,10.78,68
L-1:2,1.8832719131152973,5.127423110317411,3.810609337990401,7.507591707557365,2.50616007283008,3.5294119119644165,1.390441460958632,1.0844902192836907,1.4722976199762456,1.8995634411642546,2034.137451171875,255.1663818359375,2491.919677734375,1682.2891845703125,562.6815795898438,2284.00537109375,867.1305541992188,3233.9326171875,2356.172119140625,1167.3624267578125,1473.8134765625,320.8902587890625,1507.2647705078125,978.4789428710938,629.9215087890625,2589.55615234375,862.3327026367188,2468.12353515625,1814.71142578125,1221.836181640625,0.4078431725502014,0.41568630933761597,0.3686274588108063,0.40000003576278687,0.3803921937942505,0.40392160415649414,0.4235294461250305,0.4784314036369324,0.48235297203063965,0.4431372880935669,0.1480194628238678,0.14593468606472015,0.15218903124332428,0.16052815318107605,0.1480194628238678,0.15010423958301544,0.18137596547603607,0.16678249835968018,0.17512162029743195,0.16469770669937134,197.15318298339844,-34.16318893432617,-13.911200523376465,197.3029022216797,-33.81771469116211,-12.611449241638184,197.3029022216797,-33.81771469116211,-12.611449241638184,200.86245727539062,-30.24850082397461,-11.112251281738281,199.2482452392578,-32.60812759399414,-13.36767578125,199.2482452392578,-32.60812759399414,-13.36767578125,197.31167602539062,-34.54438400268555,-15.1085205078125,197.31167602539062,-34.54438400268555,-15.1085205078125,197.15318298339844,-34.16318893432617,-13.911200523376465,197.15318298339844,-34.16318893432617,-13.911200523376465,11.012732945868803,8.897897511801764,-1.0,0.005628945707070707,0.0,0.0,10.19,100
L-1:3,6.204418820553512,3.1940836666654544,6.611610329699707,8.881031584115872,2.7054772525035697,9.411765098571777,8.6152248184847,3.1383676731539545,0.848995285131177,3.6812831563471042,1543.4771728515625,463.1756286621094,684.4207153320312,912.0628051757812,1150.062744140625,2790.561767578125,653.84716796875,1438.404296875,1320.6151123046875,318.38214111328125,2912.730224609375,137.84286499023438,1708.139892578125,931.8771362304688,1195.431640625,2266.20556640625,913.7120361328125,2490.0537109375,2616.7607421875,1974.5860595703125,0.4705882668495178,0.44705885648727417,0.40392160415649414,0.4274510145187378,0.38823533058166504,0.3803921937942505,0.37254902720451355,0.40392160415649414,0.43137258291244507,0.46666669845581055,0.16469770669937134,0.16886727511882782,0.15218903124332428,0.15218903124332428,0.1626129299402237,0.16678249835968018,0.1626129299402237,0.15010423958301544,0.15218903124332428,0.1584433764219284,194.75576782226562,-36.873008728027344,-12.264106750488281,194.87298583984375,-36.43988037109375,-9.920511245727539,196.78408813476562,-33.14659118652344,-11.86411190032959,196.78408813476562,-33.14659118652344,-11.86411190032959,196.3333740234375,-33.94154357910156,-12.2437105178833,196.3333740234375,-33.94154357910156,-12.2437105178833,194.85694885253906,-36.71003723144531,-13.50072193145752,194.85694885253906,-36.71003723144531,-13.50072193145752,194.85694885253906,-36.71003723144531,-13.50072193145752,194.75576782226562,-36.873008728027344,-12.264106750488281,13.86102607003079,16.36272806544438,-1.0,0.005800189393939394,1.4705882966518402,0.0,10.5,100
L-1:4,10.734287266042676,9.954349917645656,5.481298571267111,8.637848469591914,3.515613014839456,6.31497395571179,5.357098811691527,6.008448941759741,3.4214337150251826,9.27550897240557,2320.070068359375,229.515625,2217.3828125,830.5597534179688,341.96038818359375,2146.830078125,1034.6766357421875,2650.430419921875,1766.244384765625,1190.402099609375,4722.13330078125,312.9151306152344,396.4497985839844,1591.3868408203125,1789.4781494140625,3587.81005859375,842.6757202148438,2929.5126953125,2411.24560546875,1932.1260986328125,0.4784314036369324,0.43137258291244507,0.3764706254005432,0.3921568989753723,0.40392160415649414,0.3960784673690796,0.4705882668495178,0.4784314036369324,0.4862745404243469,0.48235297203063965,0.16469770669937134,0.1584433764219284,0.15635858476161957,0.15427380800247192,0.1626129299402237,0.16886727511882782,0.1772063970565796,0.18137596547603607,0.16886727511882782,0.16052815318107605,189.76593017578125,-37.03207015991211,-16.308792114257812,194.93133544921875,-35.19862747192383,-13.740214347839355,194.57589721679688,-35.15504837036133,-14.239692687988281,194.57589721679688,-35.15504837036133,-14.239692687988281,194.57589721679688,-35.15504837036133,-14.239692687988281,193.3618927001953,-36.6479377746582,-15.06021499633789,193.3618927001953,-36.6479377746582,-15.06021499633789,193.3618927001953,-36.6479377746582,-15.06021499633789,189.76593017578125,-37.03207015991211,-16.308792114257812,189.76593017578125,-37.03207015991211,-16.308792114257812,9.230797341888989,17.237236876630732,-1.0,0.005373490146217419,0.8823529779911041,3.04,9.66,64
L-1:5,5.136544095658305,10.332723173739696,8.990058627803254,1.7187235772205542,3.832080337973569,0.6576670796458431,2.567320530475543,3.740280237427575,1.2382134665908515,3.375995194291451,3735.795654296875,115.06490325927734,2456.25146484375,1828.749755859375,646.5840454101562,2045.93896484375,1054.9644775390625,2471.76708984375,2200.539306640625,1453.2528076171875,1425.6790771484375,154.0116729736328,1127.197509765625,1916.7132568359375,1637.12451171875,3395.359130859375,1211.93505859375,2531.812255859375,2780.15869140625,2496.5361328125,0.4549019932746887,0.44705885648727417,0.41568630933761597,0.3764706254005432,0.4235294461250305,0.3803921937942505,0.458823561668396,0.48235297203063965,0.4784314036369324,0.4784314036369324,0.1584433764219284,0.1626129299402237,0.15010423958301544,0.15635858476161957,0.16052815318107605,0.16886727511882782,0.18137596547603607,0.17512162029743195,0.17929118871688843,0.18137596547603607,189.82919311523438,-40.75177764892578,-13.935964584350586,189.82919311523438,-40.75177764892578,-13.935964584350586,191.63381958007812,-37.721229553222656,-11.616317749023438,194.35890197753906,-36.34849548339844,-11.837432861328125,193.66026306152344,-36.7314338684082,-12.809792518615723,193.66026306152344,-36.7314338684082,-12.809792518615723,191.08889770507812,-40.3504638671875,-14.611743927001953,191.08889770507812,-40.3504638671875,-14.611743927001953,191.08889770507812,-40.3504638671875,-14.611743927001953,189.82919311523438,-40.75177764892578,-13.935964584350586,13.558154179356263,12.136632645363655,-1.0,0.004899436846339501,2.3529412746429443,0.0,10.44,100
L-1:6,2.3529412746429443,13.948570947633456,9.989302826118307,10.682110005025086,7.388650562615187,1.583872068182673,2.870331549139244,5.576937247097709,4.595182477669552,2.5068343006365033,2716.486572265625,526.8779296875,1917.945068359375,1235.4425048828125,887.8400268554688,3419.2333984375,690.92138671875,2070.46484375,1451.09423828125,1139.7078857421875,3675.794189453125,347.1095275878906,1627.4569091796875,1422.4781494140625,986.6036376953125,1587.5531005859375,499.14935302734375,2216.020751953125,1407.5863037109375,1160.287841796875,0.3803921937942505,0.43137258291244507,0.46666669845581055,0.4862745404243469,0.46666669845581055,0.4862745404243469,0.4705882668495178,0.4784314036369324,0.44705885648727417,0.3803921937942505,0.15635858476161957,0.16678249835968018,0.16886727511882782,0.19179986417293549,0.16678249835968018,0.1730368435382843,0.17929118871688843,0.1730368435382843,0.17512162029743195,0.15635858476161957,192.9033660888672,-35.661678314208984,-12.123312950134277,192.9033660888672,-35.661678314208984,-12.123312950134277,192.9033660888672,-35.661678314208984,-12.123312950134277,191.58421325683594,-37.66455841064453,-13.676148414611816,191.58421325683594,-37.66455841064453,-13.676148414611816,191.5842742919922,-38.81825637817383,-11.980643272399902,191.5842742919922,-38.81825637817383,-11.980643272399902,191.7521209716797,-37.57211685180664,-11.350761413574219,191.7521209716797,-37.57211685180664,-11.350761413574219,192.2181854248047,-37.2198486328125,-11.157126426696777,17.05375249309588,8.98240909205601,1.0,0.0052320075757575765,2.9411765933036804,0.0,11.05,4
L-1:7,5.211778201766838,6.233434586101908,0.7961651312664456,6.3139539177275354,3.0339731095768747,8.57492961489937,4.769007460075462,6.484774021271875,13.033502545095363,6.835654572355421,2257.527587890625,154.00942993164062,2118.020263671875,2384.24267578125,538.7494506835938,378.5030212402344,1008.1190185546875,1417.3973388671875,847.6717529296875,875.5368041992188,3212.20751953125,86.94571685791016,1885.1475830078125,1309.2188720703125,535.4216918945312,2565.4912109375,1215.68505859375,3375.589599609375,1978.288330078125,2306.748046875,0.43137258291244507,0.4549019932746887,0.38823533058166504,0.38823533058166504,0.38431376218795776,0.3529411852359772,0.45098042488098145,0.48235297203063965,0.4941176772117615,0.46274513006210327,0.16886727511882782,0.15010423958301544,0.1334259957075119,0.1584433764219284,0.16469770669937134,0.1626129299402237,0.1626129299402237,0.16052815318107605,0.17512162029743195,0.1584433764219284,191.53515625,-41.01533126831055,-10.479419708251953,191.53515625,-41.01533126831055,-10.479419708251953,192.1717987060547,-39.64389419555664,-10.042323112487793,194.4239501953125,-36.250179290771484,-10.182046890258789,193.00860595703125,-37.996673583984375,-11.910655975341797,192.3645477294922,-40.24205780029297,-12.365463256835938,192.3645477294922,-40.24205780029297,-12.365463256835938,192.3645477294922,-40.24205780029297,-12.365463256835938,191.6509552001953,-41.31394958496094,-11.65140151977539,191.6509552001953,-41.31394958496094,-11.65140151977539,14.88421347852363,17.906878049021778,-1.0,0.0055823023130715434,5.000000208616257,0.0,11.86,76
L-1:8,12.847253281818306,18.405093358071372,14.236436101450641,6.19130894138868,16.404676100036394,4.096584958329931,6.111694092462816,2.7566890754018734,8.361205854479932,0.8632251670135206,1640.105224609375,137.6380615234375,3045.63427734375,2779.70556640625,1714.36376953125,2848.88671875,191.4205322265625,2634.670166015625,2046.866943359375,1654.239013671875,3028.696044921875,613.1137084960938,2967.643798828125,2195.19091796875,1977.7945556640625,2985.8388671875,1685.9154052734375,2173.40380859375,1495.328857421875,630.0209350585938,0.4274510145187378,0.44705885648727417,0.4431372880935669,0.49803924560546875,0.4941176772117615,0.4784314036369324,0.4901961088180542,0.4784314036369324,0.41568630933761597,0.41568630933761597,0.1584433764219284,0.1480194628238678,0.17512162029743195,0.1730368435382843,0.1772063970565796,0.1730368435382843,0.17095205187797546,0.16886727511882782,0.16678249835968018,0.1626129299402237,192.36859130859375,-37.22564697265625,-11.174431800842285,192.59475708007812,-36.41634750366211,-11.506227493286133,192.59475708007812,-36.41634750366211,-11.506227493286133,192.59475708007812,-36.41634750366211,-11.506227493286133,192.6593475341797,-38.56318283081055,-11.238741874694824,192.6593475341797,-38.56318283081055,-11.238741874694824,192.6593475341797,-38.56318283081055,-11.238741874694824,192.6593475341797,-38.56318283081055,-11.238741874694824,192.60377502441406,-37.99102020263672,-10.871336936950684,192.36859130859375,-37.22564697265625,-11.174431800842285,20.48714763981155,8.513576276906253,1.0,0.005016787190082645,0.5882353186607361,3.26,11.1,100
L-1:9,3.181368905205275,3.775618489632713,4.531395542954219,7.589260764922989,2.0498349985034436,5.998846736871126,1.5491764098025913,4.3694414115217635,9.835486113122705,11.25562363268512,3221.031494140625,593.457763671875,2207.1318359375,1453.22998046875,350.5205383300781,2448.637451171875,946.6373291015625,2748.984619140625,1157.759033203125,700.0465087890625,2386.301513671875,256.71868896484375,502.3714904785156,1037.8841552734375,2199.074462890625,3527.88232421875,487.1426696777344,2857.31103515625,2677.343505859375,653.3848876953125,0.43529415130615234,0.40000003576278687,0.43529415130615234,0.40392160415649414,0.3960784673690796,0.4117647409439087,0.3686274588108063,0.46666669845581055,0.48235297203063965,0.43529415130615234,0.1584433764219284,0.15218903124332428,0.16052815318107605,0.15635858476161957,0.14593468606472015,0.16469770669937134,0.16886727511882782,0.18137596547603607,0.16469770669937134,0.16678249835968018,194.28854370117188,-39.9271125793457,-12.599211692810059,195.03712463378906,-38.770362854003906,-11.095172882080078,195.03712463378906,-38.770362854003906,-11.095172882080078,195.03712463378906,-38.770362854003906,-11.095172882080078,194.53977966308594,-39.67830276489258,-11.610148429870605,194.53887939453125,-39.34919357299805,-12.651232719421387,193.79225158691406,-40.38077926635742,-13.626903533935547,193.79225158691406,-40.38077926635742,-13.626903533935547,193.79225158691406,-40.38077926635742,-13.626903533935547,194.28854370117188,-39.9271125793457,-12.599211692810059,19.602451056644586,6.909746446984329,-1.0,0.0046005961251862895,3.2352942526340485,0.0,8.82,64
L-1:10,4.6036695575207975,8.90879080722124,6.833422650999,14.26944181829758,13.40790565790997,11.474358833530573,5.3525557969163655,11.401093811649526,1.7895645336756014,2.6387990142936117,1891.5869140625,299.98089599609375,1632.685546875,686.4434814453125,950.249755859375,3286.436279296875,208.50941467285156,2848.589111328125,2036.079833984375,1214.1116943359375,3139.51953125,6.139224052429199,2706.52734375,2489.6650390625,1230.3680419921875,2563.36328125,1069.49169921875,3030.382568359375,1724.6468505859375,1384.4334716796875,0.4078431725502014,0.41960787773132324,0.40000003576278687,0.458823561668396,0.458823561668396,0.458823561668396,0.4745098352432251,0.4549019932746887,0.43529415130615234,0.4078431725502014,0.16052815318107605,0.15218903124332428,0.15427380800247192,0.16886727511882782,0.16678249835968018,0.16886727511882782,0.18554551899433136,0.16678249835968018,0.15427380800247192,0.1584433764219284,193.33372497558594,-38.91533660888672,-11.310370445251465,193.8602294921875,-38.545772552490234,-10.876341819763184,193.8602294921875,-38.545772552490234,-10.876341819763184,193.38919067382812,-39.61394500732422,-12.533480644226074,193.38919067382812,-39.61394500732422,-12.533480644226074,191.9751434326172,-41.518707275390625,-13.81347942352295,191.9751434326172,-41.518707275390625,-13.81347942352295,192.03587341308594,-40.50236511230469,-12.335159301757812,192.03587341308594,-40.50236511230469,-12.335159301757812,193.33372497558594,-38.91533660888672,-11.310370445251465,5.07725800643737,8.277477349593743,1.0,0.004503432765151514,8.235294461250305,0.0,10.87,100
