Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,14.771553744308916,1.9142345311078217,3.298575980630299,6.805600674934562,5.2127763325183665,10.184221867761199,9.825025519427491,11.73413610206792,18.712860109198846,21.822903114949966,3013.720947265625,524.195068359375,2395.685302734375,1372.7303466796875,343.3924865722656,3127.77490234375,1690.165283203125,2507.846435546875,2003.2301025390625,1323.7225341796875,2676.255859375,147.22740173339844,1542.252685546875,1435.5831298828125,624.4334716796875,2227.68017578125,1421.735107421875,2313.845458984375,2256.358642578125,1807.580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,21.647369384765625,-11.609896659851074,-0.9894135594367981,21.647369384765625,-11.609896659851074,-0.9894135594367981,21.636077880859375,-11.605350494384766,-1.0430266857147217,21.636077880859375,-11.605350494384766,-1.0430266857147217,21.637054443359375,-11.704190254211426,-1.0419089794158936,21.6533203125,-11.649665832519531,-0.9670601487159729,21.6533203125,-11.649665832519531,-0.9670601487159729,21.664703369140625,-11.599471092224121,-0.9103104472160339,21.664703369140625,-11.599471092224121,-0.9103104472160339,21.647369384765625,-11.609896659851074,-0.9894135594367981,16.79009852197532,12.279333822759588,-1.0,0.0047288401253918495,9.666666954755783,0.0,8.62,100
L-1:2,3.8164356022638404,9.375338493465412,11.004284387797362,8.562725658521305,11.798903576476741,0.28172315845197654,3.9705261638443146,4.576817562930871,7.340342702547292,2.7938081954326317,3031.81982421875,57.83290100097656,2012.525634765625,3032.345458984375,1087.123046875,2957.241943359375,1591.2606201171875,2586.457275390625,3690.6845703125,2615.93212890625,2888.206298828125,254.0350799560547,2695.435546875,1546.3143310546875,1242.983154296875,3557.721923828125,1174.351806640625,2641.977783203125,3227.952392578125,1356.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,21.663818359375,-11.380922317504883,-0.7857782244682312,21.641693115234375,-11.4292573928833,-0.9236209392547607,21.641693115234375,-11.4292573928833,-0.9236209392547607,21.641693115234375,-11.4292573928833,-0.9236209392547607,21.643341064453125,-11.399566650390625,-0.8640824556350708,21.643341064453125,-11.399566650390625,-0.8640824556350708,21.66363525390625,-11.382501602172852,-0.7901279926300049,21.66363525390625,-11.382501602172852,-0.7901279926300049,21.66363525390625,-11.382501602172852,-0.7901279926300049,21.663818359375,-11.380922317504883,-0.7857782244682312,5.412370636243235,11.041456553457143,-1.0,0.003672520661157025,1.3333333730697632,0.0,7.11,36
L-1:3,4.852236329759442,9.451490739341182,4.7688317817577115,4.488277763459895,3.1038024038685887,2.5637644120932963,2.7096991447285492,4.874426589928323,1.8289259091355625,2.563990890288197,3351.37646484375,686.859130859375,3211.38720703125,2796.484619140625,1216.8636474609375,3224.960205078125,851.369140625,3248.690673828125,3683.709716796875,1885.6226806640625,3774.08203125,312.2951965332031,3051.515380859375,2186.8095703125,1578.283935546875,4119.81787109375,800.337890625,2655.29638671875,2449.275390625,1971.02392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,21.6248779296875,-11.545673370361328,-0.9187764525413513,21.608673095703125,-11.584858894348145,-1.0078926086425781,21.608673095703125,-11.584858894348145,-1.0078926086425781,21.608673095703125,-11.584858894348145,-1.0078926086425781,21.62591552734375,-11.561820030212402,-0.9502750039100647,21.62591552734375,-11.561820030212402,-0.9502750039100647,21.62591552734375,-11.561820030212402,-0.9502750039100647,21.6190185546875,-11.610193252563477,-0.9578196406364441,21.6248779296875,-11.545673370361328,-0.9187764525413513,21.6248779296875,-11.545673370361328,-0.9187764525413513,3.1057234822580257,6.939401507725947,-1.0,0.003699276502044668,2.0000000596046448,0.0,6.72,64
L-1:4,12.087217377065508,3.223691781027699,11.313272036161642,16.045587943146078,17.036676718311067,21.25641722646079,12.224675009258723,2.240150852584434,7.056409098927961,21.35111301517456,0.0,0.0,2532.090087890625,2235.497802734375,488.59222412109375,3384.3154296875,1441.5244140625,4108.89990234375,3180.441650390625,1946.5211181640625,3314.544921875,381.6025695800781,2759.36279296875,1437.15576171875,1178.69677734375,3466.088134765625,707.7805786132812,3441.233642578125,2011.92529296875,2373.478271484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,21.59991455078125,-11.59195613861084,-1.0423316955566406,21.595184326171875,-11.624846458435059,-1.0692881345748901,21.595184326171875,-11.624846458435059,-1.0692881345748901,21.598358154296875,-11.576398849487305,-1.0424103736877441,21.598358154296875,-11.576398849487305,-1.0424103736877441,21.598358154296875,-11.576398849487305,-1.0424103736877441,21.599212646484375,-11.553773880004883,-0.9824774265289307,21.599212646484375,-11.553773880004883,-0.9824774265289307,21.60009765625,-11.556228637695312,-0.9194012880325317,21.60009765625,-11.556228637695312,-0.9194012880325317,12.28809235169176,24.731512489360977,-1.0,0.00396600566572238,3.6666667759418488,1.51,8.8,100
L-1:5,8.590982221365687,4.210584695601207,3.534350098684138,6.344130725065303,10.63132663520962,5.428286044502059,6.728006150494003,1.6290736029803876,7.369139375228872,2.2835034124095577,3503.8984375,324.90789794921875,2345.859619140625,1116.426025390625,960.1905517578125,3714.124755859375,573.001708984375,2538.40771484375,3429.833740234375,2631.930908203125,2844.44873046875,557.060546875,1822.233642578125,2630.085693359375,1207.199462890625,3824.77490234375,544.8519287109375,2657.273193359375,3128.38134765625,956.7456665039062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,21.4515380859375,-11.51618480682373,-0.9683482646942139,21.4515380859375,-11.51618480682373,-0.9683482646942139,21.4541015625,-11.508102416992188,-1.0006444454193115,21.4541015625,-11.508102416992188,-1.0006444454193115,21.4541015625,-11.508102416992188,-1.0006444454193115,21.4556884765625,-11.572616577148438,-1.028599739074707,21.466156005859375,-11.469066619873047,-0.9254183769226074,21.466156005859375,-11.469066619873047,-0.9254183769226074,21.466156005859375,-11.469066619873047,-0.9254183769226074,21.4515380859375,-11.51618480682373,-0.9683482646942139,9.623791884550565,6.9041010688098545,-1.0,0.0039920581277458605,2.6666667461395264,0.0,6.75,100
L-1:6,1.944727070956249,7.424172640728421,6.268929156847498,3.5648601738888868,11.72707583980268,10.060774670808643,4.721868992581481,7.359350931148449,3.0602898624000625,2.823621987901886,3723.2861328125,294.2550354003906,2896.91943359375,1937.737548828125,1052.545654296875,4184.74072265625,1733.016845703125,3892.1630859375,2420.6484375,3673.072509765625,3726.668212890625,1120.8330078125,3391.7880859375,3261.625732421875,654.7825927734375,3551.808349609375,1267.5301513671875,3821.71044921875,3182.172119140625,1640.5283203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,21.421478271484375,-11.571364402770996,-0.9802820086479187,21.421478271484375,-11.571364402770996,-0.9802820086479187,21.421478271484375,-11.571364402770996,-0.9802820086479187,21.44354248046875,-11.457016944885254,-0.955834686756134,21.45001220703125,-11.493377685546875,-0.8483695983886719,21.45001220703125,-11.493377685546875,-0.8483695983886719,21.45001220703125,-11.493377685546875,-0.8483695983886719,21.4376220703125,-11.563787460327148,-0.8934577703475952,21.4376220703125,-11.563787460327148,-0.8934577703475952,21.4376220703125,-11.563787460327148,-0.8934577703475952,8.909629036535307,12.22376052889256,-1.0,0.0032898428731762065,2.3333334028720856,0.0,6.7,0
L-1:7,12.566502105547757,9.355961137421833,4.894454188328193,3.3447273149944334,6.116075145520791,3.6172142147477984,2.211523980090302,3.7301594879423985,0.7339329069555905,4.473641057428298,4154.5546875,103.0787353515625,3168.532958984375,1821.4493408203125,1416.486328125,3562.0185546875,964.3829345703125,3746.42431640625,3380.88232421875,2767.534912109375,3657.930419921875,1375.592041015625,2831.090576171875,3053.8466796875,1550.396484375,4006.5185546875,104.62594604492188,3800.15087890625,2930.4638671875,1468.947021484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,21.367340087890625,-11.647520065307617,-1.1356077194213867,21.367340087890625,-11.647520065307617,-1.1356077194213867,21.367340087890625,-11.647520065307617,-1.1356077194213867,21.390411376953125,-11.578420639038086,-1.0707228183746338,21.390411376953125,-11.578420639038086,-1.0707228183746338,21.390411376953125,-11.578420639038086,-1.0707228183746338,21.390960693359375,-11.642838478088379,-1.074576735496521,21.390960693359375,-11.642838478088379,-1.074576735496521,21.38446044921875,-11.582026481628418,-1.0078400373458862,21.38446044921875,-11.582026481628418,-1.0078400373458862,11.547027512394607,4.248241985995013,-1.0,0.0033024286183130948,2.6666667461395264,0.0,5.75,0
L-1:8,7.667183102926451,1.5690035852721247,7.047206729183596,11.266897576492527,9.79140028002094,11.944137190104842,8.350200385043346,5.002766008675266,5.33063666002503,8.990714819839088,3491.299560546875,468.6732482910156,2778.772705078125,2705.095703125,1304.8121337890625,2822.23046875,1717.9422607421875,4420.9443359375,3345.71728515625,1967.211181640625,3848.67626953125,191.06582641601562,2370.582275390625,3094.37158203125,379.12579345703125,3687.791748046875,1084.3067626953125,3712.314453125,2938.83544921875,3202.10546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,21.441864013671875,-11.48149299621582,-0.9882122278213501,21.441864013671875,-11.48149299621582,-0.9882122278213501,21.39276123046875,-11.546224594116211,-1.1309912204742432,21.418975830078125,-11.485804557800293,-1.015864610671997,21.418975830078125,-11.485804557800293,-1.015864610671997,21.418975830078125,-11.485804557800293,-1.015864610671997,21.438629150390625,-11.445168495178223,-0.9245722889900208,21.438629150390625,-11.445168495178223,-0.9245722889900208,21.445709228515625,-11.4901704788208,-0.9169525504112244,21.445709228515625,-11.4901704788208,-0.9169525504112244,20.552737768135234,9.448916731735086,-1.0,0.003101469237832874,6.000000178813934,1.58,7.72,0
L-1:9,0.9464597800625145,3.2024134659916093,2.618890183246566,4.431987907736859,8.45293028730221,4.611854483676394,12.789046044429277,10.529903550546244,5.748837611593558,5.302799490775943,2929.097900390625,283.0694580078125,2040.3603515625,2458.198974609375,334.5645446777344,3069.563232421875,995.336181640625,2987.6796875,2968.440185546875,1610.883056640625,3585.6337890625,552.4116821289062,0.0,0.0,625.5503540039062,2413.7080078125,1153.361572265625,2565.591796875,3198.958740234375,1615.1051025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,21.444488525390625,-11.716543197631836,-1.380057454109192,21.444488525390625,-11.716543197631836,-1.380057454109192,21.444488525390625,-11.716543197631836,-1.380057454109192,21.450592041015625,-11.658995628356934,-1.3492401838302612,21.450592041015625,-11.658995628356934,-1.3492401838302612,21.450592041015625,-11.658995628356934,-1.3492401838302612,21.484344482421875,-11.509521484375,-1.0709105730056763,21.458343505859375,-11.679327011108398,-1.267486572265625,21.458343505859375,-11.679327011108398,-1.267486572265625,21.458343505859375,-11.679327011108398,-1.267486572265625,16.50783081239057,9.097867974852242,-1.0,0.004007867132867133,1.3333333730697632,0.0,6.55,0
L-1:10,6.756113880913999,3.669641793813486,9.865212818383329,13.162125852638647,15.936820848664444,9.997845121384477,2.8950186443537826,3.7658040454127395,10.794821287656992,17.11368557902554,3891.760498046875,588.2031860351562,3158.214599609375,2524.17333984375,1676.3699951171875,3681.646240234375,1223.7216796875,3262.111083984375,2651.3193359375,1878.8184814453125,3376.349365234375,149.3832550048828,2082.25048828125,2227.53125,1201.2034912109375,4001.813720703125,405.4421691894531,3393.38623046875,3150.403564453125,1422.6524658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,21.496826171875,-11.601119995117188,-1.093526005744934,21.49774169921875,-11.561814308166504,-1.1615692377090454,21.49774169921875,-11.561814308166504,-1.1615692377090454,21.456939697265625,-11.759157180786133,-1.3685139417648315,21.48944091796875,-11.664374351501465,-1.1648898124694824,21.48944091796875,-11.664374351501465,-1.1648898124694824,21.5035400390625,-11.594842910766602,-1.0583884716033936,21.5035400390625,-11.594842910766602,-1.0583884716033936,21.5035400390625,-11.594842910766602,-1.0583884716033936,21.496826171875,-11.601119995117188,-1.093526005744934,6.463807130679076,11.419587707880751,-1.0,0.003447775628626692,0.3333333432674408,0.0,7.13,0
