Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.370600706262373,15.430429546050528,10.994382395463878,16.077258655227038,13.829463727764736,15.430932914171516,14.986630087828404,10.645267634200838,5.987776874706677,9.097927019891705,1791.2979736328125,38.46623611450195,980.57373046875,421.71551513671875,102.6204833984375,1749.253173828125,118.61837768554688,809.0149536132812,635.798583984375,369.0730285644531,1440.9700927734375,44.952396392822266,1365.77294921875,857.7503051757812,878.6993408203125,1626.5184326171875,260.4671325683594,867.6073608398438,1734.143310546875,854.43115234375,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.19607844948768616,0.2352941334247589,0.24313727021217346,0.250980406999588,0.20000001788139343,0.1725490242242813,0.1666666716337204,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,218.8133087158203,-27.016441345214844,-2.328619956970215,218.3046112060547,-27.426315307617188,-2.970651626586914,218.3046112060547,-27.426315307617188,-2.970651626586914,220.9188995361328,-25.089879989624023,0.7741212844848633,220.2600860595703,-24.05257225036621,1.1514867544174194,227.28123474121094,-23.67645835876465,8.133162498474121,227.28123474121094,-23.67645835876465,8.133162498474121,222.9617156982422,-25.82465362548828,1.7275772094726562,222.9617156982422,-25.82465362548828,1.7275772094726562,218.8133087158203,-27.016441345214844,-2.328619956970215,4.105959088669414,8.757025499489798,-1.0,0.009328159645232816,1.0,0.0,12.02,100
L-1:2,23.367918929989923,10.235531890304744,13.184770965186697,15.873350971870886,8.018263416222641,6.306314835428363,8.684717456510002,10.57818248248077,3.2409491209097077,1.400775774495203,1699.0159912109375,64.62820434570312,1253.42919921875,535.1543579101562,177.73785400390625,743.8734130859375,106.97676849365234,1458.0257568359375,261.48016357421875,744.447021484375,1097.1060791015625,188.65866088867188,544.3242797851562,248.53477478027344,736.3410034179688,1438.2152099609375,281.7729797363281,1255.2275390625,1249.4464111328125,136.9151611328125,0.21176472306251526,0.20000001788139343,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.24313727021217346,0.19607844948768616,0.24313727021217346,0.1882353127002716,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,218.8911590576172,-20.6315860748291,0.6443122029304504,219.00100708007812,-22.438304901123047,-0.5541435480117798,219.00100708007812,-22.438304901123047,-0.5541435480117798,217.71136474609375,-22.760520935058594,-1.8142410516738892,217.71136474609375,-22.760520935058594,-1.8142410516738892,219.1081085205078,-22.592906951904297,-0.7742131352424622,218.59947204589844,-20.852008819580078,1.3739606142044067,218.59947204589844,-20.852008819580078,1.3739606142044067,219.3413543701172,-21.990785598754883,1.863321304321289,218.8911590576172,-20.6315860748291,0.6443122029304504,5.245055147986489,1.8526344125322365,1.0,0.011029111338100101,6.0,0.0,12.34,32
L-1:3,6.935599633671892,5.914379582886957,16.71026634186579,22.834894723869475,4.882271548051444,12.899481985038026,3.168446809597014,4.49041760215769,5.370183757873606,8.20893964674749,1957.0867919921875,94.6175537109375,1547.1446533203125,1036.2950439453125,1305.15087890625,1095.075927734375,1032.5196533203125,740.4352416992188,1601.9923095703125,716.3004150390625,2535.43212890625,36.73125076293945,592.4210815429688,765.6842651367188,282.04486083984375,1266.6099853515625,257.47607421875,929.7410278320312,1657.2147216796875,1154.577392578125,0.18039216101169586,0.18039216101169586,0.1764705926179886,0.19607844948768616,0.2039215862751007,0.24313727021217346,0.33725491166114807,0.32156863808631897,0.29411765933036804,0.19607844948768616,0.1666666716337204,0.1666666716337204,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.2666666805744171,0.23333334922790527,0.20000001788139343,210.76268005371094,-24.477130889892578,-8.460318565368652,210.76268005371094,-24.477130889892578,-8.460318565368652,210.76268005371094,-24.477130889892578,-8.460318565368652,215.44798278808594,-22.207895278930664,-2.8416762351989746,215.44798278808594,-22.207895278930664,-2.8416762351989746,215.76051330566406,-22.2078914642334,-2.8416779041290283,215.76051330566406,-22.2078914642334,-2.8416779041290283,215.6813507080078,-23.862712860107422,-7.44558572769165,211.818359375,-24.194494247436523,-9.79912281036377,211.818359375,-24.194494247436523,-9.79912281036377,6.357698961003938,10.344666791295204,-1.0,0.007924669227486128,2.5,0.0,10.61,36
L-1:4,2.319529527766413,10.737631812928178,1.3199315376592016,0.5997086417001837,3.6313409391586364,12.441067860912447,19.44413755620564,14.992610044075683,4.747732022565957,10.758121318584463,1270.829345703125,193.89791870117188,407.1322326660156,400.2716064453125,492.8525695800781,1047.5235595703125,400.36846923828125,1055.851806640625,599.4546508789062,443.66986083984375,842.987548828125,153.54629516601562,666.658203125,604.0703125,195.2633819580078,585.2943115234375,54.257530212402344,826.229248046875,507.4527282714844,185.91664123535156,0.1764705926179886,0.18431372940540314,0.1764705926179886,0.19215688109397888,0.2352941334247589,0.24313727021217346,0.27843138575553894,0.32549020648002625,0.27843138575553894,0.1764705926179886,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.13333334028720856,216.70631408691406,-21.543033599853516,-0.03855812922120094,218.6263427734375,-19.821115493774414,1.408937931060791,218.48011779785156,-18.31291389465332,6.830050945281982,220.01416015625,-18.203109741210938,7.002396106719971,220.01416015625,-18.203109741210938,7.002396106719971,220.66871643066406,-18.05666732788086,6.9828643798828125,216.9171142578125,-18.452489852905273,3.7498748302459717,216.9171142578125,-18.452489852905273,3.7498748302459717,217.44432067871094,-20.959745407104492,1.9149888753890991,215.34982299804688,-21.844980239868164,-0.23530539870262146,9.7255147325695,12.423977404982532,-1.0,0.015306616460462615,5.5,3.51,16.26,100
L-1:5,2.5807367106679715,10.882592662504134,13.363748309276394,5.430074420580822,12.335856748810397,9.444259323150163,9.073208392842716,12.444085962079342,4.640543312408675,6.159529278342407,1090.1563720703125,67.12429809570312,584.8787231445312,464.1079406738281,669.8216552734375,1536.439697265625,147.671875,419.975341796875,649.9990844726562,476.04638671875,540.010986328125,75.61280059814453,1177.3148193359375,493.1846923828125,747.6284790039062,787.0128173828125,1407.8919677734375,1843.984130859375,1603.09716796875,1055.3076171875,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.20000001788139343,0.2039215862751007,0.2352941334247589,0.23137256503105164,0.18039216101169586,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.1666666716337204,0.13333334028720856,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,216.5238800048828,-18.838329315185547,0.11131422966718674,215.12705993652344,-17.350923538208008,-1.4869506359100342,214.34091186523438,-18.319883346557617,-4.179086208343506,214.67581176757812,-20.104877471923828,-5.872682571411133,214.46322631835938,-21.127038955688477,-6.732487678527832,215.57171630859375,-19.75119972229004,-4.417435169219971,215.57171630859375,-19.75119972229004,-4.417435169219971,219.2031707763672,-18.348316192626953,0.9118391871452332,217.1650848388672,-18.24567222595215,0.9695959091186523,217.1650848388672,-18.24567222595215,0.9695959091186523,4.420883451810953,1.7319075409932785,1.0,0.012284034373586612,4.5,0.0,15.52,0
L-1:6,4.442382891771949,8.770935029601974,4.228190969384261,16.089990717258587,11.062956251747876,9.87409584495227,4.282000292828972,2.454421050337149,10.531084605792007,4.37264819864669,1722.466064453125,93.68438720703125,1002.6410522460938,116.40863800048828,745.3118896484375,1249.288818359375,572.235107421875,356.0526123046875,1259.844970703125,641.3978271484375,1053.7509765625,173.61236572265625,738.068115234375,668.7225341796875,391.5699157714844,603.6813354492188,328.5053405761719,604.6110229492188,833.72021484375,527.3934936523438,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2352941334247589,0.2862745225429535,0.24705883860588074,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,212.6746826171875,-25.155445098876953,-10.132184028625488,212.6746826171875,-25.155445098876953,-10.132184028625488,213.1036376953125,-25.053041458129883,-9.770015716552734,214.61566162109375,-23.136072158813477,-7.348259925842285,213.97512817382812,-21.3002986907959,-4.430448532104492,213.4143524169922,-22.237571716308594,-6.180488586425781,213.4143524169922,-22.237571716308594,-6.180488586425781,216.18417358398438,-24.1824951171875,-5.24813985824585,212.08067321777344,-25.0446834564209,-9.708725929260254,212.08067321777344,-25.0446834564209,-9.708725929260254,4.979951960852069,2.1341272781008005,-1.0,0.013753362022592792,2.0,0.0,14.61,0
L-1:7,17.70879817836842,22.049363754049768,8.030894213466066,0.6898163697739527,4.11450430211079,15.03201178880726,6.169205077461052,5.844831627850429,16.47205997493434,0.8218369268039346,983.15087890625,467.61895751953125,1077.418212890625,399.5543212890625,270.7815856933594,1123.5401611328125,84.9565658569336,441.61370849609375,727.4209594726562,487.7491760253906,1941.0577392578125,23.158872604370117,706.0882568359375,510.52899169921875,58.34162902832031,696.3435668945312,127.48794555664062,467.616943359375,332.28558349609375,471.4275207519531,0.1764705926179886,0.1725490242242813,0.1764705926179886,0.20000001788139343,0.24313727021217346,0.2039215862751007,0.2862745225429535,0.1764705926179886,0.33725491166114807,0.29019609093666077,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.23333334922790527,209.0447540283203,-19.06259536743164,-2.3558199405670166,209.0447540283203,-19.06259536743164,-2.3558199405670166,213.25462341308594,-18.235271453857422,0.7342196702957153,216.18446350097656,-16.95623779296875,2.0753743648529053,214.28086853027344,-15.376909255981445,0.656400203704834,214.28086853027344,-15.376909255981445,0.656400203704834,214.17796325683594,-15.772991180419922,-0.5719562768936157,214.02699279785156,-18.237974166870117,-2.7225871086120605,211.06744384765625,-19.582860946655273,-4.521971225738525,209.2162322998047,-19.387752532958984,-3.909501314163208,24.529961327187358,9.56706247477979,-1.0,0.013813747228381376,5.5,0.0,17.8,0
L-1:8,3.1406446334417337,4.25304329807912,3.320740200391562,4.1996594912021585,2.157529887369817,6.947184997964241,16.104567449017242,5.475953110052025,6.434076767842848,0.3727847740848102,254.2557373046875,86.53141784667969,498.1620178222656,557.4116821289062,154.95057678222656,406.2752380371094,250.96376037597656,476.1935729980469,114.1673812866211,75.6434097290039,1098.3067626953125,135.6778106689453,754.6228637695312,710.7745361328125,250.15667724609375,451.54803466796875,116.73458862304688,685.3079833984375,665.4246826171875,195.96726989746094,0.1764705926179886,0.1725490242242813,0.1725490242242813,0.1764705926179886,0.20000001788139343,0.23137256503105164,0.24313727021217346,0.3294117748737335,0.24705883860588074,0.20000001788139343,0.1666666716337204,0.13333334028720856,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.20000001788139343,215.2589569091797,-19.275657653808594,-3.5950002670288086,217.32037353515625,-19.293872833251953,-1.900322437286377,219.7338409423828,-19.90345001220703,-0.06863616406917572,219.07376098632812,-20.052743911743164,-1.3959555625915527,217.29002380371094,-18.350379943847656,-4.835200786590576,216.98765563964844,-18.766820907592773,-4.995670795440674,216.98765563964844,-18.766820907592773,-4.995670795440674,216.07803344726562,-19.797861099243164,-6.098567485809326,214.6154022216797,-20.811071395874023,-6.971979141235352,215.17745971679688,-20.66946792602539,-5.690408229827881,5.4439477867912505,11.815560860572406,-1.0,0.02098528638991067,2.0,4.89,22.82,0
L-1:9,3.810160215235734,2.4616882942589315,13.106717027503894,5.3984417890714385,4.150707343753147,4.060466525653041,10.258601718462586,7.017540023229276,1.5158665831495863,1.8730569073091523,1345.335693359375,71.12278747558594,1079.1678466796875,797.272216796875,163.27618408203125,703.8805541992188,220.84097290039062,904.6365356445312,739.185791015625,549.401611328125,685.9895629882812,35.882904052734375,787.6845703125,797.2993774414062,714.6505737304688,815.479248046875,271.3698425292969,681.0638427734375,330.819091796875,568.2367553710938,0.23137256503105164,0.20000001788139343,0.1764705926179886,0.1764705926179886,0.20000001788139343,0.2392157018184662,0.2352941334247589,0.27450981736183167,0.24705883860588074,0.2039215862751007,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.20000001788139343,224.55535888671875,-27.649805068969727,-4.790130615234375,224.55535888671875,-27.649805068969727,-4.790130615234375,224.2329864501953,-30.684555053710938,-5.38856840133667,221.8427276611328,-30.676576614379883,-4.756274223327637,221.64315795898438,-29.091854095458984,-3.4476966857910156,217.2186279296875,-30.4204158782959,-8.711719512939453,219.3172607421875,-28.541696548461914,-6.520613670349121,219.3172607421875,-28.541696548461914,-6.520613670349121,220.1908416748047,-25.645610809326172,-4.460081577301025,221.4190673828125,-24.418718338012695,-3.919151544570923,8.444425091915816,2.4955800445371863,1.0,0.014834602570204664,3.0,0.0,17.81,0
L-1:10,0.8256552306164572,5.8723613894355005,3.7939149698922243,0.6510814424634137,4.498876279054168,0.7510082000410326,5.716938821608039,3.480226099386516,0.5120225000349464,6.798852028545913,565.609130859375,148.30575561523438,1288.208740234375,936.131103515625,235.044921875,365.32659912109375,96.80348205566406,996.8969116210938,416.23291015625,254.35592651367188,600.3314819335938,132.0386505126953,1148.78173828125,1085.9329833984375,299.7850036621094,857.231201171875,73.62507629394531,905.9095458984375,874.4522094726562,635.004638671875,0.2039215862751007,0.23137256503105164,0.20000001788139343,0.20000001788139343,0.18039216101169586,0.19607844948768616,0.2039215862751007,0.2039215862751007,0.23137256503105164,0.2039215862751007,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.23333334922790527,0.20000001788139343,219.6073760986328,-26.330671310424805,-3.715113401412964,219.3268585205078,-27.730249404907227,-4.535846710205078,219.3268585205078,-27.730249404907227,-4.535846710205078,217.8124542236328,-29.058391571044922,-5.204174995422363,214.4210968017578,-28.86332893371582,-7.351216793060303,214.4210968017578,-28.86332893371582,-7.351216793060303,218.4771728515625,-27.777048110961914,-4.447486877441406,219.08615112304688,-26.32874870300293,-2.200765609741211,219.08615112304688,-26.32874870300293,-2.200765609741211,219.87203979492188,-27.086830139160156,-4.393163681030273,7.163232239917399,2.482686538438717,1.0,0.013871951219512197,1.0,0.0,14.3,0
