Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.941656738190772,2.3828850707776983,9.115953795642072,9.125486532620142,0.7439311090799746,2.893104631718674,2.1920859811733995,2.933986755864243,3.1070452853177426,3.5956448364414766,897.8961181640625,37.37562561035156,621.5453491210938,283.64520263671875,76.5743408203125,280.7491149902344,79.5064926147461,489.0341796875,441.61962890625,191.7984619140625,978.5193481445313,0.002644255058839917,898.123291015625,374.48822021484375,33.7476692199707,344.794677734375,120.23200988769531,752.4144897460938,700.6111450195313,442.17816162109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.863319799929193,9.80609810871489,1.0,0.021230141218005292,5.5,0.0,27.49,68
L-1:2,2.166644787114349,0.9906149107092002,2.998475038074295,7.078198552882495,0.6172674601457194,0.7165780724199805,6.1979345225486755,1.4052611477273447,3.692293581251451,4.398909892505696,556.933837890625,41.55757141113281,508.790771484375,346.2254943847656,121.82417297363281,504.3753662109375,0.0,0.0,1005.6640625,323.95074462890625,732.9609375,8.272287368774414,561.4910888671875,461.7010803222656,338.80914306640625,747.1375122070313,210.14569091796875,899.4532470703125,771.924072265625,425.9412536621094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.476706977845716,4.312530382693727,-1.0,0.019988151658767776,2.0,0.0,26.51,32
L-1:3,1.9307250515899783,2.2202990241700746,4.805267754186485,3.57566961628864,2.678420124689472,1.9200932156099821,1.8090804594170073,6.159985434568718,3.9289310147164977,4.495523261238629,646.0989990234375,34.35385513305664,671.7300415039063,489.5598449707031,0.039204977452754974,836.73388671875,92.55331420898438,556.8721313476563,361.1557922363281,293.1152648925781,426.31231689453125,31.6623592376709,294.07135009765625,189.79190063476563,94.84627532958984,421.4659423828125,107.57402038574219,482.8211364746094,408.1114807128906,422.7702331542969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260720984160677,7.717007660658303,-1.0,0.023137529137529134,6.5,0.0,28.36,32
L-1:4,9.117161825582333,2.724578091589603,6.855495973746953,24.821507533544416,30.106873620848116,27.19003629550576,22.413790153516135,4.808474548241091,6.068326203833898,5.420781312426839,1111.7225341796875,9.584578514099121,859.3290405273438,414.3050231933594,412.34832763671875,562.9486083984375,62.36648941040039,856.3045654296875,1019.8406372070313,686.966796875,420.18060302734375,52.47578811645508,756.4426879882813,478.6615905761719,6.65418004989624,1339.701171875,565.839599609375,1211.859619140625,532.017333984375,1264.7138671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.260573441356375,13.9957953843098,1.0,0.012788248337028825,14.5,3.18,23.07,0
L-1:5,0.8388452112085902,1.261059057515363,1.0386476186225195,1.4326797758056327,1.8010825643966133,3.1092519757135046,2.2254000138667704,5.056345449495987,4.420785860071654,2.5672191607922965,576.6025390625,0.03802499175071716,466.7904968261719,360.1121826171875,102.6528091430664,401.39581298828125,71.79386138916016,308.9346618652344,286.2424011230469,279.5061340332031,313.56103515625,11.399210929870605,166.96485900878906,130.73623657226563,0.004658035468310118,504.162841796875,119.91825103759766,117.47267150878906,184.69052124023438,160.4211883544922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.995654442870647,2.9830907085842977,1.0,0.02426340326340326,2.0,0.0,29.74,0
L-1:6,2.677858753223349,3.3148471309894507,11.219752161342802,4.337947028097778,6.802759760120524,0.7081830513242806,3.1784517844136353,5.158840178053683,1.0312156983122869,4.45917706637091,735.3133544921875,11.835443496704102,495.9161071777344,294.2917785644531,362.1603698730469,547.8238525390625,127.0960693359375,127.16755676269531,534.3341674804688,375.9713439941406,163.92401123046875,25.88919448852539,521.0294189453125,230.14981079101563,0.0017779840854927897,620.6149291992188,172.04238891601563,622.1287841796875,589.869873046875,523.8295288085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.459023443410484,6.5461787086155665,1.0,0.025098112270243417,0.5,0.0,28.87,0
L-1:7,15.072435721005704,1.1217440128901779,1.2365617990280424,2.657169922510125,1.1249667087813944,4.595574476566826,2.8784875676139556,0.6164243654283049,2.033430525607598,8.085677204761629,370.7503967285156,131.95571899414063,346.69537353515625,306.6160888671875,169.9103240966797,548.2218017578125,76.52845764160156,372.9974670410156,289.4764404296875,208.32684326171875,822.3363647460938,0.0340738520026207,518.97802734375,252.70086669921875,33.81002426147461,602.2146606445313,94.5438232421875,774.6445922851563,1274.028076171875,1509.2813720703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.409287575988012,2.5853200536405354,1.0,0.022118768328445747,0.5,0.0,30.17,0
L-1:8,18.990019337836433,16.717158863893115,5.094583509168276,11.2610250960696,19.728204963253972,8.96201079891995,9.846267787287452,3.274476769681077,13.816353007262892,16.017274832145553,846.7252197265625,3.1758923530578613,702.270263671875,389.518798828125,614.169677734375,958.8916015625,12.448895454406738,932.836669921875,1056.2197265625,678.71337890625,1142.03125,151.27706909179688,823.6575927734375,260.1837463378906,72.29127502441406,721.2206420898438,233.74899291992188,621.3607177734375,549.6715698242188,513.570068359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.59107327850573,10.882205489067637,1.0,0.016312754409769332,3.5,6.13,20.61,0
L-1:9,7.230772296591803,10.620199648163984,8.561279219156688,0.5738510500718916,7.698786813157198,0.7061940777104543,4.347668257445951,4.445885432335993,1.6955504089355802,2.070546828802624,667.8201293945313,22.913833618164063,734.115966796875,311.72784423828125,0.01350447814911604,394.3592529296875,227.17408752441406,351.9121398925781,411.0231628417969,350.25006103515625,303.0605773925781,60.87828826904297,665.3605346679688,301.3542175292969,0.0021490566432476044,388.1129455566406,163.50201416015625,1067.4945068359375,398.84295654296875,415.7881164550781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761778854827097,1.1576309338717776,1.0,0.02311049323017408,4.5,0.0,27.31,0
L-1:10,0.46646656161803646,0.6781171208598731,12.861852955029391,3.659752676180521,6.018916781854857,1.8786108752967636,3.901771954527537,3.5963943662909834,2.8994692487605613,8.133119562104703,424.8548889160156,8.954434394836426,355.3785095214844,315.3643493652344,272.21527099609375,614.4642944335938,196.3360137939453,303.4707336425781,990.7245483398438,1117.213623046875,746.3851318359375,27.859771728515625,493.9856262207031,290.45074462890625,215.35704040527344,556.8529052734375,14.6402006149292,304.494873046875,638.5494384765625,366.47998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25724428664742,5.4293927469391035,1.0,0.022296238244514106,0.5,0.0,28.45,0
