Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.783186487605389,0.9878846090751239,1.366765395991117,3.920831019517429,5.239209509859997,4.190763653560053,6.483387360671965,1.7549488570828458,1.5075209495178854,2.26938673313467,804.2232666015625,40.53054428100586,821.2182006835938,438.5212097167969,367.61077880859375,964.0330200195312,243.18643188476562,606.2943115234375,378.6801452636719,243.30177307128906,620.3924560546875,30.91042137145996,279.21124267578125,183.26808166503906,164.87257385253906,961.2344970703125,164.19741821289062,690.8130493164062,922.63330078125,614.0167846679688,0.3294117748737335,0.3294117748737335,0.3490196168422699,0.33725491166114807,0.3529411852359772,0.35686275362968445,0.33725491166114807,0.2980392277240753,0.3137255012989044,0.3137255012989044,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,273.7379150390625,-61.21244430541992,3.8634750843048096,277.861083984375,-60.57080841064453,3.651120185852051,279.2335205078125,-62.58723068237305,3.3063247203826904,278.41351318359375,-65.85431671142578,3.113973379135132,274.08819580078125,-65.8508071899414,3.8007631301879883,268.44970703125,-66.89441680908203,3.1992886066436768,264.819580078125,-67.3287353515625,2.271151065826416,266.75054931640625,-66.29920196533203,2.4601073265075684,269.96759033203125,-65.00434112548828,2.8269155025482178,271.29669189453125,-61.72232437133789,3.6356284618377686,3.1622776601683795,4.615015882478044,1.0,0.01609625668449198,1.0,0.0,43.0,108
L-1:2,0.3535533905932738,0.40271097177406756,3.0791488797197664,5.053920662247116,4.06178049294499,3.7165171868296265,3.4011521733269454,0.8689950692774518,1.0862208670030569,0.45870852636886567,811.583984375,193.96493530273438,364.37109375,307.31634521484375,128.04736328125,438.1578369140625,120.42974090576172,756.894775390625,622.442138671875,295.3934020996094,787.3779296875,119.76847076416016,482.8912353515625,362.5077819824219,323.7001037597656,1319.5255126953125,458.24053955078125,1052.204345703125,341.69061279296875,115.08772277832031,0.3333333432674408,0.3137255012989044,0.2862745225429535,0.30980393290519714,0.3294117748737335,0.32549020648002625,0.32549020648002625,0.3333333432674408,0.3294117748737335,0.364705890417099,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.46666669845581055,274.62567138671875,-63.341156005859375,5.440604209899902,275.74847412109375,-63.54130554199219,5.085646629333496,275.79888916015625,-63.46461868286133,5.150336742401123,274.81591796875,-64.43087768554688,5.419889450073242,270.60675048828125,-66.98135375976562,5.324704170227051,268.84564208984375,-67.84300231933594,5.157881259918213,269.1942138671875,-67.59868621826172,5.225277423858643,269.74761962890625,-67.45259857177734,5.1487274169921875,271.0390625,-67.16764831542969,5.082738876342773,273.92706298828125,-63.07234191894531,5.322791576385498,1.7677669529663689,9.460660064306062,-1.0,0.015806319003993423,3.25,0.0,38.45,4
L-1:3,2.0155644370746373,6.338051663081897,3.4433532233457393,8.10458413705678,10.17327027645561,11.879604370516722,14.85948327098468,7.17714142931256,12.301748165560372,0.10192615908588676,630.670166015625,176.18621826171875,466.4391174316406,348.2391662597656,244.08253479003906,645.6226196289062,229.9096221923828,675.8511962890625,454.3968505859375,499.9591064453125,861.5121459960938,122.72327423095703,900.8052368164062,603.5816040039062,227.06292724609375,535.5322265625,287.2612609863281,1485.4405517578125,562.9551391601562,678.6383666992188,0.30980393290519714,0.3176470696926117,0.3019607961177826,0.30588236451148987,0.3450980484485626,0.3490196168422699,0.3294117748737335,0.32549020648002625,0.30980393290519714,0.3137255012989044,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,276.1444091796875,-62.6122932434082,4.117415428161621,276.9801940917969,-62.55718994140625,3.5078539848327637,276.8340148925781,-62.954833984375,2.8854715824127197,274.8072509765625,-64.02145385742188,2.1650004386901855,269.98126220703125,-65.73573303222656,2.2594501972198486,268.01739501953125,-66.7807846069336,2.9990193843841553,268.0857238769531,-67.1256103515625,3.4350316524505615,269.1745910644531,-66.95588684082031,3.9846103191375732,271.37152099609375,-63.7213249206543,4.445821285247803,274.91546630859375,-62.89451599121094,4.195990085601807,1.8200274723201295,4.484841925616875,1.0,0.012142613636363637,5.5,0.0,30.53,36
L-1:4,9.219544457292887,6.179669492334309,3.5557187423532572,14.544814446695717,7.891704923682797,10.73836579745726,16.22152943607366,19.481763498260477,11.780545831804615,9.971705205279834,973.18798828125,169.67164611816406,609.018798828125,1084.6875,413.640869140625,1169.033935546875,188.43426513671875,931.411376953125,1028.01806640625,504.228759765625,829.0965576171875,113.18036651611328,355.3392333984375,356.9152526855469,103.79730987548828,414.3004455566406,107.67843627929688,614.4120483398438,342.52337646484375,840.2496337890625,0.3137255012989044,0.3294117748737335,0.3176470696926117,0.3019607961177826,0.29019609093666077,0.27450981736183167,0.27450981736183167,0.2862745225429535,0.2823529541492462,0.29411765933036804,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.3333333432674408,0.40000003576278687,280.3103332519531,-60.81703186035156,12.653486251831055,288.2695617675781,-66.12025451660156,15.372564315795898,293.6341552734375,-69.85680389404297,16.581478118896484,304.6929626464844,-72.85173034667969,17.162975311279297,307.7741394042969,-71.14824676513672,17.73067283630371,303.84381103515625,-73.20623779296875,16.729215621948242,292.02496337890625,-72.8390121459961,14.756241798400879,279.42413330078125,-69.5006103515625,9.211112022399902,275.70928955078125,-67.02114868164062,6.96068000793457,278.66064453125,-59.772796630859375,12.754203796386719,7.1501748230375455,9.023749206750626,1.0,0.011810361681329424,1.25,3.59,34.52,64
L-1:5,1.0606601717798212,0.8813646021761624,1.565608601199586,3.3664969590491656,2.990451065475284,3.5355339059327378,4.095826483326493,1.4412756180330355,2.148261833792999,3.3406722095560673,544.5704956054688,65.34739685058594,888.9180297851562,528.798828125,265.7414855957031,683.3019409179688,294.2490539550781,730.8031005859375,457.48089599609375,350.4602355957031,682.1796875,6.156010150909424,606.3483276367188,511.15533447265625,243.6373748779297,646.040771484375,251.22547912597656,726.06103515625,733.6105346679688,330.5693054199219,0.3450980484485626,0.3333333432674408,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3294117748737335,0.3294117748737335,0.34117648005485535,0.3450980484485626,0.3490196168422699,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,272.1883239746094,-68.14295196533203,11.5230131149292,271.59423828125,-66.61050415039062,9.535975456237793,271.29278564453125,-66.89900207519531,9.694689750671387,270.9093933105469,-67.99748229980469,10.709643363952637,269.6317138671875,-69.24542236328125,11.194161415100098,266.4898986816406,-71.28687286376953,11.169267654418945,266.02020263671875,-71.68061065673828,11.198420524597168,266.31732177734375,-71.43917083740234,11.20608139038086,269.3382263183594,-70.66032409667969,11.670975685119629,271.02099609375,-68.9704818725586,11.693392753601074,4.7762432936357,1.6093506115126412,-1.0,0.014861301840153805,0.25,0.0,30.92,36
L-1:6,3.5355339059327378,0.5516836910507515,5.74549370481343,1.2299463700099909,4.712632271235752,2.704163456597992,3.639314749265074,6.293668586269565,7.652644748392001,5.22041300917011,713.7393798828125,83.1119155883789,356.3030090332031,335.1155700683594,351.8797302246094,1049.1505126953125,183.75460815429688,924.5750122070312,450.4472961425781,172.4884033203125,960.966552734375,302.66119384765625,810.71630859375,755.0725708007812,200.17173767089844,610.8780517578125,378.208740234375,836.3591918945312,450.0297546386719,588.5205688476562,0.3176470696926117,0.3176470696926117,0.2980392277240753,0.30980393290519714,0.32549020648002625,0.33725491166114807,0.3450980484485626,0.3294117748737335,0.3294117748737335,0.3137255012989044,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,274.03289794921875,-66.80530548095703,10.071375846862793,275.07904052734375,-66.34471893310547,9.981465339660645,274.22503662109375,-66.68540954589844,9.175702095031738,272.6593933105469,-67.73844146728516,8.996430397033691,269.8936767578125,-69.05682373046875,9.20181655883789,268.7987365722656,-69.95242309570312,9.852373123168945,264.5067138671875,-72.70329284667969,9.802780151367188,265.2300720214844,-71.51249694824219,9.5963716506958,268.80010986328125,-68.88316345214844,9.75385856628418,271.3603515625,-67.77632141113281,10.057257652282715,1.4577379737113252,5.448784367376606,1.0,0.014338578088578087,3.5,0.0,35.15,68
L-1:7,4.0697051490249265,8.415004336013675,2.2014933551039926,7.091442686633225,0.6078344380493185,2.1360009363293826,1.7419826568526575,3.277921888333487,1.074590932280344,4.361631932506236,817.713134765625,116.05049133300781,572.6892700195312,451.87042236328125,37.15742492675781,680.7174072265625,232.68206787109375,729.6339111328125,363.9595031738281,449.6588439941406,406.3540954589844,139.8760528564453,531.6766357421875,243.27560424804688,242.95948791503906,328.3692321777344,88.7323226928711,510.5939636230469,741.02880859375,429.3844909667969,0.33725491166114807,0.32156863808631897,0.3137255012989044,0.30980393290519714,0.3137255012989044,0.32549020648002625,0.3294117748737335,0.33725491166114807,0.3529411852359772,0.33725491166114807,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,275.0668029785156,-65.43206024169922,12.15677547454834,274.9975280761719,-65.58815002441406,12.4498872756958,273.9787292480469,-66.51116943359375,12.496234893798828,272.1045837402344,-67.81005859375,12.261208534240723,268.09130859375,-71.47552490234375,11.727524757385254,266.22869873046875,-72.6519546508789,11.489537239074707,265.7080993652344,-73.09174346923828,11.43891429901123,268.2309875488281,-73.0066146850586,11.907991409301758,269.994140625,-72.06655883789062,12.194281578063965,274.42633056640625,-68.15522766113281,12.579334259033203,7.504165509901817,3.37002498404189,-1.0,0.016140819964349375,1.25,0.0,36.22,108
L-1:8,3.0413812651491097,4.406831131965013,5.458413931942318,4.1317072053162045,2.8718003658070113,6.5431261641512,9.059882024081064,5.997680234044983,24.060951542659186,14.391435001408066,818.4954833984375,75.25491333007812,513.6339111328125,344.8448791503906,128.44619750976562,734.0982666015625,65.90149688720703,601.06689453125,670.6311645507812,472.92926025390625,774.8204345703125,47.386207580566406,298.5382995605469,304.81903076171875,0.0,0.0,352.50750732421875,946.4583740234375,503.1220397949219,615.7972412109375,0.34117648005485535,0.3529411852359772,0.3490196168422699,0.3529411852359772,0.3333333432674408,0.3176470696926117,0.30588236451148987,0.21568629145622253,0.3019607961177826,0.3176470696926117,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.2666666805744171,0.40000003576278687,0.40000003576278687,285.0008239746094,-66.12019348144531,14.10998249053955,287.28521728515625,-68.13126373291016,14.690251350402832,293.3293151855469,-72.40338897705078,16.29413604736328,296.4886474609375,-75.04907989501953,16.761497497558594,296.9018249511719,-74.98799133300781,16.772844314575195,292.7173156738281,-72.9991226196289,14.48897647857666,283.0400695800781,-66.09359741210938,11.0936918258667,279.5697021484375,-63.69707107543945,9.572214126586914,281.7944030761719,-64.60140991210938,14.005897521972656,281.6453857421875,-64.08662414550781,13.532602310180664,10.04987562112089,4.3121456819200565,1.0,0.014326077148657794,5.25,1.4,36.29,64
L-1:9,5.006246098625197,0.09270655512154495,4.158306815773609,6.940942548557287,1.1141262048634508,4.257346591481601,5.097494237440837,0.6274707025446442,3.405428860441671,4.116114636769244,917.7125244140625,56.457027435302734,445.32891845703125,320.2129821777344,312.88543701171875,711.3516235351562,153.92938232421875,680.4005737304688,617.43408203125,431.61724853515625,990.3944091796875,79.84459686279297,437.4667053222656,323.82879638671875,116.86096954345703,291.15087890625,222.39122009277344,673.6958618164062,336.7814025878906,343.35009765625,0.3333333432674408,0.33725491166114807,0.3490196168422699,0.33725491166114807,0.32549020648002625,0.3490196168422699,0.35686275362968445,0.3529411852359772,0.32156863808631897,0.32156863808631897,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.40000003576278687,274.0003356933594,-66.7214126586914,10.192305564880371,274.358154296875,-66.38837432861328,10.078923225402832,274.12725830078125,-66.04306030273438,9.976757049560547,272.55682373046875,-67.29039001464844,10.118999481201172,271.2548828125,-68.04383087158203,9.902671813964844,271.0830383300781,-70.17903137207031,12.058286666870117,269.7712707519531,-70.02935791015625,11.976444244384766,269.54541015625,-69.87287902832031,11.707740783691406,270.4181823730469,-69.17444610595703,11.301270484924316,272.336669921875,-67.79757690429688,10.360539436340332,4.527692569068709,1.7946774119301547,1.0,0.015106759235001313,2.5,0.0,32.95,0
L-1:10,0.75,0.9672974390473978,0.6274707025446159,3.708918716969462,8.844440170675732,4.00780488547035,4.651944350729194,7.094735113969994,4.905736335200662,2.171825651421386,768.7447509765625,48.25536346435547,340.8759460449219,179.19369506835938,9.929583549499512,957.1871948242188,336.334228515625,618.9256591796875,516.9173583984375,379.4436950683594,737.565185546875,79.66450500488281,479.66131591796875,327.0062255859375,280.0486145019531,642.971435546875,174.22955322265625,813.1405639648438,218.04067993164062,302.3066711425781,0.32156863808631897,0.3176470696926117,0.30588236451148987,0.32549020648002625,0.33725491166114807,0.3450980484485626,0.33725491166114807,0.3333333432674408,0.3176470696926117,0.32549020648002625,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,275.08502197265625,-67.88180541992188,10.968488693237305,275.75750732421875,-67.36949157714844,10.982941627502441,275.8029479980469,-67.22512817382812,10.886491775512695,272.6963806152344,-71.6341323852539,12.337770462036133,269.8486328125,-72.31741333007812,12.093218803405762,268.5834045410156,-72.34536743164062,12.015527725219727,270.1003112792969,-71.66513061523438,11.75955867767334,270.1003112792969,-71.66513061523438,11.75955867767334,272.14410400390625,-70.04597473144531,11.618956565856934,273.02606201171875,-69.29301452636719,11.33695125579834,9.334077351297235,6.0906150496395295,1.0,0.01780710586881473,5.25,0.0,35.37,0
