Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.768414893939613,3.3907225884996053,6.809742812787801,1.7326195481240498,3.0594643328837297,5.0834505926045415,1.2601585527523975,7.184082170557244,2.2130182194378576,2.8875035821656927,810.0836791992188,44.805599212646484,604.964111328125,431.7232360839844,369.5953369140625,1056.206787109375,267.0409851074219,1022.783935546875,619.3114013671875,302.6199035644531,1005.844482421875,46.84830856323242,757.1473999023438,352.7089538574219,280.4853515625,708.6732788085938,438.23345947265625,929.4409790039062,1217.77978515625,664.0656127929688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.0313725508749485,237.6359100341797,-39.73343276977539,-20.012943267822266,239.7169952392578,-38.588905334472656,-17.589275360107422,236.71556091308594,-44.67945861816406,-23.10825538635254,236.71556091308594,-44.67945861816406,-23.10825538635254,235.46197509765625,-47.43336486816406,-25.49056053161621,234.73968505859375,-48.406551361083984,-26.67314910888672,234.83433532714844,-48.108943939208984,-27.139820098876953,235.71505737304688,-44.931312561035156,-26.016380310058594,236.60552978515625,-42.42970275878906,-23.874359130859375,237.6359100341797,-39.73343276977539,-20.012943267822266,13.768316021067697,5.079685118999686,1.0,0.013587764436821042,2.0000000596046448,0.0,27.16,68
L-1:2,3.5188029221064214,11.893267664598923,8.876291253745249,10.015855837499089,13.779207870835364,4.031267153171996,0.47216265254160594,0.6541493728503198,4.752608771159294,6.086050767870982,1446.332275390625,179.22377014160156,1071.2110595703125,23.851320266723633,190.12579345703125,1237.6553955078125,390.75897216796875,711.0193481445312,852.6526489257812,820.7277221679688,1010.3422241210938,388.8938293457031,829.2540283203125,502.0642395019531,129.2220916748047,633.8221435546875,709.9707641601562,1417.3438720703125,1056.4644775390625,826.6403198242188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,228.31805419921875,-49.173072814941406,-30.370798110961914,228.31805419921875,-49.173072814941406,-30.370798110961914,228.06057739257812,-51.26072311401367,-30.909034729003906,228.06057739257812,-51.26072311401367,-30.909034729003906,227.59974670410156,-52.56976318359375,-31.966751098632812,226.77099609375,-53.3701057434082,-32.804386138916016,226.77099609375,-53.3701057434082,-32.804386138916016,227.27023315429688,-51.81767654418945,-32.53501892089844,227.21446228027344,-50.82509231567383,-32.34760665893555,227.21446228027344,-50.82509231567383,-32.34760665893555,16.60055072173706,3.8173553591648095,1.0,0.01145841001104159,1.666666716337204,0.0,17.79,68
L-1:3,1.484576625037307,7.510333701546925,1.3436138959718664,3.579234678084851,3.9715210249574397,0.8537142670484454,3.1293709365003406,9.6721917607229,1.123510307629781,7.606398750371115,1129.01513671875,334.3569641113281,644.1134643554688,458.6240234375,181.9791259765625,746.3732299804688,568.907470703125,1081.849609375,804.2739868164062,810.2371215820312,1066.103515625,45.20537567138672,1190.1597900390625,504.28363037109375,322.3606872558594,955.060546875,643.765869140625,1138.372314453125,1316.629638671875,1087.8677978515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,235.73239135742188,-34.155906677246094,-24.198339462280273,236.63455200195312,-33.91850280761719,-23.308517456054688,237.44894409179688,-33.49641799926758,-23.97711181640625,236.85552978515625,-35.83230209350586,-25.68326759338379,235.84967041015625,-38.73406219482422,-28.53681182861328,234.80996704101562,-40.093563079833984,-30.1513614654541,233.92193603515625,-40.537925720214844,-31.068471908569336,233.06240844726562,-39.87117004394531,-30.695863723754883,233.75599670410156,-37.1447868347168,-27.52670669555664,233.75599670410156,-37.1447868347168,-27.52670669555664,10.393232922476018,4.673091838639745,1.0,0.010868478600437364,4.0000001192092896,0.0,19.88,100
L-1:4,20.951362990075904,23.08064152413554,8.615878475271131,12.934286386303041,4.26676235960184,10.425018792795235,19.863072729748534,15.685525313066373,10.818021820859167,13.641230888205005,1951.4693603515625,388.4158020019531,866.11181640625,920.849365234375,197.20310974121094,1253.5882568359375,137.39500427246094,1169.3668212890625,1031.2371826171875,1344.8253173828125,2376.33203125,49.95172119140625,1694.444091796875,754.9978637695312,244.56369018554688,2670.277099609375,575.5598754882812,2187.251953125,1864.2718505859375,1545.095947265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.03921568766236305,237.94256591796875,-29.49916648864746,-28.75566864013672,241.54583740234375,-26.551645278930664,-23.304046630859375,242.63766479492188,-26.899154663085938,-22.1318302154541,238.2549591064453,-34.32490539550781,-31.81024169921875,238.790771484375,-35.540523529052734,-33.87715530395508,238.790771484375,-35.540523529052734,-33.87715530395508,238.14801025390625,-35.92940139770508,-35.81321716308594,237.32476806640625,-33.076171875,-34.38298416137695,237.32476806640625,-33.076171875,-34.38298416137695,237.94256591796875,-29.49916648864746,-28.75566864013672,21.912315676699354,7.902001752640101,1.0,0.0076029159519725555,5.333333492279053,11.38,17.73,64
L-1:5,2.6202693852411167,4.746952288432727,11.98082006976974,8.914346136699066,8.823840117692816,1.7208326161365834,12.182598050770304,3.539285314036549,1.168101494967856,4.836193070351699,1091.9068603515625,284.84716796875,782.175048828125,485.4750671386719,268.7408447265625,595.9361572265625,300.6219787597656,685.957763671875,694.384033203125,506.4700012207031,465.751708984375,174.74932861328125,551.6934204101562,210.2701416015625,332.30792236328125,975.8685302734375,237.01683044433594,970.6985473632812,1565.8538818359375,844.3351440429688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,231.04486083984375,-42.26142883300781,-34.76508331298828,231.66473388671875,-42.0008659362793,-34.06085205078125,232.1925048828125,-42.327491760253906,-34.11517333984375,232.23751831054688,-43.20149612426758,-34.479251861572266,232.37109375,-45.084049224853516,-35.679874420166016,232.02230834960938,-45.846492767333984,-36.24220657348633,225.79086303710938,-53.21445083618164,-41.51305389404297,226.2846221923828,-51.60610580444336,-41.591739654541016,225.6547393798828,-50.51309585571289,-41.11688995361328,229.52032470703125,-43.70038986206055,-37.30082702636719,13.835665386280631,9.366755943317267,1.0,0.012393939393939395,0.3333333432674408,0.0,24.54,4
L-1:6,2.5078025183892105,7.031438167432374,4.520916551903008,1.926780285612938,8.375598488179753,4.030940569056151,1.8615553513075656,3.1149559185380915,5.874662211524041,3.1276196220780346,858.531005859375,44.55589294433594,543.7905883789062,430.7099914550781,115.8401870727539,558.344482421875,182.21397399902344,579.1077880859375,567.9923706054688,448.2563171386719,815.39208984375,110.33072662353516,577.9800415039062,401.69085693359375,212.95309448242188,597.627197265625,0.0,0.0,969.9852905273438,611.3726196289062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.04313725605607033,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,232.9392547607422,-38.124549865722656,-32.105804443359375,234.25115966796875,-37.13029861450195,-30.584774017333984,234.771728515625,-38.09364700317383,-30.29564666748047,235.57403564453125,-38.749237060546875,-30.655397415161133,235.1213836669922,-41.365516662597656,-33.25108337402344,235.02423095703125,-42.266231536865234,-34.118865966796875,234.72340393066406,-42.41337203979492,-34.64971160888672,236.5255126953125,-38.117950439453125,-33.31675338745117,237.50946044921875,-35.703529357910156,-32.27227020263672,231.35215759277344,-41.087215423583984,-35.27009963989258,4.070732933858974,2.4904322839651867,1.0,0.014286782296650717,2.3333334028720856,0.0,27.3,100
L-1:7,1.4814024038708862,6.812489310360685,8.843740906474538,2.197653298469626,0.713288825987437,2.388033772657589,1.417635942465774,6.839740745078064,2.1986890820603895,1.5653156148480458,1290.03857421875,78.2178955078125,776.8330688476562,375.8316650390625,77.9439468383789,586.690673828125,294.2220764160156,672.2969360351562,687.7390747070312,538.1328735351562,856.171875,150.10824584960938,944.396728515625,495.70220947265625,332.2674255371094,639.7824096679688,448.4292297363281,1392.545166015625,1154.7750244140625,653.5824584960938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,236.37936401367188,-30.043954849243164,-31.182147979736328,236.6083984375,-29.93890380859375,-29.243318557739258,236.66522216796875,-31.912425994873047,-28.639680862426758,237.00827026367188,-32.5787467956543,-28.551673889160156,237.43994140625,-33.55362319946289,-29.061077117919922,237.03521728515625,-34.98862838745117,-35.04924392700195,235.5906982421875,-35.47083282470703,-36.469051361083984,235.04100036621094,-34.13935470581055,-36.21918487548828,236.03872680664062,-30.693042755126953,-33.96674728393555,236.03872680664062,-30.693042755126953,-33.96674728393555,9.494142760668232,7.617918623383742,1.0,0.011954986760812003,5.6666668355464935,0.0,23.22,36
L-1:8,4.199341410507003,14.30495648729215,26.24967082633502,14.713844327950001,10.05337974689168,11.343415863461995,6.52603054344441,8.40119057516611,1.539299510088447,4.793438642077187,1963.985595703125,78.76238250732422,1506.527587890625,522.180908203125,384.6800231933594,1579.187744140625,748.8980712890625,1292.8165283203125,1230.65673828125,806.1917724609375,1314.3441162109375,147.4760284423828,70.50198364257812,49.18122482299805,298.1884460449219,1163.125244140625,428.5257568359375,1686.215576171875,1359.774169921875,893.9708251953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,235.27984619140625,-34.262733459472656,-27.162616729736328,235.27984619140625,-34.262733459472656,-27.162616729736328,236.9437255859375,-33.49470520019531,-25.768627166748047,237.339111328125,-35.36990737915039,-26.926904678344727,237.5391845703125,-37.056495666503906,-28.286449432373047,237.5391845703125,-37.056495666503906,-28.286449432373047,238.8574981689453,-34.46193313598633,-26.888792037963867,235.10862731933594,-38.1682014465332,-32.5341911315918,235.02085876464844,-35.57735061645508,-30.30499839782715,235.02085876464844,-35.57735061645508,-30.30499839782715,2.689397020502847,9.707027149067514,1.0,0.008637113711371136,7.666666895151138,4.93,16.45,0
L-1:9,3.6589210010812296,2.050484783492641,0.7441895452266952,5.995335155601304,0.7038400994307434,0.20144138763951897,1.9867326699458645,2.18484670103617,1.6561816411585986,3.867767345704001,698.6016235351562,119.43500518798828,659.0465087890625,364.8523254394531,279.2820129394531,986.8741455078125,131.4530487060547,565.9290161132812,642.9595947265625,299.7901306152344,688.36181640625,114.51809692382812,879.3764038085938,484.7044677734375,199.9868927001953,1190.6231689453125,191.98204040527344,939.0057373046875,702.9259033203125,576.698486328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,242.41000366210938,-26.900678634643555,-25.231220245361328,242.425048828125,-27.339826583862305,-24.491798400878906,242.68630981445312,-27.699371337890625,-24.366281509399414,243.11050415039062,-28.52825164794922,-24.73466682434082,243.57595825195312,-30.184335708618164,-26.23728370666504,243.47708129882812,-29.94492530822754,-30.951536178588867,241.30242919921875,-31.506738662719727,-32.805484771728516,240.46466064453125,-30.81678581237793,-32.383365631103516,241.04481506347656,-28.54673194885254,-30.297191619873047,242.34182739257812,-26.747840881347656,-26.777217864990234,2.364857373949706,10.504859038764353,1.0,0.012776374859708192,1.0000000298023224,0.0,26.02,0
L-1:10,5.034775727471229,3.368903149166804,7.855103245599126,4.130984338359028,8.350508889509483,9.062995670268611,1.4673910367343543,5.173459452691116,5.812742626542188,6.131538427154101,667.6243896484375,115.1028823852539,853.1922607421875,229.90660095214844,282.7878112792969,1077.7030029296875,585.0104370117188,813.6621704101562,938.2250366210938,595.6163330078125,881.2560424804688,90.74681854248047,792.3239135742188,343.3547668457031,64.45415496826172,649.4075927734375,319.60723876953125,787.082275390625,840.9734497070312,759.962890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.03529411926865578,241.42770385742188,-30.527816772460938,-30.185253143310547,241.7313995361328,-30.890399932861328,-29.54555892944336,242.1199951171875,-31.186189651489258,-29.47547721862793,242.22564697265625,-32.39726257324219,-30.5241756439209,242.10714721679688,-34.039913177490234,-32.3759765625,242.14700317382812,-34.734375,-33.94517517089844,242.1693115234375,-35.065338134765625,-34.79951477050781,241.8613739013672,-34.12863540649414,-34.34343338012695,242.05093383789062,-32.26218795776367,-32.724918365478516,242.993408203125,-29.77008819580078,-29.98539161682129,11.39635742514646,3.4541880284999165,1.0,0.011899530358939953,2.0000000596046448,0.0,20.27,0
