Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.342459314842025,7.899905879440813,7.288937623084791,10.13109129665247,8.487953645565277,3.941144745115054,3.10960671768709,5.173595405615196,6.995181937202458,8.486123750952196,538.9205322265625,31.79102897644043,537.3113403320313,289.0913391113281,643.696044921875,1198.7779541015625,174.8626708984375,864.9246215820313,1164.923095703125,447.4974060058594,1711.5733642578125,137.65896606445313,828.3475341796875,866.1749267578125,188.72845458984375,634.5134887695313,196.5797882080078,524.8525390625,554.839599609375,256.91339111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.431170340038552,8.238055135805167,-1.0,0.01572884012539185,7.0,0.0,20.07,76
L-1:2,3.6370407555357245,5.164636546731665,10.567488909165565,3.8919832098811553,7.257574347534828,1.8368135701859898,4.571028074545201,4.73769628596877,6.628516966745845,1.6789433035709456,782.2373657226563,148.60879516601563,730.0330810546875,990.7505493164063,499.9605712890625,1154.4034423828125,176.5926055908203,959.2335815429688,605.6679077148438,326.3975524902344,1706.893798828125,108.94683837890625,1546.972412109375,1046.0352783203125,210.93055725097656,945.8798217773438,353.6786193847656,810.4625854492188,632.7890014648438,697.8169555664063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.889648734925103,1.3104860023828275,-1.0,0.012601880877742945,4.5,0.0,16.08,100
L-1:3,4.649923459356302,5.144068323307009,8.113205563833235,7.901217302001343,3.107574795808026,2.2488283995395775,4.067981525124007,7.305586072110535,2.251759898908837,1.7957401946661127,607.314453125,6.596101760864258,566.7271118164063,368.2238464355469,336.5134582519531,887.659912109375,250.35025024414063,950.4226684570313,1003.1732177734375,410.03009033203125,1351.2506103515625,44.3802490234375,796.83544921875,473.2398681640625,112.20304870605469,962.7410278320313,410.9598693847656,964.370849609375,661.0066528320313,542.2720947265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84598269615424,9.032463840914644,-1.0,0.014258522727272727,5.0,0.0,14.34,100
L-1:4,3.3965432319345537,7.380394495648237,9.64807914930001,4.566957447264701,19.684530917583903,21.33225686471543,25.78641604583868,11.826061559313287,2.3831255564229528,1.3426757716985462,832.8876953125,91.3544921875,843.0957641601563,601.6868896484375,371.1077575683594,999.7221069335938,43.078392028808594,1144.955810546875,659.1941528320313,496.00299072265625,945.6051635742188,58.592567443847656,576.4466552734375,663.38134765625,42.21208953857422,742.43212890625,282.7852478027344,829.164794921875,630.1476440429688,225.60877990722656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.082899216164527,16.84051484720163,-1.0,0.012877657168701945,9.5,5.49,16.27,36
L-1:5,1.5733754148523502,2.6904875446202547,2.5899745289322347,1.7374301705314403,4.355635643421894,2.203413544204781,6.088489807404356,5.943384696231374,9.028533620605096,5.852406697735316,847.4558715820313,50.3881721496582,551.891845703125,359.8608703613281,83.56259155273438,539.5216674804688,147.44851684570313,886.0238037109375,475.30377197265625,376.89788818359375,823.6143188476563,58.85732650756836,720.9930419921875,563.2633666992188,142.0585174560547,716.4783325195313,346.2942199707031,942.7424926757813,692.9191284179688,731.1614990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4262956791863926,8.70227027869417,-1.0,0.014813953488372092,2.5,0.0,20.02,100
L-1:6,10.688033684366102,16.180353550922113,15.787985541249059,4.6708931063159955,10.898000060390217,6.9508333105806095,6.050553903750129,1.4091542966958754,5.423788168187369,5.88408279059455,852.6905517578125,68.65670776367188,800.7313842773438,655.646728515625,176.4602813720703,890.5242309570313,275.7611999511719,298.2861022949219,742.203857421875,483.6826477050781,812.0809936523438,136.32772827148438,954.3255004882813,658.9175415039063,303.22772216796875,901.4367065429688,200.0801544189453,665.3687744140625,800.1871337890625,535.0833740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.314640128201063,12.821468275919118,-1.0,0.01426067907995619,3.0,0.0,14.88,0
L-1:7,1.1424345680268113,7.366410747504405,13.420431647490869,10.829679239747914,11.077789320888483,3.2428956401719726,4.2192047281097755,6.724192122618285,3.5549579310307604,4.7675123216490185,527.9259643554688,34.71561813354492,829.3351440429688,431.0003356933594,64.90133666992188,791.6618041992188,274.1170959472656,863.1611328125,675.8073120117188,260.4764404296875,938.1580810546875,139.49742126464844,712.3282470703125,487.6885070800781,0.0,0.0,577.641845703125,1239.546875,561.160888671875,262.2786865234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.47603231703303,0.5093768243767146,-1.0,0.016225355969331872,2.5,0.0,16.93,0
L-1:8,22.068628117339564,20.95846572810189,9.640345590284312,3.856952884748741,7.802340331813763,0.7359957591525447,1.3865807200583855,2.509243782634296,4.321183115657639,15.092487239208944,804.3443603515625,130.52186584472656,835.7894897460938,489.5287780761719,435.1756591796875,856.221435546875,33.33706283569336,719.0640258789063,365.1651611328125,224.22250366210938,812.039794921875,76.12467956542969,702.1743774414063,453.2642517089844,85.40873718261719,944.9478149414063,278.939697265625,658.8694458007813,651.5404052734375,410.896240234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.346882030701828,17.409230282346936,-1.0,0.015108695652173914,6.0,4.64,15.29,0
L-1:9,7.173182260305204,12.136695693288576,6.876111478666383,4.280901596482677,6.667404611796886,4.486373274863069,7.4725173121880895,3.1047524775285025,1.3214526892721004,4.871573857927997,497.709228515625,28.45760726928711,356.6329650878906,280.7983093261719,169.71194458007813,480.2826843261719,219.17312622070313,448.296875,360.95404052734375,346.65576171875,946.448974609375,44.9301872253418,550.9227905273438,376.8497619628906,183.27090454101563,714.7548217773438,250.84439086914063,861.6258544921875,527.2984619140625,337.09423828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18542244395797,9.225786705364987,-1.0,0.020715848322800195,9.0,0.0,24.35,0
L-1:10,5.768965014267208,2.3174600598692066,8.551578467124695,1.5479535200299097,3.829549136998141,9.030991482087083,8.01682373767605,1.4001095122351772,1.2397410012660772,5.051169163221935,500.64605712890625,60.00817108154297,862.02099609375,201.7881622314453,188.47589111328125,756.5899047851563,426.812255859375,697.8843994140625,695.0142822265625,185.78916931152344,741.4931640625,156.1525115966797,742.9276123046875,381.6480407714844,292.64630126953125,810.9755249023438,578.6253051757813,1267.4761962890625,462.77020263671875,325.69598388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89156334456118,8.611874222750815,-1.0,0.019044929059379927,5.5,0.0,20.71,0
