Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,24.092577519686337,8.374166044285921,1.9013615675269915,1.3425952716276925,10.930436347895775,13.52288902601373,8.660307004291246,5.089771586657928,6.784864628814177,7.550050225646909,2144.26953125,403.7546691894531,1419.103515625,2019.875,186.86618041992188,1578.7965087890625,396.2950744628906,1571.969970703125,1690.8895263671875,901.12451171875,1828.5570068359375,229.68154907226562,1574.532958984375,1184.299072265625,511.00152587890625,1838.4468994140625,765.602783203125,2991.015380859375,1309.229736328125,2088.109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,260.34765625,-39.178741455078125,-0.7389957308769226,260.34765625,-39.178741455078125,-0.7389957308769226,260.17193603515625,-38.89802169799805,-0.802763044834137,260.13043212890625,-38.99846649169922,-1.0108436346054077,260.13043212890625,-38.99846649169922,-1.0108436346054077,260.1957092285156,-39.041229248046875,-1.0473414659500122,260.1957092285156,-39.041229248046875,-1.0473414659500122,260.41693115234375,-38.8541259765625,-0.8164896368980408,260.23797607421875,-39.32960510253906,-0.7060989737510681,260.23797607421875,-39.32960510253906,-0.7060989737510681,4.826669913132081,9.038638743063526,-1.0,0.006357994842037395,0.0,0.0,11.27,108
L-1:2,6.3807815472953395,9.898804866540779,9.603921886155224,16.520000002343007,9.09549979386381,6.793659767765271,4.168373846440676,16.005881842675777,15.240832237968474,5.708187357402008,1395.1033935546875,529.092529296875,3264.635009765625,2015.73583984375,683.0103149414062,2570.104736328125,626.0645141601562,1921.2327880859375,1971.4697265625,918.9400634765625,1646.02978515625,85.10877227783203,1351.2015380859375,1631.5634765625,313.77532958984375,2562.67236328125,718.2853393554688,2332.412841796875,1469.440185546875,1721.6005859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,260.251953125,-39.57695388793945,-0.9960078597068787,260.0796203613281,-38.972251892089844,-0.8853437900543213,260.18194580078125,-38.93792724609375,-1.3203821182250977,260.18194580078125,-38.93792724609375,-1.3203821182250977,260.18194580078125,-38.93792724609375,-1.3203821182250977,260.0531005859375,-38.94431686401367,-1.4769203662872314,260.0531005859375,-38.94431686401367,-1.4769203662872314,260.2618103027344,-39.34158706665039,-1.075860619544983,260.2618103027344,-39.34158706665039,-1.075860619544983,260.2618103027344,-39.34158706665039,-1.075860619544983,6.076885592986642,11.776632985055185,-1.0,0.006033216783216783,1.3333333730697632,0.0,9.86,32
L-1:3,0.948482610311504,10.145178125679333,2.2831011073912455,1.110845535893095,2.6187389137714376,2.1835095701320943,1.6113690273378567,8.79857363555946,4.4349886774200975,2.332762693014218,2330.23046875,65.60581970214844,2071.001708984375,815.5086669921875,267.64007568359375,2486.482421875,392.2452087402344,3971.175537109375,2023.684814453125,1174.6678466796875,1630.725341796875,78.43995666503906,1414.087890625,1541.9012451171875,474.8133544921875,2140.38330078125,356.5595703125,2411.4765625,2040.2174072265625,1297.018798828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,260.55291748046875,-39.940975189208984,-0.8987873196601868,260.55291748046875,-39.940975189208984,-0.8987873196601868,259.9267883300781,-39.03360366821289,-1.0485079288482666,259.9267883300781,-39.03360366821289,-1.0485079288482666,260.3111267089844,-39.51881408691406,-1.3308676481246948,260.3111267089844,-39.51881408691406,-1.3308676481246948,260.3111267089844,-39.51881408691406,-1.3308676481246948,260.52850341796875,-39.636688232421875,-1.045227289199829,260.52850341796875,-39.636688232421875,-1.045227289199829,260.55291748046875,-39.940975189208984,-0.8987873196601868,14.083504954423319,7.997119262511333,-1.0,0.005482954545454545,1.666666716337204,0.0,9.65,108
L-1:4,6.6286679453789,20.263922120856247,15.018425122852143,7.626500892525451,19.07993475890868,9.594057864605094,2.80180094275883,1.3496037611779184,13.709963359780792,7.148653930605653,3849.884033203125,607.730224609375,3163.45166015625,1470.7420654296875,678.0245361328125,2476.259765625,1229.290771484375,1827.5074462890625,1884.1959228515625,1471.4573974609375,2279.3212890625,612.9376220703125,1535.7159423828125,871.3145141601562,161.92926025390625,0.15966854989528656,2130.25927734375,6188.6455078125,2688.888427734375,2383.503173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.019607843831181526,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,260.4876708984375,-39.86259460449219,-0.5255067348480225,260.4876708984375,-39.86259460449219,-0.5255067348480225,260.37542724609375,-39.90522384643555,-0.7434254884719849,260.14263916015625,-39.78114700317383,-1.0246820449829102,260.14263916015625,-39.78114700317383,-1.0246820449829102,260.28497314453125,-40.42169189453125,-1.0504002571105957,260.28497314453125,-40.42169189453125,-1.0504002571105957,260.3989562988281,-40.190216064453125,-0.9226601123809814,260.4876708984375,-39.86259460449219,-0.5255067348480225,260.4876708984375,-39.86259460449219,-0.5255067348480225,10.282536560968865,2.953058848532074,-1.0,0.004419653453596012,0.3333333432674408,5.23,10.64,100
L-1:5,27.449907482978528,16.102359438476466,3.3847706932837833,11.817520158944678,2.272740315166291,8.907674281477203,1.164273055967272,1.8547573687674723,3.706522800699063,11.999630586171172,2309.591064453125,120.3130111694336,1536.52587890625,2321.266845703125,362.45452880859375,2472.170654296875,1007.26220703125,1942.3563232421875,1277.92236328125,1892.6763916015625,1554.34375,40.669036865234375,1451.661865234375,1234.6834716796875,2136.507080078125,4119.50439453125,1042.59765625,2169.463134765625,2151.900146484375,2276.26416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,260.90740966796875,-41.67007064819336,-0.8183220624923706,260.57623291015625,-40.64099884033203,-0.9254471659660339,260.57623291015625,-40.64099884033203,-0.9254471659660339,260.709716796875,-40.86441421508789,-1.2365907430648804,260.709716796875,-40.86441421508789,-1.2365907430648804,260.75811767578125,-41.28728103637695,-1.4549713134765625,261.23388671875,-41.277313232421875,-1.0312931537628174,261.07049560546875,-42.77427291870117,-1.249733567237854,260.90740966796875,-41.67007064819336,-0.8183220624923706,260.90740966796875,-41.67007064819336,-0.8183220624923706,23.826309590379775,4.55121201122932,-1.0,0.005431383902721483,4.33333346247673,0.0,10.72,68
L-1:6,3.2328451535100995,2.759370406324897,7.78770879973249,4.566130727488144,10.95124817997305,3.641319451824212,5.347144436460277,1.8112451270603707,10.619155699400665,8.5570651671483,1911.592529296875,131.46922302246094,1439.19384765625,1403.78076171875,702.2296142578125,2179.39013671875,466.5560607910156,1861.3509521484375,1811.571533203125,938.05810546875,2019.0631103515625,505.1111145019531,1694.88427734375,1222.802001953125,333.6772766113281,2180.806884765625,1099.390625,2670.559814453125,2021.978759765625,1843.3773193359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,262.0720520019531,-41.764190673828125,-0.5335359573364258,261.9795227050781,-41.693077087402344,-0.7387412786483765,261.9615478515625,-41.348854064941406,-0.8215889930725098,261.9615478515625,-41.348854064941406,-0.8215889930725098,262.04351806640625,-41.4957160949707,-0.7821100354194641,262.04351806640625,-41.4957160949707,-0.7821100354194641,262.2630920410156,-41.31597900390625,-0.619223415851593,262.2630920410156,-41.31597900390625,-0.619223415851593,262.2630920410156,-41.31597900390625,-0.619223415851593,262.0720520019531,-41.764190673828125,-0.5335359573364258,12.087311759214064,6.446185566021119,-1.0,0.008027972027972027,4.666666805744171,0.0,13.12,64
L-1:7,1.581447663240811,3.0533147066741253,7.125746963962944,4.921228734553669,3.945692283341252,8.011547920527379,5.580411869814651,7.568171853196887,2.7327342214886166,8.514857640193966,2351.278076171875,423.9930114746094,1978.465087890625,1014.7807006835938,487.97845458984375,1984.022705078125,750.1698608398438,1571.77197265625,1565.50732421875,1356.429443359375,1418.56591796875,67.2217788696289,1000.206787109375,1050.2415771484375,328.9012145996094,800.688232421875,274.78759765625,3412.371337890625,1223.2891845703125,980.7742919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,262.71759033203125,-41.95305633544922,-0.585154116153717,262.71759033203125,-41.95305633544922,-0.585154116153717,262.2331237792969,-41.730377197265625,-0.6780436038970947,262.2331237792969,-41.730377197265625,-0.6780436038970947,262.2371520996094,-41.87856674194336,-0.8265617489814758,262.2371520996094,-41.87856674194336,-0.8265617489814758,262.1924133300781,-42.093910217285156,-0.7292789816856384,262.2813415527344,-42.20302963256836,-0.6222185492515564,262.3829650878906,-41.854671478271484,-0.46307992935180664,262.3829650878906,-41.854671478271484,-0.46307992935180664,14.010202408224574,6.146644006349144,-1.0,0.007261535812672177,3.333333432674408,0.0,12.05,32
L-1:8,8.873377311600558,6.212010621393588,7.592759531651245,0.8696876322795424,5.36325191645285,3.0151292482562035,11.870397343636544,5.917585692911286,6.179076518634818,4.832735772073817,2124.427001953125,974.5551147460938,3155.44384765625,2405.5771484375,1048.1981201171875,3230.361572265625,712.7355346679688,2161.075439453125,2004.6177978515625,1166.121337890625,2024.4306640625,484.18231201171875,1995.865966796875,1715.8602294921875,692.1051635742188,2551.72900390625,991.5571899414062,2174.771484375,217.09019470214844,2.1543691158294678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,262.5009765625,-41.26887893676758,-0.3558773398399353,262.5009765625,-41.26887893676758,-0.3558773398399353,262.3992919921875,-41.11871337890625,-0.6401301026344299,262.3992919921875,-41.11871337890625,-0.6401301026344299,262.3992919921875,-41.11871337890625,-0.6401301026344299,262.3878173828125,-41.106929779052734,-0.5455644726753235,262.3878173828125,-41.106929779052734,-0.5455644726753235,262.5374450683594,-41.368282318115234,-0.313457727432251,262.5374450683594,-41.368282318115234,-0.313457727432251,262.4895324707031,-41.64899826049805,-0.2662537097930908,8.471482204863205,11.58884166246831,-1.0,0.004806473829201102,1.3333333730697632,3.28,9.97,68
L-1:9,2.2440121608231878,9.058109617300403,2.9740022080572404,7.452803789693441,5.6314078276852095,9.124698737490284,1.0683871778729215,2.7720802076512387,1.4742502777087512,5.508723075077532,1547.0853271484375,161.4254913330078,1856.583251953125,959.50732421875,358.42706298828125,2177.953857421875,534.8399047851562,2136.84423828125,2004.8017578125,855.9761352539062,1983.54443359375,37.02994155883789,1778.0654296875,1008.9265747070312,676.865478515625,2104.275146484375,539.6519775390625,1487.634765625,1287.424560546875,1140.0419921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,263.169189453125,-43.26093292236328,-0.6679000854492188,263.169189453125,-43.26093292236328,-0.6679000854492188,263.2630615234375,-43.02363204956055,-0.8584092855453491,263.1916198730469,-42.849815368652344,-0.5607128143310547,263.1673583984375,-43.05129623413086,-1.1041189432144165,263.1673583984375,-43.05129623413086,-1.1041189432144165,263.04937744140625,-42.98139572143555,-0.8859500885009766,263.04937744140625,-42.98139572143555,-0.8859500885009766,263.4131164550781,-43.29100799560547,-0.7670497298240662,263.4131164550781,-43.29100799560547,-0.7670497298240662,7.634726768836285,10.973869645928515,-1.0,0.006670653907496012,0.0,0.0,11.95,0
L-1:10,21.124889594251105,0.3069981262596462,6.961284645466215,2.121536627388622,0.4909377702221686,6.30210453873142,1.2173575866914896,4.5613039785569285,5.476898489439531,11.329010514720736,1855.70654296875,438.94073486328125,939.4549560546875,919.7759399414062,904.992919921875,2887.5556640625,1028.950927734375,1333.3145751953125,1029.08740234375,850.7940063476562,1691.2542724609375,348.1651916503906,1629.1795654296875,830.6016845703125,401.90234375,1904.048583984375,364.29168701171875,2147.766845703125,1062.8302001953125,1557.1722412109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,263.76953125,-44.00447082519531,-0.6201557517051697,263.4637756347656,-43.399452209472656,-0.8260084986686707,263.3583984375,-42.91966247558594,-0.47709596157073975,263.5,-43.48832321166992,-0.7290825843811035,263.5,-43.48832321166992,-0.7290825843811035,263.5597229003906,-43.94599914550781,-0.8788782954216003,263.5597229003906,-43.94599914550781,-0.8788782954216003,263.6595458984375,-43.531707763671875,-0.6431134343147278,263.9400329589844,-44.11649703979492,-0.5592153072357178,263.9400329589844,-44.11649703979492,-0.5592153072357178,12.259290811656529,13.509588098332792,-1.0,0.006710743801652892,2.0000000596046448,0.0,13.92,0
