Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.416380487891205,1.0643307451140342,3.5239985775089986,2.0055413556229573,1.3690219898122438,1.503455289229612,1.831083257009818,4.576379573594169,6.192425963510399,1.5826429901130794,597.9658203125,5.925638198852539,301.9653015136719,268.8783264160156,127.68000793457031,341.0735168457031,134.57774353027344,507.1628112792969,283.6542663574219,269.9003601074219,633.1245727539062,25.159961700439453,511.0085144042969,392.1000061035156,102.98995208740234,458.632568359375,276.3234558105469,654.7632446289062,435.8064880371094,375.3962707519531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,356.3713684082031,-88.40892791748047,2.1003365516662598,357.8811340332031,-88.47007751464844,2.0726771354675293,358.14849853515625,-86.13602447509766,2.133061408996582,358.0037536621094,-85.97540283203125,1.894085168838501,354.2918701171875,-85.99600982666016,1.6717373132705688,349.4972229003906,-86.53408813476562,1.6784089803695679,347.719970703125,-86.3929672241211,1.671088695526123,348.97576904296875,-86.9240493774414,2.0985100269317627,351.5564270019531,-87.40178680419922,2.2721269130706787,354.9223937988281,-87.8639144897461,2.5555591583251953,3.812432518530132,7.283277105259588,-1.0,0.020994318181818183,0.6666666865348816,0.0,36.95,4
L-1:2,2.223537545962192,7.022287304184761,3.704927891179175,0.20742492277295219,0.5441318333325816,1.9780326459007131,3.940918841746654,4.3817633764055355,3.6577624668699977,5.783059760705685,506.4312744140625,50.80546569824219,438.4205017089844,351.6073913574219,226.80401611328125,629.2916259765625,283.6772155761719,768.3135986328125,695.2967529296875,472.2044677734375,853.0914306640625,65.682861328125,359.6435546875,318.75445556640625,35.46502685546875,514.6704711914062,207.97970581054688,648.1648559570312,273.3702392578125,215.9130096435547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.0313725508749485,0.0313725508749485,0.03529411926865578,358.4237060546875,-86.56544494628906,3.4694936275482178,359.3482666015625,-86.5181655883789,3.3927643299102783,358.7124938964844,-85.68997955322266,3.257791757583618,358.4227600097656,-85.41819763183594,3.1912264823913574,356.4894714355469,-86.15675354003906,3.073155641555786,355.67254638671875,-87.19312286376953,3.3615005016326904,355.51983642578125,-88.09538269042969,3.844696521759033,354.6789245605469,-88.75594329833984,4.059825420379639,357.4306335449219,-88.989501953125,4.046138286590576,357.909423828125,-89.4298324584961,4.121065616607666,13.511464885164015,7.319028096225275,1.0,0.01944899152294651,1.0000000298023224,0.0,38.02,68
L-1:3,1.2952177780746958,6.45439408778455,5.566338341371971,1.8322436165056197,1.1549308451977642,0.6979944194581439,0.7092428002191512,5.419370812744993,6.637866045378926,7.186587741681429,651.6820678710938,162.86317443847656,361.09124755859375,293.8126220703125,177.597900390625,274.5881652832031,238.2122344970703,566.7938842773438,513.1674194335938,153.12020874023438,897.9956665039062,57.27695083618164,518.3366088867188,305.43426513671875,308.15283203125,858.5674438476562,299.16778564453125,783.8494873046875,479.038818359375,355.17706298828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.027450982481241226,359.5089416503906,-86.84195709228516,4.39584493637085,358.7504577636719,-86.50664520263672,4.231991291046143,359.34478759765625,-86.41107940673828,4.245143413543701,0.290740966796875,-86.62258911132812,4.270850658416748,359.2342834472656,-86.99014282226562,4.5791754722595215,357.1784973144531,-86.6351318359375,4.526564598083496,355.5623474121094,-86.20623016357422,4.284204006195068,356.2752380371094,-86.1796646118164,4.256081581115723,357.12066650390625,-86.11235809326172,4.362819194793701,359.5025634765625,-86.55842590332031,4.381525993347168,0.6568091088812202,2.9346964582910227,-1.0,0.017809025506867235,1.3333333730697632,0.0,31.12,32
L-1:4,2.9387234217974334,10.096671071906112,12.75637803621556,5.474481442645856,3.4106363273548053,4.981564059916718,4.378848531440539,13.335877541331929,3.6389436261994024,3.8391132174073106,498.2352294921875,8.770546913146973,685.971923828125,518.2525634765625,287.2546691894531,753.7817993164062,131.23321533203125,662.9087524414062,629.8193359375,361.6409606933594,1049.06787109375,30.009777069091797,563.3024291992188,346.3359375,144.443603515625,736.8475341796875,329.566650390625,1032.121337890625,591.9314575195312,434.835693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03529411926865578,3.588623046875,-91.73650360107422,5.1692047119140625,2.31622314453125,-90.09527587890625,4.844061374664307,2.25323486328125,-90.18592834472656,4.5735673904418945,1.902099609375,-90.56253051757812,4.021036624908447,358.8660888671875,-90.54462432861328,3.6831958293914795,358.5947265625,-90.11406707763672,4.014171600341797,357.718505859375,-89.18830871582031,4.612637042999268,357.9101867675781,-89.55521392822266,5.256403923034668,359.7746276855469,-90.38641357421875,5.6799702644348145,2.623565673828125,-91.14522552490234,5.688860893249512,5.181572680949591,6.126208809065704,-1.0,0.015730758916599627,2.3333334028720856,3.73,33.52,108
L-1:5,2.3497147927160564,1.4006991992253575,2.057888674859426,1.6146121048625077,0.30151593161535184,2.4319446722307343,2.823423129538685,4.83699282425052,5.832910587933398,0.7947761068353845,491.9603576660156,0.9894986152648926,210.52993774414062,130.3165283203125,180.59950256347656,322.44451904296875,86.53993225097656,673.6223754882812,776.5321044921875,336.78265380859375,789.1036987304688,58.07933044433594,276.29364013671875,320.561767578125,258.9053649902344,683.3558959960938,99.18280029296875,548.1373901367188,487.65557861328125,323.55322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,359.1311340332031,-92.03899383544922,3.9567654132843018,357.87432861328125,-91.93790435791016,3.6933541297912598,0.28155517578125,-91.80683135986328,3.8295974731445312,357.6018981933594,-91.72289276123047,3.4890620708465576,357.2115783691406,-91.48455810546875,3.424074411392212,355.5328369140625,-91.06410217285156,3.7960143089294434,354.54022216796875,-91.08283996582031,4.183470726013184,355.00238037109375,-91.19158172607422,4.8022871017456055,356.49237060546875,-91.26427459716797,4.770508766174316,357.04150390625,-91.5307846069336,4.436398983001709,0.7617187727009878,8.41535157869595,-1.0,0.020238530819026174,1.666666716337204,0.0,41.09,100
L-1:6,2.9860511500522087,4.52353402248925,2.535262104552301,4.2907981412991205,3.5867530931751297,2.999168087436891,0.10310057141176292,3.5962265294915876,0.5271161705645168,1.849754621546038,826.2609252929688,168.08497619628906,442.0382080078125,270.0946044921875,228.1260986328125,354.6593017578125,176.5840301513672,494.4647521972656,436.8141174316406,208.6106414794922,691.98974609375,11.115382194519043,440.7525329589844,214.08790588378906,220.99920654296875,526.2294311523438,34.60969161987305,173.64044189453125,305.0674743652344,338.657958984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.027450982481241226,0.0313725508749485,1.362152099609375,-92.36552429199219,4.36512565612793,3.63873291015625,-92.08418273925781,4.1180315017700195,2.63482666015625,-91.63156127929688,4.00643253326416,359.7413024902344,-91.30581665039062,4.10689115524292,358.7406311035156,-90.84110260009766,4.006573677062988,358.7273864746094,-91.39666748046875,4.181093215942383,358.891845703125,-91.9001693725586,4.257998466491699,0.240264892578125,-92.61946868896484,4.3999223709106445,0.414276123046875,-92.567626953125,4.8358283042907715,359.98956298828125,-92.36481475830078,4.577757358551025,8.440072704718098,5.398064462932534,1.0,0.022336876832844577,0.0,0.0,34.82,0
L-1:7,1.373453100912604,1.7607186323656612,0.30007395074480636,0.6345668266842822,2.318448706651905,4.4464040516932455,4.815659696736231,0.9472016372478683,2.9556173907207848,0.4874267828601004,431.55181884765625,69.8827133178711,1258.752685546875,901.7314453125,187.99790954589844,360.2757263183594,130.943359375,527.382568359375,785.7720947265625,470.9688415527344,626.0247802734375,81.94514465332031,607.8717651367188,226.3431854248047,13.323829650878906,714.0577392578125,163.03375244140625,649.5506591796875,366.9394226074219,287.4708557128906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.03921568766236305,2.050140380859375,-91.5106430053711,7.121123790740967,7.956756591796875,-91.33972930908203,6.566866874694824,6.855072021484375,-91.09896087646484,6.446732044219971,6.1424560546875,-91.64698791503906,6.828319072723389,5.21026611328125,-92.14740753173828,7.2249884605407715,3.679901123046875,-92.13653564453125,7.54359245300293,2.491729736328125,-91.21884155273438,7.7755303382873535,1.344940185546875,-91.20248413085938,7.849431037902832,1.230987548828125,-91.34811401367188,7.874598503112793,1.7340087890625,-91.58912658691406,7.640453338623047,4.897106481164119,7.620426793940817,-1.0,0.018952569169960472,2.6666667461395264,0.0,35.62,0
L-1:8,14.4081643553456,6.355564597889283,12.649914483594797,13.139313748316685,4.148453700764976,2.020961856947563,3.882087958152363,8.346148662348451,19.245289430427256,16.617660112018513,599.4644165039062,93.82322692871094,518.9320068359375,101.85055541992188,494.6029357910156,455.72186279296875,293.4185791015625,498.0181579589844,314.3487548828125,244.4700469970703,593.774658203125,25.185720443725586,335.3887939453125,234.71420288085938,49.61511993408203,608.5983276367188,112.12812042236328,289.59613037109375,257.8866882324219,296.77825927734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.03529411926865578,1.2393798828125,-89.91353607177734,3.2733547687530518,1.333099365234375,-89.9051513671875,3.2582664489746094,2.0989990234375,-89.79840087890625,3.225069284439087,2.98345947265625,-89.91654205322266,2.9206550121307373,2.808929443359375,-90.06554412841797,3.1144371032714844,6.447998046875,-90.45850372314453,3.8457539081573486,6.187957763671875,-90.35760498046875,3.603292942047119,4.92333984375,-90.27019500732422,3.9050137996673584,4.972137451171875,-90.25701904296875,3.9042177200317383,2.5003662109375,-90.06228637695312,3.4426352977752686,9.602434068884488,17.03182233262589,-1.0,0.021453168044077132,5.333333492279053,3.43,31.15,0
L-1:9,2.346133117677262,4.9987489191386745,1.6409157140178843,4.787293225738873,3.4502550119209845,0.06032244651074827,3.8499457831056687,0.9109595191173869,0.8887277069824819,2.5002964138782637,681.775390625,24.671232223510742,602.3565063476562,422.6895446777344,107.24911499023438,561.5728759765625,11.89389419555664,676.1334838867188,577.4964599609375,284.9797058105469,442.88018798828125,106.95145416259766,276.50970458984375,307.0000915527344,113.21024322509766,505.4393310546875,232.59823608398438,751.5667724609375,546.75,331.8750305175781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,359.6670227050781,-92.19490814208984,3.650716781616211,0.558990478515625,-91.20613861083984,3.1321585178375244,1.34100341796875,-91.33448028564453,3.2025890350341797,359.6685791015625,-91.36660766601562,3.2043190002441406,358.5127868652344,-91.53718566894531,3.128828287124634,357.4930419921875,-91.28791809082031,3.266549587249756,356.73876953125,-91.08004760742188,3.8385984897613525,356.7873840332031,-91.16334533691406,4.150960445404053,357.6361083984375,-91.50952911376953,4.403433322906494,359.1455993652344,-92.3498306274414,4.1871819496154785,6.324926506277584,2.976327888242108,-1.0,0.018432377049180326,0.0,0.0,28.27,0
L-1:10,0.9930059068857302,2.494960411635927,4.319812218529069,3.1437312017114976,2.218826688453845,0.48237268533711486,0.5225372675126732,5.123559197141697,8.199356532275402,4.404112804087592,328.3512878417969,85.27665710449219,386.5321350097656,237.06015014648438,253.1826934814453,532.195068359375,209.21237182617188,481.9725646972656,501.1626892089844,327.3836975097656,690.6558837890625,78.89369201660156,277.4254150390625,77.11566162109375,147.5489501953125,493.6757507324219,226.37269592285156,659.6231689453125,323.3460693359375,247.8107452392578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,354.7718811035156,-92.21575927734375,3.600876808166504,356.2627258300781,-92.26250457763672,3.5349462032318115,355.7091979980469,-92.46826934814453,3.6116445064544678,357.9902038574219,-92.83982849121094,3.694502592086792,358.89306640625,-93.27181243896484,4.010567665100098,358.9939880371094,-93.39652252197266,4.3147196769714355,359.4432373046875,-93.40338134765625,4.8548264503479,353.23388671875,-91.51333618164062,3.4286715984344482,353.3704833984375,-91.56444549560547,3.7319653034210205,354.22027587890625,-91.98784637451172,3.850707530975342,17.780870858819654,1.7904454597316517,-1.0,0.022653819564465955,0.3333333432674408,0.0,37.45,0
