Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.58768503793939,2.3557421266656537,5.848353125893984,8.250106372136543,1.9221924783701216,1.0540925848038478,2.584399660982232,5.4048299278320435,4.0308352793344815,5.326019306862296,999.2384033203125,62.552879333496094,600.6337280273438,371.6282958984375,186.4476318359375,854.52197265625,174.08668518066406,679.7894287109375,654.5573120117188,815.5670166015625,1103.843505859375,76.4277114868164,730.754638671875,720.6129760742188,213.07794189453125,772.515380859375,119.88658905029297,720.1132202148438,702.267333984375,545.0582275390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.0313725508749485,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,92.40874481201172,-41.34433364868164,-2.946657180786133,95.65788269042969,-41.39392852783203,-3.065736770629883,91.06253051757813,-40.84847640991211,-2.566884756088257,50.040199279785156,-40.24744415283203,-1.9349970817565918,62.169891357421875,-42.06143569946289,-12.9733304977417,61.00102233886719,-41.78358840942383,-14.104133605957031,61.48489761352539,-41.834434509277344,-14.294536590576172,63.45770263671875,-41.66758728027344,-13.336819648742676,67.33051300048828,-40.40922164916992,-11.479888916015625,83.32524108886719,-41.23652267456055,-5.554728984832764,8.006941671601659,1.9206531460346328,1.0,0.013201652892561984,5.000000149011612,0.0,22.82,100
L-1:2,1.7950549892083072,8.25888788953194,1.7837267562750139,3.2078215642703487,3.9230189609933332,0.7453560147132695,0.46378575456107773,1.6363098228212987,5.9916739576640206,6.271541581658148,914.1489868164063,109.10054016113281,660.8934326171875,380.04351806640625,179.6519317626953,665.6143188476563,86.7098617553711,647.5723266601563,515.236083984375,452.03619384765625,732.7724609375,6.059879302978516,627.2078857421875,463.3866882324219,220.225830078125,647.2333984375,239.5006866455078,768.3138427734375,678.2757568359375,556.7546997070313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,66.14176940917969,-41.309120178222656,-9.960009574890137,65.41675567626953,-41.03240203857422,-8.612974166870117,65.56596374511719,-41.2288818359375,-9.112354278564453,65.99134826660156,-42.349517822265625,-9.816458702087402,73.52387237548828,-37.89838409423828,-16.27911949157715,73.86453247070313,-38.54235076904297,-19.378232955932617,73.21186828613281,-38.06239700317383,-20.55835723876953,72.2036361694336,-38.837345123291016,-20.376630783081055,71.68372344970703,-38.71158218383789,-19.625295639038086,67.80450439453125,-40.515045166015625,-12.254865646362305,2.6874193295241846,5.849028507927488,1.0,0.015535052721573097,3.333333432674408,0.0,31.15,44
L-1:3,3.6666667759418488,1.1403210472202305,1.9680566698230784,1.5204826504519748,5.225956153967446,3.000000089406967,2.859092036884889,0.7319518992937963,1.751484016362275,3.2869339908499002,631.9393920898438,0.8018337488174438,692.2621459960938,459.9477844238281,206.78744506835938,622.2965087890625,280.27239990234375,383.0196838378906,402.6159973144531,325.88165283203125,580.4107666015625,6.276470184326172,697.3395385742188,562.5972900390625,221.21263122558594,713.78857421875,128.71389770507813,725.5053100585938,565.8018798828125,525.0991821289063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,65.9196548461914,-37.88181686401367,-10.472318649291992,64.53495025634766,-38.01078796386719,-10.125103950500488,61.4092903137207,-37.4815788269043,-10.60878849029541,71.42843627929688,-35.312232971191406,-9.17941665649414,74.2115707397461,-36.081607818603516,-13.830838203430176,76.4946060180664,-37.20924377441406,-19.22970199584961,77.13133239746094,-37.344322204589844,-21.29550552368164,76.0621337890625,-37.46834182739258,-21.220212936401367,74.35961151123047,-36.99256134033203,-19.41473960876465,68.77356719970703,-36.63006591796875,-13.583436012268066,5.696002666632456,6.772081724356039,1.0,0.016289737869492473,1.0000000298023224,0.0,33.38,64
L-1:4,0.7453560147132695,7.351962085778799,14.492262107738902,13.646470184043224,14.10283787158058,16.000000476837158,13.723591515571215,12.704563670103079,11.088393764114223,3.6370931710403553,426.87469482421875,29.64231300354004,349.8221740722656,272.9861145019531,215.21372985839844,586.0338134765625,221.98841857910156,491.7576904296875,535.6433715820313,332.2058410644531,834.5809936523438,40.06403350830078,629.2578125,369.09820556640625,200.0821075439453,573.8438720703125,106.04066467285156,515.4248657226563,409.9440002441406,222.2800750732422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,66.87820434570313,-38.966285705566406,-8.41167163848877,65.73318481445313,-39.29674530029297,-7.316956520080566,65.2886734008789,-39.96534729003906,-8.060996055603027,64.24400329589844,-40.63906478881836,-9.006731033325195,63.852108001708984,-40.87299728393555,-10.083385467529297,63.12218475341797,-40.770042419433594,-10.518010139465332,62.881988525390625,-40.70119857788086,-11.032526016235352,61.949981689453125,-39.99782943725586,-10.285231590270996,61.265560150146484,-39.35665512084961,-9.11273193359375,68.03258514404297,-39.064971923828125,-9.579209327697754,2.108185169607732,13.226171233139837,-1.0,0.01849105812220566,10.000000298023224,3.84,28.36,100
L-1:5,6.000000178813934,1.9780244860085194,0.9074143265979983,3.4560121284030374,2.790809404267103,3.3993464437036094,1.2111509086554153,3.888322670536729,2.8462900659372354,2.576434998927167,1025.82568359375,115.12618255615234,557.9283447265625,589.6444091796875,434.1413879394531,882.770751953125,427.2120056152344,891.580322265625,723.0003662109375,551.18408203125,1130.47216796875,129.99998474121094,726.6581420898438,568.2342529296875,313.19384765625,858.768798828125,255.2858123779297,920.198486328125,945.7652587890625,568.2850952148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,68.1227798461914,-42.2196159362793,-14.32300090789795,69.06856536865234,-41.96971130371094,-12.397140502929688,63.762413024902344,-43.64656448364258,-13.223861694335938,64.28677368164063,-44.168914794921875,-14.640944480895996,64.69132995605469,-44.20121765136719,-15.726414680480957,64.986328125,-44.502685546875,-16.63488006591797,66.53575897216797,-43.98486328125,-18.871971130371094,67.56495666503906,-43.52124786376953,-19.297792434692383,68.18070220947266,-42.763004302978516,-18.165483474731445,67.66910552978516,-41.76090621948242,-14.635838508605957,2.848001333316228,6.446557003100895,-1.0,0.011973684210526315,4.33333346247673,0.0,22.88,68
L-1:6,4.055175141052446,2.3223561249597657,3.612675990332587,0.44756656777373716,5.711454246189166,1.3333333730697632,2.6101120960264756,5.3404101156528165,3.604416211507366,2.9124627260182585,853.1961669921875,25.05104637145996,566.410400390625,447.5658264160156,333.4688415527344,728.9322509765625,148.41033935546875,777.9452514648438,796.4683837890625,565.39892578125,639.6112670898438,54.09514617919922,725.3593139648438,470.21142578125,280.25543212890625,916.2890014648438,273.2567138671875,814.4297485351563,957.5762939453125,561.7034301757813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,69.81877136230469,-38.91272735595703,-7.1732611656188965,69.14812469482422,-38.55134201049805,-6.016357421875,69.6734619140625,-38.42963790893555,-6.0899481773376465,70.97732543945313,-39.08864212036133,-9.082374572753906,71.10252380371094,-40.103782653808594,-11.45250415802002,68.67198181152344,-40.897579193115234,-14.844167709350586,67.54727172851563,-41.202980041503906,-15.35561466217041,76.46964263916016,-41.50526428222656,-18.38798713684082,75.52433013916016,-41.29180145263672,-17.03821563720703,70.63325500488281,-39.54662322998047,-8.76419448852539,10.29023300029492,4.914245162206871,1.0,0.01476718403547672,1.0000000298023224,0.0,26.64,0
L-1:7,3.1622777544115976,3.09349478133152,2.837060965506148,0.507512885260103,3.48184542876478,2.748737165663851,6.854359997573944,6.262641569795744,7.011849448728046,1.0386796224532402,660.1336059570313,31.402193069458008,587.773681640625,447.1183776855469,314.13946533203125,793.1014404296875,296.3894348144531,750.145751953125,500.36541748046875,347.0921630859375,648.069091796875,78.62645721435547,639.744873046875,644.9156494140625,235.2967529296875,591.3239135742188,189.9794158935547,666.0781860351563,474.5323486328125,361.880615234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,65.43201446533203,-39.336402893066406,-9.90416431427002,63.20436477661133,-38.47977066040039,-6.592052936553955,63.85637664794922,-38.27210235595703,-7.211936950683594,66.02963256835938,-38.92384338378906,-8.586097717285156,69.81501007080078,-40.06772232055664,-13.992402076721191,72.18643951416016,-40.77873611450195,-18.043659210205078,72.73029327392578,-41.47182846069336,-19.32889175415039,75.73307037353516,-40.005226135253906,-21.609710693359375,72.35816192626953,-40.5365104675293,-19.124919891357422,70.0276107788086,-39.847591400146484,-16.13499641418457,10.749677318096738,3.73443458782825,1.0,0.014177659879552624,1.666666716337204,0.0,28.25,0
L-1:8,2.6874193295241846,0.14770702284332052,10.232800669175015,7.3045643951090495,9.550821901470806,19.742791114995473,24.791612536893897,23.3019895289167,21.295330680401815,5.998862372183572,386.4051818847656,16.885658264160156,122.29784393310547,291.5715026855469,88.16402435302734,243.33184814453125,92.58757781982422,342.6188049316406,358.22552490234375,230.6427459716797,561.8736572265625,23.29559326171875,379.84918212890625,276.0539245605469,286.5473937988281,863.1424560546875,240.11085510253906,659.8385620117188,363.56109619140625,404.3730773925781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.021568628028035164,60.59309005737305,-40.605167388916016,-10.712997436523438,60.55731964111328,-40.587623596191406,-8.906476020812988,61.16279983520508,-41.231937408447266,-9.057483673095703,62.38002395629883,-41.60206985473633,-9.421793937683105,63.80546951293945,-41.96342849731445,-10.664483070373535,65.15326690673828,-43.03438186645508,-14.234264373779297,65.08992004394531,-43.022212982177734,-14.20108413696289,65.68184661865234,-42.605567932128906,-13.9734468460083,65.33123779296875,-42.10893249511719,-12.43954849243164,65.30989074707031,-41.34199142456055,-11.112225532531738,6.333333522081375,17.13692030928492,-1.0,0.021106060606060607,12.000000357627869,5.65,37.81,0
L-1:9,8.825468459601932,4.775442264052336,1.940039628037087,6.1404996250215005,0.45846704370761754,1.490712029426539,5.295817732624079,0.803496960412983,1.6232642629510776,1.9704334620130162,1201.5799560546875,144.21173095703125,666.591552734375,337.897216796875,164.14170837402344,820.3992919921875,150.9092254638672,1021.0762939453125,866.2263793945313,483.8116455078125,945.6630249023438,18.13992691040039,1258.857666015625,800.4135131835938,377.0122985839844,1007.6868286132813,256.3371887207031,917.7745971679688,799.2991333007813,321.8731689453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,60.95105743408203,-38.061641693115234,-4.262986660003662,61.17588806152344,-38.11497116088867,-4.372569561004639,62.023338317871094,-38.23272705078125,-5.114729881286621,64.17103576660156,-39.175052642822266,-7.161919116973877,74.45474243164063,-39.16880798339844,-10.184015274047852,75.9250717163086,-39.99114990234375,-14.194661140441895,74.9721908569336,-39.92436981201172,-15.21668815612793,75.49150085449219,-39.44640350341797,-17.5039119720459,68.47323608398438,-38.98017883300781,-14.080205917358398,61.6723747253418,-38.84380340576172,-6.795019626617432,5.906681891589282,6.064529770841254,1.0,0.012200413223140496,2.6666667461395264,0.0,23.62,0
L-1:10,3.8005848635967117,9.594137455238048,6.2808547075688015,2.981048061449936,8.21090838152327,6.674994997097276,0.8904968924178627,1.7402766750502536,1.3985962382123445,3.678624851726673,767.6858520507813,75.96893310546875,777.5938720703125,442.4822692871094,200.41371154785156,1050.2015380859375,218.25218200683594,1030.2337646484375,731.482177734375,315.3016357421875,1450.70751953125,81.0389404296875,1511.0003662109375,746.2200927734375,284.5601501464844,1054.4002685546875,217.36973571777344,1026.11083984375,706.784423828125,540.5755004882813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02352941408753395,0.02549019828438759,70.79218292236328,-40.89054870605469,-15.400726318359375,68.83503723144531,-40.8079719543457,-10.78964614868164,69.09931945800781,-40.51087188720703,-10.582444190979004,70.86162567138672,-40.271305084228516,-11.445509910583496,72.87803649902344,-40.3570556640625,-12.233254432678223,76.50464630126953,-41.94366455078125,-21.152986526489258,76.9477767944336,-42.51084518432617,-24.117101669311523,76.9477767944336,-42.51084518432617,-24.117101669311523,75.91558837890625,-42.37232971191406,-23.512229919433594,74.033935546875,-41.41981506347656,-20.70769691467285,1.9436506895404029,8.196469549075394,1.0,0.011324179292929292,2.3333334028720856,0.0,20.5,0
