Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.6651203358670146,6.458610478477002,13.501458672753985,2.32079587424718,6.241852863376522,9.287057462922137,6.993313109065795,6.179019813212879,3.0020426961351694,1.0533810718034478,725.4143676757812,0.016911379992961884,542.894287109375,274.4344482421875,308.96942138671875,611.4480590820312,258.3594970703125,474.7261657714844,442.00836181640625,330.27593994140625,427.472412109375,55.99980926513672,590.9408569335938,438.3472900390625,51.45060729980469,411.63897705078125,90.1561508178711,562.853271484375,396.2492370605469,308.4025573730469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57242061246618,2.8537285303181457,1.0,0.019386363636363636,0.761904776096344,0.0,25.59,100
L-1:2,5.613395162954345,2.406221936119833,7.729180416142164,1.1968974481213197,1.3307033832672486,4.343525509853569,15.304578451446954,7.970798081449402,2.4426639737757485,2.1979623842473544,674.1331176757812,96.26667785644531,670.7855834960938,486.88885498046875,277.2399597167969,810.4461669921875,96.83060455322266,562.4114990234375,459.7584228515625,471.75,736.34521484375,43.76980209350586,556.8374633789062,155.95831298828125,152.69967651367188,837.5454711914062,205.49652099609375,732.7909545898438,763.41650390625,436.34368896484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.832888732678168,5.072625615653159,1.0,0.014575298438934802,4.952381044626236,0.0,27.21,76
L-1:3,2.9890200226224954,5.183122633894301,3.7815554698286795,2.326471546454674,9.312515967195523,2.6151486616149353,5.223430332178671,5.609746854959458,2.9919526998793393,2.2296783189421907,594.2386474609375,79.8298568725586,365.5773010253906,194.5131072998047,175.55230712890625,711.0094604492188,99.3864974975586,690.2660522460938,629.5022583007812,272.5470886230469,670.5867309570312,97.44017791748047,579.9154052734375,367.63458251953125,387.3961486816406,835.6721801757812,145.3858184814453,550.1858520507812,664.9234619140625,383.7742004394531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.927758708354226,3.398384695038908,1.0,0.017119078104993597,0.0,0.0,22.92,96
L-1:4,8.095238246023655,6.118487550380537,4.731405837281104,7.762237540718686,7.395347857256445,11.139600871242415,0.8103831538944549,3.073901793826995,1.0740606554842869,5.651317276985624,585.9259033203125,77.91046142578125,267.0920104980469,262.5196838378906,261.1921691894531,809.1946411132812,213.1446075439453,598.754150390625,458.7738037109375,363.6463623046875,831.1844482421875,60.30644226074219,763.3692016601562,347.3567810058594,242.38414001464844,896.4674072265625,359.99591064453125,1016.5770874023438,650.6651611328125,512.4114379882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.36626121679667,13.183178156546367,1.0,0.015598223615464995,0.761904776096344,4.9,25.59,32
L-1:5,0.6098213673047935,8.823467418745064,6.477003960334555,3.6224308476611276,6.621443098003712,4.669581295408685,3.23273527856261,3.359831028404449,2.252131644458761,1.9506327779729067,865.2454833984375,84.4577865600586,782.1183471679688,531.1552734375,52.012367248535156,673.7871704101562,156.70603942871094,707.6219482421875,526.540283203125,415.6701965332031,614.206787109375,80.72582244873047,534.9125366210938,500.56768798828125,232.52537536621094,701.8331298828125,115.94786834716797,569.5261840820312,560.5381469726562,440.6710510253906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.656222546060453,6.6161070289691875,1.0,0.016220502901353965,0.0,0.0,23.96,0
L-1:6,3.3005188140795156,6.736008893630086,5.472672268782757,2.139779294285475,1.6547684547082746,6.036923537871406,0.7579982882828913,4.855707796924364,3.4671889859522182,3.9446681573418383,621.5645141601562,345.9458312988281,568.407470703125,385.00421142578125,156.08811950683594,551.7949829101562,275.1603698730469,456.83331298828125,450.24212646484375,276.6001892089844,525.4012451171875,42.08506774902344,460.039794921875,426.47955322265625,247.69944763183594,608.709716796875,211.74851989746094,587.2476196289062,748.9585571289062,311.40447998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.007843137718737125,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.027450982481241226,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.832742854598829,7.411681914859596,1.0,0.01748628526645768,2.666666716337204,0.0,25.5,0
L-1:7,1.5058465328906623,5.960765693235786,10.177074734638458,1.7482252212462077,4.507388931634598,9.686702382235513,5.079420458809332,4.188198529947047,1.9092256858905046,3.957475900912726,846.5702514648438,40.86329650878906,823.6610717773438,440.7142333984375,54.675758361816406,732.3602905273438,268.60101318359375,483.88531494140625,629.1214599609375,724.2770385742188,743.3053588867188,55.73111343383789,554.9789428710938,411.41326904296875,280.8476867675781,934.885498046875,276.0271301269531,668.347900390625,265.4264831542969,295.23565673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.582228589130224,2.5754229468440157,1.0,0.015995553359683796,2.285714328289032,0.0,27.75,0
L-1:8,5.282066621762174,3.1894600308805274,3.143750618819113,14.254809172761309,8.119523622866591,11.25019547114718,13.5541435343941,3.1212125910285473,2.6751767983313037,10.772850847707485,895.8298950195312,91.6434326171875,751.7869873046875,605.3591918945312,0.7648912072181702,895.1814575195312,178.7417449951172,844.8050537109375,534.6569213867188,478.6669616699219,824.6399536132812,159.25570678710938,866.3529052734375,461.8463134765625,523.8268432617188,1005.0342407226562,369.5855712890625,734.6098022460938,421.3358154296875,369.0487976074219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.728100454605611,5.520767030979744,1.0,0.014191919191919193,9.142857313156128,4.96,28.1,0
L-1:9,3.0071721329361725,2.015322539058596,7.574395318403087,1.8425071772964063,1.3741085406903835,2.571428619325161,5.204195337062369,2.191887518931809,0.9498219422846308,1.3816036884116571,774.2161254882812,19.96417236328125,395.77587890625,615.7999877929688,220.5377197265625,853.1715087890625,110.85084533691406,669.0662841796875,674.1788330078125,425.9666442871094,416.7944641113281,10.243084907531738,649.1254272460938,421.8167724609375,188.85447692871094,682.5782470703125,292.6221923828125,723.40673828125,690.5421752929688,534.2376708984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.007843137718737125,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.01568627543747425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.105080857379816,1.1357618572638577,1.0,0.01481442869057548,1.142857164144516,0.0,20.3,0
L-1:10,1.9817764223120153,3.7302864352173732,2.2861550082329054,1.292378349229218,1.9956011860710177,6.234277391952231,1.2431648002623263,3.616975222403255,1.4025111936884365,3.585704517170494,731.3065795898438,92.4189453125,622.1063232421875,462.937744140625,93.5580062866211,472.628662109375,192.55538940429688,623.3593139648438,385.47418212890625,352.74151611328125,624.1294555664062,106.43670654296875,675.6761474609375,478.47515869140625,313.26776123046875,744.039306640625,456.4981689453125,871.6743774414062,602.7477416992188,597.712890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.342933320456059,7.4610906786473405,1.0,0.015436602870813396,0.380952388048172,0.0,25.81,0
