Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,23.676055181707756,13.003261910991592,9.852046704534056,4.8524217749102725,5.1745523011130485,6.8718429141596395,14.727600482404112,7.699248150341966,13.003292565390328,20.59967996904141,1413.35498046875,88.42459869384766,936.9520263671875,242.2792510986328,280.2310485839844,762.7701416015625,213.86009216308594,1154.149169921875,724.5283203125,463.96923828125,651.81201171875,63.74933624267578,1118.6513671875,892.275146484375,247.00440979003906,655.124267578125,366.1116943359375,523.5457763671875,420.34588623046875,403.2351989746094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.013725491240620613,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01568627543747425,325.8034973144531,-56.27169418334961,-9.658914566040039,325.8034973144531,-56.27169418334961,-9.658914566040039,325.27740478515625,-56.63612747192383,-10.240747451782227,322.2856140136719,-58.114044189453125,-12.250076293945312,321.67620849609375,-58.3482551574707,-12.495722770690918,321.64227294921875,-59.06513977050781,-11.744540214538574,321.96588134765625,-59.150421142578125,-11.17939281463623,324.3271484375,-57.76858901977539,-9.798026084899902,325.0635986328125,-57.67619705200195,-10.366209983825684,325.3861389160156,-57.18212890625,-9.746683120727539,7.608475033759103,7.494861320729643,1.0,0.013098691192076406,11.000000327825546,0.0,21.16,32
L-1:2,8.006941671601659,3.3165377573012678,3.2861821755923466,7.2931068429013735,9.444630207330997,5.044248800470846,1.709423463040639,3.24813116124236,9.60446716263508,11.597285787031794,910.998779296875,129.18008422851562,421.5917053222656,326.5196838378906,505.4556884765625,1189.7235107421875,189.89024353027344,620.9679565429688,623.64404296875,508.190185546875,652.6094970703125,73.3493423461914,647.17138671875,654.6860961914062,421.0389709472656,911.3914794921875,608.1953735351562,982.066650390625,1010.0626831054688,736.327880859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.011764707043766975,328.200927734375,-57.083709716796875,-5.694571495056152,329.5292663574219,-57.522369384765625,-4.365880489349365,330.4291687011719,-53.858333587646484,-6.484956741333008,328.2784118652344,-55.813846588134766,-7.452395439147949,326.05963134765625,-57.08079528808594,-9.264887809753418,324.221923828125,-60.19105911254883,-10.196447372436523,324.9691162109375,-61.379756927490234,-9.068865776062012,324.9691162109375,-61.379756927490234,-9.068865776062012,325.4712219238281,-60.33940505981445,-7.2648444175720215,325.4712219238281,-60.33940505981445,-7.2648444175720215,8.806563471537974,13.381290330918116,-1.0,0.0134244126659857,1.666666716337204,0.0,22.53,100
L-1:3,11.080513755954808,4.630515973951508,8.547665027720479,5.36962497480954,4.1025963051163385,2.848001333316228,7.398492719632682,11.954211793705749,1.2272906276770927,2.7976160248029047,825.578857421875,43.460025787353516,861.1526489257812,634.2315063476562,178.20941162109375,515.9929809570312,236.77972412109375,615.4263305664062,537.65380859375,373.5500793457031,1552.8189697265625,135.778564453125,757.8147583007812,651.4517822265625,337.9863586425781,1025.67529296875,288.04156494140625,1618.9005126953125,1166.0435791015625,400.2013244628906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.013725491240620613,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,325.42327880859375,-57.30271911621094,-12.30672550201416,325.9415283203125,-58.717323303222656,-7.607664108276367,324.6802978515625,-59.580204010009766,-8.518440246582031,322.0972900390625,-60.59656524658203,-9.888406753540039,309.1145324707031,-68.44701385498047,-16.640945434570312,307.1347961425781,-71.58051300048828,-17.341997146606445,308.5479431152344,-71.24352264404297,-17.224763870239258,308.5479431152344,-71.24352264404297,-17.224763870239258,317.1725769042969,-64.64435577392578,-15.202713012695312,317.1725769042969,-64.64435577392578,-15.202713012695312,19.686431333679224,10.04693160250344,-1.0,0.012553944110364345,2.6666667461395264,0.0,20.28,108
L-1:4,6.009252304862985,6.291427253567498,19.542512688051456,18.252383490116248,25.01985585349886,27.67469845435402,26.30882831733186,18.48822977077326,4.184664950613734,2.609743553514903,250.3821563720703,20.874469757080078,354.3905029296875,446.4515075683594,312.54058837890625,1849.501953125,253.560791015625,592.143310546875,836.48779296875,435.077392578125,666.5123291015625,26.580236434936523,594.0887451171875,353.2900085449219,695.1516723632812,1047.954833984375,243.35946655273438,909.3414306640625,785.7235107421875,415.7503356933594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,328.3041076660156,-56.43306350708008,-9.229857444763184,332.04107666015625,-49.19868850708008,-6.388722896575928,326.973876953125,-53.37190628051758,-8.359509468078613,326.973876953125,-53.37190628051758,-8.359509468078613,322.2359924316406,-56.20500183105469,-12.007917404174805,320.64727783203125,-57.0558967590332,-13.67499828338623,320.72723388671875,-57.476844787597656,-13.48964786529541,321.70843505859375,-56.73680877685547,-13.271943092346191,322.563720703125,-56.62940216064453,-13.070226669311523,324.1716003417969,-56.002384185791016,-12.23510456085205,4.678556421971242,17.784755987812442,-1.0,0.015958366854384554,21.00000062584877,3.42,22.67,100
L-1:5,11.709445729135531,10.114544671998516,4.23817627597685,1.2848631747166435,2.1300915625272285,5.011098942133351,1.694267345793422,4.031833762003499,4.266184676508207,2.283586010485231,1056.2841796875,65.38079071044922,959.14404296875,569.3632202148438,246.50677490234375,1047.3526611328125,246.62591552734375,991.265869140625,563.9857177734375,138.6531524658203,793.28076171875,89.90576934814453,680.9652099609375,702.8182983398438,394.1926574707031,771.0341186523438,520.3095703125,1677.4478759765625,705.4451904296875,362.7716064453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.013725491240620613,329.85467529296875,-56.99857711791992,-9.836552619934082,331.68768310546875,-55.09990310668945,-9.212038040161133,329.03704833984375,-57.182884216308594,-12.258641242980957,329.03704833984375,-57.182884216308594,-12.258641242980957,327.6318359375,-59.98597717285156,-13.601054191589355,326.8732604980469,-62.15032196044922,-13.83397388458252,322.66717529296875,-62.642032623291016,-16.838790893554688,324.82269287109375,-62.161888122558594,-14.010677337646484,328.1535949707031,-59.61204528808594,-11.113748550415039,329.85467529296875,-56.99857711791992,-9.836552619934082,8.055364222464936,10.334656131302893,1.0,0.012744078104993598,7.000000208616257,0.0,22.75,36
L-1:6,4.176654819854566,7.319760867874603,6.734146764983442,8.747194113985534,22.000413588900575,1.6666667163371927,4.960884367856982,4.734808802204094,2.43737562132708,2.921141446556508,945.2568359375,89.74251556396484,790.0452880859375,337.3471984863281,389.63287353515625,1280.750244140625,141.76776123046875,2070.843505859375,986.7337036132812,214.28091430664062,1041.3387451171875,251.1700439453125,1642.326171875,875.3750610351562,7.592443466186523,409.4400329589844,168.1785888671875,926.4974975585938,451.7218933105469,406.55487060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.013725491240620613,0.01568627543747425,0.013725491240620613,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01568627543747425,324.2469482421875,-61.492156982421875,-16.193035125732422,325.8670349121094,-59.32923889160156,-16.018625259399414,324.28814697265625,-60.48955535888672,-17.308460235595703,318.04022216796875,-67.03269958496094,-20.124841690063477,314.8761901855469,-70.06726837158203,-21.968955993652344,313.9097900390625,-72.4994125366211,-21.9658260345459,313.21917724609375,-73.4179916381836,-21.937795639038086,315.18328857421875,-66.59369659423828,-24.93819808959961,321.023681640625,-65.64173889160156,-18.328407287597656,322.412841796875,-63.900001525878906,-16.985485076904297,3.5433820431792276,2.947327992578025,1.0,0.012411130536130535,1.0000000298023224,0.0,24.34,0
L-1:7,2.1343748094202737,0.4566381911486695,7.356678643414672,0.7341903806326237,8.24861170818194,5.426273693748788,2.382759048521536,6.071714895984325,11.496863290106557,2.3637971987474375,1149.9189453125,205.09103393554688,369.3208923339844,551.5382080078125,380.2171630859375,814.3756713867188,340.6308898925781,513.7166748046875,724.8541259765625,741.9202880859375,774.0944213867188,43.615386962890625,710.4365844726562,409.0425109863281,319.5594177246094,900.3729858398438,231.5243377685547,867.6229248046875,762.7423706054688,479.6578674316406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01764705963432789,332.97125244140625,-52.921600341796875,-10.876449584960938,334.3889465332031,-51.053001403808594,-9.651322364807129,334.3889465332031,-51.053001403808594,-9.651322364807129,331.3316955566406,-53.58002853393555,-10.005412101745605,331.3316955566406,-53.58002853393555,-10.005412101745605,325.5935974121094,-54.150672912597656,-14.505324363708496,325.1737365722656,-55.597328186035156,-15.706608772277832,326.4366760253906,-55.9277458190918,-14.076831817626953,325.4342346191406,-56.5352783203125,-13.64613151550293,329.60504150390625,-55.95244216918945,-11.436925888061523,4.678556421971242,7.3143040463422295,-1.0,0.013447368421052631,1.0000000298023224,0.0,24.09,0
L-1:8,11.338234572369013,6.835537349597775,19.687600453365047,13.565640461383799,20.866389634236725,21.66923126332007,18.054014580432913,9.453226393467464,2.598057373585516,10.718211818280176,558.1329345703125,16.180349349975586,302.5367431640625,390.51556396484375,202.1334228515625,527.7233276367188,150.18521118164062,411.4800109863281,358.1452941894531,259.199951171875,656.3412475585938,40.131187438964844,546.5616455078125,286.3900146484375,374.9732360839844,816.96337890625,317.7789001464844,801.489013671875,563.2711791992188,414.0498352050781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,327.7599182128906,-53.80986785888672,-11.703600883483887,331.2485656738281,-50.27423095703125,-9.954323768615723,330.18572998046875,-50.877113342285156,-10.226818084716797,327.1792297363281,-51.977210998535156,-10.823390007019043,325.2928466796875,-52.5202522277832,-12.309696197509766,323.74530029296875,-54.11260223388672,-14.458205223083496,324.73822021484375,-55.17073059082031,-14.565872192382812,325.636474609375,-55.35914611816406,-14.131741523742676,324.732421875,-56.08095169067383,-14.210086822509766,326.2236022949219,-54.72576141357422,-13.084444046020508,6.411794878310153,7.748568925105459,-1.0,0.018700686106346485,15.000000447034836,3.99,24.92,0
L-1:9,8.432740678430928,7.791239620166177,1.2108219882160862,4.006768062863659,11.187791940781768,16.169244262727553,3.2834915932865485,3.649251040476181,13.382474189078911,15.325123487309023,810.1654052734375,169.4153289794922,851.5220947265625,665.518310546875,532.5857543945312,1058.523193359375,326.3560791015625,913.9437255859375,842.3894653320312,852.2911987304688,636.7091674804688,141.91856384277344,476.0138244628906,512.1008911132812,165.93072509765625,556.2760009765625,423.875732421875,900.190673828125,558.3622436523438,401.8879089355469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.01568627543747425,0.011764707043766975,0.013725491240620613,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.013725491240620613,0.013725491240620613,0.01568627543747425,333.6730041503906,-43.31867218017578,-8.07653522491455,333.9871826171875,-42.63483810424805,-6.44046688079834,333.9580078125,-43.13413619995117,-6.108625888824463,334.7301025390625,-45.26389694213867,-6.4361701011657715,333.2846984863281,-47.239540100097656,-9.409892082214355,332.50262451171875,-47.55154800415039,-11.651100158691406,331.41448974609375,-47.05609893798828,-13.903321266174316,331.4129943847656,-46.948326110839844,-14.780719757080078,333.1795654296875,-44.739688873291016,-13.091737747192383,333.7104797363281,-43.557891845703125,-10.04707145690918,10.02773960317747,14.252766008824201,-1.0,0.013449494949494949,3.000000089406967,0.0,26.63,0
L-1:10,5.011098942133351,7.788248806293308,9.297296965029231,4.895335575896571,13.981759225689022,21.33593797693416,7.8365594924440565,2.440965178926937,1.4566336609130006,8.062280806974359,519.7266845703125,14.084750175476074,706.0656127929688,502.1246643066406,382.85565185546875,842.101806640625,386.3384704589844,1334.245361328125,682.0240478515625,574.2468872070312,477.97381591796875,24.798221588134766,355.0272216796875,557.0338745117188,68.46984100341797,384.9302978515625,149.72727966308594,906.7896728515625,972.2710571289062,752.0567016601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.013725491240620613,0.013725491240620613,0.013725491240620613,0.013725491240620613,0.011764707043766975,0.013725491240620613,0.013725491240620613,0.01568627543747425,0.013725491240620613,334.4814453125,-44.97291946411133,-14.424979209899902,334.49517822265625,-45.22513198852539,-14.091877937316895,334.368408203125,-45.46772003173828,-14.08678150177002,334.2996826171875,-45.0759391784668,-8.932558059692383,332.0105285644531,-47.58527755737305,-15.255654335021973,331.571533203125,-48.27073669433594,-18.540449142456055,331.001953125,-47.317909240722656,-20.143787384033203,331.48974609375,-46.78966522216797,-20.1398983001709,332.4602355957031,-46.47653579711914,-19.964447021484375,333.95465087890625,-45.272308349609375,-18.297828674316406,11.080513755954808,12.620686578882571,-1.0,0.015429292929292928,5.000000149011612,0.0,30.55,0
