Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7661343081429121,1.7244857935319482,2.399732521869373,9.530302054376042,5.24980431510371,1.6593755805109736,3.08165914009159,1.5036295677274785,6.215280864387309,3.3875865070723163,408.3143005371094,95.63245391845703,406.2295837402344,413.44122314453125,219.69265747070313,418.8017272949219,112.75386810302734,377.8481750488281,629.8634643554688,436.8490295410156,585.493408203125,91.55728149414063,658.2828979492188,329.0235900878906,142.82315063476563,968.5554809570313,197.4589385986328,531.9886474609375,348.3664245605469,225.38497924804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.5876159667969,-96.25029754638672,5.734992980957031,292.030029296875,-95.64720916748047,6.998939037322998,292.33941650390625,-95.63771057128906,7.1796770095825195,291.65802001953125,-96.45499420166016,6.6414337158203125,290.1022644042969,-97.87027740478516,6.071917533874512,286.0399169921875,-100.6032485961914,5.679388046264648,283.50030517578125,-102.64286804199219,5.51235818862915,283.7057189941406,-103.18757629394531,4.968479633331299,284.05133056640625,-97.79106140136719,4.433804988861084,285.953369140625,-97.03404998779297,5.022529125213623,15.37061114945086,7.119817540514174,-1.0,0.02252826189354687,2.5,0.0,27.33,68
L-1:2,1.754449052080292,1.5827761401639422,2.223046840808537,1.1629411483865717,8.773491573634097,4.249180475562503,4.239045152111658,7.364462904224531,3.8340619233806694,8.794287970540525,387.3233337402344,81.9092025756836,410.64813232421875,356.2020263671875,353.51409912109375,845.1160278320313,760.16943359375,1592.4144287109375,723.9356079101563,420.8446044921875,731.1778564453125,88.77606964111328,787.3418579101563,426.3295593261719,73.63273620605469,626.2665405273438,230.85592651367188,662.7265014648438,365.5437316894531,337.66400146484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.2276916503906,-97.16011810302734,6.208426475524902,291.080078125,-96.83432006835938,6.5389838218688965,291.4217224121094,-96.80619812011719,6.799397945404053,291.4217224121094,-96.80619812011719,6.799397945404053,290.6949768066406,-98.75069427490234,5.253986835479736,288.83465576171875,-99.63117980957031,5.485657691955566,288.83465576171875,-99.63117980957031,5.485657691955566,286.92291259765625,-100.51908874511719,5.504861831665039,287.03802490234375,-100.26661682128906,5.065925598144531,287.3168029785156,-99.44822692871094,4.908481121063232,11.258531884478808,8.852312537212256,-1.0,0.01838181818181818,1.0,0.0,20.22,76
L-1:3,1.1683932796905623,1.4357855711118506,1.4734984148706318,2.7017405774511154,6.3467904503262975,12.255670077317225,13.087261232716653,2.8643591382383025,8.893267887177107,1.2564839733456534,691.7661743164063,27.482398986816406,443.3262023925781,390.1246032714844,0.0,0.0,91.04618072509766,537.8821411132813,385.8988952636719,379.85247802734375,842.706787109375,85.46589660644531,702.3958129882813,519.5632934570313,167.49148559570313,999.6143188476563,278.8876647949219,1080.13916015625,730.9574584960938,628.3294677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.56414794921875,-91.88350677490234,8.060800552368164,295.9190979003906,-92.64671325683594,7.891403675079346,294.9903564453125,-93.99383544921875,6.937268257141113,293.8774719238281,-92.67815399169922,6.992364406585693,291.67376708984375,-94.41614532470703,6.631872653961182,290.81329345703125,-94.94255828857422,7.055090427398682,292.13995361328125,-93.291748046875,7.655749320983887,292.13995361328125,-93.291748046875,7.655749320983887,294.57177734375,-92.11882019042969,7.927581310272217,294.57177734375,-92.11882019042969,7.927581310272217,29.917207813264138,10.424071403940404,1.0,0.015067299205648723,1.0,0.0,19.51,108
L-1:4,17.76938087189606,25.14244781286729,26.183184365264626,14.631766230216495,16.004131094702842,8.90195348519942,2.6310968968929878,4.978006610711499,16.82934650920728,20.65174806153858,877.2986450195313,35.76734161376953,842.8086547851563,904.7446899414063,766.6533813476563,1615.5675048828125,355.4996337890625,699.800048828125,949.3115234375,473.5943298339844,939.7548217773438,141.08460998535156,990.424072265625,661.020751953125,229.36265563964844,1145.61376953125,607.8472900390625,1081.2772216796875,1024.4205322265625,758.67138671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.5487060546875,-96.3668441772461,4.659491539001465,289.5487060546875,-96.3668441772461,4.659491539001465,291.84808349609375,-95.12966918945313,6.343265533447266,291.84808349609375,-95.12966918945313,6.343265533447266,291.4664306640625,-95.91121673583984,6.6478424072265625,291.4664306640625,-95.91121673583984,6.6478424072265625,289.5411682128906,-97.10072326660156,6.591589450836182,288.3233947753906,-97.70677947998047,4.074643135070801,288.3243103027344,-97.20037841796875,3.975721597671509,288.3243103027344,-97.20037841796875,3.975721597671509,17.915367252987153,8.980525441324476,-1.0,0.011536472509526401,17.0,3.38,12.11,36
L-1:5,7.2233261770723844,7.983907921807188,4.477421442922499,5.828455692260913,4.767319043582142,6.159725674601956,1.248657214440974,0.6063621856295935,5.233487093693448,2.56815051982721,492.8793029785156,81.13489532470703,640.6646118164063,523.0843505859375,187.31463623046875,900.4212646484375,581.96533203125,1010.7697143554688,807.3359375,288.8979797363281,861.9495849609375,2.377699136734009,720.6626586914063,400.0083923339844,180.5061492919922,661.0533447265625,341.3658447265625,760.31884765625,545.5835571289063,442.3458557128906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.2151794433594,-98.13530731201172,7.225379943847656,292.2372741699219,-95.9874038696289,8.785500526428223,292.4899597167969,-96.1236572265625,9.001477241516113,292.4899597167969,-96.1236572265625,9.001477241516113,290.5746154785156,-98.33624267578125,6.733050346374512,290.1714172363281,-98.91061401367188,6.830903053283691,287.5946960449219,-101.15946197509766,7.390695095062256,287.5946960449219,-101.15946197509766,7.390695095062256,287.9276428222656,-101.18287658691406,6.911659240722656,288.68621826171875,-100.24315643310547,6.685701847076416,28.89293426439746,6.381062130558741,-1.0,0.014209215442092154,3.5,0.0,19.56,32
L-1:6,2.2987090178065386,4.335512763508175,1.9534425168912608,3.1414934542284265,3.5189677389299665,3.3037931596659833,0.6397879161649663,2.9477693070039854,1.8316529206891974,6.846949620730147,568.0294189453125,79.41071319580078,600.5347290039063,535.6738891601563,365.9433288574219,623.413818359375,517.1395263671875,976.2128295898438,867.7410278320313,532.5062255859375,459.1368713378906,116.8800277709961,416.6949462890625,309.1723327636719,38.282920837402344,649.2726440429688,3.243739604949951,665.8406982421875,477.86920166015625,391.8284912109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.3559875488281,-98.68901824951172,5.784172534942627,292.00030517578125,-97.43849182128906,6.455315589904785,292.605712890625,-97.4722900390625,7.315397262573242,292.1593322753906,-97.44635772705078,7.3966522216796875,292.1593322753906,-97.44635772705078,7.3966522216796875,290.0493469238281,-98.88661193847656,5.75205135345459,288.95318603515625,-100.06704711914063,5.9990668296813965,288.92364501953125,-100.25666809082031,5.803507328033447,288.92364501953125,-100.25666809082031,5.803507328033447,289.5473327636719,-99.69174194335938,5.647141933441162,28.99310054409195,3.52276170253175,-1.0,0.01574915824915825,0.5,0.0,18.71,0
L-1:7,1.2944168228594042,3.5292306895011802,1.6352268743482214,1.85233590596742,5.9829037084223256,5.536622511035675,1.7721985497483932,10.759248532625424,9.316850072065057,5.939860847370256,802.802001953125,32.386199951171875,563.6212768554688,378.5570068359375,217.15492248535156,487.7655334472656,122.94660949707031,621.0144653320313,497.00189208984375,446.10986328125,738.974609375,23.886154174804688,697.180908203125,680.0518188476563,177.67071533203125,963.3003540039063,187.17349243164063,928.3222045898438,640.2125854492188,639.1422729492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.2354736328125,-90.57247161865234,10.035684585571289,293.324462890625,-90.77535247802734,9.636610984802246,292.78533935546875,-91.5895004272461,8.817956924438477,291.46875,-93.15447235107422,7.920431137084961,290.1404113769531,-94.54448699951172,6.913821697235107,288.9450378417969,-95.44915771484375,6.618693828582764,288.88653564453125,-94.98743438720703,7.267500877380371,291.4346618652344,-93.46361541748047,7.59198522567749,291.4346618652344,-93.46361541748047,7.59198522567749,294.04351806640625,-93.32274627685547,8.378036499023438,22.305552608633786,10.934410112278298,1.0,0.015584877208099956,1.5,0.0,20.67,0
L-1:8,5.860561873710391,1.1427052935020359,6.436298603746024,7.814985954874656,29.694518821198887,11.990530104968213,4.565176822024226,12.179393950911445,19.543413858323248,15.236098512600755,803.0674438476563,84.80522155761719,0.0,0.0,216.94158935546875,925.6151123046875,90.34339904785156,1164.7186279296875,631.3370971679688,645.4334106445313,1501.22509765625,544.76904296875,1241.8067626953125,1093.656494140625,155.68487548828125,1035.0791015625,439.5888671875,1095.813232421875,728.97119140625,1083.6358642578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.42242431640625,-90.60382080078125,7.736289024353027,294.5811462402344,-90.67035675048828,8.061178207397461,292.0889892578125,-91.73149108886719,7.339286804199219,290.2508544921875,-94.99072265625,6.0629377365112305,289.3956298828125,-95.73267364501953,5.611830711364746,289.3956298828125,-95.73267364501953,5.611830711364746,290.82275390625,-93.01482391357422,7.6717071533203125,290.82275390625,-93.01482391357422,7.6717071533203125,293.7994384765625,-90.83949279785156,7.758967876434326,293.7994384765625,-90.83949279785156,7.758967876434326,18.080689540569583,21.006497769188904,1.0,0.010496802192782094,4.0,2.91,13.13,0
L-1:9,2.098524742308322,1.7848423920253689,3.817813289207595,2.121055920269727,1.8232850652867671,3.2171399257349513,4.319935551563778,6.513511875956569,3.263372987961122,4.799072105821437,567.2553100585938,55.81739807128906,571.71923828125,375.7947998046875,189.54002380371094,857.4572143554688,427.947509765625,944.561767578125,857.895263671875,936.7290649414063,708.2128295898438,104.01862335205078,563.77880859375,614.9149169921875,370.5361633300781,767.9698486328125,280.9784851074219,770.7352905273438,323.4499206542969,292.38409423828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.423583984375,-95.6186294555664,6.993895530700684,291.423583984375,-95.6186294555664,6.993895530700684,291.399169921875,-95.3593978881836,7.6803483963012695,291.2414245605469,-95.66558074951172,7.884693622589111,291.2414245605469,-95.66558074951172,7.884693622589111,290.5179443359375,-97.1954116821289,7.063070774078369,290.5179443359375,-97.1954116821289,7.063070774078369,289.6614685058594,-97.89816284179688,6.34561014175415,289.8318786621094,-98.05494689941406,6.357552528381348,289.8318786621094,-98.05494689941406,6.357552528381348,44.02304219054252,4.992416265487546,-1.0,0.01526388888888889,0.0,0.0,17.27,0
L-1:10,11.85077639169549,3.417129352025736,12.579561418699543,6.107896295105577,3.797772776031534,2.224080463293733,1.9930274474903933,0.8771125729655809,3.9358479201263514,1.0222884931571745,718.5731811523438,69.00080108642578,590.3701171875,222.4177703857422,265.7296447753906,717.8330078125,600.3031616210938,752.7224731445313,1058.8857421875,680.9623413085938,1007.8486938476563,19.998279571533203,778.0226440429688,811.07568359375,419.20391845703125,1012.7952880859375,110.06600189208984,512.51806640625,608.7907104492188,232.77365112304688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.2314147949219,-96.70116424560547,5.969903945922852,291.35687255859375,-95.50959777832031,6.839502334594727,291.55804443359375,-95.1810073852539,7.377767086029053,291.44842529296875,-95.18323516845703,7.624727725982666,291.44842529296875,-95.18323516845703,7.624727725982666,290.5366516113281,-96.07818603515625,7.203446865081787,290.5366516113281,-96.07818603515625,7.203446865081787,288.25445556640625,-97.3499755859375,5.966621398925781,289.7350769042969,-97.45684051513672,5.763919353485107,290.2314147949219,-96.70116424560547,5.969903945922852,19.236223212124386,4.031114973198987,-1.0,0.016523125996810207,2.0,0.0,17.76,0
