Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.931023575269549,4.955632075181082,1.7179249770999845,3.248217287357558,1.1121619194685453,4.554039666170659,7.565126147421027,3.4299234046212543,0.5808000981717817,1.3251639142136549,421.67535400390625,144.85775756835938,437.0960693359375,175.04380798339844,175.04132080078125,296.392333984375,215.26007080078125,538.6409301757813,490.9051818847656,349.6590881347656,691.8911743164063,55.374046325683594,586.16748046875,311.2474365234375,108.59012603759766,521.3521118164063,262.21783447265625,757.9806518554688,361.116455078125,247.99325561523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,213.015625,-18.21875,-2.46875,213.046875,-17.796875,-1.9375,215.15625,-21.265625,-4.390625,214.921875,-22.71875,-5.46875,214.5,-25.453125,-8.34375,210.703125,-25.96875,-8.453125,203.4375,-25.5625,-8.25,203.0,-23.546875,-7.71875,213.15625,-20.546875,-4.875,213.375,-18.09375,-2.34375,9.824573101413769,3.5005211762401194,1.0,0.018474900520355067,4.0000001192092896,0.0,34.49,4
L-1:2,5.75409347623613,7.658653175362897,2.5630571949735734,3.476634994285308,1.2617878474685396,0.4970783789373017,2.3851807730757395,8.692029021278346,2.4948516900977493,6.016985505455516,549.9954223632813,127.40385437011719,448.2359924316406,225.8663330078125,223.80059814453125,611.645751953125,194.86752319335938,542.0216064453125,523.6898193359375,410.5425109863281,559.0596923828125,125.3164291381836,565.228271484375,419.1731262207031,234.84573364257813,424.50537109375,273.0310974121094,480.9773864746094,300.76739501953125,386.2228088378906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,218.71875,-20.40625,-4.671875,218.96875,-21.625,-5.75,219.0,-23.875,-7.484375,214.171875,-26.8125,-10.40625,213.734375,-27.609375,-11.203125,205.703125,-27.703125,-11.921875,188.796875,-26.1875,-10.0625,173.859375,-26.375,-9.265625,214.015625,-22.390625,-8.390625,218.546875,-21.09375,-5.328125,8.346769639971882,6.109996444781396,1.0,0.017322575194322405,1.0000000298023224,0.0,29.29,108
L-1:3,5.176095344043621,2.3880935101970944,4.595574537521569,2.704687391807776,0.4411985388704511,2.54791601894248,4.242288565280937,0.532550013586764,7.061176571695045,4.048295122396296,884.054931640625,68.21614074707031,584.2311401367188,476.1020202636719,283.5745544433594,268.74530029296875,456.03863525390625,919.19580078125,456.58935546875,364.9385070800781,1117.1663818359375,81.89366149902344,612.9327392578125,361.9435119628906,45.09144973754883,585.1575927734375,205.82199096679688,492.54058837890625,733.6049194335938,612.1470336914063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,226.859375,-21.703125,-5.328125,226.671875,-21.03125,-4.203125,216.484375,-24.796875,-9.78125,208.359375,-27.59375,-13.09375,194.171875,-28.203125,-14.015625,95.1875,-27.953125,-14.1875,106.78125,-27.859375,-13.640625,156.515625,-25.796875,-11.984375,211.078125,-24.609375,-9.671875,226.78125,-21.09375,-4.90625,4.993527505842766,2.5231809094630373,1.0,0.013799161831076724,0.3333333432674408,0.0,24.46,108
L-1:4,9.558728539981784,6.711692082385203,1.3668665315237383,2.4774566030175826,5.311683590732682,5.45990700272266,6.824145799816349,3.4164816498600343,7.659360529598709,8.943655515760245,1206.84619140625,107.36627197265625,681.8616333007813,364.3080749511719,286.356689453125,606.7939453125,169.3980712890625,783.5551147460938,656.5621337890625,481.8903503417969,710.1749877929688,90.7027587890625,458.6473388671875,283.6619567871094,34.05613327026367,528.71142578125,183.9398956298828,252.1897430419922,643.6148071289063,576.1704711914063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,223.984375,-18.09375,-4.453125,224.140625,-18.59375,-4.3125,224.046875,-20.9375,-6.59375,224.015625,-23.390625,-8.0625,211.5625,-25.140625,-11.609375,211.25,-25.171875,-11.515625,196.40625,-25.25,-11.125,189.703125,-23.84375,-9.328125,188.703125,-23.015625,-7.265625,223.984375,-18.09375,-4.453125,8.553064536752043,14.455391893923188,1.0,0.015252078305175651,2.6666667461395264,2.25,32.5,108
L-1:5,4.124537389771795,2.7063428580343705,0.792373869188308,3.1245626088322327,3.701112153236658,1.1127734687379773,1.2041789464167818,3.1098864738689596,8.76274722183811,10.248674555564175,646.91943359375,85.41486358642578,560.4026489257813,260.330322265625,192.5938262939453,532.36572265625,128.8107452392578,360.6629638671875,335.7499694824219,250.21568298339844,1123.3917236328125,187.30596923828125,553.4882202148438,494.8972473144531,219.2155303955078,774.1603393554688,210.22837829589844,507.5170593261719,370.2252197265625,334.567626953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,219.3125,-20.9375,-4.53125,224.75,-21.390625,-5.234375,230.875,-22.109375,-5.203125,254.09375,-25.203125,-7.828125,309.671875,-26.578125,-8.53125,282.390625,-26.40625,-8.8125,198.65625,-26.375,-11.6875,194.171875,-25.25,-11.09375,208.6875,-24.25,-8.796875,215.140625,-21.921875,-6.03125,5.867764865631296,7.538400193509123,1.0,0.01937691521961185,2.3333334028720856,0.0,32.52,36
L-1:6,2.0960822224129907,1.3613327546505458,0.939498417035635,1.0390331058331375,0.8877756029248286,1.0008244336808791,4.3057059286893065,6.389910605764164,4.754790493537847,4.120562023702779,419.9343566894531,24.354101181030273,489.34686279296875,313.57464599609375,170.60951232910156,645.2186889648438,265.58709716796875,611.9986572265625,0.0,0.0,790.4908447265625,62.5082893371582,717.2010498046875,442.6589660644531,60.472408294677734,645.3975219726563,114.43782806396484,554.2365112304688,254.36668395996094,218.79949951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,0.2196078598499298,204.15625,-14.21875,-2.15625,210.875,-13.59375,-1.0625,210.53125,-16.328125,-2.265625,215.640625,-18.328125,-4.703125,222.296875,-17.796875,-3.859375,119.359375,-24.28125,-11.953125,110.890625,-22.84375,-10.265625,127.015625,-20.515625,-8.734375,180.09375,-17.328125,-5.625,204.328125,-14.359375,-1.8125,8.264287474724803,5.721293481451868,1.0,0.017377228880444313,2.6666667461395264,0.0,33.97,0
L-1:7,5.8025491446385855,2.431615205680416,3.2216478468191414,9.916231524747952,2.0389175316431962,1.158642937185178,4.223563957789754,6.247178941427265,5.645368222676109,4.495569374538655,683.0517578125,85.08226776123047,432.7514343261719,305.318115234375,263.913818359375,536.6539916992188,207.04116821289063,575.85107421875,511.2012939453125,319.2005920410156,619.2496337890625,13.45571231842041,486.3165588378906,328.30615234375,311.1168518066406,629.643310546875,218.03561401367188,636.106201171875,479.93035888671875,332.66375732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,210.78125,-17.609375,-3.71875,220.765625,-19.71875,-5.359375,220.46875,-20.96875,-6.703125,209.53125,-23.75,-10.125,171.703125,-26.0625,-12.8125,135.71875,-26.109375,-13.125,100.3125,-25.78125,-12.09375,125.40625,-24.34375,-11.265625,201.015625,-19.59375,-6.59375,210.625,-18.09375,-4.421875,5.689042844571837,8.32312308223742,1.0,0.017024793388429754,0.3333333432674408,0.0,32.96,0
L-1:8,7.855570787601658,1.1003837267854313,5.069460024655144,16.293142990922668,27.37815133210115,7.871779970115607,7.6239255702998525,6.821711265639212,16.516557790796096,14.45316817869964,576.947021484375,51.5517463684082,590.3758544921875,336.0002746582031,292.0868225097656,582.315185546875,326.2364501953125,924.1437377929688,609.3593139648438,361.2929382324219,510.1728210449219,199.0491943359375,709.705078125,471.05035400390625,96.74010467529297,824.2459716796875,73.3587646484375,786.7112426757813,449.2605285644531,425.4158020019531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,225.5625,-24.40625,-6.390625,225.953125,-24.8125,-6.25,226.28125,-25.78125,-6.421875,212.78125,-29.5625,-14.28125,205.734375,-29.640625,-14.828125,194.8125,-30.359375,-16.515625,210.0,-28.484375,-13.640625,220.09375,-27.1875,-11.234375,220.453125,-25.453125,-9.09375,220.8125,-25.203125,-8.421875,13.315087111372526,15.809993332194496,1.0,0.014501748251748253,5.6666668355464935,3.97,28.44,0
L-1:9,0.46280190012429695,2.5442531186315587,5.605829243056039,1.9215306928137952,0.3643488740083062,3.844098893059448,8.55203787613955,6.3016594870119045,2.5070010904148567,1.6480445757055013,457.0348815917969,131.08755493164063,505.90423583984375,275.60125732421875,206.77249145507813,1656.49072265625,178.48744201660156,658.9968872070313,714.1695556640625,607.7974243164063,643.9227905273438,128.44216918945313,920.6317749023438,526.3508911132813,328.4014587402344,741.150634765625,298.1650085449219,759.7086181640625,649.0563354492188,369.73211669921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,214.515625,-17.4375,-1.8125,209.890625,-17.390625,-1.34375,209.5625,-16.5625,-1.3125,172.3125,-24.609375,-8.703125,156.984375,-24.828125,-8.671875,134.953125,-25.546875,-8.796875,149.328125,-24.5,-8.078125,188.234375,-22.171875,-6.453125,214.34375,-17.625,-1.984375,214.453125,-17.234375,-1.484375,7.860796642649195,0.0725328949512388,1.0,0.015515702479338844,3.000000089406967,0.0,26.82,0
L-1:10,0.4465176046596848,2.4237173395404357,2.7869916046921084,1.1641857873581687,7.3839460206823,4.1567753216995404,1.7570763029549519,5.259064040703748,6.586396592031766,7.555709179296319,0.0,0.0,744.4454345703125,444.0006103515625,206.84347534179688,932.6502075195313,175.55514526367188,919.4061889648438,640.243408203125,605.247802734375,777.14111328125,170.894287109375,595.48779296875,474.1664123535156,256.8869934082031,689.26416015625,191.14039611816406,712.9915771484375,471.8851623535156,467.34710693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,212.25,-21.453125,-5.6875,197.6875,-22.296875,-8.0,178.359375,-25.390625,-11.265625,153.328125,-26.9375,-12.0625,119.828125,-27.5625,-13.03125,138.296875,-26.578125,-12.265625,163.671875,-25.078125,-11.203125,202.1875,-22.625,-7.75,211.859375,-21.421875,-5.578125,211.96875,-21.234375,-5.484375,9.929983680448286,4.107882961093937,1.0,0.014267068273092369,1.0000000298023224,0.0,22.33,0
L-1:11,3.3183329398629193,1.0339072456222167,2.1646028385493543,5.180693774874273,1.3226711601264645,1.2115883020752727,2.6707318977348735,1.2856464958893388,6.389845516287542,0.737611636694248,870.9177856445313,1.4631718397140503,724.7119750976563,519.1102294921875,248.43881225585938,890.58251953125,172.85397338867188,581.9071044921875,461.87225341796875,371.21185302734375,554.2826538085938,71.7448501586914,394.92034912109375,300.3183898925781,31.84120750427246,790.0533447265625,131.47592163085938,16.02820587158203,418.6033935546875,527.7343139648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,206.109375,-21.125,-7.546875,206.0,-21.1875,-7.546875,201.640625,-22.875,-8.453125,191.21875,-26.03125,-10.515625,130.65625,-27.34375,-12.78125,112.234375,-27.515625,-12.640625,145.671875,-27.609375,-13.234375,218.015625,-24.09375,-8.5,206.28125,-24.03125,-9.609375,206.21875,-21.390625,-7.296875,7.215001463976312,1.5586249788715165,1.0,0.015064462809917356,0.3333333432674408,0.0,26.04,0
L-1:12,3.768241630415217,10.838830506445534,8.638427462791931,7.323794587819293,10.756202209791057,7.2827192673729275,13.327970630668387,12.640155785704975,12.291788242930888,6.3196748960572915,945.7940063476563,212.54217529296875,603.4594116210938,254.27166748046875,53.72516632080078,890.4992065429688,102.76405334472656,637.8573608398438,523.6019897460938,180.82839965820313,752.0438232421875,203.2933807373047,874.1377563476563,671.373291015625,381.7723693847656,701.5803833007813,239.6575469970703,880.8967895507813,653.3429565429688,645.9409790039063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,0.21568629145622253,210.125,-17.296875,-1.796875,209.828125,-16.9375,-1.953125,208.953125,-19.390625,-4.09375,208.875,-19.984375,-4.515625,213.859375,-21.140625,-5.265625,138.984375,-25.265625,-10.546875,166.515625,-23.96875,-9.21875,197.15625,-21.875,-7.125,210.1875,-19.09375,-4.265625,210.375,-17.46875,-2.203125,13.737240796580707,16.115474871963407,1.0,0.014145021645021646,1.3333333730697632,3.72,26.14,0
L-1:13,0.8892914553022627,6.007981945229535,3.9907994493265444,2.4127202790433486,3.3490812392509928,1.8533356948059942,0.93690238963173,2.3280977208281333,1.9326325044812889,0.8650880156454993,427.6604919433594,21.866497039794922,440.93994140625,363.6129150390625,366.1636962890625,770.0077514648438,106.33566284179688,333.2631530761719,655.5274047851563,282.3153381347656,517.9154052734375,119.24041748046875,450.74957275390625,146.15281677246094,184.0232696533203,653.8657836914063,141.13894653320313,673.0052490234375,566.6676635742188,479.4430847167969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,215.328125,-18.625,-1.734375,200.046875,-22.125,-5.6875,200.046875,-22.125,-5.6875,165.984375,-25.875,-9.53125,134.640625,-25.9375,-9.53125,83.78125,-26.4375,-9.75,125.84375,-24.734375,-7.90625,185.46875,-22.03125,-6.078125,214.640625,-19.65625,-3.1875,214.921875,-18.765625,-1.953125,1.763681591834045,1.2879195311145464,1.0,0.0172012987012987,1.0000000298023224,0.0,26.49,0
L-1:14,4.066274572980811,3.084414261877643,2.3342213023067306,0.47264852131650115,0.49725829553906736,0.6963590082047841,1.280342672951398,5.906211565601634,1.237758485315133,1.0693645799931628,461.0834655761719,13.564937591552734,364.00347900390625,278.87042236328125,161.04843139648438,512.377197265625,95.89397430419922,473.9355773925781,408.95660400390625,435.33306884765625,573.0913696289063,53.4298095703125,365.4857482910156,191.41851806640625,216.06414794921875,773.002197265625,172.967529296875,479.2090759277344,487.9714050292969,503.0022888183594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,213.484375,-16.515625,-3.4375,213.71875,-16.765625,-3.46875,213.59375,-19.484375,-5.4375,209.5,-23.296875,-7.484375,171.984375,-25.609375,-10.328125,142.0625,-25.78125,-10.953125,153.546875,-24.34375,-9.5,171.875,-22.359375,-7.34375,190.296875,-20.609375,-7.375,212.78125,-17.09375,-3.96875,16.279380943724494,9.381261333359262,1.0,0.020501405810684162,6.000000178813934,0.0,37.5,0
