Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.0155644370746373,3.453636911356521,3.4183889817699367,3.6831580188429123,5.640999404337522,8.38525491562421,7.460869332942332,4.845574554359499,4.029155716969302,1.4078276849138285,537.0936889648438,144.7052001953125,1671.1124267578125,908.5376586914063,746.2421264648438,1756.801513671875,654.724365234375,950.6846313476563,1625.119873046875,936.1153564453125,1754.423095703125,98.29731750488281,1813.4801025390625,1278.7576904296875,419.2774658203125,1186.018310546875,506.189208984375,2372.144287109375,1391.69921875,876.6597900390625,0.18039216101169586,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.18431372940540314,0.18039216101169586,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,293.57073974609375,-67.38605499267578,-5.281118392944336,291.3899841308594,-62.22709655761719,-3.740480899810791,291.3899841308594,-62.22709655761719,-3.740480899810791,292.2861328125,-62.549293518066406,-3.8341498374938965,291.8023681640625,-65.10435485839844,-4.058452129364014,291.8023681640625,-65.10435485839844,-4.058452129364014,291.345703125,-67.79771423339844,-4.489855766296387,291.9727783203125,-69.01487731933594,-5.015439987182617,292.87042236328125,-68.78965759277344,-5.483091354370117,292.87042236328125,-68.78965759277344,-5.483091354370117,5.303300858899107,11.654632494399154,-1.0,0.007099093120990931,2.25,0.0,18.34,36
L-1:2,2.462214450449026,1.4229133075008573,12.092768411061867,16.17072639819952,15.650743654267554,10.752906583803284,14.232682412040246,5.695367461626186,2.2268606180930712,2.3898632733742726,1572.279052734375,218.2707061767578,1994.858154296875,1026.61083984375,981.42041015625,1883.6524658203125,586.2074584960938,1335.482421875,1409.6273193359375,1077.7166748046875,2634.571533203125,54.11439895629883,1745.853759765625,1044.3702392578125,417.5883483886719,1917.425537109375,952.5692138671875,1915.6812744140625,1670.440185546875,1324.189453125,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,295.4310607910156,-67.28499603271484,-5.698436737060547,295.4310607910156,-67.28499603271484,-5.698436737060547,295.684326171875,-67.85836029052734,-6.298941135406494,294.97393798828125,-69.0789794921875,-6.944993495941162,293.852294921875,-69.82901763916016,-7.249222755432129,293.038330078125,-69.1419448852539,-6.922414779663086,293.038330078125,-69.1419448852539,-6.922414779663086,293.4739990234375,-67.95317840576172,-5.8636698722839355,294.5797119140625,-66.75232696533203,-4.869055271148682,294.5797119140625,-66.75232696533203,-4.869055271148682,9.848857801796104,4.74729202914662,1.0,0.0058451704545454545,6.5,0.0,16.46,4
L-1:3,3.783186487605389,5.555686169054061,3.037848690354965,4.548023790070149,6.040205384507316,12.562344526401112,6.538860023637612,4.229842815291452,2.7199191771948747,4.911540342398529,1481.9432373046875,339.23077392578125,1224.3465576171875,1392.61669921875,641.0565795898438,2372.000732421875,781.5350952148438,2011.7850341796875,2327.844482421875,1042.49365234375,1021.9113159179688,31.85967254638672,1807.9649658203125,860.837890625,151.34446716308594,1573.10302734375,757.5068969726563,1737.2191162109375,1942.4822998046875,1161.7275390625,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.2666666805744171,0.20000001788139343,0.23333334922790527,0.20000001788139343,295.10369873046875,-66.83473205566406,-6.0322794914245605,297.1317138671875,-65.17147827148438,-4.5661773681640625,297.1317138671875,-65.17147827148438,-4.5661773681640625,298.1671447753906,-64.0457763671875,-3.472597599029541,296.0784606933594,-68.85752868652344,-4.610323905944824,296.0784606933594,-68.85752868652344,-4.610323905944824,294.9565734863281,-68.47431182861328,-5.291764259338379,293.786376953125,-68.44806671142578,-6.269549369812012,293.504638671875,-67.97098541259766,-6.569839000701904,293.504638671875,-67.97098541259766,-6.569839000701904,6.946221994724902,3.1359349734209725,-1.0,0.006359717868338558,1.0,0.0,16.23,100
L-1:4,14.0089257261219,19.953710288719588,12.977910190551638,1.730408815663603,8.776455199111872,10.761621625015444,9.716807906401767,5.001969584666518,5.792414027251726,1.3747409860897353,2802.8564453125,586.196044921875,2066.44970703125,1728.2255859375,1058.96484375,1701.3837890625,652.8555297851563,2097.2587890625,1271.50830078125,706.3660888671875,1824.1207275390625,271.14288330078125,2192.56640625,1492.9703369140625,334.33978271484375,2107.957763671875,403.10546875,1709.10693359375,2837.779296875,1293.86767578125,0.1764705926179886,0.1764705926179886,0.1725490242242813,0.13333334028720856,0.1725490242242813,0.18039216101169586,0.13333334028720856,0.16078431904315948,0.1725490242242813,0.1764705926179886,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,296.03692626953125,-67.46841430664063,-5.06489896774292,296.03692626953125,-67.46841430664063,-5.06489896774292,296.03692626953125,-67.46841430664063,-5.06489896774292,295.9328918457031,-67.16820526123047,-4.411314487457275,292.56744384765625,-67.73748779296875,-4.9999680519104,291.65924072265625,-68.94232177734375,-5.884222507476807,291.8235168457031,-69.3823471069336,-6.758384704589844,291.8235168457031,-69.3823471069336,-6.758384704589844,293.0844421386719,-69.05545043945313,-7.009519577026367,294.6085510253906,-68.50630950927734,-6.25797700881958,5.771698190307598,18.628329024858417,-1.0,0.00545846394984326,0.75,3.82,15.92,32
L-1:5,3.7165171868296265,0.6736623257804122,4.624095429622247,1.2307540003206672,2.8958824371729364,1.9525624189766635,1.978384710953511,4.9485044678841525,2.485619413021195,5.902667249196153,1057.0478515625,209.94155883789063,1789.205810546875,943.867919921875,336.31292724609375,1727.6417236328125,552.1707763671875,777.9191284179688,1669.43896484375,815.4872436523438,1900.8018798828125,126.62858581542969,1118.6500244140625,1244.3963623046875,487.1868896484375,2086.490478515625,1060.0750732421875,2016.878662109375,2255.94677734375,1608.70654296875,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.23333334922790527,296.6866760253906,-65.53107452392578,-5.056591987609863,296.6866760253906,-65.53107452392578,-5.056591987609863,296.5052795410156,-64.60676574707031,-4.575331687927246,296.5052795410156,-64.60676574707031,-4.575331687927246,296.1343078613281,-64.33145904541016,-4.366220474243164,298.00537109375,-64.89110565185547,-4.592823505401611,297.0027160644531,-65.85591888427734,-4.916438579559326,296.16546630859375,-66.48912811279297,-5.395813465118408,296.16546630859375,-66.48912811279297,-5.395813465118408,296.3080749511719,-66.17526245117188,-5.515835762023926,6.209871174187111,8.02343771596746,-1.0,0.006114407785426062,2.75,0.0,14.72,12
L-1:6,5.814851674806504,3.1679219785493125,7.1791018736675225,5.568881798072745,5.0789691288694705,2.1505813167606567,7.678157060844753,7.766349838889964,8.584108549669285,7.824819866313216,2115.9326171875,160.44703674316406,1297.004150390625,1155.78564453125,387.937255859375,2376.114501953125,0.08902013301849365,1166.7667236328125,1665.818115234375,947.8285522460938,1989.799560546875,273.2599792480469,1653.102783203125,1183.0635986328125,317.28839111328125,1156.556884765625,869.0161743164063,2023.6456298828125,1571.442626953125,1007.4549560546875,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.16470588743686676,0.18431372940540314,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,295.09613037109375,-66.35929107666016,-5.900290012359619,295.1068115234375,-66.00897216796875,-5.594875812530518,295.43182373046875,-64.2645492553711,-4.328414440155029,295.3027648925781,-64.4743881225586,-4.695723533630371,295.40966796875,-65.0881118774414,-5.238436222076416,295.40966796875,-65.0881118774414,-5.238436222076416,295.08404541015625,-65.85466766357422,-5.761183738708496,294.70062255859375,-66.3342514038086,-5.998414993286133,294.70062255859375,-66.3342514038086,-5.998414993286133,295.09613037109375,-66.35929107666016,-5.900290012359619,6.791538853603062,8.842144246973511,-1.0,0.006926378143133462,5.0,0.0,16.37,68
L-1:7,1.6007810593582121,5.56782280416428,5.481839537568834,3.4327856399951897,0.4728964136024292,3.132491021535417,4.364931244432558,7.648597258009985,3.8473544670822735,3.5659964728582674,1472.82958984375,232.37132263183594,1276.827880859375,1455.4298095703125,789.962646484375,2171.166748046875,780.4993286132813,2090.959228515625,936.2649536132813,856.9802856445313,1829.3846435546875,126.33329010009766,1061.0166015625,1083.3121337890625,949.61376953125,1807.4178466796875,428.97021484375,1216.2574462890625,1893.413818359375,1222.787109375,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1725490242242813,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.1764705926179886,0.18431372940540314,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.23333334922790527,294.6079406738281,-69.42375946044922,-6.433238506317139,295.5180358886719,-68.48831939697266,-6.03693962097168,295.5180358886719,-68.48831939697266,-6.03693962097168,296.503173828125,-67.86795806884766,-5.766003131866455,294.5998229980469,-68.13633728027344,-5.1779046058654785,293.9440002441406,-69.40214538574219,-5.738264083862305,293.9440002441406,-69.40214538574219,-5.738264083862305,294.1811218261719,-69.8114013671875,-6.330789089202881,294.1811218261719,-69.8114013671875,-6.330789089202881,294.6079406738281,-69.42375946044922,-6.433238506317139,9.617692030835672,4.939547435336666,-1.0,0.006778656126482214,6.0,0.0,12.74,0
L-1:8,5.482928049865327,5.303336475814376,5.068443957386211,21.29850085473243,9.260739193388604,5.771698190307601,3.419597181396663,10.95586626371776,4.541324565944468,5.436293325912029,2914.443359375,457.7570495605469,1637.0843505859375,1171.6356201171875,20.81307029724121,1529.001953125,600.5184936523438,1668.60693359375,1024.2369384765625,1809.76220703125,1640.1307373046875,177.4744873046875,1217.457275390625,724.1949462890625,1295.971435546875,3791.565185546875,459.5654296875,3013.894287109375,2927.546630859375,2143.013916015625,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.16078431904315948,0.1764705926179886,0.12156863510608673,0.16862745583057404,0.14509804546833038,0.1764705926179886,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,296.7254333496094,-64.70284271240234,-2.975592851638794,296.7254333496094,-64.70284271240234,-2.975592851638794,297.51568603515625,-65.47848510742188,-3.9308342933654785,297.28369140625,-66.30758666992188,-4.852541923522949,297.28369140625,-66.30758666992188,-4.852541923522949,296.876953125,-67.08478546142578,-5.426252365112305,295.0709533691406,-67.08719635009766,-5.380157470703125,295.2676086425781,-64.1601791381836,-2.8435897827148438,296.0418701171875,-64.18667602539063,-2.512699842453003,296.0418701171875,-64.18667602539063,-2.512699842453003,6.519202405202649,9.518163333802702,1.0,0.0054179672259071394,5.75,3.47,15.87,0
L-1:9,9.80114789195633,4.6246974355322426,2.5425216070118735,14.398963430371884,23.001941727144885,15.20690632574555,0.7467865157153647,4.397292267845664,7.878716680586963,6.673052882343884,2693.703857421875,52.7704963684082,2490.55859375,711.2424926757813,212.70286560058594,2502.826904296875,1064.0408935546875,2214.5546875,2417.31103515625,1939.97119140625,2314.0712890625,248.34442138671875,1583.7041015625,776.0250854492188,717.4368286132813,2148.995361328125,803.4578857421875,2393.995361328125,2066.440673828125,1200.8470458984375,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.1725490242242813,0.1568627506494522,0.1568627506494522,0.14509804546833038,0.1764705926179886,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,292.8196716308594,-65.91805267333984,-4.642548084259033,293.1623229980469,-65.39408111572266,-4.188445091247559,292.7593688964844,-64.91481018066406,-3.7326388359069824,292.7593688964844,-64.91481018066406,-3.7326388359069824,292.5738525390625,-64.98912811279297,-3.6126058101654053,292.5738525390625,-64.98912811279297,-3.6126058101654053,292.5738525390625,-64.98912811279297,-3.6126058101654053,292.8537902832031,-66.1295166015625,-4.487209796905518,292.8537902832031,-66.1295166015625,-4.487209796905518,292.8196716308594,-65.91805267333984,-4.642548084259033,19.210999453438127,9.795995223714927,-1.0,0.0053452909558308025,5.5,0.0,13.07,0
L-1:10,16.62077013859466,7.445799212259551,3.4279983362471533,2.720228154785245,15.088511938127361,23.194827009486403,12.830181299667691,14.512440562042672,3.2557546587146717,17.547885212362097,3090.825927734375,526.4942626953125,2109.667236328125,921.6397094726563,801.1578369140625,1003.7838745117188,1271.8978271484375,2481.604736328125,2885.954345703125,982.6432495117188,2855.908447265625,359.4371337890625,2828.3359375,816.0380249023438,1105.3905029296875,2504.32763671875,2451.990966796875,2783.04150390625,2908.73974609375,1205.4541015625,0.18039216101169586,0.18431372940540314,0.16862745583057404,0.1568627506494522,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.20000001788139343,292.80108642578125,-66.0400619506836,-4.6502227783203125,294.29443359375,-65.5187759399414,-4.485683441162109,293.47784423828125,-65.55474853515625,-3.4468488693237305,293.47784423828125,-65.55474853515625,-3.4468488693237305,293.42816162109375,-65.79769134521484,-3.821073293685913,293.42816162109375,-65.79769134521484,-3.821073293685913,292.2952575683594,-66.00129699707031,-4.363489627838135,292.2952575683594,-66.00129699707031,-4.363489627838135,292.80108642578125,-66.0400619506836,-4.6502227783203125,292.80108642578125,-66.0400619506836,-4.6502227783203125,6.294839156007086,3.6394838230479656,-1.0,0.004768258426966292,7.25,0.0,10.67,0
