Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.727204972905248,2.8883864647541193,4.791471899743522,3.2148360501026563,2.1367752702011114,9.906087237427514,6.463212552264876,1.6133818521599312,5.92001024182891,8.963682992950282,491.6885986328125,52.053768157958984,547.1016845703125,378.3283996582031,71.23480224609375,373.1662902832031,50.482261657714844,356.94744873046875,489.72357177734375,155.6516571044922,745.1608276367188,55.8824348449707,514.8873291015625,287.2257995605469,345.1025085449219,692.3062744140625,96.2558822631836,473.63348388671875,401.62799072265625,277.0805358886719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.6780090332031,-55.79186248779297,-12.742609977722168,0.308837890625,-51.134159088134766,-7.946922779083252,0.17803955078125,-51.4842643737793,-8.729060173034668,0.295654296875,-53.421504974365234,-10.712459564208984,359.96429443359375,-54.80572509765625,-12.140833854675293,358.90545654296875,-56.02454376220703,-13.872082710266113,357.8918762207031,-56.7629508972168,-14.704008102416992,358.0362548828125,-56.96992874145508,-14.581395149230957,358.90380859375,-56.15605926513672,-13.842419624328613,359.7887268066406,-55.69048309326172,-12.91447925567627,11.802364409858868,14.167105372397206,-1.0,0.02466755319148936,2.5,0.0,29.15,44
L-1:2,5.619558229850494,12.5578361831187,11.14383169398295,8.266244743868686,8.002803832472221,13.827940968634888,7.7740241912678165,7.895976433856383,5.665204926678557,0.8561850325451051,625.459228515625,9.438165664672852,767.5608520507813,696.2136840820313,250.2269744873047,719.3303833007813,211.83929443359375,382.12139892578125,822.0676879882813,356.2105712890625,833.3078002929688,29.69046401977539,443.33636474609375,260.126220703125,327.20086669921875,830.418701171875,233.5313262939453,689.8284912109375,520.2982788085938,487.0267333984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.751708984375,-53.95847702026367,-11.435131072998047,354.91943359375,-53.657859802246094,-11.205269813537598,355.111328125,-53.502174377441406,-11.254036903381348,355.8083801269531,-53.580955505371094,-12.11748218536377,354.73291015625,-54.90448760986328,-14.434839248657227,352.78350830078125,-55.89299774169922,-17.291105270385742,352.1448974609375,-56.20771026611328,-17.622421264648438,352.1448974609375,-56.20771026611328,-17.622421264648438,353.06414794921875,-55.50425720214844,-16.812776565551758,353.68890380859375,-54.75776290893555,-12.193575859069824,9.228450628514084,13.89375513313279,-1.0,0.01579308712121212,1.5,0.0,19.06,32
L-1:3,0.21651023955280937,5.477676319320155,1.3714982958207413,3.576685076543825,2.9848211126335022,3.421635939464683,5.440279585168523,14.707250733949447,12.16463880572045,4.970145285196432,640.4423217773438,86.57342529296875,527.4413452148438,581.7924194335938,230.65321350097656,1015.9198608398438,331.2608947753906,987.3193359375,295.3830261230469,179.11427307128906,1292.8382568359375,162.85581970214844,1552.47998046875,600.8154296875,229.82479858398438,1015.8401489257813,391.2992858886719,578.2425537109375,679.79638671875,365.60614013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.4057922363281,-46.42378234863281,-6.934427738189697,354.36859130859375,-46.94979476928711,-5.0775465965271,354.26446533203125,-46.928855895996094,-5.411439418792725,354.2751159667969,-46.91944122314453,-6.1914143562316895,352.4330139160156,-48.87845993041992,-8.338475227355957,352.1188049316406,-49.94397735595703,-9.288661003112793,352.1188049316406,-49.94397735595703,-9.288661003112793,352.207763671875,-49.72617721557617,-9.712480545043945,352.207763671875,-49.72617721557617,-9.712480545043945,354.42620849609375,-48.22149658203125,-7.970953464508057,2.9156344914269074,9.17735471964663,-1.0,0.015900444664031625,0.5,0.0,18.39,100
L-1:4,13.484999380596562,4.727025893970936,18.49094799258967,18.07734111803299,12.6277910195355,13.685738380091783,3.581278504839835,3.069855713003242,2.7230867613644754,10.931224419956285,1467.814697265625,575.5704345703125,692.5350952148438,1004.0245971679688,323.08319091796875,1493.508544921875,271.4075012207031,1646.2984619140625,911.6124267578125,618.2930297851563,1549.7889404296875,67.54325866699219,1064.278076171875,601.7764282226563,266.18292236328125,1160.7412109375,471.7940673828125,1528.05224609375,1030.3868408203125,831.5206298828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.2493896484375,-49.60182571411133,-10.281018257141113,354.2493896484375,-49.60182571411133,-10.281018257141113,353.6932678222656,-49.62621307373047,-11.547513008117676,353.6932678222656,-49.62621307373047,-11.547513008117676,353.6300048828125,-50.15079879760742,-13.124711990356445,353.97869873046875,-49.539432525634766,-13.024380683898926,353.97869873046875,-49.539432525634766,-13.024380683898926,349.88134765625,-53.523597717285156,-13.750411987304688,351.9813537597656,-51.36674880981445,-11.867319107055664,351.9813537597656,-51.36674880981445,-11.867319107055664,34.1156218757737,11.330044788370708,-1.0,0.009403542466922748,3.0,4.28,12.59,36
L-1:5,6.82415032755074,3.2352668842254957,2.8618324767272947,11.418032083599604,12.154797724217259,8.399041455781136,2.882968227915423,10.006223309456065,1.3738437748590275,1.898197587679587,761.2698364257813,42.383392333984375,509.88665771484375,414.58636474609375,295.4757385253906,903.5134887695313,268.76080322265625,955.8995361328125,665.6173706054688,401.28314208984375,996.8295288085938,184.36746215820313,609.3937377929688,746.6502075195313,220.98561096191406,913.8208618164063,0.0,0.0,645.1671752929688,315.70343017578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.5014953613281,-52.855384826660156,-13.338446617126465,350.7821960449219,-51.998836517333984,-13.907325744628906,350.7821960449219,-51.998836517333984,-13.907325744628906,350.58642578125,-52.460472106933594,-14.506425857543945,350.587158203125,-54.53644943237305,-15.5817232131958,350.587158203125,-54.53644943237305,-15.5817232131958,350.671630859375,-55.27708053588867,-15.812342643737793,351.5323181152344,-54.2971076965332,-14.99005126953125,350.8904724121094,-52.887840270996094,-13.433176040649414,350.5014953613281,-52.855384826660156,-13.338446617126465,1.2724415859764493,5.473818339042993,-1.0,0.015720477975632613,5.0,0.0,19.17,0
L-1:6,2.2847556590408957,0.40051259033725767,2.315127608203605,3.9472964518096414,7.223699145001915,9.276124462225969,12.251504899095263,2.441593466407642,2.935997723506428,0.7415515802736382,499.3205871582031,29.89043617248535,471.86004638671875,344.2377624511719,45.04433059692383,417.4718322753906,591.851318359375,921.9232788085938,371.3812255859375,304.45977783203125,655.8770751953125,117.49993133544922,714.1168823242188,497.7998046875,264.3510437011719,618.3787841796875,268.8709716796875,561.7716064453125,540.519287109375,418.0898742675781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.80029296875,-48.060298919677734,-7.809257984161377,354.61590576171875,-48.00096893310547,-8.319194793701172,354.8268127441406,-48.04598617553711,-8.675384521484375,354.3720703125,-47.831581115722656,-8.079830169677734,352.9717102050781,-49.10332489013672,-9.207173347473145,352.9717102050781,-49.10332489013672,-9.207173347473145,353.5102233886719,-49.143836975097656,-8.870253562927246,353.58349609375,-49.54270935058594,-8.624074935913086,353.9542541503906,-49.2236442565918,-8.157106399536133,354.5977478027344,-48.34690856933594,-7.806643486022949,15.16680642579093,7.907384520726271,-1.0,0.017048037190082643,2.0,0.0,18.86,0
L-1:7,1.724665890347643,4.096820102559742,1.1186497076805726,1.3510709378707855,7.824833072027153,4.9115949207764835,4.023217179598085,2.169678880410178,4.747568177561302,4.85058893541116,554.7030029296875,28.223094940185547,813.8478393554688,659.679931640625,132.60447692871094,521.2459716796875,375.2774658203125,639.9963989257813,828.7734375,422.3639831542969,863.7384643554688,125.59785461425781,774.6478881835938,732.2708129882813,179.44497680664063,709.5946044921875,248.94671630859375,614.6721801757813,433.1168212890625,386.3534851074219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.4772644042969,-47.18317794799805,-7.440810680389404,351.5634765625,-46.946136474609375,-7.653006553649902,351.5634765625,-46.946136474609375,-7.653006553649902,351.55865478515625,-47.58901596069336,-8.406198501586914,349.6003723144531,-49.49211883544922,-9.014965057373047,349.6003723144531,-49.49211883544922,-9.014965057373047,347.69256591796875,-52.327598571777344,-9.681197166442871,348.78460693359375,-51.9926872253418,-9.425198554992676,350.459716796875,-51.093055725097656,-8.666647911071777,351.1007080078125,-47.47380065917969,-7.38277006149292,6.946678302480815,8.918892241153273,-1.0,0.01564659090909091,3.5,0.0,19.67,0
L-1:8,13.773942819390609,11.994522719704976,5.493086989891056,4.295098816066397,3.3984875336052314,11.383277039549565,17.919344783434852,28.084238540296433,22.22839375809602,13.964251842856571,892.3313598632813,24.810678482055664,1384.4351806640625,802.2098999023438,295.06396484375,708.9005737304688,595.4105834960938,1209.1834716796875,260.01983642578125,95.89619445800781,952.3339233398438,35.33687210083008,404.7671203613281,715.2860717773438,390.2953796386719,1429.8729248046875,230.75894165039063,782.3262939453125,717.3460693359375,514.4647827148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4635009765625,-49.94718551635742,-15.251087188720703,1.821197509765625,-50.66802978515625,-15.638008117675781,1.821197509765625,-50.66802978515625,-15.638008117675781,0.05316162109375,-51.88771057128906,-17.028499603271484,359.78656005859375,-52.48247528076172,-17.507280349731445,0.144989013671875,-50.89978790283203,-16.377702713012695,0.424835205078125,-50.9548454284668,-16.284975051879883,0.424835205078125,-50.9548454284668,-16.284975051879883,1.916961669921875,-50.30646896362305,-15.433757781982422,1.916961669921875,-50.30646896362305,-15.433757781982422,16.308029108673363,14.494434317692091,-1.0,0.01125,12.0,2.74,13.86,0
L-1:9,1.2309563037941285,3.55093584812255,4.981960741823756,11.830097811369386,4.824199354156538,3.808014037107904,8.97797055512655,2.9636736970041544,6.360647886583548,3.7958053381957906,578.7385864257813,42.339447021484375,871.3630981445313,801.9019775390625,131.6669158935547,862.5313720703125,211.7346649169922,631.0769653320313,525.0901489257813,315.2475280761719,1075.196044921875,100.14886474609375,1185.6143798828125,779.0533447265625,113.89322662353516,446.4680480957031,223.84364318847656,752.4069213867188,414.2495422363281,290.5925598144531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.58056640625,-49.80732727050781,-13.593385696411133,357.58056640625,-49.80732727050781,-13.593385696411133,357.757568359375,-49.42900466918945,-13.6168212890625,357.6096496582031,-49.71421813964844,-14.319275856018066,355.0118408203125,-51.92034912109375,-15.511741638183594,355.0118408203125,-51.92034912109375,-15.511741638183594,355.17608642578125,-52.28640365600586,-15.978732109069824,355.4755859375,-51.816314697265625,-15.624103546142578,356.37799072265625,-51.14155197143555,-14.75423812866211,356.9219665527344,-50.4969596862793,-14.166742324829102,9.404759225467453,3.303562636842153,-1.0,0.014392369288742346,5.5,0.0,17.46,0
L-1:10,1.0419982765407747,4.017107542966592,10.674006391536274,2.717387528802442,1.9735300277764978,5.715862077840351,4.361304211060171,2.7152040997788878,1.0230388928395073,2.968180569446075,502.7724914550781,89.42522430419922,472.38275146484375,386.69171142578125,211.39768981933594,1230.11474609375,55.68838882446289,415.5726013183594,608.2471313476563,470.9237365722656,947.8982543945313,116.12508392333984,610.662841796875,409.0897521972656,320.2841796875,1049.5718994140625,330.7279968261719,613.3099975585938,514.9207763671875,314.1602783203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.6907653808594,-47.920005798339844,-11.716650009155273,356.6449890136719,-47.55449295043945,-11.982272148132324,356.54541015625,-47.10039138793945,-12.498953819274902,356.64349365234375,-47.56840133666992,-13.171377182006836,356.6902770996094,-48.1612434387207,-11.257514953613281,355.7310485839844,-49.25019454956055,-12.291979789733887,355.7254638671875,-49.39453887939453,-12.33360767364502,355.7254638671875,-49.39453887939453,-12.33360767364502,356.4751281738281,-48.8767204284668,-11.702582359313965,357.2474060058594,-48.28703308105469,-11.132834434509277,17.985186229944667,8.440938864133232,-1.0,0.01590010272213662,2.5,0.0,17.69,0
