Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.7664615259687646,5.791988292815915,5.489561845531373,8.615941757501531,11.419927552666515,2.5086340256167188,6.620318537028611,4.006912903151923,10.646606546315017,6.06755658722475,1511.1982421875,542.3023681640625,347.08038330078125,448.92584228515625,290.8592529296875,973.4032592773438,437.1157531738281,655.2766723632813,857.55908203125,729.9239501953125,1098.0760498046875,468.690185546875,1012.2979125976563,1164.462158203125,157.49127197265625,925.1438598632813,345.13848876953125,959.9312133789063,525.2921752929688,485.0162353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21176472306251526,0.24313727021217346,0.26274511218070984,0.2705882489681244,0.2823529541492462,0.2862745225429535,0.29019609093666077,0.29019609093666077,0.2823529541492462,0.2549019753932953,36.020538330078125,-52.88816452026367,6.670409202575684,36.1292724609375,-53.07329559326172,6.6525163650512695,35.82171630859375,-52.81023025512695,6.77500581741333,34.3009033203125,-54.276092529296875,6.443292140960693,34.3009033203125,-54.276092529296875,6.443292140960693,32.134368896484375,-57.39530563354492,5.873293876647949,28.878570556640625,-61.07316207885742,4.915534019470215,27.2545166015625,-63.1199836730957,4.394426345825195,28.13214111328125,-62.24262619018555,4.568675518035889,29.440826416015625,-60.82286834716797,4.962687015533447,11.719708579658535,6.50424043756757,-1.0,0.01273336816440265,2.0000000596046448,0.0,20.89,108
L-1:2,5.4320830805064455,7.863733944926187,3.213741170130363,3.0075580324590203,6.9024746692094805,9.848654713255618,11.838484481249727,13.558352950499334,5.706108860240174,2.7939425048314166,1097.3734130859375,126.2867431640625,873.4492797851563,480.5909118652344,221.2120819091797,962.6600341796875,437.28863525390625,807.4005737304688,731.5728149414063,603.9058227539063,500.9245910644531,54.97439956665039,705.6442260742188,834.8704223632813,344.8503112792969,736.72900390625,98.81341552734375,1427.2469482421875,620.6542358398438,286.9345397949219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.250980406999588,0.26274511218070984,0.2705882489681244,0.27843138575553894,0.27450981736183167,0.25882354378700256,0.2392157018184662,0.2666666805744171,38.367279052734375,-54.85131072998047,6.6335344314575195,38.367279052734375,-54.85131072998047,6.6335344314575195,36.037353515625,-57.206031799316406,5.33709716796875,32.90863037109375,-60.82455825805664,3.8008179664611816,31.055938720703125,-63.4405403137207,3.19629168510437,30.364990234375,-63.9229736328125,3.1946446895599365,31.141693115234375,-63.036014556884766,3.6731882095336914,31.141693115234375,-63.036014556884766,3.6731882095336914,31.75299072265625,-61.22703170776367,3.9857966899871826,37.56658935546875,-55.60348892211914,6.386735439300537,9.77889221707378,7.413845675422287,1.0,0.012240259740259742,3.333333432674408,0.0,18.85,100
L-1:3,8.075971881237571,15.120045512874466,6.21668995061747,0.7754083715700232,4.966384510491015,5.227533527282544,1.881709652923164,1.3984317344104853,4.965679921152351,7.9456847245133515,583.360595703125,73.1299819946289,1243.272216796875,887.1285400390625,642.0504150390625,789.2678833007813,210.30831909179688,927.5426025390625,698.5338745117188,349.3448181152344,1508.0438232421875,152.23919677734375,791.3770751953125,490.41217041015625,334.7804870605469,917.31689453125,321.35516357421875,749.6309204101563,570.70849609375,390.7406311035156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2823529541492462,0.2666666805744171,0.25882354378700256,0.250980406999588,0.2666666805744171,0.2666666805744171,0.29019609093666077,0.2980392277240753,0.2980392277240753,0.29411765933036804,31.993896484375,-62.885955810546875,5.235652446746826,31.1192626953125,-63.810543060302734,4.908748626708984,28.223968505859375,-65.02764892578125,4.418720722198486,25.861114501953125,-67.18368530273438,3.66845703125,24.352142333984375,-68.13368225097656,3.3613178730010986,24.866424560546875,-67.25770568847656,3.2098169326782227,20.997314453125,-69.12429809570313,3.1650390625,23.509765625,-67.5781021118164,3.678269386291504,27.55364990234375,-65.7708969116211,4.2908034324646,30.58306884765625,-63.79825973510742,4.775158882141113,7.127994329615668,7.745350270489143,1.0,0.015134808157621844,6.666666865348816,0.0,25.02,36
L-1:4,9.191168227854067,0.9965955713924566,5.267231446426118,4.8166375482755175,2.3278678769677237,6.9304585865802375,9.924459496647028,13.257483410361823,10.732206491786899,1.0021027069094781,1001.25537109375,53.371070861816406,1489.3070068359375,1269.542724609375,1097.2550048828125,1539.993896484375,481.7866516113281,1307.3138427734375,1225.71240234375,434.9251708984375,303.0470275878906,0.02606179192662239,250.9442901611328,137.53968811035156,313.3839416503906,816.8898315429688,162.12411499023438,658.4866333007813,521.8927612304688,669.4044799804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2705882489681244,0.23137256503105164,0.22352942824363708,0.24705883860588074,0.2666666805744171,0.2666666805744171,0.27843138575553894,0.2980392277240753,0.29411765933036804,0.2823529541492462,23.0657958984375,-70.97685241699219,4.328723430633545,21.526275634765625,-72.48820495605469,4.031606197357178,21.526275634765625,-72.48820495605469,4.031606197357178,20.12286376953125,-74.26232147216797,3.9898593425750732,18.662506103515625,-74.39373779296875,4.058643817901611,15.47186279296875,-74.64263153076172,4.40754508972168,16.2608642578125,-73.53939819335938,4.3597307205200195,18.927520751953125,-72.82376861572266,4.562287330627441,21.452178955078125,-71.83692932128906,4.567602634429932,23.406890869140625,-70.49629974365234,4.585354328155518,13.472362514907324,4.431093012429298,1.0,0.01363458806818182,6.333333522081375,4.31,21.94,100
L-1:5,3.8136447014970627,1.5191213940140065,3.5907829875801434,6.899158130811913,10.209419588974207,15.81407165418271,10.332916978101217,9.320181888483672,6.668821071529342,0.707432626105578,252.45123291015625,8.303143501281738,1071.7037353515625,647.009765625,34.21409606933594,543.6683959960938,150.0487823486328,1002.3524169921875,557.764404296875,210.9167022705078,1588.0242919921875,71.10999298095703,1084.520263671875,827.2969360351563,227.15171813964844,735.5618286132813,8.786772727966309,734.9074096679688,255.85984802246094,290.8003234863281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.27450981736183167,0.26274511218070984,0.250980406999588,0.2862745225429535,0.29411765933036804,0.29019609093666077,0.2823529541492462,0.2392157018184662,0.250980406999588,21.6617431640625,-61.797821044921875,2.7544004917144775,21.240020751953125,-62.27090072631836,2.336409330368042,19.1068115234375,-64.4954605102539,1.6297730207443237,15.044586181640625,-67.89578247070313,0.8493591547012329,14.038177490234375,-68.90196228027344,0.7150334715843201,13.26446533203125,-69.79891967773438,0.6046661138534546,13.60797119140625,-69.6981201171875,0.6506612300872803,15.35809326171875,-68.16434478759766,1.156189203262329,17.0648193359375,-65.95904541015625,1.751873254776001,19.02740478515625,-62.86231994628906,2.274751663208008,8.019911721024314,11.048699358893684,1.0,0.015874505928853755,2.6666667461395264,0.0,27.54,68
L-1:6,10.39701807505091,10.502817623330317,1.3102205839115069,6.909145370191537,8.306138810739155,3.2629180940559555,3.831099478350099,4.4792486922804455,4.222256449283024,1.684132286759698,955.2554321289063,65.60941314697266,306.05963134765625,122.06578826904297,47.77812957763672,582.1135864257813,224.8458709716797,619.3197021484375,495.09002685546875,452.99212646484375,716.2840576171875,12.30859661102295,1475.732421875,685.3408813476563,163.02699279785156,1009.7772827148438,197.2272491455078,628.1683349609375,472.4954833984375,301.54815673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2980392277240753,0.2823529541492462,0.26274511218070984,0.2823529541492462,0.2862745225429535,0.29411765933036804,0.2980392277240753,0.30980393290519714,0.3137255012989044,0.3137255012989044,16.192718505859375,-62.1411018371582,5.987038612365723,16.947357177734375,-60.96855163574219,6.666697978973389,22.08880615234375,-56.73433303833008,8.370862007141113,17.509033203125,-59.43955612182617,6.759011268615723,15.28790283203125,-62.04224395751953,6.3578314781188965,11.106170654296875,-67.50883483886719,5.62982702255249,10.387939453125,-68.73223114013672,5.136831760406494,10.78466796875,-68.55889129638672,4.634856224060059,12.422698974609375,-67.5753173828125,4.7273712158203125,13.6700439453125,-65.36408233642578,5.004051208496094,2.840266255517352,3.453569586217395,-1.0,0.021329500538986704,3.000000089406967,0.0,33.92,0
L-1:7,2.727514670853951,1.8545540275434436,1.9237694522216326,3.9679286487661787,2.965324258511069,4.624201363954538,4.804678060468612,5.578564443874322,1.4336517761476542,2.8131044912917327,657.3402709960938,25.515714645385742,550.5503540039063,525.871826171875,319.8028564453125,864.1378173828125,127.2195053100586,474.2437438964844,478.6930847167969,398.007080078125,1110.180908203125,113.32916259765625,798.9661254882813,556.2901611328125,307.97686767578125,766.7732543945313,107.10610961914063,476.8024597167969,218.9638214111328,239.93350219726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2862745225429535,0.29411765933036804,0.2980392277240753,0.29411765933036804,0.2980392277240753,0.30588236451148987,0.3019607961177826,0.29411765933036804,0.3019607961177826,0.29411765933036804,16.239013671875,-54.97916030883789,7.0254364013671875,18.441314697265625,-52.80533981323242,7.944921493530273,17.618316650390625,-53.708980560302734,7.5331339836120605,15.394073486328125,-56.35848617553711,6.514575481414795,10.587188720703125,-61.79374313354492,4.275060176849365,9.956329345703125,-62.99951171875,4.17880392074585,9.956329345703125,-62.99951171875,4.17880392074585,10.73553466796875,-62.45760726928711,4.871349334716797,9.807159423828125,-60.21028518676758,4.7946648597717285,11.539520263671875,-58.89228820800781,5.324173450469971,9.469994455779696,8.208876887724836,1.0,0.0181919807834442,9.000000268220901,0.0,28.13,0
L-1:8,12.429125859385362,5.407595678774897,11.224347853074102,13.986503762626889,11.50704126653349,9.010120996971729,4.491052675277041,6.212931233267142,10.459700845794899,12.658710414883652,960.4075927734375,175.11936950683594,448.1993713378906,110.14466094970703,472.78302001953125,902.0339965820313,548.1759643554688,1333.1263427734375,672.5217895507813,474.3692321777344,2555.320068359375,124.6563720703125,1645.78125,1644.1361083984375,256.8847961425781,1677.1197509765625,484.5524597167969,1127.5791015625,688.427734375,454.30242919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25882354378700256,0.2352941334247589,0.22352942824363708,0.26274511218070984,0.29411765933036804,0.2980392277240753,0.30588236451148987,0.3137255012989044,0.30980393290519714,0.29411765933036804,4.938079833984375,-63.65433883666992,5.857662200927734,5.14593505859375,-63.98833084106445,6.1328301429748535,13.363433837890625,-56.61974334716797,7.0994873046875,13.158782958984375,-56.785369873046875,6.990907669067383,11.340545654296875,-58.387664794921875,6.397711277008057,7.579437255859375,-61.408992767333984,5.582456588745117,4.690765380859375,-64.42668914794922,4.658010005950928,4.690765380859375,-64.42668914794922,4.658010005950928,3.548797607421875,-65.07279205322266,4.380926609039307,4.12884521484375,-64.35025024414063,5.0716633796691895,11.311427887772036,13.795333312656348,-1.0,0.01177707105181508,7.000000208616257,3.56,21.69,0
L-1:9,1.4528491592646844,11.016372116168558,10.77215248253591,17.4129280933688,9.419167924769063,7.390720995161206,2.9161331404348623,0.5257826314498725,2.1898943053923663,8.219520655884457,834.5510864257813,92.08689880371094,598.8515625,468.7739562988281,266.22003173828125,635.1373901367188,238.587890625,808.6619873046875,255.31634521484375,609.7714233398438,675.6134643554688,137.02792358398438,1913.5013427734375,1375.555419921875,202.5651397705078,892.41552734375,176.8030242919922,897.8970947265625,895.6732788085938,260.5335693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27843138575553894,0.2705882489681244,0.2549019753932953,0.24705883860588074,0.24313727021217346,0.2666666805744171,0.2823529541492462,0.29019609093666077,0.2823529541492462,0.2823529541492462,5.914337158203125,-60.19350051879883,5.114088535308838,7.139190673828125,-59.751373291015625,5.074979305267334,5.79608154296875,-61.23534393310547,4.379978179931641,359.69879150390625,-67.52005767822266,2.351929187774658,358.47918701171875,-68.78892517089844,2.0544683933258057,350.2925109863281,-72.58380889892578,1.5212311744689941,350.89288330078125,-73.03166961669922,2.1647849082946777,352.9142150878906,-70.95538330078125,3.0947444438934326,356.6473693847656,-67.36748504638672,3.7485790252685547,1.810516357421875,-63.15993118286133,4.4423065185546875,7.439631741794107,5.0501657754772005,1.0,0.01421282360024082,6.333333522081375,0.0,26.98,0
L-1:10,0.9258228370522995,3.851568826542681,2.8399298763424246,2.059985980204501,6.592309816736138,0.2719617260823695,8.275295859272656,1.6665005589278523,2.6752982447894715,1.1266068912887117,618.900390625,32.345558166503906,695.814697265625,593.4835205078125,261.0899963378906,678.679931640625,189.4890899658203,464.7045593261719,552.1248779296875,408.7735900878906,971.5634155273438,56.79172134399414,2334.42529296875,688.3455200195313,171.3729248046875,726.76318359375,449.85284423828125,1038.9066162109375,522.542236328125,423.0168151855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26274511218070984,0.250980406999588,0.25882354378700256,0.27843138575553894,0.29411765933036804,0.2980392277240753,0.30588236451148987,0.30980393290519714,0.30588236451148987,0.29019609093666077,348.4378662109375,-66.95101165771484,5.039004325866699,358.16229248046875,-59.88462829589844,7.177783489227295,357.3963623046875,-59.073089599609375,6.984498500823975,356.05303955078125,-59.62522506713867,6.777670860290527,353.7127990722656,-62.01778793334961,6.2853312492370605,347.8385314941406,-68.66341400146484,5.324273109436035,347.8385314941406,-68.66341400146484,5.324273109436035,346.06134033203125,-70.52334594726563,4.816886901855469,346.21136474609375,-70.14932250976563,4.643533706665039,347.4798583984375,-68.48777770996094,4.885237693786621,8.457464000331298,9.956671298192028,-1.0,0.013931040442447288,2.0000000596046448,0.0,23.03,0
L-1:11,1.7149819979397627,5.5437446680566,4.149355662485073,8.335165057217091,5.848328109687239,1.8649642915060813,7.6518789044489095,13.111833434543627,9.193834102279743,2.5980011591241343,902.0388793945313,73.26893615722656,694.52783203125,736.9202880859375,684.3357543945313,1764.0037841796875,240.73289489746094,899.9407348632813,799.0689086914063,528.6985473632813,588.6818237304688,266.0765686035156,2440.810791015625,2899.7177734375,184.67608642578125,1014.3460693359375,118.05093383789063,720.4715576171875,615.0958251953125,394.2834167480469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27843138575553894,0.2705882489681244,0.25882354378700256,0.25882354378700256,0.27450981736183167,0.29019609093666077,0.2823529541492462,0.27450981736183167,0.2705882489681244,0.27843138575553894,347.0107421875,-63.7510871887207,4.514563083648682,346.37750244140625,-64.72208404541016,4.353582382202148,344.6445617675781,-66.59612274169922,3.5396687984466553,344.6445617675781,-66.59612274169922,3.5396687984466553,342.0111999511719,-70.14773559570313,2.1650242805480957,342.411376953125,-69.95905303955078,2.1042144298553467,343.9031982421875,-67.94014739990234,2.2885091304779053,343.9031982421875,-67.94014739990234,2.2885091304779053,343.27984619140625,-65.999755859375,3.0450432300567627,345.8348693847656,-64.52083587646484,3.9813315868377686,13.433900735889168,7.789224202647296,1.0,0.011391560657772262,0.0,0.0,20.98,0
