Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.609395134236623,5.608197344162627,10.181586665787611,13.552630048190107,10.309827170169473,13.816194354782455,9.667083463564646,7.182699398173858,5.637206090079335,5.941458393498021,1002.5164184570313,196.07473754882813,569.3851928710938,374.6634521484375,159.9193572998047,425.2671813964844,128.90773010253906,465.5148620605469,545.2460327148438,322.6473083496094,588.9077758789063,0.0509483702480793,339.86456298828125,196.67037963867188,235.14984130859375,670.9907836914063,199.1527557373047,427.23126220703125,102.49835968017578,70.07128143310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2392157018184662,0.2549019753932953,0.26274511218070984,0.2823529541492462,0.2823529541492462,0.2862745225429535,0.2862745225429535,0.27843138575553894,0.27450981736183167,0.25882354378700256,28.69512939453125,-45.80192565917969,4.820830821990967,28.904327392578125,-44.9360466003418,5.201733589172363,28.384796142578125,-43.909400939941406,5.871027946472168,27.005950927734375,-45.445438385009766,5.169990539550781,25.79022216796875,-47.20357894897461,4.399521350860596,25.05950927734375,-48.76401138305664,3.8557913303375244,23.407501220703125,-50.720985412597656,2.660166025161743,23.243438720703125,-50.69597244262695,2.4993655681610107,23.466827392578125,-50.08172607421875,2.685511350631714,24.19427490234375,-48.93674087524414,3.4684929847717285,8.274028416929353,6.843045479101811,-1.0,0.01760564630681818,7.666666895151138,0.0,28.33,96
L-1:2,8.09147806174026,11.363426360093197,7.743840597917477,9.316610626137372,11.402715034158112,11.836840565819317,12.21020539400804,8.348717006748341,12.971734107826931,10.811747948852107,416.7269287109375,1.7067872285842896,575.6410522460938,377.3168029785156,325.6257019042969,594.6796875,144.10794067382813,746.581787109375,475.8839416503906,277.12060546875,869.0386352539063,25.44040298461914,621.2102661132813,535.4664306640625,0.0,0.0,148.9341278076172,411.8457946777344,182.5697479248047,238.3523712158203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27843138575553894,0.2705882489681244,0.2666666805744171,0.27843138575553894,0.2823529541492462,0.27450981736183167,0.2666666805744171,0.07058823853731155,0.2823529541492462,0.2862745225429535,30.192047119140625,-43.1539192199707,8.29804515838623,30.657684326171875,-42.4511604309082,8.722637176513672,29.480499267578125,-43.96707534790039,7.969656944274902,27.67388916015625,-46.26034927368164,6.532720565795898,26.3878173828125,-48.351051330566406,5.446436405181885,24.83563232421875,-50.60982894897461,4.90578031539917,25.110321044921875,-50.531883239746094,5.2236223220825195,25.996337890625,-49.581153869628906,5.607131004333496,24.493804931640625,-46.23323440551758,5.36515998840332,27.81427001953125,-44.19668197631836,7.602458953857422,15.38442570523352,4.69564372508608,1.0,0.020238859180035648,10.333333641290665,0.0,32.44,100
L-1:3,15.91552252445204,24.22259187455423,24.858568235212537,16.7425796963662,11.05796768924499,17.8182632973051,14.29688188917692,16.791509423582188,13.641472787254644,18.914775353299802,609.1176147460938,106.23468780517578,713.3372802734375,513.0274658203125,422.1990966796875,948.0520629882813,193.59048461914063,483.25262451171875,372.37164306640625,305.69500732421875,866.5254516601563,131.57322692871094,599.4171142578125,254.43032836914063,137.25616455078125,634.6947631835938,221.07240295410156,778.7783813476563,402.3719177246094,276.8387756347656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27843138575553894,0.26274511218070984,0.24705883860588074,0.25882354378700256,0.26274511218070984,0.250980406999588,0.2862745225429535,0.29019609093666077,0.2862745225429535,0.27843138575553894,21.13568115234375,-52.580448150634766,6.210197448730469,20.7581787109375,-53.099388122558594,5.788820266723633,18.77166748046875,-54.79458999633789,5.171120643615723,16.081390380859375,-56.17259979248047,4.615850925445557,13.798004150390625,-56.48554611206055,3.9444799423217773,12.98773193359375,-56.905616760253906,3.5198347568511963,14.2950439453125,-55.79969787597656,2.8587710857391357,16.749298095703125,-54.52242660522461,4.24179744720459,17.910888671875,-53.969093322753906,5.189693450927734,19.09222412109375,-53.19008255004883,5.844486713409424,22.67787917268916,9.89766789391764,1.0,0.01838111888111888,18.666667222976685,0.0,30.04,100
L-1:4,14.415665643580065,7.014310735347556,6.702032785930074,14.906327605167021,18.385249100911608,16.659640771023433,6.613712223592749,7.437041105396568,14.769956059721972,15.272760103290548,500.2362060546875,134.81942749023438,374.86444091796875,362.9732360839844,232.12257385253906,1041.9183349609375,317.0653991699219,587.478515625,835.5845947265625,653.5091552734375,1022.1410522460938,110.1015853881836,943.7068481445313,473.1992492675781,396.208740234375,886.9589233398438,350.3123779296875,1116.73486328125,758.1011962890625,405.94464111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24705883860588074,0.24705883860588074,0.25882354378700256,0.27843138575553894,0.29019609093666077,0.29411765933036804,0.2980392277240753,0.30980393290519714,0.2705882489681244,0.250980406999588,13.983917236328125,-59.3188591003418,7.411413669586182,14.789764404296875,-59.616546630859375,8.076214790344238,21.242889404296875,-51.960147857666016,7.192042350769043,19.297882080078125,-53.282371520996094,7.036302089691162,15.6063232421875,-56.29559326171875,6.83329963684082,15.6063232421875,-56.29559326171875,6.83329963684082,12.265045166015625,-59.920711517333984,6.609821796417236,10.347625732421875,-61.447593688964844,5.960737705230713,10.70440673828125,-60.8189697265625,6.019148826599121,12.476776123046875,-59.62321853637695,6.781421184539795,6.139475488665295,21.630477920699104,-1.0,0.013504648760330579,2.0000000596046448,3.81,22.41,100
L-1:5,30.917268738636636,13.336418626160713,7.073279335277184,12.457970916401374,12.996006348485306,15.151694363062905,14.611109205587894,7.713252059663708,12.203589517518434,26.9143619930108,819.5269775390625,75.31697845458984,859.230224609375,364.266845703125,119.2620849609375,643.798828125,237.77964782714844,734.4352416992188,503.2358093261719,356.67510986328125,656.1314697265625,13.334589958190918,370.13543701171875,291.5982360839844,371.7481689453125,764.3209228515625,86.2783203125,110.42442321777344,518.7796630859375,313.4346618652344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24313727021217346,0.2392157018184662,0.22745099663734436,0.2549019753932953,0.27450981736183167,0.2862745225429535,0.27843138575553894,0.25882354378700256,0.22352942824363708,0.2392157018184662,11.45849609375,-54.26517868041992,10.786650657653809,12.641510009765625,-53.25957489013672,11.925846099853516,14.257049560546875,-52.40119171142578,13.901408195495605,13.234039306640625,-52.493324279785156,13.746872901916504,11.053924560546875,-53.71617126464844,12.348681449890137,9.04376220703125,-55.94609451293945,11.242105484008789,7.542816162109375,-57.38969802856445,10.585763931274414,6.54498291015625,-57.82752990722656,10.28675651550293,6.755767822265625,-57.77764892578125,10.896634101867676,10.453216552734375,-54.868438720703125,10.081978797912598,4.1701247524210805,6.09875573726604,-1.0,0.016385110952040087,13.333333730697632,0.0,26.16,0
L-1:6,14.116765121054483,19.911483421086036,3.352652503790701,6.740751850181331,6.878579311483634,7.532580523615159,6.502977701721529,3.094334919320043,7.328250921894599,2.7880146316511847,888.9388427734375,242.82138061523438,992.136962890625,800.1569213867188,14.986910820007324,246.1118927001953,183.26637268066406,843.3511962890625,505.15948486328125,285.67840576171875,1082.0548095703125,85.07705688476563,661.7814331054688,432.7089538574219,645.2132568359375,1059.578369140625,214.84310913085938,668.4429931640625,698.4932861328125,291.03680419921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26274511218070984,0.22745099663734436,0.22745099663734436,0.2392157018184662,0.25882354378700256,0.2705882489681244,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.2666666805744171,10.557281494140625,-54.326416015625,12.838789939880371,11.040252685546875,-54.05562210083008,13.163077354431152,7.290191650390625,-53.26576614379883,9.856708526611328,5.851165771484375,-55.1054801940918,8.913384437561035,4.538299560546875,-57.08595275878906,8.265924453735352,3.68182373046875,-58.46736526489258,8.15588665008545,3.729217529296875,-58.75111770629883,8.797613143920898,5.204132080078125,-58.263980865478516,10.131526947021484,6.923187255859375,-56.722694396972656,11.193188667297363,8.9586181640625,-54.98042678833008,12.086908340454102,2.7212428785337877,1.5018470968564328,1.0,0.014740118577075098,3.6666667759418488,0.0,21.31,0
L-1:7,18.350904950470873,10.695948623654187,3.348294093669116,1.5279806693087754,15.496652959727214,19.973538046297396,5.262691560301299,17.62238527810411,6.249176908243844,1.4528438317439105,1465.410400390625,316.65045166015625,1556.112060546875,405.2054748535156,487.7684020996094,903.6103515625,355.15240478515625,951.6215209960938,967.7291259765625,413.6158142089844,954.9791870117188,94.37828063964844,30.980520248413086,58.63850402832031,424.52801513671875,904.6853637695313,5.554920673370361,1171.9827880859375,754.783447265625,401.9059143066406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24705883860588074,0.2392157018184662,0.22745099663734436,0.2392157018184662,0.2666666805744171,0.2823529541492462,0.2705882489681244,0.27450981736183167,0.2705882489681244,0.26274511218070984,0.924468994140625,-58.52806091308594,10.469765663146973,359.3377380371094,-61.00243377685547,9.950613021850586,357.52825927734375,-63.94715881347656,9.303184509277344,356.5865173339844,-65.65080261230469,9.22136402130127,355.8659973144531,-66.5086669921875,9.31093978881836,354.9167785644531,-67.17130279541016,9.363302230834961,353.49713134765625,-62.97187042236328,7.453050136566162,357.5602111816406,-60.814823150634766,8.895784378051758,359.7206726074219,-59.34953308105469,9.718741416931152,1.093902587890625,-58.13352584838867,10.31746768951416,9.214351799540205,2.7283495048425612,1.0,0.012461251862891208,8.000000238418579,0.0,23.89,0
L-1:8,7.054699758427285,3.114795431112849,2.8577825465975137,5.862805838637867,4.9597926700717725,3.502344303250412,13.667771297689558,14.817138506571897,12.66174873260366,11.338916796242003,1086.751953125,510.5318603515625,384.7189636230469,327.8340148925781,39.36922836303711,1589.2802734375,468.9265441894531,1081.1905517578125,1038.4061279296875,686.1729736328125,1330.08203125,30.82249641418457,1692.469970703125,561.7719116210938,143.0070343017578,1260.514892578125,485.5512390136719,1088.37548828125,978.6738891601563,741.1436767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25882354378700256,0.2666666805744171,0.2549019753932953,0.26274511218070984,0.27450981736183167,0.2666666805744171,0.2705882489681244,0.27450981736183167,0.2705882489681244,0.2666666805744171,357.7637023925781,-54.61711120605469,12.053091049194336,358.5735778808594,-53.755619049072266,13.04554557800293,5.6942138671875,-50.860740661621094,15.346339225769043,5.6942138671875,-50.860740661621094,15.346339225769043,3.479278564453125,-51.68588638305664,14.482125282287598,359.7681579589844,-54.09056091308594,12.67411994934082,356.8148193359375,-55.92091369628906,10.815816879272461,356.8148193359375,-55.92091369628906,10.815816879272461,356.0979309082031,-56.16838836669922,10.42182445526123,356.90008544921875,-55.135250091552734,11.323013305664063,3.2069257470882437,13.988854072137313,-1.0,0.01148646660782583,3.333333432674408,3.82,22.31,0
L-1:9,25.52699226655588,7.797879104627514,3.512515337272764,5.319219021547898,15.131559683003037,16.50483405155621,7.0905628456892416,8.696672511890856,7.205962240519033,14.67342839176253,790.9025268554688,259.1073303222656,705.2030639648438,375.23828125,549.3298950195313,1142.777099609375,447.72833251953125,742.643798828125,1220.92578125,651.5262451171875,1259.2293701171875,122.72439575195313,801.3602294921875,600.30322265625,149.7945098876953,1206.4376220703125,242.0556182861328,833.8578491210938,262.954345703125,96.29208374023438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.24313727021217346,0.2549019753932953,0.2666666805744171,0.26274511218070984,0.24705883860588074,0.2196078598499298,0.1882353127002716,354.3215026855469,-56.862998962402344,11.338629722595215,355.08819580078125,-56.490360260009766,12.046944618225098,355.08819580078125,-56.490360260009766,12.046944618225098,355.0754699707031,-56.151268005371094,12.315513610839844,353.740234375,-56.4016227722168,11.682120323181152,353.740234375,-56.4016227722168,11.682120323181152,352.0022888183594,-57.93882751464844,10.60518741607666,350.8830871582031,-58.75041580200195,9.76662826538086,351.00579833984375,-58.47330093383789,9.885931015014648,351.64251708984375,-57.910152435302734,10.509333610534668,15.315569662855927,2.7744846865369275,-1.0,0.012396694214876033,10.333333641290665,0.0,18.0,0
L-1:10,17.88292509716008,7.972251816936975,15.313220816365767,8.696030252076358,8.924957237012034,13.334325405443767,9.76334194811441,8.262353387830348,13.745964116328157,19.027895498274013,1007.0452880859375,351.7498474121094,162.56668090820313,182.6970672607422,683.8358764648438,1316.08740234375,167.25082397460938,498.50762939453125,635.8109130859375,414.88751220703125,941.005615234375,61.45186233520508,271.3183898925781,103.53978729248047,215.9531707763672,952.9190063476563,381.4871520996094,941.514892578125,397.88629150390625,259.44866943359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24705883860588074,0.21176472306251526,0.22352942824363708,0.250980406999588,0.27450981736183167,0.2980392277240753,0.29411765933036804,0.2862745225429535,0.2823529541492462,0.26274511218070984,353.3045349121094,-57.425907135009766,11.233185768127441,349.34173583984375,-56.858009338378906,8.470138549804688,349.34173583984375,-56.858009338378906,8.470138549804688,347.2922668457031,-58.8997917175293,7.359833240509033,346.409912109375,-60.1159782409668,7.130694389343262,345.98504638671875,-60.716129302978516,6.80825662612915,346.8942565917969,-60.55044174194336,7.254535675048828,348.5399475097656,-59.992149353027344,8.442194938659668,349.9974060058594,-59.311866760253906,9.525712966918945,351.9440002441406,-58.04370880126953,10.580602645874023,5.882133374020527,5.547140228781484,1.0,0.014129944482997916,10.666666984558105,0.0,23.27,0
