Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.6476191997025156,6.47906716318656,0.8233560222642161,3.0940572231048993,0.800506218447949,5.052248472566378,9.06120939487968,18.175554441465064,9.44800235667319,1.841092347805188,1298.7904052734375,338.2615051269531,737.3563842773438,921.3546752929688,310.2162780761719,1111.7181396484375,425.27288818359375,969.5887451171875,509.0078430175781,800.5862426757813,780.374755859375,49.55718231201172,779.8355712890625,716.0328979492188,282.2403564453125,916.1697387695313,45.62092208862305,1020.3050537109375,1027.69189453125,749.5775146484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0199999809265137,1.0199999809265137,1.0399999618530273,1.1200000047683716,0.9799999594688416,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.0799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.327492494124268,10.844821182135851,-1.0,0.012403986387943608,6.5,0.0,14.58,100
L-1:2,2.9336792684819324,7.633257140012388,14.238068155798953,20.116427676418766,10.021745159120732,7.851019570230855,4.288299145312135,3.2673876893378777,1.9329511983299403,4.384796312699358,1434.9576416015625,240.57089233398438,1278.929931640625,1004.5062255859375,61.351749420166016,1147.0015869140625,461.40423583984375,1108.047119140625,1098.1103515625,1389.3397216796875,521.474365234375,41.75930404663086,676.322509765625,867.3363037109375,399.48651123046875,286.634033203125,629.758544921875,1553.240234375,1262.7740478515625,1051.733154296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6599999666213989,0.6899999976158142,0.699999988079071,0.8399999737739563,0.9799999594688416,1.1200000047683716,1.1200000047683716,0.6399999856948853,0.6399999856948853,0.6599999666213989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.604305485618497,13.044780550440583,-1.0,0.010698416751787539,8.5,0.0,11.97,100
L-1:3,2.006101863436084,15.98108116526195,3.8549383668243142,3.153677649110393,3.8015759956726396,0.7929932058784208,4.140060930995838,1.8287811113139476,1.672980947675019,3.2737450936176757,1385.1705322265625,358.89630126953125,922.2350463867188,1389.4620361328125,0.0,0.0,476.2244873046875,1655.0770263671875,1579.580810546875,494.3283386230469,1387.9044189453125,23.156230926513672,1401.522705078125,936.9581909179688,571.57080078125,1378.5728759765625,574.2943725585938,1453.1064453125,1405.722900390625,1131.19677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0199999809265137,0.9099999666213989,0.22999998927116394,0.35999998450279236,0.47999998927116394,0.6100000143051147,0.7799999713897705,0.9399999976158142,1.059999942779541,1.0799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160235492328969,5.5196988398896405,-1.0,0.009199284511784513,0.0,0.0,12.49,36
L-1:4,19.89811856146127,20.798407253939107,18.508867514974984,8.915317228376527,5.716565868452041,10.351033170241152,8.621783134319442,4.142501436102931,8.119561844771345,11.44841635418016,1364.11767578125,338.5655822753906,1482.8355712890625,875.0947875976563,70.77067565917969,834.5728759765625,170.99510192871094,1247.8360595703125,645.7210693359375,1403.8211669921875,1092.639404296875,19.284814834594727,1397.7486572265625,940.880126953125,55.17914581298828,1482.62890625,397.6348876953125,1081.7518310546875,1416.3177490234375,1267.964599609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7699999809265137,0.7299999594688416,0.7299999594688416,0.2800000011920929,0.3400000035762787,0.44999998807907104,0.550000011920929,0.6699999570846558,0.7699999809265137,0.7699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.055210977543407,14.688800534942931,-1.0,0.00963322884012539,7.5,3.58,8.78,0
L-1:5,3.5175019849842877,5.24706210955986,17.59232715160905,7.321402825193671,7.715844762483045,2.4035259308641326,6.367653180475794,16.817895658496457,13.471753079375237,8.253149883810165,708.1072998046875,158.9155731201172,846.0145263671875,438.449462890625,386.52178955078125,592.9640502929688,685.197265625,514.6205444335938,436.87969970703125,740.328125,852.5377197265625,204.87100219726563,890.572021484375,743.67919921875,274.2711486816406,702.0029907226563,201.01841735839844,813.5872802734375,898.2417602539063,598.8120727539063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7299999594688416,0.699999988079071,0.7799999713897705,0.7799999713897705,0.7699999809265137,0.6599999666213989,0.4699999988079071,0.8399999737739563,0.8199999928474426,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.335797431300296,8.086959613477568,1.0,0.013015779557230335,3.0,0.0,15.79,0
L-1:6,15.687304240561705,11.628435802289523,2.7470586832521953,6.194835079831745,12.996502801172522,6.689429064536854,7.656779751880364,7.087997100943267,7.0878676354315395,4.1397517825084,754.6236572265625,67.38917541503906,582.6703491210938,543.1367797851563,138.56224060058594,833.9390258789063,31.08329963684082,527.382568359375,1169.0537109375,455.8027038574219,1055.9696044921875,66.13080596923828,485.6156311035156,438.51348876953125,261.129638671875,1006.3307495117188,320.5111389160156,1191.7091064453125,938.1431274414063,689.12451171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6399999856948853,0.6399999856948853,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.6699999570846558,0.5,0.3999999761581421,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683435386109133,5.306829793202625,1.0,0.013667355371900825,6.0,0.0,15.12,0
L-1:7,1.8441200552377788,2.385085469611844,8.999468202395011,13.694656362339828,4.951405989790291,2.377223735889964,3.2206640723366307,4.313274887158064,1.8180410757998475,6.072962471265184,357.45269775390625,62.19649124145508,402.5832824707031,665.7305908203125,168.6128692626953,691.2847900390625,317.9016418457031,1172.2242431640625,699.2831420898438,462.14398193359375,527.31689453125,38.42375564575195,753.8469848632813,403.4454345703125,275.284912109375,1123.479248046875,443.54345703125,547.9398803710938,759.7036743164063,507.54510498046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9099999666213989,0.3400000035762787,0.4099999964237213,0.4699999988079071,0.5999999642372131,0.6899999976158142,0.7699999809265137,0.8700000047683716,0.9199999570846558,0.9099999666213989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.509150970897506,6.687763692604022,-1.0,0.0169493006993007,12.5,0.0,16.62,0
L-1:8,17.342037675824542,26.373780986763727,31.279792708347067,13.594910794347545,4.206446839452182,8.208271698181816,1.9102850816045087,7.984460696417374,0.8258022782084158,6.0225331752469655,1513.865966796875,337.8830871582031,649.2181396484375,1209.18896484375,954.050537109375,1945.1163330078125,135.15292358398438,1572.947998046875,1170.3663330078125,1284.4859619140625,1015.8870239257813,202.3248748779297,980.607177734375,1590.7515869140625,915.48681640625,2067.565673828125,610.060791015625,1674.13818359375,1427.4271240234375,567.6543579101563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7699999809265137,0.7299999594688416,0.7199999690055847,0.7199999690055847,0.7799999713897705,0.8700000047683716,0.7699999809265137,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.747618775308416,22.88989593757684,-1.0,0.007383264462809918,10.0,5.56,10.21,0
L-1:9,1.4234284572106024,2.788041677531162,2.8739525172492546,8.584703387831741,19.26140545568319,5.594050415534159,6.8017554920943715,4.5694025593747964,3.789287912319843,3.024933994341957,2049.328125,110.07157135009766,708.9910278320313,379.9432678222656,914.2486572265625,1964.16162109375,546.834716796875,902.7280883789063,990.1065673828125,391.6555480957031,665.9332885742188,116.43509674072266,1070.4263916015625,600.4119873046875,89.3180923461914,1133.48583984375,393.0731506347656,1303.3902587890625,1257.5762939453125,814.1483154296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8199999928474426,0.6899999976158142,0.7199999690055847,0.6599999666213989,0.75,0.8199999928474426,0.550000011920929,0.7199999690055847,0.8399999737739563,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.588953295528384,15.377102989799075,1.0,0.011035123966942149,3.0,0.0,15.26,0
L-1:10,3.8473056212286787,5.801628197500824,5.737010726396178,8.160081754423743,9.925776640422427,13.276798002093352,1.7781656670899129,5.165080789844607,2.694030114480771,1.4734872798385923,1120.324462890625,311.1463928222656,1136.78759765625,722.7843017578125,493.974365234375,549.23779296875,561.591064453125,813.4398803710938,1017.3143920898438,230.3625946044922,1167.1397705078125,124.26753997802734,571.608154296875,216.97731018066406,332.4449768066406,977.7698974609375,569.9290161132813,1270.17822265625,737.0638427734375,688.3995971679688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5199999809265137,0.5199999809265137,0.550000011920929,0.6100000143051147,0.6599999666213989,0.7199999690055847,0.7799999713897705,0.3400000035762787,0.4099999964237213,0.4699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90542408868625,5.110330709233748,-1.0,0.013244562186279979,3.0,0.0,13.57,0
