Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.286080506271247,3.527627303866418,6.877034101071017,9.52107221845405,2.009541747501048,3.309890421940763,4.457651349582061,4.972423463432053,1.9651876660229513,7.840927407538045,582.6519775390625,128.61851501464844,565.7836303710938,283.7185974121094,155.0855255126953,578.6104736328125,104.08767700195313,604.28466796875,462.2450256347656,361.8303527832031,1030.2034912109375,20.350900650024414,620.5491333007813,403.2904968261719,311.61334228515625,602.0671997070313,157.3671112060547,539.1986694335938,307.60540771484375,226.72021484375,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.1882353127002716,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.1882353127002716,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,249.00445556640625,-73.45218658447266,17.751062393188477,252.24972534179688,-74.627197265625,17.89094352722168,254.05419921875,-75.74625396728516,18.100767135620117,253.36878967285156,-77.21501922607422,18.394519805908203,251.78811645507813,-77.90044403076172,18.53440284729004,253.84437561035156,-77.9424057006836,18.57636833190918,253.84437561035156,-77.9424057006836,18.57636833190918,254.23605346679688,-77.7046127319336,18.68827247619629,247.36782836914063,-77.52276611328125,18.73023796081543,252.72532653808594,-74.6551742553711,17.681119918823242,14.096890468304908,12.42647235054,1.0,0.01943440082644628,4.5,0.0,21.5,4
L-1:2,2.938217565002092,7.437851731474774,7.745661934810926,1.5251941325496723,4.2196015590853975,7.41235182169932,9.052111033163328,1.457508126593015,2.866816694911229,4.854695202670426,547.350830078125,38.37423324584961,539.9486083984375,295.0086975097656,200.58543395996094,792.9962768554688,249.6997528076172,569.511474609375,622.6702880859375,531.9849243164063,729.6220703125,47.78933334350586,643.41162109375,437.17156982421875,265.2944641113281,597.3234252929688,180.25672912597656,550.7003173828125,585.1961669921875,470.6136779785156,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.19607844948768616,0.5137255191802979,0.5176470875740051,0.5176470875740051,0.18039216101169586,0.16862745583057404,0.16862745583057404,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.30000001192092896,0.36666667461395264,0.4333333671092987,252.27769470214844,-73.06051635742188,17.667133331298828,253.438720703125,-76.86531829833984,18.618331909179688,251.78811645507813,-77.7046127319336,18.53440284729004,256.1384582519531,-79.78885650634766,18.310590744018555,256.1384582519531,-79.78885650634766,18.310590744018555,257.9569091796875,-78.89360809326172,17.555227279663086,256.3063049316406,-76.40370178222656,17.163557052612305,255.60690307617188,-76.17989349365234,17.275463104248047,259.69146728515625,-75.24268341064453,17.709096908569336,252.27769470214844,-73.06051635742188,17.667133331298828,5.120581157914574,8.329238875976564,1.0,0.01688583509513742,2.0,0.0,22.82,4
L-1:3,2.1374585845422227,2.8159704029404624,2.4349621805054817,1.7353237277293392,2.202455680567737,1.9980263430462444,1.7404702174171396,1.2432861353341225,4.712404552816739,3.7080667510771192,608.7003173828125,11.894712448120117,457.7344970703125,226.72369384765625,158.53225708007813,467.4623107910156,201.52334594726563,501.900146484375,516.609375,350.0859680175781,667.2252197265625,32.0925178527832,475.9432067871094,376.68145751953125,101.54520416259766,482.3534240722656,162.83172607421875,514.1983642578125,418.2854309082031,391.5345764160156,0.1764705926179886,0.18039216101169586,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.5137255191802979,0.18039216101169586,0.1764705926179886,0.1725490242242813,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,255.4390411376953,-71.85752868652344,17.3314151763916,255.7887420654297,-72.93462371826172,17.61117935180664,254.7396240234375,-73.53611755371094,17.527250289916992,255.77476501464844,-74.94892883300781,17.709096908569336,259.8173522949219,-76.3057861328125,17.93290901184082,261.13226318359375,-76.78138732910156,17.61117935180664,261.13226318359375,-76.78138732910156,17.61117935180664,253.36878967285156,-72.41706085205078,17.89094352722168,252.9491424560547,-71.82955169677734,17.471298217773438,252.24972534179688,-71.84354400634766,17.401355743408203,2.3242419819211717,1.2049562459638217,1.0,0.021813998884551034,1.5,0.0,22.35,108
L-1:4,5.800752311611883,3.6254017911646907,9.49841572106309,16.213620143717254,4.796685634836265,8.9274511985302,15.428513664552868,25.924453378156,29.170149014118056,16.91069217234777,918.8449096679688,145.3771209716797,685.3330078125,285.75396728515625,341.9783935546875,821.69091796875,132.65480041503906,615.7140502929688,369.3409423828125,155.79212951660156,510.48907470703125,85.86553192138672,480.43408203125,371.1439514160156,155.22531127929688,841.6802368164063,224.90602111816406,680.6725463867188,739.3397827148438,651.8482055664063,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.18039216101169586,0.18431372940540314,0.5137255191802979,0.5137255191802979,0.18431372940540314,0.1764705926179886,0.1725490242242813,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,255.4390411376953,-70.0390625,17.86296844482422,255.60690307617188,-71.04621124267578,18.254638671875,254.92147827148438,-71.53579711914063,18.156721115112305,254.92147827148438,-72.50099182128906,18.436485290527344,258.11077880859375,-73.25635528564453,18.53440284729004,258.9640808105469,-73.22837829589844,18.73023796081543,257.3833923339844,-72.0533676147461,18.68827247619629,257.5372619628906,-71.35395050048828,18.590354919433594,254.92147827148438,-69.9691162109375,18.240650177001953,253.84437561035156,-69.39559936523438,17.765050888061523,15.968246867554079,24.64483229918542,1.0,0.018961566888396158,7.0,6.23,29.32,68
L-1:5,2.443810137452143,1.6160697385988552,3.41700954123801,3.5451267721712343,7.157568451524839,0.3202328688360886,2.7543199263555738,2.3349411330422742,3.3902505745353615,3.6192915190859356,421.7832336425781,37.1259765625,331.21038818359375,189.38124084472656,127.21855163574219,426.8691101074219,145.65316772460938,611.3757934570313,354.5968933105469,310.4091796875,580.6793212890625,8.716970443725586,593.5166015625,248.09690856933594,335.51318359375,800.4866333007813,222.95541381835938,745.7069702148438,755.8110961914063,527.6065673828125,0.1725490242242813,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.18431372940540314,0.5137255191802979,0.5137255191802979,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,257.9989013671875,-71.17210388183594,20.982343673706055,252.9491424560547,-66.9896240234375,19.149885177612305,252.24972534179688,-67.74498748779297,19.16387367248535,250.38929748535156,-68.55630493164063,19.3177433013916,256.3063049316406,-70.51466369628906,19.975191116333008,255.4390411376953,-70.9343032836914,20.212989807128906,255.4390411376953,-70.9343032836914,20.212989807128906,252.27769470214844,-71.08818054199219,20.017154693603516,250.59912109375,-70.05304718017578,20.11507225036621,254.34796142578125,-70.72447967529297,20.422813415527344,0.6241077732129446,5.2148397136568505,1.0,0.01863636363636364,0.5,0.0,21.32,4
L-1:6,2.258988269394894,3.808339350921828,2.839575756727448,4.578161971345073,2.4312800921655535,7.624725024147175,0.721764119542166,4.054736574716524,9.449374763269544,4.774912724322943,645.7227172851563,31.915945053100586,421.23394775390625,311.7591552734375,198.18663024902344,601.6795654296875,154.5017547607422,522.8603515625,560.2980346679688,268.4542236328125,585.97314453125,97.90137481689453,593.1220703125,401.4354553222656,52.507205963134766,511.36651611328125,172.0199737548828,692.0791015625,523.9784545898438,497.98052978515625,0.18039216101169586,0.5137255191802979,0.18431372940540314,0.5137255191802979,0.5176470875740051,0.5176470875740051,0.5137255191802979,0.18039216101169586,0.18039216101169586,0.1764705926179886,0.36666667461395264,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,253.438720703125,-67.74498748779297,18.156721115112305,254.7396240234375,-68.55630493164063,18.184696197509766,252.8931884765625,-68.83607482910156,18.33856773376465,253.15896606445313,-69.75929260253906,18.68827247619629,254.7396240234375,-70.654541015625,18.96803855895996,256.1384582519531,-71.25603485107422,18.898096084594727,256.1384582519531,-71.13014221191406,18.88410758972168,258.6842956542969,-70.05304718017578,19.303754806518555,255.4390411376953,-68.34648132324219,18.57636833190918,255.4390411376953,-68.34648132324219,18.57636833190918,6.920327392931372,1.1127672697399082,1.0,0.018563155594405592,4.0,0.0,24.27,0
L-1:7,4.66266005503561,5.639754381685477,6.986303350829444,1.4559517622755416,4.15169653329931,5.544995555110187,5.2520575717520375,4.415132321635012,4.573721596536502,8.044731285672883,718.9703979492188,134.46542358398438,320.87310791015625,372.6660461425781,155.41876220703125,702.9146118164063,119.90174865722656,533.7398681640625,410.2394104003906,259.45068359375,876.2984619140625,14.055083274841309,598.283935546875,455.0923767089844,268.1692199707031,861.1317749023438,264.83514404296875,613.6905517578125,534.0084838867188,488.2608642578125,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.5137255191802979,0.18431372940540314,0.18039216101169586,0.1725490242242813,0.36666667461395264,0.36666667461395264,0.30000001192092896,0.30000001192092896,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,255.4390411376953,-70.50067138671875,18.88410758972168,253.36878967285156,-71.01823425292969,18.92607307434082,252.47354125976563,-71.42389678955078,19.023990631103516,252.24972534179688,-71.9834213256836,19.261791229248047,257.15960693359375,-72.09532928466797,19.91923713684082,257.15960693359375,-72.09532928466797,19.91923713684082,256.3063049316406,-71.77359771728516,19.821319580078125,255.4390411376953,-71.40990447998047,19.583518981933594,253.64854431152344,-70.73847198486328,19.12190818786621,255.4390411376953,-70.50067138671875,18.88410758972168,2.842326663020082,12.1959157444471,1.0,0.01806060606060606,3.0,0.0,23.84,0
L-1:8,1.7100235172832117,11.40991105736816,14.695541012578154,20.104005552951083,7.423329355019773,9.023056351068355,16.355101039030043,16.44686055102851,15.627978411087927,6.411940739916453,729.2349243164063,62.48873519897461,428.2854919433594,163.8358612060547,143.8605499267578,450.5087585449219,269.1824035644531,557.0873413085938,693.1943969726563,307.5801086425781,891.0950927734375,171.42335510253906,700.7969360351563,539.3347778320313,284.71630859375,807.1088256835938,176.1983184814453,823.7462768554688,628.5062866210938,609.442626953125,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.18431372940540314,0.18039216101169586,0.1725490242242813,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,253.64854431152344,-71.40990447998047,19.093931198120117,253.64854431152344,-69.03190612792969,18.21267318725586,255.25718688964844,-69.71733093261719,18.240650177001953,254.7396240234375,-70.51466369628906,18.870121002197266,255.95660400390625,-71.6756820678711,19.247802734375,255.4390411376953,-71.647705078125,19.541555404663086,255.25718688964844,-71.59175109863281,19.4856014251709,255.25718688964844,-71.59175109863281,19.4856014251709,255.0613555908203,-71.28401184082031,19.135896682739258,251.78811645507813,-70.54263305664063,18.954050064086914,12.517032735706215,25.164589893945283,1.0,0.01870218017276841,3.5,10.26,25.98,0
L-1:9,23.916989742782185,16.338980519364867,1.1107376613238509,10.55104010935155,19.824823952644678,17.800116732532878,11.382803418432287,5.553109094722743,6.252213353400141,14.115673114905302,1216.4017333984375,22.632625579833984,938.4031982421875,325.7638244628906,377.12615966796875,628.5014038085938,44.04148864746094,1003.9682006835938,827.9769897460938,639.7604370117188,907.9093017578125,62.04536056518555,647.2202758789063,746.4013061523438,187.352294921875,1176.4857177734375,175.37716674804688,640.02978515625,652.8255615234375,314.3809814453125,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.5176470875740051,0.18039216101169586,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.40000003576278687,251.56430053710938,-64.98931121826172,17.80701446533203,251.56430053710938,-64.98931121826172,17.80701446533203,252.27769470214844,-66.62593078613281,18.310590744018555,255.0613555908203,-68.54232025146484,19.107919692993164,254.47384643554688,-68.68220520019531,19.3177433013916,254.47384643554688,-68.68220520019531,19.3177433013916,250.33334350585938,-69.0179214477539,19.471614837646484,253.22889709472656,-68.91999816894531,19.499589920043945,254.15213012695313,-69.0458984375,19.611495971679688,251.0886993408203,-64.59764099121094,17.69510841369629,4.282756865783389,10.811254240046585,1.0,0.011882974481658693,7.5,0.0,17.03,0
L-1:10,4.405322217005272,2.909961103103127,2.373411752416636,3.2189400615172934,7.462068416685397,14.763059995503532,10.91398579253694,6.785019882026412,3.1090443364508342,2.8232015285813326,796.90625,67.06661987304688,384.47271728515625,144.50196838378906,133.90480041503906,659.0176391601563,127.31844329833984,955.96875,740.8643188476563,588.6240844726563,760.5258178710938,190.16912841796875,752.3883666992188,620.2110595703125,190.51785278320313,816.35986328125,269.715087890625,803.5485229492188,559.3013305664063,342.65252685546875,0.18039216101169586,0.1725490242242813,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.5137255191802979,0.5176470875740051,0.5137255191802979,0.18431372940540314,0.18431372940540314,0.36666667461395264,0.36666667461395264,0.30000001192092896,0.30000001192092896,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,253.15896606445313,-67.92683410644531,19.555543899536133,254.05419921875,-68.15065002441406,19.63947296142578,248.5988006591797,-66.56997680664063,18.310590744018555,248.5988006591797,-66.56997680664063,18.310590744018555,250.64108276367188,-66.77980041503906,18.68827247619629,252.9491424560547,-67.74498748779297,19.107919692993164,252.9491424560547,-67.57713317871094,19.107919692993164,251.78811645507813,-67.15748596191406,18.744226455688477,252.02590942382813,-67.45124053955078,19.079944610595703,252.02590942382813,-67.45124053955078,19.079944610595703,8.688342367685673,2.482978814669025,1.0,0.015254885301614273,3.0,0.0,20.52,0
