Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.8929694922284246,2.8246705981687263,2.42085723008835,1.7413673957113187,8.205904694849282,2.4390643548429765,3.590735401535213,1.3628641403030377,2.0620637376764788,2.1348526225503464,170.6273651123047,115.97769165039063,741.0927734375,845.5184326171875,293.51727294921875,1086.9351806640625,254.19772338867188,36.99057388305664,1223.4814453125,1002.6622314453125,1449.44921875,145.80877685546875,925.7646484375,716.393798828125,245.58213806152344,1064.96875,396.0113220214844,1067.313232421875,528.8285522460938,519.5679321289063,0.3764706254005432,0.3764706254005432,0.3764706254005432,0.364705890417099,0.2980392277240753,0.3333333432674408,0.3764706254005432,0.40000003576278687,0.40000003576278687,0.3921568989753723,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,21.281005859375,-34.642608642578125,45.8432502746582,20.24090576171875,-32.96202850341797,47.07715606689453,20.2537841796875,-32.72283172607422,49.127559661865234,19.49658203125,-32.631595611572266,49.32383728027344,19.533172607421875,-33.8340950012207,49.15690994262695,19.533172607421875,-33.8340950012207,49.15690994262695,20.11639404296875,-35.50667953491211,46.621639251708984,20.15087890625,-35.581581115722656,44.7498893737793,20.980438232421875,-35.04716491699219,44.03243637084961,20.980438232421875,-35.04716491699219,44.03243637084961,4.409454857282069,2.984133572727481,-1.0,0.011568539727988545,2.0000000596046448,0.0,18.47,36
L-1:2,8.55814129153706,11.638182022872908,3.04771432051007,3.352479953471361,3.9974609430392456,2.1501268906628983,3.354217474177207,9.455673756206291,0.336900049829411,10.134381370841787,921.75830078125,256.5968017578125,595.2811889648438,535.474853515625,415.4549255371094,847.0260620117188,723.524169921875,884.7283325195313,1148.781005859375,948.8604736328125,1162.3929443359375,6.800083637237549,1243.99853515625,765.6448364257813,58.40684509277344,757.034912109375,477.3990478515625,933.3919677734375,792.138916015625,322.7441101074219,0.25882354378700256,0.2823529541492462,0.30980393290519714,0.32156863808631897,0.32549020648002625,0.34117648005485535,0.364705890417099,0.37254902720451355,0.37254902720451355,0.25882354378700256,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,18.2694091796875,-33.50974655151367,37.933658599853516,19.33819580078125,-33.04818344116211,38.78269577026367,18.22100830078125,-32.13799285888672,40.71147918701172,18.01666259765625,-32.033504486083984,41.76694869995117,17.4075927734375,-32.69566345214844,41.937259674072266,17.4075927734375,-32.69566345214844,41.937259674072266,18.483917236328125,-35.5762825012207,40.254371643066406,20.510101318359375,-37.36238098144531,37.242759704589844,20.8804931640625,-37.59138870239258,35.822566986083984,17.667449951171875,-35.440982818603516,42.66485595703125,6.290844978436979,10.88134006384298,-1.0,0.013049168730102582,7.000000208616257,0.0,21.08,68
L-1:3,4.100397731259533,5.95668717514628,2.678074730343196,3.5261413621269386,2.579064189637786,4.250609226771234,6.8560335465933715,4.261755584678611,1.3993466529478507,2.3245164593845438,1150.4581298828125,138.06797790527344,889.230712890625,771.8506469726563,174.6756134033203,371.6221923828125,583.0678100585938,1714.328125,951.9622802734375,850.4661254882813,1317.65771484375,367.531005859375,1550.77001953125,911.0801391601563,215.56201171875,1298.234375,276.1449890136719,1053.530517578125,531.439697265625,537.6306762695313,0.3450980484485626,0.32156863808631897,0.32156863808631897,0.2705882489681244,0.2862745225429535,0.3137255012989044,0.3450980484485626,0.3529411852359772,0.3529411852359772,0.3529411852359772,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,20.636962890625,-34.42264938354492,39.194400787353516,20.636962890625,-34.42264938354492,39.194400787353516,19.58050537109375,-32.88190841674805,42.37209701538086,18.92333984375,-31.554141998291016,44.655670166015625,17.3060302734375,-31.21820831298828,45.098751068115234,17.3060302734375,-31.21820831298828,45.098751068115234,15.175537109375,-30.49593734741211,44.422908782958984,15.175537109375,-30.49593734741211,44.422908782958984,17.916107177734375,-34.17426681518555,41.68565368652344,20.819915771484375,-35.348777770996094,38.462928771972656,9.227140836945317,4.481331881418125,-1.0,0.010122310895211659,3.000000089406967,0.0,16.67,64
L-1:4,25.694649620110116,29.259312550785065,23.354416685328214,5.236015245369196,8.277710553762816,7.8695265906783565,3.348127807255736,13.465473953950891,8.040316538305099,10.940869368261934,1661.4490966796875,242.4608612060547,875.9581298828125,683.7813110351563,480.08416748046875,733.2694091796875,14.545123100280762,2298.775146484375,2187.25537109375,881.96240234375,4028.97802734375,494.8541564941406,2771.272705078125,1133.40576171875,133.52786254882813,1723.35400390625,903.6150512695313,1593.265625,1632.9412841796875,232.91314697265625,0.37254902720451355,0.37254902720451355,0.37254902720451355,0.2392157018184662,0.27843138575553894,0.30980393290519714,0.3490196168422699,0.3803921937942505,0.3803921937942505,0.3803921937942505,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.3333333432674408,0.3333333432674408,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,20.86016845703125,-34.896018981933594,41.97254943847656,21.74468994140625,-34.64435958862305,45.272621154785156,20.769866943359375,-33.909175872802734,47.06095504760742,18.79693603515625,-32.85527801513672,46.82373046875,18.79693603515625,-32.85527801513672,46.82373046875,18.79693603515625,-32.85527801513672,46.82373046875,18.235748291015625,-34.2762565612793,43.97348403930664,18.235748291015625,-34.2762565612793,43.97348403930664,20.431060791015625,-35.97667694091797,42.191444396972656,20.431060791015625,-35.97667694091797,42.191444396972656,11.237974447021411,4.205838392579955,-1.0,0.008184106162294083,10.333333641290665,4.05,15.33,68
L-1:5,1.3169256088851597,7.879256691374193,3.0696000376151367,4.531531362395788,3.5293160417236327,4.375266497901697,11.059828295662458,8.016568964921534,3.2471406981886237,1.701319717163996,1063.973876953125,167.83164978027344,948.9453735351563,642.1502685546875,492.2404479980469,1889.8050537109375,432.309326171875,1493.5919189453125,2216.94384765625,1599.2735595703125,1632.6163330078125,135.64065551757813,1947.2852783203125,1367.6812744140625,463.1041259765625,1462.091064453125,277.4719543457031,1541.9896240234375,1074.486328125,861.2103881835938,0.37254902720451355,0.37254902720451355,0.24313727021217346,0.27450981736183167,0.30588236451148987,0.3333333432674408,0.3607843220233917,0.37254902720451355,0.37254902720451355,0.37254902720451355,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,21.60589599609375,-35.56403732299805,38.7403564453125,21.60589599609375,-35.56403732299805,38.7403564453125,19.752410888671875,-33.643096923828125,45.49392318725586,19.165191650390625,-32.2808837890625,45.51638412475586,19.165191650390625,-32.2808837890625,45.51638412475586,18.392181396484375,-31.863950729370117,45.31782913208008,18.392181396484375,-31.863950729370117,45.31782913208008,17.023284912109375,-32.421775817871094,44.42739486694336,17.023284912109375,-32.421775817871094,44.42739486694336,20.205474853515625,-35.56403732299805,38.7403564453125,5.923227323531104,12.467514839138202,-1.0,0.007909090909090909,5.333333492279053,0.0,13.92,64
L-1:6,10.896108474480977,3.6792778922895666,3.332352408285261,2.5791504947534643,14.31552918532744,7.863867613796995,7.185652050384148,4.41067341639864,2.715522988280608,8.021247023683589,1960.562255859375,373.8004455566406,1036.772705078125,1337.9564208984375,944.331787109375,1727.1458740234375,1031.9625244140625,3392.902587890625,2203.352294921875,967.7182006835938,4559.8017578125,1596.736328125,2099.396240234375,1922.820556640625,626.270263671875,2221.000244140625,1081.206787109375,1283.234375,2611.1806640625,698.0408325195313,0.29411765933036804,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.2980392277240753,0.3137255012989044,0.3294117748737335,0.3294117748737335,0.29411765933036804,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,18.33929443359375,-31.789438247680664,43.529212951660156,18.33929443359375,-31.789438247680664,43.529212951660156,18.71966552734375,-31.595197677612305,43.47176742553711,18.71966552734375,-31.595197677612305,43.47176742553711,18.71966552734375,-31.595197677612305,43.47176742553711,18.570159912109375,-31.835529327392578,43.79012680053711,18.570159912109375,-31.835529327392578,43.79012680053711,18.570159912109375,-31.835529327392578,43.79012680053711,20.47198486328125,-34.838680267333984,41.45912551879883,19.2396240234375,-32.29436111450195,43.27021026611328,3.6629960999402167,12.375619990040835,-1.0,0.0072073002754820936,4.33333346247673,0.0,11.96,100
L-1:7,4.357926775655372,0.838291621439142,5.062282664916659,3.5696881716083038,1.8271010394566618,15.254524717234341,15.100301310923252,3.6865193469249116,4.2105213099685805,13.46882916311673,1139.0716552734375,286.1877136230469,81.98554229736328,87.4102554321289,893.0277099609375,2635.0966796875,439.0021057128906,2176.32373046875,2627.981689453125,1405.913818359375,3081.000244140625,758.5830078125,2583.07568359375,1158.4013671875,130.7972869873047,1694.7498779296875,864.7260131835938,1688.5325927734375,1505.408203125,783.8719482421875,0.3176470696926117,0.30588236451148987,0.2039215862751007,0.22745099663734436,0.2549019753932953,0.27450981736183167,0.2862745225429535,0.3137255012989044,0.32156863808631897,0.32156863808631897,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,17.94866943359375,-31.871082305908203,44.420562744140625,18.001495361328125,-31.871082305908203,44.420562744140625,18.4796142578125,-31.117462158203125,45.303924560546875,18.4796142578125,-31.117462158203125,45.303924560546875,18.4796142578125,-31.117462158203125,45.303924560546875,18.95391845703125,-31.34932518005371,44.64152145385742,18.95391845703125,-31.34932518005371,44.64152145385742,18.95391845703125,-31.34932518005371,44.64152145385742,17.880767822265625,-31.871082305908203,44.420562744140625,17.880767822265625,-31.871082305908203,44.420562744140625,6.276755610271826,7.892380380886629,-1.0,0.008787878787878789,14.333333760499954,0.0,11.6,64
L-1:8,29.594168258965713,17.99451801880928,7.4506361614204515,16.63520514536602,24.32310854062333,17.7894336238989,15.479133791609131,2.1286084461605492,13.678666671291456,20.383038102266813,1800.4520263671875,178.71949768066406,2287.6220703125,291.27679443359375,745.0971069335938,905.6356811523438,308.3818054199219,2412.797607421875,2830.815185546875,2378.18603515625,2963.3017578125,853.7884521484375,2542.002685546875,1297.21826171875,192.59945678710938,81.91600799560547,730.1865844726563,1914.0419921875,1655.709228515625,590.207763671875,0.22352942824363708,0.22352942824363708,0.22352942824363708,0.22352942824363708,0.24705883860588074,0.27843138575553894,0.3137255012989044,0.32156863808631897,0.23137256503105164,0.22352942824363708,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,15.741851806640625,-29.351747512817383,39.95125198364258,15.741851806640625,-29.351747512817383,39.95125198364258,15.977630615234375,-29.71965217590332,40.78502655029297,15.977630615234375,-29.71965217590332,40.78502655029297,14.932159423828125,-29.01778793334961,40.1287841796875,14.932159423828125,-29.01778793334961,40.1287841796875,14.932159423828125,-29.01778793334961,40.1287841796875,14.25177001953125,-29.621387481689453,40.22187042236328,15.70159912109375,-29.95506477355957,40.20514678955078,15.741851806640625,-29.351747512817383,39.95125198364258,13.991404635311191,15.728520129848857,-1.0,0.008746830858384643,1.0000000298023224,3.24,13.8,100
L-1:9,3.792450862252678,11.702327096427403,3.1199593442640605,3.193722336189487,3.0371597174249914,5.271350475452466,3.405330627429362,1.6105170811031813,2.0915480259437227,4.921997993981752,1606.031982421875,123.33588409423828,1067.3870849609375,1039.65673828125,96.54935455322266,1627.448486328125,592.738037109375,1931.98779296875,1740.2646484375,1200.07421875,2722.719482421875,174.2962646484375,1175.2965087890625,771.9135131835938,326.02728271484375,1061.25244140625,326.9239501953125,953.429931640625,1274.0369873046875,1158.5594482421875,0.27450981736183167,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2980392277240753,0.32549020648002625,0.35686275362968445,0.3607843220233917,0.32156863808631897,0.3176470696926117,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,17.26995849609375,-33.14077377319336,35.70547866821289,17.26995849609375,-33.14077377319336,35.70547866821289,16.01336669921875,-31.709951400756836,37.761009216308594,16.01336669921875,-31.709951400756836,37.761009216308594,14.93017578125,-30.56846809387207,36.801307678222656,14.93017578125,-30.56846809387207,36.801307678222656,14.927276611328125,-31.68305778503418,37.867408752441406,15.50994873046875,-33.06290817260742,36.48937225341797,15.4337158203125,-33.135498046875,36.89867401123047,16.040740966796875,-33.998374938964844,36.76060485839844,6.471707675234364,6.931486526770116,-1.0,0.008579124579124579,0.6666666865348816,0.0,14.56,68
L-1:10,3.8600608529872593,8.022183068373227,7.584738614114032,2.7666199692724867,7.3868696344171125,5.504896213767107,6.410737116043881,3.4005504760243963,2.772126720975576,3.1956880181929543,1221.30712890625,20.708290100097656,528.142333984375,40.730350494384766,364.2529602050781,1152.242919921875,920.5735473632813,1643.52099609375,1740.308349609375,958.7996215820313,2050.445068359375,59.35047912597656,1002.2283325195313,1347.8843994140625,171.4674530029297,1604.090087890625,427.0225524902344,1453.3948974609375,571.5755615234375,298.1755065917969,0.3019607961177826,0.2705882489681244,0.19607844948768616,0.25882354378700256,0.2980392277240753,0.33725491166114807,0.37254902720451355,0.3764706254005432,0.3764706254005432,0.3490196168422699,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,16.33782958984375,-31.55813217163086,40.538387298583984,16.246551513671875,-29.99724578857422,40.138023376464844,13.833343505859375,-27.89434242248535,43.48469543457031,13.741790771484375,-28.366832733154297,43.58935546875,13.741790771484375,-28.366832733154297,43.58935546875,13.081512451171875,-28.015064239501953,42.69565963745117,13.081512451171875,-28.015064239501953,42.69565963745117,14.435791015625,-31.527891159057617,41.420928955078125,14.435791015625,-31.527891159057617,41.420928955078125,16.401763916015625,-32.26618194580078,38.796592712402344,8.762239484067358,9.625562379711369,-1.0,0.01027020202020202,16.000000476837158,0.0,17.43,96
