Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.666666716337204,1.3212888475699638,6.794061691352663,10.817676707831964,6.762177217721208,2.848001333316235,1.8743277310325515,6.5490752836846085,13.823387033696525,8.370733212968553,462.3758239746094,27.43797492980957,506.1035461425781,332.5440979003906,448.5444030761719,756.40576171875,113.90596771240234,935.7711181640625,1202.85107421875,767.587158203125,1342.939697265625,33.176666259765625,945.1821899414062,972.0947265625,92.88298797607422,1030.9599609375,192.38265991210938,689.956298828125,769.9010009765625,985.3729248046875,0.6117647290229797,0.5607843399047852,0.5215686559677124,0.5411764979362488,0.5607843399047852,0.5568627715110779,0.545098066329956,0.5921568870544434,0.5843137502670288,0.5647059082984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.569999933242798,-57.56999969482422,0.4599999785423279,3.1999998092651367,-57.72999954223633,0.35999998450279236,3.129999876022339,-57.82999801635742,-0.22999998927116394,3.3499999046325684,-58.31999969482422,-1.6200000047683716,3.379999876022339,-58.5099983215332,-2.2899999618530273,3.3299999237060547,-58.369998931884766,-1.709999918937683,3.629999876022339,-58.279998779296875,-1.71999990940094,3.7099997997283936,-57.349998474121094,-0.5699999928474426,3.8899998664855957,-57.0,-0.20999999344348907,3.8499999046325684,-56.61000061035156,0.09999999403953552,1.0000000298023224,10.171026359590497,1.0,0.012683771306818182,0.6666666865348816,0.0,20.41,44
L-1:2,3.5901099784166144,7.814736795281284,7.645786522918845,3.094074708551594,1.550645696139683,6.146363154704479,1.8224945861544373,0.2465553441776488,0.7583551820478185,5.8081035530437015,1172.6490478515625,22.884923934936523,785.0806274414062,386.9692687988281,318.7330627441406,964.1448974609375,314.44500732421875,1282.524169921875,818.80029296875,437.64501953125,1461.4434814453125,111.80339813232422,721.5323486328125,446.77691650390625,282.5758056640625,1084.453857421875,164.49252319335938,1115.0255126953125,536.6550903320312,529.0552978515625,0.5843137502670288,0.5764706134796143,0.529411792755127,0.529411792755127,0.5647059082984924,0.5882353186607361,0.5960784554481506,0.6039215922355652,0.6117647290229797,0.6039215922355652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279999732971191,-56.63999938964844,1.1100000143051147,4.389999866485596,-57.02000045776367,0.4599999785423279,4.029999732971191,-57.96999740600586,-0.5299999713897705,3.679999828338623,-58.27000045776367,-0.949999988079071,3.4499998092651367,-59.05999755859375,-1.149999976158142,3.5799999237060547,-58.599998474121094,-0.9300000071525574,2.0199999809265137,-57.939998626708984,-0.6299999952316284,2.9600000381469727,-57.099998474121094,0.07999999821186066,3.4800000190734863,-56.529998779296875,0.6100000143051147,4.059999942779541,-56.48999786376953,0.7699999809265137,6.437736163802138,5.347145009048154,1.0,0.011324915824915825,2.3333334028720856,0.0,19.22,44
L-1:3,10.088497600941686,3.6568186267540326,2.0131340136964027,9.195231925715092,10.271570404901404,11.67142794784338,6.235173872240084,1.5575421900978768,11.466012287050495,15.399636375202812,1040.5072021484375,79.2765121459961,407.78619384765625,241.53184509277344,342.7006530761719,1107.9539794921875,373.6526794433594,870.3756103515625,376.39678955078125,411.07568359375,1505.7806396484375,21.676565170288086,1533.1947021484375,775.3063354492188,290.4827575683594,982.30615234375,919.0776977539062,1801.107421875,965.2111206054688,776.169677734375,0.545098066329956,0.572549045085907,0.5647059082984924,0.5647059082984924,0.6039215922355652,0.5921568870544434,0.5843137502670288,0.5803921818733215,0.5647059082984924,0.5568627715110779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.519999980926514,-53.43000030517578,2.0199999809265137,2.7699999809265137,-54.55999755859375,2.4600000381469727,2.629999876022339,-54.81999969482422,1.4199999570846558,2.180000066757202,-55.529998779296875,1.0799999237060547,1.96999990940094,-56.16999816894531,0.17999999225139618,2.309999942779541,-55.97999954223633,-0.32999998331069946,2.7200000286102295,-55.44999694824219,-0.14000000059604645,3.68999981880188,-54.29999923706055,0.6699999570846558,4.089999675750732,-54.07999801635742,1.2200000286102295,4.440000057220459,-53.64999771118164,1.5299999713897705,14.472195995366645,9.803090441930143,1.0,0.011835227272727273,8.66666692495346,0.0,20.83,96
L-1:4,7.731609233582039,10.646890712150348,7.383578545532954,6.113703175756141,1.8230175493461802,6.009252304862985,5.1674196554650536,2.1765321225164027,7.520202712524354,4.822280978035712,1466.111328125,61.85404586791992,717.0716552734375,667.6404418945312,353.20574951171875,907.730224609375,320.097412109375,658.9547729492188,702.6181640625,446.57720947265625,1160.9549560546875,5.339709281921387,1320.1474609375,730.6414794921875,313.9874572753906,866.9486694335938,337.0469970703125,961.9093017578125,618.4771728515625,853.2130737304688,0.5490196347236633,0.529411792755127,0.5176470875740051,0.5254902243614197,0.6000000238418579,0.5960784554481506,0.5960784554481506,0.5843137502670288,0.5882353186607361,0.5647059082984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4800000190734863,-54.119998931884766,2.859999895095825,3.4700000286102295,-54.19999694824219,2.490000009536743,3.6499998569488525,-54.529998779296875,2.169999837875366,2.799999952316284,-56.38999938964844,1.090000033378601,2.450000047683716,-57.34000015258789,0.26999998092651367,2.629999876022339,-57.73999786376953,-0.23999999463558197,2.8499999046325684,-57.5,-0.14999999105930328,3.369999885559082,-56.41999816894531,0.47999998927116394,3.669999837875366,-55.189998626708984,1.5799999237060547,3.7699999809265137,-54.5,2.0199999809265137,8.353309639709131,10.442522540139763,1.0,0.011679207616707618,0.0,3.12,21.73,100
L-1:5,2.357022674199906,3.9137111662774746,3.2769595671278453,0.40314839701427224,1.1451912653624658,0.7453560147132695,4.054998950346281,2.122777056889093,2.044806879116306,12.163084623765073,1176.2958984375,243.6128692626953,727.0485229492188,588.8408203125,743.4158935546875,1201.26708984375,230.39096069335938,826.8289184570312,629.4223022460938,504.6504211425781,765.5755004882812,2.031515121459961,994.6820068359375,674.6759033203125,313.1997985839844,1057.230712890625,244.76487731933594,1278.93310546875,674.7808837890625,549.384033203125,0.572549045085907,0.5411764979362488,0.5215686559677124,0.5529412031173706,0.5490196347236633,0.5764706134796143,0.6078431606292725,0.6313725709915161,0.6117647290229797,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.629999876022339,-56.459999084472656,1.8799999952316284,3.6399998664855957,-56.71999740600586,1.3399999141693115,3.7799999713897705,-57.099998474121094,0.23999999463558197,3.93999981880188,-56.93000030517578,-0.28999999165534973,4.049999713897705,-57.279998779296875,-0.5699999928474426,1.7599999904632568,-59.959999084472656,-0.5299999713897705,2.2699999809265137,-59.93000030517578,-0.7099999785423279,2.990000009536743,-58.04999923706055,-0.14000000059604645,3.319999933242798,-56.64999771118164,1.1899999380111694,3.68999981880188,-56.27000045776367,1.3799999952316284,6.8718429141596395,3.880900518757102,1.0,0.011725402761795166,0.6666666865348816,0.0,23.29,0
L-1:6,10.419000049235578,11.86171364172631,3.7302162520956896,2.6605341059023284,5.1668930415485805,5.011098942133351,0.9432439919631805,0.03816351494285844,3.133825804161512,1.132590942930715,1341.0821533203125,181.3435821533203,643.5374755859375,378.51373291015625,73.4494400024414,230.00753784179688,178.19790649414062,890.9107055664062,587.2353515625,377.0722961425781,725.3646240234375,150.89247131347656,1235.08447265625,587.1156005859375,148.7876434326172,1080.85009765625,240.2174072265625,1301.099853515625,563.1918334960938,477.9065246582031,0.5529412031173706,0.5529412031173706,0.3764706254005432,0.5529412031173706,0.6000000238418579,0.6196078658103943,0.6196078658103943,0.6196078658103943,0.6039215922355652,0.5647059082984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369999885559082,-57.52000045776367,0.8899999856948853,3.5199999809265137,-57.66999816894531,0.7999999523162842,2.5799999237060547,-57.04999923706055,1.9799998998641968,2.319999933242798,-57.82999801635742,1.209999918937683,2.429999828338623,-58.25,0.4099999964237213,2.5999999046325684,-58.5,0.17999999225139618,2.7100000381469727,-57.91999816894531,0.3199999928474426,2.93999981880188,-57.689998626708984,0.5600000023841858,3.179999828338623,-57.27000045776367,0.85999995470047,3.3899998664855957,-57.56999969482422,0.6499999761581421,6.8718429141596395,5.810910606387451,1.0,0.012777777777777775,4.33333346247673,0.0,20.24,0
L-1:7,4.013864979219926,1.622591184276851,1.6430767402697757,0.7735675815061389,2.038345882373425,2.1343748094202857,3.090233686599405,8.202563383625963,4.897471898964164,3.266715025865393,0.0,0.0,625.8964233398438,441.53900146484375,258.8094482421875,852.5460205078125,256.251953125,726.3167114257812,725.2205200195312,636.0023193359375,1487.1051025390625,23.678173065185547,1412.0072021484375,666.2572021484375,435.8802795410156,1260.3509521484375,222.46018981933594,785.9598388671875,865.67919921875,903.8189086914062,0.40392160415649414,0.5843137502670288,0.5372549295425415,0.5254902243614197,0.5921568870544434,0.6274510025978088,0.6117647290229797,0.6039215922355652,0.5960784554481506,0.5686274766921997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18999981880188,-57.15999984741211,1.96999990940094,2.8999998569488525,-56.19999694824219,3.559999942779541,2.559999942779541,-57.68000030517578,2.240000009536743,1.96999990940094,-58.90999984741211,1.7999999523162842,1.8399999141693115,-59.14999771118164,0.41999998688697815,1.659999966621399,-59.02000045776367,0.14000000059604645,2.0999999046325684,-58.55999755859375,-0.4599999785423279,2.3999998569488525,-57.96999740600586,0.38999998569488525,2.7799999713897705,-57.52000045776367,1.0299999713897705,3.009999990463257,-57.349998474121094,1.3899999856948853,6.574361170369899,5.307953195922822,1.0,0.012583214030064424,1.0000000298023224,0.0,20.09,0
L-1:8,13.207742231060681,10.658622308625057,2.928010703752106,12.237667650043084,12.598203139884653,4.123105748495783,1.1842493920701698,3.9488299861934197,7.663480691582522,13.96827392810376,1720.881103515625,0.028486095368862152,583.4677124023438,360.34112548828125,394.46539306640625,601.0440673828125,48.54425048828125,948.6033935546875,771.1475219726562,436.5987854003906,1158.7235107421875,77.3003921508789,1132.4830322265625,776.361328125,445.0199279785156,1372.9222412109375,614.608642578125,1437.708251953125,795.5563354492188,488.8261413574219,0.5803921818733215,0.5568627715110779,0.5607843399047852,0.5647059082984924,0.6235294342041016,0.6470588445663452,0.6392157077789307,0.6274510025978088,0.6196078658103943,0.6196078658103943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210000038146973,-55.71999740600586,2.6499998569488525,2.7899999618530273,-56.119998931884766,2.4700000286102295,2.7799999713897705,-56.44999694824219,1.8600000143051147,2.7699999809265137,-56.79999923706055,1.0199999809265137,2.419999837875366,-57.04999923706055,0.1599999964237213,2.5799999237060547,-56.78999710083008,-0.3799999952316284,2.9700000286102295,-56.689998626708984,-0.41999998688697815,3.129999876022339,-56.15999984741211,0.8899999856948853,3.6499998569488525,-56.03999710083008,1.649999976158142,3.8999998569488525,-56.03999710083008,2.2100000381469727,15.835965165574796,16.321786175892893,1.0,0.011787878787878788,3.000000089406967,5.13,23.34,0
L-1:9,5.754225672033306,2.352011404262065,2.8223075661061583,0.9191473980016935,1.120176258708801,2.6034166362233964,4.4661099522279715,0.9191473980016834,2.580351808987441,6.071132953742024,733.214599609375,46.1495361328125,753.4347534179688,631.9400024414062,338.2587890625,1199.1673583984375,463.9941101074219,1031.817138671875,447.6795959472656,339.7215881347656,1218.5133056640625,34.87043762207031,724.6065063476562,617.0396118164062,365.06524658203125,776.3966674804688,434.7476806640625,1117.6605224609375,846.2327880859375,531.8031005859375,0.615686297416687,0.5764706134796143,0.5490196347236633,0.5803921818733215,0.6196078658103943,0.5843137502670288,0.5921568870544434,0.6313725709915161,0.5843137502670288,0.6274510025978088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429999828338623,-58.40999984741211,0.029999999329447746,2.3299999237060547,-58.53999710083008,-0.5399999618530273,2.2899999618530273,-59.07999801635742,-1.4800000190734863,2.200000047683716,-59.3599967956543,-2.3399999141693115,1.8799999952316284,-59.96999740600586,-2.990000009536743,1.71999990940094,-60.21999740600586,-3.119999885559082,1.6999999284744263,-60.04999923706055,-2.2200000286102295,2.0799999237060547,-59.28999710083008,-1.559999942779541,2.5299999713897705,-58.37999725341797,-0.85999995470047,2.429999828338623,-58.37999725341797,-0.12999999523162842,6.8718429141596395,5.303669153204678,1.0,0.012496160933660934,1.0000000298023224,0.0,23.25,0
L-1:10,2.426703368748233,7.088696628675028,8.211324020237962,3.805258876528296,5.112941244633373,1.9436506895404029,3.127883195991058,1.6711147420925807,3.5532662430925694,4.260726125236035,0.0,0.0,491.2167053222656,258.4338073730469,356.1031799316406,842.6063232421875,484.41339111328125,1022.5560302734375,375.0205078125,370.141845703125,1850.443359375,53.188236236572266,1009.1266479492188,502.3919372558594,363.498779296875,953.6574096679688,9.954883575439453,898.5001220703125,1387.06298828125,908.2529907226562,0.4392157196998596,0.5607843399047852,0.5568627715110779,0.5647059082984924,0.6117647290229797,0.6313725709915161,0.6313725709915161,0.6235294342041016,0.5921568870544434,0.5607843399047852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8700000047683716,-57.77000045776367,0.29999998211860657,1.8199999332427979,-58.5,0.3400000035762787,1.3600000143051147,-58.939998626708984,0.07999999821186066,1.209999918937683,-59.80999755859375,-1.1399999856948853,0.8999999761581421,-59.939998626708984,-1.2899999618530273,1.0499999523162842,-59.91999816894531,-1.6799999475479126,1.2799999713897705,-59.709999084472656,-1.6399999856948853,1.6699999570846558,-58.56999969482422,-0.7899999618530273,2.119999885559082,-58.5,-0.699999988079071,2.009999990463257,-57.5099983215332,0.2800000011920929,16.086571828768726,9.621523888324422,1.0,0.01186418844313581,1.666666716337204,0.0,18.42,0
