Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,14.551329167931913,9.291483657272531,3.478202784767994,8.947365554459816,8.834421603795397,6.150628590406151,5.475980389443207,4.024671471485706,0.769368251192166,8.370330915845411,2569.19189453125,51.70339584350586,1925.6087646484375,1422.003173828125,1092.1534423828125,2568.4794921875,393.4311218261719,2065.7548828125,2302.572265625,2004.5772705078125,2821.8125,695.3892211914062,1444.828857421875,1803.9361572265625,821.4520263671875,2821.154052734375,696.2711791992188,1799.5714111328125,2107.494384765625,886.318115234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,223.9962615966797,-16.836719512939453,-0.8765032887458801,223.9962615966797,-16.836719512939453,-0.8765032887458801,223.98785400390625,-16.828832626342773,-0.8781508207321167,223.98785400390625,-16.828832626342773,-0.8781508207321167,223.97218322753906,-16.757278442382812,-0.8948214054107666,223.97218322753906,-16.757278442382812,-0.8948214054107666,223.9278106689453,-16.749982833862305,-0.8396703600883484,223.9346466064453,-16.767532348632812,-0.8777430057525635,223.9346466064453,-16.767532348632812,-0.8777430057525635,223.9962615966797,-16.836719512939453,-0.8765032887458801,3.4538636572364876,12.826191241019062,-1.0,0.005272063702720637,2.0000000596046448,0.0,9.08,36
L-1:2,1.6457310826661595,2.039102720589147,0.19941751310592853,9.433392358921079,7.990799118193536,6.910308133030842,2.1328102802562374,10.58627118886794,4.857472192054494,2.9889099180930723,2649.44384765625,222.08822631835938,2291.1328125,1799.3477783203125,259.91986083984375,2346.716796875,1325.5469970703125,2742.451416015625,2193.744140625,1849.2825927734375,2946.56591796875,463.8655700683594,2484.08642578125,1320.6646728515625,0.0,0.0,905.5595703125,2046.818359375,2161.2998046875,1755.869140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,223.7938232421875,-16.631513595581055,-0.828774631023407,223.7938232421875,-16.631513595581055,-0.828774631023407,223.69454956054688,-16.6214656829834,-0.9268236756324768,223.69454956054688,-16.6214656829834,-0.9268236756324768,223.69454956054688,-16.6214656829834,-0.9268236756324768,223.7081756591797,-16.572574615478516,-0.866305410861969,223.7081756591797,-16.572574615478516,-0.866305410861969,223.7962646484375,-16.74839973449707,-0.936234712600708,223.7962646484375,-16.74839973449707,-0.936234712600708,223.7938232421875,-16.631513595581055,-0.828774631023407,6.798719662061471,6.948963335948022,-1.0,0.0047908745247148285,3.000000089406967,0.0,7.92,32
L-1:3,2.5414581137006804,6.355119846643765,1.317899755222155,5.9203148566973205,7.685889135002667,8.699018513539208,9.148756027669227,16.99184208906193,7.6176795804600905,3.324486580742257,3197.133056640625,303.07659912109375,1706.0908203125,2203.21142578125,88.32711791992188,2861.630615234375,1172.52734375,2895.421142578125,2112.347412109375,1478.2034912109375,3300.830810546875,112.2302474975586,2811.475830078125,668.6646118164062,0.0,0.0,664.787841796875,2649.26806640625,2032.9495849609375,1263.4649658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,223.6970977783203,-16.817777633666992,-0.9671308398246765,223.6970977783203,-16.817777633666992,-0.9671308398246765,223.62347412109375,-16.7623291015625,-0.9945744872093201,223.62347412109375,-16.7623291015625,-0.9945744872093201,223.62347412109375,-16.7623291015625,-0.9945744872093201,223.64651489257812,-16.72047996520996,-0.878980815410614,223.64651489257812,-16.72047996520996,-0.878980815410614,223.66151428222656,-16.68376922607422,-0.9746352434158325,223.66151428222656,-16.68376922607422,-0.9746352434158325,223.6970977783203,-16.817777633666992,-0.9671308398246765,9.699131751885165,5.719432415803882,-1.0,0.0045880149812734085,1.0000000298023224,0.0,7.7,36
L-1:4,14.010214559673159,10.210525374147247,20.356454617136365,17.38861147609497,7.4655539942594045,5.321515585397526,1.824597946198053,10.245917083411701,20.848825454095905,23.497249819624994,3464.35400390625,399.3287048339844,3413.9150390625,1081.8330078125,1677.9986572265625,3748.527587890625,1693.390625,3054.962158203125,3407.90966796875,1285.9468994140625,1839.154052734375,463.127685546875,2585.430908203125,2087.416015625,570.834228515625,3260.129150390625,1442.31396484375,2781.559814453125,3182.22998046875,2220.186279296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,223.67002868652344,-16.672685623168945,-0.8422616720199585,223.64620971679688,-16.767881393432617,-1.0055251121520996,223.64620971679688,-16.767881393432617,-1.0055251121520996,223.64620971679688,-16.767881393432617,-1.0055251121520996,223.6721649169922,-16.66794204711914,-0.9658746123313904,223.60394287109375,-16.65292739868164,-0.8956150412559509,223.60394287109375,-16.65292739868164,-0.8956150412559509,223.60394287109375,-16.65292739868164,-0.8956150412559509,223.67002868652344,-16.672685623168945,-0.8422616720199585,223.67002868652344,-16.672685623168945,-0.8422616720199585,14.949348343798299,21.830850153597414,-1.0,0.003561799093295156,1.0000000298023224,1.83,8.53,36
L-1:5,1.6267826812400792,2.714483203629232,0.5757907809515146,9.470407802191268,2.052772021936242,4.2174638232965345,0.9490596539049584,4.5666618664624306,6.612051421186357,2.433291354039754,2739.713134765625,219.52456665039062,2217.408203125,1870.269775390625,879.4243774414062,2336.570068359375,1055.067138671875,2064.478759765625,1967.3624267578125,1006.8970947265625,2867.2236328125,426.6867370605469,1900.8841552734375,2074.9892578125,1433.425048828125,2569.05908203125,1023.0189819335938,2773.150390625,2286.4619140625,1459.1041259765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,223.72740173339844,-16.759639739990234,-0.9334877133369446,223.72740173339844,-16.759639739990234,-0.9334877133369446,223.72740173339844,-16.759639739990234,-0.9334877133369446,223.50779724121094,-16.68347930908203,-1.0776164531707764,223.50779724121094,-16.68347930908203,-1.0776164531707764,223.58200073242188,-16.61663246154785,-0.9346162676811218,223.58200073242188,-16.61663246154785,-0.9346162676811218,223.58200073242188,-16.61663246154785,-0.9346162676811218,223.7085418701172,-16.704648971557617,-0.878761351108551,223.7085418701172,-16.704648971557617,-0.878761351108551,13.090806442515923,6.316159218615952,-1.0,0.004470454545454546,2.3333334028720856,0.0,8.43,0
L-1:6,2.8453778555484965,3.6509284607977426,6.154429185591419,5.498478287990714,3.54813823501489,5.318481992726555,8.760094715478626,6.903592372472205,3.45911040333767,1.1114606306306019,2577.641845703125,30.691295623779297,2264.377197265625,1757.82763671875,689.8590087890625,2750.178955078125,1040.99609375,2356.47412109375,2083.906494140625,701.8033447265625,2852.0068359375,579.869873046875,2292.105712890625,2144.8203125,1027.8243408203125,2621.604736328125,1077.6285400390625,1961.8184814453125,2088.51171875,1546.7960205078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,223.7772674560547,-16.74459457397461,-0.8972187042236328,223.7772674560547,-16.74459457397461,-0.8972187042236328,223.7851104736328,-16.728256225585938,-0.873261570930481,223.7851104736328,-16.728256225585938,-0.873261570930481,223.79270935058594,-16.764236450195312,-0.8988339304924011,223.79270935058594,-16.764236450195312,-0.8988339304924011,223.7669219970703,-16.723798751831055,-0.7991793751716614,223.7669219970703,-16.723798751831055,-0.7991793751716614,223.7669219970703,-16.723798751831055,-0.7991793751716614,223.76931762695312,-16.788715362548828,-0.9473873972892761,4.380491135780794,4.420652763831558,-1.0,0.004879182156133829,0.3333333432674408,0.0,8.25,0
L-1:7,11.305552255515147,7.6773390496159175,3.4588801781735676,8.442503446626052,2.1781154555716578,4.486210209860511,11.125407118231198,4.10941271932043,2.9448610102126214,5.958903178693389,3226.1982421875,107.78628540039062,2779.531982421875,870.7288818359375,606.4736938476562,2146.558349609375,951.7720947265625,3015.77734375,1496.9732666015625,1626.7301025390625,2680.075439453125,651.7882690429688,3235.2236328125,1822.1282958984375,2069.04052734375,2271.884765625,2084.112060546875,2566.1484375,2232.343994140625,2535.07177734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,223.8372802734375,-16.88125228881836,-0.9530316591262817,223.70852661132812,-16.772584915161133,-0.9913366436958313,223.70852661132812,-16.772584915161133,-0.9913366436958313,223.70852661132812,-16.772584915161133,-0.9913366436958313,223.6899871826172,-16.688201904296875,-0.9325186610221863,223.6899871826172,-16.688201904296875,-0.9325186610221863,223.6899871826172,-16.688201904296875,-0.9325186610221863,223.71766662597656,-16.78087043762207,-0.9268391132354736,223.71766662597656,-16.78087043762207,-0.9268391132354736,223.71766662597656,-16.78087043762207,-0.9268391132354736,22.182243747862408,9.865630895466655,1.0,0.004220095693779904,0.0,0.0,7.56,0
L-1:8,12.582923412874884,7.801101743223793,5.075360477083485,4.4924700405963796,2.3599202164740434,8.28438138310564,9.533441324118826,4.807489606113159,1.5824598565227184,6.526639013888275,3572.18505859375,557.3414916992188,3133.22412109375,1912.391357421875,1604.7435302734375,3828.439208984375,1397.0841064453125,3883.981201171875,3009.8291015625,2497.2841796875,1295.8089599609375,340.2469787597656,2494.70556640625,1865.00244140625,236.7519989013672,3550.16162109375,1536.9730224609375,3160.053955078125,3277.640869140625,2171.77587890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,223.7735595703125,-16.814767837524414,-0.9599934816360474,223.7735595703125,-16.814767837524414,-0.9599934816360474,223.6638641357422,-16.727399826049805,-0.9977596998214722,223.6638641357422,-16.727399826049805,-0.9977596998214722,223.6638641357422,-16.727399826049805,-0.9977596998214722,223.7111053466797,-16.74920082092285,-0.9666221141815186,223.7111053466797,-16.74920082092285,-0.9666221141815186,223.7111053466797,-16.74920082092285,-0.9666221141815186,223.7735595703125,-16.814767837524414,-0.9599934816360474,223.7735595703125,-16.814767837524414,-0.9599934816360474,10.970813083017605,15.280351593430384,-1.0,0.003943226034665724,2.3333334028720856,1.23,6.37,0
L-1:9,16.440948509976636,1.3123642701704594,13.834137222241173,9.79061076183647,10.659760582510682,12.327411412605462,16.581937962374145,31.44508279933216,31.27934846467825,28.13809647847939,2290.6484375,503.5007629394531,2639.5107421875,944.6774291992188,1286.58154296875,2423.38916015625,1421.402587890625,2475.127197265625,2835.107421875,1033.4788818359375,2430.642578125,63.24546432495117,682.87744140625,724.9107055664062,397.0246887207031,2446.43212890625,456.1899719238281,1641.447265625,1727.0692138671875,1433.6949462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,223.66195678710938,-16.770130157470703,-1.039771556854248,223.66195678710938,-16.770130157470703,-1.039771556854248,223.68951416015625,-16.754013061523438,-1.057668685913086,223.68951416015625,-16.754013061523438,-1.057668685913086,223.7254180908203,-16.697322845458984,-0.9378788471221924,223.7254180908203,-16.697322845458984,-0.9378788471221924,223.6361541748047,-16.74289321899414,-1.0424151420593262,223.6361541748047,-16.74289321899414,-1.0424151420593262,223.66297912597656,-16.75411605834961,-1.0236979722976685,223.66297912597656,-16.75411605834961,-1.0236979722976685,7.2186626170753,16.12540326324292,-1.0,0.005972886762360446,9.666666954755783,0.0,10.7,0
L-1:10,0.7214950774951913,3.613689449776295,10.910426213246426,7.844225832817291,9.155990954944178,3.2915047257974748,3.1023421096847117,3.750574346884007,3.9678996802870707,2.0791829073301966,3210.1279296875,220.85963439941406,3203.37451171875,1684.402099609375,767.8463134765625,1241.565185546875,1220.2861328125,2330.622802734375,2259.06494140625,1617.169677734375,2888.635009765625,793.5956420898438,2083.675537109375,1999.8033447265625,931.060791015625,2712.6728515625,999.818359375,2786.801025390625,2461.986572265625,1204.575439453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,223.8300018310547,-16.74102210998535,-1.0240505933761597,223.8300018310547,-16.74102210998535,-1.0240505933761597,223.77536010742188,-16.72623634338379,-1.1720571517944336,223.77536010742188,-16.72623634338379,-1.1720571517944336,223.84619140625,-16.652135848999023,-1.045407772064209,223.84619140625,-16.652135848999023,-1.045407772064209,223.86941528320312,-16.696813583374023,-0.9690554738044739,223.86941528320312,-16.696813583374023,-0.9690554738044739,223.86941528320312,-16.696813583374023,-0.9690554738044739,223.8300018310547,-16.74102210998535,-1.0240505933761597,12.191264017931447,11.210069196924715,-1.0,0.004485559566787003,1.0000000298023224,0.0,7.81,0
