Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.0307764064044151,5.942623759143276,7.606734452064233,13.201073476085778,6.041311974431256,3.400367627183861,11.433016424875994,14.533475415894143,5.3455338375981745,3.2921163637456665,1957.5574951171875,397.0090637207031,1367.5640869140625,1032.8675537109375,551.5551147460938,939.9129638671875,280.0859375,1853.136962890625,1289.2620849609375,2342.318603515625,2454.04296875,798.902587890625,1612.256103515625,872.7056884765625,563.66259765625,1470.512939453125,703.7743530273438,1260.4510498046875,899.5076293945313,371.5959777832031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.011764707043766975,0.01764705963432789,0.01568627543747425,183.5605926513672,-19.472368240356445,-0.9237176775932312,181.5237579345703,-19.825340270996094,-0.9465823769569397,183.91351318359375,-22.384246826171875,-2.658259868621826,186.36441040039063,-23.226701736450195,-3.6280808448791504,186.36441040039063,-23.226701736450195,-3.6280808448791504,186.98965454101563,-23.257095336914063,-3.791846990585327,186.98965454101563,-23.257095336914063,-3.791846990585327,186.5909881591797,-22.936851501464844,-3.403677225112915,180.7791748046875,-20.969715118408203,-2.0003840923309326,176.59915161132813,-20.3812255859375,-1.686213731765747,10.52675163571365,12.322025052603449,1.0,0.006427103481624758,2.0,0.0,15.19,100
L-1:2,8.26513762740827,4.304590724407875,12.622634499207065,13.299774697133238,17.065027161377,16.31908392036759,14.034696461468034,3.830601271959107,2.13298724981471,1.2705005259440476,1153.0279541015625,90.35733032226563,2004.6993408203125,1321.66064453125,405.55670166015625,2050.73876953125,665.1056518554688,2770.445556640625,1831.1614990234375,1024.45263671875,2773.29638671875,238.25625610351563,1441.16162109375,2193.0625,1374.2916259765625,2089.864990234375,748.810791015625,1347.982666015625,742.8590698242188,543.0764770507813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.013725491240620613,0.01764705963432789,0.019607843831181526,0.01568627543747425,0.01764705963432789,0.01568627543747425,187.1220245361328,-15.814498901367188,2.4983279705047607,187.7314910888672,-15.711347579956055,2.9751768112182617,189.21923828125,-15.645424842834473,3.2261364459991455,189.21923828125,-15.645424842834473,3.2261364459991455,192.10577392578125,-17.915117263793945,1.3684407472610474,193.65475463867188,-19.92976188659668,-1.3537871837615967,193.65475463867188,-19.92976188659668,-1.3537871837615967,190.36402893066406,-21.058137893676758,-0.9681409001350403,190.5332794189453,-21.142274856567383,-1.2683002948760986,188.2387237548828,-17.49933433532715,1.5141180753707886,10.891510455395983,2.0002926139298904,-1.0,0.006677937915742793,6.0,0.0,17.21,64
L-1:3,9.17196816392207,0.45719719522534746,3.2566850140241326,3.2534484520348737,4.696811965512029,1.7677669529663689,1.7898579755112165,6.2291825966394585,7.529512306407005,2.1530385958544183,2085.39599609375,310.03631591796875,2521.3564453125,1409.11279296875,200.2526092529297,863.3919677734375,1077.1021728515625,2541.673828125,2499.542236328125,1458.1578369140625,2633.490966796875,66.34750366210938,2088.287109375,1738.9248046875,446.15618896484375,2328.946533203125,416.9304504394531,2033.4730224609375,1569.355224609375,1644.533935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.011764707043766975,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,189.39138793945313,-18.544458389282227,-0.5555569529533386,188.93167114257813,-18.5782470703125,-0.5486776828765869,188.93649291992188,-18.374162673950195,-0.396182656288147,189.7283935546875,-21.37903594970703,-2.8425004482269287,191.38018798828125,-21.63645362854004,-2.9039011001586914,191.38018798828125,-21.63645362854004,-2.9039011001586914,190.8810577392578,-20.614181518554688,-2.2333734035491943,190.8810577392578,-20.614181518554688,-2.2333734035491943,189.96575927734375,-19.120182037353516,-0.7682011127471924,189.39138793945313,-18.544458389282227,-0.5555569529533386,11.305419054595014,9.594880788384309,1.0,0.005563882063882064,5.0,0.0,12.94,32
L-1:4,21.578345627040086,24.68237206250408,11.519176228811142,4.570947601245171,5.9686501412933834,2.4748737341529163,5.965593511745444,8.523864000596003,5.5640652970746896,7.513667245764491,3441.457275390625,1534.1357421875,2540.918701171875,1965.651611328125,315.8826904296875,3646.73681640625,1598.7191162109375,4049.68310546875,3017.102783203125,2313.12060546875,3780.8583984375,506.2122497558594,3241.572265625,2953.976806640625,1539.968505859375,3744.27734375,1402.8326416015625,3524.742431640625,2767.4638671875,2755.91064453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01568627543747425,0.013725491240620613,188.50619506835938,-18.617385864257813,-0.562379777431488,189.9383544921875,-19.9005126953125,-1.1740164756774902,189.9383544921875,-19.9005126953125,-1.1740164756774902,191.70664978027344,-20.72241973876953,-1.7222360372543335,191.70664978027344,-20.72241973876953,-1.7222360372543335,191.70664978027344,-20.72241973876953,-1.7222360372543335,191.4640350341797,-20.025279998779297,-1.0276004076004028,191.4640350341797,-20.025279998779297,-1.0276004076004028,188.50619506835938,-18.617385864257813,-0.562379777431488,188.50619506835938,-18.617385864257813,-0.562379777431488,4.75,15.085212884240883,1.0,0.003369946249123627,11.25,4.73,8.24,32
L-1:5,7.945124291035352,19.17872383061706,11.65660324127221,4.035684308995059,4.1859626174970295,3.2015621187164243,11.016382035940168,15.304642660817844,1.2744744940801678,1.8883765628673654,1908.41845703125,170.06333923339844,2055.181396484375,971.134521484375,545.2653198242188,2360.670654296875,1444.1641845703125,2717.23583984375,1937.196533203125,1463.980712890625,1898.51611328125,349.7503967285156,1450.441162109375,1004.935302734375,792.5465087890625,2347.98388671875,251.72923278808594,2444.853759765625,2018.7979736328125,1578.9681396484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01568627543747425,0.013725491240620613,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.01568627543747425,0.01764705963432789,0.01568627543747425,184.14710998535156,-20.309310913085938,-2.2844595909118652,184.08558654785156,-20.95928955078125,-2.4374847412109375,188.59898376464844,-23.9960880279541,-4.583279609680176,188.59898376464844,-23.9960880279541,-4.583279609680176,191.35836791992188,-24.08318519592285,-4.6494646072387695,193.0778045654297,-24.111337661743164,-4.519629955291748,193.0778045654297,-24.111337661743164,-4.519629955291748,193.21707153320313,-23.334571838378906,-3.675997495651245,193.21707153320313,-23.334571838378906,-3.675997495651245,191.0675811767578,-20.413421630859375,-1.3314546346664429,6.4031242374328485,12.34503465114659,1.0,0.005095634563456346,0.75,0.0,12.94,100
L-1:6,8.31038506929733,2.859416158643754,2.2291837535555623,10.434160053902136,2.667077281607125,6.485560885536423,6.813346175084946,2.7175702801276906,0.28973780274360666,7.830073760162409,2941.76708984375,31.133331298828125,1467.2974853515625,1374.6392822265625,1436.922607421875,2147.034423828125,961.3209838867188,2770.536865234375,2725.80810546875,1202.4393310546875,2517.332763671875,356.7519226074219,1905.0089111328125,1884.06005859375,621.3704833984375,1587.5828857421875,65.5958480834961,1597.0120849609375,1816.2454833984375,2637.209228515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.01568627543747425,189.5448455810547,-20.08653450012207,-1.2803484201431274,186.92193603515625,-19.70387077331543,-1.555685043334961,188.36697387695313,-20.678293228149414,-2.1913881301879883,188.36697387695313,-20.678293228149414,-2.1913881301879883,191.0919952392578,-21.49012565612793,-2.943352222442627,191.0919952392578,-21.49012565612793,-2.943352222442627,192.41558837890625,-21.706073760986328,-2.9647326469421387,191.1707000732422,-20.695816040039063,-1.9484175443649292,191.1707000732422,-20.695816040039063,-1.9484175443649292,189.5448455810547,-20.08653450012207,-1.2803484201431274,18.527007313648905,8.537212476192165,1.0,0.004752890501020177,7.75,0.0,11.98,0
L-1:7,9.089829481348922,5.281434452332013,6.733905031682563,4.308206016658911,2.120579151572912,9.055385138137417,3.686053111597493,5.851851123704726,6.1616237231881685,10.966310676485955,1402.8740234375,446.551513671875,2437.227294921875,3054.566162109375,1532.8048095703125,2906.078857421875,622.9905395507813,2552.607177734375,2738.65234375,3056.643798828125,3273.419189453125,114.92713165283203,3131.5185546875,2485.6494140625,136.76405334472656,1901.6566162109375,440.8243408203125,1830.64111328125,1990.0858154296875,1154.327880859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.01764705963432789,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.013725491240620613,0.011764707043766975,190.7364044189453,-19.37055015563965,-0.8793123364448547,188.48094177246094,-20.097408294677734,-2.230788230895996,190.2324981689453,-21.004301071166992,-2.4468939304351807,190.2324981689453,-21.004301071166992,-2.4468939304351807,192.63172912597656,-21.40814208984375,-2.930250406265259,192.63172912597656,-21.40814208984375,-2.930250406265259,193.18795776367188,-21.2578182220459,-2.7144856452941895,193.18795776367188,-21.2578182220459,-2.7144856452941895,191.17864990234375,-19.821409225463867,-1.3142390251159668,190.7364044189453,-19.37055015563965,-0.8793123364448547,11.621639299169459,9.09824011978955,1.0,0.004174801708358755,4.0,0.0,11.73,0
L-1:8,17.26267650163207,11.595115532382165,3.7295587086336943,7.587489227402574,14.927686035220791,18.33712082089225,17.847254801140135,0.8043403535629614,3.3832761945764283,10.299155862548211,3447.836181640625,449.1967468261719,2559.666015625,3590.75830078125,1783.1806640625,3173.945556640625,1651.4588623046875,4356.20361328125,2356.174072265625,2317.470458984375,3742.205078125,376.19342041015625,1650.0794677734375,3267.0341796875,646.0772705078125,2968.89208984375,244.43186950683594,122.06864929199219,1341.2469482421875,2025.436767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.011764707043766975,0.01568627543747425,0.01568627543747425,189.84103393554688,-19.551977157592773,-0.3270975351333618,190.54983520507813,-19.727943420410156,-0.36080634593963623,192.16871643066406,-20.185224533081055,-0.547264814376831,192.16871643066406,-20.185224533081055,-0.547264814376831,192.16871643066406,-20.185224533081055,-0.547264814376831,192.29754638671875,-20.256093978881836,-0.43491873145103455,192.29754638671875,-20.256093978881836,-0.43491873145103455,192.0406951904297,-19.851842880249023,-0.04316529259085655,192.0406951904297,-19.851842880249023,-0.04316529259085655,189.84103393554688,-19.551977157592773,-0.3270975351333618,8.355387483534201,7.364851650711858,1.0,0.0037458677685950413,8.0,3.36,10.36,0
L-1:9,15.323592920721955,4.500885435135948,6.683321181190375,9.319767125586509,9.987553158414778,7.420411039827915,8.587762949076762,3.9114267129324825,2.907881487328164,6.79258836889147,2377.3193359375,204.17555236816406,1963.50048828125,1697.8209228515625,980.1296997070313,2189.737060546875,1387.8887939453125,2812.52587890625,2304.6708984375,2401.45654296875,2591.611083984375,194.51821899414063,1757.91357421875,2235.155517578125,788.7802734375,3536.57421875,747.7737426757813,2545.386962890625,2041.2991943359375,1959.3685302734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.019607843831181526,188.7156982421875,-19.943336486816406,-1.7408488988876343,189.7742462158203,-20.304847717285156,-1.8007986545562744,189.7742462158203,-20.304847717285156,-1.8007986545562744,192.9710235595703,-22.283418655395508,-2.818094253540039,192.9710235595703,-22.283418655395508,-2.818094253540039,193.70777893066406,-22.239410400390625,-2.526043176651001,193.70777893066406,-22.239410400390625,-2.526043176651001,192.69607543945313,-20.600139617919922,-1.0727248191833496,192.69607543945313,-20.600139617919922,-1.0727248191833496,191.73910522460938,-19.549283981323242,-0.09654554724693298,8.00390529679106,6.487121373688729,1.0,0.0044172652960118896,1.75,0.0,10.19,0
L-1:10,7.5,4.927367130228368,3.1871596078857007,4.356526211353391,0.6369931175823107,2.7613402542968153,3.2155515859596333,0.609582892309404,2.7090256303043043,4.930408133907089,2491.306884765625,31.17678451538086,1632.2950439453125,724.4287719726563,232.92576599121094,1885.750244140625,850.9071044921875,1726.9552001953125,853.6751098632813,414.2183837890625,1380.0108642578125,147.6717987060547,1262.3284912109375,1173.6220703125,413.6822509765625,879.62646484375,392.1436462402344,1333.50732421875,1885.470703125,1260.926513671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01764705963432789,191.28294372558594,-20.247926712036133,-0.9342646598815918,188.10569763183594,-20.128049850463867,-2.350574493408203,188.76150512695313,-20.462181091308594,-2.698740005493164,189.8844451904297,-21.32217788696289,-2.566424608230591,190.97457885742188,-21.42951774597168,-2.4719574451446533,191.96682739257813,-21.478750228881836,-2.400644063949585,192.4362335205078,-21.2562255859375,-2.136775255203247,192.3726806640625,-20.66706085205078,-1.6477597951889038,191.85911560058594,-20.236909866333008,-1.2713193893432617,191.85911560058594,-20.236909866333008,-1.2713193893432617,12.013013776733963,4.323000071922859,1.0,0.007157107231920199,2.5,0.0,18.04,0
