Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.684512611868091,9.61085477008222,13.341990398345887,4.243859950945271,7.517104181913076,10.646895860191652,6.69006348683747,3.8541953395933497,2.1912144362343935,3.0327345210186114,1911.9364013671875,634.9373779296875,1326.898193359375,1277.566650390625,766.7785034179688,1466.3101806640625,365.71490478515625,1363.7171630859375,1087.5279541015625,667.4940795898438,942.6798706054688,22.39472770690918,1354.7210693359375,466.8171081542969,222.66770935058594,843.2691040039062,291.3741455078125,981.6630249023438,371.1423034667969,557.5877685546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05490196496248245,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05098039656877518,191.1681671142578,-38.56608200073242,-5.423327922821045,191.1681671142578,-38.56608200073242,-5.423327922821045,190.638671875,-39.83381271362305,-6.883956432342529,190.638671875,-39.83381271362305,-6.883956432342529,189.3955841064453,-43.2752571105957,-9.760787963867188,188.57266235351562,-45.39324951171875,-10.965554237365723,188.57266235351562,-45.39324951171875,-10.965554237365723,187.93447875976562,-45.33790969848633,-10.810129165649414,187.39599609375,-44.39049530029297,-9.500848770141602,190.7242431640625,-40.12433624267578,-6.413763046264648,14.69588701559991,16.498275350025523,1.0,0.010359699355762348,5.333333492279053,0.0,16.54,64
L-1:2,18.2735328661495,9.649832281461833,6.427527363082969,6.285130690409681,0.7623867052649179,8.383557223083718,7.585638335476237,1.558166075355702,10.330956230671369,4.900929312413108,1154.2332763671875,716.80615234375,889.0745849609375,794.2100830078125,594.2496948242188,1371.750732421875,793.0556640625,1897.5794677734375,1632.9024658203125,590.4201049804688,953.7694702148438,163.22364807128906,769.536376953125,206.97955322265625,145.16818237304688,706.5907592773438,516.4743041992188,662.0250854492188,550.6098022460938,1139.7333984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05098039656877518,0.05490196496248245,192.0433807373047,-36.455265045166016,-3.2522082328796387,192.0534210205078,-36.41742706298828,-2.960697889328003,191.82118225097656,-38.26582717895508,-4.638672828674316,191.82118225097656,-38.26582717895508,-4.638672828674316,191.37258911132812,-40.691123962402344,-6.91437292098999,191.37258911132812,-40.691123962402344,-6.91437292098999,191.6707000732422,-40.132442474365234,-8.089884757995605,190.99398803710938,-39.811458587646484,-7.744126319885254,191.3743133544922,-38.10125732421875,-5.649872303009033,192.0433807373047,-36.455265045166016,-3.2522082328796387,12.366632109270457,11.245381635835276,1.0,0.009717087891361751,0.3333333432674408,0.0,14.72,68
L-1:3,12.083427981872768,1.4127001899923726,11.839585919572718,7.878315103171414,7.1573708939935035,4.802960793252762,16.334888341423326,10.481768914358724,0.5067397994238381,10.53087079123688,1772.9268798828125,187.8154754638672,2243.322265625,736.826416015625,504.30535888671875,2059.520263671875,373.1427307128906,2420.19482421875,1800.1036376953125,1077.277099609375,1830.974365234375,182.3490753173828,2332.640380859375,2069.224609375,997.0452270507812,1563.619873046875,486.0402526855469,2829.3349609375,837.96240234375,900.3591918945312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05490196496248245,0.0470588281750679,0.05098039656877518,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.062745101749897,0.05098039656877518,192.18853759765625,-30.545494079589844,-0.9791126251220703,192.18853759765625,-30.545494079589844,-0.9791126251220703,192.8080596923828,-31.584497451782227,-2.4550235271453857,192.8080596923828,-31.584497451782227,-2.4550235271453857,191.53285217285156,-34.93949890136719,-5.174826145172119,191.53285217285156,-34.93949890136719,-5.174826145172119,191.37945556640625,-35.70063400268555,-6.034390449523926,191.37945556640625,-35.70063400268555,-6.034390449523926,191.974609375,-32.79678726196289,-3.7146408557891846,191.974609375,-32.79678726196289,-3.7146408557891846,29.42179292624468,6.389154731731648,1.0,0.005575662581932174,0.0,0.0,11.18,100
L-1:4,22.010626000449648,7.448822778987969,1.629135703336898,14.223276625669929,6.713478835817188,13.544858316528888,19.16106576724896,19.104918943635607,10.573877899816072,8.271828013583086,1285.2620849609375,554.756103515625,1242.12548828125,1891.7303466796875,428.7992858886719,1386.0848388671875,109.19886016845703,1714.50439453125,1802.749755859375,405.8965148925781,1574.231689453125,529.7822875976562,628.263427734375,698.3936767578125,451.6271057128906,761.7758178710938,20.082962036132812,1657.029052734375,774.6600952148438,1702.4163818359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.062745101749897,0.05882353335618973,0.05882353335618973,0.062745101749897,198.95677185058594,-27.163837432861328,-3.122805118560791,198.96649169921875,-27.48501968383789,-2.7166762351989746,198.81027221679688,-27.684349060058594,-2.472513437271118,199.493896484375,-26.46600914001465,-4.051920413970947,199.1728515625,-27.434782028198242,-5.335192680358887,199.1728515625,-27.434782028198242,-5.335192680358887,198.94984436035156,-28.22437858581543,-5.251811981201172,198.94984436035156,-28.22437858581543,-5.251811981201172,198.63966369628906,-27.66213035583496,-4.14902400970459,198.63966369628906,-27.66213035583496,-4.14902400970459,17.256760049740414,16.353906102544478,1.0,0.008036732640053673,8.66666692495346,5.82,13.69,100
L-1:5,8.052056227190741,2.313833827197989,1.7388629728279559,5.002293316059956,4.135372558724886,11.724162312257603,6.892554175659065,3.368094121530299,5.072120535163196,5.651610472559432,1541.817138671875,280.21209716796875,1091.7926025390625,1004.1764526367188,432.7768249511719,1014.9654541015625,382.7991027832031,1742.583251953125,961.3644409179688,1020.5767822265625,1082.87890625,259.5190124511719,1230.632080078125,1197.3201904296875,391.7302551269531,743.7777709960938,443.7394714355469,1098.0384521484375,536.6445922851562,721.35205078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.05882353335618973,204.5745086669922,-26.574556350708008,-5.7487006187438965,204.4481964111328,-26.390108108520508,-5.65604305267334,204.4481964111328,-26.390108108520508,-5.65604305267334,204.4539337158203,-27.25224494934082,-6.403393268585205,205.2493438720703,-27.440080642700195,-9.956440925598145,203.91592407226562,-29.386138916015625,-11.04525375366211,203.91592407226562,-29.386138916015625,-11.04525375366211,203.39398193359375,-28.856233596801758,-10.726680755615234,203.46109008789062,-27.87589454650879,-8.552541732788086,204.3534393310547,-27.09795570373535,-6.928012847900391,11.726826270449042,6.239465801539695,1.0,0.008997202797202796,3.6666667759418488,0.0,18.38,44
L-1:6,8.025581495071412,15.108065629739865,7.2395296799078706,3.236125820558673,4.835310143338833,13.635629831821745,1.6359441597272917,1.4278512864291357,7.924180251651114,3.3455098006248294,1326.515869140625,27.639869689941406,812.9183959960938,710.448974609375,1057.270751953125,785.0487060546875,749.9104614257812,1356.648193359375,1057.8994140625,1245.6060791015625,1497.2164306640625,359.1297607421875,1400.3668212890625,1172.380126953125,228.55996704101562,1457.6234130859375,357.9902648925781,1418.52099609375,917.1031494140625,724.7395629882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.062745101749897,0.062745101749897,0.05490196496248245,0.062745101749897,0.05882353335618973,0.062745101749897,0.05490196496248245,0.05882353335618973,0.062745101749897,205.4695587158203,-24.645402908325195,-6.841437339782715,205.4695587158203,-24.645402908325195,-6.841437339782715,204.91311645507812,-25.013235092163086,-6.604751110076904,205.60394287109375,-25.546092987060547,-7.882495880126953,205.60394287109375,-25.546092987060547,-7.882495880126953,205.11094665527344,-26.82527732849121,-8.666600227355957,204.90777587890625,-26.914379119873047,-8.982221603393555,204.90777587890625,-26.914379119873047,-8.982221603393555,205.30706787109375,-25.214338302612305,-8.562261581420898,205.42645263671875,-24.40762710571289,-7.325601100921631,14.803177828261216,7.437562185358987,1.0,0.009630564908342685,6.333333522081375,0.0,14.71,4
L-1:7,14.366639556402566,20.689962722958708,11.938518824778717,6.30341263169897,0.3026433949786905,14.060168064752302,6.9447405597640595,7.362560702106771,3.588673052168699,11.505154736435752,2363.4169921875,309.73822021484375,1540.803955078125,665.3018188476562,141.37733459472656,1479.9056396484375,797.2716064453125,1842.9534912109375,1332.705810546875,1924.79931640625,1914.567138671875,584.9560546875,2460.18212890625,1249.7286376953125,92.42078399658203,1764.1104736328125,286.853271484375,1388.2510986328125,1156.9893798828125,1732.9990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.062745101749897,0.062745101749897,0.05882353335618973,0.05490196496248245,0.05490196496248245,208.54957580566406,-17.048959732055664,0.07854592800140381,208.54957580566406,-17.048959732055664,0.07854592800140381,207.9568634033203,-19.092464447021484,-0.5935813188552856,208.28372192382812,-19.610292434692383,-4.5570807456970215,208.28372192382812,-19.610292434692383,-4.5570807456970215,206.97250366210938,-22.025636672973633,-6.135429859161377,206.5933837890625,-21.107481002807617,-5.797731399536133,206.5933837890625,-21.107481002807617,-5.797731399536133,206.913330078125,-18.531091690063477,-2.468205213546753,206.913330078125,-18.531091690063477,-2.468205213546753,4.714554589709166,7.293230046396143,1.0,0.006560556707136512,7.3333335518836975,0.0,12.66,44
L-1:8,6.345642230656399,2.809254443565508,11.571007919969253,24.711172948834005,24.672531127708023,15.262604412002316,6.043329364512893,21.813347766808167,1.2862125460000622,1.6198167573555415,2086.100830078125,134.84104919433594,1846.259521484375,2448.818115234375,0.0,0.0,752.1539306640625,1572.252685546875,1584.7813720703125,1318.3525390625,1568.8946533203125,210.85862731933594,2047.7547607421875,827.9551391601562,230.81472778320312,2161.67529296875,623.5795288085938,1239.4404296875,1517.9156494140625,1564.725341796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.06666667014360428,0.062745101749897,0.05490196496248245,0.05882353335618973,0.05490196496248245,208.8699493408203,-21.878765106201172,-4.258674144744873,208.94036865234375,-22.0900936126709,-3.874718189239502,208.77073669433594,-22.23546600341797,-3.6456055641174316,210.9606475830078,-20.603883743286133,-8.978973388671875,210.9606475830078,-20.603883743286133,-8.978973388671875,210.39881896972656,-22.533592224121094,-11.03573989868164,210.39881896972656,-22.533592224121094,-11.03573989868164,209.2154083251953,-23.28032875061035,-10.598849296569824,208.99227905273438,-21.716960906982422,-7.087353229522705,208.8699493408203,-21.878765106201172,-4.258674144744873,11.54625658833344,12.03813669885329,1.0,0.007034944823962165,7.000000208616257,6.06,15.3,0
L-1:9,27.042216971500576,33.313662544287716,29.190968893185637,11.793444859241815,3.146117871115129,2.313705153472139,8.65932366078427,23.539816867474947,26.019565824294986,22.37784341022572,1082.1502685546875,255.23594665527344,467.4128723144531,339.3028259277344,504.941650390625,1005.4886474609375,79.0296630859375,592.1251220703125,882.6572265625,1173.21240234375,1169.4105224609375,432.5071105957031,1132.791259765625,1615.868896484375,211.32412719726562,1209.659423828125,127.98464965820312,1161.6240234375,1148.1558837890625,817.2333374023438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05490196496248245,212.57713317871094,-18.707347869873047,-6.852682590484619,212.51663208007812,-18.391263961791992,-6.5248565673828125,212.72071838378906,-18.02584457397461,-6.893509864807129,212.33831787109375,-18.6408748626709,-7.586892604827881,212.36546325683594,-19.807615280151367,-8.588839530944824,212.36546325683594,-19.807615280151367,-8.588839530944824,212.24354553222656,-20.3321475982666,-9.156771659851074,212.24354553222656,-20.3321475982666,-9.156771659851074,212.6619873046875,-19.44211769104004,-7.805756568908691,212.57713317871094,-18.707347869873047,-6.852682590484619,17.098353611822084,17.639907824866786,1.0,0.01031585540443808,20.33333393931389,0.0,16.47,0
L-1:10,8.808838065560765,2.425154646628441,1.3116397943055857,5.850713015706125,7.310592173647388,17.274330585289107,7.264634346503214,1.2205267623675164,4.933736963856535,6.1844094512946794,1759.9263916015625,182.060546875,886.9191284179688,734.4976196289062,938.8089599609375,1447.9139404296875,436.8691711425781,1310.7366943359375,1477.1517333984375,1447.4212646484375,1738.25634765625,132.33209228515625,1065.91845703125,1109.6883544921875,203.5539093017578,618.4557495117188,453.3908386230469,1750.969482421875,894.581787109375,595.2977905273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05882353335618973,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.05882353335618973,213.70904541015625,-17.731124877929688,-6.229440689086914,213.70904541015625,-17.731124877929688,-6.229440689086914,213.73143005371094,-17.796239852905273,-6.3209004402160645,213.73233032226562,-19.45681381225586,-7.651340484619141,213.73233032226562,-19.45681381225586,-7.651340484619141,212.96800231933594,-21.22779083251953,-9.850180625915527,213.00335693359375,-21.525630950927734,-9.638346672058105,213.00335693359375,-21.525630950927734,-9.638346672058105,213.39675903320312,-18.15753746032715,-7.657664775848389,213.39675903320312,-18.15753746032715,-7.657664775848389,25.362148189056118,3.2496106749410734,1.0,0.007820630547903275,5.333333492279053,0.0,14.6,0
