Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.766112283504533,8.528598638225596,7.776311493240998,1.8446295787684597,9.214038421080401,9.031195934094221,8.694149871384674,9.17725644459273,6.340069143292728,7.26254543233876,1355.9835205078125,16.258115768432617,1366.0565185546875,832.1061401367188,566.9962768554688,1515.24267578125,140.10269165039062,1500.289794921875,1268.7740478515625,1037.9056396484375,1674.45703125,3.8548216819763184,1205.510986328125,765.7656860351562,329.1064453125,1243.6041259765625,405.7226257324219,1230.018310546875,341.3327331542969,0.27973678708076477,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.19607844948768616,0.18431372940540314,0.19607844948768616,0.1764705926179886,0.18431372940540314,0.118832528591156,0.11674774438142776,0.11257818341255188,0.11674774438142776,0.12508687376976013,0.13134121894836426,0.12717165052890778,0.12300208956003189,0.12717165052890778,0.0938151553273201,66.59173583984375,-42.995872497558594,-14.83019733428955,67.10968017578125,-43.1352424621582,-15.332419395446777,67.84530639648438,-43.227264404296875,-16.040414810180664,68.91641235351562,-43.23045349121094,-16.821008682250977,69.97262573242188,-42.79444122314453,-17.411666870117188,71.04324340820312,-42.10301971435547,-17.47287368774414,71.04324340820312,-42.10301971435547,-17.47287368774414,73.00375366210938,-39.99918746948242,-16.729827880859375,75.34768676757812,-38.79511642456055,-15.45683765411377,75.34768676757812,-38.79511642456055,-15.45683765411377,10.307764064044152,8.742973542972582,1.0,0.007238085240394709,3.5,0.0,19.7,76
L-1:2,1.8027756377319946,3.6085768059371865,2.570228631456493,6.200139958057897,7.041836918095431,5.942432162002357,11.54820530309067,7.952648584429708,1.7494079131042781,3.7515423990607526,2015.925537109375,93.98528289794922,1533.1685791015625,1540.2181396484375,520.8934936523438,2201.96142578125,552.975830078125,1357.1331787109375,1080.837890625,786.9513549804688,1330.737060546875,167.44654846191406,1106.3656005859375,826.8560791015625,463.4574890136719,1463.5853271484375,279.88739013671875,1545.8682861328125,1472.06640625,974.0381469726562,0.18039216101169586,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.18039216101169586,0.19607844948768616,0.1882353127002716,0.1882353127002716,0.18039216101169586,0.18431372940540314,0.12300208956003189,0.11674774438142776,0.11674774438142776,0.11674774438142776,0.118832528591156,0.11466296762228012,0.12925642728805542,0.118832528591156,0.108408622443676,0.12925642728805542,63.8834228515625,-43.152183532714844,-13.784956932067871,63.8834228515625,-43.152183532714844,-13.784956932067871,63.24176025390625,-43.27321243286133,-13.447460174560547,63.41900634765625,-43.38700485229492,-13.43865966796875,66.4124755859375,-42.680572509765625,-14.49600887298584,66.49249267578125,-43.40486145019531,-15.36009407043457,66.49249267578125,-43.40486145019531,-15.36009407043457,66.19314575195312,-43.5186882019043,-15.328805923461914,65.7138671875,-43.5120849609375,-15.234040260314941,64.94818115234375,-43.16191101074219,-14.466964721679688,7.115124735378854,3.762910803993455,-1.0,0.007000763025942883,4.25,0.0,18.35,64
L-1:3,4.5069390943299865,1.9282738453945343,1.3073687328684407,3.541335959211939,1.5412101565410055,2.3048861143232218,3.227945969120809,5.2622186827653925,6.905578699750452,1.7026305374082702,1791.349853515625,110.0038070678711,1697.429443359375,922.4521484375,334.9665222167969,1787.1162109375,621.2186279296875,1737.4820556640625,1010.0078735351562,753.3899536132812,2027.2784423828125,30.434608459472656,1559.265625,1184.836669921875,540.4398193359375,1566.5572509765625,428.1051940917969,1369.979736328125,1256.071533203125,941.8462524414062,0.2039215862751007,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.20000001788139343,0.19607844948768616,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.12091730535030365,0.12091730535030365,0.12508687376976013,0.13134121894836426,0.1334259957075119,0.12925642728805542,0.12091730535030365,0.12717165052890778,0.12091730535030365,0.12925642728805542,65.00604248046875,-43.60602951049805,-14.407702445983887,64.3758544921875,-43.65642166137695,-14.04832649230957,64.039306640625,-43.89870071411133,-13.973340034484863,64.039306640625,-43.89870071411133,-13.973340034484863,64.01715087890625,-44.20581817626953,-14.302315711975098,64.31292724609375,-44.30154037475586,-14.75568675994873,64.59817504882812,-44.6043586730957,-14.905637741088867,65.37109375,-43.99605178833008,-14.448436737060547,65.42758178710938,-43.976165771484375,-14.667717933654785,65.00604248046875,-43.60602951049805,-14.407702445983887,11.070794912742265,1.8048512912796217,-1.0,0.006834066471163245,5.0,0.0,15.98,36
L-1:4,15.502015997927495,2.2840421689739325,2.2949054397516435,0.5842371281639637,19.29274645850643,9.303897032964201,6.11730529430495,4.60419152438607,5.288223836772378,14.148452610494056,1570.127685546875,170.6193389892578,1211.32373046875,492.1252136230469,429.9249572753906,1679.135986328125,96.2149887084961,1096.01318359375,902.5503540039062,657.358154296875,1263.632568359375,227.97769165039062,1093.37109375,909.4755249023438,277.268310546875,1181.343994140625,338.7601623535156,1271.4173583984375,1453.5250244140625,1059.076904296875,0.1764705926179886,0.18039216101169586,0.16862745583057404,0.1725490242242813,0.19607844948768616,0.1882353127002716,0.19607844948768616,0.20000001788139343,0.18431372940540314,0.18431372940540314,0.12925642728805542,0.11049339920282364,0.12300208956003189,0.11466296762228012,0.1334259957075119,0.1334259957075119,0.13551077246665955,0.13134121894836426,0.13134121894836426,0.10632383823394775,62.938812255859375,-43.77156448364258,-14.01264476776123,63.139251708984375,-43.95487976074219,-14.165860176086426,63.515289306640625,-44.276206970214844,-14.380607604980469,63.72149658203125,-44.5247688293457,-14.396444320678711,64.30322265625,-44.569786071777344,-14.585737228393555,64.588623046875,-44.477378845214844,-14.49601936340332,64.7696533203125,-44.62815475463867,-14.528218269348145,64.67868041992188,-44.45529556274414,-14.427063941955566,64.89056396484375,-44.440311431884766,-13.977660179138184,63.31304931640625,-43.64564514160156,-13.885773658752441,15.831140198987564,14.67273852005505,1.0,0.008042061082336132,2.75,3.62,25.73,108
L-1:5,3.5794552658190883,1.6300971817746435,4.247548748271336,2.7184379904811085,2.3228326886571455,0.9013878188659973,6.709261939569085,4.494715010173474,3.077879651104454,5.139807213050799,1283.0316162109375,67.7630615234375,1093.0858154296875,621.7359008789062,337.218505859375,920.8919677734375,274.0057678222656,1070.856689453125,1014.0891723632812,721.4740600585938,1076.43115234375,20.166929244995117,1144.2960205078125,981.9637451171875,670.185546875,1107.0509033203125,549.0383911132812,1180.8251953125,850.5133056640625,739.3197021484375,0.18039216101169586,0.1882353127002716,0.18431372940540314,0.20784315466880798,0.20000001788139343,0.18431372940540314,0.19607844948768616,0.19607844948768616,0.1882353127002716,0.18431372940540314,0.11674774438142776,0.108408622443676,0.12300208956003189,0.12925642728805542,0.13759556412696838,0.13134121894836426,0.13134121894836426,0.12717165052890778,0.12300208956003189,0.12508687376976013,63.197662353515625,-43.42789840698242,-13.65368366241455,63.481781005859375,-43.37443923950195,-13.439777374267578,62.661865234375,-43.722965240478516,-13.971884727478027,62.753936767578125,-43.72878646850586,-13.985419273376465,62.994384765625,-43.66507339477539,-13.98629093170166,63.02142333984375,-43.60946273803711,-13.998011589050293,63.079315185546875,-43.56086349487305,-13.919876098632812,62.873626708984375,-43.36997604370117,-13.972099304199219,62.72039794921875,-43.53601837158203,-13.82172679901123,63.127899169921875,-43.602752685546875,-13.745665550231934,4.5069390943299865,3.637701848792936,1.0,0.008404656319290466,0.75,0.0,21.66,44
L-1:6,3.010398644698074,5.960578645787451,5.204375912367441,4.78331010453765,0.8516002992725145,2.0,2.2737902820985,1.7854196079262195,2.7633849033461284,1.180072644392292,1238.8837890625,36.506595611572266,1000.7879028320312,712.4840087890625,290.00555419921875,1217.228759765625,430.9284973144531,930.5316162109375,864.6188354492188,614.3453979492188,1048.5772705078125,93.21324157714844,1032.2181396484375,691.6723022460938,355.64794921875,1043.7933349609375,197.15476989746094,1118.457275390625,788.1429443359375,562.3167724609375,0.1882353127002716,0.2039215862751007,0.19607844948768616,0.20000001788139343,0.20000001788139343,0.1882353127002716,0.1882353127002716,0.18039216101169586,0.18431372940540314,0.1882353127002716,0.11466296762228012,0.12925642728805542,0.118832528591156,0.118832528591156,0.12925642728805542,0.12717165052890778,0.13134121894836426,0.12717165052890778,0.12300208956003189,0.12091730535030365,59.381805419921875,-46.83551788330078,-14.927303314208984,59.60791015625,-46.95851516723633,-15.283310890197754,59.29559326171875,-47.49276351928711,-15.825252532958984,58.848846435546875,-48.21677780151367,-16.13006591796875,58.49713134765625,-48.6732063293457,-16.584848403930664,58.32171630859375,-48.63412094116211,-16.675447463989258,58.909698486328125,-47.392578125,-16.33662986755371,60.156341552734375,-45.921409606933594,-15.571704864501953,62.37518310546875,-43.879905700683594,-13.799241065979004,62.792266845703125,-43.582061767578125,-13.566010475158691,14.76905548774193,2.64984958381232,1.0,0.0089520202020202,2.75,0.0,21.27,36
L-1:7,4.366062299143245,4.440673260114833,2.303409866831398,3.490258144901586,1.6320506946500994,2.7613402542968153,8.741795476707349,10.077035845291201,2.161224772052063,7.790612505073578,1489.73974609375,55.83665084838867,1299.09814453125,696.3563842773438,601.857177734375,1208.678466796875,437.87335205078125,1297.823974609375,1032.9984130859375,662.9830322265625,1230.8609619140625,63.93574142456055,955.76220703125,919.449462890625,319.59088134765625,877.9757080078125,160.48590087890625,228.49755859375,1114.845703125,1019.2763061523438,0.20000001788139343,0.20784315466880798,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.18431372940540314,0.18431372940540314,0.1764705926179886,0.20784315466880798,0.18431372940540314,0.11674774438142776,0.12717165052890778,0.11674774438142776,0.12508687376976013,0.14384989440441132,0.13551077246665955,0.13551077246665955,0.13134121894836426,0.11049339920282364,0.1334259957075119,59.765838623046875,-47.58205032348633,-15.657546997070312,59.765838623046875,-47.58205032348633,-15.657546997070312,59.540283203125,-48.086761474609375,-15.733734130859375,59.9444580078125,-48.06050491333008,-15.951045036315918,60.148529052734375,-47.94009017944336,-16.10788345336914,60.226959228515625,-47.82615661621094,-15.972647666931152,60.164764404296875,-47.756038665771484,-16.20801544189453,59.956085205078125,-47.5956916809082,-15.918137550354004,60.24481201171875,-47.34874725341797,-15.449583053588867,60.028717041015625,-47.35350036621094,-15.473509788513184,5.618051263561058,2.510635596392706,1.0,0.008479206963249516,3.5,0.0,20.04,4
L-1:8,1.6007810593582121,2.044227565508817,6.144226105306811,19.790365359283776,16.265738780543582,6.046693311223912,1.6789640029254103,10.949105178656485,14.428253424041792,0.637459977369403,0.0,0.0,1286.665771484375,926.1103515625,917.7147216796875,1429.0262451171875,495.1429443359375,1476.3212890625,1245.8414306640625,710.9258422851562,1609.9676513671875,23.769363403320312,1519.2025146484375,1383.580810546875,308.2547607421875,1727.9202880859375,350.69482421875,1368.24072265625,866.692626953125,900.4511108398438,0.18039216101169586,0.18431372940540314,0.20784315466880798,0.21568629145622253,0.21568629145622253,0.19215688109397888,0.19607844948768616,0.18431372940540314,0.1882353127002716,0.18039216101169586,0.07713690400123596,0.13134121894836426,0.12717165052890778,0.12925642728805542,0.13551077246665955,0.13968034088611603,0.14384989440441132,0.12717165052890778,0.12300208956003189,0.118832528591156,61.6436767578125,-46.64958572387695,-14.718803405761719,59.75592041015625,-47.91011428833008,-15.435297012329102,60.09600830078125,-47.81816864013672,-15.793292045593262,60.420379638671875,-47.73215103149414,-16.037464141845703,60.8433837890625,-47.55915451049805,-16.03864860534668,61.1011962890625,-47.303524017333984,-16.070575714111328,61.248046875,-47.155860900878906,-15.92120361328125,61.248046875,-47.155860900878906,-15.92120361328125,61.43994140625,-47.00508117675781,-15.724788665771484,61.888092041015625,-46.69083023071289,-14.85100269317627,12.905909499140307,10.072804034062168,1.0,0.0068341392649903295,3.75,3.08,20.19,68
L-1:9,0.5590169943749475,5.409854489797572,9.503077536761289,13.106709179798388,6.61901185451294,1.6007810593582121,1.495243464528352,5.887804548340703,3.7526955997562967,3.7520036156993197,1212.3489990234375,225.05006408691406,1049.2191162109375,790.7175903320312,656.018310546875,1092.4112548828125,405.2380065917969,1002.0372924804688,932.132568359375,551.431884765625,1257.484619140625,28.95602798461914,930.3676147460938,664.8594360351562,325.4240417480469,1310.0836181640625,107.60002899169922,962.5446166992188,1432.9654541015625,868.6726684570312,0.20784315466880798,0.20000001788139343,0.19215688109397888,0.20000001788139343,0.19215688109397888,0.18039216101169586,0.19215688109397888,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.12508687376976013,0.12717165052890778,0.13551077246665955,0.1334259957075119,0.12717165052890778,0.12508687376976013,0.12925642728805542,0.11674774438142776,0.12508687376976013,0.11674774438142776,59.35601806640625,-47.63615798950195,-14.73396110534668,59.399871826171875,-47.66804885864258,-14.84442138671875,59.428741455078125,-47.65658950805664,-15.145761489868164,59.85589599609375,-47.758819580078125,-15.41882038116455,60.388153076171875,-47.79390335083008,-15.490421295166016,60.60003662109375,-47.566162109375,-15.621959686279297,60.35418701171875,-47.71888732910156,-15.469117164611816,60.35418701171875,-47.71888732910156,-15.469117164611816,60.576019287109375,-47.6142463684082,-15.382627487182617,59.523223876953125,-47.61558532714844,-14.713111877441406,4.7762432936357,6.333309587753033,1.0,0.008951098059244126,3.5,0.0,20.03,0
L-1:10,0.7071067811865476,4.262855425508217,4.612614243787376,2.867111348953988,1.0153133577505973,3.5,1.266411728443087,6.076914236629415,9.095456701796385,2.0028491593336972,1301.5999755859375,141.84117126464844,851.599365234375,402.8298034667969,305.7060546875,1120.880126953125,353.1597900390625,1118.76611328125,746.7550048828125,502.04913330078125,874.7095947265625,62.40859603881836,963.634033203125,1014.1409301757812,279.37200927734375,1022.6803588867188,301.1654052734375,1059.718505859375,695.0478515625,662.2788696289062,0.18431372940540314,0.19215688109397888,0.18431372940540314,0.19607844948768616,0.19215688109397888,0.19607844948768616,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.18431372940540314,0.12925642728805542,0.12091730535030365,0.12508687376976013,0.12717165052890778,0.14176511764526367,0.13551077246665955,0.13551077246665955,0.12925642728805542,0.118832528591156,0.12508687376976013,58.550048828125,-48.644874572753906,-15.161198616027832,58.59136962890625,-48.587257385253906,-15.307680130004883,58.653839111328125,-48.72806930541992,-15.649923324584961,58.877105712890625,-48.772064208984375,-15.953558921813965,58.88604736328125,-48.723182678222656,-15.97854232788086,59.125946044921875,-48.71952438354492,-16.08432388305664,59.1890869140625,-48.494564056396484,-16.155019760131836,58.9693603515625,-48.5762939453125,-16.063886642456055,59.43212890625,-48.26466751098633,-15.697100639343262,59.469970703125,-48.199214935302734,-15.230159759521484,14.108951059522463,5.803316525363109,1.0,0.010108807622971928,0.75,0.0,22.43,0
