Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,16.387665226099607,16.942284001555432,0.7361998416173484,23.697514964209873,27.72538351687407,26.699979988389103,26.78150437520368,33.08484909249351,28.469628439700923,24.436450872174234,846.5325927734375,14.413331985473633,1822.204833984375,1369.376953125,131.83926391601563,701.1455078125,801.350830078125,1140.9859619140625,1233.596923828125,840.054931640625,1095.8450927734375,89.810791015625,528.2132568359375,541.0361938476563,716.1073608398438,1739.1395263671875,371.19403076171875,1002.7679443359375,968.042236328125,973.6357421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1764705926179886,0.15882353484630585,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.1411764770746231,164.78341674804688,-35.722496032714844,-7.973477363586426,166.21823120117188,-35.852378845214844,-5.35315465927124,163.63584899902344,-31.872722625732422,-5.005214214324951,159.7943878173828,-34.63588333129883,-6.969095706939697,159.7943878173828,-34.63588333129883,-6.969095706939697,157.79592895507813,-37.17792892456055,-9.44231128692627,157.79592895507813,-37.17792892456055,-9.44231128692627,161.91531372070313,-36.813629150390625,-9.267997741699219,161.91531372070313,-36.813629150390625,-9.267997741699219,164.78341674804688,-35.722496032714844,-7.973477363586426,13.38739081765746,13.074717020741037,-1.0,0.009493577075098814,20.66666728258133,0.0,10.98,4
L-1:2,13.186694022895749,4.401489092149306,18.63992434896498,7.005686460044777,6.998548510490554,8.339997584015824,11.533098134096772,22.163517126673177,17.882927653931787,21.323657725523713,2944.056640625,418.2226257324219,3100.136962890625,559.2591552734375,939.610595703125,2337.024658203125,1337.9715576171875,2883.467529296875,2439.6787109375,1327.7490234375,1889.0035400390625,38.339717864990234,1688.24365234375,902.5646362304688,1500.748046875,2885.0419921875,520.4219360351563,1880.4788818359375,1548.4830322265625,1679.603271484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,175.5582275390625,-47.224342346191406,-8.266435623168945,175.5582275390625,-47.224342346191406,-8.266435623168945,175.62791442871094,-45.97445297241211,-8.999855041503906,175.62791442871094,-45.97445297241211,-8.999855041503906,171.25816345214844,-46.90690231323242,-10.684423446655273,171.25816345214844,-46.90690231323242,-10.684423446655273,171.25816345214844,-46.90690231323242,-10.684423446655273,168.45703125,-48.62765884399414,-11.419443130493164,168.45703125,-48.62765884399414,-11.419443130493164,168.45703125,-48.62765884399414,-11.419443130493164,22.123392000721932,7.607315554955436,1.0,0.0056097354138398905,5.333333492279053,0.0,9.45,32
L-1:3,13.731553691929497,3.1231416118108606,4.560793692574508,1.5326509707786533,3.195627758980917,13.270686553760187,15.360928213207911,9.252377610551113,4.951564879231351,5.004500507457966,2060.153076171875,66.21469116210938,1474.075439453125,28.99221420288086,1080.9139404296875,2777.65869140625,822.7628173828125,2644.12890625,1408.794189453125,1273.0667724609375,4431.791015625,432.7375183105469,2705.333984375,1886.6485595703125,1023.1583251953125,2323.635986328125,772.239990234375,2106.716064453125,817.917724609375,762.9991455078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.1411764770746231,194.89268493652344,-53.83441162109375,-0.30654406547546387,197.82980346679688,-54.824031829833984,-1.1772847175598145,197.82980346679688,-54.824031829833984,-1.1772847175598145,185.4102020263672,-54.10545349121094,-4.077239990234375,185.4102020263672,-54.10545349121094,-4.077239990234375,185.4102020263672,-54.10545349121094,-4.077239990234375,176.4207763671875,-54.59233474731445,-5.149985313415527,176.4207763671875,-54.59233474731445,-5.149985313415527,176.4207763671875,-54.59233474731445,-5.149985313415527,178.69790649414063,-53.643070220947266,-2.355325222015381,5.467073318550385,12.061779769265897,1.0,0.005329545454545455,3.333333432674408,0.0,8.71,64
L-1:4,7.49073524132271,7.053003569419596,4.421646098711712,4.675528652701966,12.303228293313701,6.749485778255874,8.457426061908716,12.852883056864082,12.905540272704961,9.982861225753355,3021.097900390625,794.1702880859375,1570.8546142578125,3000.113525390625,1800.3092041015625,5015.0576171875,27.04099464416504,3141.705810546875,1570.331298828125,851.9814453125,1622.1231689453125,553.6669311523438,1892.852294921875,1747.1494140625,895.6569213867188,2583.16650390625,1065.6444091796875,2902.9453125,2801.9814453125,2111.524169921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.15882353484630585,178.71408081054688,-43.52350616455078,0.461625337600708,180.1645965576172,-42.49039077758789,1.301274299621582,180.1645965576172,-42.49039077758789,1.301274299621582,175.7378692626953,-46.45718002319336,3.4968149662017822,170.61575317382813,-47.75297546386719,-0.2401828020811081,170.61575317382813,-47.75297546386719,-0.2401828020811081,173.24505615234375,-46.68596649169922,-1.419542908668518,173.24505615234375,-46.68596649169922,-1.419542908668518,178.71408081054688,-43.52350616455078,0.461625337600708,178.71408081054688,-43.52350616455078,0.461625337600708,4.955356396787293,14.951699813104172,-1.0,0.004859189723320158,0.3333333432674408,3.87,8.43,32
L-1:5,15.132746401412529,18.532458597995,8.518905790939085,4.687064372678801,0.8040246991266696,7.753135797470118,5.706815244567197,11.598701585206195,2.5700341245607885,2.3143160041508866,3125.823974609375,753.80224609375,3002.583740234375,1724.162353515625,1473.0731201171875,2678.7978515625,1628.76513671875,3271.406005859375,770.9801025390625,108.60387420654297,2586.23974609375,422.62371826171875,1150.46240234375,1385.2735595703125,941.3919677734375,2574.547607421875,185.69398498535156,2604.800537109375,2389.55859375,974.4923706054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1764705926179886,0.15882353484630585,173.25653076171875,-36.29141616821289,-9.587485313415527,173.25653076171875,-36.29141616821289,-9.587485313415527,173.25653076171875,-36.29141616821289,-9.587485313415527,171.6658172607422,-37.15209197998047,-8.361620903015137,171.6658172607422,-37.15209197998047,-8.361620903015137,160.63735961914063,-40.94911193847656,-10.795683860778809,165.62416076660156,-39.167724609375,-12.611688613891602,165.62416076660156,-39.167724609375,-12.611688613891602,170.2894744873047,-37.88010025024414,-11.332622528076172,170.2894744873047,-37.88010025024414,-11.332622528076172,16.12451597714511,8.008770342488589,-1.0,0.005783617424242425,7.666666895151138,0.0,10.47,64
L-1:6,2.0000000596046448,2.5887524052526287,3.3512671821505187,1.991726597458076,8.124157557693374,9.098229647119155,5.724091723263839,2.2613849735476563,1.578609672500101,1.4485312360005753,2595.476318359375,218.38003540039063,1973.95556640625,609.3291015625,678.0759887695313,3849.189453125,817.1839599609375,2918.330322265625,2642.959228515625,1505.4810791015625,3420.17919921875,278.17633056640625,2790.5185546875,1344.5513916015625,915.6607666015625,2259.49951171875,1121.6878662109375,2316.087890625,589.4136352539063,639.3605346679688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15882353484630585,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,163.31114196777344,-38.04236602783203,-13.537529945373535,165.57363891601563,-39.53974151611328,-14.313773155212402,165.57363891601563,-39.53974151611328,-14.313773155212402,165.57363891601563,-39.53974151611328,-14.313773155212402,164.5201416015625,-39.629547119140625,-16.86481475830078,164.5201416015625,-39.629547119140625,-16.86481475830078,164.76490783691406,-39.748497009277344,-17.18783950805664,164.76490783691406,-39.748497009277344,-17.18783950805664,164.76490783691406,-39.748497009277344,-17.18783950805664,160.78115844726563,-36.38590621948242,-14.117384910583496,10.749677318096738,11.608371287800878,1.0,0.005401164671627305,6.333333522081375,0.0,9.54,100
L-1:7,11.455227193018752,4.718806390872113,3.87517088965963,12.256673790850362,11.891713638584669,15.391195632846955,17.95776229066544,2.899035188215483,6.0411118676361495,0.7114811093806855,1551.097412109375,113.21419525146484,2199.7998046875,1678.77685546875,414.2234191894531,3201.5146484375,1160.819580078125,2978.829833984375,1866.0771484375,1162.0718994140625,1851.9569091796875,424.2618408203125,2308.6943359375,1223.73779296875,825.180419921875,1447.744873046875,1056.505615234375,2678.6591796875,1112.2060546875,387.9944763183594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.15882353484630585,159.91119384765625,-30.41917610168457,-11.041783332824707,164.01962280273438,-34.37805938720703,-10.567526817321777,164.01962280273438,-34.37805938720703,-10.567526817321777,164.01962280273438,-34.37805938720703,-10.567526817321777,160.10287475585938,-34.12652587890625,-12.949278831481934,160.10287475585938,-34.12652587890625,-12.949278831481934,158.09315490722656,-33.985965728759766,-12.96735954284668,158.09315490722656,-33.985965728759766,-12.96735954284668,159.59671020507813,-32.09669876098633,-12.168915748596191,159.59671020507813,-32.09669876098633,-12.168915748596191,13.283239625985562,12.357160483497776,-1.0,0.00575518341307815,6.000000178813934,0.0,10.31,68
L-1:8,26.002137439265915,14.745597015213264,5.670076395248263,8.674176230223425,9.467856343281268,16.973836581158423,20.791217151167462,20.180926535253434,8.896647774293946,6.498072661024348,1998.7640380859375,245.3265838623047,2201.146240234375,2493.6142578125,9.876235008239746,2896.708740234375,1530.9757080078125,3077.526611328125,2026.323486328125,1011.6473388671875,2147.201171875,733.6771850585938,824.240478515625,562.8601684570313,1414.940185546875,3052.760009765625,260.5287170410156,2892.41796875,2070.481201171875,2382.05712890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1764705926179886,0.15882353484630585,166.57110595703125,-32.32756042480469,-10.430401802062988,166.57110595703125,-32.32756042480469,-10.430401802062988,160.5423126220703,-32.41790771484375,-11.155790328979492,160.5423126220703,-32.41790771484375,-11.155790328979492,158.53453063964844,-31.14520835876465,-13.471508026123047,158.53453063964844,-31.14520835876465,-13.471508026123047,164.76455688476563,-33.94390869140625,-14.17827033996582,165.80264282226563,-32.4940185546875,-14.380799293518066,165.80264282226563,-32.4940185546875,-14.380799293518066,165.80264282226563,-32.4940185546875,-14.380799293518066,29.851485125961037,12.888297091343102,-1.0,0.005346320346320347,5.333333492279053,4.13,9.88,32
L-1:9,8.027729958439853,11.52010939007659,4.766138512033118,2.8432559588233524,3.4334566016986034,2.027587570526223,11.317565605665198,11.265341414660712,10.828162936918195,12.514276078606798,2167.47607421875,294.6581726074219,839.076416015625,513.7046508789063,1181.9017333984375,3646.34375,61.09051513671875,39.375362396240234,1492.0738525390625,928.68017578125,1341.2723388671875,144.2936553955078,1461.2606201171875,1490.717041015625,799.3555297851563,1659.9486083984375,1054.288330078125,2312.452392578125,1879.8818359375,1226.094970703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15882353484630585,0.1411764770746231,0.15882353484630585,0.1411764770746231,0.1764705926179886,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.1411764770746231,158.08815002441406,-35.18145751953125,-10.746076583862305,158.08815002441406,-35.18145751953125,-10.746076583862305,160.31907653808594,-33.5732307434082,-9.556584358215332,157.7039337158203,-33.507286071777344,-10.27346420288086,156.03050231933594,-34.48301696777344,-12.703924179077148,156.03050231933594,-34.48301696777344,-12.703924179077148,153.345703125,-36.11248016357422,-12.876935958862305,153.49703979492188,-37.1686897277832,-13.093341827392578,153.49703979492188,-37.1686897277832,-13.093341827392578,153.49703979492188,-37.1686897277832,-13.093341827392578,21.934245822174248,18.511375161640167,-1.0,0.006602544213465716,2.3333334028720856,0.0,12.16,4
L-1:10,17.591033593531986,4.220232486474213,5.287189062332651,4.131027570209135,8.417771437139594,4.678556421971241,5.547339889968789,7.119618315295243,8.831883659924829,15.795406236578646,1564.0128173828125,74.08739471435547,1901.4427490234375,1642.8602294921875,1217.5244140625,2654.082763671875,1066.5584716796875,3283.8720703125,1495.1734619140625,1383.333984375,1926.1707763671875,761.58349609375,1456.040283203125,1328.814453125,701.0282592773438,1710.99560546875,717.962890625,2122.6533203125,1747.232177734375,791.79443359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.1411764770746231,0.1411764770746231,159.35267639160156,-30.27384376525879,-10.01719856262207,159.18911743164063,-33.059608459472656,-10.826581954956055,159.18911743164063,-33.059608459472656,-10.826581954956055,158.79312133789063,-32.345123291015625,-11.451004028320313,158.79312133789063,-32.345123291015625,-11.451004028320313,156.45314025878906,-33.33531188964844,-12.905800819396973,156.45314025878906,-33.33531188964844,-12.905800819396973,157.42941284179688,-31.641395568847656,-12.798111915588379,157.42941284179688,-31.641395568847656,-12.798111915588379,159.35267639160156,-30.27384376525879,-10.01719856262207,12.337837383244027,7.0830558068657945,-1.0,0.006802877257422711,4.0000001192092896,0.0,12.7,64
