Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.005554311391169,19.070101951931058,13.732811674247184,5.368449672819618,6.948308935865103,5.676462291147221,13.308105363649155,21.624353253832282,6.147446251056319,2.7572154392219095,2034.2552490234375,41.79148864746094,2721.293701171875,1730.5670166015625,1929.6326904296875,2630.103515625,505.2501220703125,2545.205322265625,1642.495849609375,1550.599853515625,3073.1884765625,308.1828918457031,3417.814697265625,1432.4320068359375,654.9056396484375,2117.38720703125,1371.590087890625,2263.5908203125,902.9365234375,826.15771484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,212.46922302246094,-40.214637756347656,-5.236068248748779,212.46922302246094,-40.214637756347656,-5.236068248748779,212.46922302246094,-40.214637756347656,-5.236068248748779,209.32774353027344,-40.02531051635742,-7.123174667358398,209.32774353027344,-40.02531051635742,-7.123174667358398,205.97055053710938,-39.48231506347656,-8.514691352844238,205.97055053710938,-39.48231506347656,-8.514691352844238,205.97055053710938,-39.48231506347656,-8.514691352844238,206.56234741210938,-36.00136947631836,-5.110296726226807,206.56234741210938,-36.00136947631836,-5.110296726226807,4.068851993172469,13.392636674353307,1.0,0.004724025974025974,1.666666716337204,0.0,8.73,68
L-1:2,6.674994997097276,2.600302482409532,3.7316952561299894,11.080468153550914,8.563219936299392,3.073181577352241,12.041966791207008,9.107086853602853,4.387783578355349,5.162041451842751,2620.363525390625,345.0306701660156,2092.987548828125,1880.739501953125,486.79833984375,1722.970458984375,943.8311767578125,2969.275390625,1946.2628173828125,1634.848876953125,1935.90087890625,334.445068359375,1875.6461181640625,2013.554443359375,1656.963134765625,2872.3525390625,539.3092041015625,2212.048583984375,2118.433349609375,1536.07373046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,223.5980682373047,-45.112247467041016,1.0504437685012817,223.5980682373047,-45.112247467041016,1.0504437685012817,219.015380859375,-43.32131576538086,-0.7182861566543579,220.78939819335938,-45.1642951965332,-2.3946385383605957,220.78939819335938,-45.1642951965332,-2.3946385383605957,221.65052795410156,-46.30144119262695,-3.3242218494415283,221.65052795410156,-46.30144119262695,-3.3242218494415283,221.65052795410156,-46.30144119262695,-3.3242218494415283,222.524169921875,-45.513607025146484,-0.8888576030731201,222.524169921875,-45.513607025146484,-0.8888576030731201,11.080513755954808,9.913276488791002,-1.0,0.005043642951251647,2.3333334028720856,0.0,8.75,108
L-1:3,5.088112659128818,8.376758649508611,4.657059653352429,12.560297615842297,16.192120852248138,12.073847210678569,24.394593011038378,24.87355176599742,14.318980760572227,6.758980970920318,2084.81591796875,334.2644958496094,2329.501220703125,1348.028564453125,202.17625427246094,1141.748779296875,1333.1455078125,2264.094970703125,2118.92919921875,1646.427734375,888.591796875,362.58746337890625,1537.90380859375,1326.3507080078125,877.9573364257813,2171.065185546875,518.4133911132813,1758.5718994140625,1526.63818359375,1166.5595703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.10588236153125763,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,234.24832153320313,-48.8692626953125,6.710728645324707,235.6455841064453,-49.165489196777344,7.577375888824463,232.6624298095703,-48.1491584777832,5.017910480499268,234.52630615234375,-49.23339080810547,4.60312557220459,234.52630615234375,-49.23339080810547,4.60312557220459,234.31295776367188,-49.69025802612305,4.017289161682129,234.31295776367188,-49.69025802612305,4.017289161682129,235.6175537109375,-49.680747985839844,4.981252193450928,235.6175537109375,-49.680747985839844,4.981252193450928,234.24832153320313,-48.8692626953125,6.710728645324707,7.49073524132271,11.144289191149111,-1.0,0.005983201581027669,12.000000357627869,0.0,10.38,32
L-1:4,6.009252304862985,5.769159980306199,5.370193912354319,5.88810950559067,2.2600228147141523,8.062257988572554,14.90903806597694,3.9068725531001682,5.001775986490621,5.741003396655,4422.25341796875,398.4746398925781,3253.298828125,2402.9033203125,1119.1466064453125,3662.696044921875,771.5442504882813,2807.86572265625,2315.13623046875,1542.129638671875,3042.135986328125,506.66204833984375,2252.291015625,1776.700439453125,280.29132080078125,3896.999267578125,1101.3250732421875,2984.163818359375,3172.5498046875,1863.8707275390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.15882353484630585,0.15882353484630585,227.06690979003906,-44.9028205871582,-0.8373101353645325,224.76397705078125,-42.76633834838867,0.6015191674232483,224.76397705078125,-42.76633834838867,0.6015191674232483,232.2681884765625,-45.322261810302734,2.880154609680176,234.0535125732422,-47.14652633666992,-0.6323286294937134,234.0535125732422,-47.14652633666992,-0.6323286294937134,231.27053833007813,-47.02830505371094,-2.4228250980377197,231.27053833007813,-47.02830505371094,-2.4228250980377197,227.06690979003906,-44.9028205871582,-0.8373101353645325,227.06690979003906,-44.9028205871582,-0.8373101353645325,2.848001333316228,10.860980530807865,-1.0,0.0038560815915386552,0.6666666865348816,4.1,8.75,36
L-1:5,12.292726309408964,4.346203121167791,8.903034879798758,12.046200073657742,3.5344321873196654,7.520343005909332,12.189752878562642,11.562244764806776,7.550822415597766,10.309345333454509,3417.577880859375,161.7764129638672,1347.851318359375,1143.26318359375,388.80999755859375,2807.868408203125,771.4146118164063,2503.560546875,1370.60107421875,1310.299560546875,1141.3291015625,356.5224609375,1825.991943359375,1714.0865478515625,1102.0758056640625,2430.114013671875,708.9815063476563,1855.226806640625,2613.37255859375,1356.468505859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,266.8635559082031,-41.6932258605957,-14.906109809875488,266.8635559082031,-41.6932258605957,-14.906109809875488,276.7083740234375,-41.19113540649414,-14.804879188537598,276.7083740234375,-41.19113540649414,-14.804879188537598,289.7432861328125,-41.98539733886719,-16.66684913635254,254.84376525878906,-44.272247314453125,-12.59934139251709,261.26934814453125,-45.25014877319336,-16.98206329345703,265.7982177734375,-44.27230453491211,-17.312116622924805,265.7982177734375,-44.27230453491211,-17.312116622924805,266.8635559082031,-41.6932258605957,-14.906109809875488,16.003472322484367,7.764029503886917,-1.0,0.005777511961722488,9.666666954755783,0.0,10.35,96
L-1:6,8.825468459601932,18.444601322753044,16.236863427034525,4.354531764008259,7.923313523184335,15.059143112899449,10.799043507733927,5.727172791273147,4.824014198396812,4.33259288294905,2256.312744140625,710.994140625,2320.139892578125,2386.585693359375,1088.165283203125,3058.284912109375,426.5837097167969,2308.951904296875,1184.5919189453125,829.368408203125,2174.123291015625,271.94952392578125,1395.849853515625,629.0665893554688,1054.1048583984375,2191.330810546875,590.802490234375,1217.652099609375,2180.834228515625,1281.175537109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,351.1994934082031,-36.218116760253906,-11.462193489074707,353.17156982421875,-34.35810089111328,-10.503447532653809,353.17156982421875,-34.35810089111328,-10.503447532653809,353.17156982421875,-34.35810089111328,-10.503447532653809,0.1946464627981186,-34.98969650268555,-10.535674095153809,2.664457321166992,-40.19316482543945,-15.975462913513184,2.664457321166992,-40.19316482543945,-15.975462913513184,358.4734191894531,-39.77450180053711,-14.423467636108398,358.4734191894531,-39.77450180053711,-14.423467636108398,351.1994934082031,-36.218116760253906,-11.462193489074707,11.948965908730203,8.769705399903136,-1.0,0.006054292929292929,1.3333333730697632,0.0,9.59,100
L-1:7,23.06030809582135,11.465114041483965,1.507057453857539,0.11911995723389837,5.389294371678095,2.2360680441398086,14.826153859761114,23.48252652412904,10.368375629692093,1.1076120291392697,1858.0260009765625,415.5132141113281,1766.9833984375,849.9547119140625,574.167724609375,1383.6234130859375,569.1510009765625,1338.27099609375,1594.8995361328125,1229.2496337890625,2497.076416015625,807.5550537109375,2640.493896484375,842.9281616210938,363.43133544921875,2693.284423828125,1613.8397216796875,1857.95751953125,449.5390319824219,217.7432403564453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,30.742101669311523,-33.53987121582031,-12.663626670837402,28.0462589263916,-33.917362213134766,-12.133137702941895,28.0462589263916,-33.917362213134766,-12.133137702941895,24.36228370666504,-35.60702896118164,-12.224860191345215,21.48365592956543,-36.915489196777344,-12.7944974899292,21.48365592956543,-36.915489196777344,-12.7944974899292,21.48365592956543,-36.915489196777344,-12.7944974899292,18.334928512573242,-37.99197006225586,-12.562088012695313,18.334928512573242,-37.99197006225586,-12.562088012695313,14.626812934875488,-35.99817657470703,-10.3875150680542,2.6874193295241846,5.214892021667455,1.0,0.006552281710384477,0.3333333432674408,0.0,10.42,100
L-1:8,5.705747759585759,9.304686269512525,30.47921653860193,32.13965327114268,27.202189089284786,3.3499586402101724,19.678006948004345,11.608406412406074,8.13325874175095,1.0974311249541124,3089.811767578125,78.93759155273438,3735.15185546875,1268.3837890625,1522.5185546875,2555.231201171875,1656.901123046875,2892.6669921875,2341.19482421875,896.1734008789063,2218.739990234375,1185.520751953125,54.69594955444336,44.08089828491211,599.4747314453125,1851.126708984375,356.9150085449219,1985.94189453125,1627.991455078125,1049.1212158203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,16.3040714263916,-29.504362106323242,-8.847173690795898,12.930334091186523,-28.33294105529785,-6.6352033615112305,12.930334091186523,-28.33294105529785,-6.6352033615112305,14.38803768157959,-28.8364315032959,-7.277470111846924,14.38803768157959,-28.8364315032959,-7.277470111846924,15.852710723876953,-29.310359954833984,-8.593437194824219,23.29366683959961,-33.55111312866211,-14.241935729980469,21.548038482666016,-32.482566833496094,-13.060566902160645,21.548038482666016,-32.482566833496094,-13.060566902160645,16.3040714263916,-29.504362106323242,-8.847173690795898,24.587712207317608,13.46098105061005,-1.0,0.005932455395072218,4.0000001192092896,5.47,11.97,32
L-1:9,6.548961096637077,9.938616607383805,9.969217932842271,3.6282308845393394,1.2819404101946885,9.706813474992932,16.18762794942725,3.500535089447231,4.172367866636571,7.329158394303105,1298.205078125,35.027671813964844,1355.050537109375,882.4008178710938,744.3917846679688,1979.84423828125,295.4480285644531,1537.330322265625,1259.546142578125,1116.934814453125,1921.34521484375,642.3584594726563,1416.271240234375,1451.5517578125,146.7865753173828,1688.83837890625,536.8328857421875,1952.5902099609375,1392.221923828125,841.5342407226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.15882353484630585,0.1411764770746231,0.1411764770746231,0.12352941930294037,18.370195388793945,-30.567060470581055,-9.723553657531738,18.370195388793945,-30.567060470581055,-9.723553657531738,18.70716094970703,-30.794431686401367,-10.401339530944824,18.70716094970703,-30.794431686401367,-10.401339530944824,18.9012508392334,-31.22121238708496,-11.246922492980957,18.9012508392334,-31.22121238708496,-11.246922492980957,18.669055938720703,-31.40929412841797,-11.989052772521973,18.669055938720703,-31.40929412841797,-11.989052772521973,16.270336151123047,-31.51803207397461,-10.925378799438477,14.031936645507813,-30.98672103881836,-9.086360931396484,19.977766013746066,7.862621569971168,1.0,0.007802741151977793,2.0000000596046448,0.0,12.85,68
L-1:10,6.437736163802138,7.874918628383488,7.171830818529011,3.371121903357977,1.5699907125785406,6.411794878310153,9.616773905422132,4.038967613611317,5.211264878625961,8.182725473815449,1671.9879150390625,136.78549194335938,1392.064697265625,1093.6947021484375,641.1918334960938,2137.94091796875,536.2825927734375,1992.3704833984375,1161.830078125,802.767578125,1196.610107421875,156.21580505371094,1358.2926025390625,972.1600952148438,667.0620727539063,1488.528564453125,818.0497436523438,1620.0970458984375,1318.8408203125,993.5060424804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,16.562257766723633,-30.189401626586914,-8.127005577087402,16.562257766723633,-30.189401626586914,-8.127005577087402,16.467674255371094,-30.23525619506836,-7.594149112701416,16.93310546875,-30.85124397277832,-7.626886367797852,16.93310546875,-30.85124397277832,-7.626886367797852,19.887548446655273,-32.93038558959961,-11.332412719726563,19.368797302246094,-32.316688537597656,-11.001147270202637,19.368797302246094,-32.316688537597656,-11.001147270202637,17.11110496520996,-31.00383758544922,-9.124052047729492,17.11110496520996,-31.00383758544922,-9.124052047729492,16.845705526698836,6.315450041905415,-1.0,0.007575757575757576,7.000000208616257,0.0,13.0,76
