Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.5730863256245575,12.116414140708773,20.9044752172211,17.875369086873782,2.3717869108514287,4.985134421453049,1.4086355319759312,8.089421368524704,9.189180152954993,3.620877187889964,1619.960693359375,221.78729248046875,336.1641845703125,670.2655029296875,457.18817138671875,1595.051025390625,325.1942138671875,1662.5233154296875,554.91845703125,911.893310546875,543.8823852539062,109.90032958984375,1060.549560546875,483.8384704589844,516.5853881835938,857.3834838867188,729.1844482421875,1192.73583984375,1798.8477783203125,1006.1646118164062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.20000001788139343,0.18333333730697632,0.21666668355464935,0.18333333730697632,0.21666668355464935,0.18333333730697632,263.515625,-12.125,-2.1875,263.515625,-12.125,-2.1875,262.59375,-10.234375,-0.8125,262.59375,-10.234375,-0.8125,262.984375,-11.71875,-1.796875,276.984375,-16.796875,-4.625,267.375,-12.40625,-5.71875,266.03125,-12.78125,-3.46875,266.296875,-12.75,-3.953125,266.296875,-12.75,-3.953125,10.625290550894148,16.359336510812664,-1.0,0.009393382352941175,4.666666805744171,0.0,16.06,100
L-1:2,23.57081404580913,6.987885510595008,5.890041473837589,3.1884556020773704,6.208157723359883,8.127479154669084,5.89556933137486,1.0411224883452252,11.61305925821619,21.99125627966513,1736.2779541015625,273.55853271484375,1438.8857421875,542.313720703125,152.725830078125,249.4984893798828,187.4627227783203,657.182861328125,1320.22998046875,977.2713012695312,1450.8646240234375,200.5974578857422,1190.9945068359375,1000.0101318359375,436.1367492675781,1312.0274658203125,1018.1560668945312,1541.7996826171875,984.1248779296875,596.7882690429688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666716337204,0.21666668355464935,0.13333334028720856,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.21666668355464935,0.18333333730697632,0.21666668355464935,0.1666666716337204,266.078125,-12.546875,-3.546875,266.078125,-12.546875,-3.546875,265.296875,-10.78125,-0.8125,264.390625,-11.34375,-2.34375,263.453125,-10.515625,-2.15625,262.40625,-9.546875,-0.421875,264.625,-12.171875,-1.90625,264.625,-12.171875,-1.90625,264.609375,-12.546875,-2.828125,264.609375,-12.546875,-2.828125,9.60649132750664,19.77680306842908,1.0,0.009423503325942351,4.33333346247673,0.0,17.0,36
L-1:3,2.9387149037702707,2.2469101493138064,2.799853428763763,8.243522903228685,3.10886103898821,5.220025485085404,3.976698939922726,3.9110947916731864,2.78048499095257,3.749081062970644,1763.4190673828125,94.3740463256836,990.9236450195312,811.1790161132812,759.1181030273438,2484.885498046875,526.6134033203125,1475.698486328125,2074.4951171875,912.7752685546875,1461.0758056640625,81.47442626953125,767.2410278320312,684.8128051757812,924.6853637695312,1915.8631591796875,430.04583740234375,1051.5247802734375,1261.082763671875,723.1500854492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666716337204,0.21666668355464935,0.18333333730697632,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.21666668355464935,0.18333333730697632,0.18333333730697632,0.20000001788139343,264.578125,-11.4375,-2.265625,264.578125,-11.4375,-2.265625,263.28125,-9.671875,0.078125,263.28125,-9.671875,0.078125,263.765625,-11.515625,-1.53125,263.765625,-11.515625,-1.53125,263.40625,-10.75,-1.015625,262.984375,-11.375,-1.9375,262.453125,-12.40625,-2.296875,264.640625,-9.46875,-0.078125,4.745765708676971,12.042914885913108,-1.0,0.00908357771260997,7.666666895151138,0.0,15.93,36
L-1:4,3.933180035188298,3.0720916649868237,4.488084439524632,7.721135847962192,6.393728134709477,6.903011956758439,10.012448493560886,7.556288742974321,4.206496161742727,3.0284557921249773,1747.6829833984375,22.95958137512207,458.0881652832031,565.3682861328125,555.6388549804688,2132.454833984375,903.0938720703125,1822.1541748046875,1443.0867919921875,1103.2916259765625,1930.268798828125,438.11669921875,1614.23828125,1228.8687744140625,826.4511108398438,2329.79052734375,975.2845458984375,1538.6539306640625,1608.282470703125,917.124267578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21666668355464935,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.18333333730697632,0.18333333730697632,0.1666666716337204,0.21666668355464935,0.18333333730697632,0.18333333730697632,262.4375,-11.203125,-1.34375,264.484375,-11.296875,-1.671875,260.484375,-9.546875,0.21875,260.484375,-9.546875,0.21875,265.234375,-11.71875,-2.328125,265.234375,-11.71875,-2.328125,264.5625,-11.578125,-1.59375,264.5625,-11.578125,-1.59375,262.453125,-11.375,-1.28125,262.4375,-11.203125,-1.34375,6.96990918311847,15.70009260518237,-1.0,0.00913650612710174,5.6666668355464935,6.29,18.32,108
L-1:5,1.4154662478434787,2.347272575369242,2.359957355402,4.1031067125791925,10.565410611727009,3.8244033316475634,4.208976172167153,2.260303825038374,2.8223363677077837,5.208343422864356,1515.2716064453125,268.0016784667969,1043.99267578125,985.9456176757812,454.4683532714844,1476.4002685546875,904.9680786132812,1446.137451171875,1631.992431640625,911.9637451171875,1434.2132568359375,271.45391845703125,2054.037353515625,1483.196044921875,416.7702331542969,1448.65673828125,621.0177001953125,1526.05517578125,1549.138427734375,1112.513427734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18333333730697632,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.20000001788139343,0.23333334922790527,0.23333334922790527,262.6875,-11.03125,0.0,262.6875,-11.03125,0.0,263.6875,-10.96875,-0.078125,263.5,-10.203125,-2.859375,263.5,-10.203125,-2.859375,263.5,-10.203125,-2.859375,262.59375,-11.34375,-1.0625,262.59375,-11.34375,-1.0625,262.828125,-10.015625,0.75,262.828125,-10.015625,0.75,9.794771088094327,6.122119637723643,-1.0,0.0071209526774595275,1.0000000298023224,0.0,13.07,4
L-1:6,2.5297346659863584,3.7516852811410764,2.859894481552553,2.934545754200004,7.7650759423599,4.7217755333274445,3.8914082550108846,7.7064208457532315,2.5778677355716026,0.33784372209988356,1675.6981201171875,32.94904708862305,1072.2081298828125,910.3397216796875,942.89599609375,2587.654296875,1180.5050048828125,1979.289306640625,1979.674560546875,920.5993041992188,2276.760498046875,419.64227294921875,1187.684814453125,998.07275390625,558.09375,1636.8968505859375,131.02638244628906,933.55615234375,1263.1688232421875,681.1297607421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18333333730697632,0.21666668355464935,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.18333333730697632,0.21666668355464935,0.18333333730697632,0.20000001788139343,0.20000001788139343,261.171875,-9.953125,1.3125,259.53125,-8.90625,3.390625,259.53125,-8.90625,3.390625,259.03125,-10.640625,0.453125,259.03125,-10.640625,0.453125,258.84375,-10.125,1.03125,258.84375,-10.125,1.03125,258.640625,-9.84375,2.21875,260.53125,-11.296875,-0.140625,261.171875,-9.953125,1.3125,9.507322695803293,9.311295510015109,-1.0,0.00866090909090909,3.333333432674408,0.0,13.61,64
L-1:7,2.7867739236763853,2.118458006040122,3.263863404988298,6.149137392959917,6.262744797450158,4.69763479435477,4.511658032560491,2.3273876240798153,3.849555357140264,1.9445040877456115,856.40185546875,161.30320739746094,706.2515869140625,818.2152709960938,860.3865966796875,1632.192138671875,870.8160400390625,1898.385498046875,1418.9674072265625,830.0319213867188,2227.490234375,16.544612884521484,1396.4923095703125,889.0955810546875,306.61199951171875,2286.2529296875,718.3228149414062,1518.222412109375,717.6929931640625,728.0881958007812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666716337204,0.18333333730697632,0.18333333730697632,0.21666668355464935,0.18333333730697632,0.20000001788139343,0.21666668355464935,0.20000001788139343,0.18333333730697632,0.1666666716337204,259.71875,-10.46875,0.078125,261.859375,-10.171875,0.359375,260.265625,-10.859375,-0.140625,260.265625,-10.859375,-0.140625,265.515625,-12.0625,-2.75,265.515625,-12.0625,-2.75,260.03125,-11.6875,-0.890625,260.03125,-11.6875,-0.890625,259.34375,-9.28125,2.4375,260.5625,-11.71875,0.0,5.707903435378601,11.15859992560199,-1.0,0.007622667068031307,3.000000089406967,0.0,14.47,0
L-1:8,7.103960553499315,9.752571108924089,14.330318155514503,5.759864906913235,4.51154327533893,9.830150857550775,3.7333689800537115,6.412761513380095,9.569780270127486,1.115808572298223,2511.84912109375,155.80784606933594,2884.470947265625,1648.904296875,505.47613525390625,1563.766357421875,397.4322814941406,824.4967041015625,1603.3140869140625,772.0007934570312,2107.46142578125,7.943512916564941,1369.078369140625,648.6299438476562,378.31317138671875,1949.085205078125,551.640625,1784.104736328125,1068.488525390625,1237.5732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666716337204,0.18333333730697632,0.18333333730697632,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.21666668355464935,0.1666666716337204,0.21666668355464935,0.18333333730697632,265.953125,-13.703125,-2.890625,265.953125,-13.703125,-2.890625,265.953125,-13.703125,-2.890625,264.515625,-11.78125,-1.203125,267.296875,-13.03125,-2.296875,267.296875,-13.03125,-2.296875,266.359375,-10.578125,-0.140625,266.359375,-10.578125,-0.140625,265.34375,-10.40625,0.875,265.34375,-10.40625,0.875,13.297213181037092,11.096846246759094,-1.0,0.007171920821114368,0.6666666865348816,4.7,11.18,0
L-1:9,2.430502485317621,4.5928338370956,3.2092720125773684,2.71248835286243,5.555621377091131,2.6445937106350526,2.3464933296841384,2.7730091341578045,3.6344274577828983,7.432195082266006,1659.1456298828125,249.0679168701172,994.6823120117188,741.9904174804688,660.7405395507812,2568.03564453125,873.104736328125,1809.4776611328125,1631.908935546875,1065.505859375,2128.206298828125,174.92318725585938,1355.1270751953125,1102.3187255859375,979.0052490234375,2153.827880859375,952.0408935546875,1473.3770751953125,1563.8509521484375,1212.473388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666716337204,0.20000001788139343,0.18333333730697632,0.20000001788139343,0.21666668355464935,0.20000001788139343,0.21666668355464935,0.20000001788139343,0.20000001788139343,0.1666666716337204,259.890625,-11.375,0.21875,259.890625,-11.375,0.21875,261.921875,-10.859375,0.359375,261.921875,-10.859375,0.359375,261.875,-9.15625,1.453125,261.875,-9.15625,1.453125,256.53125,-9.5,1.671875,255.96875,-8.53125,2.4375,259.25,-10.375,0.890625,259.25,-10.375,0.890625,1.1567989870274835,4.899132010426644,-1.0,0.007156019656019656,1.0000000298023224,0.0,11.65,0
L-1:10,5.242571276885174,2.5327832598772746,4.464951400685532,3.177617640991201,3.9445668180066917,3.8732867744165844,6.644709209524203,3.5718204064186616,6.850185967142771,0.9959683063431531,2192.547607421875,176.4774169921875,1847.6798095703125,1931.09716796875,794.4692993164062,1974.5408935546875,738.1719970703125,1823.8017578125,1730.4937744140625,959.0067138671875,2604.8515625,294.42449951171875,1385.794677734375,1104.69580078125,672.0281372070312,2474.373291015625,573.9932250976562,1735.3426513671875,193.78038024902344,193.81451416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18333333730697632,0.20000001788139343,0.21666668355464935,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.21666668355464935,0.18333333730697632,0.20000001788139343,0.1666666716337204,264.765625,-10.609375,0.8125,261.203125,-9.015625,2.234375,261.203125,-9.015625,2.234375,260.578125,-10.15625,1.03125,260.578125,-10.15625,1.03125,260.90625,-11.265625,-0.75,260.90625,-11.265625,-0.75,261.09375,-10.34375,0.28125,261.09375,-10.34375,0.28125,264.765625,-10.609375,0.8125,4.681985500733245,9.98544566434542,-1.0,0.006879891631547261,3.6666667759418488,0.0,13.06,0
