Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.285192699546337,1.3173602898440986,3.332907904980406,3.0370424652201105,6.450149554121854,9.343763064372137,4.763442765726693,4.162138982914598,4.500535668237979,5.53886682981738,2847.828857421875,45.16215515136719,1084.07958984375,822.4757080078125,166.4935760498047,1391.147705078125,409.1072692871094,1708.5147705078125,2188.56787109375,1769.091064453125,2471.461669921875,363.1733093261719,1420.2176513671875,1205.44775390625,151.2686767578125,1433.15478515625,209.6720733642578,1527.3544921875,2174.516845703125,1281.623291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.013725491240620613,0.019607843831181526,0.01568627543747425,0.013725491240620613,58.89272689819336,-4.313381671905518,-5.617096424102783,58.88527297973633,-4.256625652313232,-5.542489528656006,58.881996154785156,-4.172664165496826,-5.502420425415039,58.881996154785156,-4.172664165496826,-5.502420425415039,58.865501403808594,-4.09712553024292,-5.429555416107178,58.859046936035156,-4.0538859367370605,-5.335843086242676,58.91775894165039,-4.40946626663208,-6.106010437011719,58.90721893310547,-4.361607551574707,-5.914317607879639,58.89645004272461,-4.335735321044922,-5.758807182312012,58.89645004272461,-4.335735321044922,-5.758807182312012,1.8205650056225033,5.730493148169286,-1.0,0.006264890282131661,0.25,0.0,17.13,100
L-1:2,5.265124016992063,2.477030961146698,5.238664525158385,4.121123254848419,12.880223435041945,13.95564231933328,15.600273534424913,12.406948100840134,13.586225473109788,6.9944632653735646,2775.19189453125,78.07709503173828,1264.3111572265625,1388.9278564453125,359.49420166015625,2468.4765625,181.16168212890625,2225.258544921875,2672.50341796875,1756.803466796875,3376.685791015625,165.90374755859375,2363.24169921875,1929.1781005859375,501.3558349609375,2183.268798828125,858.7361450195312,2483.15185546875,1772.16015625,320.3755798339844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.01568627543747425,58.86594009399414,-3.806356906890869,-4.7312912940979,58.848506927490234,-3.8888838291168213,-5.007193565368652,58.876155853271484,-3.8496503829956055,-4.997429847717285,58.876155853271484,-3.8496503829956055,-4.997429847717285,58.87271499633789,-3.7917308807373047,-5.001612663269043,58.87271499633789,-3.7917308807373047,-5.001612663269043,58.864784240722656,-3.762583017349243,-4.9474196434021,58.8618049621582,-3.794673442840576,-4.8310956954956055,58.8618049621582,-3.794673442840576,-4.8310956954956055,58.86173629760742,-3.8098950386047363,-4.762410640716553,10.544178619446328,10.410665705400948,-1.0,0.005328044596912521,2.5,0.0,14.2,4
L-1:3,3.907012132682933,3.386370801496748,7.139142579272156,4.757960025253885,2.491320088224352,5.746708466863879,1.6059059965815536,4.674254614433747,1.4567234818253323,7.8835277414527605,2975.94580078125,195.3408966064453,2781.201904296875,1852.555419921875,259.2674865722656,2048.46923828125,626.68408203125,1530.8291015625,2432.240966796875,1933.8946533203125,2682.270263671875,54.710235595703125,2706.849609375,1709.6832275390625,691.8655395507812,3078.0107421875,345.0685119628906,1269.056884765625,2362.1123046875,1807.5863037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.021568628028035164,58.87204360961914,-3.760279655456543,-4.672410011291504,58.872379302978516,-3.7831153869628906,-4.573822021484375,58.875980377197266,-3.7659366130828857,-4.597620964050293,58.875980377197266,-3.7659366130828857,-4.597620964050293,58.870201110839844,-3.7234532833099365,-4.61146879196167,58.870201110839844,-3.7234532833099365,-4.61146879196167,58.86968231201172,-3.736753463745117,-4.5520758628845215,58.86968231201172,-3.736753463745117,-4.5520758628845215,58.86756896972656,-3.7815303802490234,-4.423760890960693,58.86756896972656,-3.7815303802490234,-4.423760890960693,11.01533756828015,8.211659977732316,-1.0,0.004694549921822649,1.25,0.0,12.01,44
L-1:4,19.545644695494186,19.590545714464263,18.03183155293464,15.446274620527067,4.1360947981315,15.489773360700573,20.529622527131572,11.773567611845708,5.871052043528944,7.026473035222196,4432.58544921875,156.34034729003906,3054.49951171875,3048.9267578125,1341.95361328125,3604.984619140625,1766.022705078125,3630.424560546875,4780.02734375,2464.624267578125,1966.5006103515625,682.6533203125,2858.61962890625,2419.055908203125,1547.7864990234375,2375.010986328125,779.0416870117188,3993.83251953125,3111.74755859375,3719.70849609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.01568627543747425,58.857112884521484,-3.7056355476379395,-4.234975814819336,58.857112884521484,-3.7056355476379395,-4.234975814819336,58.86287307739258,-3.678774118423462,-4.2717061042785645,58.86287307739258,-3.678774118423462,-4.2717061042785645,58.86422348022461,-3.678619146347046,-4.371609687805176,58.861976623535156,-3.659578800201416,-4.357045650482178,58.861976623535156,-3.659578800201416,-4.357045650482178,58.85378646850586,-3.676608085632324,-4.301595687866211,58.85378646850586,-3.676608085632324,-4.301595687866211,58.85378646850586,-3.676608085632324,-4.301595687866211,6.136251275160924,16.09367798762028,-1.0,0.003545454545454545,1.5,3.18,9.36,64
L-1:5,5.62620192508291,9.403201821535172,7.138086636047067,10.999472824833147,10.892240022316185,9.543448424805053,7.888310158352657,2.462912936022559,4.713658030532333,9.403975126388241,3657.843994140625,256.19537353515625,1766.0191650390625,1895.939453125,966.328369140625,2639.649169921875,451.0492858886719,2640.33642578125,3108.724609375,1538.585205078125,2649.0205078125,194.19383239746094,1398.907958984375,1748.57958984375,843.5266723632812,4066.704345703125,67.3797836303711,4191.599609375,3195.285888671875,888.8612060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,58.888614654541016,-3.504241704940796,-4.271969795227051,58.89534378051758,-3.5203757286071777,-4.2702460289001465,58.89534378051758,-3.5203757286071777,-4.2702460289001465,58.913108825683594,-3.466963052749634,-4.349587917327881,58.913108825683594,-3.466963052749634,-4.349587917327881,58.909950256347656,-3.4386115074157715,-4.356961250305176,58.909950256347656,-3.4386115074157715,-4.356961250305176,58.89221954345703,-3.498192071914673,-4.312049865722656,58.89221954345703,-3.498192071914673,-4.312049865722656,58.888614654541016,-3.504241704940796,-4.271969795227051,5.300647753592576,6.928204405370521,-1.0,0.004470288825757576,5.5,0.0,10.79,4
L-1:6,1.5237579791115943,6.967578824043162,10.359925901206656,7.405264505341571,9.342049984481974,14.538808518066396,7.432533951498749,5.142844103145987,2.806760276180546,4.952683490963166,2431.2548828125,128.89515686035156,1793.2027587890625,920.154052734375,322.2527160644531,2561.924560546875,816.89111328125,3073.279541015625,2839.560791015625,2090.38818359375,3422.140869140625,307.07513427734375,2051.482666015625,2527.8701171875,1017.2579956054688,2714.841796875,543.8663330078125,815.4976196289062,2563.208984375,2308.608154296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.01568627543747425,58.91953659057617,-3.463641405105591,-4.234402656555176,58.91953659057617,-3.463641405105591,-4.234402656555176,58.92344665527344,-3.433485269546509,-4.283514976501465,58.92051315307617,-3.390467643737793,-4.328558444976807,58.92051315307617,-3.390467643737793,-4.328558444976807,58.92051315307617,-3.390467643737793,-4.328558444976807,58.87777328491211,-3.387091875076294,-4.299198627471924,58.88020706176758,-3.3994805812835693,-4.248132705688477,58.88032913208008,-3.415786027908325,-4.230893135070801,58.88032913208008,-3.415786027908325,-4.230893135070801,4.693463410467838,10.299719519564249,-1.0,0.005272526146419951,3.25,0.0,14.98,68
L-1:7,3.465947299070146,0.6050895040669033,4.458485624503557,2.9994998931615044,6.944523600054397,8.323001509430151,12.235094785882774,18.77841995029225,12.13500666358946,3.9324719250208413,3515.051513671875,574.88427734375,2191.49951171875,1967.869140625,660.2914428710938,1650.2357177734375,608.8548583984375,1215.693115234375,1837.901611328125,1349.1973876953125,2060.474609375,184.16070556640625,2189.75244140625,1062.482177734375,835.6532592773438,2342.34326171875,1340.8985595703125,3676.7314453125,3123.554931640625,1385.56884765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,58.89924240112305,-3.40675687789917,-4.2784905433654785,58.90333938598633,-3.379575729370117,-4.323501110076904,58.900779724121094,-3.380222797393799,-4.3112287521362305,58.900779724121094,-3.380222797393799,-4.3112287521362305,58.90786361694336,-3.3517720699310303,-4.33078670501709,58.901763916015625,-3.3681509494781494,-4.291682243347168,58.9009895324707,-3.4048025608062744,-4.227180004119873,58.899044036865234,-3.4237523078918457,-4.227787017822266,58.899044036865234,-3.4237523078918457,-4.227787017822266,58.89924240112305,-3.40675687789917,-4.2784905433654785,8.614202402557451,11.378730783377613,1.0,0.005071472645002057,3.25,0.0,14.09,100
L-1:8,14.458286662763893,7.741723085660705,8.70388322783903,9.026854943218183,7.511888472001199,17.480925818919676,12.445982005483492,7.260346894516768,2.2334026405892025,13.134608294951468,5665.9638671875,1224.1517333984375,6054.40576171875,4671.28564453125,2225.34619140625,5084.21044921875,1962.5245361328125,4395.947265625,5089.482421875,3294.152099609375,6352.0107421875,521.2743530273438,4780.60791015625,2292.70068359375,1686.237060546875,6225.91650390625,541.1021728515625,7070.14306640625,4404.83984375,4105.2978515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,58.919410705566406,-3.373922109603882,-4.21209192276001,58.9231071472168,-3.4053409099578857,-4.168424129486084,58.9231071472168,-3.4053409099578857,-4.168424129486084,58.9231071472168,-3.4053409099578857,-4.168424129486084,58.958980560302734,-3.315732955932617,-4.267272472381592,58.958980560302734,-3.315732955932617,-4.267272472381592,58.958980560302734,-3.315732955932617,-4.267272472381592,58.959266662597656,-3.3427371978759766,-4.194202899932861,58.959266662597656,-3.3427371978759766,-4.194202899932861,58.959266662597656,-3.3427371978759766,-4.194202899932861,13.651852665747436,14.51599017276443,-1.0,0.0023285408108590817,2.5,5.11,7.45,76
L-1:9,2.3568392636531805,1.9807624463672484,7.217503975848883,4.105192398254285,0.5494182506928611,9.373662217376863,15.182358654907672,5.970497503805525,2.6172013201829283,5.388762635474098,3138.00146484375,777.717041015625,1542.611083984375,1766.724365234375,2959.95849609375,4510.7451171875,560.7920532226562,2136.319580078125,2619.489501953125,1243.47021484375,2127.771240234375,844.6437377929688,2948.466064453125,1785.15771484375,1135.475830078125,2048.67578125,603.6226806640625,2546.27880859375,2206.435791015625,1755.9310302734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.007843137718737125,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.013725491240620613,0.013725491240620613,0.019607843831181526,59.01876449584961,-3.424626111984253,-4.083384990692139,59.01876449584961,-3.424626111984253,-4.083384990692139,59.01224899291992,-3.386301279067993,-4.137877941131592,59.01414108276367,-3.381767988204956,-4.140936374664307,59.01414108276367,-3.381767988204956,-4.140936374664307,59.012447357177734,-3.3785898685455322,-4.139842987060547,59.012447357177734,-3.3785898685455322,-4.139842987060547,59.012447357177734,-3.3785898685455322,-4.139842987060547,59.01687240600586,-3.4085428714752197,-4.093936443328857,59.01687240600586,-3.4085428714752197,-4.093936443328857,5.21767976488652,8.841963501096785,-1.0,0.0047484014456491514,3.5,0.0,9.76,76
L-1:10,8.72165841982137,3.039352484892518,7.801031386641656,16.817294698243828,16.468958639628134,2.7645275287606363,8.717214263271849,10.182474696978064,4.5821340012839125,10.24484963601123,2186.1748046875,221.2994842529297,1515.249755859375,884.51513671875,297.71282958984375,1436.8826904296875,797.8770141601562,1495.9532470703125,1999.206298828125,2187.98388671875,1546.66259765625,166.3207244873047,1792.8206787109375,1014.3892211914062,590.9915771484375,1128.0059814453125,1135.311767578125,2645.265380859375,2147.390869140625,1656.4837646484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.011764707043766975,0.019607843831181526,59.04057312011719,-3.3720152378082275,-4.197860240936279,59.04057312011719,-3.3720152378082275,-4.197860240936279,59.04159164428711,-3.3777341842651367,-4.188638210296631,59.04159164428711,-3.3777341842651367,-4.188638210296631,59.03726577758789,-3.3744678497314453,-4.158639907836914,59.03726577758789,-3.3744678497314453,-4.158639907836914,59.02207565307617,-3.4027414321899414,-4.1168599128723145,59.022281646728516,-3.422645092010498,-4.134607315063477,59.022281646728516,-3.422645092010498,-4.134607315063477,59.03683090209961,-3.3803350925445557,-4.166949272155762,7.690895633206131,11.574459711736372,1.0,0.006025252525252525,1.75,0.0,11.93,0
