Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.8805045809881504,7.898440271301841,2.5950953380073596,3.492580723596754,1.4757899033426318,7.178085552329254,3.193216292003959,4.583632430904573,3.61094104614609,6.035494120555771,856.9766845703125,302.63226318359375,727.3013916015625,438.3330383300781,140.28378295898438,1348.2781982421875,428.7752685546875,1060.286376953125,861.6830444335938,1076.575927734375,834.5484008789062,158.7663116455078,969.0371704101562,1080.87109375,195.94454956054688,1440.33935546875,115.2784652709961,1160.7103271484375,1417.7137451171875,882.13916015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05490196496248245,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05490196496248245,0.05490196496248245,239.99041748046875,-41.11860275268555,6.13877534866333,241.2193603515625,-40.44145965576172,6.929507255554199,240.80606079101562,-40.735321044921875,7.271125316619873,240.80606079101562,-40.735321044921875,7.271125316619873,239.3295440673828,-42.37696838378906,5.6809492111206055,236.26290893554688,-44.41154479980469,4.301072597503662,235.63040161132812,-44.99863815307617,4.364785671234131,234.98373413085938,-44.648685455322266,5.50372314453125,234.98373413085938,-44.648685455322266,5.50372314453125,239.99041748046875,-41.11860275268555,6.13877534866333,10.020879334221311,2.1756229709141777,1.0,0.010397279885468864,1.0000000298023224,0.0,16.6,32
L-1:2,2.178485100751285,6.512778358414773,2.493385213026218,0.8476731801784905,0.8159004240984583,11.512315350373974,6.346813842170754,1.809139129410477,8.135494671094248,6.203365080860932,1181.3662109375,76.61919403076172,1183.70361328125,281.4292297363281,210.7312774658203,108.85737609863281,26.501541137695312,573.9017333984375,1020.7705078125,530.206298828125,2033.0628662109375,92.83171081542969,1567.6439208984375,1240.13525390625,412.673583984375,2180.45458984375,635.5503540039062,2586.431884765625,794.404541015625,962.8263549804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.062745101749897,0.05490196496248245,0.0470588281750679,0.05490196496248245,0.05882353335618973,0.062745101749897,0.062745101749897,0.062745101749897,0.06666667014360428,239.7013702392578,-38.93294906616211,7.673644542694092,241.0581817626953,-38.19411087036133,8.70400619506836,241.7083740234375,-38.24656677246094,9.297276496887207,241.34841918945312,-38.56973648071289,8.980169296264648,240.38388061523438,-39.943084716796875,8.339323997497559,234.66244506835938,-41.82444763183594,5.403980255126953,234.32711791992188,-42.67740249633789,5.309820652008057,234.32711791992188,-42.67740249633789,5.309820652008057,236.8811492919922,-39.98762512207031,6.542210578918457,236.8811492919922,-39.98762512207031,6.542210578918457,8.480968289931804,8.478924107069059,1.0,0.009695645263827081,2.6666667461395264,0.0,17.43,36
L-1:3,8.094205858069293,19.602794192135644,4.011424572705788,2.9666849252360006,9.253531730012552,16.540866098641764,9.831982620061279,3.0016767251665595,11.283789688880043,2.8380530565162276,1903.713623046875,265.336181640625,1497.950439453125,1269.833251953125,256.04266357421875,3078.3818359375,435.5986633300781,2101.75537109375,1234.076171875,1240.40380859375,1608.559814453125,848.2946166992188,2194.63232421875,2186.057861328125,169.1633758544922,3347.390380859375,520.219482421875,2871.665771484375,1571.51416015625,1302.98974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.062745101749897,0.05882353335618973,0.062745101749897,0.05882353335618973,0.062745101749897,0.06666667014360428,0.05882353335618973,0.062745101749897,0.062745101749897,235.7947998046875,-39.17361068725586,7.288959503173828,234.59791564941406,-38.305965423583984,6.0740251541137695,234.59791564941406,-38.305965423583984,6.0740251541137695,231.89633178710938,-39.65064239501953,4.619897365570068,231.89633178710938,-39.65064239501953,4.619897365570068,230.84176635742188,-42.25516128540039,4.6914825439453125,230.84176635742188,-42.25516128540039,4.6914825439453125,232.89053344726562,-41.41569137573242,5.699881553649902,232.89053344726562,-41.41569137573242,5.699881553649902,235.7947998046875,-39.17361068725586,7.288959503173828,12.053384580281223,8.481531847837427,1.0,0.006612050739957716,2.6666667461395264,0.0,12.51,32
L-1:4,28.914936161005127,19.71779566443233,8.243684288626783,6.029794984420491,1.3567351366280282,14.017610957222994,5.213400098034858,2.4462825591646546,23.045369864996086,30.252645607147954,832.5184326171875,522.1912231445312,1701.0592041015625,947.3750610351562,530.6636352539062,1079.3392333984375,926.6888427734375,2043.3802490234375,1603.177734375,924.5423583984375,1451.0743408203125,198.6946258544922,2142.720947265625,1277.5799560546875,505.12799072265625,2522.1455078125,1224.078857421875,2145.461181640625,2089.89501953125,1044.3614501953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.05882353335618973,0.05882353335618973,0.0470588281750679,0.05490196496248245,0.062745101749897,0.07058823853731155,0.06666667014360428,0.062745101749897,0.062745101749897,235.83575439453125,-40.76122283935547,7.902577877044678,235.83575439453125,-40.76122283935547,7.902577877044678,236.13604736328125,-41.047027587890625,8.009045600891113,236.71240234375,-41.72323989868164,8.0397310256958,236.71240234375,-41.72323989868164,8.0397310256958,231.1591796875,-41.55453872680664,6.830620765686035,229.9363555908203,-42.006195068359375,7.042768955230713,229.9363555908203,-42.006195068359375,7.042768955230713,233.39215087890625,-41.622066497802734,7.4369001388549805,233.39215087890625,-41.622066497802734,7.4369001388549805,3.048467848621872,19.856679319882545,1.0,0.008094205412907703,12.66666704416275,4.11,13.33,0
L-1:5,3.6015917934672372,1.7456349334926202,4.088492193750513,1.3337003548108426,5.378666040039888,5.1284211150076855,5.733082175951378,4.7530825353844985,2.545507602616757,1.1378518565517046,1550.286376953125,81.82891082763672,1079.189208984375,559.2899169921875,566.6925659179688,1989.9854736328125,11.587242126464844,738.5368041992188,1316.3353271484375,521.0142211914062,2388.60791015625,423.2265319824219,1286.841064453125,941.4841918945312,1059.1929931640625,2475.600341796875,796.5980834960938,1863.826416015625,1161.08203125,651.6964111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05882353335618973,0.0470588281750679,0.04313725605607033,0.05098039656877518,0.05882353335618973,0.06666667014360428,0.06666667014360428,0.062745101749897,0.06666667014360428,237.6092987060547,-40.397891998291016,7.341207027435303,239.46250915527344,-40.14058303833008,8.059496879577637,239.96640014648438,-40.24978256225586,8.07963752746582,239.65704345703125,-40.61393356323242,7.849956512451172,238.2927703857422,-41.269588470458984,6.847010612487793,235.31182861328125,-41.77890396118164,6.0654802322387695,235.31182861328125,-41.77890396118164,6.0654802322387695,234.35833740234375,-42.776790618896484,6.303168296813965,235.91201782226562,-41.289146423339844,7.1978440284729,235.91201782226562,-41.289146423339844,7.1978440284729,7.990137431051265,11.224514029042162,1.0,0.009106060606060607,5.000000149011612,0.0,18.03,0
L-1:6,1.51257833507211,6.995465984893079,3.201097809016563,1.3205585277175198,8.89113474006449,7.803661057920523,2.1270070194432233,10.233621485678334,13.53538118126559,8.000983783359608,231.88539123535156,526.1959228515625,1158.5059814453125,364.9447326660156,369.9300537109375,1875.5853271484375,484.3515625,1959.8939208984375,1704.3055419921875,896.6492309570312,1521.746337890625,83.74369812011719,1119.6585693359375,1061.66064453125,101.23051452636719,987.642822265625,512.6764526367188,2592.969970703125,1453.2034912109375,811.8699340820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05882353335618973,0.05490196496248245,0.0470588281750679,0.05098039656877518,0.06666667014360428,0.06666667014360428,0.062745101749897,0.062745101749897,0.07058823853731155,237.9811553955078,-37.043216705322266,8.991293907165527,237.9811553955078,-37.043216705322266,8.991293907165527,235.82257080078125,-37.81393814086914,7.730826377868652,234.70553588867188,-38.5880126953125,7.630899906158447,234.70553588867188,-38.5880126953125,7.630899906158447,233.79959106445312,-39.37337875366211,7.325344562530518,233.79959106445312,-39.37337875366211,7.325344562530518,234.70755004882812,-39.57822799682617,7.671058177947998,234.70755004882812,-39.57822799682617,7.671058177947998,235.8517303466797,-38.54627227783203,8.1517972946167,11.034519269399024,12.322009467760791,1.0,0.009459280303030303,3.333333432674408,0.0,14.27,0
L-1:7,1.8735419919902168,10.147898525489868,9.459920842571412,12.077106293646926,11.14892310927432,3.510417012769527,2.368410109802876,0.4294998234649383,1.8095207595483955,6.493309556442287,2525.41943359375,247.49755859375,1054.2403564453125,490.2437438964844,131.00015258789062,2357.9873046875,88.62069702148438,1892.8336181640625,1231.1419677734375,555.7727661132812,1397.4490966796875,365.4776306152344,1746.451171875,1518.7535400390625,326.0650634765625,1158.1439208984375,177.06019592285156,2008.0882568359375,1785.68798828125,568.6871948242188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.062745101749897,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.062745101749897,0.062745101749897,0.07058823853731155,0.062745101749897,0.06666667014360428,231.55422973632812,-40.32640838623047,6.136906147003174,232.36968994140625,-39.630958557128906,6.031278610229492,232.36968994140625,-39.630958557128906,6.031278610229492,231.9954376220703,-39.67981719970703,5.6228508949279785,229.79261779785156,-40.77983093261719,5.262460231781006,229.79261779785156,-40.77983093261719,5.262460231781006,228.3741912841797,-42.37681198120117,4.848566055297852,228.39932250976562,-40.58115005493164,5.807283878326416,229.65443420410156,-40.61237335205078,6.375998020172119,229.65443420410156,-40.61237335205078,6.375998020172119,9.590476846886896,7.557985973438565,1.0,0.008537878787878789,5.333333492279053,0.0,14.49,0
L-1:8,1.567217318219657,13.704226256431966,2.101063821160731,9.348977635438207,1.6598706219778097,1.0373486657593807,1.3037762152309504,4.7331087780447385,11.408512319518522,1.2673981404804633,1063.108642578125,354.9158935546875,1223.0794677734375,740.5093383789062,58.79727554321289,1173.2120361328125,331.5061950683594,1392.7794189453125,354.3804931640625,783.650146484375,1804.780517578125,269.68359375,1195.39697265625,759.3681640625,808.5430908203125,1808.4593505859375,406.378173828125,888.468505859375,1131.815185546875,679.533447265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05882353335618973,0.0470588281750679,0.0470588281750679,0.05490196496248245,0.05882353335618973,0.062745101749897,0.062745101749897,0.05882353335618973,0.05882353335618973,241.24221801757812,-42.13964080810547,8.4650297164917,242.3240509033203,-42.02092742919922,8.705622673034668,242.3240509033203,-42.02092742919922,8.705622673034668,241.92575073242188,-42.96466064453125,8.635190963745117,241.23577880859375,-44.891624450683594,8.665861129760742,234.13995361328125,-44.539981842041016,4.716068744659424,234.13995361328125,-44.539981842041016,4.716068744659424,233.9892578125,-45.579925537109375,5.386601448059082,233.9892578125,-45.579925537109375,5.386601448059082,237.239501953125,-43.730613708496094,6.391415596008301,9.827381608344183,3.1610624540736967,1.0,0.009533310201249132,2.0000000596046448,5.83,15.7,0
L-1:9,12.423501161938908,0.81682915658004,0.8946889454397434,5.109031010076072,5.681408939038351,1.7032783472520028,7.286909823291845,13.957828073033687,18.05094654107765,9.159210010244038,660.9835815429688,279.5189514160156,207.4685821533203,352.76922607421875,616.1683349609375,2398.58349609375,285.9486389160156,1859.3966064453125,1534.1160888671875,701.0955810546875,1191.3353271484375,339.11761474609375,1045.810791015625,429.440673828125,227.83343505859375,1871.9256591796875,35.93355178833008,991.9613037109375,1413.780029296875,2236.9404296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.062745101749897,0.062745101749897,0.05882353335618973,236.25962829589844,-40.44744110107422,6.295519828796387,236.45635986328125,-40.44267272949219,6.7143354415893555,233.42782592773438,-41.491783142089844,4.247077941894531,233.42782592773438,-41.491783142089844,4.247077941894531,231.57421875,-43.7882080078125,2.606072425842285,230.22947692871094,-45.60164260864258,1.9365872144699097,230.22947692871094,-45.60164260864258,1.9365872144699097,231.49163818359375,-45.575714111328125,3.8822102546691895,231.49163818359375,-45.575714111328125,3.8822102546691895,234.15585327148438,-42.8265266418457,5.033642292022705,3.875389550539213,9.410704120582624,1.0,0.008933566433566433,0.3333333432674408,0.0,14.6,0
L-1:10,0.921862383569252,10.359152633991764,4.856398752391321,7.582173966239342,5.234567961511298,3.946033639449904,9.814431932571445,2.310234573826025,14.79544249687997,10.758999362993343,578.3858642578125,266.167724609375,1149.5235595703125,1230.4912109375,50.803627014160156,1689.9136962890625,419.928955078125,2394.51318359375,954.8888549804688,613.07373046875,1042.820556640625,233.22950744628906,1444.76513671875,421.0572814941406,176.96145629882812,2559.04736328125,618.2413330078125,1435.01953125,336.9664306640625,473.2144470214844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05882353335618973,0.05490196496248245,0.05098039656877518,0.05882353335618973,0.05882353335618973,0.06666667014360428,0.05882353335618973,0.062745101749897,0.05882353335618973,235.71697998046875,-39.099761962890625,8.199779510498047,236.17869567871094,-39.691646575927734,7.652091979980469,235.8837890625,-39.8475341796875,7.503407001495361,235.8837890625,-39.8475341796875,7.503407001495361,233.4738006591797,-40.67053985595703,6.334466457366943,233.4738006591797,-40.67053985595703,6.334466457366943,232.72813415527344,-41.61592102050781,6.033631324768066,232.72813415527344,-41.61592102050781,6.033631324768066,234.22317504882812,-40.175357818603516,7.239778995513916,234.22317504882812,-40.175357818603516,7.239778995513916,19.078396000894198,0.8896155831293141,1.0,0.007698537095088821,1.0000000298023224,0.0,12.63,0
