Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.2970984161366006,2.3374650494522498,0.30634201843322884,0.5196680250655079,2.0059918086681265,0.6414183406451982,1.8850920145249408,3.18334072563709,0.8564856756616468,0.07180837409200946,294.8926086425781,13.718868255615234,260.2539978027344,167.69448852539062,263.3603820800781,572.932861328125,136.1085205078125,457.98651123046875,422.5054931640625,246.05184936523438,315.01092529296875,15.321742057800293,267.7287902832031,155.6299591064453,377.7861328125,716.1905517578125,202.88726806640625,477.3730163574219,477.56414794921875,218.51531982421875,0.6213971376419067,0.5969711542129517,0.5388373136520386,0.4201270043849945,0.289692223072052,0.26770883798599243,0.5730336904525757,0.6878358721733093,0.7405959963798523,0.647777259349823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.37371826171875,-60.07103729248047,-1.5920019149780273,250.29653930664062,-59.56484603881836,-1.5615204572677612,250.36038208007812,-59.47550582885742,-1.5671210289001465,250.8150634765625,-59.97297668457031,-1.4975322484970093,251.20611572265625,-60.688560485839844,-1.4063692092895508,251.83056640625,-61.28721237182617,-1.6516213417053223,250.39654541015625,-63.2804069519043,-1.881992220878601,250.59231567382812,-62.48380661010742,-1.7947301864624023,250.50726318359375,-61.12188720703125,-1.692914605140686,250.50299072265625,-60.79998779296875,-1.6878927946090698,1.4153728673657346,5.080315740186484,1.0,0.02444268048128342,0.0,0.0,41.79,68
L-1:2,0.9493173128465882,1.086031393438102,1.8220771810641632,3.1893806719684616,2.1678151437921445,1.7658390804064559,1.6837857789926785,0.5072075399521467,3.539147488798727,3.0589765317772146,449.9390869140625,105.08145904541016,379.67901611328125,326.3749084472656,212.78074645996094,374.9168395996094,390.3778991699219,668.305908203125,542.5138549804688,400.78729248046875,668.978271484375,44.525672912597656,657.6421508789062,267.42608642578125,123.3739013671875,301.4395446777344,194.05551147460938,388.2596740722656,313.3089599609375,338.978271484375,0.5769418478012085,0.6253052949905396,0.6565706133842468,0.6951636672019958,0.7010259032249451,0.6599902510643005,0.6433805823326111,0.24865657091140747,0.4181729257106781,0.5368832349777222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.35214233398438,-57.50737380981445,-0.4220445156097412,247.69252014160156,-56.446414947509766,-0.14539039134979248,247.44247436523438,-56.41958236694336,-0.44758573174476624,247.58294677734375,-57.45534133911133,-0.9337392449378967,247.77162170410156,-58.62022399902344,-1.23323392868042,248.16424560546875,-60.65894317626953,-1.5689059495925903,248.45985412597656,-61.612022399902344,-1.6153833866119385,250.1312255859375,-62.82058334350586,-1.3963189125061035,249.91342163085938,-62.56264877319336,-1.2841521501541138,249.3206787109375,-60.45689392089844,-0.8492393493652344,7.836299684689191,2.953976274331393,-1.0,0.019594899375433728,1.523809552192688,0.0,32.27,36
L-1:3,1.5119083338901091,1.250252557799592,3.698823795809561,0.6610934711739971,4.594383512363719,5.161746881840535,10.294820698834197,4.694924265345724,2.093911014499905,11.473844929795012,445.0152587890625,2.7780027389526367,618.767822265625,503.36737060546875,90.42169189453125,409.52960205078125,282.3806457519531,559.9077758789062,413.1544494628906,328.5228576660156,611.6637573242188,98.3261489868164,502.607177734375,371.00067138671875,210.8115997314453,498.1204833984375,209.76528930664062,531.5733642578125,137.57928466796875,302.595458984375,0.6868588328361511,0.7142159342765808,0.7625793814659119,0.5090376138687134,0.6424035429954529,0.6424035429954529,0.6155349016189575,0.5999022722244263,0.6116267442703247,0.6653639674186707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.933349609375,-57.564205169677734,-1.4283422231674194,246.6165313720703,-57.37807846069336,-1.4587892293930054,246.26254272460938,-57.382354736328125,-1.562259554862976,247.9484405517578,-57.122467041015625,-1.1168595552444458,247.97250366210938,-58.761505126953125,-1.7960772514343262,248.0612030029297,-60.07601547241211,-2.0997304916381836,248.13336181640625,-60.325042724609375,-2.089056968688965,248.1976318359375,-60.79296875,-1.9476903676986694,248.03250122070312,-60.50157165527344,-1.8046939373016357,247.80770874023438,-59.701194763183594,-1.6826586723327637,2.4084739420277623,4.57874860339608,-1.0,0.02161308203991131,4.952381044626236,0.0,33.42,100
L-1:4,16.28924656993093,2.793971041691363,4.753296970850261,10.421933101224425,7.84251549933088,6.83555341894022,1.4246752563816243,27.54379105354655,34.57484209014383,34.82296560710387,769.4929809570312,393.4267272949219,986.2435302734375,422.4236755371094,660.308837890625,1539.1773681640625,585.611328125,1394.406005859375,1090.3702392578125,599.3764038085938,1182.4715576171875,26.203689575195312,318.9896240234375,1145.2176513671875,20.53105354309082,961.5565185546875,329.178466796875,945.472412109375,939.0939331054688,760.65478515625,0.5305324792861938,0.6160234212875366,0.7039570212364197,0.7274059653282166,0.7000488638877869,0.6917440295219421,0.6516854166984558,0.36736688017845154,0.4167073667049408,0.4557889699935913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.86459350585938,-56.292903900146484,-0.8162299394607544,243.28834533691406,-55.778072357177734,-0.786353588104248,243.28834533691406,-55.778072357177734,-0.786353588104248,243.33447265625,-56.05564880371094,-0.9922633171081543,244.05763244628906,-57.32280731201172,-1.349521517753601,244.05763244628906,-57.32280731201172,-1.349521517753601,244.63262939453125,-58.251670837402344,-1.5393340587615967,245.1844940185547,-57.86210632324219,-1.092572808265686,244.70761108398438,-57.29824447631836,-0.8795216083526611,244.70761108398438,-57.29824447631836,-0.8795216083526611,5.940106462779235,18.12099756857744,-1.0,0.010484913793103448,9.5238097012043,3.77,15.29,108
L-1:5,0.931483277988705,0.8257153879608183,4.001012656172724,3.057482805682877,5.357448320778795,4.0140077465185815,3.1482920355336774,1.242476373540255,0.5565522313236554,0.9348472441856109,417.3995666503906,45.04420852661133,218.41432189941406,190.11268615722656,17.691448211669922,413.0920104980469,116.7801513671875,390.8848876953125,369.7618713378906,389.64288330078125,639.32080078125,138.39027404785156,715.2212524414062,312.3652648925781,54.18622970581055,234.0956573486328,228.70640563964844,406.82421875,373.43096923828125,376.0940856933594,0.5608206987380981,0.6619443297386169,0.7195896506309509,0.7166585326194763,0.7147044539451599,0.6795310378074646,0.686370313167572,0.27454811334609985,0.3834880292415619,0.4811919927597046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.47415161132812,-59.43447494506836,-1.4424225091934204,241.15274047851562,-59.477569580078125,-1.4903154373168945,240.88336181640625,-59.80312728881836,-1.6298023462295532,240.72972106933594,-60.63650894165039,-1.8523191213607788,240.59609985351562,-60.867496490478516,-1.9123178720474243,240.56475830078125,-61.372615814208984,-1.8892512321472168,240.65231323242188,-61.70104217529297,-1.8471821546554565,242.49142456054688,-61.6993522644043,-1.5145196914672852,242.18951416015625,-61.16344451904297,-1.4293975830078125,241.91845703125,-60.28037643432617,-1.4202131032943726,5.403065692762559,8.291971578712053,-1.0,0.02707524685052775,3.047619104385376,0.0,45.44,100
L-1:6,0.19180647704108206,2.324806440130154,1.0249948819979868,4.534532648092492,3.7935000742549136,3.695760616862594,3.472344772167149,3.1325861849669265,2.432337406012191,0.4822490784735391,317.9903564453125,36.88389205932617,439.2403259277344,310.8538818359375,244.33836364746094,664.7698364257812,217.13169860839844,679.4803466796875,605.697265625,473.5369567871094,657.7991333007812,58.95119857788086,799.616943359375,501.9562683105469,193.57752990722656,157.41188049316406,101.14506530761719,573.6056518554688,388.8121643066406,289.9278564453125,0.6424035429954529,0.7039570212364197,0.7405959963798523,0.7689301371574402,0.7601367831230164,0.7464582324028015,0.7274059653282166,0.8226673007011414,0.5295554399490356,0.5578895807266235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.8600311279297,-59.32509231567383,-1.0674997568130493,239.48240661621094,-58.91633987426758,-1.0846314430236816,239.24435424804688,-58.8521614074707,-1.1130776405334473,239.1173095703125,-59.44024658203125,-1.357153058052063,239.162841796875,-60.005035400390625,-1.4780018329620361,239.211181640625,-60.45133972167969,-1.4842990636825562,239.31033325195312,-60.850067138671875,-1.4640069007873535,239.38612365722656,-61.0887565612793,-1.3806020021438599,240.61346435546875,-60.991580963134766,-1.4054564237594604,240.1968994140625,-59.98408126831055,-1.1834906339645386,11.469053088794492,9.495978490260667,-1.0,0.02143939393939394,1.142857164144516,0.0,31.13,76
L-1:7,7.591721379012186,7.450977119546423,4.172050248426018,8.378103800107287,6.076280607409134,2.1688474530050628,0.8038476956083301,0.47995747844870956,6.362947586050843,4.266287441029019,600.326171875,142.90284729003906,519.6383666992188,396.3144226074219,75.13719177246094,166.932373046875,285.8385925292969,581.9903564453125,421.5207824707031,324.4607238769531,945.0816650390625,53.592472076416016,872.3976440429688,475.7953796386719,169.1077117919922,905.9613037109375,299.3939208984375,748.0880737304688,585.0076293945312,418.8038024902344,0.7625793814659119,0.7894479632377625,0.5153883695602417,0.6438691020011902,0.652662456035614,0.6409379839897156,0.6199315786361694,0.6047874689102173,0.6536394953727722,0.7166585326194763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.00181579589844,-57.84896469116211,-1.4790822267532349,236.7298126220703,-57.66298294067383,-1.5787911415100098,237.72683715820312,-56.91989517211914,-0.9740585088729858,237.69554138183594,-57.31421661376953,-1.2295572757720947,237.75344848632812,-59.03521728515625,-1.6883543729782104,237.7655029296875,-59.52595138549805,-1.7967042922973633,237.8206329345703,-59.80524826049805,-1.7998063564300537,237.84323120117188,-59.9423828125,-1.7066673040390015,237.72222900390625,-59.541561126708984,-1.572334885597229,237.52642822265625,-58.891319274902344,-1.4572324752807617,8.4215951191916,6.751664071669298,-1.0,0.016126857932941583,7.61904776096344,0.0,26.66,0
L-1:8,13.439088435462402,9.73437059680244,21.948472466654653,10.240379691192198,2.2635748595078233,13.1626448787178,26.79435658744332,28.303193550790656,32.77458280776708,28.15888609007278,1155.3814697265625,192.08950805664062,999.6361694335938,36.659461975097656,74.21199798583984,1397.9215087890625,736.4488525390625,1029.387939453125,800.230712890625,242.59756469726562,808.4108276367188,359.47857666015625,605.3225708007812,700.604736328125,77.86311340332031,838.6356201171875,441.36724853515625,898.7459716796875,563.7720947265625,721.8419799804688,0.6345872282981873,0.6780654788017273,0.758671224117279,0.767953097820282,0.7601367831230164,0.4504152536392212,0.47435271739959717,0.4890083074569702,0.49731314182281494,0.5901318788528442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.98715209960938,-57.821903228759766,-1.4722695350646973,234.98715209960938,-57.821903228759766,-1.4722695350646973,234.56248474121094,-57.55221939086914,-1.6282232999801636,234.56588745117188,-57.739627838134766,-1.6892637014389038,234.8636474609375,-58.559120178222656,-1.9088398218154907,235.93368530273438,-60.03398895263672,-1.7067666053771973,235.93368530273438,-60.03398895263672,-1.7067666053771973,235.76589965820312,-59.71316909790039,-1.6679985523223877,235.43215942382812,-58.910396575927734,-1.5174976587295532,235.43215942382812,-58.910396575927734,-1.5174976587295532,2.2942406781770845,26.510512509836207,-1.0,0.0119435736677116,9.142857313156128,1.66,15.24,0
L-1:9,0.41483955006545536,1.0412468844727458,3.2605765701193925,2.0271241381066605,2.449927203589252,2.0279123451274024,2.494625217571095,2.93805256679753,5.313800917400129,0.5841460548145179,439.3841857910156,111.63916778564453,471.0002746582031,377.20123291015625,107.03804016113281,595.1302490234375,226.982177734375,298.2490234375,328.52947998046875,317.98388671875,599.4066162109375,64.03923797607422,348.59625244140625,323.3311462402344,386.9508972167969,634.5454711914062,120.2004623413086,726.607666015625,578.4935302734375,373.1834716796875,0.6209086179733276,0.5979481935501099,0.5373717546463013,0.49877870082855225,0.4211040437221527,0.39814361929893494,0.3786028325557709,0.3829995095729828,0.7371763586997986,0.6604787707328796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.68551635742188,-57.03443145751953,-1.4859776496887207,231.47048950195312,-56.508853912353516,-1.308398962020874,231.57968139648438,-56.62070846557617,-1.3588950634002686,231.87213134765625,-57.49112319946289,-1.3673584461212158,232.46511840820312,-58.77529525756836,-1.5363829135894775,233.03195190429688,-59.884395599365234,-1.74030601978302,233.3152313232422,-59.7862663269043,-1.7111262083053589,233.3509521484375,-59.30641174316406,-1.6291000843048096,231.94252014160156,-58.42523956298828,-1.7877933979034424,231.81292724609375,-57.4236946105957,-1.6707390546798706,5.016157773038271,3.4175710928967007,1.0,0.0203142217630854,0.380952388048172,0.0,33.71,0
L-1:10,0.9941185696938191,3.2354430659574027,0.9708660085047436,5.566719824383216,0.7838648849999312,7.483829669982524,3.7064216005611703,5.0063418723121735,4.505247973685606,4.73161810982884,674.3981323242188,82.78355407714844,402.0903015136719,361.1886901855469,285.050048828125,714.7009887695312,178.93276977539062,691.8943481445312,411.0222473144531,348.75762939453125,1024.575927734375,0.11196427047252655,531.7889404296875,612.719970703125,200.6793975830078,834.6886596679688,86.03551483154297,505.98394775390625,675.7542114257812,521.0411987304688,0.6502198576927185,0.6839277148246765,0.7181240916252136,0.7357107996940613,0.7049340605735779,0.6951636672019958,0.33952125906944275,0.4548119306564331,0.5608206987380981,0.6013678312301636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1522216796875,-56.16173553466797,-1.2427102327346802,229.65078735351562,-55.64087677001953,-1.2254728078842163,229.57952880859375,-56.3602180480957,-1.416937232017517,229.67459106445312,-57.26932144165039,-1.6340432167053223,229.85272216796875,-58.935340881347656,-1.8786371946334839,229.90354919433594,-59.411128997802734,-1.940058946609497,231.76507568359375,-58.763362884521484,-1.5628008842468262,231.5010223388672,-58.7152214050293,-1.5461254119873047,231.07574462890625,-57.916622161865234,-1.3917661905288696,230.82345581054688,-57.360572814941406,-1.3574433326721191,3.0366487088636944,2.0045819098025075,-1.0,0.016916070820565204,0.0,0.0,28.39,0
