Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,14.768573250186938,3.2375936962987257,1.239005557613276,6.722921333411307,2.901761899175199,11.880759761081656,19.035063426776816,22.463780443663882,21.463068933004603,15.961781409735632,1087.09619140625,192.31642150878906,816.9926147460938,421.1073303222656,474.4478454589844,1088.176025390625,123.2382583618164,817.4888916015625,638.8279418945313,306.1467590332031,1570.8321533203125,527.9254150390625,697.3302612304688,400.3377380371094,292.6178894042969,827.0714721679688,338.6338195800781,1072.278564453125,578.4064331054688,574.231689453125,0.22745099663734436,0.22352942824363708,0.2196078598499298,0.22352942824363708,0.23137256503105164,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4962233019203,15.472105645939287,1.0,0.013660860097985845,10.5,0.0,14.34,100
L-1:2,3.370015051778596,6.618122365835305,4.919065832412398,1.1363346520424387,3.482264102045013,5.758480852410861,2.0316337455319373,1.2231533913124166,2.2475881766113472,4.448810170764499,1927.0833740234375,94.44182586669922,790.8726806640625,726.3712768554688,153.54443359375,1045.322021484375,151.68800354003906,750.3556518554688,1097.72998046875,722.6766357421875,910.732177734375,48.25240707397461,924.8306884765625,716.1871337890625,308.5058898925781,1112.2554931640625,277.5062255859375,1562.5689697265625,979.1802978515625,469.2922058105469,0.22745099663734436,0.23137256503105164,0.22745099663734436,0.2196078598499298,0.23137256503105164,0.2392157018184662,0.2392157018184662,0.2352941334247589,0.2352941334247589,0.22745099663734436,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.218768365157617,4.124627871888635,-1.0,0.010671603677221654,3.5,0.0,11.94,36
L-1:3,10.553660851973746,2.548283152823861,2.2899490271598975,1.2101450367626994,11.054425335475454,3.196905610008139,9.841102873557327,6.4846769668527,3.9363303878379563,4.072528524684886,1263.0123291015625,101.04656219482422,1064.4176025390625,473.6351013183594,217.05340576171875,547.0870971679688,365.9845275878906,1090.446533203125,1703.252197265625,1419.4093017578125,1113.8956298828125,72.54546356201172,1554.1815185546875,1347.5477294921875,702.3087158203125,1011.8860473632813,102.72278594970703,1187.8048095703125,978.715087890625,392.0223083496094,0.23137256503105164,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.2352941334247589,0.2392157018184662,0.2392157018184662,0.2352941334247589,0.23137256503105164,0.23137256503105164,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.21535971881954,6.975799525266912,1.0,0.009577594123048669,5.0,0.0,11.92,100
L-1:4,23.389741654036303,41.52171103557072,43.553819299592845,18.387775987337843,4.482042149979084,12.431165046502603,18.51386908176615,18.46711589033938,2.0805983065360274,2.9823628249005956,1256.475830078125,510.79376220703125,1833.4700927734375,293.910888671875,638.013671875,1698.162109375,1418.520751953125,1036.7109375,1639.986328125,577.189697265625,1069.3167724609375,198.04531860351563,874.7738647460938,898.5406494140625,1084.6802978515625,1949.3956298828125,86.57488250732422,1318.95751953125,0.0,0.0,0.2196078598499298,0.2196078598499298,0.22745099663734436,0.2392157018184662,0.24313727021217346,0.250980406999588,0.24705883860588074,0.24313727021217346,0.2392157018184662,0.21176472306251526,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.929915142330907,32.55717856120077,-1.0,0.008877767310409797,9.0,8.01,10.77,4
L-1:5,4.956290396736797,4.930474042170332,17.742443932825456,11.797424714033674,15.869784226726797,7.725523008315811,2.3783111133779435,5.7088262933098095,4.529652081353693,4.374035045468152,2058.97412109375,89.76177215576172,512.4995727539063,546.2470092773438,571.2536010742188,1271.797607421875,627.8329467773438,1199.832275390625,905.7822265625,527.9742431640625,1421.2926025390625,286.89593505859375,591.0266723632813,765.9624633789063,627.1312255859375,1948.0364990234375,345.42626953125,1310.885498046875,1390.5045166015625,805.3978881835938,0.22745099663734436,0.23137256503105164,0.21568629145622253,0.23137256503105164,0.2392157018184662,0.24313727021217346,0.24313727021217346,0.24313727021217346,0.2352941334247589,0.23137256503105164,0.30000001192092896,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2342114505094,11.451007417054493,-1.0,0.008887674825174824,9.5,0.0,11.62,0
L-1:6,3.1934620437172696,0.16718576683215497,4.90085082990386,19.88454998082962,19.17601043940575,2.7386378127630158,6.584652730207384,7.252048321045636,9.22884350014561,3.1655794784234916,1645.1358642578125,89.2688217163086,1088.2352294921875,731.8546142578125,775.1258544921875,1341.3917236328125,227.65101623535156,1396.8260498046875,1222.6239013671875,939.7538452148438,2010.3316650390625,465.0806579589844,1333.533203125,951.330322265625,794.6329345703125,1624.1463623046875,601.617919921875,1698.66259765625,987.6942749023438,1123.3084716796875,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.2392157018184662,0.2392157018184662,0.2352941334247589,0.23137256503105164,0.23137256503105164,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41409865163733,7.421322742995681,1.0,0.007868935996738687,2.0,0.0,11.03,0
L-1:7,4.122253401956273,6.098598234846612,14.071627879473178,10.153119501664849,4.087491962353611,15.368588575362667,26.72569569985879,5.71192065301994,7.006304074927528,3.576958868222708,1061.6917724609375,308.48175048828125,1331.578369140625,808.3917236328125,590.0355834960938,1570.7423095703125,932.3338623046875,1227.465087890625,1490.31884765625,1156.9178466796875,1790.1038818359375,529.9795532226563,608.4113159179688,1194.884033203125,294.51080322265625,2443.638671875,672.4782104492188,1358.578125,771.8524780273438,967.878173828125,0.2039215862751007,0.21568629145622253,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.23137256503105164,0.2392157018184662,0.23137256503105164,0.23137256503105164,0.22352942824363708,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.272146271890426,5.273949097136077,-1.0,0.008583718541345662,5.5,0.0,9.55,0
L-1:8,3.358531670840735,11.136987821633753,2.609803740020674,6.561675420143655,24.436950346834724,18.360417049148236,16.31928636653729,7.49494221624285,2.571574038456923,2.3675583434805523,1046.0770263671875,165.63780212402344,813.6168212890625,456.829345703125,251.01046752929688,1025.909912109375,0.0,0.0,676.4844360351563,663.1660766601563,1288.5428466796875,64.36378479003906,1023.403564453125,699.4677124023438,196.34271240234375,928.1051025390625,420.9142150878906,1392.0535888671875,929.9823608398438,741.9908447265625,0.22745099663734436,0.22352942824363708,0.2196078598499298,0.20784315466880798,0.22352942824363708,0.2392157018184662,0.24313727021217346,0.2352941334247589,0.23137256503105164,0.23137256503105164,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.928092230396754,12.22923223587084,1.0,0.01048606502986065,8.0,7.23,18.06,0
L-1:9,1.8242395559228186,3.9212019544861527,2.292572163612225,5.8614019745881265,4.294118221483507,2.6360043119834784,3.283434266287796,3.075098473436346,5.446413918808232,1.9836103721915135,1165.7301025390625,147.99424743652344,805.9244384765625,724.6488037109375,132.98605346679688,575.0508422851563,211.49534606933594,273.85858154296875,938.5810546875,671.0751953125,735.0338745117188,51.98944854736328,450.4560546875,421.2372741699219,348.67364501953125,1148.6851806640625,392.1011047363281,750.8495483398438,636.389892578125,576.6762084960938,0.22352942824363708,0.22352942824363708,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.2392157018184662,0.2352941334247589,0.23137256503105164,0.22745099663734436,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.464675632475238,9.47839050794062,-1.0,0.013797884505431676,0.5,0.0,13.79,0
L-1:10,1.0182876091602753,5.351651655215422,4.889368401373694,8.308588486853717,6.585605300928247,3.384836064678546,4.317623221670597,3.4882345868385527,5.835477937300848,6.178121031390058,1067.4010009765625,11.450979232788086,889.2911987304688,715.4635009765625,784.232421875,1150.22119140625,160.1017303466797,1283.376953125,1145.358154296875,631.0250244140625,1570.5992431640625,235.10174560546875,889.9109497070313,425.41455078125,572.0353393554688,1478.2886962890625,406.32330322265625,1397.1627197265625,883.698486328125,739.6002197265625,0.22745099663734436,0.22745099663734436,0.22352942824363708,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.841770863031432,0.9746861377379985,1.0,0.010760869565217391,2.5,0.0,10.89,0
