Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.4752158226795484,3.9514693518563506,2.7068889228208524,10.840489291908792,1.7602682196448332,8.43993404742321,9.595097785709374,14.539823972953384,11.329083092913642,0.6825692745286102,749.25,164.67002868652344,602.4190063476562,460.0981140136719,251.83551025390625,1007.7949829101562,185.4590301513672,547.737060546875,471.68524169921875,325.9855651855469,825.4013061523438,50.79111862182617,657.250244140625,518.1920776367188,509.89959716796875,948.70556640625,217.09014892578125,917.9388427734375,640.7438354492188,425.99530029296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.05882353335618973,0.05490196496248245,0.05882353335618973,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05882353335618973,0.05490196496248245,196.02879333496094,-27.427837371826172,0.962382435798645,197.5519256591797,-26.51244354248047,2.7967426776885986,198.2642822265625,-27.005979537963867,3.2978081703186035,196.26864624023438,-29.89727020263672,2.1115927696228027,193.45362854003906,-30.68552017211914,-2.080862045288086,192.3440704345703,-32.223052978515625,-4.386475563049316,191.931884765625,-33.974281311035156,-7.161927223205566,192.336669921875,-33.59099578857422,-6.860162258148193,193.2532196044922,-31.301902770996094,-4.39879035949707,194.3000946044922,-29.65812110900879,-2.7341907024383545,3.0851586240178257,6.799770864698129,-1.0,0.013015114469882195,4.75,0.0,33.46,40
L-1:2,0.28006069070563194,2.980185893907962,6.758912697899861,1.7611907779399487,11.142709999059587,4.197872694872191,5.629606768579392,13.20424483906894,13.041162922836058,1.8565555747844031,996.6630249023438,239.91452026367188,972.9761352539062,784.7741088867188,545.1558227539062,1048.8751220703125,681.41845703125,817.2809448242188,960.3410034179688,500.8072509765625,967.1629638671875,55.25910949707031,786.8110961914062,809.12939453125,335.9296569824219,858.6710205078125,370.57623291015625,1035.2020263671875,730.9591064453125,620.1162109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.05882353335618973,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.062745101749897,0.06666667014360428,0.06666667014360428,194.64483642578125,-28.520872116088867,0.17048539221286774,193.83544921875,-28.4705810546875,0.8663617372512817,194.1592254638672,-28.848562240600586,0.8351771235466003,192.9877471923828,-30.00248908996582,0.19737321138381958,191.19558715820312,-31.551496505737305,-1.8646328449249268,193.56178283691406,-31.34506607055664,-3.596444606781006,193.03216552734375,-32.03017044067383,-5.229460716247559,192.96717834472656,-31.789331436157227,-4.823733806610107,193.22567749023438,-31.24944305419922,-4.134139060974121,193.8333740234375,-29.89837646484375,-2.447141647338867,8.108387322816212,4.378584845192396,-1.0,0.012309118374073056,4.5,0.0,25.61,36
L-1:3,7.565857701463137,5.769318431989391,5.046664669541856,6.968095322251589,1.569589481060804,7.8685489450088575,4.381568877143953,3.4637122948294787,11.21460193243908,7.038012572635161,1098.728271484375,121.43814849853516,1332.8179931640625,855.863525390625,643.0985107421875,1235.5511474609375,400.21875,1149.6175537109375,596.1903686523438,214.04835510253906,980.3350830078125,144.19241333007812,1020.483154296875,384.249267578125,378.0853576660156,1611.9173583984375,286.0941467285156,819.1343383789062,1184.12060546875,756.7655639648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.062745101749897,0.062745101749897,0.05098039656877518,0.062745101749897,0.05490196496248245,192.27464294433594,-25.60721778869629,1.747399091720581,192.48011779785156,-25.3580379486084,1.9217114448547363,192.48011779785156,-25.3580379486084,1.9217114448547363,192.00433349609375,-26.874279022216797,0.12664717435836792,191.10289001464844,-29.315980911254883,-1.7987581491470337,190.66412353515625,-31.15822410583496,-2.9018454551696777,190.15365600585938,-31.285017013549805,-2.4308032989501953,190.15365600585938,-31.285017013549805,-2.4308032989501953,191.68711853027344,-29.856460571289062,-1.9149080514907837,191.80824279785156,-27.94987678527832,-0.4093206822872162,8.845346043935358,4.58920317218186,1.0,0.010370061875297477,3.25,0.0,24.9,100
L-1:4,7.831345434436956,1.2153213157565903,1.247537797645804,17.845189532089655,12.180991531745203,24.474767108311845,23.461513490578294,22.398567977023944,10.621662281725824,2.135115780774385,1501.1671142578125,171.77151489257812,974.3495483398438,496.9844055175781,203.88162231445312,922.8173828125,309.53314208984375,1070.3145751953125,816.4360961914062,663.8743286132812,1151.4521484375,161.02694702148438,1069.6619873046875,620.2484741210938,694.2756958007812,1481.752685546875,110.66631317138672,921.6757202148438,577.1818237304688,537.5792846679688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05882353335618973,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.06666667014360428,0.07058823853731155,0.0470588281750679,0.0470588281750679,0.062745101749897,200.2723846435547,-33.82107162475586,-3.1189024448394775,203.09677124023438,-32.912899017333984,-0.827595055103302,203.30747985839844,-33.85693359375,-0.38490280508995056,201.2987823486328,-34.36174392700195,-1.9795644283294678,199.21983337402344,-35.92294692993164,-4.008944511413574,194.4153594970703,-37.36610794067383,-7.870537757873535,194.22494506835938,-38.36449432373047,-8.60617446899414,194.4130859375,-38.122406005859375,-9.357389450073242,195.0263671875,-37.66057205200195,-8.59005355834961,198.1172637939453,-35.130157470703125,-5.052319526672363,16.073882348583478,15.636749847779061,-1.0,0.011319355527102006,15.0,46.68,30.31,68
L-1:5,1.8285016055059646,4.944244277676525,1.8700793725952047,7.673618389835991,0.9069436736652744,15.503170058421974,15.872063616078076,8.054837696309901,7.88499701447621,0.35108132648124535,1607.2750244140625,267.4523010253906,1680.3297119140625,1137.30126953125,569.0021362304688,1404.326416015625,491.858642578125,1408.4210205078125,592.37158203125,253.46011352539062,1353.110595703125,319.8976745605469,853.3019409179688,834.1238403320312,270.7933044433594,1174.8218994140625,192.38648986816406,1093.504638671875,939.5479736328125,1169.0047607421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.07450980693101883,0.08235294371843338,0.0784313753247261,0.0784313753247261,0.07450980693101883,0.062745101749897,197.51405334472656,-26.992666244506836,3.107877492904663,197.64212036132812,-26.921560287475586,3.3282852172851562,197.59725952148438,-28.026002883911133,2.3477277755737305,196.939208984375,-31.05130958557129,0.11946436762809753,195.0428924560547,-33.87715148925781,-0.8352664113044739,194.0753173828125,-35.42595291137695,-1.7626326084136963,193.95556640625,-35.219627380371094,-2.0271496772766113,194.26351928710938,-32.30205154418945,-0.7360097765922546,195.4034423828125,-28.853883743286133,1.5029933452606201,196.26979064941406,-27.781152725219727,2.8367421627044678,2.9306671539158136,6.270266752190335,1.0,0.009860769860769862,11.5,0.0,20.64,64
L-1:6,3.5961868648668713,0.5003111399086227,0.06844347510498139,4.835156432791418,7.3470256051966505,2.0840356278842775,8.707192469811261,10.340753262559113,2.4263641234261195,3.4146081035705893,1157.9017333984375,34.18203353881836,505.42108154296875,134.00978088378906,356.0288391113281,987.5159301757812,573.8590087890625,1141.4111328125,814.2224731445312,647.7017822265625,1153.6494140625,156.1273651123047,1118.925048828125,956.511474609375,377.8385925292969,1078.76953125,196.4813232421875,1023.07958984375,880.611083984375,245.52993774414062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.05098039656877518,0.05490196496248245,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.062745101749897,0.06666667014360428,196.44210815429688,-35.92167282104492,-5.48878812789917,198.1200714111328,-35.814117431640625,-5.140336990356445,197.4883575439453,-32.257320404052734,-1.1017009019851685,195.98435974121094,-34.370792388916016,-2.2575488090515137,193.1583251953125,-36.994564056396484,-5.002100944519043,191.26663208007812,-40.07717514038086,-7.631295204162598,190.64071655273438,-41.957359313964844,-8.790708541870117,191.62452697753906,-41.82821273803711,-8.47475814819336,192.21505737304688,-40.29087829589844,-7.610701084136963,193.68531799316406,-37.64146041870117,-6.257777690887451,14.474224463788207,9.457196359298178,-1.0,0.010381212121212121,3.25,0.0,24.47,68
L-1:7,6.439794039068719,9.726052535720626,4.838907611014216,16.07995208203173,6.491561590212555,2.648932936698285,4.392971093887139,8.386244331757462,4.093381426163212,5.605525542038838,1105.00390625,87.34391784667969,948.2412719726562,439.1900939941406,53.84040832519531,282.6260681152344,425.57147216796875,1380.5966796875,824.9618530273438,699.8226928710938,1218.6905517578125,83.57886505126953,1018.4701538085938,849.5479736328125,507.74285888671875,1189.0048828125,211.7345733642578,1287.986572265625,978.8262329101562,488.4382019042969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.04313725605607033,0.027450982481241226,0.04313725605607033,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.0470588281750679,193.32571411132812,-32.159324645996094,-4.564051151275635,195.76296997070312,-31.583820343017578,-3.80568265914917,196.75172424316406,-33.102783203125,-4.727926254272461,193.10414123535156,-37.03544616699219,-8.2382173538208,188.7412567138672,-40.49223709106445,-11.901999473571777,186.51980590820312,-42.37567901611328,-13.21263313293457,184.60595703125,-43.909523010253906,-13.561808586120605,186.05508422851562,-42.981971740722656,-12.718031883239746,187.61427307128906,-40.63629913330078,-11.189379692077637,189.87705993652344,-36.694698333740234,-9.318436622619629,8.474841640196944,14.415110304339413,-1.0,0.010770680741059888,1.75,0.0,28.57,68
L-1:8,14.500495770627781,13.43842228493539,8.517618200680946,10.481277652379646,0.7562685469608227,1.1518338384533813,4.833196170878605,2.8833032164571346,2.37312645390854,8.032649494789835,1445.7149658203125,188.36985778808594,1210.9476318359375,430.1416320800781,263.1612243652344,886.2564086914062,119.8247299194336,876.5960693359375,208.62355041503906,442.0371398925781,688.45458984375,23.398067474365234,880.1481323242188,962.196533203125,181.4000244140625,633.5767211914062,447.1238708496094,940.2821044921875,674.5208740234375,472.6661071777344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.062745101749897,0.06666667014360428,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.05098039656877518,194.9757080078125,-32.08915710449219,-1.6307209730148315,196.0446319580078,-32.130828857421875,-1.9138609170913696,195.65658569335938,-32.40717315673828,-4.103810787200928,194.39370727539062,-33.42140579223633,-6.138613224029541,193.0244140625,-36.06559753417969,-7.813334941864014,191.23904418945312,-39.02073287963867,-10.096258163452148,190.22415161132812,-38.605010986328125,-10.274889945983887,191.90380859375,-39.58654022216797,-8.53744888305664,192.8510284423828,-36.65094757080078,-6.212888240814209,193.7593536376953,-33.635372161865234,-3.4102089405059814,5.221206909031097,13.63597875419096,1.0,0.011879122454832233,6.25,9.9,23.67,108
L-1:9,1.6491593502448452,2.4048735360271403,1.0993857119768593,7.843193108104717,1.1395771877964445,12.443618572926308,13.985566667247348,9.785649600868652,4.776957826857322,1.458508150132336,1321.2203369140625,144.97024536132812,830.3926391601562,502.80401611328125,405.6731872558594,913.0413818359375,573.80810546875,1130.9412841796875,1133.898193359375,1211.243896484375,893.1797485351562,196.99545288085938,754.5634155273438,793.940673828125,572.3032836914062,710.7412109375,475.1046447753906,1482.4766845703125,797.5030517578125,988.4619140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.05098039656877518,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05490196496248245,0.05490196496248245,194.1334991455078,-28.403409957885742,-0.03207435831427574,194.2309112548828,-28.34290885925293,-0.06665818393230438,193.81210327148438,-29.343433380126953,-0.8234013915061951,191.74203491210938,-33.223915100097656,-3.1808414459228516,189.32513427734375,-36.06501007080078,-5.314797401428223,189.46470642089844,-39.654354095458984,-8.39151382446289,189.19082641601562,-39.33250045776367,-8.102993965148926,189.0482635498047,-37.16217041015625,-6.794921398162842,190.65798950195312,-33.217613220214844,-4.206763744354248,192.8407745361328,-29.803573608398438,-1.4879169464111328,3.2599780160361607,6.533372095768362,1.0,0.010623737373737374,4.0,0.0,24.04,0
L-1:10,5.813320307119165,1.1059179875338412,8.596925288032674,7.487631861966502,5.322642151473331,2.1471729232877355,2.2122211933547353,2.669925757595868,0.606270597091344,2.580278352783185,1071.8394775390625,47.31378936767578,344.6727600097656,331.56573486328125,219.3657684326172,721.0237426757812,283.46087646484375,848.5988159179688,1050.40771484375,593.7841796875,1287.408447265625,193.51536560058594,1136.532958984375,968.427490234375,552.474853515625,1161.3406982421875,502.121826171875,997.2001953125,735.7137451171875,502.28277587890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.0470588281750679,0.0470588281750679,0.05490196496248245,0.05490196496248245,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.062745101749897,0.05882353335618973,192.39723205566406,-31.65688133239746,-2.313115358352661,196.1962432861328,-30.565521240234375,-0.08453130722045898,195.3305206298828,-27.57223892211914,-0.2106800079345703,194.46160888671875,-29.056732177734375,-1.1676247119903564,191.596923828125,-31.893526077270508,-3.354840040206909,189.6348876953125,-34.935970306396484,-4.646166801452637,189.03414916992188,-36.77583312988281,-6.411143779754639,189.1155548095703,-36.83123016357422,-6.521603584289551,189.99237060546875,-35.553138732910156,-5.978867530822754,190.9468994140625,-33.59475326538086,-3.9781675338745117,8.580664976089253,5.579139986956095,-1.0,0.010358108108108107,3.75,0.0,24.09,0
