Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.329920972439813,2.7340604517278946,3.1677198844887657,2.243822276414777,2.509660003324203,3.267315865154089,1.6597252814655146,7.288585585044686,2.8452156182237136,5.234981597643975,210.37623596191406,28.082176208496094,139.05136108398438,160.85072326660156,123.95940399169922,334.8570861816406,123.82521057128906,271.88134765625,204.89553833007812,134.10067749023438,457.74542236328125,18.983999252319336,213.86300659179688,201.59471130371094,20.404939651489258,348.2972412109375,24.88727569580078,275.96966552734375,249.93701171875,130.72535705566406,0.0941176563501358,0.10196079313755035,0.0941176563501358,0.09803922474384308,0.09803922474384308,0.10196079313755035,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.07058823853731155,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.1666666716337204,0.23333334922790527,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.10000000894069672,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,2.2414183321738035,1.827044994360296,1.0,0.0364017199017199,2.5,0.0,42.33,32
L-1:2,0.6077648833780633,2.5498315140335817,1.8398273453278589,2.1035533153057426,0.7285162752415737,0.397857370191404,4.010699598927057,0.8193396215169914,7.771957910124585,0.5683658042815426,479.3258056640625,18.502168655395508,323.9134826660156,201.42584228515625,196.91697692871094,513.0963134765625,118.9913101196289,227.950927734375,183.29664611816406,194.61636352539062,228.02389526367188,4.455570220947266,232.4188232421875,132.48785400390625,156.3747100830078,307.604736328125,111.20209503173828,471.5391540527344,336.7491149902344,354.3301696777344,0.10588236153125763,0.10588236153125763,0.11764706671237946,0.1098039299249649,0.0941176563501358,0.08235294371843338,0.0941176563501358,0.09803922474384308,0.09803922474384308,0.10196079313755035,0.23333334922790527,0.13333334028720856,0.10000000894069672,0.1666666716337204,0.20000001788139343,0.10000000894069672,0.20000001788139343,0.13333334028720856,0.23333334922790527,0.10000000894069672,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,3.3876771505861565,4.382220268897977,1.0,0.032273794280836536,0.5,0.0,43.21,100
L-1:3,3.3208634873033875,2.4215917980760135,0.9225701688824455,1.8588046386791084,0.9633643535926351,3.130607900749993,1.350961831720747,5.259253582578997,1.954242247701946,1.6683633687814547,332.4990234375,5.868754863739014,285.78558349609375,233.92160034179688,155.929443359375,340.61199951171875,166.1955108642578,338.33416748046875,305.5256652832031,316.17657470703125,498.03424072265625,43.843910217285156,169.01292419433594,260.3913879394531,104.3131103515625,325.25482177734375,202.26812744140625,412.371337890625,410.4357604980469,347.05108642578125,0.09019608050584793,0.09019608050584793,0.08235294371843338,0.0941176563501358,0.09803922474384308,0.0941176563501358,0.09803922474384308,0.10196079313755035,0.0941176563501358,0.09803922474384308,0.10000000894069672,0.20000001788139343,0.10000000894069672,0.1666666716337204,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.3333333432674408,0.30000001192092896,0.10000000894069672,184.01515197753906,-1.6506109237670898,1.7065638303756714,184.43479919433594,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,183.4835968017578,-1.6506109237670898,1.7065638303756714,183.51156616210938,-1.6506109237670898,1.7065638303756714,13.570067197355147,5.61955354905155,1.0,0.02972107438016529,5.5,0.0,36.99,36
L-1:4,13.960738124083191,12.77263149102058,9.153945244943523,0.9527622297018018,6.6624436150829185,15.504551211657994,9.765408677463816,4.178123157527965,12.037249411382167,13.736076383712438,599.5210571289062,69.16252899169922,432.28436279296875,366.1208190917969,155.86695861816406,271.5494384765625,47.23981857299805,313.401123046875,356.6219177246094,270.0715026855469,547.756591796875,167.77708435058594,371.71893310546875,289.00146484375,117.26091766357422,567.3596801757812,283.5446472167969,803.6075439453125,446.634521484375,387.3911437988281,0.1098039299249649,0.1098039299249649,0.10196079313755035,0.08627451211214066,0.09019608050584793,0.10196079313755035,0.1098039299249649,0.10196079313755035,0.10588236153125763,0.11764706671237946,0.10000000894069672,0.13333334028720856,0.20000001788139343,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.30000001192092896,0.1666666716337204,0.10000000894069672,0.10000000894069672,184.96633911132812,-1.6506109237670898,1.7065638303756714,185.37200927734375,-1.6506109237670898,1.7065638303756714,185.37200927734375,-1.6506109237670898,1.7065638303756714,185.37200927734375,-1.6506109237670898,1.7065638303756714,185.00831604003906,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,184.96633911132812,-1.6506109237670898,1.7065638303756714,185.4559326171875,-1.6506109237670898,1.7065638303756714,184.88241577148438,-1.6506109237670898,1.7065638303756714,184.43479919433594,-1.6506109237670898,1.7065638303756714,1.6388497290183146,22.416348564431733,1.0,0.023462450592885375,5.0,3.36,33.92,32
L-1:5,2.5034168662672776,1.926166335372964,1.256558746842254,4.655142555457406,5.486872162484092,2.8090553807917837,1.3207632871184625,1.2579123951412219,0.5059924831041704,3.352419969498414,416.2831115722656,57.833778381347656,284.1684875488281,164.970947265625,131.82603454589844,360.0762634277344,86.19336700439453,276.426513671875,331.9738464355469,195.77357482910156,212.90118408203125,46.459381103515625,222.4662628173828,177.71327209472656,146.22372436523438,357.7908935546875,124.0927963256836,383.63873291015625,348.137451171875,277.5690612792969,0.10588236153125763,0.10588236153125763,0.10196079313755035,0.09803922474384308,0.08627451211214066,0.062745101749897,0.09803922474384308,0.09803922474384308,0.10588236153125763,0.10588236153125763,0.10000000894069672,0.13333334028720856,0.10000000894069672,0.23333334922790527,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.20000001788139343,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.63063049316406,-1.6506109237670898,1.7065638303756714,184.0850830078125,-1.6506109237670898,1.7065638303756714,183.53955078125,-1.6506109237670898,1.7065638303756714,184.67259216308594,-1.6506109237670898,1.7065638303756714,184.19699096679688,-1.6506109237670898,1.7065638303756714,184.67259216308594,-1.6506109237670898,1.7065638303756714,184.155029296875,-1.6506109237670898,1.7065638303756714,184.11306762695312,-1.6506109237670898,1.7065638303756714,2.3212350431121935,3.302565718309962,1.0,0.03317627494456763,1.0,0.0,34.2,0
L-1:6,1.4356099617648521,3.58018948288219,6.765561621942203,4.6283068449087965,1.1058121604605742,2.3942624240391157,2.7533331633846756,2.9514001382550137,1.4637087677627303,1.4594208993058517,301.6523132324219,70.60008239746094,513.722412109375,381.3791809082031,138.73114013671875,166.23887634277344,86.56682586669922,331.1422424316406,180.63868713378906,186.5433349609375,304.4405822753906,35.696998596191406,330.5821228027344,121.53582763671875,62.3371467590332,499.83203125,36.90784454345703,381.5389709472656,370.7986755371094,199.8751983642578,0.10588236153125763,0.0784313753247261,0.08627451211214066,0.0941176563501358,0.10588236153125763,0.10588236153125763,0.11372549831867218,0.10196079313755035,0.10196079313755035,0.09803922474384308,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.20000001788139343,0.30000001192092896,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,185.19015502929688,-1.6506109237670898,1.7065638303756714,184.67259216308594,-1.6506109237670898,1.7065638303756714,185.19015502929688,-1.6506109237670898,1.7065638303756714,184.7145538330078,-1.6506109237670898,1.7065638303756714,184.8404541015625,-1.6506109237670898,1.7065638303756714,184.155029296875,-1.6506109237670898,1.7065638303756714,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.5886688232422,-1.6506109237670898,1.7065638303756714,184.50473022460938,-1.6506109237670898,1.7065638303756714,185.05027770996094,-1.6506109237670898,1.7065638303756714,2.218177246168522,5.869257638195062,-1.0,0.032360139860139865,0.5,0.0,37.02,0
L-1:7,1.0661951719013962,2.8784664628094667,2.1963749127143894,1.5312099144509006,2.194924965654845,0.9114608544644047,1.8108525192669276,1.853573864824845,2.7706255740189323,6.312712039861187,196.63714599609375,26.939321517944336,89.6572494506836,130.72650146484375,63.059059143066406,262.779541015625,42.18452453613281,389.8149108886719,142.4945068359375,177.94638061523438,304.5977783203125,6.8116044998168945,348.7046203613281,326.2432861328125,224.07176208496094,471.38525390625,258.53521728515625,213.6779327392578,200.38584899902344,181.57147216796875,0.10196079313755035,0.10196079313755035,0.09803922474384308,0.0941176563501358,0.09803922474384308,0.0941176563501358,0.0941176563501358,0.08627451211214066,0.08627451211214066,0.0941176563501358,0.20000001788139343,0.13333334028720856,0.1666666716337204,0.06666667014360428,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.23333334922790527,0.20000001788139343,0.10000000894069672,185.00831604003906,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.43479919433594,-1.6506109237670898,1.7065638303756714,184.43479919433594,-1.6506109237670898,1.7065638303756714,184.50473022460938,-1.6506109237670898,1.7065638303756714,183.94520568847656,-1.6506109237670898,1.7065638303756714,185.55384826660156,-1.6506109237670898,1.7065638303756714,184.0850830078125,-1.6506109237670898,1.7065638303756714,184.7145538330078,-1.6506109237670898,1.7065638303756714,184.7145538330078,-1.6506109237670898,1.7065638303756714,2.662919785342149,3.3565040298234434,-1.0,0.034695855614973264,0.5,0.0,44.49,0
L-1:8,4.292741384014051,8.023715397986035,7.89619932100472,6.7587121841771145,10.924550113989998,13.754822254419997,6.6247598625212465,0.7407701718451559,2.045369315211851,8.685805400967496,506.5787353515625,121.48773193359375,367.74981689453125,521.3803100585938,254.97610473632812,454.1569519042969,48.5525016784668,513.1527099609375,480.49053955078125,231.0814971923828,276.19097900390625,26.353544235229492,284.7066650390625,157.96209716796875,150.991455078125,298.44464111328125,116.87647247314453,592.2881469726562,375.763427734375,273.33441162109375,0.10196079313755035,0.11372549831867218,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10196079313755035,0.10196079313755035,0.10196079313755035,0.06666667014360428,0.09803922474384308,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.23333334922790527,0.13333334028720856,0.20000001788139343,0.10000000894069672,0.20000001788139343,184.67259216308594,-1.6506109237670898,1.7065638303756714,185.86158752441406,-1.6506109237670898,1.7065638303756714,187.05059814453125,-1.6506109237670898,1.7065638303756714,187.8059539794922,-1.6506109237670898,1.7065638303756714,185.19015502929688,-1.6506109237670898,1.7065638303756714,184.67259216308594,-1.6506109237670898,1.7065638303756714,184.63063049316406,-1.6506109237670898,1.7065638303756714,185.23211669921875,-1.6506109237670898,1.7065638303756714,186.4490966796875,-1.6506109237670898,1.7065638303756714,184.01515197753906,-1.6506109237670898,1.7065638303756714,3.6353686604727695,7.9737398121320595,1.0,0.02617098133654425,5.0,3.13,24.84,0
L-1:9,2.843992664103616,6.414743859221533,2.7908917716450405,2.914741808363764,0.9867351536882671,3.2406399522547815,2.975036100095388,0.9913976234356058,2.6850842800432106,3.1267163742163584,376.53631591796875,87.52836608886719,331.2929382324219,315.789794921875,137.14364624023438,352.8818359375,0.013330279849469662,284.7278747558594,262.4712219238281,174.26980590820312,260.9257507324219,36.978721618652344,218.4330291748047,176.147705078125,126.5682601928711,415.32952880859375,299.80633544921875,547.1464233398438,280.1982727050781,212.7160186767578,0.10588236153125763,0.09803922474384308,0.10196079313755035,0.10196079313755035,0.09803922474384308,0.10196079313755035,0.09803922474384308,0.08235294371843338,0.0784313753247261,0.10196079313755035,0.10000000894069672,0.20000001788139343,0.20000001788139343,0.10000000894069672,0.13333334028720856,0.10000000894069672,0.20000001788139343,0.20000001788139343,0.10000000894069672,0.13333334028720856,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.50473022460938,-1.6506109237670898,1.7065638303756714,184.50473022460938,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.54669189453125,-1.6506109237670898,1.7065638303756714,184.54669189453125,-1.6506109237670898,1.7065638303756714,3.9963592587966117,4.848341106260017,-1.0,0.03439294258373205,4.0,0.0,32.86,0
L-1:10,2.037367487105821,3.4094984190876696,2.1204513183661957,4.216339060079444,4.617531346812265,7.770436191327649,6.658046324347365,4.537539203295989,1.5696803272412765,0.5578658686528715,416.96875,89.64032745361328,249.03749084472656,198.67669677734375,114.92003631591797,318.7437438964844,213.2917938232422,384.5631103515625,211.97010803222656,178.9178924560547,334.45452880859375,44.14568328857422,240.90228271484375,253.4311065673828,88.52220916748047,482.9656677246094,177.08935546875,408.2731018066406,368.6540832519531,317.66705322265625,0.10588236153125763,0.062745101749897,0.0941176563501358,0.09019608050584793,0.09803922474384308,0.10588236153125763,0.10588236153125763,0.09803922474384308,0.09803922474384308,0.1098039299249649,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.23333334922790527,0.1666666716337204,0.10000000894069672,0.3333333432674408,0.10000000894069672,0.23333334922790527,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,184.4627685546875,-1.6506109237670898,1.7065638303756714,2.9551850682161813,7.958056734791974,-1.0,0.030066394279877427,0.5,0.0,33.64,0
L-1:11,1.7897544246015944,3.24411216750717,5.499114468124754,1.3646155075237587,1.679167621870781,0.2165276003189151,1.7751109464025812,5.017995688332159,4.181155663634082,1.6611075880993662,351.970947265625,27.1077938079834,288.76171875,136.61392211914062,149.51622009277344,284.4114074707031,208.56832885742188,374.1777648925781,341.9608459472656,271.8759765625,455.0023498535156,58.31645965576172,325.7784729003906,260.40594482421875,164.75180053710938,343.7650146484375,208.41632080078125,463.9825439453125,297.1893615722656,450.5575256347656,0.08627451211214066,0.08235294371843338,0.08235294371843338,0.09019608050584793,0.09019608050584793,0.0941176563501358,0.09019608050584793,0.09803922474384308,0.09019608050584793,0.0941176563501358,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.2666666805744171,0.10000000894069672,0.23333334922790527,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,185.148193359375,-1.8324579000473022,1.6506109237670898,185.148193359375,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,8.501059213342787,1.2192549495878369,1.0,0.026047520661157026,2.0,0.0,36.02,0
L-1:12,8.432970936166335,8.072914591561473,16.587602707509703,2.9042846064423085,4.719711882476461,1.0542891421181102,7.790116168117685,4.020782493431203,4.449931741612354,1.493265743791834,226.78042602539062,26.501855850219727,424.1582336425781,481.47125244140625,244.2960205078125,656.3634643554688,29.019500732421875,442.2576904296875,364.72235107421875,196.64036560058594,449.6971740722656,22.649744033813477,328.8804016113281,244.2514190673828,88.78641510009766,422.5484619140625,389.799072265625,637.8129272460938,414.37408447265625,384.01312255859375,0.11372549831867218,0.11372549831867218,0.10588236153125763,0.10196079313755035,0.10196079313755035,0.10588236153125763,0.10588236153125763,0.09803922474384308,0.0941176563501358,0.09803922474384308,0.1666666716337204,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.23333334922790527,0.10000000894069672,0.10000000894069672,184.01515197753906,-1.8324579000473022,1.6506109237670898,184.392822265625,-1.8324579000473022,1.6506109237670898,184.50473022460938,-1.8324579000473022,1.6506109237670898,184.04312133789062,-1.8324579000473022,1.6506109237670898,183.9032440185547,-1.8324579000473022,1.6506109237670898,183.9032440185547,-1.8324579000473022,1.6506109237670898,184.01515197753906,-1.8324579000473022,1.6506109237670898,184.4627685546875,-1.8324579000473022,1.6506109237670898,183.97317504882812,-1.8324579000473022,1.6506109237670898,185.00831604003906,-1.8324579000473022,1.6506109237670898,17.178200385493557,7.2111693520240205,-1.0,0.022365470852017937,0.0,5.62,31.35,0
L-1:13,0.6437699561359127,3.729503153500942,2.7121790852751686,3.0833996057511035,5.754340100079142,3.725662202573195,1.5305401207964204,2.042801588315205,1.6076151923252358,6.728590547539657,521.4198608398438,38.91889190673828,248.84164428710938,197.05526733398438,132.5676727294922,331.69891357421875,135.13925170898438,356.6192321777344,231.99728393554688,174.65533447265625,293.971923828125,8.134773254394531,218.38198852539062,260.80413818359375,208.38926696777344,331.63397216796875,241.93521118164062,243.99151611328125,343.8166809082031,282.86328125,0.08627451211214066,0.10588236153125763,0.10588236153125763,0.1098039299249649,0.10588236153125763,0.10196079313755035,0.1098039299249649,0.10196079313755035,0.09803922474384308,0.07058823853731155,0.10000000894069672,0.1666666716337204,0.23333334922790527,0.3333333432674408,0.10000000894069672,0.30000001192092896,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.06666667014360428,183.97317504882812,-1.8324579000473022,1.6506109237670898,183.97317504882812,-1.8324579000473022,1.6506109237670898,183.97317504882812,-1.8324579000473022,1.6506109237670898,183.97317504882812,-1.8324579000473022,1.6506109237670898,184.50473022460938,-1.8324579000473022,1.6506109237670898,185.0922393798828,-1.8324579000473022,1.6506109237670898,185.5118865966797,-1.8324579000473022,1.6506109237670898,185.5118865966797,-1.8324579000473022,1.6506109237670898,185.5118865966797,-1.8324579000473022,1.6506109237670898,185.0922393798828,-1.8324579000473022,1.6506109237670898,0.8367114294713163,4.346852193432263,1.0,0.029055474095796674,3.5,0.0,33.97,0
