Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.464638894909942,6.0970045485406885,9.671184499898814,7.781956882998904,8.607261969024975,17.80660658466788,25.750821240419576,17.248365815873715,33.82704654978831,23.437038639193812,3535.4599609375,465.2297668457031,1784.6239013671875,1248.18603515625,1275.3009033203125,2605.8525390625,866.2591552734375,3341.822509765625,2102.185302734375,2891.689453125,3667.374267578125,534.00146484375,3342.669921875,2306.30859375,1537.4317626953125,5366.6318359375,118.92510986328125,5372.8681640625,3694.3193359375,179.54348754882812,0.0784313753247261,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.0784313753247261,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,55.724517822265625,0.9063740968704224,0.16870492696762085,54.905059814453125,0.7513124942779541,1.139266014099121,54.905059814453125,0.7513124942779541,1.139266014099121,54.905059814453125,0.7513124942779541,1.139266014099121,54.9820556640625,0.7502442002296448,1.0254842042922974,54.9820556640625,0.7502442002296448,1.0254842042922974,54.9820556640625,0.7502442002296448,1.0254842042922974,54.9820556640625,0.7502442002296448,1.0254842042922974,54.9820556640625,0.7502442002296448,1.0254842042922974,55.724517822265625,0.9063740968704224,0.16870492696762085,5.579953248200054,8.335094082778628,-1.0,0.004698731501057082,4.0,0.0,6.35,36
L-1:2,5.281904380720799,15.090234160137229,9.901895326860116,1.8736567363102565,7.648336502844647,15.970588958976437,12.543736413506975,9.371187982962237,9.733726544379758,13.262634037006126,3455.1337890625,367.90509033203125,2377.756591796875,1656.461181640625,238.86917114257812,3610.81396484375,1406.913330078125,3067.68994140625,1300.93994140625,1065.03515625,1909.1639404296875,470.6385498046875,2326.531982421875,1634.4566650390625,1162.91796875,2751.885986328125,1227.8389892578125,3262.690185546875,2326.584716796875,1775.4381103515625,0.07450980693101883,0.07450980693101883,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,56.66021728515625,1.48404061794281,-1.675923466682434,56.56671142578125,1.360039234161377,-1.6179414987564087,56.56671142578125,1.360039234161377,-1.6179414987564087,56.56671142578125,1.360039234161377,-1.6179414987564087,56.56671142578125,1.360039234161377,-1.6179414987564087,56.413238525390625,1.2937787771224976,-1.7170860767364502,56.413238525390625,1.2937787771224976,-1.7170860767364502,56.66021728515625,1.48404061794281,-1.675923466682434,56.66021728515625,1.48404061794281,-1.675923466682434,56.66021728515625,1.48404061794281,-1.675923466682434,7.5084116920188935,3.7640962094228705,1.0,0.004877711121365944,7.5,0.0,6.04,100
L-1:3,7.876742884197593,10.782806796342967,14.478668736455193,14.364133304080974,4.724044260244536,6.997964041337707,8.154947583180354,14.077921944027526,9.489945826628404,4.875479427494881,3428.347900390625,344.5208740234375,1629.560302734375,1967.9683837890625,86.5827865600586,3639.508544921875,820.4871215820312,3246.71826171875,1549.44677734375,1928.98291015625,2043.8438720703125,65.2791748046875,0.0,0.0,546.363525390625,4144.50634765625,1081.7557373046875,3115.61962890625,2620.47265625,1328.8753662109375,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,56.924102783203125,1.402599573135376,-1.7426812648773193,56.97418212890625,1.3930246829986572,-1.836132287979126,56.97418212890625,1.3930246829986572,-1.836132287979126,56.97418212890625,1.3930246829986572,-1.836132287979126,56.97418212890625,1.3930246829986572,-1.836132287979126,56.97418212890625,1.3930246829986572,-1.836132287979126,56.705169677734375,1.3930245637893677,-1.836132287979126,56.924102783203125,1.402599573135376,-1.7426812648773193,56.924102783203125,1.402599573135376,-1.7426812648773193,56.924102783203125,1.402599573135376,-1.7426812648773193,6.8234788238216675,11.725516427426951,1.0,0.0052373987398739875,1.5,0.0,6.65,68
L-1:4,16.897270426353874,11.366119382482502,8.756741813996351,9.051171440000537,13.711946328313585,7.077012340553138,13.70932131599283,6.938795768758596,7.550663870070494,8.72228386787853,4827.52734375,272.9646911621094,3605.569091796875,2765.0703125,1477.5128173828125,4352.1826171875,1213.33984375,3292.53173828125,3001.150634765625,2125.90283203125,3904.787353515625,301.0606689453125,1365.0360107421875,3432.294921875,344.4858703613281,2853.5712890625,122.92815399169922,2904.01171875,3581.234619140625,1875.59912109375,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,57.3477783203125,1.4020403623580933,-1.8496744632720947,8.897415290195097,9.543233471729286,1.0,0.004564493098524512,5.0,3.82,5.48,100
L-1:5,8.462722553969645,5.670648481653336,13.36843603973989,6.664645136248527,0.7470030633137411,15.367982998975661,11.849525589425976,8.482312700502506,6.290455199484688,10.897961435884014,2928.169677734375,347.2529296875,2738.43505859375,875.1930541992188,570.3839111328125,2794.8525390625,1218.5277099609375,1844.4417724609375,360.1017150878906,170.91189575195312,2937.711669921875,673.1002197265625,2523.229736328125,1213.9278564453125,70.39698028564453,2774.4638671875,1017.580810546875,2638.169189453125,2050.65966796875,1757.106689453125,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07058823853731155,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,56.921630859375,1.3672537803649902,-1.761396050453186,56.921630859375,1.3672537803649902,-1.761396050453186,56.921630859375,1.3672537803649902,-1.761396050453186,56.921630859375,1.3672537803649902,-1.761396050453186,56.924224853515625,1.2939244508743286,-1.5903056859970093,57.14715576171875,1.3672538995742798,-1.761396050453186,57.14715576171875,1.3672538995742798,-1.761396050453186,57.14715576171875,1.3672538995742798,-1.761396050453186,57.14715576171875,1.3672538995742798,-1.761396050453186,57.14715576171875,1.3672538995742798,-1.761396050453186,15.849085175666465,9.544910629555153,1.0,0.006078843995510663,0.5,0.0,6.19,68
L-1:6,10.775440450143545,3.3528204889765743,4.825286307319312,10.463935112924132,6.592834659558472,12.303624918656142,14.08347277632214,11.625610240386507,12.037534409261678,13.529293046938042,2301.33349609375,888.9127197265625,2143.657470703125,1933.9478759765625,777.2114868164062,1894.5601806640625,1777.822509765625,3256.395751953125,2701.8271484375,2910.164306640625,3115.6796875,1286.53466796875,2184.715087890625,2356.38818359375,866.5660400390625,2105.778076171875,595.1688232421875,3212.365478515625,2416.745849609375,1889.768310546875,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,57.078399658203125,1.380379319190979,-1.7782974243164062,56.96844482421875,1.3927546739578247,-1.7434971332550049,56.96844482421875,1.3927546739578247,-1.7434971332550049,56.96844482421875,1.3927546739578247,-1.7434971332550049,56.96844482421875,1.3927546739578247,-1.7434971332550049,56.63299560546875,1.3927546739578247,-1.7434971332550049,56.63299560546875,1.3927546739578247,-1.7434971332550049,57.012664794921875,1.3705295324325562,-1.7373219728469849,57.012664794921875,1.3705295324325562,-1.7373219728469849,57.078399658203125,1.380379319190979,-1.7782974243164062,21.810385143086766,10.793687407559736,-1.0,0.0051398601398601395,7.5,0.0,6.72,0
L-1:7,7.189318006202313,13.451559855866707,14.996540472172818,10.23193597429271,16.66008085678109,19.224874138238192,14.82401874929062,9.403638157433198,4.982668351274861,13.616378540871057,3934.0322265625,1160.12255859375,3542.74658203125,1016.0009155273438,384.84759521484375,4091.745361328125,1976.497314453125,3145.6416015625,3066.195068359375,1813.6712646484375,3497.306396484375,491.54644775390625,2456.935791015625,1402.0771484375,714.9119262695312,2330.928466796875,177.6588592529297,656.8649291992188,2755.60400390625,1674.14013671875,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07058823853731155,0.07450980693101883,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,56.34344482421875,1.3320506811141968,-1.4064098596572876,56.34344482421875,1.3320506811141968,-1.4064098596572876,56.34344482421875,1.3320506811141968,-1.4064098596572876,56.34344482421875,1.3320506811141968,-1.4064098596572876,56.6805419921875,1.4200692176818848,-1.772180199623108,56.6805419921875,1.4200692176818848,-1.772180199623108,56.6805419921875,1.4200692176818848,-1.772180199623108,56.6805419921875,1.4200692176818848,-1.772180199623108,56.61865234375,1.3890573978424072,-1.7277363538742065,56.34344482421875,1.3320506811141968,-1.4064098596572876,10.706412959147793,11.695973925502567,1.0,0.005540752351097178,5.5,0.0,6.06,0
L-1:8,25.446888797391132,3.1962954497663767,10.249462312052524,7.973852916887074,21.45798136051847,22.91150540774122,15.317734794771559,17.57977309028516,14.870882120061522,13.454217063115147,4574.68310546875,174.50962829589844,3238.154541015625,861.5735473632812,862.607666015625,1973.645751953125,823.4813232421875,3416.443115234375,4682.1259765625,2014.108154296875,5350.677734375,1089.05419921875,4881.5322265625,1042.708984375,2233.0439453125,4646.57861328125,463.65631103515625,5820.69189453125,3851.316650390625,1036.865478515625,0.0784313753247261,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,57.5548095703125,1.3990572690963745,-1.8449070453643799,57.5548095703125,1.3990572690963745,-1.8449070453643799,57.951873779296875,1.399057149887085,-1.8449069261550903,57.951873779296875,1.399057149887085,-1.8449069261550903,57.951873779296875,1.399057149887085,-1.8449069261550903,57.951873779296875,1.399057149887085,-1.8449069261550903,57.5548095703125,1.3990572690963745,-1.8449070453643799,57.5548095703125,1.3990572690963745,-1.8449070453643799,57.5548095703125,1.3990572690963745,-1.8449070453643799,57.5548095703125,1.3990572690963745,-1.8449070453643799,8.76917189098616,17.272055422426657,-1.0,0.003941441441441441,11.5,3.15,5.5,0
L-1:9,8.807348158689509,14.06737101671279,12.376694227577357,7.860564344931854,5.748426780016642,10.162168442160667,13.979265426298806,11.569524834323476,9.454954242373423,2.842047041329969,3808.303955078125,407.7353515625,2424.8203125,1092.9266357421875,758.5248413085938,3172.15087890625,708.1187744140625,1615.580322265625,2224.327880859375,2014.42578125,2990.79345703125,557.6387939453125,2938.2509765625,3053.202392578125,2241.41015625,4189.76611328125,240.7957000732422,4198.61083984375,3315.110595703125,1223.3272705078125,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.20000001788139343,57.302398681640625,1.3871437311172485,-1.7969516515731812,57.302398681640625,1.3871437311172485,-1.7969516515731812,57.302398681640625,1.3871437311172485,-1.7969516515731812,57.466156005859375,1.3761471509933472,-1.6640902757644653,57.979400634765625,1.4025977849960327,-1.760817527770996,57.979400634765625,1.4025977849960327,-1.760817527770996,57.979400634765625,1.4025977849960327,-1.760817527770996,57.979400634765625,1.4025977849960327,-1.760817527770996,57.979400634765625,1.4025977849960327,-1.760817527770996,57.302398681640625,1.3871437311172485,-1.7969516515731812,6.321910762480204,12.095769590958731,-1.0,0.0045904356060606066,2.5,0.0,5.54,0
L-1:10,6.390943760022214,16.06814110816028,11.799235134187654,3.4892098336101185,7.574774040543911,14.504960679705825,13.89947465072765,20.96555642228095,13.691974106208985,1.0733183278453347,2612.62939453125,358.9543762207031,2989.43896484375,1095.8939208984375,40.24604415893555,3901.008544921875,1047.5557861328125,3569.66650390625,2209.24072265625,1178.36279296875,3340.430908203125,432.71942138671875,2161.439697265625,1528.4031982421875,944.190673828125,2973.72900390625,493.32916259765625,3355.592041015625,0.0,0.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07058823853731155,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.164642333984375,1.4107089042663574,-1.7835921049118042,58.049072265625,1.401763916015625,-1.6174390316009521,58.164642333984375,1.4107089042663574,-1.7835921049118042,4.911393368086965,17.846551286868753,-1.0,0.005418541854185418,8.0,0.0,6.88,0
