Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.8029354113973683,0.8207012959402786,1.744647903041285,0.792119394881401,5.06531067312676,0.5310224048000642,4.192029786603564,1.2824372727061468,1.0169228590713193,1.8325239410858982,653.4266357421875,129.04251098632812,671.1463012695312,383.1732177734375,108.63031005859375,887.2008666992188,86.96029663085938,736.23388671875,110.43887329101562,101.80791473388672,371.93035888671875,80.71540832519531,540.9013061523438,386.1502685546875,140.185546875,520.7445678710938,33.96953201293945,345.40618896484375,427.84613037109375,593.0362548828125,0.7635564208030701,0.787493884563446,0.8182706236839294,0.8309721350669861,0.6062530279159546,0.6819736361503601,0.6726917624473572,0.7063996195793152,0.7669760584831238,0.7254518866539001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.23529052734375,-0.4754832983016968,-0.6616964340209961,230.23509216308594,-0.47511187195777893,-0.6530413031578064,230.23509216308594,-0.47511187195777893,-0.6530413031578064,230.23521423339844,-0.47749415040016174,-0.6601070761680603,230.2361297607422,-0.4704357981681824,-0.7826074957847595,230.23593139648438,-0.4706815779209137,-0.7456380724906921,230.23574829101562,-0.4709393084049225,-0.7294306755065918,230.23574829101562,-0.47169816493988037,-0.7270020842552185,230.2355194091797,-0.47360023856163025,-0.7048587799072266,230.23541259765625,-0.4751773476600647,-0.6820567846298218,1.8306569856869357,6.141100318646077,-1.0,0.023112786745964314,1.142857164144516,0.0,31.09,68
L-1:2,0.010628066940912128,2.216340470994374,1.8214257090260753,1.9026862085997467,2.5682675910149495,3.0823914656068396,1.8360883371365746,2.136827190475235,1.3976432079704766,1.8701613690513323,630.6936645507812,59.781150817871094,365.8954162597656,350.9266662597656,119.82257080078125,283.4339904785156,80.22769165039062,311.7343444824219,375.1955261230469,250.5167999267578,440.08685302734375,19.93638801574707,538.3243408203125,300.63623046875,216.0376434326172,711.8623046875,175.30796813964844,626.9536743164062,542.3870849609375,219.077392578125,0.7762579321861267,0.7982413172721863,0.5173424482345581,0.6741573214530945,0.7415730357170105,0.7713727355003357,0.7635564208030701,0.748900830745697,0.7415730357170105,0.7449926733970642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.2355499267578,-0.48605814576148987,-0.6907027959823608,230.23550415039062,-0.48846113681793213,-0.6944865584373474,230.23541259765625,-0.47873756289482117,-0.6809417009353638,230.2355499267578,-0.4823032021522522,-0.6962829828262329,230.2357940673828,-0.48621460795402527,-0.727354109287262,230.2357940673828,-0.4867526888847351,-0.7324162125587463,230.2357940673828,-0.4867526888847351,-0.7324162125587463,230.2357940673828,-0.48678845167160034,-0.7318000197410583,230.23568725585938,-0.4861120283603668,-0.7070552706718445,230.2355499267578,-0.48504316806793213,-0.6931378245353699,4.225383370827429,8.237410364753252,-1.0,0.02287407568508047,2.666666716337204,0.0,30.05,104
L-1:3,2.9512961047719575,4.68597346397067,2.1030712284570283,1.372864740408,1.3791791694455078,1.998642245740191,10.813288201222514,9.15738656845818,4.534342287070489,8.937072633825132,789.8987426757812,142.5673065185547,1080.7972412109375,784.5945434570312,63.755313873291016,1065.3157958984375,312.5531311035156,681.9658203125,850.5918579101562,680.1844482421875,1009.3010864257812,249.24380493164062,804.1026611328125,914.1044921875,199.8318634033203,952.3712768554688,56.45780563354492,58.63645935058594,516.6930541992188,668.0011596679688,0.6917440295219421,0.7464582324028015,0.772838294506073,0.8104543089866638,0.8314606547355652,0.8334147334098816,0.8226673007011414,0.9223253726959229,0.9081583023071289,0.6170004606246948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.21731567382812,-0.500697135925293,-0.6612399816513062,230.21731567382812,-0.500697135925293,-0.6612399816513062,230.2173309326172,-0.5051851272583008,-0.6643559336662292,230.2109375,-0.5036509037017822,-0.7233231067657471,230.21109008789062,-0.50411456823349,-0.7274636030197144,230.21109008789062,-0.50411456823349,-0.7274636030197144,230.21109008789062,-0.50411456823349,-0.7274636030197144,230.21095275878906,-0.5003352761268616,-0.7139227986335754,230.21070861816406,-0.4987596273422241,-0.6902779936790466,230.21868896484375,-0.5048227310180664,-0.7088695764541626,4.4165921076027095,8.098113058844374,-1.0,0.014215321316614422,7.238095372915268,0.0,20.73,32
L-1:4,14.414868704911024,8.613042948460683,2.120052685348339,14.584609725039103,13.47622851047364,9.241216710986494,1.40994538818012,3.2449679993553326,1.3929011872578285,12.56674379036849,1699.11962890625,153.58741760253906,1192.4464111328125,841.8466796875,751.0693969726562,1526.801513671875,671.4979248046875,1351.628662109375,1111.1019287109375,689.4996948242188,1185.7611083984375,381.92864990234375,1131.9539794921875,936.6748657226562,183.1046600341797,721.46630859375,29.847917556762695,512.2708740234375,1678.2529296875,407.3628845214844,0.5251587629318237,0.5451880693435669,0.6155349016189575,0.7034685015678406,0.744015634059906,0.7635564208030701,0.7982413172721863,0.8158280253410339,0.8324376940727234,0.454323410987854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1927490234375,-0.49263668060302734,-0.8129344582557678,230.18865966796875,-0.4815012812614441,-0.6438226103782654,230.18865966796875,-0.4815012812614441,-0.6438226103782654,230.1886749267578,-0.48505255579948425,-0.6543440818786621,230.1887969970703,-0.4859318435192108,-0.6746231913566589,230.18597412109375,-0.47795990109443665,-0.6051974892616272,230.18597412109375,-0.47795990109443665,-0.6051974892616272,230.18392944335938,-0.4762516915798187,-0.5423821806907654,230.18392944335938,-0.4762516915798187,-0.5423821806907654,230.1927490234375,-0.49263668060302734,-0.8129344582557678,5.248439117269778,12.763787473243287,-1.0,0.010144541650817802,1.523809552192688,3.65,15.24,4
L-1:5,2.730435532962198,5.048417139727894,1.1920982318700741,0.7651967589079915,3.5365285508364415,3.3573263063045715,2.0949559101303863,1.5315476538098842,0.4481865254010712,2.625846157741756,759.18505859375,47.20576858520508,416.7022705078125,293.80572509765625,125.11520385742188,724.6836547851562,175.10958862304688,751.0216674804688,643.2525634765625,421.1756896972656,708.300537109375,85.85836791992188,482.0763854980469,373.3853454589844,189.17425537109375,628.6514892578125,94.63420867919922,508.0859375,544.3338012695312,280.42901611328125,0.6780654788017273,0.7024914622306824,0.7601367831230164,0.8128969073295593,0.8343917727470398,0.8368343710899353,0.8299950957298279,0.4211040437221527,0.5446995496749878,0.6277479529380798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.16522216796875,-0.5003036856651306,-0.6995312571525574,230.16522216796875,-0.5003036856651306,-0.6995312571525574,230.1653594970703,-0.5031166076660156,-0.7091992497444153,230.16549682617188,-0.5080541372299194,-0.7256824374198914,230.16575622558594,-0.5122117400169373,-0.7516700625419617,230.16575622558594,-0.5122117400169373,-0.7516700625419617,230.16563415527344,-0.5137909054756165,-0.7393766045570374,230.1654815673828,-0.5006477236747742,-0.7247455716133118,230.1653594970703,-0.5018337965011597,-0.7111292481422424,230.1652374267578,-0.5004406571388245,-0.7008607387542725,4.942516792104851,0.605535964901231,-1.0,0.01753615702479339,1.523809552192688,0.0,24.25,100
L-1:6,2.5354794244860197,1.9107721720521122,2.467412501677966,2.655365802927637,5.105829401006887,1.2489671334044123,1.5357207614211312,0.5293469634354293,7.237172289353633,6.588021145967716,535.7408447265625,34.93593978881836,629.7696533203125,43.284236907958984,221.73672485351562,495.6031188964844,85.98735046386719,433.8518981933594,427.54150390625,271.2547912597656,470.100830078125,129.1440887451172,382.4996032714844,328.3458251953125,2.2759358882904053,184.35687255859375,422.9819641113281,898.9039916992188,584.984619140625,682.320068359375,0.8026379942893982,0.8085002303123474,0.7830972075462341,0.7620908617973328,0.7073766589164734,0.5622862577438354,0.47826087474823,0.4567660093307495,0.8539325594902039,0.873961865901947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.14622497558594,-0.5084478855133057,-0.6947274804115295,230.14627075195312,-0.5028449892997742,-0.7039995789527893,230.14627075195312,-0.5028449892997742,-0.7039995789527893,230.14627075195312,-0.5028449892997742,-0.7039995789527893,230.1464080810547,-0.5025778412818909,-0.7075434923171997,230.14663696289062,-0.5010904669761658,-0.7410085797309875,230.1471710205078,-0.503794252872467,-0.8055362701416016,230.14772033691406,-0.5026684999465942,-0.8706753849983215,230.14610290527344,-0.5124479532241821,-0.6750907301902771,230.14610290527344,-0.5116668939590454,-0.6883895397186279,8.061748803488769,5.625172575326859,1.0,0.020455443765720446,0.761904776096344,0.0,32.53,0
L-1:7,2.756289614175709,9.253384402991303,1.0397641032195026,3.058029413328826,3.5555183559434878,2.357133772201861,5.858070747580279,6.1099172544716485,1.177503952094771,1.546643036708349,1660.5504150390625,21.057598114013672,567.7608642578125,599.670166015625,38.48004150390625,393.3996276855469,347.850830078125,1058.6192626953125,740.4028930664062,399.8169860839844,830.036376953125,88.47704315185547,782.0280151367188,819.7958984375,335.988037109375,918.4912719726562,320.0818176269531,899.6036376953125,1054.1009521484375,435.71826171875,0.7215437293052673,0.7567171454429626,0.7904250025749207,0.5867122411727905,0.657547652721405,0.6780654788017273,0.6726917624473572,0.6565706133842468,0.6580361723899841,0.6844162344932556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.14132690429688,-0.5039093494415283,-0.6709349751472473,230.13563537597656,-0.5113391876220703,-0.7400289177894592,230.1313018798828,-0.5094684362411499,-0.8181886076927185,230.1415557861328,-0.5016334056854248,-0.7055484652519226,230.1415557861328,-0.5018056631088257,-0.7062616944313049,230.1415557861328,-0.5019211769104004,-0.7087196111679077,230.1415557861328,-0.5019211769104004,-0.7087196111679077,230.1415557861328,-0.5012332201004028,-0.7039694786071777,230.1414337158203,-0.5011743307113647,-0.6859762072563171,230.14132690429688,-0.5039093494415283,-0.6709349751472473,4.560314790046119,9.723272338860948,-1.0,0.011382113821138212,3.80952388048172,0.0,17.6,0
L-1:8,25.418350723279918,12.044559983953606,7.878852976083895,15.830402677389385,22.123295390537283,14.803874992685234,9.935244197125002,13.450708255546507,1.331277528921552,18.69888984848412,2518.794189453125,148.705078125,1884.7694091796875,626.9588623046875,985.9508666992188,1886.5191650390625,45.1320915222168,1700.39892578125,1680.147705078125,830.1771850585938,1530.6573486328125,214.1443328857422,1391.8250732421875,1014.2825927734375,316.9590148925781,583.5458984375,843.153564453125,1168.944091796875,1624.748046875,962.8561401367188,0.6052759885787964,0.6223741769790649,0.6751343607902527,0.7274059653282166,0.7796775698661804,0.7904250025749207,0.7659990191459656,0.8729848265647888,0.43966782093048096,0.5686370134353638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.12066650390625,-0.4743727445602417,-0.6328147053718567,230.12066650390625,-0.4743727445602417,-0.6328147053718567,230.11587524414062,-0.4765505790710449,-0.685285747051239,230.11587524414062,-0.4765505790710449,-0.685285747051239,230.11456298828125,-0.482036828994751,-0.7122560739517212,230.11456298828125,-0.482036828994751,-0.7122560739517212,230.11509704589844,-0.4661335349082947,-0.6185519099235535,230.11585998535156,-0.4578370749950409,-0.5470008850097656,230.12649536132812,-0.49078378081321716,-0.7905635237693787,230.12649536132812,-0.49078378081321716,-0.7905635237693787,8.00095407889789,22.20774066109766,-1.0,0.007485284499672989,1.142857164144516,3.42,13.08,0
L-1:9,3.47549366867189,2.2956564066975997,2.278297208462594,4.5926517880374105,11.757724683855967,0.2650142629034464,1.326747974264601,4.579428236383273,2.887237116298686,0.9859794092602568,769.0900268554688,126.51522064208984,1135.4923095703125,582.3685302734375,140.36868286132812,1291.41455078125,432.2494201660156,919.9608154296875,836.39990234375,716.1124267578125,585.5478515625,38.22867965698242,517.8070678710938,430.21832275390625,270.5831298828125,684.9686889648438,54.74847412109375,564.83935546875,775.2642211914062,449.47515869140625,0.6682950854301453,0.686370313167572,0.7347337603569031,0.782608687877655,0.8085002303123474,0.4137762486934662,0.4890083074569702,0.531020998954773,0.6174889802932739,0.6062530279159546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1044158935547,-0.48169365525245667,-0.6735696196556091,230.10440063476562,-0.48233121633529663,-0.6724761128425598,230.10440063476562,-0.48298120498657227,-0.6737920045852661,230.10452270507812,-0.48569202423095703,-0.6891008615493774,230.1046600341797,-0.48650604486465454,-0.7044084072113037,230.10504150390625,-0.4886760413646698,-0.741981565952301,230.10488891601562,-0.48191311955451965,-0.730470597743988,230.10462951660156,-0.4780486822128296,-0.7005808353424072,230.10464477539062,-0.47869744896888733,-0.692155659198761,230.10450744628906,-0.47944405674934387,-0.6835233569145203,1.4605918070159236,7.8161131504132895,-1.0,0.014418003565062386,1.90476194024086,0.0,23.11,0
L-1:10,8.475004918938478,2.0125689928361132,0.6671268849556312,2.1872317057373944,2.42445715623463,0.8772873502409364,0.7183158491661664,2.286955995583795,3.066124109894702,5.425842754821686,1144.7548828125,181.5381317138672,957.7702026367188,578.8622436523438,105.43891906738281,1281.7574462890625,224.9359588623047,1265.51953125,877.2607421875,490.1446838378906,1154.49267578125,35.302791595458984,834.7164306640625,399.8023376464844,152.79818725585938,745.8589477539062,191.40127563476562,683.6729736328125,772.8493041992188,652.6483154296875,0.633610188961029,0.6682950854301453,0.7156814932823181,0.7308256030082703,0.7738153338432312,0.7894479632377625,0.42745479941368103,0.5036638975143433,0.5510503053665161,0.5930629968643188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.10452270507812,-0.48503080010414124,-0.6834786534309387,230.10452270507812,-0.48503080010414124,-0.6834786534309387,230.10452270507812,-0.48503080010414124,-0.6834786534309387,230.1045379638672,-0.48574844002723694,-0.687356173992157,230.1045379638672,-0.48574844002723694,-0.687356173992157,230.10452270507812,-0.48571348190307617,-0.687972366809845,230.10464477539062,-0.48307451605796814,-0.7006534934043884,230.10464477539062,-0.48315802216529846,-0.6999335885047913,230.10452270507812,-0.48503080010414124,-0.6834786534309387,230.10452270507812,-0.48503080010414124,-0.6834786534309387,1.9617823384229855,9.502024572164807,-1.0,0.012394133644133644,0.380952388048172,0.0,18.23,0
