Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.1313985087020315,2.9290977769985926,3.973102652328444,7.399738572839511,12.295238333792284,3.4594971717175813,14.535381399757995,15.803330403707385,15.47598914776467,11.515999318662903,1005.1172485351563,14.308938980102539,792.270263671875,458.94940185546875,441.58544921875,790.9781494140625,239.78749084472656,1208.1407470703125,776.2175903320313,782.03955078125,1261.2078857421875,341.1077575683594,1311.9710693359375,1050.749755859375,363.5147705078125,1421.735595703125,338.0049743652344,1121.078857421875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,7.650390625,-30.09375,0.0,7.462890625,-30.625,-0.984375,7.462890625,-30.625,-0.984375,7.275390625,-31.859375,-1.9375,7.275390625,-31.859375,-1.9375,7.087890625,-31.625,-2.40625,7.087890625,-31.625,-2.40625,6.900390625,-30.03125,-0.671875,6.900390625,-30.03125,-0.671875,6.736328125,-29.234375,0.078125,12.658782089896283,12.35054095474195,1.0,0.011118387262455058,3.5,0.0,12.37,32
L-1:2,9.418660678401723,8.060393827312959,6.679555067308151,4.198918305921115,6.89069827306134,4.784515291440432,9.40483751176959,5.850617343668007,7.737625652658384,7.510043654650943,1330.958251953125,120.32051086425781,1011.4197998046875,826.1882934570313,325.9019470214844,1113.42822265625,184.65078735351563,1225.6544189453125,723.0278930664063,441.72100830078125,924.5574951171875,39.497982025146484,929.3436279296875,605.2634887695313,239.0760955810547,796.337646484375,229.0996856689453,1088.30419921875,1239.065185546875,789.0654907226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,7.962890625,-30.453125,0.671875,7.962890625,-30.453125,0.671875,7.962890625,-32.25,-1.515625,7.962890625,-32.25,-1.515625,7.98681640625,-30.78125,-0.609375,7.962890625,-32.40625,-1.0625,7.962890625,-31.765625,-1.03125,7.962890625,-31.765625,-1.03125,7.962890625,-32.3125,-0.75,7.962890625,-30.453125,0.671875,8.046343767641913,10.420200116462217,1.0,0.012171717171717172,5.0,0.0,14.46,108
L-1:3,12.234558359650588,20.170114274864527,6.463294338339921,1.4764201986965475,5.871602357242773,7.341704819623629,18.00683729879496,24.656934057266646,19.875585272750875,5.875423476205573,1090.267333984375,292.9747314453125,374.3018493652344,575.9627685546875,86.6769027709961,902.063720703125,288.99700927734375,1237.6055908203125,374.13348388671875,217.70729064941406,853.7652587890625,521.3324584960938,537.9508666992188,431.988037109375,278.47515869140625,829.3494262695313,60.21426773071289,815.7500610351563,502.3085021972656,800.5716552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,10.45556640625,-31.265625,0.921875,10.51806640625,-30.640625,1.0625,9.51806640625,-31.0625,0.984375,9.51806640625,-31.0625,0.984375,9.76806640625,-31.40625,-0.671875,10.01806640625,-31.40625,0.75,10.01806640625,-31.40625,0.75,10.23681640625,-31.0625,0.890625,10.23681640625,-31.0625,0.890625,10.45556640625,-31.265625,0.921875,11.581689621492886,18.951763899208657,-1.0,0.013946652150244964,0.5,0.0,14.64,36
L-1:4,22.459944588219106,2.6085720579017817,12.99934099756183,10.232839005514052,16.776070472453316,8.79472850101825,2.180093684583911,24.36030487991003,33.726897191596855,35.401403092273235,1390.9229736328125,361.5694885253906,1291.7498779296875,299.3749694824219,360.542236328125,1101.833984375,322.32177734375,1044.594482421875,793.8760375976563,1022.8593139648438,956.4735717773438,357.3697509765625,358.46014404296875,443.8028564453125,152.9148406982422,855.6251220703125,476.9493713378906,882.5088500976563,899.5630493164063,1119.3804931640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,11.5224609375,-31.578125,1.953125,11.5224609375,-31.578125,1.953125,11.2412109375,-32.0,1.53125,10.9599609375,-33.0,-0.359375,10.6787109375,-34.265625,-1.875,10.3974609375,-34.03125,-1.734375,11.8662109375,-32.984375,0.75,11.8662109375,-32.984375,0.75,11.7724609375,-33.65625,0.453125,11.7724609375,-33.65625,0.453125,7.039844646050042,28.867919395821897,1.0,0.012727272727272728,6.5,8.6,17.76,100
L-1:5,9.80378989086369,2.4468479055341263,7.005584893625354,3.1158018060865325,8.45734006892622,10.672823776937054,4.4152123452811365,17.300368237989034,22.49976960329648,18.545595546405522,883.42529296875,177.15391540527344,883.5919189453125,306.55242919921875,80.7788314819336,807.6986694335938,300.1037902832031,1134.0474853515625,34.95354080200195,119.57818603515625,1223.5047607421875,64.54905700683594,469.10711669921875,696.3994750976563,87.92620086669922,1055.511474609375,456.44256591796875,1030.5626220703125,807.2617797851563,888.7913818359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.15673828125,-31.734375,2.015625,12.083984375,-32.59375,0.75,12.02294921875,-30.8125,2.296875,12.02294921875,-30.8125,2.296875,12.27294921875,-33.046875,0.609375,12.28857421875,-33.21875,-1.03125,12.28857421875,-33.21875,-1.03125,12.208984375,-33.53125,-0.359375,12.208984375,-33.53125,-0.359375,12.15673828125,-31.734375,2.015625,19.509116645433277,10.283008484700208,-1.0,0.012633136094674556,9.5,0.0,13.42,0
L-1:6,6.6821698158086456,8.777463424838235,4.275076353436369,1.13786506672288,10.650173506079543,7.10996619926111,8.729899416958,12.824329564037958,9.469454019859022,5.747278060853065,966.5345458984375,41.81007766723633,495.045654296875,597.4259643554688,301.2369079589844,924.0343627929688,699.0726928710938,855.40283203125,924.511474609375,749.7481689453125,1086.8607177734375,54.15229797363281,590.922119140625,643.4251708984375,251.42440795898438,823.1954956054688,168.57997131347656,697.3005981445313,707.358642578125,771.5424194335938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.57666015625,-32.296875,2.265625,12.57666015625,-32.296875,2.265625,12.57666015625,-32.8125,1.34375,12.52294921875,-31.828125,2.90625,12.52294921875,-31.828125,2.90625,12.55419921875,-33.0625,0.984375,12.55419921875,-33.0625,0.984375,12.5732421875,-31.921875,1.953125,12.5732421875,-31.921875,1.953125,12.57666015625,-32.0625,2.09375,12.96295568426295,11.565623695466263,-1.0,0.01432806324110672,4.0,0.0,14.5,0
L-1:7,3.9904331200025567,1.6460754703216292,6.506203219772962,6.327225360207102,13.323537844796414,17.158921166188126,19.15574739262745,11.504897278855758,10.016277714791748,4.18493179410046,748.6463623046875,32.733951568603516,626.9222412109375,394.44610595703125,155.86029052734375,687.8355712890625,152.91046142578125,1174.2327880859375,348.7982177734375,869.6728515625,1805.6912841796875,121.5632095336914,1591.392578125,829.9776000976563,285.0309143066406,1194.3060302734375,806.8167114257813,1588.433349609375,740.5625610351563,978.23876953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.57666015625,-32.984375,2.40625,12.57666015625,-32.703125,2.34375,12.57666015625,-31.5,3.15625,12.57666015625,-31.5,3.15625,12.57666015625,-33.59375,2.09375,12.57666015625,-33.59375,2.09375,12.57666015625,-35.875,-0.609375,12.57666015625,-35.875,-0.609375,12.57666015625,-31.09375,3.609375,12.57666015625,-31.09375,3.609375,10.413167138397059,4.528234343197537,1.0,0.010526515151515151,6.5,0.0,11.91,0
L-1:8,12.799459387873744,21.28840904227956,13.248356138437005,1.9522269959846559,6.3290496817716715,19.050457056301454,29.415185401849477,22.675081191774595,10.786847759833602,8.922637838404752,1101.258544921875,12.052258491516113,743.124267578125,405.7229919433594,32.92457580566406,1014.3508911132813,431.0938720703125,1130.224853515625,720.3646850585938,592.4642944335938,1052.9444580078125,106.54074096679688,1142.7222900390625,635.0598754882813,440.0293884277344,816.1760864257813,38.4167594909668,956.1305541992188,124.21158599853516,206.77774047851563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.83935546875,-33.296875,2.546875,12.80810546875,-32.953125,2.484375,12.77685546875,-32.875,1.796875,12.77685546875,-32.875,1.796875,12.74560546875,-34.171875,1.65625,12.74560546875,-34.171875,1.65625,12.71435546875,-34.328125,0.984375,12.71435546875,-34.328125,0.984375,12.68310546875,-34.828125,1.0625,12.65185546875,-33.09375,3.0,17.03601763937444,24.63546095385281,1.0,0.01206302717900656,1.5,6.42,14.71,0
L-1:9,9.234966837621005,4.419947789972386,0.8429775234954743,7.9621127948990775,6.906604358332082,4.329180804328102,6.758164710124447,14.884038620813557,13.873321184646972,11.635968202661738,878.342529296875,72.20339965820313,715.4002685546875,283.94189453125,59.745635986328125,1175.181640625,390.3283996582031,953.7171630859375,649.7975463867188,447.126708984375,1005.1821899414063,113.67359161376953,756.9966430664063,866.5440673828125,165.29019165039063,1028.4171142578125,394.8765869140625,1041.6053466796875,1026.9881591796875,655.7516479492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.650390625,-34.375,1.875,12.6015625,-34.671875,1.515625,12.525390625,-33.015625,2.296875,12.525390625,-33.015625,2.296875,12.85888671875,-35.109375,1.0625,12.775390625,-35.171875,0.53125,12.732421875,-35.34375,0.75,12.732421875,-35.34375,0.75,12.650390625,-34.375,1.875,12.650390625,-34.375,1.875,14.094351450136859,10.44849898704028,-1.0,0.011917862838915471,7.5,0.0,12.81,0
L-1:10,12.19010398755562,4.0503190183512405,7.4744361348768535,5.468500805595575,8.994401193815222,2.5428392503472477,6.4508179572523625,15.29887106543884,11.347417333755189,3.7033592273695115,810.5972290039063,73.40593719482422,518.9840087890625,654.4708251953125,144.71102905273438,547.482421875,530.4293823242188,837.5278930664063,844.1600341796875,607.9368896484375,659.9146118164063,45.881656646728516,606.2789306640625,604.195556640625,89.9207763671875,940.848876953125,184.71888732910156,1025.56689453125,876.3850708007813,933.5662231445313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,12.6650390625,-33.484375,3.390625,12.662109375,-33.25,3.15625,12.662109375,-33.25,3.15625,12.6650390625,-35.21875,2.328125,12.6650390625,-33.859375,2.15625,12.6650390625,-34.25,2.875,12.6650390625,-34.25,2.875,12.6650390625,-34.5,2.34375,12.6650390625,-33.28125,2.75,12.6650390625,-33.28125,2.75,7.053648046009562,9.163532584621136,-1.0,0.013522727272727273,4.5,0.0,15.98,0
