Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.277875196401843,11.768416075955624,7.548479920029162,6.1469176361935505,9.536703531166351,5.642623075615328,13.654229669211185,18.919656746748537,15.724493607432343,11.923036220032374,692.7705078125,24.8538761138916,351.02960205078125,275.0961608886719,106.8982925415039,339.9394226074219,43.8845100402832,305.18682861328125,446.4686279296875,283.93499755859375,378.0597229003906,17.660633087158203,607.9232177734375,549.8889770507813,207.51844787597656,599.9344482421875,309.34283447265625,923.0888671875,664.671142578125,668.538330078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.19512939453125,-113.25825500488281,43.326541900634766,132.37557983398438,-113.90118408203125,43.32764434814453,132.44619750976563,-114.36913299560547,43.23080062866211,131.8560791015625,-115.40717315673828,42.94666290283203,130.70022583007813,-115.82354736328125,42.90702438354492,132.58843994140625,-116.79102325439453,42.35105514526367,130.94024658203125,-112.8044662475586,40.04416275024414,131.10012817382813,-112.65692901611328,40.82114028930664,131.2840576171875,-112.58826446533203,41.988807678222656,131.73468017578125,-112.63702392578125,42.967952728271484,7.932563106732936,14.31970714951079,1.0,0.025446037919299953,12.5,0.0,29.91,36
L-1:2,0.9734921087078178,9.836686303030747,3.8797923595070687,12.651367014249555,15.278093119429842,10.862846307732447,12.058393106419905,13.769113529832179,6.967051936215058,3.358481747574504,316.29754638671875,0.01826845109462738,382.2531433105469,280.9539794921875,101.40961456298828,568.4125366210938,204.25900268554688,344.27191162109375,281.7502136230469,221.29400634765625,539.6012573242188,7.208927154541016,483.01336669921875,365.1651916503906,243.12332153320313,602.7327270507813,220.45008850097656,387.86297607421875,415.8038024902344,366.0393371582031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.88800048828125,-112.3079605102539,42.842037200927734,130.20684814453125,-109.4456558227539,44.348655700683594,130.407958984375,-109.80064392089844,43.509613037109375,130.5360107421875,-110.28007507324219,42.72130584716797,130.59832763671875,-110.67741394042969,41.91826629638672,131.00543212890625,-110.99880981445313,40.55825424194336,131.00543212890625,-110.99880981445313,40.55825424194336,131.08294677734375,-111.05742645263672,41.136661529541016,131.46734619140625,-111.24980163574219,41.807647705078125,132.9324951171875,-111.76557159423828,42.6247673034668,5.099383408077611,12.464467943261406,1.0,0.021909584980237155,6.0,0.0,25.34,36
L-1:3,1.4060958473167882,2.7660792338445757,1.5516452328276387,1.9093791622768816,1.9952191922391609,4.904272229046499,4.06048146723032,3.3619172171476315,4.187255809161439,5.2121799760423295,318.2102355957031,6.801033973693848,298.41058349609375,225.73756408691406,258.5388488769531,486.9980773925781,116.8832015991211,253.67469787597656,280.94305419921875,230.03956604003906,385.1695861816406,6.43725061416626,393.0802917480469,304.1324157714844,287.3726501464844,601.5638427734375,234.50149536132813,371.6134338378906,295.860107421875,241.17169189453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.24774169921875,-107.0113754272461,44.95500564575195,128.7745361328125,-107.51324462890625,44.85580825805664,129.94882202148438,-108.2859878540039,44.10662078857422,129.85702514648438,-108.31147003173828,43.6575927734375,129.4766845703125,-108.56918334960938,43.42058563232422,129.24856567382813,-108.54718017578125,43.18560028076172,129.44073486328125,-108.7800521850586,43.4140739440918,127.878662109375,-106.30438232421875,42.86189651489258,127.48519897460938,-105.93863677978516,43.58137893676758,127.62353515625,-106.45111083984375,44.783164978027344,7.625286298911112,1.6587440245122949,1.0,0.03338920454545455,6.0,0.0,33.58,76
L-1:4,12.93079932826095,0.7625462835497732,0.03461965911906374,5.17958277417725,28.197135345916227,13.437345482464922,5.898108886289078,17.640279862956483,16.181011717952106,11.082471033558393,665.163818359375,21.533859252929688,259.03729248046875,91.7936782836914,28.366548538208008,546.4462280273438,89.03555297851563,689.3311157226563,493.57012939453125,451.9448547363281,746.9168090820313,115.70936584472656,555.8787841796875,685.2677001953125,172.3740997314453,617.4863891601563,61.34184646606445,492.6441345214844,486.09527587890625,397.2374267578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.963623046875,-106.95145416259766,47.12375259399414,132.74676513671875,-107.2313003540039,47.26115036010742,129.76483154296875,-104.6565170288086,47.382286071777344,130.9322509765625,-105.98306274414063,45.78225326538086,130.97607421875,-106.71016693115234,44.44002914428711,131.6422119140625,-106.98670196533203,42.885719299316406,131.25082397460938,-107.03086853027344,43.321983337402344,130.978759765625,-106.97757720947266,44.238407135009766,130.5479736328125,-106.34886169433594,45.466583251953125,131.18292236328125,-106.64173889160156,46.50984573364258,10.051244205501321,21.602136002392104,1.0,0.025263047138047133,4.0,-0.51,34.3,4
L-1:5,5.496180245698963,8.338669868741972,5.714582001362885,1.4865859153941219,1.309151449804157,2.412409236740446,4.087111122888551,2.427289840467815,9.07134515435564,8.807896886561476,401.3742370605469,35.48495864868164,301.43402099609375,238.4586181640625,165.38681030273438,354.42999267578125,36.999393463134766,296.9443359375,198.02955627441406,132.82212829589844,272.4891052246094,26.875612258911133,545.9010009765625,291.6045227050781,64.97560119628906,435.6546325683594,153.73887634277344,378.0460205078125,354.7066345214844,245.56190490722656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61822509765625,-102.25301361083984,47.83197784423828,126.18240356445313,-103.0936279296875,46.93286895751953,126.65451049804688,-103.62208557128906,46.21218490600586,126.83477783203125,-104.31974029541016,45.11184310913086,127.072265625,-105.47360229492188,44.20234680175781,127.01687622070313,-105.42438507080078,43.76423263549805,123.51931762695313,-102.1418228149414,44.20802688598633,123.16082763671875,-101.64685821533203,45.82036209106445,123.70144653320313,-101.6025619506836,46.59919738769531,124.82693481445313,-101.71817016601563,48.007076263427734,7.232014312902793,11.050469680366549,1.0,0.035423114119922626,6.0,0.0,41.86,32
L-1:6,2.8102859128386117,1.3473347252184222,0.3601601135421026,3.2489194896379527,2.3048103800827064,6.836390568909746,4.281434321618669,0.4440831709067691,0.9201329044224763,3.5575842746945843,629.3540649414063,74.79209899902344,394.2491149902344,290.1001281738281,230.5474395751953,410.97125244140625,39.660057067871094,415.1166687011719,210.87193298339844,93.84117126464844,396.48028564453125,14.020833969116211,321.5972900390625,150.7412872314453,61.65018844604492,445.83892822265625,103.13465881347656,411.9490051269531,509.0856628417969,313.14178466796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.54202270507813,-101.443359375,45.071685791015625,122.98342895507813,-101.9877700805664,44.6606330871582,123.21926879882813,-102.39000701904297,44.11044692993164,123.29095458984375,-103.08875274658203,43.05152893066406,123.58627319335938,-103.1474609375,42.998008728027344,123.4005126953125,-103.443115234375,42.32274627685547,123.62570190429688,-103.66695404052734,42.39352035522461,124.48074340820313,-104.00314331054688,42.9654426574707,122.03607177734375,-101.25883483886719,44.01696014404297,121.91693115234375,-100.96512603759766,45.04062271118164,7.426509025619085,5.7990045989817744,1.0,0.03240218642117376,3.5,0.0,32.18,0
L-1:7,5.95617669638159,5.204460706399682,2.3289356779671078,0.9761874307788603,2.0036673494442376,6.756667088258819,3.721719316536334,1.7044667342818616,2.8619181421988165,3.604188881155334,683.6305541992188,8.122782707214355,429.78216552734375,335.9606628417969,241.3330535888672,464.252197265625,125.9781494140625,363.55889892578125,328.33056640625,267.66534423828125,510.8744201660156,40.18838119506836,413.6703796386719,198.04417419433594,198.70372009277344,475.318115234375,109.76868438720703,363.2299499511719,262.54571533203125,244.11082458496094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.50408935546875,-99.7181625366211,47.63706588745117,122.94839477539063,-100.38707733154297,46.924896240234375,123.21401977539063,-100.73237609863281,46.29668045043945,123.04647827148438,-100.98641967773438,45.51309585571289,123.43218994140625,-101.67611694335938,44.09767532348633,123.44216918945313,-101.70309448242188,44.21381378173828,123.7032470703125,-101.82769775390625,44.43257141113281,123.6868896484375,-101.7526626586914,44.73237609863281,122.21356201171875,-99.0840835571289,47.715049743652344,122.2574462890625,-99.37630462646484,47.751991271972656,3.9525532622359605,3.592134202107813,1.0,0.028895125958378967,2.0,0.0,30.15,0
L-1:8,26.891202623954225,12.636780744516313,1.8059404809928534,2.9410349905459428,5.4487289094389135,7.662369518558065,23.86864113127857,23.50233521632006,16.285265740845265,5.972293235647817,563.055419921875,67.36388397216797,544.857421875,568.045654296875,203.98756408691406,817.2936401367188,241.96311950683594,527.9660034179688,205.42144775390625,169.57847595214844,0.04478706419467926,99.4879150390625,441.0654296875,287.6965637207031,233.50108337402344,492.521240234375,55.825767517089844,531.9393310546875,304.1184387207031,557.9935913085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.89373779296875,-100.05355072021484,48.45401382446289,124.471923828125,-100.98661804199219,47.049461364746094,124.5823974609375,-101.37045288085938,46.3232536315918,124.92068481445313,-101.92461395263672,45.54767990112305,125.09817504882813,-102.53160858154297,45.145755767822266,127.28546142578125,-103.59378814697266,45.10553741455078,124.35736083984375,-101.50450897216797,45.27288055419922,124.1165771484375,-101.45964050292969,46.013519287109375,123.8485107421875,-101.11660766601563,46.741512298583984,122.73529052734375,-99.76515197753906,48.236656188964844,10.529957978594641,8.273707099070037,1.0,0.029238329238329235,5.0,-3.64,40.8,0
L-1:9,0.2956760632372233,0.24589413586858178,1.0659912265174876,2.309151174979416,2.5112080153212863,7.421834346070125,4.335039036152429,1.5155062524440372,1.6068285045273423,1.0241161392604101,0.0,0.0,333.6927490234375,222.92738342285156,226.9007568359375,515.4716186523438,83.35394287109375,424.49468994140625,419.5982666015625,249.69354248046875,487.2392578125,16.860214233398438,403.4195861816406,243.9271697998047,192.4193878173828,414.1901550292969,111.04924011230469,405.9927978515625,376.2063293457031,359.2765808105469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.92617797851563,-102.41813659667969,43.62744903564453,125.6610107421875,-100.79235076904297,43.16490173339844,126.0963134765625,-101.08932495117188,42.232505798339844,126.22320556640625,-101.21463012695313,41.44857406616211,127.18246459960938,-101.72103881835938,40.18042755126953,127.358154296875,-101.66507720947266,39.95852279663086,127.6568603515625,-101.89942169189453,40.31886672973633,127.15777587890625,-102.01213073730469,41.34907531738281,127.45626831054688,-102.3057861328125,42.3038330078125,127.57171630859375,-102.29705047607422,43.575775146484375,3.7562944430342387,2.678305270637535,1.0,0.02404040404040404,2.5,0.0,28.56,0
L-1:10,1.4283434382335778,0.7082613269278935,4.737413925717998,5.199247373664984,1.0833494826813008,5.344562254461889,1.2472283621489404,5.081406768947399,0.8555766970002444,3.1275061619559152,343.85589599609375,26.35537338256836,413.4594421386719,277.8271789550781,279.71368408203125,517.5912475585938,21.815078735351563,264.0671081542969,205.23545837402344,188.5645294189453,520.0975341796875,2.987849235534668,425.0719909667969,230.2122039794922,203.80970764160156,456.1116943359375,264.39971923828125,353.23077392578125,357.8904724121094,224.5568389892578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.68978881835938,-100.40093231201172,43.19547653198242,123.98297119140625,-100.64848327636719,42.618492126464844,124.50546264648438,-101.19335174560547,41.75698471069336,125.1533203125,-101.98519134521484,40.70125961303711,125.31268310546875,-102.14546966552734,40.074676513671875,125.52267456054688,-102.26390075683594,39.896400451660156,125.49700927734375,-102.39199829101563,40.11213302612305,125.44503784179688,-102.63587188720703,40.477325439453125,127.07867431640625,-102.81182098388672,41.334476470947266,123.80572509765625,-100.35310363769531,43.309505462646484,12.415337627481405,2.7142824808949095,1.0,0.02740220385674931,0.5,0.0,28.42,0
