Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.271526900298989,11.32306365864355,18.981313529834797,10.24550446095338,2.6284284322683686,11.403789376941122,23.858494556033015,14.777077312640698,19.007246947035497,15.226089135271407,1265.152099609375,85.77507781982422,960.948974609375,1491.034423828125,406.0280456542969,1457.7586669921875,61.83006286621094,954.4635620117188,948.0330200195313,586.8685913085938,0.0,0.0,1497.040283203125,1016.6532592773438,213.32583618164063,1603.212158203125,585.7254028320313,1299.934814453125,800.8976440429688,848.5550537109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,357.984375,-30.828125,-7.375,358.09375,-30.328125,-8.140625,358.09375,-30.328125,-8.140625,358.1875,-41.765625,-6.984375,358.328125,-32.09375,-7.40625,358.328125,-32.09375,-7.40625,357.859375,-27.890625,-7.1875,357.859375,-27.890625,-7.1875,357.984375,-30.828125,-7.375,357.984375,-30.828125,-7.375,10.863814758803471,7.726294630774652,1.0,0.00888176240936977,12.5,0.0,9.1,4
L-1:2,22.38847958429685,14.229258787562825,10.52326935919542,21.72206309724607,18.351717497977916,25.718280408653147,16.75273142744585,8.007478799546899,15.498369181300642,14.999479156878875,1514.5670166015625,232.5792236328125,19.583553314208984,68.58890533447266,4996.6357421875,7610.236328125,970.4720458984375,2121.139404296875,380.9521484375,631.2825927734375,1882.45068359375,75.62520599365234,1878.3336181640625,1330.6590576171875,665.1083374023438,1669.7530517578125,1005.2185668945313,2448.014892578125,1408.6375732421875,1358.510009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,356.78125,-24.515625,-0.875,356.34375,-25.21875,-4.515625,357.015625,-24.859375,0.0,356.46875,-36.828125,-11.125,356.46875,-36.828125,-11.125,356.46875,-36.828125,-11.125,356.609375,-24.40625,-4.53125,356.609375,-24.40625,-4.53125,356.609375,-24.40625,-4.53125,356.78125,-24.515625,-0.875,6.177427201996701,7.4202943124268455,1.0,0.007824471126357918,20.5,0.0,7.82,68
L-1:3,30.890255254984282,25.727080577906047,11.043353136938187,6.8366928514749565,8.831437412065904,13.060394151524381,2.4653303190796376,5.599034159899298,11.53381957966006,24.789541792947897,1175.9100341796875,7.120168685913086,1533.8499755859375,436.64581298828125,796.1590576171875,1153.4271240234375,236.92904663085938,1957.11572265625,1429.681640625,1126.402587890625,118.23638153076172,115.12225341796875,1847.918212890625,1174.0225830078125,186.31114196777344,1719.2657470703125,1030.4296875,1185.4610595703125,1311.5281982421875,560.9100952148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,355.5,-25.234375,-1.84375,355.5,-25.234375,-1.84375,355.703125,-26.453125,-5.234375,355.703125,-26.453125,-5.234375,355.703125,-26.453125,-5.234375,355.140625,-32.0,-8.28125,355.296875,-28.171875,-3.671875,355.296875,-28.171875,-3.671875,355.5,-25.234375,-1.84375,355.5,-25.234375,-1.84375,15.388772285244047,8.977855713263857,1.0,0.0069228650137741045,8.5,0.0,7.18,68
L-1:4,9.849993797115976,12.782343013809536,8.261040369209487,9.254653195979134,8.985346433575861,13.364019775518157,18.71297312127491,9.665747159793682,6.3663049074242775,7.729476313147424,3067.99755859375,19.238998413085938,3207.081787109375,2092.185791015625,1688.8431396484375,3355.31494140625,542.6967163085938,2402.188720703125,2209.42578125,1408.4471435546875,2799.914794921875,381.7915344238281,3126.875244140625,1809.9736328125,1116.44873046875,2996.487548828125,188.63101196289063,3265.14453125,2912.946533203125,1856.834716796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,353.375,-32.6875,-11.34375,353.375,-32.6875,-11.34375,353.375,-32.6875,-11.34375,353.375,-32.6875,-11.34375,353.328125,-25.296875,-4.375,353.328125,-25.296875,-4.375,353.328125,-25.296875,-4.375,353.375,-38.671875,-8.203125,353.34375,-27.328125,-2.65625,353.34375,-27.328125,-2.65625,10.784198593819829,2.184717112866056,1.0,0.003901357978121464,7.5,11.48,5.91,76
L-1:5,3.946364878555366,12.047207941257529,4.23184465714918,14.554681258396167,16.787283756080804,20.13086583344877,24.87312737424773,9.909396983535268,11.088649924212591,3.5508809555731293,1626.46533203125,77.40186309814453,796.6399536132813,573.3475952148438,90.64578247070313,1010.7916870117188,489.51318359375,1206.6104736328125,1076.017822265625,998.5971069335938,1528.18115234375,54.11471939086914,1172.1943359375,625.8509521484375,956.159423828125,1026.6944580078125,0.0,0.0,1174.32177734375,1020.117431640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,354.578125,-25.65625,-1.796875,354.5,-28.046875,-4.484375,354.359375,-27.640625,-5.46875,354.359375,-27.640625,-5.46875,354.359375,-27.640625,-5.46875,354.140625,-34.90625,-4.671875,354.140625,-34.90625,-4.671875,353.953125,-22.5,0.890625,353.953125,-22.5,0.890625,354.578125,-25.65625,-1.796875,4.189101871135075,17.630913840287185,1.0,0.00823667711598746,8.0,0.0,10.51,108
L-1:6,22.092809089880298,11.00454239100722,3.3312343681453536,6.483776860963032,3.3918911203331437,11.969285406627515,10.072114792688067,12.189335976563223,20.01919407406861,17.798322580745374,1781.53564453125,83.46064758300781,2037.6685791015625,251.30331420898438,347.810302734375,1651.005859375,741.1204223632813,2318.47021484375,948.2445068359375,693.4625854492188,1136.5087890625,487.35546875,1499.3907470703125,767.9022827148438,388.5086364746094,1645.8994140625,769.2645874023438,1872.3406982421875,956.5347900390625,1297.0673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,354.96875,-20.3125,0.84375,354.96875,-20.3125,0.84375,355.34375,-24.40625,-4.53125,355.34375,-24.40625,-4.53125,355.234375,-33.921875,-7.4375,355.234375,-33.921875,-7.4375,355.09375,-27.703125,-3.609375,355.09375,-27.703125,-3.609375,355.09375,-27.703125,-3.609375,354.96875,-20.3125,0.84375,23.1096572673355,9.310190106077014,1.0,0.00773838932806324,11.5,0.0,8.95,76
L-1:7,5.212986748517691,4.5581908176568104,1.023838152026417,9.370204140618531,2.5533652944989673,25.11294081106798,14.245043387172363,18.628853098776926,0.8595491425162202,5.189647026308551,1255.0009765625,215.52780151367188,1374.4459228515625,1258.000244140625,700.5142822265625,1120.503173828125,368.80059814453125,1050.2113037109375,1398.141357421875,588.964111328125,2420.600341796875,445.0569152832031,1117.0509033203125,338.4356994628906,194.18873596191406,3054.83740234375,244.2097625732422,1409.2960205078125,1474.96875,1083.826171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,355.046875,-24.828125,-1.875,355.046875,-24.828125,-1.875,355.203125,-20.375,-10.4375,355.203125,-20.375,-10.4375,355.171875,-27.03125,-8.703125,355.171875,-27.03125,-8.703125,355.171875,-27.03125,-8.703125,355.171875,-28.28125,-1.90625,354.90625,-24.03125,-1.8125,354.90625,-24.03125,-1.8125,27.050639866559123,9.659297817119862,1.0,0.007,5.5,0.0,8.14,108
L-1:8,5.6393436281807,7.020280437691007,3.7306675741113584,4.314949979085955,8.448695298868445,3.791155626570446,4.704244079799315,2.1136121330535196,9.56034541466873,5.536042248620153,177.82276916503906,23.023401260375977,2006.860107421875,1279.0791015625,1158.97412109375,1803.320068359375,564.2357788085938,2010.3175048828125,1297.0936279296875,947.4515380859375,1856.41748046875,149.60194396972656,1244.7586669921875,1345.716064453125,1240.564208984375,1593.3321533203125,633.8028564453125,1592.5198974609375,1270.458740234375,545.4788208007813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,354.546875,-23.296875,-2.65625,354.46875,-26.84375,-5.515625,354.46875,-26.84375,-5.515625,354.453125,-22.875,-8.25,354.453125,-22.875,-8.25,354.453125,-22.875,-8.25,354.390625,-20.21875,0.921875,354.390625,-20.21875,0.921875,354.390625,-20.21875,0.921875,354.484375,-21.578125,-0.890625,16.889994736584423,8.270864267505475,1.0,0.0074631128034269405,7.5,2.72,8.96,36
L-1:9,4.1656691559823305,9.286931005789675,6.921239493499351,4.490396591716817,6.206208484356128,11.141309904373552,0.8416756175282857,9.661286961489614,12.377882521704459,10.982290970958264,873.0494995117188,86.11697387695313,687.4970092773438,891.6273803710938,616.9907836914063,678.8037109375,346.9679260253906,531.96337890625,374.2576904296875,256.71337890625,940.9177856445313,142.68109130859375,1267.2652587890625,1167.192138671875,95.57345581054688,1481.9488525390625,275.08441162109375,677.6654052734375,839.634521484375,1202.2294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,353.90625,-28.140625,-4.65625,353.96875,-25.265625,-3.546875,353.96875,-25.265625,-3.546875,354.0,-28.671875,-7.125,353.890625,-32.171875,-11.171875,353.90625,-32.09375,-7.40625,353.90625,-25.234375,-6.046875,353.90625,-25.234375,-6.046875,353.90625,-25.234375,-6.046875,353.90625,-28.140625,-4.65625,13.030389392180751,11.40035131607103,1.0,0.013589442815249268,7.0,0.0,13.24,36
L-1:10,2.944741960463622,11.730109917792136,10.854924812427955,4.1315951537784965,9.536085447286792,12.051079932167633,28.167267657317815,31.698160532728668,23.070972935765788,3.3915312621879874,370.3246154785156,11.308905601501465,1056.5540771484375,837.5286254882813,273.88018798828125,733.2822875976563,68.8473892211914,1583.673583984375,1239.0694580078125,1027.875,844.7952270507813,360.563720703125,1182.380126953125,971.60302734375,677.3220825195313,2322.052978515625,31.84619903564453,16.34964370727539,546.222900390625,3.0139739513397217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,354.4375,-25.015625,-9.5,354.453125,-24.734375,-5.515625,354.453125,-24.734375,-5.515625,354.53125,-26.34375,-7.296875,354.53125,-26.34375,-7.296875,354.578125,-24.375,-5.4375,354.640625,-25.53125,-7.65625,354.640625,-25.53125,-7.65625,354.703125,-28.109375,-9.890625,354.328125,-23.875,-6.453125,6.4631832442358395,8.455530152194445,-1.0,0.010836038961038961,11.5,0.0,13.35,68
