Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.009252304862985,2.8870214085328505,4.1235907514179715,1.1558505857207653,4.174119887495809,2.8674418411373104,4.838774691510507,6.788458319212943,8.92454261170924,13.269188312826577,1507.4586181640625,391.08184814453125,714.1199951171875,520.8291015625,452.86541748046875,1180.60693359375,181.40280151367188,963.8343505859375,1074.435302734375,766.0799560546875,1423.055908203125,123.91527557373047,1768.57958984375,1293.8116455078125,673.5025634765625,1203.3319091796875,655.0555419921875,1292.18017578125,909.8976440429688,701.117431640625,0.29411765933036804,0.27843138575553894,0.24705883860588074,0.27843138575553894,0.2980392277240753,0.32549020648002625,0.34117648005485535,0.3294117748737335,0.30980393290519714,0.2980392277240753,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.227180749674244,11.742457564923443,1.0,0.008996279521190554,0.6666666865348816,0.0,15.89,36
L-1:2,1.490712029426539,2.55916570059529,6.0335762206502555,5.316848771493139,1.455918884808598,1.2018504609725968,3.9278423552257498,3.0320161618237025,8.089292503784637,1.2817699601519519,859.5919189453125,12.95569133758545,784.771240234375,761.8997802734375,162.5142059326172,1235.3922119140625,114.3517837524414,1236.561279296875,572.3947143554688,469.3167419433594,1240.25,197.6893768310547,1310.6583251953125,787.6214599609375,5.798101425170898,1134.2322998046875,209.95787048339844,1188.415283203125,592.4691162109375,867.4999389648438,0.29019609093666077,0.27450981736183167,0.25882354378700256,0.29019609093666077,0.30980393290519714,0.32156863808631897,0.3294117748737335,0.29411765933036804,0.32549020648002625,0.30980393290519714,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.36666667461395264,0.4333333671092987,0.4333333671092987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.067298983244294,4.266346447577634,1.0,0.008827301225420347,3.000000089406967,0.0,17.7,108
L-1:3,11.005049674122146,8.399272373463011,2.336956856887649,1.2289791293162158,1.5181951341118505,5.587685037939384,11.922409563231199,5.028846496025365,6.56298526701445,1.629067584226503,1064.341064453125,207.9945526123047,954.5573120117188,753.3513793945312,375.3193054199219,1734.7269287109375,308.3331604003906,1015.3211059570312,1067.013916015625,706.2694702148438,1154.3599853515625,5.455114364624023,1226.22509765625,739.3573608398438,581.2535400390625,1038.917724609375,416.4310302734375,1410.66748046875,870.0817260742188,714.8985595703125,0.29019609093666077,0.27843138575553894,0.2705882489681244,0.2823529541492462,0.3137255012989044,0.3450980484485626,0.38431376218795776,0.3490196168422699,0.32156863808631897,0.30588236451148987,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.4333333671092987,0.46666669845581055,0.5333333611488342,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951240531549802,10.620183711447952,1.0,0.008186553030303032,1.0000000298023224,0.0,14.82,100
L-1:4,9.672412373958283,3.505179098550501,1.6109994301437713,4.0821250880897955,3.4608517147743356,13.666667073965073,10.280295376850821,3.6093140529705994,3.7781463413620533,6.3965661570832655,1709.6168212890625,224.46218872070312,1143.2674560546875,443.3408203125,370.2394714355469,1418.6043701171875,361.9481506347656,1261.6142578125,1176.0244140625,917.1946411132812,2515.71044921875,112.98625946044922,2356.327392578125,1228.5428466796875,632.3427124023438,1538.8326416015625,482.36334228515625,2682.06591796875,1758.228515625,802.81201171875,0.27843138575553894,0.2666666805744171,0.250980406999588,0.2862745225429535,0.3176470696926117,0.3294117748737335,0.3490196168422699,0.3294117748737335,0.3137255012989044,0.2980392277240753,0.40000003576278687,0.36666667461395264,0.30000001192092896,0.3333333432674408,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84663478694805,14.289030966655137,1.0,0.006868686868686869,3.333333432674408,5.47,13.6,4
L-1:5,3.8005848635967117,16.189968529472342,0.3773577898426239,4.978331392418439,8.04964578009142,6.798692887407211,1.201902925099846,3.2932692514685753,8.955689287747985,3.536702639653207,1230.239013671875,289.6478271484375,1427.8607177734375,890.1603393554688,900.9469604492188,1597.8277587890625,571.7693481445312,1136.8546142578125,853.6046142578125,776.5774536132812,1030.982177734375,32.51104736328125,1413.34130859375,1227.7303466796875,606.1098022460938,1445.561279296875,642.3496704101562,1772.55908203125,867.1417846679688,1142.6798095703125,0.29411765933036804,0.27843138575553894,0.2392157018184662,0.27450981736183167,0.2980392277240753,0.30588236451148987,0.2980392277240753,0.33725491166114807,0.32156863808631897,0.30588236451148987,0.36666667461395264,0.36666667461395264,0.30000001192092896,0.3333333432674408,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268749618840547,8.848269900083373,1.0,0.008465722801788375,0.6666666865348816,0.0,16.23,0
L-1:6,5.044248800470843,9.788569428666365,4.570344497369139,1.6606214544451083,3.6327255074737366,6.146363154704482,4.995245877899416,0.28416903740794847,1.4348390225656755,3.5577921082011006,1043.0108642578125,272.35479736328125,763.3544311523438,405.9084777832031,858.8565063476562,1638.5438232421875,356.5025329589844,946.3712768554688,436.979736328125,579.619873046875,1475.718505859375,15.027358055114746,1388.6407470703125,843.7666625976562,359.40692138671875,1174.36962890625,273.61572265625,1014.054443359375,1228.9163818359375,887.1986083984375,0.29411765933036804,0.2823529541492462,0.25882354378700256,0.2666666805744171,0.30588236451148987,0.32549020648002625,0.34117648005485535,0.3333333432674408,0.3176470696926117,0.3019607961177826,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.498366109259013,11.283770840102935,1.0,0.00885989832535885,4.666666805744171,0.0,16.93,0
L-1:7,9.000000268220901,8.594899141385785,3.077334897490619,9.060003848924602,3.1372443160015764,8.027729958439853,9.872425362294155,5.392689850847983,13.628968802596754,4.9814429344374425,1012.5525512695312,122.55282592773438,1312.9442138671875,740.3383178710938,549.5872802734375,1231.19580078125,23.63951301574707,1712.3021240234375,959.8014526367188,360.632080078125,1337.5792236328125,96.9875259399414,1154.6939697265625,682.758544921875,409.52178955078125,1555.49462890625,704.1747436523438,2508.014404296875,693.0833129882812,895.62744140625,0.30980393290519714,0.29019609093666077,0.27450981736183167,0.26274511218070984,0.27843138575553894,0.2823529541492462,0.27843138575553894,0.3294117748737335,0.3176470696926117,0.3137255012989044,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.055459916879705,8.124565133512531,1.0,0.008913770053475937,5.000000149011612,0.0,15.24,0
L-1:8,6.036923605339283,4.194355422881578,2.979965458022205,12.965817637901521,8.287520382340084,10.434984205985764,14.734279921569021,6.7808286429023354,2.0932837173767775,4.429080854349121,1396.7384033203125,181.67385864257812,1293.1527099609375,1203.92529296875,695.7454833984375,1513.6522216796875,0.0,0.0,1047.708251953125,537.8612060546875,2056.920654296875,239.95681762695312,1833.894775390625,1305.095458984375,1580.335205078125,2101.244140625,780.7325439453125,2184.72412109375,2106.00048828125,1763.523193359375,0.29411765933036804,0.27450981736183167,0.25882354378700256,0.20784315466880798,0.32156863808631897,0.3450980484485626,0.37254902720451355,0.3450980484485626,0.29019609093666077,0.3019607961177826,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.20000001788139343,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.36666667461395264,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.13711911325214,15.27093828822992,1.0,0.006347402597402597,7.666666895151138,4.92,15.64,0
L-1:9,12.67105225012558,5.530600395386624,1.9445978016686478,3.294019659516571,2.533815425288691,9.055385408008924,9.98726558316763,8.527823363264416,16.246277809956386,8.858682086189603,1020.6888427734375,69.1213607788086,784.1243286132812,469.20166015625,669.3662109375,1141.8009033203125,291.1595458984375,1010.4151000976562,586.8828125,850.35498046875,1625.1697998046875,142.29827880859375,1288.028564453125,992.8189086914062,544.647216796875,1814.1951904296875,881.7620239257812,2419.957275390625,1335.0699462890625,1163.5316162109375,0.2862745225429535,0.27843138575553894,0.250980406999588,0.21176472306251526,0.2862745225429535,0.3176470696926117,0.3333333432674408,0.32549020648002625,0.3019607961177826,0.30588236451148987,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.23333334922790527,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.685699110233031,14.615040573648193,1.0,0.008691172171879567,5.000000149011612,0.0,16.99,0
L-1:10,4.013864979219926,9.213895129521019,1.915159876489509,2.4510420914682602,5.420885811029417,1.6996732218517991,2.6099679267888014,2.3736320255655303,1.0424298222242,3.0615277734005204,0.0,0.0,823.736328125,1016.2125854492188,449.92791748046875,1520.7264404296875,128.6690673828125,1608.06787109375,568.0568237304688,472.2668762207031,1471.6531982421875,97.20579528808594,1006.9077758789062,678.3453369140625,344.087158203125,1205.83740234375,294.21514892578125,1278.6767578125,1226.8497314453125,1134.3956298828125,0.2196078598499298,0.2705882489681244,0.26274511218070984,0.27843138575553894,0.30980393290519714,0.3333333432674408,0.34117648005485535,0.3176470696926117,0.3019607961177826,0.2862745225429535,0.2666666805744171,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.673909850847887,1.4224897105051155,1.0,0.00953921568627451,2.6666667461395264,0.0,15.29,0
