Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.9436506895404029,0.5623207891568355,9.390910083744574,2.626346314423324,0.8957869566512394,6.0827627115786695,6.533599089426881,2.3824399985801565,6.119437868078512,1.4289781133675172,601.4378051757813,80.01917266845703,725.0943603515625,299.39520263671875,154.67025756835938,701.1697387695313,502.3008728027344,998.168701171875,667.8995361328125,443.822509765625,864.15283203125,116.39652252197266,789.7113037109375,498.30230712890625,389.490478515625,503.64385986328125,201.48260498046875,620.0792236328125,393.09735107421875,380.1210021972656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.01764705963432789,0.019607843831181526,0.02352941408753395,354.0455017089844,-27.47612190246582,-33.55255126953125,353.8002014160156,-27.11065673828125,-32.987632751464844,353.9175720214844,-27.85493278503418,-33.65151596069336,354.27825927734375,-28.909936904907227,-34.45084762573242,354.78955078125,-29.766551971435547,-36.51459884643555,355.38153076171875,-30.058765411376953,-36.999847412109375,355.4375,-30.022022247314453,-37.337188720703125,355.4185791015625,-30.032806396484375,-37.29820251464844,354.99884033203125,-29.047197341918945,-34.793968200683594,354.206298828125,-27.73874282836914,-34.0090446472168,5.333333492279053,6.450318490586458,-1.0,0.017665497254423432,2.0000000596046448,0.0,33.09,68
L-1:2,2.4037009219451937,0.9396250991526228,3.1710516340216777,1.1678376491797138,1.1259733329648476,1.3743685828319279,2.4638449673017475,2.4990530111284404,1.391616369181456,13.210479088380199,779.48095703125,111.81610107421875,522.2069091796875,323.775146484375,92.52116394042969,388.8362731933594,162.69761657714844,188.71438598632813,368.22259521484375,235.40931701660156,741.257568359375,60.66958999633789,694.8412475585938,407.880126953125,223.86468505859375,488.6819763183594,271.9412841796875,783.0928344726563,373.1316833496094,51.272003173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,350.7345886230469,-25.531436920166016,-38.28009796142578,350.9449157714844,-25.27255630493164,-38.252925872802734,351.54766845703125,-25.734638214111328,-38.977542877197266,352.7655944824219,-27.316139221191406,-39.720123291015625,353.01165771484375,-29.17742347717285,-41.50019073486328,353.0802307128906,-29.334993362426758,-41.544349670410156,352.66015625,-29.52140998840332,-42.01013946533203,351.4376220703125,-27.903362274169922,-39.774261474609375,350.6962890625,-26.16988754272461,-37.8923225402832,351.2682800292969,-24.63768196105957,-34.64689636230469,5.467073318550385,4.565860371685982,1.0,0.02149844452125821,4.33333346247673,0.0,35.54,36
L-1:3,2.426703368748233,4.687753270620113,13.060534182358081,3.8397180513031546,3.021647194866845,10.137937852631113,14.366022278618573,9.544028131103921,2.2346397289464632,2.280749178812418,833.4871215820313,69.02269744873047,641.4011840820313,215.7830810546875,162.6525115966797,320.5916442871094,268.8398132324219,629.860107421875,745.6318969726563,274.8339538574219,879.0484619140625,197.76602172851563,608.9906616210938,567.5752563476563,242.1222686767578,273.5418701171875,199.00433349609375,468.8291015625,539.8331909179688,508.9320983886719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,347.2657470703125,-22.870141983032227,-40.25898742675781,346.7146301269531,-22.61587142944336,-39.375675201416016,347.03826904296875,-22.87095069885254,-39.080135345458984,347.598876953125,-24.940460205078125,-40.64451217651367,347.6971740722656,-25.220657348632813,-40.96964645385742,347.560791015625,-27.42656707763672,-42.86825942993164,347.787353515625,-27.6729793548584,-44.05893325805664,347.47821044921875,-26.970600128173828,-43.02185821533203,348.08551025390625,-23.376590728759766,-40.942508697509766,347.8595886230469,-23.0882511138916,-40.79872131347656,10.35481668660362,5.154611973235085,-1.0,0.018975330225330225,3.333333432674408,0.0,27.91,100
L-1:4,18.076996356011456,7.63569185074246,5.893638827446751,4.5930766826960445,2.362120601969671,3.333333432674408,2.6762390386569486,8.870488175485299,22.102830839747366,24.81799476033903,728.7767333984375,16.009384155273438,589.0296630859375,274.6231994628906,261.8704528808594,884.0108032226563,204.25909423828125,972.8048706054688,944.6964111328125,507.6412048339844,752.00732421875,43.64541244506836,533.1679077148438,843.2001953125,77.9678726196289,1042.736572265625,527.87548828125,744.8810424804688,822.82568359375,709.1557006835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,341.9027404785156,-25.606245040893555,-43.499671936035156,341.9027404785156,-25.606245040893555,-43.499671936035156,341.5531311035156,-25.711576461791992,-42.9412727355957,341.94671630859375,-26.032752990722656,-43.42088317871094,342.4530334472656,-27.20306968688965,-44.879913330078125,342.8830261230469,-26.860361099243164,-43.44778823852539,342.73199462890625,-26.858301162719727,-44.27577209472656,342.69512939453125,-25.980480194091797,-44.02743148803711,342.69512939453125,-25.980480194091797,-44.02743148803711,342.02874755859375,-25.46863555908203,-43.591064453125,0.3333333432674408,14.952730741959183,-1.0,0.01411931818181818,9.333333611488342,3.36,19.17,76
L-1:5,4.216370339215464,1.6585680112508572,5.727304874683888,7.766331837741745,7.938817235908206,6.437736163802138,3.1323157185598602,11.282886724913634,10.146974794228525,2.017895332068862,791.6504516601563,43.000579833984375,482.3184814453125,0.019440816715359688,19.832799911499023,963.8253784179688,397.38287353515625,993.7324829101563,868.208984375,663.7717895507813,1069.2073974609375,75.81617736816406,503.1116943359375,660.8531494140625,255.4766387939453,1181.5521240234375,192.63858032226563,770.2431640625,775.2315063476563,597.7862548828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.01764705963432789,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,343.0343322753906,-25.309757232666016,-47.62045669555664,340.85491943359375,-23.005611419677734,-40.36488723754883,341.41070556640625,-23.829519271850586,-41.48536682128906,342.91259765625,-26.311859130859375,-44.58047866821289,343.7225341796875,-28.490787506103516,-48.05679702758789,344.2533264160156,-28.66012954711914,-49.091251373291016,344.6612243652344,-29.03586196899414,-51.20154571533203,344.1900329589844,-28.2810001373291,-51.14013671875,343.5265197753906,-27.368181228637695,-50.49185562133789,343.31756591796875,-26.012781143188477,-48.658138275146484,4.013864979219926,14.402040094804487,-1.0,0.014307851239669421,7.3333335518836975,0.0,27.7,96
L-1:6,2.6874193295241846,1.0249046704426683,7.825312154107566,0.4679269335901082,4.899329414363428,9.333333611488342,9.963204765649227,4.251544805935685,4.112255392215237,11.672230066122966,693.0489501953125,210.49876403808594,500.72198486328125,367.4259033203125,84.72685241699219,786.5006713867188,335.77294921875,1049.51708984375,750.2691040039063,276.13458251953125,816.3043212890625,32.58681869506836,898.157958984375,583.2662353515625,511.5630187988281,1331.8419189453125,463.5876159667969,852.2463989257813,689.7700805664063,488.3661804199219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.02352941408753395,338.34893798828125,-20.480609893798828,-41.858253479003906,338.88330078125,-21.328615188598633,-43.042842864990234,339.890869140625,-22.02580451965332,-44.766014099121094,340.17950439453125,-23.105226516723633,-46.55186462402344,340.2606506347656,-25.39376449584961,-49.84901428222656,340.854736328125,-26.46460723876953,-52.234554290771484,340.8341369628906,-26.075023651123047,-51.6685905456543,340.8341369628906,-26.075023651123047,-51.6685905456543,341.38763427734375,-24.874937057495117,-50.80538558959961,341.38763427734375,-24.874937057495117,-50.80538558959961,8.279828479007591,12.14291582037906,-1.0,0.013855275159622985,5.333333492279053,0.0,26.04,100
L-1:7,1.7950549892083072,2.3785617533625096,8.113138981060757,0.8451551900496925,1.1770042615935563,3.605551382917801,3.780924327198877,2.816815566585459,4.6075521001954955,8.961106681148262,716.990478515625,9.0659818649292,451.51104736328125,211.22378540039063,192.87261962890625,972.3683471679688,559.120361328125,1255.23095703125,705.2105102539063,626.3466186523438,1533.1251220703125,110.52383422851563,626.8804321289063,571.3859252929688,297.92578125,812.6832275390625,630.5228881835938,513.7612915039063,456.5677795410156,448.8744201660156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.01764705963432789,0.021568628028035164,337.5162048339844,-21.1351261138916,-46.38645935058594,336.491455078125,-19.525346755981445,-45.39247131347656,336.85748291015625,-20.056211471557617,-45.87208938598633,337.6472473144531,-21.909889221191406,-48.40019607543945,337.8564147949219,-22.5009708404541,-48.772438049316406,338.9923400878906,-22.995147705078125,-49.795745849609375,338.93768310546875,-22.966720581054688,-49.57341384887695,338.66375732421875,-22.79534339904785,-48.88393020629883,338.3664245605469,-22.710683822631836,-48.36653137207031,337.7171630859375,-22.006853103637695,-46.925289154052734,13.617799216385693,5.582423587263569,-1.0,0.013592233009708736,5.333333492279053,0.0,26.4,100
L-1:8,7.673909850847887,1.6256046607738885,18.399551506072356,0.7615433626737341,1.2496931739274646,1.4907120294265304,4.856966401038064,9.266642063973878,18.157821557985248,13.924390187662047,1036.5247802734375,52.594154357910156,976.5393676757813,441.5908203125,711.161376953125,773.5177612304688,713.2562255859375,781.6306762695313,576.0438232421875,464.1820983886719,804.7954711914063,83.66412353515625,899.9385375976563,643.17724609375,267.23345947265625,1357.9647216796875,502.9430236816406,1087.49267578125,739.477294921875,496.05230712890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,336.82647705078125,-22.140857696533203,-49.108341217041016,336.82647705078125,-22.140857696533203,-49.108341217041016,337.20556640625,-23.091890335083008,-49.77836608886719,337.59893798828125,-24.534299850463867,-51.277732849121094,338.3608093261719,-24.49358558654785,-50.66216278076172,338.5020751953125,-24.610078811645508,-51.10161209106445,338.472900390625,-24.695541381835938,-51.44461441040039,337.9187316894531,-23.73443031311035,-50.69998550415039,337.9187316894531,-23.73443031311035,-50.69998550415039,337.3310546875,-22.59963035583496,-49.572628021240234,3.43187681594023,18.09891779360552,-1.0,0.01627938871473354,7.000000208616257,3.05,23.74,0
L-1:9,11.455227193018752,5.83742606728339,7.197618212672992,2.5500440631975096,1.4526916053816135,1.666666716337204,2.0055339593801076,0.9649985898430592,8.375475722737637,0.5689146813593754,737.0076904296875,124.14189147949219,374.1304016113281,220.56292724609375,113.47807312011719,535.0347290039063,17.67247772216797,365.7604675292969,490.38873291015625,255.8883056640625,716.65283203125,58.481178283691406,1127.7252197265625,733.7631225585938,232.9821319580078,941.0079956054688,196.29995727539063,756.2113647460938,589.9034423828125,175.500732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,330.8860168457031,-19.66998863220215,-52.24443054199219,331.2657775878906,-19.123014450073242,-51.40871047973633,331.4776611328125,-19.527856826782227,-51.8197021484375,331.56646728515625,-20.133066177368164,-52.06421661376953,332.6053466796875,-22.422643661499023,-57.2849006652832,333.2142333984375,-22.533498764038086,-57.66838836669922,333.6347351074219,-22.60060691833496,-57.957496643066406,332.9208068847656,-22.157245635986328,-57.159095764160156,331.7644348144531,-21.074411392211914,-55.879486083984375,330.9375915527344,-20.586566925048828,-53.95112991333008,12.547687190429349,2.488048778428513,1.0,0.01678466317854807,5.6666668355464935,0.0,29.33,0
L-1:10,5.044248800470843,7.415298886107426,1.0268021050404426,17.352516049522773,3.5441311028525946,8.359957718469117,10.408626938402753,2.8011552083596527,3.5180989866390866,7.19081459578873,779.7469482421875,105.0569839477539,831.0208129882813,540.9437866210938,660.9950561523438,755.5420532226563,366.5337829589844,1042.93896484375,1041.2344970703125,413.3283996582031,909.7505493164063,90.03387451171875,1479.21044921875,766.6673583984375,289.9760437011719,966.4022827148438,510.94720458984375,1226.8973388671875,678.2927856445313,340.3209228515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.019607843831181526,326.84051513671875,-16.45606803894043,-50.95071029663086,326.84893798828125,-16.46505355834961,-50.986328125,328.84210205078125,-19.22751235961914,-55.10958480834961,329.20611572265625,-19.90534019470215,-55.452964782714844,329.9683837890625,-20.4633846282959,-56.39228820800781,330.1722412109375,-20.496749877929688,-56.27421188354492,329.7810363769531,-20.517690658569336,-56.45082092285156,328.4812927246094,-18.559066772460938,-54.176570892333984,328.4812927246094,-18.559066772460938,-54.176570892333984,327.09429931640625,-17.309677124023438,-52.196712493896484,2.8284272090398868,15.668119374786217,1.0,0.01330360205831904,5.000000149011612,0.0,22.16,0
