Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.453560147132695,6.339472055966603,4.191593428996811,2.510030726289084,3.4788068651156645,0.47140453483998124,0.8873612793624063,1.9466440063004402,9.847131758185157,2.5616981158896484,1002.1473999023438,3.25028133392334,546.6434936523438,537.8885498046875,1161.69140625,1738.787841796875,559.8416137695313,1191.112060546875,494.5464172363281,369.4611511230469,1058.7413330078125,221.62010192871094,714.2456665039063,427.1518249511719,249.48130798339844,999.9511108398438,432.1990661621094,1185.5589599609375,699.3801879882813,701.7693481445313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,268.3188171386719,-0.25998279452323914,-1.5955090522766113,269.55169677734375,-0.29993101954460144,-1.6800832748413086,288.4017333984375,-0.1624220609664917,-1.365960955619812,283.29510498046875,-0.1845792531967163,-1.4115355014801025,283.29510498046875,-0.1845792531967163,-1.4115355014801025,274.2711486816406,-0.2069655954837799,-1.454228162765503,271.09539794921875,-0.2233951836824417,-1.4866873025894165,269.2030334472656,-0.23157387971878052,-1.5215643644332886,268.3479309082031,-0.2450011819601059,-1.5515344142913818,268.3479309082031,-0.2450011819601059,-1.5515344142913818,2.603416636223411,3.8487778358095754,-1.0,0.010389195469067674,1.0000000298023224,0.0,20.44,64
L-1:2,1.2018504609725968,1.962079234760205,1.6759629602706705,3.575885402379834,2.1122447085184524,2.8284272090398868,1.7804594247786856,0.9865478028648744,0.660304691593384,2.044378031821587,1717.2041015625,161.5818634033203,625.6647338867188,266.924072265625,215.04367065429688,989.229736328125,392.9264831542969,905.2781982421875,947.1314086914063,920.9339599609375,1973.81005859375,115.80401611328125,1164.1630859375,1005.7381591796875,492.10858154296875,1145.6356201171875,573.0726928710938,1508.9549560546875,1058.289306640625,801.944091796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,272.65411376953125,-0.46408146619796753,-2.075227975845337,272.83795166015625,-0.48920968174934387,-2.1514182090759277,273.06146240234375,-0.5248692035675049,-2.2265636920928955,273.3507385253906,-0.5604629516601563,-2.3019826412200928,273.72149658203125,-0.5969617366790771,-2.3914132118225098,274.1548767089844,-0.639556884765625,-2.477118730545044,274.6318359375,-0.6797814965248108,-2.5802018642425537,274.6318359375,-0.6797814965248108,-2.5802018642425537,272.4758605957031,-0.43888476490974426,-2.0017428398132324,272.65411376953125,-0.46408146619796753,-2.075227975845337,6.674994997097276,4.306451065388473,-1.0,0.00931897095959596,0.3333333432674408,0.0,16.87,64
L-1:3,9.333333611488342,1.7740572415206766,6.898032117884791,6.898032117884785,8.265699089687889,5.044248800470843,7.407744348580987,4.35859537911588,6.583368360151069,3.847399714516143,1326.85498046875,14.58519172668457,825.7101440429688,794.4751586914063,167.11422729492188,604.7066650390625,355.3412170410156,958.1332397460938,933.82568359375,779.8538818359375,843.3590087890625,111.26836395263672,830.2230834960938,377.96429443359375,374.1567077636719,820.4340209960938,136.25836181640625,663.7412719726563,977.2249755859375,1058.5577392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,296.7927551269531,-2.2203378677368164,-3.3195199966430664,278.25079345703125,-0.9472042322158813,-3.243650436401367,279.63555908203125,-1.0085208415985107,-3.40059232711792,281.2103271484375,-1.0772844552993774,-3.572197198867798,282.9473571777344,-1.1511973142623901,-3.753139019012451,284.84930419921875,-1.2279478311538696,-3.94622540473938,289.36474609375,-1.442294716835022,-3.4194698333740234,292.24859619140625,-1.5292022228240967,-3.5915935039520264,295.38134765625,-1.8389958143234253,-2.9144396781921387,296.69921875,-2.080029010772705,-3.1766319274902344,5.426273693748788,5.316407099554657,-1.0,0.015557541709227102,2.3333334028720856,0.0,26.11,36
L-1:4,1.054092584803866,5.164565523992556,5.56578282856233,2.3017493332860837,14.549871708883922,10.588253765066936,6.708597613307143,5.7677274054429075,1.5124760900213663,0.31149269922607625,2502.630615234375,143.6866912841797,1635.300537109375,1398.477294921875,535.82177734375,1906.311767578125,63.99781799316406,1155.2420654296875,1961.44287109375,1110.5435791015625,3111.4091796875,688.0195922851563,2210.359130859375,1845.3564453125,0.0,0.0,304.7374267578125,1726.559814453125,2179.716796875,1543.84228515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02549019828438759,0.02549019828438759,74.84524536132813,-30.644344329833984,-81.99125671386719,74.84524536132813,-30.644344329833984,-81.99125671386719,76.14147186279297,-30.884475708007813,-86.69052124023438,76.14147186279297,-30.884475708007813,-86.69052124023438,76.21363067626953,-149.0460968017578,-88.55818176269531,76.21363067626953,-149.0460968017578,-88.55818176269531,72.8400650024414,-149.15103149414063,-83.8071060180664,72.3651351928711,-29.70240592956543,-72.89717102050781,73.59390258789063,-30.245147705078125,-77.37789916992188,73.59390258789063,-30.245147705078125,-77.37789916992188,7.453560147132695,5.074992656722962,-1.0,0.00656478578892372,2.0000000596046448,4.2,10.77,100
L-1:5,2.027587570526223,3.9489447547500296,5.400307493482782,1.7356487727850975,4.079895258784643,8.000000238418579,12.180405493733138,10.1745910203698,8.762081150220784,2.9910708051990382,1734.7591552734375,111.24945831298828,1045.3702392578125,946.6306762695313,222.3467559814453,925.1209716796875,309.2445373535156,959.6848754882813,1276.89306640625,755.9721069335938,1176.2762451171875,147.4854278564453,661.9304809570313,504.7671203613281,160.2043914794922,1119.3673095703125,123.40274047851563,1715.385986328125,1166.7354736328125,842.1354370117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,106.5080337524414,-175.3026885986328,-7.002523422241211,89.48111724853516,-172.08831787109375,-12.51254653930664,89.48111724853516,-172.08831787109375,-12.51254653930664,93.18388366699219,-172.64767456054688,-11.538219451904297,96.41609954833984,-173.1761474609375,-10.63319206237793,99.14913177490234,-173.66162109375,-9.794868469238281,101.4954833984375,-174.11520385742188,-9.016650199890137,103.51946258544922,-174.543212890625,-8.292869567871094,105.20950317382813,-174.93650817871094,-7.629602909088135,105.20950317382813,-174.93650817871094,-7.629602909088135,16.292466365353235,8.084418394451369,-1.0,0.010474851608872227,4.33333346247673,0.0,19.16,108
L-1:6,1.6996732218518027,8.036116143616365,9.434929077988784,7.011784293894721,2.7609022106149825,0.4714045348399678,6.625998616819778,2.056458000084102,2.0881342035958723,5.686079173740763,2683.890380859375,218.96798706054688,1293.1190185546875,792.5269775390625,170.55458068847656,1493.3726806640625,385.4471130371094,1122.0076904296875,2014.91357421875,1088.108154296875,2690.296630859375,80.36781311035156,1383.7178955078125,838.2003784179688,105.43891906738281,1558.6563720703125,283.37554931640625,1249.898193359375,1200.71142578125,954.9649658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,111.25208282470703,-177.66259765625,-3.0578572750091553,111.25208282470703,-177.66259765625,-3.0578572750091553,111.36612701416016,-177.8373260498047,-2.7617411613464355,111.44204711914063,-178.00975036621094,-2.482208728790283,111.44204711914063,-178.00975036621094,-2.482208728790283,111.44871520996094,-178.16476440429688,-2.2180991172790527,111.44871520996094,-178.16476440429688,-2.2180991172790527,111.40962219238281,-178.31216430664063,-1.9807909727096558,111.40962219238281,-178.31216430664063,-1.9807909727096558,111.06221008300781,-177.46966552734375,-3.3710896968841553,8.485281627119662,4.927515581677936,-1.0,0.007075064020486557,7.3333335518836975,0.0,12.63,108
L-1:7,7.401201324297821,4.098154316783705,3.7452719396844603,1.3416713216407956,1.5862307157192688,5.206833272446836,8.187622623695663,3.1281510321932924,3.302452926476799,3.7451633373368267,1307.564697265625,203.02935791015625,2410.8056640625,1315.137451171875,7.222089767456055,1637.4703369140625,581.9632568359375,1450.8836669921875,1802.6004638671875,1174.7027587890625,2121.464599609375,86.80497741699219,840.2464599609375,1134.94580078125,402.1535339355469,1258.6746826171875,585.3079223632813,1445.2635498046875,1146.109619140625,972.3953247070313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,109.95235443115234,-179.28395080566406,-0.3519956171512604,110.77278900146484,-178.8813934326172,-1.0206984281539917,110.77278900146484,-178.8813934326172,-1.0206984281539917,110.60723114013672,-178.97567749023438,-0.8710763454437256,110.60723114013672,-178.97567749023438,-0.8710763454437256,110.42979431152344,-179.0553436279297,-0.724022388458252,110.42979431152344,-179.0553436279297,-0.724022388458252,110.26214599609375,-179.13426208496094,-0.5924046039581299,110.26214599609375,-179.13426208496094,-0.5924046039581299,110.10323333740234,-179.20948791503906,-0.47034913301467896,8.110350282104893,6.0278814191561345,-1.0,0.00799787760877255,1.3333333730697632,0.0,12.92,76
L-1:8,16.034685105611764,18.14040129197808,10.449789073533099,8.485043328446013,2.101146632338557,11.352924582294444,13.987199771103546,3.1859259877727024,3.6932234712731358,6.750000059021194,2458.0654296875,415.977783203125,1795.1441650390625,1208.940185546875,385.4970397949219,1452.8115234375,81.82780456542969,1333.3858642578125,1628.94287109375,1077.2828369140625,2127.611328125,357.0514831542969,963.7660522460938,822.7508544921875,839.4107666015625,864.039794921875,649.2728271484375,1427.7874755859375,1731.177001953125,858.5952758789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.027450982481241226,108.09525299072266,-179.83816528320313,0.5850690007209778,108.01530456542969,-179.8625030517578,0.6197800040245056,108.01530456542969,-179.8625030517578,0.6197800040245056,107.92736053466797,-179.88381958007813,0.6590536236763,107.84174346923828,-179.89974975585938,0.6955951452255249,107.84174346923828,-179.89974975585938,0.6955951452255249,107.74626159667969,-179.90977478027344,0.7329016327857971,107.64817810058594,-179.935791015625,0.7569848299026489,108.17327117919922,-179.8161163330078,0.5483908653259277,108.09525299072266,-179.83816528320313,0.5850690007209778,8.339997584015824,10.558162524734433,-1.0,0.00659221525600836,6.333333522081375,4.32,14.42,100
L-1:9,0.6666666865348816,2.5511626059862134,5.28956367216215,3.118477129908318,9.845381612356714,4.807401843890372,5.235697346872721,7.355381926594839,1.9354303825296548,1.09028196668037,1459.1971435546875,115.44064331054688,650.791015625,669.390869140625,564.058837890625,1087.4964599609375,219.5657196044922,1822.78125,0.0,0.0,2690.777099609375,561.8422241210938,1547.0301513671875,1412.3519287109375,438.70654296875,1432.8470458984375,855.7081909179688,1485.7098388671875,685.208984375,662.4194946289063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.027450982481241226,0.02549019828438759,106.6214370727539,179.86209106445313,1.0607234239578247,106.61585235595703,179.8579864501953,1.055532455444336,106.61585235595703,179.8579864501953,1.055532455444336,106.61157989501953,179.8610076904297,1.0670344829559326,106.65413665771484,179.88784790039063,1.05401611328125,106.64862060546875,179.88392639160156,1.0621167421340942,106.64862060546875,179.88392639160156,1.0621167421340942,106.63970947265625,179.87911987304688,1.0680453777313232,106.62994384765625,179.87173461914063,1.0620484352111816,106.62994384765625,179.87173461914063,1.0620484352111816,1.9436506895404029,0.6347964683184467,-1.0,0.00866299715909091,0.6666666865348816,0.0,13.94,0
L-1:10,0.7453560147132695,2.1452569830686743,6.519938601495888,6.524343802338698,1.6693044325123152,2.538591110943878,6.442835973098016,0.8168803025169974,4.249928067727739,1.7899051889168514,1554.4149169921875,104.3557357788086,613.0554809570313,676.8110961914063,1242.94580078125,1979.697265625,1024.6868896484375,1856.0145263671875,978.3111572265625,734.4661865234375,2162.500732421875,158.33216857910156,1244.9490966796875,844.6331787109375,6.753798484802246,1198.2220458984375,317.4099426269531,1324.441162109375,1064.1014404296875,786.2562866210938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,106.49705505371094,179.84689331054688,1.110242247581482,106.5146484375,179.86196899414063,1.0949972867965698,106.5146484375,179.86196899414063,1.0949972867965698,106.50758361816406,179.8514862060547,1.1015815734863281,106.50352478027344,179.84584045410156,1.1035486459732056,106.50352478027344,179.84584045410156,1.1035486459732056,106.50235748291016,179.84605407714844,1.100379467010498,106.5030288696289,179.84921264648438,1.1017454862594604,106.5030288696289,179.84921264648438,1.1017454862594604,106.50586700439453,179.8498992919922,1.106348991394043,5.821416572349388,3.695700817147756,-1.0,0.007954545454545454,0.3333333432674408,0.0,13.4,0
