Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.653966539030694,6.6735229451773534,2.561171301650346,3.8097132925150494,6.588147030807218,3.953582067440175,2.0201059887937407,3.4307943572092636,0.46460505088911414,0.7970408614198427,647.6947021484375,45.041561126708984,529.6947631835938,405.6068115234375,164.65797424316406,533.9282836914063,244.73577880859375,546.7523193359375,640.5069580078125,467.9437255859375,726.7314453125,117.01757049560547,585.52294921875,341.5415344238281,198.69671630859375,568.7200927734375,245.3720245361328,637.938720703125,558.6950073242188,353.7207946777344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.715576171875,0.8027111291885376,-15.646859169006348,88.50564575195313,0.6981970071792603,-15.380516052246094,88.27142333984375,0.3134625554084778,-15.02432918548584,88.8184814453125,0.2554394006729126,-14.716679573059082,89.39849853515625,-0.3736739754676819,-15.355504989624023,89.69842529296875,-0.3642815351486206,-16.792993545532227,88.22213745117188,-0.6462492942810059,-17.107921600341797,88.1912841796875,-0.192376971244812,-17.332931518554688,88.69049072265625,0.7297813892364502,-16.593822479248047,88.82308959960938,1.0217338800430298,-16.10834312438965,7.866212799288086,2.4507078930780732,-1.0,0.014756851604278075,1.0000000298023224,0.0,25.23,100
L-1:2,1.1156128083776802,3.618297080220049,5.629502872903286,4.156061297539244,1.586731762745699,1.6569648192492143,1.1909467300946368,2.4995625793926495,0.5023328361766559,1.9420505601392457,778.6336669921875,61.63646697998047,457.32208251953125,261.8169250488281,186.7789306640625,468.3602294921875,175.91871643066406,456.0699462890625,481.3251953125,392.2567138671875,647.8534545898438,7.553664684295654,734.1838989257813,527.5130615234375,306.87646484375,821.8639526367188,339.4127502441406,884.270751953125,535.553466796875,533.78955078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.02325439453125,1.3307602405548096,-16.70140266418457,89.86871337890625,1.0870064496994019,-16.23918914794922,89.8529052734375,1.0159128904342651,-16.105165481567383,89.86703491210938,0.655271589756012,-15.758417129516602,89.79104614257813,0.37177416682243347,-15.659796714782715,89.7689208984375,0.14036768674850464,-15.57407283782959,89.9306640625,0.07045113295316696,-16.174747467041016,90.09994506835938,0.31942424178123474,-16.409984588623047,90.0819091796875,0.6811841726303101,-16.04022216796875,90.0819091796875,0.6811841726303101,-16.04022216796875,10.32447759808117,11.622251351318077,1.0,0.015904240576496673,0.6666666865348816,0.0,32.79,32
L-1:3,3.258699441040984,6.361534327471288,1.0071659609842882,0.2348013623978889,1.1675217286064816,3.576693334004115,2.9010711254419728,6.840242171554265,5.967197950697941,2.247663175834639,918.7127685546875,98.6107406616211,530.1473388671875,539.6314697265625,154.6227569580078,553.6513671875,186.16310119628906,607.1102905273438,494.7699279785156,448.7420654296875,570.861572265625,13.1386137008667,624.2238159179688,491.1784362792969,222.4073028564453,674.5820922851563,249.44369506835938,1043.4488525390625,844.1434326171875,518.28173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.47348022460938,2.090506076812744,-16.326845169067383,89.55828857421875,2.2500288486480713,-16.42000389099121,89.45703125,1.9650648832321167,-16.376039505004883,89.35366821289063,1.9905610084533691,-16.43651008605957,89.4412841796875,1.740371584892273,-16.358243942260742,89.40203857421875,1.359107494354248,-16.47417640686035,89.31045532226563,1.3470474481582642,-16.644044876098633,89.25006103515625,1.5024499893188477,-16.71772003173828,89.48007202148438,1.9373925924301147,-16.84137535095215,89.43804931640625,1.5126630067825317,-16.327022552490234,8.891485924631633,6.833673102369945,1.0,0.015300945232137894,1.0000000298023224,0.0,31.45,44
L-1:4,1.142374202887411,10.120590061612305,9.479115633666897,2.276467239513371,11.376650088047814,26.8215553434058,16.362439948706626,8.603608787372817,6.572918706929885,10.702353932618452,706.5665283203125,402.3233337402344,982.5870361328125,740.8341064453125,377.27374267578125,1204.23681640625,88.56654357910156,1273.866455078125,855.52099609375,951.091552734375,724.6015625,36.48073959350586,675.0272827148438,748.3831176757813,95.21096801757813,997.9780883789063,247.59571838378906,1060.1700439453125,547.9839477539063,283.00970458984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.37002563476563,-0.16371139883995056,-11.991939544677734,89.89907836914063,0.3834511339664459,-12.409628868103027,89.78985595703125,0.334421843290329,-12.349055290222168,89.78985595703125,0.334421843290329,-12.349055290222168,89.3560791015625,0.23324526846408844,-12.443990707397461,89.35797119140625,-0.06796671450138092,-12.705803871154785,89.48602294921875,-0.19703896343708038,-12.569729804992676,89.73590087890625,-0.18105465173721313,-12.38575267791748,90.2164306640625,-0.07178713381290436,-12.179744720458984,90.33685302734375,-0.02267499826848507,-11.840096473693848,9.382248214430755,16.114907362453984,-1.0,0.011841491841491842,7.3333335518836975,10.34,20.32,32
L-1:5,5.158914933017423,8.790363266811791,7.572703014786394,4.674382522203924,2.589143009364592,0.7659825782884565,0.3894697735862246,3.00004991169193,6.876407050864936,0.6712690848979237,556.9228515625,28.946685791015625,1720.2086181640625,726.3650512695313,50.485694885253906,779.8134155273438,257.73199462890625,698.871826171875,647.9627075195313,455.1446533203125,1036.971923828125,39.71519088745117,471.13336181640625,416.75732421875,191.76768493652344,615.9827880859375,201.47662353515625,704.3536376953125,490.46826171875,470.0706787109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.27450561523438,1.0432251691818237,-12.6489896774292,90.1298828125,1.0697864294052124,-12.742156028747559,89.78268432617188,1.041104793548584,-13.13769817352295,89.6962890625,1.040211796760559,-13.177149772644043,89.828857421875,0.9091126322746277,-13.179435729980469,89.84829711914063,0.8447107076644897,-12.940277099609375,89.70294189453125,0.4485149383544922,-13.103311538696289,89.70578002929688,0.6443538665771484,-13.116777420043945,89.9097900390625,0.789603054523468,-12.985480308532715,90.01119995117188,1.1248352527618408,-12.711662292480469,16.185569128594526,7.493484116651886,-1.0,0.013782922684791843,1.3333333730697632,0.0,27.81,100
L-1:6,1.653896729785205,0.732436785904859,1.2145234276372303,8.411808245558582,11.494495562435674,2.455091540383005,4.28962141006971,0.8842015254161851,0.389537595676137,4.850183385013025,495.53411865234375,82.61831665039063,485.80389404296875,327.25616455078125,350.08355712890625,704.2606201171875,167.7135772705078,966.2100830078125,478.8166809082031,263.6188049316406,827.9366455078125,143.76171875,685.426025390625,556.5977172851563,276.9877624511719,704.799072265625,320.65814208984375,676.5433349609375,390.5038757324219,275.1157531738281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.35345458984375,0.9865325093269348,-12.770219802856445,90.1417236328125,0.9664489030838013,-12.761007308959961,90.15618896484375,0.9774008393287659,-12.805704116821289,89.91510009765625,1.0711312294006348,-12.853294372558594,89.78512573242188,1.0099531412124634,-13.00515079498291,89.63555908203125,0.9041778445243835,-12.979557991027832,89.65609741210938,0.7519497275352478,-12.98444938659668,89.87197875976563,0.6954504251480103,-12.883971214294434,90.21392822265625,0.5771717429161072,-12.810523986816406,90.1988525390625,1.032784342765808,-12.76682186126709,5.854222401310242,4.370274604548162,-1.0,0.017129597501734907,0.0,0.0,28.21,0
L-1:7,5.739668225726245,9.910606164514675,10.165576814361586,2.2001238697596808,3.6453919923777196,2.2253840275362946,1.4443015967739985,2.1638332101473505,1.7943463405629532,3.4472166205046886,685.2099609375,3.0783205032348633,413.7586975097656,293.15472412109375,118.6430892944336,715.7725830078125,144.4822235107422,426.7706298828125,319.70367431640625,165.32156372070313,597.5651245117188,9.520652770996094,707.64404296875,546.3430786132813,278.9072570800781,655.9973754882813,229.28932189941406,685.8007202148438,1039.35791015625,960.2538452148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16497802734375,1.8682364225387573,-13.813396453857422,90.16888427734375,2.103712320327759,-13.848501205444336,90.2132568359375,2.2039270401000977,-13.737931251525879,90.09979248046875,1.9931232929229736,-13.587207794189453,90.2646484375,1.9123667478561401,-13.039436340332031,90.03024291992188,1.8038774728775024,-12.815936088562012,89.75241088867188,1.2476729154586792,-12.730109214782715,89.67062377929688,1.0031309127807617,-12.739046096801758,89.95626831054688,1.1778937578201294,-12.840024948120117,90.29635620117188,1.6640589237213135,-13.72854232788086,13.911700850213531,10.053002991689018,1.0,0.01921990171990172,1.3333333730697632,0.0,35.76,0
L-1:8,15.952204663416419,1.8008206596949796,0.8113183506152901,6.7561672262274755,9.44349862856094,2.573019724117669,6.309464401408364,10.80319539466502,8.218456892427536,8.543109811973178,428.29998779296875,90.5824203491211,318.0086975097656,368.8325500488281,286.08087158203125,1048.475830078125,496.0585632324219,1075.73193359375,840.4456787109375,694.1591796875,1048.1334228515625,113.17974090576172,730.0357666015625,377.1325378417969,176.59339904785156,1062.163330078125,497.46392822265625,1250.75390625,827.78857421875,595.541015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.728759765625,1.6294381618499756,-13.063495635986328,89.65432739257813,1.5347990989685059,-13.302217483520508,89.48251342773438,2.0057947635650635,-13.515523910522461,89.33920288085938,1.9872565269470215,-13.625319480895996,89.33920288085938,1.9872565269470215,-13.625319480895996,89.29214477539063,1.8717271089553833,-13.633103370666504,89.22503662109375,1.7985944747924805,-13.443346977233887,89.33657836914063,1.8031541109085083,-13.15281867980957,89.53396606445313,1.8427125215530396,-12.980756759643555,89.53396606445313,1.8427125215530396,-12.980756759643555,6.096492462576215,12.9793415588251,-1.0,0.013200902151283828,2.0000000596046448,3.31,21.74,0
L-1:9,1.9523590023612236,1.4016822793857342,5.905645493889481,10.755107120339014,2.7988748500393563,2.5210955302384526,0.6474899876572149,4.927285967239755,3.939653959896298,3.865067776275884,553.3049926757813,44.32955551147461,450.75836181640625,293.39068603515625,336.7484436035156,552.9910278320313,367.3409118652344,612.4468383789063,671.982177734375,441.73388671875,1082.4190673828125,161.21087646484375,550.92431640625,566.24560546875,238.6047821044922,712.3909912109375,202.44374084472656,570.0608520507813,316.0569763183594,211.3816680908203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.90374755859375,1.0177001953125,-14.123658180236816,89.69757080078125,0.984322726726532,-14.179141998291016,89.73883056640625,1.0297757387161255,-14.459465980529785,89.80459594726563,0.7899656295776367,-14.769685745239258,89.80941772460938,0.8123368620872498,-14.798949241638184,89.73419189453125,0.7293886542320251,-14.809858322143555,89.835693359375,1.2865803241729736,-14.175681114196777,89.70071411132813,1.212795615196228,-14.118833541870117,89.919677734375,1.179763913154602,-14.08169937133789,89.99407958984375,1.1705142259597778,-14.047633171081543,7.3666112459797555,6.51475562024251,-1.0,0.01775974025974026,0.0,0.0,27.35,0
L-1:10,5.790681043319176,5.67827322355541,1.0248545426891604,3.912245655415747,6.139011507368109,1.8348482883678203,0.5873248398590004,2.0169996283836253,1.293855694723866,3.307915589327649,564.614990234375,35.9486083984375,551.6002197265625,556.093994140625,234.81716918945313,796.5472412109375,193.02464294433594,696.9208984375,583.950439453125,457.0837097167969,1089.48828125,254.8702850341797,2045.67431640625,1539.8614501953125,128.03662109375,668.4928588867188,243.79904174804688,985.9846801757813,672.9676513671875,498.5699462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.07427978515625,0.8657631874084473,-14.216313362121582,90.1573486328125,0.8227422833442688,-14.25664234161377,90.09515380859375,0.8344399333000183,-14.339315414428711,89.7650146484375,1.0506452322006226,-14.599989891052246,89.6458740234375,1.1565709114074707,-14.666141510009766,89.7083740234375,1.0365015268325806,-14.622332572937012,89.7083740234375,1.0365015268325806,-14.622332572937012,89.6953125,0.6412856578826904,-14.826066970825195,89.8072509765625,0.7866542339324951,-14.423613548278809,90.047607421875,0.8242879509925842,-14.28456974029541,15.007793184106589,3.388028728696506,-1.0,0.015728305785123967,0.6666666865348816,0.0,26.1,0
L-1:11,0.8392926947553799,3.4053187754882464,5.660648201283799,2.184370287370242,2.0493195433065825,3.164608169927819,1.1714705451959708,1.6942958450150325,6.565322817127231,2.496504538763503,675.0653686523438,25.932126998901367,231.91009521484375,449.55029296875,198.36166381835938,744.8558349609375,275.3065185546875,778.0100708007813,511.7950744628906,499.03802490234375,617.7850952148438,51.539085388183594,628.0120239257813,601.0641479492188,390.8376159667969,938.4830322265625,305.8114929199219,799.876708984375,654.7449951171875,453.52606201171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.25888061523438,0.6806157827377319,-14.658580780029297,90.27639770507813,0.6925862431526184,-14.827417373657227,89.63168334960938,1.0621174573898315,-14.249117851257324,89.58544921875,1.1046786308288574,-14.388320922851563,89.59506225585938,1.0546281337738037,-14.6694917678833,89.65768432617188,1.0264437198638916,-14.60268783569336,89.53009033203125,1.0906635522842407,-14.617032051086426,89.83612060546875,0.7692464590072632,-14.96924114227295,90.0565185546875,0.6143561601638794,-15.094462394714355,90.1641845703125,0.7089473605155945,-14.866826057434082,3.2867295339558864,2.8622622227612227,-1.0,0.014584185910552471,0.0,0.0,28.51,0
L-1:12,5.34718723550481,0.6351741681861682,1.8810565796912901,2.6832213244402574,5.645862630123088,10.180953045040848,1.911509695210169,2.066017558447881,5.902897440007063,8.42040795335837,1366.5770263671875,56.741477966308594,1336.189208984375,947.3575439453125,322.70953369140625,1081.755126953125,359.5895690917969,1218.3316650390625,593.5112915039063,464.85687255859375,2081.680908203125,319.6549072265625,808.2996215820313,1055.1324462890625,550.9700927734375,1382.121826171875,623.562744140625,1449.1741943359375,1020.4642333984375,649.8895263671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.01544189453125,1.1328051090240479,-15.322399139404297,90.01544189453125,1.1328051090240479,-15.322399139404297,89.91629028320313,1.0890730619430542,-15.595746994018555,89.79269409179688,1.1240259408950806,-15.799177169799805,89.88385009765625,1.1873561143875122,-15.706305503845215,89.75607299804688,1.234477162361145,-15.535712242126465,89.75607299804688,1.234477162361145,-15.535712242126465,89.79202270507813,1.1230107545852661,-15.433398246765137,89.79202270507813,1.1230107545852661,-15.433398246765137,89.95272827148438,1.2375714778900146,-15.211419105529785,11.622254895955088,10.732542234839554,-1.0,0.008733312142403051,0.6666666865348816,7.72,15.7,0
L-1:13,3.326851207517878,2.306673758311534,0.9288544194677776,5.477185442790496,1.2085994274522354,1.904921752455667,1.9588939645533474,6.425586240182606,1.6143912392383093,0.9946617202561824,673.3118896484375,26.354177474975586,1607.6649169921875,756.0430297851563,26.364463806152344,971.6333618164063,242.65985107421875,586.5211181640625,688.7362670898438,645.546875,1373.5235595703125,18.20040512084961,502.79498291015625,601.7659912109375,183.63961791992188,713.4251098632813,210.95285034179688,1056.437744140625,640.0220947265625,419.72271728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5291748046875,0.6728172302246094,-15.309101104736328,90.41729736328125,0.7146561145782471,-15.326791763305664,90.5164794921875,0.7389971613883972,-15.407167434692383,90.65463256835938,0.7689719200134277,-15.442770004272461,90.31109619140625,0.697590172290802,-15.376198768615723,90.2193603515625,0.792246401309967,-15.612796783447266,90.3477783203125,0.7628694772720337,-15.632634162902832,90.454833984375,0.7305113077163696,-15.457179069519043,90.44122314453125,0.6963452696800232,-15.381282806396484,90.501708984375,0.6722767353057861,-15.307562828063965,9.954037240192735,1.9752515599814378,-1.0,0.012302671990171992,5.333333492279053,0.0,22.89,0
L-1:14,1.9484199516839944,0.6008854735277871,1.6022258688635092,1.6740692681871185,2.904936058873709,0.2043446245072275,2.48247537831079,3.6851224803000413,3.819288416690525,1.9457235222488156,613.2803344726563,108.6915054321289,387.65875244140625,299.1240234375,213.43458557128906,688.2943115234375,330.42633056640625,1273.9075927734375,785.56201171875,458.53973388671875,801.7533569335938,34.15205001831055,492.40411376953125,547.7340698242188,211.79367065429688,745.0855712890625,267.6448974609375,805.128173828125,526.9815673828125,521.3989868164063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16287231445313,0.12765708565711975,-15.275970458984375,90.0328369140625,0.2747179865837097,-15.491554260253906,90.026611328125,0.36006367206573486,-15.736733436584473,90.13143920898438,0.35550495982170105,-15.867484092712402,90.72268676757813,0.7576307058334351,-15.435519218444824,90.74520874023438,0.8903532028198242,-15.591309547424316,90.4495849609375,0.826316237449646,-15.556331634521484,90.31918334960938,0.6546006202697754,-15.443232536315918,90.437744140625,0.36803847551345825,-15.32287883758545,90.3948974609375,0.03535085916519165,-15.151973724365234,13.891880068360546,6.433328322337915,-1.0,0.01554826616682287,1.3333333730697632,0.0,28.44,0
L-1:15,5.744197209096388,3.650694399479614,0.532197946008698,2.9632006597464415,8.35535947502592,1.7294811694683823,3.46920938448185,4.568937535552476,8.003296322406863,2.205779478678988,668.3805541992188,37.37432861328125,877.1367797851563,626.4349975585938,267.5340270996094,956.6638793945313,382.3586730957031,542.0513305664063,787.2435302734375,524.17138671875,778.290283203125,107.75560760498047,559.216796875,400.0147399902344,112.51268005371094,679.4783935546875,291.2169189453125,784.2026977539063,625.4452514648438,630.4461669921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.17141723632813,0.07720156759023666,-15.343259811401367,90.262939453125,-0.14901484549045563,-15.35774040222168,90.15438842773438,-0.18792998790740967,-15.37182903289795,90.38134765625,-0.10336703062057495,-15.404833793640137,90.14190673828125,-0.00707800779491663,-15.363619804382324,89.92242431640625,0.008670926094055176,-15.27958869934082,89.8741455078125,0.5952243208885193,-15.993010520935059,89.96539306640625,0.4659068286418915,-15.689898490905762,89.9498291015625,0.30690908432006836,-15.539355278015137,90.1934814453125,0.18976137042045593,-15.381844520568848,9.034921183349866,6.375555515161166,-1.0,0.013716357655502392,3.000000089406967,0.0,26.21,0
