Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.666666716337204,3.213476063956498,11.132366370373404,2.936039071139181,2.435562221457217,0.6666666865348816,1.785591719692486,1.7025155503805012,5.076374715070951,1.7980747926413145,683.1409301757813,108.69937133789063,980.3351440429688,608.4945068359375,401.9667053222656,884.8212280273438,637.0119018554688,821.0174560546875,948.029296875,565.3900146484375,990.051513671875,90.4508285522461,681.2432250976563,514.5736083984375,143.63296508789063,778.219482421875,0.0,0.0,407.69122314453125,334.045654296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.052941180765628815,0.0882352963089943,74.70132446289063,-32.187965393066406,-2.0906612873077393,77.97804260253906,-31.784204483032227,-2.0214030742645264,79.85859680175781,-31.156734466552734,-1.9695487022399902,79.88294219970703,-30.80438995361328,-1.0277844667434692,84.76222229003906,-29.866973876953125,-0.5906511545181274,84.76222229003906,-29.866973876953125,-0.5906511545181274,90.75296783447266,-28.743215560913086,-0.3322134017944336,90.26229095458984,-28.410869598388672,0.4217885434627533,73.29928588867188,-32.65750503540039,-4.178496360778809,72.78028869628906,-32.64338302612305,-2.6891674995422363,1.054092584803866,3.437260194199814,-1.0,0.01261038961038961,0.6666666865348816,0.0,19.42,68
L-1:2,6.009252304862985,10.281820042293957,4.934250524746892,7.237533910559072,9.723080111692704,8.724168478868739,6.19124558373841,7.433707183827562,4.8275261625498525,2.981406411864934,1073.9560546875,68.09036254882813,1128.3929443359375,595.6283569335938,97.85600280761719,1005.2989501953125,318.7561340332031,942.6980590820313,663.9154663085938,465.536865234375,1169.7667236328125,3.7405717372894287,1011.7963256835938,609.9083251953125,120.70518493652344,956.4962768554688,257.9367370605469,993.4077758789063,844.6444091796875,633.8782958984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.07058823853731155,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.07058823853731155,93.57340240478516,-27.253145217895508,-2.2819645404815674,93.57483673095703,-27.14139747619629,-1.9484385251998901,97.56067657470703,-26.847280502319336,-1.7231513261795044,101.08006286621094,-26.72951889038086,-1.0802885293960571,103.95132446289063,-26.447214126586914,-0.8243043422698975,103.23304748535156,-26.42165184020996,-0.4601497948169708,97.91166687011719,-26.69051742553711,-0.2686077058315277,99.48336791992188,-26.821800231933594,-0.28811174631118774,100.32633209228516,-26.65715980529785,-0.316729336977005,92.62641906738281,-27.130037307739258,-2.787437915802002,3.7267800735663474,9.873628933904005,-1.0,0.011136363636363635,0.0,0.0,19.74,36
L-1:3,6.47216280586801,13.546826062126042,9.810466896221206,7.392574802196828,3.3983154595843703,0.7453560147132864,9.814579716297985,11.298383828985804,9.819108115713231,8.149115861199132,1044.9088134765625,300.7104187011719,754.3365478515625,614.7656860351563,452.96282958984375,1483.9693603515625,463.0723571777344,1382.53564453125,765.908935546875,82.78816986083984,1063.8331298828125,23.264902114868164,868.1395263671875,779.093017578125,513.668212890625,1180.9473876953125,547.2532958984375,1282.8157958984375,1065.2237548828125,1204.4791259765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.07058823853731155,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.07058823853731155,87.93265533447266,-29.538393020629883,-3.4311628341674805,94.58978271484375,-29.0792293548584,-2.808412551879883,97.22848510742188,-29.0631103515625,-3.138673782348633,93.67481994628906,-29.4708251953125,-3.2654311656951904,83.62163543701172,-29.811140060424805,-2.313812732696533,88.87537384033203,-30.24479866027832,-8.1041898727417,89.66212463378906,-30.114492416381836,-7.637529373168945,83.09674835205078,-30.60984230041504,-6.6319684982299805,87.6135482788086,-29.786632537841797,-4.585238933563232,87.6135482788086,-29.786632537841797,-4.585238933563232,5.000000149011612,14.324682356647227,1.0,0.010215580239695994,1.3333333730697632,0.0,19.97,96
L-1:4,22.705849164588887,8.11986161282631,4.899252176065061,1.7205147370905134,1.4482828772575898,2.981424058853078,5.862197883276619,9.169316782038136,0.48342157009819353,15.419990539403056,1173.1083984375,171.7184600830078,756.0723876953125,972.1177368164063,62.132041931152344,1392.9896240234375,428.1044006347656,1368.958251953125,761.3848266601563,698.5013427734375,992.9577026367188,27.666231155395508,1059.2783203125,1093.575439453125,588.240478515625,1620.2550048828125,147.74502563476563,1916.1748046875,789.7977905273438,801.15869140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.07058823853731155,0.07058823853731155,0.10588236153125763,68.53340911865234,-34.26960754394531,-8.213630676269531,70.95037841796875,-33.87834548950195,-8.704102516174316,71.87018585205078,-32.29615783691406,-6.237893581390381,71.87018585205078,-32.29615783691406,-6.237893581390381,73.32275390625,-32.30516052246094,-6.651304721832275,76.12776947021484,-31.76169776916504,-7.2133378982543945,76.60897827148438,-31.74057960510254,-7.4801764488220215,75.80980682373047,-32.1756477355957,-7.914027690887451,75.80980682373047,-32.1756477355957,-7.914027690887451,70.67045593261719,-33.35293197631836,-7.924005508422852,7.280110106244701,10.846814595426393,-1.0,0.008917848206839033,2.6666667461395264,3.9,18.33,64
L-1:5,14.003968109084097,13.202365297745459,10.314002063758016,10.922386040068705,11.505005414483902,2.6874193295241846,2.1640124419191995,5.937536454284452,4.8097484476603265,8.35069766886617,1505.7158203125,41.06210708618164,938.0761108398438,1058.7735595703125,265.956787109375,1196.03759765625,293.6211853027344,1356.79052734375,1420.3704833984375,584.3243408203125,1716.949951171875,133.0569305419922,383.70458984375,287.4227600097656,219.19874572753906,1225.48876953125,224.82908630371094,1306.4486083984375,822.9254150390625,732.4192504882813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.07058823853731155,0.0882352963089943,68.4135971069336,-36.27444076538086,-11.84630012512207,68.4135971069336,-36.27444076538086,-11.84630012512207,67.75589752197266,-36.22067642211914,-11.836504936218262,68.95346069335938,-35.747745513916016,-12.288045883178711,70.3159408569336,-35.19320297241211,-12.956790924072266,70.3159408569336,-35.19320297241211,-12.956790924072266,70.81082153320313,-35.42455291748047,-13.235030174255371,70.81082153320313,-35.42455291748047,-13.235030174255371,71.85176086425781,-35.22372817993164,-13.149991035461426,70.26305389404297,-35.95668029785156,-12.555235862731934,14.643922194082075,6.863408456438879,-1.0,0.008623188405797101,5.333333492279053,0.0,14.96,100
L-1:6,1.0000000298023224,1.6890433861765217,2.8836172645221247,6.822380775291468,8.233999204063307,8.117197349835278,3.8043483015656157,12.78270716432951,9.622862053611083,11.901355597245992,1256.1126708984375,395.0449523925781,939.6398315429688,846.45849609375,753.8784790039063,1257.8602294921875,622.88916015625,1587.109619140625,696.9603271484375,842.0791015625,1169.8572998046875,188.79747009277344,727.2735595703125,861.4846801757813,391.8653869628906,1198.5223388671875,495.4583435058594,1082.1026611328125,976.496826171875,941.82861328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.07058823853731155,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.07058823853731155,0.0882352963089943,0.0882352963089943,72.83402252197266,-34.169986724853516,-13.754938125610352,72.13150024414063,-34.60810852050781,-13.131702423095703,71.21959686279297,-34.72400665283203,-12.481348991394043,74.34288787841797,-33.460445404052734,-15.713924407958984,74.34288787841797,-33.460445404052734,-15.713924407958984,75.42744445800781,-33.133575439453125,-16.13152313232422,75.42744445800781,-33.133575439453125,-16.13152313232422,75.10026550292969,-33.227783203125,-15.898112297058105,74.16902923583984,-33.624420166015625,-15.628439903259277,72.40959930419922,-34.14811325073242,-14.422659873962402,16.46545253768,15.042895509914128,1.0,0.009507119386637458,1.3333333730697632,0.0,19.84,0
L-1:7,8.359957718469117,4.537167833620948,3.5600437518127586,9.909666299642513,4.269008381799439,1.4907120294265221,2.330697077475189,5.806526428501759,3.6119142030506373,2.9822177769805926,545.3486938476563,73.04670715332031,866.5015869140625,558.8148803710938,80.5514144897461,414.65484619140625,325.4906921386719,739.1522827148438,1147.763916015625,714.086669921875,1045.2613525390625,220.80104064941406,943.6724853515625,503.1702575683594,384.03411865234375,1295.466552734375,525.7315063476563,1165.7076416015625,998.4429931640625,1153.703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,71.68907928466797,-35.465213775634766,-14.757030487060547,72.19698333740234,-35.146202087402344,-14.73277473449707,73.81986999511719,-34.63589859008789,-14.719578742980957,73.8226318359375,-34.43802261352539,-15.13149356842041,72.80955505371094,-35.077430725097656,-15.457966804504395,74.11190795898438,-34.71919250488281,-15.906187057495117,76.04450225830078,-34.42536163330078,-16.110445022583008,76.08415222167969,-34.41789245605469,-16.192014694213867,75.4671401977539,-34.586273193359375,-16.049776077270508,75.4671401977539,-34.586273193359375,-16.049776077270508,11.02018383163809,6.787817636502868,-1.0,0.010162126147468165,1.0000000298023224,0.0,19.61,0
L-1:8,7.7817452518665755,5.619379449887121,3.9875956149243077,7.645836563549365,4.220759080692584,5.2704629240193235,17.056317734511214,25.332710079270402,20.619816136501132,8.831233566485771,1087.366943359375,105.54852294921875,843.3652954101563,789.9886474609375,590.2225341796875,1326.330810546875,428.3420715332031,829.1112670898438,760.2277221679688,671.9155883789063,1396.0819091796875,382.75335693359375,540.4453125,623.110107421875,322.1233825683594,846.3159790039063,110.09358215332031,1204.4342041015625,918.5665893554688,1008.7919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.0882352963089943,0.07058823853731155,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,74.55487060546875,-34.968265533447266,-16.402456283569336,76.02764129638672,-35.59013748168945,-15.497359275817871,75.349609375,-36.024024963378906,-15.218400955200195,73.17684173583984,-37.068626403808594,-14.798687934875488,76.01541900634766,-34.12483596801758,-17.53740119934082,77.38094329833984,-33.72023010253906,-17.627058029174805,77.90271759033203,-33.37700271606445,-16.743709564208984,77.26864624023438,-33.876583099365234,-16.43277359008789,76.49352264404297,-34.138336181640625,-16.450881958007813,74.5302734375,-34.87660217285156,-16.438430786132813,12.879786441421974,14.339427748982784,1.0,0.009753333333333333,4.666666805744171,12.46,22.99,0
L-1:9,1.9436506895404029,1.0135004866407598,3.281265617175928,3.1741192088364785,2.7786752756212327,3.000000089406967,2.15410005963006,10.242975789224353,12.394607497124102,10.157853850723992,1260.205810546875,137.52052307128906,1006.7601318359375,630.4926147460938,392.2560119628906,1323.4945068359375,381.6048583984375,1355.71630859375,690.1694946289063,673.183837890625,747.603271484375,34.57938766479492,821.3917846679688,640.4473876953125,622.8024291992188,1407.211181640625,421.64190673828125,1287.0531005859375,963.708984375,1124.695556640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.07058823853731155,72.44356536865234,-34.813236236572266,-18.19842529296875,76.01548767089844,-34.89659881591797,-17.865367889404297,76.59078216552734,-34.95670700073242,-18.487146377563477,76.59078216552734,-34.95670700073242,-18.487146377563477,78.84821319580078,-34.808162689208984,-19.199268341064453,72.57262420654297,-36.267269134521484,-19.52252769470215,76.7752685546875,-33.4451789855957,-19.502349853515625,75.4891586303711,-33.95985412597656,-19.272178649902344,73.96397399902344,-34.412986755371094,-18.55609703063965,72.44356536865234,-34.813236236572266,-18.19842529296875,11.967549070671572,10.224905236309048,1.0,0.009626778971826896,2.3333334028720856,0.0,18.94,0
L-1:10,15.003703693714401,1.0667146082059178,6.900942181922338,2.794316271289823,4.681240003855321,7.280110106244695,3.199526796796672,6.292084778877782,4.888904374622388,5.345177742249106,1171.6319580078125,56.86249923706055,967.4136352539063,1172.985595703125,329.3742980957031,1666.013427734375,522.3199462890625,1207.658203125,1041.52001953125,596.5343627929688,1253.2998046875,100.26005554199219,1060.72216796875,617.9882202148438,307.9349670410156,745.0574340820313,122.82293701171875,1005.254150390625,1214.404296875,1028.9398193359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.0882352963089943,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.07058823853731155,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.07058823853731155,69.66946411132813,-33.33871078491211,-17.204425811767578,68.89288330078125,-33.80366897583008,-17.050180435180664,70.53804016113281,-33.572410583496094,-17.173837661743164,70.53804016113281,-33.572410583496094,-17.173837661743164,71.23523712158203,-33.27814865112305,-17.19112205505371,71.5316162109375,-32.950740814208984,-16.93140983581543,71.69376373291016,-32.70470428466797,-16.573535919189453,71.25565338134766,-32.86621856689453,-16.560205459594727,76.4802017211914,-32.26786804199219,-18.07433319091797,73.01901245117188,-32.72312927246094,-17.755863189697266,26.40286258461707,5.9872071622945295,-1.0,0.009556541019955653,2.0000000596046448,0.0,17.24,0
