Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.031128874149275,1.5067799247905316,0.5123572701985554,0.8075951287545436,9.113128327797714,0.5,4.804467345468167,1.266393651832226,1.6992983082577418,6.007336558136705,234.74256896972656,53.04642868041992,274.5398254394531,170.0044403076172,90.93162536621094,389.00555419921875,14.789389610290527,491.01544189453125,342.64141845703125,197.62136840820313,282.9416198730469,123.68759155273438,349.34344482421875,252.307861328125,114.59077453613281,455.6896667480469,178.58164978027344,800.7483520507813,212.58367919921875,297.9267272949219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.69180601295413,5.540132664695523,1.0,0.02665487207403375,0.0,0.0,27.98,100
L-1:2,4.123105625617661,1.4346341922926689,4.243585884055844,2.3419887982973595,5.914344305041256,0.7071067811865476,1.6842497104145158,2.2547333625545565,1.843928362904024,4.83655720592355,452.5377502441406,7.457919597625732,302.0916442871094,252.9882049560547,116.99217987060547,524.3705444335938,129.38160705566406,722.2132568359375,251.33607482910156,290.62109375,616.899658203125,83.07627868652344,522.5551147460938,428.54412841796875,320.2495422363281,488.9081115722656,311.5948181152344,743.6994018554688,443.9888916015625,543.2894897460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.031128874149275,1.666095987642093,1.0,0.02081736649001223,2.5,0.0,29.18,108
L-1:3,1.8027756377319946,3.138960689390984,2.1690662864469004,7.196747099553736,5.192045620898813,1.5811388300841898,1.2527182833997288,1.6013949826009064,2.6011229934031226,3.4163947228070892,523.8329467773438,81.8471908569336,500.7576599121094,446.47412109375,228.2852783203125,384.5013122558594,174.22056579589844,409.9336853027344,380.999755859375,283.8576965332031,283.2811584472656,38.728580474853516,384.125,281.3260803222656,157.2849578857422,490.7049255371094,178.23760986328125,474.25250244140625,640.1137084960938,418.7524719238281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.264337522473747,0.4551081156590331,-1.0,0.021041055718475074,1.0,0.0,24.6,36
L-1:4,6.18465843842649,2.831865024313947,4.828430665397166,0.9508991008826398,15.014774345528554,15.03329637837291,12.049156815823517,6.896948879374875,11.451588603638484,9.554099312148638,859.8680419921875,63.882896423339844,268.8865966796875,219.051025390625,284.7086486816406,451.8058166503906,176.90756225585938,758.5946655273438,778.663818359375,526.7584838867188,637.3602294921875,39.169334411621094,455.7139892578125,392.47381591796875,13.73265552520752,485.07257080078125,144.73577880859375,332.40740966796875,275.30609130859375,326.5592041015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.081085628023203,5.869767662164494,1.0,0.018256964809384164,2.0,8.11,28.46,32
L-1:5,1.5811388300841898,0.3408075249037756,1.4881982574513912,2.2385149168552707,3.528907197063211,7.5,5.6250939084641125,8.107499230595206,4.763094045782237,0.22234423645991194,437.2123718261719,13.347620010375977,366.3976135253906,300.6646728515625,105.26664733886719,606.5487060546875,126.08395385742188,313.6092224121094,501.93939208984375,313.2736511230469,562.5827026367188,1.3832483291625977,380.73974609375,370.58355712890625,189.58680725097656,835.6803588867188,80.88298034667969,650.0973510742188,341.7592468261719,220.68190002441406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.34086788842964,10.621999226918142,-1.0,0.022457478005865103,3.0,0.0,21.88,0
L-1:6,0.7071067811865476,0.8625197841013904,2.7441497189269715,1.18737029187397,2.8784397915941295,4.031128874149275,2.1430827028027517,0.8394999427377992,1.20967386729419,2.577675849106986,536.8248291015625,0.0018823548452928662,487.2530822753906,302.3088073730469,128.98223876953125,650.0576171875,13.759364128112793,606.0352783203125,466.78839111328125,367.37005615234375,708.4329833984375,0.5097126364707947,393.5157470703125,329.8878479003906,120.6344223022461,734.7785034179688,154.9309844970703,553.5396118164063,529.5862426757813,394.0299377441406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73212459828649,2.6996026904259565,-1.0,0.019166666666666665,2.0,0.0,20.24,0
L-1:7,2.0,1.7194122244773866,3.3307733745225927,1.709320292853853,9.652726262631031,3.605551275463989,2.913778555842131,1.1618878531575447,9.551218352186742,4.154083530402942,707.2295532226563,54.74291229248047,298.3187561035156,143.0355987548828,115.59817504882813,259.68621826171875,172.8118133544922,521.5042114257813,483.40008544921875,378.70196533203125,1046.226806640625,66.27245330810547,410.2868347167969,338.11785888671875,251.65232849121094,565.3594360351563,618.7924194335938,1209.4442138671875,633.07958984375,312.302001953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81161275615895,5.799545116953469,1.0,0.017742424242424244,3.0,0.0,23.42,0
L-1:8,15.532224567009067,7.831413048134066,2.3815231194632585,1.4136427266872413,2.5216756972350307,5.590169943749479,3.170763871484232,8.30771720481675,15.676005735766928,19.90674005452795,689.2777709960938,38.76902389526367,606.0776977539063,288.0506286621094,85.75791931152344,553.959716796875,192.5305938720703,581.5811157226563,283.3953857421875,308.9453125,725.50439453125,5.809835910797119,459.00103759765625,473.4875183105469,70.36676788330078,721.6346435546875,364.1601257324219,581.6773681640625,645.9747314453125,532.2516479492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.455193916640205,18.01522331429234,-1.0,0.017343049327354258,7.0,6.59,24.31,0
L-1:9,13.509256086106296,14.6424181447903,8.718513863598016,8.32270676805257,2.9454580534059924,3.640054944640259,6.7189446451718355,3.5323293126207473,5.843796445022807,18.319531370728782,769.3438720703125,52.62528610229492,402.9000244140625,194.0822296142578,294.9405822753906,698.9238891601563,356.4847412109375,765.328125,719.286865234375,461.23468017578125,794.94677734375,24.207128524780273,635.93212890625,393.0963134765625,153.83877563476563,554.4036254882813,212.54568481445313,729.267822265625,623.8216552734375,535.3155517578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165525060596439,11.176423884335064,1.0,0.01666526374859708,1.0,0.0,16.97,0
L-1:10,0.0,3.367049887638979,8.588440470967987,5.926488714396173,4.889527520723723,2.5495097567963922,0.8175401669088365,2.30080928016303,3.005856389172088,2.7196507641854932,91.215576171875,0.10016757994890213,882.1613159179688,468.5611267089844,415.1058349609375,1056.1591796875,423.1416931152344,664.3216552734375,656.0009765625,466.9206848144531,294.5325622558594,1.166443943977356,401.4933166503906,331.466064453125,173.2305450439453,765.608642578125,341.4437255859375,893.7686767578125,778.9719848632813,645.0238037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4992123210451824,-1.0,0.015516155531215775,1.0,0.0,16.19,0
