Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.848001333316228,1.600750063300846,2.245101715539056,5.400994150168511,4.448758212175736,5.044248800470843,3.0360552595127945,2.527811807854212,0.9540580737940538,3.4333482727600844,1236.1358642578125,11.319061279296875,571.9202270507813,528.5407104492188,167.3489990234375,700.38134765625,165.15631103515625,601.2794189453125,446.1771240234375,328.7027282714844,572.3507080078125,13.4019775390625,34.67354202270508,124.59671783447266,148.502197265625,789.5379028320313,228.43934631347656,862.9570922851563,743.501953125,652.3424072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,352.4319152832031,-63.169960021972656,23.808320999145508,352.85968017578125,-63.11191177368164,23.796695709228516,353.76080322265625,-63.439945220947266,23.323442459106445,354.39697265625,-63.50908660888672,23.230953216552734,355.3507385253906,-63.90864562988281,23.034215927124023,354.90728759765625,-64.10575103759766,23.09922981262207,355.3995056152344,-64.90705108642578,22.782283782958984,352.6913757324219,-62.499237060546875,24.15225601196289,352.21856689453125,-62.512855529785156,24.278459548950195,352.4579772949219,-63.14384841918945,23.80290985107422,6.960204546703954,6.7004554934935125,1.0,0.019636180351906157,2.0000000596046448,0.0,30.61,100
L-1:2,9.339284095746947,4.659289839691824,7.21106612723115,6.227126969709465,1.0161303833151567,7.000000208616257,2.176947508466228,4.076271111029309,5.286412040177364,5.415718656316545,803.5877075195313,11.009012222290039,1002.0490112304688,841.4314575195313,340.46380615234375,626.5390625,329.2388610839844,818.8170166015625,802.2146606445313,374.40216064453125,700.2568359375,82.31629180908203,741.4705200195313,666.5138549804688,309.90252685546875,744.8397216796875,177.29443359375,709.5100708007813,789.6014404296875,571.8675537109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.029411766678094864,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,352.483154296875,-64.40751647949219,22.77816390991211,352.3342590332031,-64.91316986083984,22.54450798034668,353.6863098144531,-65.52226257324219,21.80895233154297,354.93701171875,-66.04468536376953,21.16644287109375,354.5350646972656,-66.5630874633789,21.325668334960938,356.00634765625,-65.87042999267578,20.813535690307617,355.9326171875,-65.66300201416016,21.029359817504883,354.79644775390625,-65.3829345703125,21.5400333404541,354.1702575683594,-64.9420166015625,22.002872467041016,352.07427978515625,-64.431884765625,22.90703582763672,2.603416636223411,3.3486511161565864,1.0,0.020510684534588916,3.6666667759418488,0.0,32.36,32
L-1:3,2.027587570526223,1.8852791975669418,1.744419739544903,2.7713663250548093,2.0366837367047887,2.9814240588530865,1.967915336343684,4.29274642752299,3.4695532344834743,2.0694671861409404,1049.3648681640625,22.806821823120117,930.0675048828125,397.6194152832031,417.9696350097656,1010.5184936523438,386.7713623046875,1276.5323486328125,811.7891235351563,367.396240234375,1012.045166015625,159.73910522460938,1123.0548095703125,887.7510986328125,346.9428405761719,1100.1812744140625,555.0413208007813,764.1223754882813,819.9776611328125,521.9498291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,353.59161376953125,-64.77960205078125,21.732229232788086,353.9449768066406,-65.30574798583984,21.210317611694336,355.1716003417969,-65.40807342529297,20.675207138061523,356.00970458984375,-65.93080139160156,20.227855682373047,356.6362609863281,-66.02667236328125,20.133569717407227,357.2891540527344,-66.1840591430664,19.986591339111328,357.2765197753906,-65.99205017089844,20.140127182006836,356.5282897949219,-65.74755859375,20.558917999267578,355.509033203125,-65.11244201660156,21.371732711791992,354.6580505371094,-64.90846252441406,21.46573829650879,23.591430408706724,4.353074291430936,1.0,0.013234672304439747,3.000000089406967,0.0,25.04,68
L-1:4,12.405196413655915,14.551992240340232,10.574769487345062,6.362555254754908,4.804839997408965,5.517648616854346,11.987083082889297,14.712123247307836,10.326873036058078,4.827808248484813,1223.8275146484375,21.16887855529785,1252.978515625,1065.15966796875,590.063232421875,1778.29052734375,789.3568725585938,1364.92138671875,1206.1806640625,834.4305419921875,1145.4613037109375,270.1678466796875,579.9690551757813,502.6872253417969,461.8778991699219,1568.09521484375,430.5744934082031,1797.771484375,787.5773315429688,904.2843627929688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,354.3562927246094,-67.2092514038086,19.963499069213867,355.1127624511719,-67.39927673339844,19.577817916870117,355.1127624511719,-67.39927673339844,19.577817916870117,355.4161071777344,-67.2879409790039,19.693828582763672,355.50543212890625,-67.44442749023438,19.72164535522461,354.781982421875,-67.49537658691406,20.0114803314209,356.6446533203125,-67.28468322753906,19.501298904418945,355.47564697265625,-66.93717956542969,20.022125244140625,354.9759521484375,-67.12525177001953,20.082578659057617,353.7583923339844,-67.12359619140625,20.284727096557617,16.414763492191568,5.455287304091531,1.0,0.010770637408568443,2.6666667461395264,4.81,23.56,36
L-1:5,7.401201324297821,11.2598880490692,4.473293513184748,4.449433825223925,3.329479425804655,4.268749618840536,3.399443021457896,2.565450920075433,4.526821656271761,3.954712455691733,1206.9322509765625,63.14717102050781,403.12548828125,345.53948974609375,204.235107421875,730.2760009765625,298.5732116699219,888.216064453125,950.4157104492188,535.3428955078125,1627.5272216796875,96.63262939453125,1565.5679931640625,1123.696533203125,496.67919921875,1532.9110107421875,556.1513061523438,1403.2694091796875,811.2901611328125,885.848876953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.027450982481241226,4.336843013763428,-62.85040283203125,21.84119987487793,4.544687747955322,-62.96675491333008,21.59406089782715,2.7862722873687744,-62.52941131591797,22.70220947265625,5.845998287200928,-63.6347770690918,20.813091278076172,7.186905384063721,-64.33821868896484,20.224143981933594,7.777942657470703,-63.80609130859375,20.562894821166992,7.815979480743408,-63.8985595703125,20.607940673828125,7.815979480743408,-63.8985595703125,20.607940673828125,5.621996879577637,-62.89871597290039,21.788503646850586,4.5376386642456055,-62.59987258911133,22.059280395507813,3.77123627871985,22.65901726251781,1.0,0.013010352636687157,4.0000001192092896,0.0,22.98,108
L-1:6,2.2360680441398086,2.5401577882995205,1.9242763873845201,5.298393460249406,10.950420317472501,3.7267800735663474,2.2892974435702698,2.0462352067080256,2.015484355699988,2.5215308434055705,1319.2435302734375,115.72569274902344,1116.5557861328125,1018.5418701171875,828.5933227539063,1864.7545166015625,118.17109680175781,1501.7607421875,1299.977294921875,849.168701171875,1647.45263671875,449.8190002441406,1.928956151008606,52.27377700805664,121.22380065917969,1195.326904296875,277.3680725097656,1720.12060546875,1447.4658203125,706.787353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.02549019828438759,0.02549019828438759,0.027450982481241226,2.5498666763305664,-64.54600524902344,21.253196716308594,3.542363166809082,-64.77352142333984,20.775379180908203,3.542363166809082,-64.77352142333984,20.775379180908203,4.605776786804199,-65.09514617919922,20.353437423706055,5.110179424285889,-65.13557434082031,20.39072036743164,5.234617710113525,-65.75810241699219,20.039623260498047,3.9165072441101074,-63.849727630615234,21.244966506958008,2.663255453109741,-63.299407958984375,22.280555725097656,2.5517570972442627,-64.39116668701172,21.645509719848633,1.8026072978973389,-64.46717071533203,21.66109848022461,12.119773002995933,10.038600924040814,1.0,0.010370738636363635,3.000000089406967,0.0,20.86,0
L-1:7,2.848001333316228,1.4789372501301412,6.868667689273761,4.877602337146154,1.2376278998270502,4.678556421971242,3.7018031187372085,2.904725336156912,1.0611708565182316,4.909589540280379,1425.3533935546875,221.58456420898438,1852.029541015625,1294.5784912109375,700.2100830078125,1650.7069091796875,634.459228515625,1350.0986328125,1329.9246826171875,606.6694946289063,1564.78662109375,338.97869873046875,1628.0751953125,1066.4947509765625,314.96795654296875,1483.5020751953125,30.744544982910156,1346.1370849609375,1100.621337890625,482.2087707519531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.027450982481241226,3.2497520446777344,-63.94142532348633,21.693286895751953,4.74876594543457,-64.34577941894531,20.866451263427734,4.292358875274658,-64.70391082763672,21.048871994018555,4.292358875274658,-64.70391082763672,21.048871994018555,5.713546276092529,-64.09664154052734,20.916522979736328,5.162367820739746,-63.924869537353516,21.35215187072754,5.162367820739746,-63.924869537353516,21.35215187072754,3.6035079956054688,-63.496055603027344,21.963523864746094,2.727935791015625,-63.1575927734375,22.33735466003418,3.2497520446777344,-63.94142532348633,21.693286895751953,5.088112659128818,11.877954432075898,1.0,0.010848534688995217,0.3333333432674408,0.0,20.73,0
L-1:8,1.3333333730697632,6.8892224159488125,5.4551786587982605,10.16535507695643,14.539993824537284,16.67999516803165,0.14547570055124284,9.58876118921306,2.880026180919059,2.5616981158896484,1236.8013916015625,148.41612243652344,1310.2164306640625,1010.2332763671875,671.781005859375,1817.857177734375,446.2784729003906,1801.197265625,1459.1546630859375,1209.3052978515625,1997.069580078125,215.14645385742188,1250.3004150390625,1669.4178466796875,615.7686767578125,1771.2611083984375,463.56182861328125,1170.48193359375,890.0222778320313,537.355712890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.027450982481241226,359.9759521484375,-64.1676254272461,21.899370193481445,359.5974426269531,-64.43219757080078,21.78200340270996,359.8340759277344,-64.34622955322266,21.695173263549805,1.3466811180114746,-64.62796020507813,21.082456588745117,1.3466811180114746,-64.62796020507813,21.082456588745117,0.7816084623336792,-64.705322265625,21.399463653564453,6.829081058502197,-65.4400634765625,20.183683395385742,6.829081058502197,-65.4400634765625,20.183683395385742,6.818717956542969,-65.3687744140625,20.207990646362305,0.8806965351104736,-64.87264251708984,21.43445587158203,12.529964459563697,9.051343582831931,1.0,0.009146431744151612,3.000000089406967,4.82,17.65,0
L-1:9,3.2829526984383133,3.8189683568885613,2.0368567341023662,1.0225286378796448,0.772906802165506,2.426703368748233,1.600685664977649,0.4536357875382927,10.543162547008874,3.742414160246027,1153.642822265625,225.88937377929688,1102.2451171875,923.2509155273438,429.2765197753906,1084.0133056640625,186.9141845703125,1006.8372802734375,1034.7164306640625,690.3937377929688,1129.5361328125,49.84033203125,1027.0416259765625,945.8576049804688,222.41041564941406,1014.86572265625,236.4449462890625,865.0402221679688,1490.05517578125,554.582763671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.027450982481241226,1.3505709171295166,-64.57987976074219,21.551530838012695,1.955013632774353,-64.57373809814453,21.10179901123047,1.955013632774353,-64.57373809814453,21.10179901123047,2.713529109954834,-64.80999755859375,20.74238395690918,2.9730124473571777,-64.25588989257813,21.00520896911621,3.3886096477508545,-64.25184631347656,21.024524688720703,2.935203790664673,-64.3011245727539,21.294330596923828,2.8452041149139404,-63.719642639160156,21.664121627807617,2.846792221069336,-64.01095581054688,21.47614097595215,1.7732495069503784,-64.52991485595703,21.59699058532715,19.344824747916565,4.7453531194282315,1.0,0.010894635399935753,6.000000178813934,0.0,19.38,0
L-1:10,2.027587570526223,2.8892263373124907,8.634882643864788,3.9515085688930376,4.819171499688348,8.393119124810546,4.127119627746189,7.121056388458458,1.613145557814445,7.547821264397292,1239.087158203125,174.98065185546875,1666.3475341796875,937.5603637695313,259.2896728515625,934.4744873046875,497.578857421875,832.5537109375,1039.8052978515625,583.0237426757813,1249.0860595703125,125.02408599853516,1028.1492919921875,687.898193359375,673.6248779296875,1618.1361083984375,179.81521606445313,1353.30029296875,1100.499755859375,589.2390747070313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.027450982481241226,2.555384635925293,-63.938453674316406,22.218124389648438,2.555384635925293,-63.938453674316406,22.218124389648438,4.033748626708984,-65.394287109375,20.601009368896484,5.524502754211426,-65.60783386230469,20.18924331665039,6.23903226852417,-65.62274932861328,20.223102569580078,5.911128997802734,-65.55720520019531,20.52232551574707,5.911128997802734,-65.55720520019531,20.52232551574707,5.243155479431152,-65.53290557861328,20.73894500732422,4.150974273681641,-64.7344970703125,21.400266647338867,1.966059684753418,-64.05997467041016,22.182146072387695,8.944272176559235,13.085848174496867,1.0,0.011190292758089368,2.0000000596046448,0.0,20.75,0
