Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.4335638967165,1.4100687940954726,12.651966306462457,12.200281377753974,11.032407881394995,7.0400639201643616,7.800364542712749,8.563909191670339,5.085873544316038,7.146983927957114,720.7850952148438,129.72305297851562,1393.281005859375,1161.7171630859375,239.18435668945312,589.0078125,206.63783264160156,940.8228149414062,828.48388671875,925.8892822265625,718.2392578125,82.1889877319336,900.1769409179688,733.3898315429688,318.511474609375,1135.3101806640625,438.3729248046875,1046.64794921875,790.3746948242188,583.7470092773438,0.2039215862751007,0.1725490242242813,0.16862745583057404,0.1725490242242813,0.19607844948768616,0.19215688109397888,0.18039216101169586,0.19607844948768616,0.20784315466880798,0.18431372940540314,0.10701876878738403,0.08234885334968567,0.0903405174612999,0.09416261315345764,0.10284920781850815,0.10076442360877991,0.10006949305534363,0.10910354554653168,0.1118832603096962,0.10319666564464569,159.42022705078125,-45.65427017211914,-5.251092910766602,154.91595458984375,-43.43309020996094,-3.804546594619751,153.98712158203125,-44.502803802490234,-5.46668815612793,153.17767333984375,-47.04423522949219,-7.015029430389404,152.99798583984375,-49.58422088623047,-8.150005340576172,152.058837890625,-52.8519401550293,-10.993461608886719,152.11419677734375,-54.06610107421875,-11.197385787963867,152.50494384765625,-54.37937927246094,-10.90366268157959,154.2144775390625,-51.31438064575195,-9.72739028930664,156.50396728515625,-48.606998443603516,-7.673791408538818,2.6575364531836625,4.033229530480901,-1.0,0.010635447675749943,5.5,0.0,26.54,44
L-1:2,3.3354160160315836,3.184565886824031,0.8057964133137422,3.168199832303599,2.816810052938576,2.7950849718747373,6.088510281267437,8.153980947783245,6.343450672437389,4.623571733732706,651.898193359375,32.151981353759766,1724.425537109375,967.862548828125,122.93389129638672,931.7246704101562,311.08489990234375,1003.136962890625,1346.8480224609375,1310.29541015625,1105.416748046875,203.1424102783203,1057.9844970703125,912.6466674804688,154.81890869140625,1083.8035888671875,292.2894592285156,1203.0230712890625,975.6814575195312,514.6064453125,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.19607844948768616,0.2196078598499298,0.2392157018184662,0.1882353127002716,0.10180681198835373,0.08547602593898773,0.09138290584087372,0.0990271046757698,0.09867963939905167,0.10215427726507187,0.10632383823394775,0.11292564868927002,0.11084086447954178,0.10979847609996796,161.75897216796875,-47.922584533691406,-10.533101081848145,157.73785400390625,-45.77250289916992,-9.488253593444824,156.993896484375,-46.204776763916016,-11.785184860229492,156.98956298828125,-49.08023452758789,-13.004777908325195,154.731201171875,-53.74833679199219,-15.361005783081055,151.71951293945312,-57.539398193359375,-17.850879669189453,152.052001953125,-58.68540573120117,-17.61806869506836,152.6309814453125,-58.999027252197266,-16.676929473876953,154.4921875,-56.0471076965332,-15.190489768981934,158.514892578125,-51.66001892089844,-12.212641716003418,3.3541019662496847,5.683965178434749,-1.0,0.00947646103896104,2.25,0.0,23.35,36
L-1:3,4.8541219597369,6.0587276114929915,2.0895767118196638,5.804564549491186,7.089157851552787,4.6097722286464435,4.896737175385624,17.105774645687436,17.012746449841558,6.74140716406477,1003.165771484375,178.19097900390625,1368.20654296875,552.629638671875,374.1469421386719,1092.99462890625,574.9716796875,828.3135375976562,991.830322265625,747.8273315429688,970.7001342773438,27.100051879882812,837.0274047851562,915.1817016601562,262.4433898925781,1224.8897705078125,236.6130828857422,1069.8052978515625,1142.4395751953125,828.478271484375,0.21176472306251526,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.21176472306251526,0.2039215862751007,0.23137256503105164,0.21568629145622253,0.22745099663734436,0.2039215862751007,0.10215427726507187,0.10041695833206177,0.09589993208646774,0.09659486263990402,0.09937456995248795,0.10284920781850815,0.10528144985437393,0.11049339920282364,0.11153579503297806,0.11049339920282364,160.80322265625,-50.2880859375,-11.86452579498291,163.9110107421875,-46.430335998535156,-11.23835277557373,163.9110107421875,-46.430335998535156,-11.23835277557373,162.93804931640625,-46.51824188232422,-12.866008758544922,160.09710693359375,-50.30690383911133,-15.387531280517578,154.49224853515625,-55.15143966674805,-21.20832633972168,151.94113159179688,-60.28828430175781,-17.376373291015625,151.94113159179688,-60.28828430175781,-17.376373291015625,153.30889892578125,-59.021480560302734,-16.245107650756836,155.39306640625,-56.90864181518555,-14.653006553649902,1.118033988749895,8.826980198322364,-1.0,0.009529663884502595,6.5,0.0,24.14,108
L-1:4,14.002231964940446,9.519334182842174,3.1760323880668997,7.298828727049805,2.488908336383915,4.527692569068711,3.186541228277129,8.753287420821309,12.095696164266874,12.413213497804552,1489.523193359375,66.00513458251953,947.6828002929688,426.79779052734375,416.0650939941406,1366.33984375,477.4566345214844,2130.632568359375,1222.7763671875,789.3582153320312,886.800048828125,49.66505813598633,716.5404052734375,460.6083068847656,138.80374145507812,1013.8687744140625,0.0,0.0,1217.18212890625,783.987060546875,0.18039216101169586,0.16862745583057404,0.16862745583057404,0.1764705926179886,0.1882353127002716,0.18431372940540314,0.21176472306251526,0.20784315466880798,0.1764705926179886,0.20000001788139343,0.09207783639431,0.07470466196537018,0.08095899969339371,0.09242530167102814,0.10041695833206177,0.09937456995248795,0.10423906147480011,0.10354413092136383,0.07470466196537018,0.10284920781850815,158.57830810546875,-49.13530731201172,-12.3991060256958,160.27935791015625,-46.57625961303711,-12.29714298248291,160.38165283203125,-46.304901123046875,-13.14419937133789,160.47198486328125,-47.56804275512695,-14.809392929077148,159.9794921875,-50.845985412597656,-17.26725196838379,158.86785888671875,-52.6566047668457,-19.097244262695312,158.3426513671875,-53.73323440551758,-19.298248291015625,157.55755615234375,-54.22200393676758,-19.421249389648438,153.98681640625,-53.32548904418945,-14.664942741394043,155.2491455078125,-52.8586540222168,-14.255669593811035,14.545188207788856,10.42841158608644,-1.0,0.008666892808683853,6.25,3.62,25.55,64
L-1:5,4.0,2.7266673560571273,1.5690701672347012,2.5036195327752693,2.3434471805804717,2.2638462845343543,1.5218646961343776,6.360374380058498,5.085621330613414,5.6429324115682835,1035.000732421875,170.42025756835938,718.7017822265625,454.8210144042969,397.72137451171875,708.8184204101562,419.71490478515625,1129.602783203125,850.5430908203125,511.70928955078125,1041.8804931640625,9.349381446838379,958.5883178710938,611.5225219726562,264.53277587890625,1121.102294921875,190.60704040527344,912.27197265625,797.6406860351562,544.4154663085938,0.19215688109397888,0.2352941334247589,0.19215688109397888,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.21176472306251526,0.2039215862751007,0.22352942824363708,0.21176472306251526,0.11466296762228012,0.10771369189023972,0.10423906147480011,0.09416261315345764,0.09972203522920609,0.10145935416221619,0.10701876878738403,0.11396803706884384,0.1153578907251358,0.1101459413766861,160.820556640625,-45.93368148803711,-9.42127799987793,162.0440673828125,-43.630455017089844,-9.660348892211914,161.87640380859375,-43.220699310302734,-10.617422103881836,159.71075439453125,-44.72785568237305,-10.802006721496582,156.11724853515625,-48.32950210571289,-13.972709655761719,154.29852294921875,-50.197044372558594,-15.493599891662598,153.32391357421875,-51.802433013916016,-15.674683570861816,153.104736328125,-52.2539176940918,-15.423185348510742,153.447998046875,-52.47382354736328,-14.240018844604492,155.477294921875,-50.419551849365234,-12.597929954528809,9.778803607803972,6.294994885312127,-1.0,0.010719802481640922,2.5,0.0,24.19,76
L-1:6,5.618051263561058,4.516456555711871,4.525581597687204,3.8816426868293403,1.6697109939040566,1.5811388300841898,2.6676364039487046,7.650073587459838,13.858928118556827,9.868143350068461,1112.9757080078125,287.9267883300781,1332.9583740234375,752.1087036132812,123.5098648071289,601.6017456054688,125.20305633544922,819.650146484375,628.09716796875,710.3817749023438,1309.6475830078125,96.94012451171875,831.3355102539062,709.5175170898438,291.3722839355469,921.4959716796875,448.7822570800781,1032.760986328125,933.0037841796875,1061.29541015625,0.18039216101169586,0.19215688109397888,0.18431372940540314,0.1882353127002716,0.20000001788139343,0.2196078598499298,0.2549019753932953,0.22745099663734436,0.2039215862751007,0.1882353127002716,0.0990271046757698,0.10354413092136383,0.10423906147480011,0.10562891513109207,0.10875608772039413,0.12195970118045807,0.11848506331443787,0.11118832975625992,0.1136205717921257,0.10458651930093765,162.9166259765625,-40.142005920410156,-10.09742259979248,164.13690185546875,-39.00621032714844,-9.830507278442383,161.74102783203125,-41.16204833984375,-12.474628448486328,159.1007080078125,-44.30312728881836,-14.064485549926758,153.84344482421875,-54.244319915771484,-18.725984573364258,153.32861328125,-54.84077835083008,-18.74287223815918,153.25177001953125,-54.65418243408203,-17.73167610168457,153.8369140625,-54.0070686340332,-16.852914810180664,157.5074462890625,-47.58053207397461,-13.56690502166748,160.96783447265625,-43.25176239013672,-10.784514427185059,0.75,9.948881486890153,1.0,0.011668084589207582,3.25,0.0,27.43,68
L-1:7,3.783186487605389,6.5658329039381265,4.83500859964197,7.683174788523332,10.51630973721576,2.5124689052802225,0.3278136579389976,5.221268485932101,3.979865024796147,1.3848968364330703,893.630126953125,91.79612731933594,1232.8201904296875,694.90283203125,120.77889251708984,977.9149169921875,263.656982421875,401.26318359375,518.0523681640625,511.39105224609375,803.5919799804688,20.55589485168457,1001.9008178710938,692.177978515625,262.3058166503906,1210.059814453125,392.10821533203125,1158.7193603515625,611.3131713867188,489.7779541015625,0.19607844948768616,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.19607844948768616,0.20000001788139343,0.24705883860588074,0.23137256503105164,0.21176472306251526,0.10771369189023972,0.09972203522920609,0.10145935416221619,0.10354413092136383,0.10562891513109207,0.10458651930093765,0.10701876878738403,0.11223071813583374,0.10979847609996796,0.11223071813583374,161.8912353515625,-47.76694107055664,-14.720540046691895,163.65594482421875,-45.179264068603516,-14.45292854309082,163.504150390625,-45.156497955322266,-15.17822265625,162.00238037109375,-46.514793395996094,-16.384021759033203,160.32403564453125,-49.15182113647461,-17.73771095275879,155.954833984375,-53.44676971435547,-20.58365249633789,150.8045654296875,-57.427616119384766,-21.055084228515625,151.18994140625,-57.50144577026367,-20.662328720092773,152.99530029296875,-56.738956451416016,-19.150972366333008,156.6513671875,-53.42445755004883,-17.243988037109375,11.52443057161611,5.165609263872977,-1.0,0.01106576116191501,2.75,0.0,23.51,64
L-1:8,4.2793106921559225,1.996947307614436,11.249014529035708,15.234501446338902,23.474362349020637,23.228484668613234,21.342238637929647,8.262397008862216,4.294673631821813,5.407270871593301,1636.322509765625,28.09734344482422,1303.6864013671875,657.0760498046875,494.7257385253906,1446.4239501953125,245.67074584960938,1438.47705078125,1155.7205810546875,799.2034301757812,1174.937255859375,88.17353057861328,779.5557861328125,684.1875610351562,141.22560119628906,992.6619873046875,523.5213012695312,528.84521484375,791.9616088867188,783.8069458007812,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16470588743686676,0.18431372940540314,0.18039216101169586,0.20000001788139343,0.20784315466880798,0.21568629145622253,0.18431372940540314,0.07713690400123596,0.07123002409934998,0.07296734303236008,0.08234885334968567,0.09867963939905167,0.10006949305534363,0.10250174254179001,0.10910354554653168,0.10041695833206177,0.09138290584087372,158.6175537109375,-47.12019729614258,-12.225802421569824,160.1185302734375,-45.763336181640625,-11.386614799499512,160.53851318359375,-45.057098388671875,-11.76907730102539,160.331787109375,-44.67308044433594,-12.910216331481934,159.4527587890625,-47.11458969116211,-14.62478256225586,158.44281005859375,-49.825565338134766,-16.19035530090332,157.6611328125,-51.08821105957031,-16.117576599121094,158.08905029296875,-50.36796569824219,-15.362114906311035,159.5960693359375,-48.111351013183594,-14.167322158813477,158.6175537109375,-47.12019729614258,-12.225802421569824,5.640257086339239,16.178390240340526,-1.0,0.009549608355091383,8.0,3.96,22.99,0
L-1:9,7.786205751198718,7.008945995670148,1.355925383313091,5.973422936368495,1.9309999907360265,1.118033988749895,2.848222890017263,5.767689875867017,3.2165501031447974,0.8371342929107835,963.9196166992188,21.34283447265625,788.642333984375,452.4433288574219,442.9671936035156,810.4342041015625,334.3062438964844,1093.9234619140625,1207.5252685546875,964.7469482421875,567.264892578125,4.8494038581848145,753.2784423828125,630.4265747070312,219.57546997070312,985.5259399414062,133.90194702148438,784.734130859375,749.9239501953125,376.9668273925781,0.18431372940540314,0.1764705926179886,0.18039216101169586,0.1882353127002716,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.2039215862751007,0.2196078598499298,0.21176472306251526,0.10076442360877991,0.09833218157291412,0.09694232791662216,0.10493398457765579,0.10319666564464569,0.10250174254179001,0.09624739736318588,0.10701876878738403,0.11640027910470963,0.1118832603096962,161.9044189453125,-46.44943618774414,-11.423663139343262,163.4361572265625,-43.00761795043945,-11.52303695678711,163.36065673828125,-42.554962158203125,-11.955082893371582,163.076904296875,-42.4835319519043,-12.797243118286133,161.50067138671875,-44.332157135009766,-14.510773658752441,159.5352783203125,-48.449462890625,-16.496814727783203,158.80224609375,-49.842132568359375,-14.412922859191895,157.99639892578125,-50.27574157714844,-15.406426429748535,158.52142333984375,-49.727806091308594,-14.538341522216797,159.49609375,-48.94548034667969,-13.755624771118164,5.006246098625197,5.947358161897014,-1.0,0.011423779782558407,3.0,0.0,28.22,0
L-1:10,3.0,0.9699736851124069,1.0084869603375775,1.3156323071066338,3.531903553343927,0.9013878188659973,8.22687515893611,4.6340355807287015,2.8442697210978163,4.238510191214991,892.9702758789062,18.124971389770508,862.8307495117188,711.3377075195312,581.5800170898438,1061.8594970703125,574.1626586914062,1098.9637451171875,838.9747314453125,777.6342163085938,883.0338134765625,312.1353759765625,497.3419189453125,564.418212890625,424.95733642578125,1245.6441650390625,254.23472595214844,1196.450439453125,919.1226196289062,579.1788940429688,0.21568629145622253,0.19607844948768616,0.18431372940540314,0.1882353127002716,0.1882353127002716,0.18039216101169586,0.2039215862751007,0.2039215862751007,0.20784315466880798,0.23137256503105164,0.108408622443676,0.10145935416221619,0.09867963939905167,0.09972203522920609,0.10250174254179001,0.10319666564464569,0.1066713035106659,0.09937456995248795,0.10771369189023972,0.11118832975625992,162.3253173828125,-46.62742614746094,-13.351642608642578,165.2333984375,-42.257408142089844,-12.165987968444824,164.6846923828125,-41.910396575927734,-13.816210746765137,164.453857421875,-42.160823822021484,-14.931563377380371,162.065673828125,-45.914695739746094,-18.74068260192871,159.73089599609375,-49.73392868041992,-21.05156898498535,158.20147705078125,-52.28876495361328,-21.282869338989258,152.34521484375,-55.67227554321289,-18.686565399169922,151.52117919921875,-56.44565963745117,-19.820301055908203,153.4239501953125,-55.030460357666016,-18.28766632080078,10.502975768800002,2.917550821677725,-1.0,0.010325079149706016,0.5,0.0,26.09,0
