Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.652743543491524,3.4097747915920213,10.007707209713288,5.320077715801229,4.937370602759072,27.16727261005803,13.545456170052626,8.714660595720895,0.2739415401025343,6.878395037528792,698.189208984375,55.33533477783203,2236.515380859375,959.026123046875,398.0609436035156,667.57568359375,896.5104370117188,2300.4541015625,1136.1927490234375,1755.3697509765625,1794.6087646484375,671.585693359375,3002.214599609375,2576.9814453125,909.80615234375,3089.05712890625,1655.4901123046875,3170.09765625,2490.630615234375,1310.6773681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,3.206329345703125,-48.66923522949219,-14.298537254333496,3.206329345703125,-48.66923522949219,-14.298537254333496,3.240753173828125,-47.537601470947266,-14.549678802490234,1.65570068359375,-49.2365608215332,-14.614131927490234,1.65570068359375,-49.2365608215332,-14.614131927490234,359.674072265625,-51.376861572265625,-16.188209533691406,359.674072265625,-51.376861572265625,-16.188209533691406,359.75762939453125,-51.067604064941406,-15.85938835144043,359.75762939453125,-51.067604064941406,-15.85938835144043,359.75762939453125,-51.067604064941406,-15.85938835144043,15.783437646926815,9.056922961638524,-1.0,0.0063180370584829185,12.33333370089531,0.0,12.47,68
L-1:2,9.15872819182819,6.281054168301602,3.7483028323270484,12.57491108026748,1.8640541301112246,1.3794749899873018,3.1148297460626404,6.909101457246784,17.724073287132267,21.067137810610657,6739.03759765625,593.1991577148438,5189.5185546875,3895.968505859375,163.73313903808594,1992.5006103515625,907.536376953125,2100.554443359375,1591.885986328125,830.6055297851562,2512.642578125,113.95206451416016,2310.258544921875,1590.960205078125,1738.3023681640625,3040.802001953125,216.5234375,4923.28857421875,2873.251953125,1724.7073974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,359.13433837890625,-52.1849479675293,-13.977215766906738,359.13433837890625,-52.1849479675293,-13.977215766906738,358.4870910644531,-52.704986572265625,-13.510505676269531,358.4870910644531,-52.704986572265625,-13.510505676269531,2.474853515625,-50.134498596191406,-14.167710304260254,358.9551696777344,-52.8836669921875,-14.783500671386719,358.9551696777344,-52.8836669921875,-14.783500671386719,358.9551696777344,-52.8836669921875,-14.783500671386719,359.13433837890625,-52.1849479675293,-13.977215766906738,359.13433837890625,-52.1849479675293,-13.977215766906738,3.8800729949823145,8.742324161108364,-1.0,0.004460401561628555,1.666666716337204,0.0,9.14,68
L-1:3,7.7397703090587315,4.418687578960908,12.291793946308468,9.379155736429759,7.66423047487377,5.952487522551329,6.590398355882799,12.833958132661543,1.4285440112983867,7.675955786482566,2666.32080078125,449.1607360839844,201.61837768554688,1275.4534912109375,533.7277221679688,2830.441650390625,238.6531219482422,1515.829345703125,1247.1165771484375,1011.0501708984375,3370.17724609375,2006.5023193359375,1881.8695068359375,4439.82373046875,3775.095458984375,7766.46728515625,409.3116455078125,1770.544677734375,2022.047119140625,1246.6427001953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.61651611328125,-50.228023529052734,-15.017629623413086,0.61651611328125,-50.228023529052734,-15.017629623413086,359.5738220214844,-51.07048416137695,-14.770337104797363,359.5738220214844,-51.07048416137695,-14.770337104797363,358.3345947265625,-52.44682312011719,-14.440248489379883,358.3345947265625,-52.44682312011719,-14.440248489379883,358.3345947265625,-52.44682312011719,-14.440248489379883,358.3345947265625,-52.44682312011719,-14.440248489379883,359.8680114746094,-52.13948059082031,-14.443160057067871,359.8680114746094,-52.13948059082031,-14.443160057067871,10.137638915119718,2.640331521717821,-1.0,0.004988344988344989,10.000000298023224,0.0,8.56,68
L-1:4,13.86032784378186,9.005629274576116,12.065751152473437,7.728524003639314,6.6189328624990456,17.37500043243444,16.012318551838984,30.070626120956483,15.061479549584254,11.884920503504693,3746.91015625,75.8870620727539,2984.84228515625,1616.7774658203125,746.7634887695312,4160.90234375,606.5433959960938,3560.708984375,1699.6444091796875,976.4147338867188,2724.86376953125,999.8990478515625,2215.371337890625,4044.13525390625,2751.649169921875,6348.44970703125,74.45445251464844,3877.29052734375,2405.050048828125,1473.3935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,358.04718017578125,-50.284034729003906,-14.475287437438965,358.04718017578125,-50.284034729003906,-14.475287437438965,358.04718017578125,-50.284034729003906,-14.475287437438965,358.1109619140625,-50.965065002441406,-14.824462890625,358.1109619140625,-50.965065002441406,-14.824462890625,359.45965576171875,-50.07635498046875,-16.036182403564453,359.45965576171875,-50.07635498046875,-16.036182403564453,358.9743347167969,-50.36308288574219,-15.842836380004883,358.9743347167969,-50.36308288574219,-15.842836380004883,358.9743347167969,-50.36308288574219,-15.842836380004883,13.702062954886454,24.692574838055076,-1.0,0.004137348719392063,10.666666984558105,4.17,8.4,68
L-1:5,3.0174910569588134,2.7966731164640706,3.249751439289219,4.523952283159449,8.792915825149397,14.730250907431278,10.405139478444404,5.173062664025936,3.5949014024005352,10.28820796457808,2656.44287109375,821.8485107421875,2389.963134765625,946.0458984375,727.48876953125,1832.4810791015625,471.84075927734375,1857.976806640625,875.3601684570312,518.9405517578125,3156.7900390625,179.69664001464844,1809.5653076171875,1363.2730712890625,1469.54638671875,2733.65673828125,1124.0308837890625,2078.9794921875,54.18574523925781,51.071556091308594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03921568766236305,356.3374328613281,-50.381160736083984,-15.829412460327148,359.0077209472656,-49.80617904663086,-15.14339828491211,358.52044677734375,-49.42224884033203,-15.658801078796387,357.2999267578125,-50.394710540771484,-15.96617317199707,355.57012939453125,-51.285037994384766,-16.068931579589844,355.57012939453125,-51.285037994384766,-16.068931579589844,355.57012939453125,-51.285037994384766,-16.068931579589844,355.57012939453125,-51.285037994384766,-16.068931579589844,355.7291564941406,-51.41181945800781,-16.018278121948242,359.0791015625,-49.6215934753418,-14.9744873046875,2.626427799637392,10.071547169726314,-1.0,0.0058210415412402175,4.666666805744171,0.0,11.05,64
L-1:6,1.9367220861227112,3.5168657729578823,2.1602880792897268,2.876355994874058,3.682796909738892,13.35298477749139,22.4090823621712,18.945202494352063,21.354581354521073,10.692107055856603,4288.75634765625,209.63914489746094,0.0,0.0,1224.80615234375,2777.64404296875,462.59051513671875,1883.8770751953125,1726.4527587890625,1246.143310546875,3663.042236328125,1407.9864501953125,1602.3707275390625,2334.126220703125,1590.68701171875,3986.841064453125,1180.8841552734375,2311.454833984375,3356.3173828125,1400.9241943359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.027450982481241226,355.764404296875,-50.58218002319336,-15.523568153381348,357.32806396484375,-49.23418045043945,-14.697105407714844,357.9782409667969,-48.445308685302734,-14.520881652832031,356.7523498535156,-49.668365478515625,-14.862635612487793,356.7523498535156,-49.668365478515625,-14.862635612487793,356.7523498535156,-49.668365478515625,-14.862635612487793,355.9447326660156,-50.884403228759766,-15.588959693908691,355.9447326660156,-50.884403228759766,-15.588959693908691,355.9447326660156,-50.884403228759766,-15.588959693908691,355.764404296875,-50.58218002319336,-15.523568153381348,2.8387210060477037,1.2574423514284896,-1.0,0.005389733840304183,4.0000001192092896,0.0,8.91,100
L-1:7,23.540803137772237,15.52788746447331,17.1848430481661,3.8360065992069576,3.2895146490973937,6.907437420186888,18.233497695768932,23.415020226419475,5.951985333952327,23.759577223925927,3929.99609375,480.1188659667969,3533.3046875,3122.11474609375,1467.0721435546875,3929.930908203125,2200.189208984375,1289.4022216796875,957.741943359375,2258.38232421875,1941.423095703125,1000.9403076171875,2989.086181640625,3973.30029296875,3621.745849609375,6073.2724609375,1313.596435546875,5778.6982421875,2294.966064453125,1881.24169921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,353.3739929199219,-53.516971588134766,-16.06633949279785,352.4626159667969,-53.512577056884766,-14.617134094238281,352.4626159667969,-53.512577056884766,-14.617134094238281,352.4626159667969,-53.512577056884766,-14.617134094238281,354.3609924316406,-53.685447692871094,-16.529186248779297,354.3609924316406,-53.685447692871094,-16.529186248779297,353.3739929199219,-53.516971588134766,-16.06633949279785,353.3739929199219,-53.516971588134766,-16.06633949279785,353.3739929199219,-53.516971588134766,-16.06633949279785,353.3739929199219,-53.516971588134766,-16.06633949279785,23.234428960751046,11.658172248430033,-1.0,0.004143525285004384,19.333333909511566,0.0,8.1,108
L-1:8,23.677969725875045,7.391796245818225,9.759457331817876,16.09822715538692,23.188084765586318,4.509223991002979,7.182683561819398,3.4895280709293903,5.395678949856305,18.862349277234905,2753.340576171875,229.53952026367188,2746.658203125,406.59722900390625,419.9334716796875,2220.922119140625,2046.79150390625,2089.477783203125,2011.256591796875,1895.2735595703125,2027.83837890625,1052.2193603515625,886.9783935546875,1279.63671875,606.7164306640625,1940.48974609375,871.84814453125,1298.400634765625,2069.9267578125,781.9713134765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.0313725508749485,356.70263671875,-51.67759704589844,-15.0808687210083,356.70263671875,-51.67759704589844,-15.0808687210083,355.8021545410156,-52.27030563354492,-15.03337287902832,355.8021545410156,-52.27030563354492,-15.03337287902832,355.8021545410156,-52.27030563354492,-15.03337287902832,355.7157287597656,-52.4386100769043,-15.492650032043457,357.3106994628906,-51.768802642822266,-15.207249641418457,356.7716979980469,-51.986572265625,-14.980045318603516,356.7716979980469,-51.986572265625,-14.980045318603516,356.7716979980469,-51.986572265625,-14.980045318603516,23.905751433449613,15.136406549559261,-1.0,0.006454918032786885,10.000000298023224,4.11,9.9,36
L-1:9,3.38752704990997,1.0690664812945705,0.8452947275886756,0.5847006545408561,3.2226870150638587,0.4061712325981099,9.710075987132669,4.566989561393803,13.028521758923388,9.177127261478145,3841.805908203125,279.850341796875,6125.39599609375,2740.149169921875,66.31776428222656,953.9675903320312,465.2231750488281,1476.179931640625,1425.567626953125,1107.771240234375,1530.5958251953125,43.8430061340332,1619.510986328125,1174.8004150390625,1222.3250732421875,3407.99365234375,318.16082763671875,2878.798583984375,3009.384521484375,1211.24658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,359.17327880859375,-47.361148834228516,-15.443705558776855,358.5083312988281,-47.80917739868164,-15.261934280395508,358.5083312988281,-47.80917739868164,-15.261934280395508,0.5706787109375,-46.048927307128906,-14.650992393493652,359.7355041503906,-46.79808807373047,-15.075674057006836,359.2227783203125,-47.78785705566406,-15.892842292785645,359.2227783203125,-47.78785705566406,-15.892842292785645,359.17327880859375,-47.361148834228516,-15.443705558776855,359.17327880859375,-47.361148834228516,-15.443705558776855,359.17327880859375,-47.361148834228516,-15.443705558776855,12.831000163891334,5.802781117563665,-1.0,0.005842382873099596,1.0000000298023224,0.0,10.76,100
L-1:10,8.876428147865392,6.111678723559781,2.125947565636594,4.411173918156794,3.5294457244465542,2.9417317684515387,3.198597860161976,0.9991939168412797,12.132997336563092,9.106047543691956,3605.966796875,622.6691284179688,1714.718505859375,734.978271484375,143.3081817626953,2283.93115234375,352.54376220703125,2086.68408203125,1608.966796875,1288.8489990234375,3055.647705078125,313.5862121582031,2155.274658203125,1352.77099609375,445.8226013183594,2518.62060546875,1432.0501708984375,6019.36328125,1004.0606689453125,512.4332885742188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,356.43988037109375,-49.49998474121094,-16.086498260498047,356.43988037109375,-49.49998474121094,-16.086498260498047,355.94061279296875,-49.307716369628906,-15.421783447265625,355.94061279296875,-49.307716369628906,-15.421783447265625,356.0902099609375,-49.224639892578125,-15.539836883544922,356.0902099609375,-49.224639892578125,-15.539836883544922,356.0902099609375,-49.224639892578125,-15.539836883544922,356.2101745605469,-49.063560485839844,-15.759726524353027,357.08612060546875,-49.80626678466797,-16.286527633666992,357.08612060546875,-49.80626678466797,-16.286527633666992,9.22636395061671,3.336120214752691,-1.0,0.004941108161911081,2.3333334028720856,0.0,8.51,32
