Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,16.76974999632814,2.484986243803851,8.363415316330332,15.290784111353997,17.29535928810567,2.020305179419113,16.424163711459787,11.31940174346627,5.037021905218412,10.235313242351156,6621.49609375,1418.9638671875,7131.30078125,1165.2332763671875,2671.87744140625,6086.31103515625,3165.45166015625,8870.982421875,7919.95458984375,8346.6728515625,10120.2412109375,2987.08837890625,6295.54931640625,3907.80224609375,1267.822509765625,7701.568359375,2547.169677734375,8438.9697265625,3923.3515625,2150.1552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.0813903808594,0.4289000332355499,-1.2923483848571777,356.08038330078125,0.5050771832466125,-1.1566758155822754,356.08038330078125,0.5050771832466125,-1.1566758155822754,356.08038330078125,0.5050771832466125,-1.1566758155822754,356.08673095703125,0.4439367353916168,-1.2398648262023926,10.388377014509674,2.815444104058586,-1.0,0.002025608194622279,3.428571581840515,0.0,4.52,100
L-1:2,12.68777388785882,14.44808269312175,14.651169899928819,10.058091417513204,5.650107951765459,7.623808377454381,5.479108233699592,6.11106243336055,11.510354968868562,18.633231754308156,6192.947265625,2630.64404296875,1745.87109375,1306.5526123046875,4000.56201171875,4971.5888671875,3336.640380859375,7494.0703125,5459.1357421875,493.802490234375,7992.49365234375,1139.7640380859375,7925.4716796875,1128.8343505859375,3755.296630859375,5994.19482421875,528.0841064453125,9105.8330078125,4461.6689453125,8461.1552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.0313725508749485,0.03529411926865578,0.03333333507180214,0.04313725605607033,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03333333507180214,356.0887145996094,0.43637627363204956,-1.2201051712036133,356.0838928222656,0.4704989790916443,-1.2468626499176025,356.0838928222656,0.4704989790916443,-1.2468626499176025,356.0838928222656,0.4704989790916443,-1.2468626499176025,356.0859375,0.47218549251556396,-1.1947391033172607,356.0859375,0.47218549251556396,-1.1947391033172607,356.0859375,0.47218549251556396,-1.1947391033172607,356.0859375,0.47218549251556396,-1.1947391033172607,356.0859375,0.47218549251556396,-1.1947391033172607,356.0859375,0.47218549251556396,-1.1947391033172607,5.428571671247482,10.177643159363887,-1.0,0.002606726044226044,0.2857142984867096,0.0,4.85,100
L-1:3,6.027149729357145,14.235145934157064,13.88128013817786,2.5037474030590756,2.3498252367924604,12.289036645137905,8.61415564511845,3.1653458993829178,9.925726615686669,9.44429282653393,8053.6640625,1128.1165771484375,7310.66796875,2254.870849609375,192.35137939453125,3460.315185546875,1955.74853515625,8134.24169921875,6068.8359375,8459.23828125,7277.0107421875,6381.3681640625,4919.57666015625,6831.02880859375,3801.406494140625,8154.47900390625,989.7926025390625,9595.3935546875,4335.99951171875,6962.34765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03529411926865578,0.037254903465509415,0.037254903465509415,0.03529411926865578,0.03333333507180214,0.03333333507180214,0.027450982481241226,0.0313725508749485,0.037254903465509415,356.095703125,0.4820185601711273,-1.141252875328064,356.095703125,0.4820185601711273,-1.141252875328064,356.09210205078125,0.4437004625797272,-1.2148369550704956,356.09210205078125,0.4437004625797272,-1.2148369550704956,356.09210205078125,0.4437004625797272,-1.2148369550704956,356.09210205078125,0.4437004625797272,-1.2148369550704956,356.095703125,0.4820185601711273,-1.141252875328064,356.095703125,0.4820185601711273,-1.141252875328064,356.095703125,0.4820185601711273,-1.141252875328064,356.095703125,0.4820185601711273,-1.141252875328064,19.722566430721464,5.748878812955997,-1.0,0.0017834394904458599,6.571428865194321,0.0,3.52,68
L-1:4,18.42801853419327,15.643325695164513,3.5028881705173758,5.263853764507605,13.018670635590304,9.18294822764587,3.3601860366107665,9.052536939899866,15.17284737385905,23.90726326273472,7209.74951171875,459.5933837890625,5946.046875,5397.46240234375,736.505615234375,1997.3885498046875,680.5611572265625,8249.8984375,5537.6669921875,10606.4384765625,7394.1005859375,2748.74853515625,6457.73779296875,5446.015625,2573.274658203125,7569.9736328125,2239.548095703125,6958.2021484375,6563.1005859375,5748.0087890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03333333507180214,356.0931701660156,0.44637325406074524,-1.1770834922790527,356.0931701660156,0.44637325406074524,-1.1770834922790527,356.1090087890625,0.46595749258995056,-1.202794075012207,356.09320068359375,0.47898149490356445,-1.293666124343872,356.09320068359375,0.47898149490356445,-1.293666124343872,356.09320068359375,0.47898149490356445,-1.293666124343872,356.09320068359375,0.47898149490356445,-1.293666124343872,356.09320068359375,0.47898149490356445,-1.293666124343872,356.0931701660156,0.44637325406074524,-1.1770834922790527,356.0931701660156,0.44637325406074524,-1.1770834922790527,3.3442001239887102,11.947473452813005,-1.0,0.001798418972332016,3.1428572833538055,3.54,4.94,44
L-1:5,25.31435134116728,17.729097274017743,17.303519322946794,4.737514962152864,5.003612299688611,9.71848692113303,5.411856348458893,9.493223207458744,14.537041248098578,23.274757429493086,7460.5166015625,162.80126953125,6744.09619140625,5135.73681640625,5498.6064453125,8108.4150390625,837.932861328125,1115.92138671875,6620.1982421875,1460.022216796875,5029.357421875,423.5522155761719,5180.224609375,1951.610595703125,3169.042236328125,5616.83056640625,197.27810668945312,7423.1748046875,4729.6103515625,6371.86083984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.0313725508749485,0.0313725508749485,0.037254903465509415,0.02549019828438759,0.029411766678094864,0.03529411926865578,356.035888671875,0.48647159337997437,-1.2210289239883423,356.035888671875,0.48647159337997437,-1.2210289239883423,356.035888671875,0.48647159337997437,-1.2210289239883423,356.0506591796875,0.49582234025001526,-1.203739881515503,356.035888671875,0.48647159337997437,-1.2210289239883423,356.0382080078125,0.5489795804023743,-1.131678581237793,356.0382080078125,0.5489795804023743,-1.131678581237793,356.0382080078125,0.5489795804023743,-1.131678581237793,356.0382080078125,0.5489795804023743,-1.131678581237793,356.0382080078125,0.5489795804023743,-1.131678581237793,10.230008337298793,10.643595404210442,-1.0,0.002678365937859609,5.428571671247482,0.0,5.32,64
L-1:6,12.404739609444999,2.76137294542323,6.587723546568612,7.38112145034734,11.085346441919377,1.807015886590404,16.444860918418154,24.45583777158556,20.52128143490676,12.570127926974747,8053.73681640625,532.9984130859375,7940.5595703125,2108.108642578125,603.2471923828125,8059.93408203125,498.4566955566406,2896.74609375,4411.83740234375,6550.70703125,7696.8076171875,3050.359619140625,6219.64404296875,5033.37548828125,3106.328857421875,8729.333984375,591.08154296875,8752.599609375,4878.2919921875,4608.6298828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.03333333507180214,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.03333333507180214,0.0313725508749485,0.03333333507180214,0.027450982481241226,0.037254903465509415,356.0172119140625,0.5289714932441711,-1.1274205446243286,356.019775390625,0.46948325634002686,-1.3289881944656372,356.019775390625,0.46948325634002686,-1.3289881944656372,356.029296875,0.4937465786933899,-1.1943647861480713,356.029296875,0.4937465786933899,-1.1943647861480713,356.0172119140625,0.5289714932441711,-1.1274205446243286,356.0172119140625,0.5289714932441711,-1.1274205446243286,356.0172119140625,0.5289714932441711,-1.1274205446243286,356.0172119140625,0.5289714932441711,-1.1274205446243286,356.0172119140625,0.5289714932441711,-1.1274205446243286,9.938587376247222,17.008644491238652,-1.0,0.0020889328063241107,11.142857640981674,0.0,4.53,64
L-1:7,22.58769858238005,5.8223929956713585,6.0580000608984745,12.892174571176607,9.924370726763573,12.65233760873756,12.777491735980435,6.293775153070482,10.389312358967642,22.502231378792242,5754.70751953125,62.52647399902344,764.53369140625,70.76699829101562,3337.5009765625,5421.93408203125,348.1346130371094,11167.029296875,5746.81396484375,6821.64697265625,8009.02392578125,672.1123657226562,6999.08935546875,4561.08154296875,3960.890869140625,5558.884765625,4191.10205078125,6161.732421875,7442.45947265625,3975.095703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03333333507180214,0.027450982481241226,0.03333333507180214,0.0313725508749485,0.03333333507180214,0.027450982481241226,0.037254903465509415,0.0313725508749485,355.9919128417969,0.45884987711906433,-1.122107982635498,356.0122375488281,0.4848020374774933,-1.2058286666870117,356.0122375488281,0.4848020374774933,-1.2058286666870117,355.99700927734375,0.496978759765625,-1.2466892004013062,355.99700927734375,0.496978759765625,-1.2466892004013062,355.99700927734375,0.496978759765625,-1.2466892004013062,355.99700927734375,0.496978759765625,-1.2466892004013062,355.99700927734375,0.496978759765625,-1.2466892004013062,355.9919128417969,0.45884987711906433,-1.122107982635498,355.9919128417969,0.45884987711906433,-1.122107982635498,4.651091806805627,6.242757003348068,-1.0,0.0019908337518834756,6.285714566707611,0.0,4.53,36
L-1:8,13.477116505412036,22.044805652309826,14.400582188186355,9.52371504425733,7.198032912539894,0.4040610358838309,8.485027936127986,7.921089823983123,8.05851287127997,3.1526108740075833,7160.5224609375,854.6160278320312,5887.3759765625,4065.66015625,1091.3448486328125,8425.7265625,4212.205078125,10468.0302734375,6698.36962890625,10334.50390625,233.45928955078125,96.58566284179688,4918.904296875,1195.2227783203125,3528.3603515625,4573.51220703125,1455.3131103515625,8067.35107421875,6093.755859375,6694.56201171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.021568628028035164,0.027450982481241226,0.02549019828438759,0.0313725508749485,0.0313725508749485,355.97625732421875,0.4642525911331177,-1.2481579780578613,355.97625732421875,0.4642525911331177,-1.2481579780578613,355.97625732421875,0.4642525911331177,-1.2481579780578613,355.97625732421875,0.4642525911331177,-1.2481579780578613,355.97625732421875,0.4642525911331177,-1.2481579780578613,355.9898681640625,0.4843440353870392,-1.209011435508728,355.9898681640625,0.4843440353870392,-1.209011435508728,355.9898681640625,0.4843440353870392,-1.209011435508728,355.9898681640625,0.4843440353870392,-1.209011435508728,355.9898681640625,0.4843440353870392,-1.209011435508728,7.735421129046475,2.1254158935047793,-1.0,0.0022775119617224884,1.428571492433548,3.05,4.08,0
L-1:9,6.13454614668811,4.094706541301083,8.51140309832061,9.653632599843277,16.911444185492943,17.990928223035603,6.831217485988148,5.096036415116058,13.047586485893081,26.32128062229579,3048.676025390625,347.2456359863281,5964.3857421875,1800.7166748046875,4815.7763671875,5298.90234375,914.232177734375,9378.93359375,3660.97705078125,9662.71875,7927.12890625,2099.639892578125,5357.9931640625,8138.77685546875,1517.3624267578125,5992.62060546875,4115.7001953125,3947.261474609375,5501.033203125,2212.35888671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03333333507180214,0.037254903465509415,0.03921568766236305,0.0313725508749485,0.037254903465509415,0.03529411926865578,0.0313725508749485,0.029411766678094864,355.9739990234375,0.47305843234062195,-1.2742791175842285,355.9739990234375,0.47305843234062195,-1.2742791175842285,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9736022949219,0.48637863993644714,-1.3258923292160034,355.9798889160156,0.4785168170928955,-1.2218103408813477,355.9798889160156,0.4785168170928955,-1.2218103408813477,7.499660191493314,3.73374812918262,-1.0,0.0021608609459076752,5.428571671247482,0.0,4.36,0
L-1:10,7.0276425291594276,5.350461748327231,9.211581814893496,10.159862846130482,10.45535897648155,7.969329316817539,10.233584665158002,8.85881960293887,10.419379466378617,15.532923478398754,5721.89306640625,3246.13037109375,0.0,0.0,2179.2685546875,3780.928466796875,573.9708251953125,7722.25439453125,2964.83251953125,7862.716796875,6925.4794921875,3161.812744140625,6227.45068359375,3062.002685546875,2319.63671875,9171.54296875,577.5545043945312,10240.8828125,6675.2373046875,2169.85595703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.027450982481241226,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,355.98712158203125,0.5209139585494995,-1.1298097372055054,355.9872131347656,0.49423280358314514,-1.240216851234436,355.98724365234375,0.4928986728191376,-1.2390228509902954,355.98724365234375,0.4928986728191376,-1.2390228509902954,355.98724365234375,0.4928986728191376,-1.2390228509902954,355.98724365234375,0.4928986728191376,-1.2390228509902954,355.98712158203125,0.5209139585494995,-1.1298097372055054,355.98712158203125,0.5209139585494995,-1.1298097372055054,355.98712158203125,0.5209139585494995,-1.1298097372055054,355.98712158203125,0.5209139585494995,-1.1298097372055054,11.378462081079658,7.241684006702218,-1.0,0.002055944055944056,2.5714286863803864,0.0,4.2,0
