Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7125460673851015,1.2294833016222648,1.1729927726144544,1.5114620736466193,0.945237507974198,4.67829761941762,1.429643967417672,5.658975337194284,5.509446498162821,3.249359830711769,727.80712890625,12.398606300354004,572.1815795898438,424.7648010253906,0.28686726093292236,78.98945617675781,134.88050842285156,307.3640441894531,533.220947265625,358.93817138671875,703.8866577148438,47.28609085083008,506.8104553222656,406.3703308105469,169.0224151611328,433.55853271484375,382.05133056640625,730.9098510742188,331.2373962402344,543.1829223632813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,299.96875,-98.0,6.046875,298.40625,-102.484375,7.890625,298.65625,-103.203125,8.84375,299.046875,-105.21875,8.765625,299.625,-106.484375,8.0,299.8125,-106.21875,7.859375,299.90625,-105.453125,7.890625,299.96875,-102.125,7.125,300.0,-100.03125,6.109375,299.921875,-98.84375,7.09375,8.307846364036942,3.420044970822851,1.0,0.022207980972515858,0.5,0.0,24.01,76
L-1:2,2.5973488251554557,1.9453354607079794,7.171311378713957,4.266823906383617,1.7853169017161645,2.6208936947871266,9.190478715145144,2.7434866215120493,5.461164498515742,3.2859401791818788,812.2467041015625,336.0058288574219,462.63018798828125,112.28135681152344,374.0723876953125,533.7401733398438,241.44798278808594,575.248291015625,453.2818298339844,347.6814270019531,778.7944946289063,140.8887939453125,781.1427612304688,339.8149719238281,553.1783447265625,680.0576171875,67.89216613769531,699.731201171875,711.8994750976563,637.5421752929688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,296.890625,-99.46875,8.8125,292.265625,-102.3125,12.296875,296.0625,-100.265625,9.671875,296.3125,-101.4375,9.640625,296.546875,-101.28125,8.765625,296.71875,-101.828125,7.890625,296.71875,-100.890625,8.9375,296.8125,-99.265625,6.046875,296.625,-99.546875,7.9375,296.625,-99.859375,9.703125,10.272840077694248,7.605329921545717,1.0,0.021711722488038276,3.5,0.0,25.93,4
L-1:3,2.4110928473148143,5.396930369377258,3.3018150297307063,2.210780346033541,5.892802597391043,1.8958604732434714,1.1735247389268268,1.1646772879226848,3.4045157050737167,5.8880864640476505,795.3428955078125,72.47761535644531,720.7658081054688,634.1755981445313,208.8900146484375,290.23516845703125,130.96739196777344,447.006591796875,637.3728637695313,400.7314147949219,551.6198120117188,6.674174785614014,671.6537475585938,418.29718017578125,102.7059555053711,501.2144775390625,46.107547760009766,488.03448486328125,907.2070922851563,380.7048645019531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,0.35999998450279236,293.109375,-104.828125,9.5,293.046875,-105.65625,10.546875,293.109375,-104.21875,9.53125,293.109375,-105.890625,8.734375,292.984375,-107.34375,8.671875,293.21875,-108.3125,8.765625,293.15625,-112.0,10.015625,293.109375,-106.890625,10.484375,293.125,-103.203125,8.84375,293.0625,-104.453125,10.640625,6.388736517759768,3.1570764549297214,1.0,0.02033662092624357,1.0,0.0,27.1,36
L-1:4,8.939272635065425,17.79517009725686,14.530742243269888,11.859600794788877,5.047151107871214,5.844019882981955,6.363301327999337,10.766804736749831,8.616385122366221,0.6052476828375867,673.1632690429688,66.28720092773438,327.2313232421875,376.8736267089844,324.63922119140625,645.0269165039063,557.5516357421875,717.5067749023438,691.267822265625,287.01513671875,752.4827270507813,10.93106460571289,261.1522521972656,362.1510925292969,150.47293090820313,612.4492797851563,34.939090728759766,634.281494140625,213.27920532226563,317.88604736328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,285.3125,-107.1875,16.96875,290.109375,-105.953125,15.03125,294.53125,-103.40625,11.375,294.8125,-103.78125,9.703125,294.96875,-107.34375,8.671875,294.90625,-108.046875,8.65625,294.796875,-105.453125,7.890625,294.625,-100.640625,7.921875,294.5625,-99.546875,7.9375,285.1875,-107.0625,16.96875,9.310778941613824,14.547181877142256,1.0,0.019307216905901117,6.0,4.11,27.67,36
L-1:5,4.23082532983128,4.270805512093255,0.5431023623092627,1.4595687110689646,2.640441729429971,1.385554324784213,1.186596725849424,0.2654739483973592,5.3024610554153195,0.8935421905109042,442.7047119140625,136.857666015625,672.7448120117188,554.082763671875,171.80699157714844,313.8350524902344,224.11546325683594,481.17706298828125,791.8175659179688,347.38385009765625,820.2332153320313,243.95169067382813,702.4061279296875,538.7391967773438,27.496257781982422,441.63037109375,149.64483642578125,737.4181518554688,264.92706298828125,302.79522705078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,293.765625,-104.328125,11.328125,294.046875,-104.453125,10.640625,294.265625,-104.21875,9.53125,294.609375,-107.09375,9.546875,294.734375,-107.21875,7.9375,294.671875,-109.890625,10.484375,293.265625,-103.59375,10.859375,293.46875,-105.921875,10.71875,293.578125,-103.359375,10.65625,293.71875,-103.578125,9.5625,10.120102598658814,0.8408593970650764,1.0,0.020775904203323557,3.0,0.0,24.29,0
L-1:6,0.693257894107797,0.30783928293900126,1.2124247487108644,0.569049791141047,1.8528816740832967,1.8753400301196805,6.0028959427934785,7.919278561212909,6.9070430993193215,3.13910133729667,664.0520629882813,71.79704284667969,554.232666015625,464.3712158203125,57.06425476074219,360.1750793457031,8.7229642868042,685.1755981445313,224.7076416015625,396.0871887207031,704.2099609375,27.304943084716797,807.1832275390625,508.41961669921875,195.42825317382813,427.5108947753906,51.476741790771484,290.5723876953125,628.5045776367188,518.1728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,292.703125,-102.734375,12.46875,293.03125,-102.265625,11.4375,293.28125,-101.9375,9.609375,293.359375,-101.28125,8.765625,293.28125,-104.328125,8.671875,293.28125,-104.328125,8.671875,293.15625,-102.125,7.125,292.953125,-101.28125,8.765625,292.5,-100.640625,9.671875,292.5,-101.75,11.46875,7.324784594692174,3.219668414722212,1.0,0.02205578512396694,2.0,0.0,24.4,0
L-1:7,0.8982650990518032,4.003887732735267,0.698081031131887,1.6320713185400182,5.1226557771360275,0.8278591601172482,5.699056487352939,4.660413329702188,3.558962904983148,2.6522177707347745,367.8744201660156,55.9738883972168,256.87945556640625,120.593017578125,55.13630676269531,594.7799072265625,99.62976837158203,492.2406005859375,344.4067687988281,261.4789123535156,267.20733642578125,47.756866455078125,402.9369812011719,416.567626953125,164.11886596679688,555.0184326171875,464.44342041015625,657.4716186523438,743.025390625,429.0888671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,292.109375,-79.96875,9.703125,291.8125,-105.109375,15.078125,292.546875,-101.828125,10.578125,292.671875,-101.828125,10.578125,292.734375,-101.4375,9.640625,292.703125,-101.640625,8.625,292.5,-101.765625,9.46875,292.359375,-101.640625,10.40625,292.28125,-98.015625,7.96875,292.125,-99.734375,9.6875,3.500973254332582,10.028590445130876,1.0,0.0212209595959596,3.5,0.0,24.01,0
L-1:8,8.56192435624384,8.104005344830524,5.307859246354341,11.002033762487969,29.064089383240326,19.797147684592485,4.750258783949384,1.8782216107024683,11.723458911012736,16.822803022564155,617.6309814453125,199.92819213867188,287.2723083496094,263.4010925292969,38.92519760131836,343.17877197265625,32.132328033447266,528.05615234375,506.3027648925781,258.4212341308594,870.4869995117188,260.489501953125,757.2676391601563,511.8479309082031,113.1055908203125,597.7188110351563,271.7640075683594,272.3143310546875,315.27099609375,421.13787841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,292.40625,-109.484375,17.703125,290.390625,-109.625,18.59375,291.09375,-110.203125,17.65625,291.71875,-110.78125,16.59375,292.28125,-111.53125,15.890625,292.578125,-112.640625,14.890625,292.515625,-111.5,15.015625,292.609375,-109.53125,14.96875,292.4375,-109.890625,16.71875,292.375,-109.828125,17.671875,11.657366003838868,21.881902851588737,1.0,0.02277292576419214,3.0,4.58,32.78,0
L-1:9,2.945229802730364,1.9642831382244716,3.2863058976431896,4.993461714625165,3.403596569999118,3.3491307905139913,2.630874691745472,0.8185160099542171,1.453191434550359,2.630509213890698,757.6962890625,20.258506774902344,619.7447509765625,385.9577331542969,123.225830078125,414.0231628417969,133.30938720703125,283.4189147949219,209.07992553710938,97.35957336425781,539.184814453125,80.49410247802734,669.6348266601563,332.455810546875,42.92196273803711,251.1216278076172,159.24639892578125,582.0662841796875,759.308349609375,285.4764709472656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,285.046875,-65.828125,24.171875,285.328125,-113.109375,23.046875,285.71875,-112.203125,21.71875,285.90625,-111.734375,20.453125,285.9375,-110.984375,19.65625,285.40625,-110.984375,19.65625,285.265625,-112.28125,20.015625,285.09375,-112.3125,20.703125,284.9375,-110.328125,20.3125,284.828125,-114.203125,24.1875,6.909143606165838,4.296528628603369,1.0,0.02479510127178521,3.5,0.0,30.08,0
L-1:10,5.89982338920145,2.1576653367201124,2.355196163805471,1.3654995102119496,2.3499866469337922,5.459698979388291,8.178558230701471,3.4780381133104257,1.3489526411476989,4.733291700765814,720.5392456054688,0.014294934459030628,406.3810119628906,151.06747436523438,30.873687744140625,657.6641845703125,98.3012924194336,739.6878662109375,518.1849365234375,259.597900390625,898.536376953125,89.87457275390625,748.5936279296875,393.95196533203125,348.5088195800781,1140.402099609375,6.611945152282715,290.9090881347656,697.5305786132813,319.79034423828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,284.71875,-108.796875,18.703125,284.96875,-110.625,20.609375,285.296875,-109.015625,18.6875,285.609375,-108.75,16.546875,285.609375,-109.4375,16.75,285.609375,-108.734375,15.9375,285.53125,-108.0625,15.109375,285.359375,-108.75,16.546875,285.265625,-108.875,17.46875,284.578125,-70.46875,19.515625,4.931619808535502,6.839856152319047,1.0,0.021545454545454548,3.0,0.0,28.44,0
