Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,28.756668243262705,5.6182883090317794,17.230666329620398,14.38745513497061,10.901783467384332,13.30057399706619,5.573342842734496,7.458205624422585,17.100701563110903,34.55686079281234,0.0,0.0,305.2923583984375,514.732421875,207.4087677001953,1442.2310791015625,123.99794006347656,1463.8846435546875,793.6585083007813,373.885498046875,894.0636596679688,3.667445421218872,1630.5545654296875,553.108154296875,338.7568359375,1419.0596923828125,49.44684982299805,1765.616455078125,1289.74462890625,1051.9674072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.26824951171875,-31.52503204345703,-5.337185859680176,67.53750610351563,-31.64311981201172,-5.519789218902588,67.1817626953125,-34.002113342285156,-7.411022663116455,67.1817626953125,-34.002113342285156,-7.411022663116455,68.13189697265625,-34.26906967163086,-7.896873474121094,68.13189697265625,-34.26906967163086,-7.896873474121094,69.511474609375,-34.53538131713867,-7.192739009857178,69.511474609375,-34.53538131713867,-7.192739009857178,70.46881103515625,-33.095428466796875,-5.849298477172852,70.46881103515625,-33.095428466796875,-5.849298477172852,6.8240365027143985,21.626758960982244,-1.0,0.012757720748151371,1.0,0.0,16.76,100
L-1:2,8.800308212670172,8.94890689361774,20.965930495664423,18.53849648424535,3.6658377668268347,2.015201534516446,6.871488994080059,21.246501916350304,22.05907242842372,16.633524438825628,1585.9012451171875,304.49652099609375,1244.8382568359375,395.8770446777344,388.2307434082031,1519.16845703125,543.3997802734375,631.8091430664063,766.3385620117188,355.6818542480469,982.8321533203125,76.62937927246094,73.98069763183594,149.28074645996094,394.8259582519531,1232.1351318359375,326.4289855957031,862.097900390625,828.7335815429688,1031.8096923828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71658325195313,-35.51133728027344,-9.576545715332031,69.75927734375,-35.427818298339844,-9.405848503112793,69.75927734375,-35.427818298339844,-9.405848503112793,68.74697875976563,-36.05612564086914,-10.429647445678711,68.73104858398438,-37.22459411621094,-11.32106876373291,68.73104858398438,-37.22459411621094,-11.32106876373291,70.0582275390625,-37.53418731689453,-11.845654487609863,70.9466552734375,-36.49004364013672,-9.997923851013184,70.71658325195313,-35.51133728027344,-9.576545715332031,70.71658325195313,-35.51133728027344,-9.576545715332031,9.942251771155673,22.43395276013887,-1.0,0.012827963176064442,2.0,0.0,12.74,100
L-1:3,9.09612977444816,6.161763362920489,9.736802158209409,4.9555541404490695,4.57870342114254,7.7530074801279865,8.25773521982954,7.936720855285429,11.221751166143083,1.3267503346953127,1880.5155029296875,146.6949462890625,1095.3033447265625,1273.193115234375,497.4158020019531,2626.8056640625,29.74070930480957,2458.3935546875,1053.2821044921875,821.374267578125,1059.5853271484375,171.98648071289063,1204.278076171875,878.442626953125,106.03954315185547,889.2035522460938,250.1782989501953,570.477294921875,813.7435302734375,244.73472595214844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.263427734375,-34.475730895996094,-9.46887493133545,69.263427734375,-34.475730895996094,-9.46887493133545,68.4832763671875,-35.61647415161133,-10.349361419677734,68.4832763671875,-35.61647415161133,-10.349361419677734,68.4832763671875,-35.61647415161133,-10.349361419677734,69.74322509765625,-37.31251525878906,-12.035042762756348,69.74322509765625,-37.31251525878906,-12.035042762756348,70.2086181640625,-38.02585220336914,-12.027752876281738,70.31790161132813,-35.89857482910156,-11.055743217468262,70.31790161132813,-35.89857482910156,-11.055743217468262,4.774017936298541,13.613237207821397,-1.0,0.011744908097367113,0.0,0.0,13.51,76
L-1:4,14.14454133956812,17.362158893576954,11.417272276069466,6.545921553591265,4.425398472024955,12.84102238560569,15.16130053522557,5.046441302280498,2.576581513751636,7.407462073986289,1754.357421875,207.2540283203125,2500.276611328125,1183.4786376953125,373.74603271484375,1292.1192626953125,395.5970764160156,1498.59423828125,1164.369140625,474.0232849121094,1272.972412109375,440.5754699707031,705.1482543945313,515.1009521484375,135.7186737060547,328.7987365722656,309.61248779296875,1725.918212890625,1664.4786376953125,2156.700439453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19985961914063,-34.50666809082031,-8.36812686920166,72.19985961914063,-34.50666809082031,-8.36812686920166,70.59439086914063,-34.49382019042969,-8.339045524597168,70.59439086914063,-34.49382019042969,-8.339045524597168,69.88894653320313,-35.855953216552734,-9.776349067687988,69.88894653320313,-35.855953216552734,-9.776349067687988,71.08612060546875,-35.88279342651367,-9.072715759277344,71.08612060546875,-35.88279342651367,-9.072715759277344,72.19985961914063,-34.50666809082031,-8.36812686920166,72.19985961914063,-34.50666809082031,-8.36812686920166,3.7876722568408763,2.15845757193801,-1.0,0.011541501976284584,0.5,-9.33,11.68,76
L-1:5,9.223789489257504,3.6971988826577844,3.5730179650863745,1.1067315972378298,7.859883821195516,4.288616188575356,1.4429691868847807,10.307395778782876,9.068740335578388,8.16994780612498,0.0,0.0,943.5372314453125,909.9853515625,390.181884765625,1241.06640625,252.85525512695313,630.3596801757813,405.9978942871094,170.55360412597656,1531.8056640625,274.6187744140625,519.6979370117188,685.7157592773438,57.382205963134766,1236.7855224609375,79.59078216552734,1128.7969970703125,422.39483642578125,620.3900756835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6580810546875,-34.087684631347656,-8.0521821975708,71.65042114257813,-34.05897903442383,-8.46196460723877,71.03433227539063,-36.20429611206055,-10.082389831542969,71.03433227539063,-36.20429611206055,-10.082389831542969,71.74069213867188,-37.758506774902344,-11.766474723815918,72.97116088867188,-38.09633255004883,-11.716886520385742,72.97116088867188,-38.09633255004883,-11.716886520385742,73.941650390625,-36.747772216796875,-11.298419952392578,73.25833129882813,-35.31463623046875,-10.225586891174316,73.25833129882813,-35.31463623046875,-10.225586891174316,2.597491712486121,4.426921186389882,-1.0,0.01671818181818182,0.5,0.0,18.39,100
L-1:6,5.424153796203632,1.4499929782761278,8.08109155730659,10.914595270777097,7.463252903573827,13.172103477346255,3.2712267660091583,3.7947137594241873,2.3830120911100017,3.0707480096233315,1491.892333984375,286.3962097167969,518.7063598632813,677.2202758789063,129.3275909423828,1513.6798095703125,248.1765899658203,1127.635009765625,894.439453125,384.9811706542969,1431.7650146484375,88.4581069946289,1200.075439453125,376.5704040527344,121.77428436279297,1215.7642822265625,272.172119140625,661.9187622070313,33.7093620300293,86.85104370117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8267822265625,-36.11771774291992,-10.513897895812988,72.3162841796875,-36.50371551513672,-10.683774948120117,72.3162841796875,-36.50371551513672,-10.683774948120117,71.97052001953125,-38.10903549194336,-12.328208923339844,71.97052001953125,-38.10903549194336,-12.328208923339844,72.01959228515625,-40.57152557373047,-14.381372451782227,72.01959228515625,-40.57152557373047,-14.381372451782227,73.33343505859375,-40.5457878112793,-14.662419319152832,73.403076171875,-38.259403228759766,-13.730929374694824,72.22198486328125,-36.58453369140625,-12.494027137756348,4.128103034084853,10.542332640440323,-1.0,0.012592718227046586,3.0,0.0,15.91,108
L-1:7,20.849833922885566,8.387158564654602,11.24936464245393,11.259448592938664,7.16283125996599,1.3583884136843438,7.924956394131572,1.6343210835126547,8.141831252464058,15.716952848754206,1146.2781982421875,12.828348159790039,1323.763671875,388.1866760253906,333.35833740234375,903.5297241210938,350.43896484375,916.5947265625,582.590576171875,268.66241455078125,1333.806640625,71.5256118774414,373.5165100097656,407.75482177734375,65.2546157836914,551.8097534179688,485.2729797363281,1121.53125,993.1967163085938,584.5249633789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.18942260742188,-38.34159469604492,-13.437458038330078,70.10336303710938,-38.60064697265625,-13.544410705566406,69.1192626953125,-39.31199645996094,-14.427369117736816,69.1192626953125,-39.31199645996094,-14.427369117736816,69.24774169921875,-41.803314208984375,-16.78490447998047,68.88165283203125,-44.26187515258789,-18.807355880737305,70.67922973632813,-43.64037322998047,-19.055458068847656,71.35427856445313,-42.28408432006836,-18.613948822021484,73.03936767578125,-39.174652099609375,-13.953202247619629,71.18942260742188,-38.34159469604492,-13.437458038330078,12.849134356975958,15.634869176650644,-1.0,0.013927958833619209,4.0,0.0,18.56,0
L-1:8,10.864563314417985,9.267274864744193,8.689550849631795,4.157664220669645,2.278276879377562,9.683616708268175,1.723384140161461,7.10437309406133,7.982105286061455,2.2680859634512736,1770.1298828125,13.032055854797363,1460.0797119140625,1746.291748046875,721.25341796875,1885.2918701171875,753.7310791015625,698.38037109375,639.3663940429688,439.63922119140625,1339.4425048828125,75.0805892944336,995.1820678710938,693.9899291992188,339.3193054199219,1417.7899169921875,520.1791381835938,2260.11328125,1526.0592041015625,1885.5662841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1405029296875,-39.05215835571289,-15.869115829467773,74.1405029296875,-39.05215835571289,-15.869115829467773,72.65545654296875,-39.746620178222656,-15.509082794189453,72.65545654296875,-39.746620178222656,-15.509082794189453,75.94586181640625,-37.17893600463867,-13.054804801940918,74.48016357421875,-40.991416931152344,-16.28788185119629,74.48016357421875,-40.991416931152344,-16.28788185119629,75.20089721679688,-40.622642517089844,-16.383352279663086,75.20089721679688,-40.622642517089844,-16.383352279663086,74.1405029296875,-39.05215835571289,-15.869115829467773,8.276551862698676,11.511997796982513,-1.0,0.008909090909090908,2.5,-5.81,11.2,0
L-1:9,8.53151046211285,3.963251553158136,6.201566545771218,4.779954074698467,7.484419484695413,1.458271301823892,2.5994569408864776,3.915345705221055,4.4796557108420165,5.029331841806331,1244.72216796875,58.323020935058594,1361.5250244140625,688.5056762695313,160.63442993164063,951.2887573242188,468.48480224609375,820.3602294921875,1148.8935546875,768.31787109375,816.029052734375,6.602398872375488,1356.96728515625,915.903564453125,288.7573547363281,928.5845947265625,398.4208068847656,1332.1807861328125,1046.3134765625,630.5321655273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08493041992188,-37.99467086791992,-14.294156074523926,72.08493041992188,-37.99467086791992,-14.294156074523926,70.990234375,-38.71780014038086,-14.35948657989502,72.8939208984375,-36.355228424072266,-12.84338092803955,72.5294189453125,-39.03474807739258,-14.358811378479004,72.5294189453125,-39.03474807739258,-14.358811378479004,73.512451171875,-39.277530670166016,-14.801156997680664,73.512451171875,-39.277530670166016,-14.801156997680664,73.39340209960938,-38.41228103637695,-14.80548095703125,73.39340209960938,-38.41228103637695,-14.80548095703125,17.28962132741904,7.483073995927758,-1.0,0.013889493739793141,1.0,0.0,14.58,0
L-1:10,1.7669360328287553,1.396209625070021,4.988712759984885,4.66327788569673,21.723376148166096,23.061422228490127,15.026699533136851,8.983205582436117,3.95444023554431,6.055690855696125,1205.51123046875,41.05923843383789,1287.3544921875,911.2440185546875,192.7886962890625,940.3880004882813,289.9893493652344,1660.5885009765625,804.483642578125,1123.6397705078125,1112.53857421875,299.46954345703125,706.4595336914063,625.3364868164063,194.99110412597656,924.2725830078125,392.46685791015625,1169.5745849609375,438.9858093261719,297.8468322753906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6998291015625,-37.68796157836914,-13.09748649597168,72.6998291015625,-37.68796157836914,-13.09748649597168,72.04443359375,-38.48835372924805,-13.870695114135742,72.04443359375,-38.48835372924805,-13.870695114135742,72.74801635742188,-39.78666305541992,-14.882891654968262,72.74801635742188,-39.78666305541992,-14.882891654968262,74.02020263671875,-39.39826202392578,-14.900227546691895,73.92840576171875,-38.54195022583008,-14.87574291229248,73.92840576171875,-38.54195022583008,-14.87574291229248,71.9852294921875,-37.716026306152344,-14.52014446258545,10.303591318152911,8.45992395482354,-1.0,0.013082602676511306,9.5,0.0,16.2,0
