Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.9314813018009245,14.291869805964975,10.274113876424035,2.5358319212322624,5.51239660043229,3.8250842658067126,2.410180944474613,0.8405312192005799,7.825572692342032,9.952640274515417,1260.003662109375,86.1023941040039,880.5682373046875,364.5474853515625,0.6613558530807495,715.6551513671875,375.6897277832031,887.7741088867188,907.6359252929688,779.3875732421875,762.3273315429688,65.50872039794922,921.50830078125,575.5479736328125,236.8289031982422,755.527099609375,33.65640640258789,1018.3785400390625,592.7915649414063,579.6444702148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.36260986328125,-39.40668487548828,-9.445269584655762,177.31494140625,-39.68722915649414,-9.382729530334473,177.531982421875,-40.75705337524414,-9.928354263305664,177.531982421875,-40.75705337524414,-9.928354263305664,177.714599609375,-41.186180114746094,-9.881488800048828,177.714599609375,-41.186180114746094,-9.881488800048828,177.53656005859375,-41.29939651489258,-9.800972938537598,177.3375244140625,-40.88419723510742,-9.507758140563965,177.3807373046875,-39.71200942993164,-9.848875045776367,177.36260986328125,-39.40668487548828,-9.445269584655762,5.245380085896498,4.298128456419324,1.0,0.011935939707960433,2.5,0.0,14.48,44
L-1:2,10.369371554253314,13.288219168638042,8.198832608117215,2.7840768273546197,6.878830902934085,3.2741620267989457,4.943359909389244,1.985118825785979,2.7307543697183014,2.9294057227856043,1229.747314453125,166.7382049560547,815.6702270507813,520.4638061523438,601.031982421875,992.5595092773438,81.99159240722656,834.9960327148438,551.9816284179688,409.745849609375,560.0322875976563,22.91164779663086,1118.9039306640625,778.2772827148438,558.2215576171875,1007.3453979492188,387.1487731933594,1599.690185546875,1079.3167724609375,662.4757690429688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.44451904296875,-38.7582893371582,-10.515166282653809,177.44451904296875,-38.7582893371582,-10.515166282653809,177.368896484375,-39.09883117675781,-10.725481986999512,177.368896484375,-39.09883117675781,-10.725481986999512,177.32427978515625,-40.00617599487305,-10.894933700561523,177.335693359375,-39.5076904296875,-10.658553123474121,177.42779541015625,-38.643890380859375,-10.375751495361328,177.42779541015625,-38.643890380859375,-10.375751495361328,177.32818603515625,-38.546348571777344,-10.360993385314941,177.32818603515625,-38.546348571777344,-10.360993385314941,3.0402733836256286,10.064580959068971,1.0,0.011098930481283423,3.5,0.0,11.86,32
L-1:3,11.475784816851517,17.360938130761372,10.82369819557521,3.9536171201987753,5.882215433378818,3.5778107643419457,3.5598048729956995,2.848314050884746,13.171172705700275,13.640333674637379,1108.231689453125,103.96626281738281,837.0448608398438,578.7483520507813,597.8203735351563,1134.1138916015625,11.97976303100586,1015.1267700195313,1252.9136962890625,957.7181396484375,1364.78076171875,85.54229736328125,1062.421142578125,626.729736328125,292.48297119140625,1372.3157958984375,164.8147430419922,1071.73095703125,1372.019287109375,935.7695922851563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.8021240234375,-38.25582504272461,-10.919778823852539,177.7239990234375,-38.40269470214844,-11.080503463745117,177.7239990234375,-38.40269470214844,-11.080503463745117,177.7342529296875,-38.660213470458984,-11.06711196899414,177.7342529296875,-38.660213470458984,-11.06711196899414,177.6007080078125,-38.73809051513672,-10.892122268676758,177.6007080078125,-38.73809051513672,-10.892122268676758,177.4293212890625,-38.928466796875,-10.91113567352295,177.9757080078125,-38.25465774536133,-10.866290092468262,177.8021240234375,-38.25582504272461,-10.919778823852539,3.9774896497102388,9.22067018241718,1.0,0.009701426024955436,6.0,0.0,12.44,68
L-1:4,19.41837099047095,11.383170990897337,0.3741297038130048,5.6368654927874005,4.279523786561162,6.44426725791467,10.070680647636287,9.373465358388215,22.820865842338172,22.55333069121787,1723.6751708984375,151.9403076171875,1471.629638671875,714.66943359375,595.0453491210938,1121.6724853515625,87.01229095458984,1156.2200927734375,291.864013671875,373.9261474609375,1425.4334716796875,658.5485229492188,908.1939697265625,1108.8238525390625,144.20977783203125,1619.36669921875,487.0709228515625,1614.2784423828125,1160.31689453125,963.6463012695313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.7735595703125,-38.303077697753906,-11.801557540893555,177.83404541015625,-38.314613342285156,-11.803166389465332,177.83404541015625,-38.314613342285156,-11.803166389465332,177.8018798828125,-38.87022018432617,-11.59738826751709,177.8763427734375,-38.413082122802734,-11.633889198303223,177.8763427734375,-38.413082122802734,-11.633889198303223,177.7359619140625,-38.530914306640625,-11.724898338317871,177.7359619140625,-38.530914306640625,-11.724898338317871,177.7735595703125,-38.303077697753906,-11.801557540893555,177.7735595703125,-38.303077697753906,-11.801557540893555,16.19575670930472,24.51182902247066,1.0,0.00927115987460815,5.5,4.02,10.14,4
L-1:5,11.84047059358726,11.640182301762922,7.229786365771093,3.425280875945361,2.409732867327422,8.707120521202436,14.765402673924738,14.472305587038992,13.390687526468952,4.035798887504141,1022.1055297851563,142.32662963867188,777.9430541992188,431.5989990234375,371.94488525390625,955.155029296875,84.75850677490234,690.074951171875,1219.0791015625,863.6203002929688,1231.11279296875,4.300607681274414,1557.9635009765625,1254.189208984375,518.9821166992188,1270.0706787109375,224.5262908935547,1247.6304931640625,751.1605224609375,557.9630126953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.116455078125,-38.34599685668945,-12.114903450012207,178.1783447265625,-38.364742279052734,-12.354784965515137,178.0858154296875,-38.764404296875,-12.135724067687988,178.53179931640625,-38.14189529418945,-12.32014274597168,178.53179931640625,-38.14189529418945,-12.32014274597168,178.34271240234375,-38.17791748046875,-12.017215728759766,178.34271240234375,-38.17791748046875,-12.017215728759766,178.106689453125,-38.35860824584961,-12.020203590393066,178.106689453125,-38.35860824584961,-12.020203590393066,178.116455078125,-38.34599685668945,-12.114903450012207,8.61333117866588,10.431234009195109,1.0,0.010971502590673575,11.0,0.0,13.31,100
L-1:6,4.238887666682593,6.268873146227966,2.063722366296514,1.543347697926281,9.410416355266477,7.829742855760191,1.9028931486299485,1.2094199407523667,4.76139905793088,8.480145356564904,1597.799560546875,41.36249542236328,1194.3477783203125,866.1907348632813,397.5602722167969,850.0302124023438,167.6497344970703,881.255859375,595.9476318359375,695.2545776367188,1103.9080810546875,76.79019165039063,1509.916748046875,1241.5927734375,301.1999816894531,1037.1566162109375,35.192752838134766,1038.41064453125,1217.0804443359375,399.592041015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.14508056640625,-38.53178024291992,-12.51629638671875,178.2601318359375,-38.481300354003906,-12.576757431030273,178.2601318359375,-38.481300354003906,-12.576757431030273,178.291015625,-38.56001281738281,-12.478066444396973,178.3697509765625,-38.75088882446289,-12.224650382995605,178.3697509765625,-38.75088882446289,-12.224650382995605,178.21826171875,-38.44521713256836,-12.2131929397583,178.21826171875,-38.44521713256836,-12.2131929397583,178.14508056640625,-38.53178024291992,-12.51629638671875,178.14508056640625,-38.53178024291992,-12.51629638671875,6.361529787192394,5.718101353959348,1.0,0.010964888405008165,1.5,0.0,11.51,36
L-1:7,6.673631885988828,5.135238619661837,3.153197234293765,2.803128273519078,5.750438502684461,7.112804746604962,5.552532963621373,3.6268635378681466,2.394857912445484,8.146803080490287,853.124755859375,110.27831268310547,971.830322265625,598.3248291015625,624.1327514648438,976.3196411132813,254.2626190185547,1013.908447265625,1116.3406982421875,849.8649291992188,1340.85595703125,58.656654357910156,1243.8546142578125,681.2757568359375,316.9346008300781,1208.51416015625,792.47119140625,1279.559326171875,821.899169921875,679.3372802734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.21844482421875,-38.290138244628906,-12.413155555725098,178.18023681640625,-38.36574172973633,-12.523567199707031,178.18023681640625,-38.36574172973633,-12.523567199707031,178.22314453125,-38.224159240722656,-12.475504875183105,178.24749755859375,-38.28459167480469,-12.257424354553223,178.24749755859375,-38.28459167480469,-12.257424354553223,178.320068359375,-38.26908493041992,-12.100348472595215,178.320068359375,-38.26908493041992,-12.100348472595215,178.2423095703125,-38.248714447021484,-12.078354835510254,178.21844482421875,-38.290138244628906,-12.413155555725098,17.786089075303725,4.1001325393511125,1.0,0.010910204991087346,1.5,0.0,13.99,0
L-1:8,5.008255997035705,3.335355534503752,3.3255824774891765,9.043264106617597,6.119301590723657,21.525045221159697,22.5802424263428,13.929821487970912,5.08525650494611,9.563212784453533,1734.2364501953125,17.97841453552246,1803.176025390625,1501.10009765625,424.5829162597656,533.310791015625,104.4365463256836,1005.7430419921875,1543.1441650390625,593.4417724609375,2176.008056640625,50.200435638427734,1631.910400390625,887.299072265625,1283.7197265625,2018.025390625,14.370266914367676,1696.8212890625,1275.1187744140625,1017.8133544921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.35321044921875,-38.064208984375,-12.415841102600098,178.35321044921875,-38.064208984375,-12.415841102600098,178.88665771484375,-37.88896179199219,-12.588226318359375,178.7894287109375,-38.021732330322266,-12.40080738067627,178.7894287109375,-38.021732330322266,-12.40080738067627,178.5440673828125,-38.31129455566406,-12.338205337524414,178.5440673828125,-38.31129455566406,-12.338205337524414,178.5440673828125,-38.31129455566406,-12.338205337524414,178.5440673828125,-38.31129455566406,-12.338205337524414,178.45892333984375,-38.30584716796875,-12.4794921875,20.52424254220739,16.57372194225414,1.0,0.010824129141886152,10.0,8.3,14.56,0
L-1:9,5.888150500331795,3.944872290236373,10.38763771540247,3.0619417236175304,1.9970655009553107,7.467689042723181,3.3976057374852333,11.099285212124501,4.557465829538374,0.6965414530056373,1054.3531494140625,49.415931701660156,944.9801635742188,385.776123046875,315.3677062988281,773.9210205078125,522.6566772460938,1328.4581298828125,883.6559448242188,547.0563354492188,1319.8389892578125,2.804414749145508,1277.7301025390625,558.008544921875,187.52529907226563,644.1470336914063,466.3853759765625,802.195068359375,825.7649536132813,460.740478515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.45355224609375,-38.18647766113281,-12.809739112854004,178.61553955078125,-38.12712097167969,-12.967547416687012,178.715087890625,-38.22516632080078,-13.047585487365723,178.715087890625,-38.22516632080078,-13.047585487365723,178.6580810546875,-38.01930618286133,-12.788688659667969,178.6580810546875,-38.01930618286133,-12.788688659667969,178.6580810546875,-38.01930618286133,-12.788688659667969,178.4368896484375,-38.35039138793945,-12.689138412475586,178.50506591796875,-38.40970230102539,-12.671135902404785,178.62335205078125,-38.45227813720703,-12.582971572875977,15.230172717987152,8.444077274320595,1.0,0.012699843260188089,0.5,0.0,13.89,0
L-1:10,1.3492830730987393,0.8553317334610432,1.7366770953520474,1.6795095889538505,8.28291252610373,15.245983219321802,18.04915237681867,9.179518944023577,6.898305987922483,5.5914305482445545,885.7910766601563,83.2367935180664,965.7896118164063,732.219970703125,154.44522094726563,602.0272827148438,124.90496063232422,721.822998046875,529.1585693359375,875.8751831054688,1264.157470703125,135.93817138671875,1143.07421875,876.2216186523438,19.102886199951172,885.5429077148438,395.2174377441406,770.7269897460938,459.1136474609375,515.5079345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.8173828125,-37.94336700439453,-12.69370174407959,178.8173828125,-37.94336700439453,-12.69370174407959,178.6488037109375,-37.847373962402344,-13.125535011291504,178.6488037109375,-37.847373962402344,-13.125535011291504,178.63671875,-37.900474548339844,-13.095769882202148,178.490966796875,-37.92246627807617,-12.786042213439941,178.490966796875,-37.92246627807617,-12.786042213439941,178.6688232421875,-38.19284439086914,-12.994775772094727,178.6688232421875,-38.19284439086914,-12.994775772094727,178.73486328125,-37.97917556762695,-12.930004119873047,4.553986673455631,4.156374668396912,1.0,0.013554185927067284,3.0,0.0,15.08,0
