Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.1416897750130826,5.899578643814125,2.675103648998059,7.901958735704029,1.1539510032183944,4.8242391114765075,0.4169414717948265,1.4072500580543081,2.9329725838623197,4.247693804670143,754.6962280273438,95.42945098876953,734.524658203125,552.6672973632812,152.85006713867188,762.591552734375,351.5993347167969,1193.2764892578125,919.7305297851562,1159.24267578125,0.0,0.0,998.6654663085938,694.729736328125,372.4139709472656,980.6565551757812,455.72479248046875,1186.071044921875,630.9633178710938,578.9703979492188,0.1411764770746231,0.14509804546833038,0.15294118225574493,0.1411764770746231,0.13725490868091583,0.08627451211214066,0.1411764770746231,0.1568627506494522,0.14901961386203766,0.14901961386203766,0.125,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,0.140625,0.125,0.125,326.3999938964844,-63.60000228881836,-23.200000762939453,328.70001220703125,-62.5,-22.100000381469727,329.20001220703125,-62.400001525878906,-21.899999618530273,329.70001220703125,-63.5,-21.700000762939453,329.8000183105469,-64.0999984741211,-21.700000762939453,329.8999938964844,-63.60000228881836,-21.600000381469727,324.3000183105469,-66.20000457763672,-24.80000114440918,324.1000061035156,-66.30000305175781,-24.80000114440918,324.6000061035156,-65.4000015258789,-24.200000762939453,324.6000061035156,-65.4000015258789,-24.200000762939453,20.324019944560487,3.7759182539354867,1.0,0.012295730585204268,0.3333333432674408,0.0,19.09,32
L-1:2,5.6480905916237045,1.2224939445207879,4.523716393448989,1.8742289316654552,1.0043211890274184,1.5377606472816676,1.0039960663764749,1.0407575173094135,0.6974826927119436,3.372416824572954,1430.7640380859375,22.53444480895996,947.927734375,839.4985961914062,629.8596801757812,1420.73486328125,329.16302490234375,1461.315185546875,1178.531494140625,808.2948608398438,1721.95556640625,277.0331726074219,1512.56640625,1010.0657958984375,469.17919921875,1693.381103515625,579.6570434570312,1623.6097412109375,790.5383911132812,557.6959838867188,0.1411764770746231,0.1568627506494522,0.1725490242242813,0.1568627506494522,0.15294118225574493,0.1568627506494522,0.14901961386203766,0.15294118225574493,0.1411764770746231,0.1411764770746231,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,327.6000061035156,-59.900001525878906,-22.700000762939453,328.20001220703125,-59.60000228881836,-22.5,328.20001220703125,-59.60000228881836,-22.5,328.3000183105469,-59.79999923706055,-22.600000381469727,328.3000183105469,-59.79999923706055,-22.600000381469727,328.3999938964844,-60.5,-22.5,328.3999938964844,-60.5,-22.5,328.3000183105469,-60.400001525878906,-22.5,328.8999938964844,-59.29999923706055,-22.100000381469727,326.5,-60.79999923706055,-23.30000114440918,22.94060028189278,7.441508890601346,1.0,0.007861605748203687,2.0000000596046448,0.0,14.38,100
L-1:3,2.5035379130933535,2.5467885528770093,6.278775192962973,3.1544186592471846,2.657027413044401,9.77361904683879,3.1367888398222092,8.815952202218696,3.9988608189778567,6.834806301326903,1111.854248046875,213.62803649902344,1031.4349365234375,591.6144409179688,474.75286865234375,857.2484741210938,558.0109252929688,1286.37109375,1233.614013671875,941.2514038085938,1035.766845703125,42.93278121948242,938.915283203125,1122.86376953125,621.1954956054688,1559.7972412109375,181.56578063964844,1510.5047607421875,727.7316284179688,788.6484985351562,0.1411764770746231,0.1568627506494522,0.16078431904315948,0.15294118225574493,0.14901961386203766,0.15294118225574493,0.15294118225574493,0.15294118225574493,0.15294118225574493,0.15294118225574493,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,325.6000061035156,-59.60000228881836,-23.100000381469727,326.8000183105469,-59.0,-22.399999618530273,327.5,-59.10000228881836,-22.200000762939453,327.8000183105469,-60.10000228881836,-22.700000762939453,327.8000183105469,-60.10000228881836,-22.700000762939453,324.8000183105469,-60.79999923706055,-24.0,324.70001220703125,-60.900001525878906,-24.100000381469727,324.8000183105469,-60.5,-23.899999618530273,324.8000183105469,-60.5,-23.899999618530273,325.6000061035156,-59.60000228881836,-23.100000381469727,10.458805766801735,8.82603937371787,1.0,0.010563392546151166,1.3333333730697632,0.0,17.33,96
L-1:4,7.984716634975556,6.676077884776589,4.083950093306019,7.850057003838935,4.425601760552212,1.3156255718025962,4.465671005512037,5.059833734985502,5.986653935600487,9.182601769095234,1594.8482666015625,17.058879852294922,1263.5045166015625,774.830810546875,368.8222351074219,1248.01416015625,246.66830444335938,986.8142700195312,1399.0584716796875,1070.408935546875,1505.8819580078125,67.41011047363281,1776.34423828125,1125.550048828125,449.83837890625,2004.673828125,700.9354858398438,1824.239013671875,1706.5804443359375,1063.574462890625,0.16078431904315948,0.14901961386203766,0.1411764770746231,0.13333334028720856,0.14901961386203766,0.16862745583057404,0.15294118225574493,0.1568627506494522,0.16078431904315948,0.1568627506494522,0.140625,0.125,0.125,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,330.0,-56.29999923706055,-20.0,330.0,-56.29999923706055,-20.0,330.5,-56.29999923706055,-19.700000762939453,327.6000061035156,-59.5,-22.600000381469727,327.6000061035156,-59.5,-22.600000381469727,327.5,-60.0,-22.600000381469727,327.3000183105469,-59.79999923706055,-22.30000114440918,327.3000183105469,-59.79999923706055,-22.30000114440918,327.3000183105469,-59.79999923706055,-22.30000114440918,328.20001220703125,-58.10000228881836,-21.399999618530273,25.89546118546146,14.29383285304503,1.0,0.008861860795454545,6.000000178813934,4.92,14.26,76
L-1:5,7.445843132012872,1.6756097208037521,5.986189630691395,1.097928572957956,4.764004523572266,18.224031466681552,4.797778396548409,2.279623122933275,2.565357896892823,1.3674941040345847,913.9478149414062,79.20536804199219,1070.278564453125,747.0822143554688,253.60592651367188,630.09423828125,320.9283447265625,772.8575439453125,656.3345947265625,573.689208984375,1033.0045166015625,202.21694946289062,841.00048828125,762.6203002929688,223.6595458984375,775.595947265625,178.17591857910156,824.9688110351562,553.893310546875,612.6846313476562,0.15294118225574493,0.15294118225574493,0.15294118225574493,0.14901961386203766,0.14509804546833038,0.14509804546833038,0.1568627506494522,0.15294118225574493,0.16078431904315948,0.16078431904315948,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,329.8000183105469,-64.20000457763672,-27.600000381469727,331.70001220703125,-63.10000228881836,-26.5,332.5,-62.900001525878906,-26.100000381469727,332.6000061035156,-63.79999923706055,-26.0,332.6000061035156,-63.79999923706055,-26.0,328.3999938964844,-66.70000457763672,-28.399999618530273,328.5,-66.70000457763672,-28.30000114440918,328.70001220703125,-66.30000305175781,-28.200000762939453,328.70001220703125,-66.30000305175781,-28.200000762939453,329.0,-65.4000015258789,-28.0,24.658576478584806,7.286399973481018,1.0,0.014108851674641147,3.6666667759418488,0.0,23.59,100
L-1:6,6.515228194620682,6.211001340211671,23.239570818919873,19.33770155857225,4.451082887000504,19.290962968576768,3.9281202519884637,2.4410997073639806,1.1708141471659197,1.4675112930157512,1274.9815673828125,129.66201782226562,404.3222351074219,762.7181396484375,281.29559326171875,1047.6014404296875,30.80738067626953,1417.751953125,790.0272827148438,1864.2396240234375,1633.4510498046875,654.0879516601562,1466.952880859375,1133.91259765625,674.5546875,1459.55859375,255.47654724121094,276.2612609863281,1091.5150146484375,883.9115600585938,0.1568627506494522,0.16862745583057404,0.16470588743686676,0.16078431904315948,0.16078431904315948,0.16470588743686676,0.16862745583057404,0.1725490242242813,0.13333334028720856,0.1411764770746231,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.125,331.6000061035156,-55.70000076293945,-25.399999618530273,331.8000183105469,-55.5,-25.30000114440918,332.1000061035156,-56.400001525878906,-25.5,332.70001220703125,-57.400001525878906,-26.399999618530273,332.70001220703125,-57.400001525878906,-26.399999618530273,331.70001220703125,-59.0,-27.5,331.70001220703125,-59.0,-27.5,331.3999938964844,-59.29999923706055,-27.399999618530273,331.70001220703125,-58.0,-27.30000114440918,331.6000061035156,-55.70000076293945,-25.399999618530273,27.68136234776622,8.404774079068785,1.0,0.009369298521547657,0.3333333432674408,0.0,17.02,104
L-1:7,4.720542653650039,7.556892450113171,0.9725149130658844,6.236948616105236,3.9347303774173645,4.246406792210331,2.4919971615542464,5.848641711891551,7.798532606427779,3.5689495015172614,1112.1295166015625,52.79010009765625,979.3475952148438,646.1861572265625,430.50128173828125,655.9479370117188,703.3985595703125,1102.4052734375,1135.7916259765625,834.5801391601562,2107.54541015625,449.4638977050781,1304.970703125,1011.1702880859375,437.17950439453125,1661.306884765625,382.0614929199219,1585.708740234375,859.11865234375,759.4677734375,0.1568627506494522,0.14901961386203766,0.14509804546833038,0.15294118225574493,0.15294118225574493,0.15294118225574493,0.16078431904315948,0.16078431904315948,0.1568627506494522,0.1568627506494522,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,331.20001220703125,-56.20000076293945,-26.0,332.8999938964844,-55.0,-24.80000114440918,334.3000183105469,-54.60000228881836,-23.80000114440918,329.8999938964844,-58.60000228881836,-27.0,329.8999938964844,-58.60000228881836,-27.0,329.8000183105469,-59.29999923706055,-27.30000114440918,329.8000183105469,-59.29999923706055,-27.30000114440918,329.8000183105469,-59.20000076293945,-27.30000114440918,329.8000183105469,-59.20000076293945,-27.30000114440918,330.0,-57.79999923706055,-27.0,15.1342576760274,12.417386133535832,1.0,0.009658705701078582,3.333333432674408,0.0,17.91,4
L-1:8,30.305957752583584,28.2266861519468,14.347472341392407,3.312998797070608,8.658735778752318,13.354484076291664,2.3645329896470613,18.490269656927648,20.81160495941431,22.549290982722628,1907.7626953125,33.73263168334961,1319.3421630859375,700.0911865234375,712.8207397460938,985.0265502929688,160.37374877929688,1414.1287841796875,1151.822998046875,1231.884765625,1751.8228759765625,0.2547864615917206,220.88124084472656,146.05528259277344,288.5758056640625,1312.712890625,633.3162231445312,1793.4647216796875,1154.7427978515625,802.371337890625,0.1568627506494522,0.13725490868091583,0.13333334028720856,0.15294118225574493,0.15294118225574493,0.14509804546833038,0.11764706671237946,0.13333334028720856,0.14901961386203766,0.15294118225574493,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,0.125,0.125,0.140625,0.140625,332.8999938964844,-54.29999923706055,-21.399999618530273,332.8999938964844,-54.29999923706055,-21.399999618530273,333.6000061035156,-54.20000076293945,-20.899999618530273,333.8999938964844,-55.0,-21.30000114440918,333.8999938964844,-55.0,-21.30000114440918,334.20001220703125,-55.5,-21.600000381469727,331.70001220703125,-56.20000076293945,-23.0,331.8000183105469,-56.0,-22.899999618530273,331.8000183105469,-55.20000076293945,-22.700000762939453,331.8000183105469,-55.20000076293945,-22.700000762939453,18.479450518599712,24.54892792890479,1.0,0.008679730163829103,11.000000327825546,5.33,15.44,100
L-1:9,2.3689968351806883,1.1442268811734473,3.235495670655192,0.6990798838791841,5.26910622032792,0.7957812371688068,5.517148910132341,5.346671490780814,8.802548130134415,8.395739661492588,545.166015625,65.40032196044922,496.6186828613281,301.3614196777344,220.89584350585938,539.0332641601562,506.20880126953125,771.5809936523438,777.927490234375,467.2829895019531,1264.435302734375,74.60271453857422,1112.9522705078125,969.7400512695312,417.2340393066406,1009.1834106445312,499.6310729980469,998.28173828125,587.3789672851562,510.7381286621094,0.14901961386203766,0.1568627506494522,0.15294118225574493,0.1411764770746231,0.13725490868091583,0.14901961386203766,0.1568627506494522,0.16078431904315948,0.14901961386203766,0.14901961386203766,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,0.140625,331.6000061035156,-59.29999923706055,-23.5,332.3000183105469,-58.70000076293945,-23.0,332.3999938964844,-58.70000076293945,-23.0,330.0,-61.20000076293945,-24.600000381469727,330.0,-61.60000228881836,-24.600000381469727,329.5,-62.29999923706055,-24.899999618530273,329.20001220703125,-62.70000076293945,-25.100000381469727,329.20001220703125,-62.70000076293945,-25.100000381469727,329.3000183105469,-62.5,-25.0,329.5,-61.70000076293945,-24.80000114440918,24.689726244113945,13.625330059642875,1.0,0.013991708617115784,3.6666667759418488,0.0,27.0,108
L-1:10,1.3180345166681096,4.808587361155758,0.7306003199219135,3.585086164243269,5.890713388648458,1.2818561281980934,5.27978057684269,12.41698988965899,10.804585545994543,7.159565001876641,755.3230590820312,313.35870361328125,585.6982421875,536.2919921875,307.6630554199219,844.12060546875,87.53131103515625,822.584228515625,866.0313110351562,578.681640625,1453.4969482421875,70.81640625,910.0923461914062,671.6641235351562,204.09628295898438,864.8990478515625,238.79969787597656,1132.98583984375,1082.265380859375,856.6771850585938,0.1568627506494522,0.1568627506494522,0.15294118225574493,0.12941177189350128,0.14509804546833038,0.16470588743686676,0.15294118225574493,0.16862745583057404,0.15294118225574493,0.16078431904315948,0.140625,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,330.1000061035156,-58.60000228881836,-24.200000762939453,331.6000061035156,-57.79999923706055,-23.30000114440918,332.0,-57.900001525878906,-23.0,329.70001220703125,-60.400001525878906,-24.700000762939453,328.6000061035156,-61.900001525878906,-25.80000114440918,328.6000061035156,-61.900001525878906,-25.80000114440918,328.20001220703125,-62.400001525878906,-26.0,328.20001220703125,-62.10000228881836,-26.0,328.6000061035156,-60.79999923706055,-25.100000381469727,328.6000061035156,-60.79999923706055,-25.100000381469727,9.984606104581681,15.270544292482839,1.0,0.011542800265428003,4.0000001192092896,0.0,19.88,32
