Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.6666666865348816,8.25158659307592,2.0602111387768254,0.3670127064329684,7.085428759236081,2.6666667461395264,8.51894526318811,2.338078435744296,4.0923630439403755,5.698345251156209,208.80906677246094,75.17204284667969,256.806884765625,262.84600830078125,122.961669921875,623.4187622070312,349.6006164550781,1002.299072265625,985.4651489257812,507.1977844238281,707.522705078125,54.232383728027344,377.1555480957031,421.8484191894531,64.8471450805664,466.9854431152344,558.7474975585938,1030.2076416015625,883.5510864257812,290.4820251464844,0.22745099663734436,0.2352941334247589,0.24313727021217346,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.2392157018184662,0.22352942824363708,0.21568629145622253,0.2196078598499298,0.30000001192092896,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279828479007591,11.168146335397047,-1.0,0.02150029231218942,2.0000000596046448,0.0,42.03,64
L-1:2,14.761060323570218,5.995605741176313,7.252222154799903,2.3100234516058995,1.0232085169636367,5.343740006549657,0.35663445597729687,0.4109280939452028,4.3285558465135034,12.949172269549095,1020.6961669921875,39.99720764160156,0.0,0.0,192.9574432373047,559.8928833007812,0.05401156097650528,476.028076171875,605.9341430664062,427.2825927734375,660.9799194335938,0.007781485095620155,307.2838439941406,198.00088500976562,57.389434814453125,448.403564453125,0.02932601422071457,315.9516296386719,591.2113647460938,707.0902099609375,0.2352941334247589,0.21176472306251526,0.2549019753932953,0.2666666805744171,0.27843138575553894,0.27450981736183167,0.250980406999588,0.2392157018184662,0.22745099663734436,0.23137256503105164,0.3333333432674408,0.30000001192092896,0.36666667461395264,0.36666667461395264,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8718429141596395,7.960875350888625,-1.0,0.022498597081930416,0.3333333432674408,0.0,45.82,64
L-1:3,2.027587570526223,5.026990282251513,6.582018628350864,0.9930644325061097,2.134811517102594,6.472162805868006,7.0384102622203,10.034479879026508,9.226868539237406,5.1389495756856745,800.8810424804688,50.646018981933594,645.1878662109375,211.46173095703125,164.43385314941406,717.6744384765625,370.82904052734375,900.1790771484375,671.9058227539062,481.9514465332031,489.12200927734375,27.471290588378906,133.68106079101562,148.71084594726562,127.28901672363281,312.67254638671875,189.47573852539062,898.8128662109375,592.5835571289062,642.455078125,0.22352942824363708,0.23137256503105164,0.24313727021217346,0.25882354378700256,0.27450981736183167,0.2823529541492462,0.25882354378700256,0.22745099663734436,0.2196078598499298,0.2196078598499298,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333730697632,3.4343108559520257,-1.0,0.021282402336619207,1.666666716337204,0.0,33.31,100
L-1:4,2.426703368748233,12.704494990230007,19.07861916789262,19.744915495019722,6.27412913387824,8.65383691506921,11.938099804986708,3.274421594187137,17.994432640775056,15.327650925099677,881.13818359375,172.9051513671875,444.2099609375,207.54615783691406,364.1900939941406,707.845703125,457.5432434082031,1030.850341796875,1799.0137939453125,424.4715881347656,1304.3612060546875,180.16973876953125,1248.18212890625,706.7063598632812,125.9212646484375,720.7265014648438,338.37432861328125,683.309326171875,1442.5780029296875,1170.9124755859375,0.22352942824363708,0.2352941334247589,0.250980406999588,0.250980406999588,0.24313727021217346,0.2352941334247589,0.22745099663734436,0.22745099663734436,0.2196078598499298,0.2196078598499298,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.794537693474025,10.964390068212117,1.0,0.011940623951694061,3.000000089406967,7.63,20.34,64
L-1:5,5.174725052972161,6.293467629287357,4.09278656237329,5.385601327438472,1.561431242983985,6.333333522081375,3.846875738078203,6.430270849456559,4.729422561970511,8.391604767711291,1014.6734008789062,49.923091888427734,854.4141235351562,627.8855590820312,224.0859375,876.1744995117188,356.1077575683594,868.93505859375,2344.5400390625,1896.1883544921875,1805.30859375,327.0596008300781,890.7145385742188,526.1141357421875,57.59242248535156,573.72705078125,539.9208984375,1160.8448486328125,1163.9498291015625,667.1435546875,0.2196078598499298,0.22745099663734436,0.2392157018184662,0.24705883860588074,0.24313727021217346,0.2352941334247589,0.22745099663734436,0.21568629145622253,0.20000001788139343,0.21176472306251526,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.23333334922790527,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.749603426362953,4.113432195004829,-1.0,0.010789256198347107,1.0000000298023224,0.0,18.65,32
L-1:6,2.027587570526223,3.970249228667747,1.3377486469455258,4.136585933750539,12.044166060740107,5.011098942133351,4.347374577104711,4.633954399448307,3.590285687302407,10.963407707849754,298.0472412109375,79.38639068603516,819.6378784179688,591.3867797851562,144.63475036621094,1013.1861572265625,359.4500427246094,726.025146484375,1283.3507080078125,922.809814453125,794.53857421875,42.067928314208984,581.9838256835938,367.45721435546875,132.14990234375,1128.541015625,109.10584259033203,714.2523193359375,741.026611328125,366.5954895019531,0.22745099663734436,0.2392157018184662,0.250980406999588,0.2666666805744171,0.27450981736183167,0.2666666805744171,0.24705883860588074,0.22745099663734436,0.21568629145622253,0.22352942824363708,0.30000001192092896,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.205157876587457,8.551928314121199,-1.0,0.013705428846771603,3.6666667759418488,0.0,24.38,36
L-1:7,0.7453560147132695,9.112166552509327,9.04027764341918,17.189430803297782,24.083133261826195,15.040686011818664,2.247081562158561,0.6305720435617164,2.2924987500017453,2.6926139194717003,1062.6795654296875,112.4967041015625,736.4057006835938,462.7696838378906,381.1329345703125,1569.082763671875,674.6939697265625,919.1627197265625,658.3700561523438,328.1835632324219,797.6973876953125,252.52845764160156,298.7340393066406,393.38104248046875,257.544921875,1048.5179443359375,259.64288330078125,1101.7982177734375,1113.190185546875,815.0838012695312,0.22745099663734436,0.2392157018184662,0.25882354378700256,0.2666666805744171,0.27450981736183167,0.2823529541492462,0.26274511218070984,0.22745099663734436,0.22352942824363708,0.22352942824363708,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.40000003576278687,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.005049674122146,10.303353314187428,-1.0,0.011984410217881292,7.000000208616257,0.0,18.23,68
L-1:8,3.480102273351977,5.202310788236951,17.870414929812757,2.956708319580176,18.642674145741406,13.812233315037066,1.4665201069667737,9.202181616733148,7.1102440415276185,7.542135442094836,2136.6298828125,282.84033203125,2556.6591796875,1636.7818603515625,927.9527587890625,1565.753662109375,2434.160400390625,2742.572021484375,2998.77197265625,1319.69921875,3286.64599609375,700.8030395507812,1153.5201416015625,1214.1170654296875,656.5316772460938,3233.898193359375,399.57757568359375,2435.501708984375,2715.9423828125,2461.36328125,0.2196078598499298,0.23137256503105164,0.24705883860588074,0.2666666805744171,0.2862745225429535,0.29019609093666077,0.2549019753932953,0.2196078598499298,0.2039215862751007,0.21568629145622253,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.4333333671092987,0.5,0.46666669845581055,0.4333333671092987,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.794894455036966,10.702025136950073,-1.0,0.004165120593692022,2.6666667461395264,7.35,8.98,108
L-1:9,20.344259965862346,2.894400851833694,5.985803787532734,3.0558913460591257,8.054800514970896,9.944289556480447,8.936831618255821,10.353917770964486,2.151929020285884,19.13770717577286,3695.801025390625,750.0281982421875,2695.301025390625,988.5673217773438,977.3456420898438,3093.56396484375,1533.2159423828125,3862.46728515625,4468.37451171875,2154.34326171875,4117.82666015625,255.56460571289062,2745.32080078125,3268.525634765625,1489.934814453125,3948.8837890625,1466.3516845703125,1711.7755126953125,2614.58837890625,1059.931396484375,0.22745099663734436,0.24705883860588074,0.25882354378700256,0.2666666805744171,0.2549019753932953,0.2352941334247589,0.21568629145622253,0.20784315466880798,0.21176472306251526,0.22745099663734436,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.4333333671092987,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.267290131220165,13.384376266680139,-1.0,0.004376304023845008,4.0000001192092896,0.0,8.39,100
L-1:10,3.333333432674408,1.7125119822568087,13.031440732981592,17.28187044157982,17.134747391587048,21.426878878554994,20.281898811739403,9.651399148274384,3.047728566582128,0.9056135334483427,4254.60595703125,6.661892890930176,1104.695556640625,1752.0458984375,743.2135009765625,2415.381591796875,850.608642578125,2406.91845703125,2463.823974609375,1376.3779296875,4651.97998046875,397.90093994140625,2141.467041015625,1821.469482421875,1069.1683349609375,2352.359619140625,807.0436401367188,3737.886962890625,2724.397216796875,1392.4842529296875,0.22745099663734436,0.24705883860588074,0.2549019753932953,0.26274511218070984,0.27450981736183167,0.250980406999588,0.23137256503105164,0.2196078598499298,0.21176472306251526,0.22352942824363708,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.3333333432674408,0.30000001192092896,0.2666666805744171,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.198039331110817,14.210764895856963,-1.0,0.004443359375000001,9.333333611488342,0.0,7.15,100
