Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.561534528029803,9.24230598015951,12.083160409485043,4.8760168814166756,16.316868298728576,11.735608979477101,12.402759084891658,2.4887921218668514,14.784655106803116,12.780341717971876,1083.0479736328125,568.2330322265625,1202.1802978515625,866.1701049804688,925.7674560546875,1480.3802490234375,859.9089965820312,295.80853271484375,1305.53466796875,658.1215209960938,2141.272216796875,96.44288635253906,1935.740234375,1322.661865234375,249.45578002929688,2172.401611328125,830.1491088867188,1653.7572021484375,1037.9677734375,1332.651123046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.53057861328125,-31.79201889038086,-9.111318588256836,19.668792724609375,-30.731555938720703,-8.65166187286377,19.63983154296875,-30.760822296142578,-8.481781005859375,19.814453125,-31.259170532226562,-8.624000549316406,19.015899658203125,-38.864192962646484,-11.578635215759277,18.88330078125,-38.84341812133789,-11.96984577178955,18.88330078125,-38.84341812133789,-11.96984577178955,18.802947998046875,-35.901920318603516,-11.006908416748047,18.802947998046875,-35.901920318603516,-11.006908416748047,19.53057861328125,-31.79201889038086,-9.111318588256836,10.40079971482859,12.456649122892998,1.0,0.00824569221628045,0.6666666865348816,0.0,15.86,108
L-1:2,4.153473119246198,1.0642863502299797,17.914948121892582,12.923644311649907,3.524103977717394,1.8845083108975533,5.441843179490285,3.690519678552981,4.649338102061038,1.7128093801411377,1155.0260009765625,124.40675354003906,736.7463989257812,1050.4029541015625,99.45437622070312,1381.1871337890625,334.1683044433594,1222.876220703125,1291.0882568359375,1055.7740478515625,2006.5369873046875,95.08454895019531,1729.719482421875,1302.0635986328125,1152.97705078125,2180.0244140625,653.968505859375,1755.7196044921875,609.6001586914062,397.55975341796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84320068359375,-32.048614501953125,-9.247629165649414,20.84320068359375,-32.048614501953125,-9.247629165649414,20.950897216796875,-32.91324996948242,-9.711408615112305,20.974273681640625,-33.134674072265625,-9.853787422180176,20.974273681640625,-33.134674072265625,-9.853787422180176,20.542633056640625,-32.55508041381836,-9.520577430725098,20.542633056640625,-32.55508041381836,-9.520577430725098,20.542633056640625,-32.55508041381836,-9.520577430725098,20.867462158203125,-30.058259963989258,-8.30111026763916,20.543731689453125,-33.23916244506836,-9.68658447265625,6.652451220478713,6.745831979350525,1.0,0.008016798418972331,3.6666667759418488,0.0,11.59,100
L-1:3,11.81143471377462,8.405726414906093,2.243682385563197,5.980415281466161,3.495397454317898,4.990557958943538,0.6905979866897871,0.7844101507923784,5.388560993621778,2.7778444075929105,1130.2027587890625,128.05319213867188,1690.0018310546875,1203.015380859375,378.619873046875,1605.6138916015625,160.31622314453125,1502.6982421875,1703.13037109375,841.247802734375,2117.134521484375,177.8558807373047,1961.774658203125,1322.3514404296875,268.8031921386719,1012.2357177734375,294.3391418457031,2144.01806640625,1396.585693359375,949.1032104492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22442626953125,-31.01203727722168,-8.840003967285156,21.22442626953125,-31.01203727722168,-8.840003967285156,21.272308349609375,-31.33298110961914,-9.065478324890137,21.272308349609375,-31.33298110961914,-9.065478324890137,20.921173095703125,-31.79902458190918,-9.238785743713379,20.921173095703125,-31.79902458190918,-9.238785743713379,20.754852294921875,-31.379953384399414,-8.870018005371094,20.754852294921875,-31.379953384399414,-8.870018005371094,21.049957275390625,-26.950050354003906,-7.013689041137695,21.049957275390625,-26.950050354003906,-7.013689041137695,4.429531417477565,8.712566182783348,1.0,0.0073564129668780825,1.0000000298023224,0.0,11.93,100
L-1:4,1.1775134709858917,3.1029730863316702,3.1926079993132745,5.81948790754917,9.352945804040464,26.694487310773674,27.70202811963324,19.81188314813466,15.099361834990928,2.8343932204419597,1805.31494140625,5.636981964111328,659.4114990234375,391.963623046875,384.42999267578125,1660.2811279296875,257.84149169921875,1696.7374267578125,2040.9393310546875,688.8145751953125,2831.91748046875,142.411865234375,2778.00146484375,1447.2264404296875,850.34375,1960.2127685546875,495.0108642578125,2537.315185546875,937.7661743164062,1284.3740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.885589599609375,-29.26705551147461,-8.433408737182617,21.74658203125,-33.0695915222168,-10.27664852142334,21.799072265625,-33.402496337890625,-10.232978820800781,21.928802490234375,-33.75763702392578,-10.592536926269531,21.859466552734375,-34.80087661743164,-10.925182342529297,21.859466552734375,-34.80087661743164,-10.925182342529297,21.693572998046875,-34.26608657836914,-10.918681144714355,21.693572998046875,-34.26608657836914,-10.918681144714355,21.693572998046875,-34.26608657836914,-10.918681144714355,21.8546142578125,-31.084707260131836,-9.656946182250977,8.122140890604765,23.13720871026944,1.0,0.006385918003565062,10.000000298023224,5.59,14.33,68
L-1:5,9.795345627305387,6.55749185859845,2.0917487951831446,1.7459139525785559,2.9662748770781584,1.6865767082462797,4.493197567137585,5.673166372627246,12.265555084516345,21.625753888471337,1808.4742431640625,132.58950805664062,2310.791748046875,1577.1563720703125,329.83526611328125,1642.9835205078125,128.80677795410156,1597.732666015625,1741.6546630859375,937.9815063476562,2297.363525390625,318.10064697265625,2074.791259765625,1314.1505126953125,973.97216796875,2400.784423828125,145.49273681640625,2688.7099609375,1676.568603515625,797.6963500976562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.850250244140625,-36.70146560668945,-11.319681167602539,21.850250244140625,-36.70146560668945,-11.319681167602539,21.9190673828125,-37.041221618652344,-11.605732917785645,22.107574462890625,-38.846561431884766,-12.232090950012207,22.107574462890625,-38.846561431884766,-12.232090950012207,21.939697265625,-41.008609771728516,-12.677608489990234,21.973480224609375,-40.32780456542969,-12.528095245361328,21.973480224609375,-40.32780456542969,-12.528095245361328,21.495361328125,-38.32029724121094,-11.893878936767578,21.495361328125,-38.32029724121094,-11.893878936767578,4.324261988424936,6.653291235837221,1.0,0.00612215909090909,7.000000208616257,0.0,12.93,36
L-1:6,2.159439258078017,8.964017828241568,7.407917158510381,3.221381648579078,7.572620017602044,5.0471903217780065,1.8072558059275199,5.699910775205779,4.494922689692774,8.813126055110674,2041.3778076171875,385.2284851074219,1735.0665283203125,1227.5452880859375,417.0019226074219,1333.811767578125,11.09774112701416,1510.1678466796875,1680.3375244140625,701.4625244140625,1929.1019287109375,127.64605712890625,1636.1201171875,1140.642822265625,549.171630859375,2527.59375,347.20281982421875,1773.660888671875,1760.2705078125,883.49755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43365478515625,-36.86549377441406,-11.444668769836426,22.6326904296875,-37.764732360839844,-11.819513320922852,22.6326904296875,-37.764732360839844,-11.819513320922852,22.64300537109375,-38.0892333984375,-11.780797004699707,22.73760986328125,-38.40253829956055,-11.844503402709961,22.73760986328125,-38.40253829956055,-11.844503402709961,22.806304931640625,-38.1639289855957,-11.609411239624023,22.559173583984375,-38.11157989501953,-12.286169052124023,22.58392333984375,-37.43659591674805,-11.635503768920898,22.43365478515625,-36.86549377441406,-11.444668769836426,9.486731354025126,3.9793019909196583,1.0,0.007231404958677686,3.333333432674408,0.0,14.5,0
L-1:7,3.365921812484068,7.440741712735041,3.8049282411897076,2.5749691079282337,13.744024730836594,12.506309380169359,3.515758846263964,3.7705865686998457,7.467274671900698,1.7961508179986712,2034.3438720703125,282.20819091796875,1467.073486328125,828.7112426757812,138.10256958007812,1536.200439453125,116.82848358154297,1263.332275390625,356.96978759765625,1005.3973999023438,2137.120361328125,417.07568359375,2116.502685546875,2108.024169921875,1313.7471923828125,2650.408203125,393.6861267089844,1369.8516845703125,1539.328369140625,895.7344360351562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.524017333984375,-32.28388214111328,-10.499916076660156,21.678466796875,-30.534465789794922,-9.591961860656738,21.98114013671875,-32.57469177246094,-10.147237777709961,21.98114013671875,-32.57469177246094,-10.147237777709961,21.7027587890625,-35.02385711669922,-11.563370704650879,21.493896484375,-35.345787048339844,-11.500409126281738,21.548919677734375,-34.92250442504883,-11.374160766601562,21.548919677734375,-34.92250442504883,-11.374160766601562,21.548919677734375,-34.92250442504883,-11.374160766601562,21.524017333984375,-32.28388214111328,-10.499916076660156,11.483199718521488,8.714621036418663,1.0,0.008467923920051579,1.3333333730697632,0.0,15.01,0
L-1:8,9.587459496070474,12.39032876058301,1.6084911247772946,6.974773637922295,11.49763499021575,6.150349373881464,12.323165572424706,9.068775790994774,1.5793898350708115,3.2490714515751824,2390.49462890625,365.8297424316406,2197.753662109375,1175.658935546875,905.8980712890625,2325.573486328125,232.63458251953125,2266.803466796875,1835.02001953125,1740.9500732421875,3095.113037109375,57.63028335571289,2211.251220703125,1003.6151733398438,740.8326416015625,3068.981201171875,286.5381164550781,1034.47607421875,1360.1485595703125,795.6787109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1009521484375,-31.612398147583008,-9.78296184539795,23.1009521484375,-31.612398147583008,-9.78296184539795,23.290985107421875,-32.53800582885742,-10.142935752868652,23.290985107421875,-32.53800582885742,-10.142935752868652,23.57452392578125,-34.484214782714844,-10.817549705505371,23.57452392578125,-34.484214782714844,-10.817549705505371,23.51593017578125,-34.2950325012207,-10.67032241821289,23.51593017578125,-34.2950325012207,-10.67032241821289,22.92572021484375,-34.02558135986328,-10.475621223449707,23.316162109375,-31.993738174438477,-9.880316734313965,10.7692503307076,5.437048256646309,1.0,0.005594262295081967,1.0000000298023224,7.26,12.87,0
L-1:9,6.310279741633753,3.513359258175069,4.343129743705838,6.07252128728412,4.010844655990203,1.4248268798229682,5.840831503885254,6.627494566208666,8.014768692535915,5.538356862459106,2120.0078125,195.44110107421875,1152.168212890625,414.8903503417969,513.3840942382812,1549.29736328125,557.5367431640625,1439.798095703125,1123.1134033203125,863.3804931640625,943.6761474609375,58.407527923583984,1396.2320556640625,792.5650634765625,458.9890441894531,1414.3804931640625,432.1069030761719,1777.564697265625,854.8276977539062,896.0379028320312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4488525390625,-37.270206451416016,-11.756098747253418,22.443023681640625,-36.28823471069336,-11.272794723510742,22.696319580078125,-36.74118423461914,-11.399344444274902,22.696319580078125,-36.74118423461914,-11.399344444274902,22.48956298828125,-38.37857437133789,-11.908697128295898,22.692108154296875,-38.380828857421875,-11.82707405090332,22.524505615234375,-39.260799407958984,-12.64156436920166,22.2724609375,-38.077579498291016,-12.091719627380371,22.2724609375,-38.077579498291016,-12.091719627380371,22.4488525390625,-37.270206451416016,-11.756098747253418,5.188654685072249,6.181471437786351,1.0,0.008529572836801752,2.6666667461395264,0.0,13.35,0
L-1:10,7.032423444996968,11.459522667192907,7.966391524834216,3.6281366191791387,9.46802906883637,5.01667981846788,4.231684959616879,1.9691962570000545,2.95393464915514,4.110092056721435,2215.46630859375,92.07978057861328,1651.727783203125,783.5457153320312,129.20860290527344,1539.1376953125,225.1986846923828,1889.900634765625,984.8438110351562,492.6832580566406,878.8043823242188,220.79617309570312,1094.9703369140625,374.0291748046875,348.3573913574219,1100.83154296875,549.7933349609375,1433.3118896484375,1206.4351806640625,1290.2918701171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1033935546875,-34.4338493347168,-11.020423889160156,22.1033935546875,-34.4338493347168,-11.020423889160156,22.351318359375,-36.04370880126953,-11.361152648925781,22.351318359375,-36.04370880126953,-11.361152648925781,22.70758056640625,-37.0688362121582,-11.652429580688477,22.41094970703125,-42.05804443359375,-14.17829704284668,22.005279541015625,-41.17276382446289,-13.613178253173828,21.742431640625,-40.10478591918945,-13.184348106384277,21.972625732421875,-36.850711822509766,-11.945033073425293,21.972625732421875,-36.850711822509766,-11.945033073425293,2.560100399198185,4.618519949926496,1.0,0.008965240641711229,0.0,0.0,14.37,0
