Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.7702711666602577,8.252237158504762,4.456708545221957,1.9707042568428441,4.249665063223653,8.894045248000053,6.097676339787019,1.5486149852853615,3.5714823725234406,7.196563451733955,1690.6490478515625,597.0677490234375,2054.6669921875,1051.9306640625,126.02900695800781,1658.9588623046875,1006.2594604492188,2788.996337890625,1169.594970703125,616.531982421875,2369.90771484375,275.4423828125,1646.14794921875,996.3392944335938,470.2823181152344,1462.5076904296875,639.902099609375,1403.2000732421875,2471.927978515625,2080.4580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.02549019828438759,0.027450982481241226,0.0313725508749485,0.021568628028035164,0.029411766678094864,0.0313725508749485,0.037254903465509415,0.021568628028035164,0.0313725508749485,349.39154052734375,-56.374820709228516,-2.2621986865997314,350.1789855957031,-56.314334869384766,-2.1009786128997803,350.1789855957031,-56.314334869384766,-2.1009786128997803,351.0750732421875,-56.119346618652344,-1.8445545434951782,351.0750732421875,-56.119346618652344,-1.8445545434951782,351.7447814941406,-55.62364196777344,-1.3463890552520752,351.7447814941406,-55.62364196777344,-1.3463890552520752,348.8311462402344,-56.485965728759766,-2.517177104949951,348.8311462402344,-56.485965728759766,-2.517177104949951,349.39154052734375,-56.374820709228516,-2.2621986865997314,13.215464348896223,1.7738459955733745,1.0,0.0068607954545454545,3.428571581840515,0.0,12.42,68
L-1:2,15.986804205102436,10.620330558397766,0.8104321981731917,2.459142762509492,5.313175853801756,4.134565687482334,3.443318940629817,5.174279184671109,7.721756265501025,6.54567449665847,2538.375732421875,240.1473388671875,1801.947998046875,532.8128662109375,327.0516357421875,1699.568359375,265.8740234375,1679.5716552734375,1624.8936767578125,1411.096435546875,1609.2581787109375,149.8699951171875,1690.458251953125,1307.177490234375,365.025146484375,1348.9591064453125,641.8143920898438,2111.475341796875,1253.315673828125,745.078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.021568628028035164,0.0313725508749485,0.02549019828438759,0.02549019828438759,346.8691711425781,-58.042137145996094,-2.646946907043457,346.8691711425781,-58.042137145996094,-2.646946907043457,346.9014587402344,-57.89872360229492,-2.6450867652893066,346.9014587402344,-57.89872360229492,-2.6450867652893066,346.98291015625,-57.7827033996582,-2.6798505783081055,346.9610290527344,-57.49367141723633,-2.5967111587524414,346.9610290527344,-57.49367141723633,-2.5967111587524414,346.7510070800781,-58.105438232421875,-2.6448960304260254,346.7510070800781,-58.105438232421875,-2.6448960304260254,346.8128356933594,-58.0465202331543,-2.622354745864868,10.861900289325554,4.711492194376627,1.0,0.006798756798756799,2.857142984867096,0.0,15.0,68
L-1:3,19.40080710529726,11.045977101919908,1.787447882090175,1.7822580011977056,2.643268229941404,0.9522254879263322,12.15448898083577,9.452485983105975,13.29030091726822,16.987360523252573,1547.48486328125,219.10833740234375,1159.1072998046875,257.3899841308594,289.62298583984375,1317.1053466796875,222.38975524902344,1802.64599609375,1650.254150390625,1377.1142578125,1332.1878662109375,152.04977416992188,1913.9910888671875,1472.340087890625,444.4010925292969,1404.4498291015625,452.7961120605469,1558.012939453125,2063.7001953125,1477.15576171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.03529411926865578,0.021568628028035164,0.03333333507180214,0.029411766678094864,346.2482604980469,-56.611236572265625,-0.05761202424764633,345.9366760253906,-57.040157318115234,-0.5866145491600037,348.943603515625,-56.49827194213867,0.435617059469223,348.68536376953125,-56.63750457763672,0.334489643573761,348.2384033203125,-56.617828369140625,0.35567232966423035,348.2384033203125,-56.617828369140625,0.35567232966423035,347.6278991699219,-56.54898452758789,0.3334713280200958,347.6278991699219,-56.54898452758789,0.3334713280200958,346.893310546875,-56.39694595336914,0.2747001647949219,346.2482604980469,-56.611236572265625,-0.05761202424764633,15.45537588690418,14.87770155316981,1.0,0.0074993295789755965,9.428571850061417,0.0,15.98,64
L-1:4,5.049883427600627,9.660266100228489,13.052363590775256,4.276664705779236,28.25175561186911,20.285717157470863,16.214711598751542,4.752792254414381,9.648541064545897,8.993150425508809,2443.92724609375,442.26324462890625,3009.66357421875,1715.3272705078125,86.35737609863281,1537.42529296875,629.5413818359375,1409.625732421875,466.8297424316406,590.894287109375,1975.0089111328125,83.29176330566406,1329.6407470703125,1493.95556640625,948.328125,1733.1300048828125,350.76043701171875,1294.1373291015625,1575.9149169921875,784.9717407226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.029411766678094864,0.027450982481241226,0.021568628028035164,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.02549019828438759,0.027450982481241226,0.021568628028035164,351.9852294921875,-55.938541412353516,4.0155744552612305,351.81951904296875,-55.92413330078125,3.9868650436401367,351.5911865234375,-55.956302642822266,3.9317626953125,351.5911865234375,-55.956302642822266,3.9317626953125,352.67340087890625,-56.722900390625,3.182997703552246,352.53460693359375,-56.552032470703125,3.458893299102783,352.302001953125,-56.21501159667969,3.8118841648101807,352.302001953125,-56.21501159667969,3.8118841648101807,352.1435852050781,-56.000732421875,3.9648492336273193,351.9852294921875,-55.938541412353516,4.0155744552612305,3.1233287743023976,14.955641509894974,1.0,0.006747231195200739,6.571428865194321,7.91,16.71,36
L-1:5,24.692239411707543,18.705817718550446,3.0103381941214837,7.213321486141113,4.634835205292897,4.168725230647399,4.618455645533222,16.444558372371077,15.77565413361136,16.770194883129037,1354.078857421875,210.88902282714844,1633.375,852.9705810546875,884.5609741210938,992.3856201171875,183.29904174804688,1242.3116455078125,1559.8289794921875,1314.0989990234375,1723.873779296875,41.07027053833008,1149.403076171875,973.4578857421875,274.1823425292969,1469.3328857421875,246.5946044921875,1495.141357421875,1223.0689697265625,447.1629943847656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.03333333507180214,0.037254903465509415,0.03529411926865578,0.03333333507180214,0.0313725508749485,351.0619812011719,-56.76529312133789,1.3896855115890503,350.79705810546875,-56.62668991088867,1.704963207244873,350.5091857910156,-56.51126480102539,1.9325119256973267,350.1869812011719,-56.3837890625,2.117875337600708,350.1869812011719,-56.3837890625,2.117875337600708,351.2355041503906,-57.277381896972656,0.37021923065185547,351.2698059082031,-57.074195861816406,0.7238662242889404,351.2698059082031,-57.074195861816406,0.7238662242889404,351.20208740234375,-56.9130973815918,1.0702743530273438,351.0619812011719,-56.76529312133789,1.3896855115890503,5.741991979887134,13.00843732583695,1.0,0.008380770320022657,10.571429044008255,0.0,16.91,100
L-1:6,15.590626150759755,4.736627186588242,3.882435036431671,3.663922508968307,9.772191606290493,23.896348077586445,18.72127387866269,0.7059791442125113,8.913268804426886,6.2513570315858455,2383.327880859375,110.01692199707031,1285.6661376953125,501.5537109375,122.85612487792969,300.57470703125,93.12605285644531,1231.382080078125,1211.16259765625,1063.355712890625,1175.743896484375,288.9164733886719,1539.3291015625,1678.2108154296875,132.29443359375,1701.82275390625,561.070556640625,2535.894775390625,1339.2530517578125,636.5521850585938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.027450982481241226,0.021568628028035164,0.03333333507180214,0.029411766678094864,0.037254903465509415,0.037254903465509415,0.027450982481241226,0.0313725508749485,0.029411766678094864,349.447998046875,-54.74509048461914,3.7061703205108643,349.447998046875,-54.74509048461914,3.7061703205108643,348.931640625,-55.56660079956055,2.5381224155426025,352.351318359375,-53.88725662231445,3.8704137802124023,352.351318359375,-53.88725662231445,3.8704137802124023,351.9551086425781,-53.96940994262695,4.024834156036377,351.51483154296875,-53.927215576171875,4.163156509399414,350.87158203125,-54.01286697387695,4.229913711547852,350.87158203125,-54.01286697387695,4.229913711547852,350.14599609375,-54.30967330932617,4.088033199310303,5.553464464754185,20.59128482827387,1.0,0.007819340715941283,0.2857142984867096,0.0,17.35,64
L-1:7,22.12578026617044,10.009432231302116,1.5647970260779362,5.886219296237624,5.823146505424869,4.915744397017088,5.879192083911988,3.074255621558071,16.88126559536528,15.54540269246585,2024.4881591796875,555.6068725585938,1271.9501953125,839.0596313476563,887.3720703125,1068.593017578125,708.9458618164063,2326.414794921875,1763.9798583984375,1246.5712890625,1877.04638671875,133.25877380371094,3085.531005859375,1658.5714111328125,131.91162109375,2015.4639892578125,1913.106201171875,3223.85791015625,1145.9532470703125,550.8640747070313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.03333333507180214,0.03333333507180214,0.021568628028035164,0.027450982481241226,352.63909912109375,-53.70830154418945,3.902235746383667,352.63104248046875,-53.607337951660156,3.891545534133911,352.63104248046875,-53.607337951660156,3.891545534133911,352.61370849609375,-53.55324172973633,3.874852180480957,352.6261901855469,-53.41902542114258,3.8669958114624023,352.6261901855469,-53.41902542114258,3.8669958114624023,352.60919189453125,-53.13239669799805,3.991285562515259,352.60919189453125,-53.13239669799805,3.991285562515259,352.69134521484375,-52.9708137512207,3.9620113372802734,352.69134521484375,-52.9708137512207,3.9620113372802734,18.074342840919627,7.12710610459479,1.0,0.006690739167374681,4.5714287757873535,0.0,13.5,68
L-1:8,9.235454461660622,9.24512536790302,17.997374433936695,21.9742252002447,10.038020879168096,11.92810413825423,11.939229226269791,2.2451740380187104,12.061277225235184,14.927127865211933,2480.652587890625,836.8432006835938,2582.076171875,794.5693969726563,685.2630004882813,2850.373779296875,218.03335571289063,1782.8935546875,2863.62109375,1571.5723876953125,2607.71728515625,472.7960510253906,2636.822021484375,3336.593505859375,31.076940536499023,1616.2576904296875,154.93898010253906,534.0641479492188,2195.34912109375,573.6514282226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03333333507180214,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.021568628028035164,0.027450982481241226,352.0777282714844,-56.17118835449219,1.751184105873108,352.0777282714844,-56.17118835449219,1.751184105873108,352.34521484375,-56.18911361694336,1.76607084274292,352.5673828125,-56.134521484375,1.9053928852081299,352.5673828125,-56.134521484375,1.9053928852081299,352.6479797363281,-55.70905303955078,2.2440435886383057,352.6479797363281,-55.70905303955078,2.2440435886383057,352.7042236328125,-55.37845993041992,2.5822513103485107,351.882568359375,-56.299156188964844,1.617045283317566,351.882568359375,-56.299156188964844,1.617045283317566,25.194794789874013,10.252009098742588,1.0,0.005725548164572555,1.428571492433548,4.53,13.28,36
L-1:9,7.881245092481446,1.1044936726300676,8.229644779669325,0.8733866207863535,3.0787988488218034,4.147833966054077,1.0743597330327959,6.593100606238966,10.429190357311267,8.735380600325247,1976.327392578125,411.61553955078125,1433.676513671875,742.7642211914063,619.8966064453125,1199.3863525390625,301.9209899902344,1741.071533203125,289.9328308105469,81.01201629638672,1986.8221435546875,227.40206909179688,1605.4395751953125,1501.619873046875,91.4760513305664,1598.2821044921875,1353.367431640625,2941.603271484375,1352.2447509765625,726.5794677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.003921568859368563,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.03333333507180214,351.4828186035156,-55.087158203125,3.0883169174194336,351.15533447265625,-54.94966125488281,3.189077138900757,350.7691650390625,-54.86763000488281,3.237406015396118,350.4179992675781,-54.835899353027344,3.2030086517333984,352.2052917480469,-56.13587188720703,2.1082003116607666,352.12408447265625,-55.88032913208008,2.347888708114624,351.97418212890625,-55.49940872192383,2.61361026763916,351.777587890625,-55.22509002685547,2.8688814640045166,351.777587890625,-55.22509002685547,2.8688814640045166,351.4828186035156,-55.087158203125,3.0883169174194336,10.843309377132227,12.033935931560302,1.0,0.007599293909973521,3.1428572833538055,0.0,14.76,68
L-1:10,17.75154809627373,5.978185608823918,5.671902649731761,0.8430778537811575,7.380830499944998,2.5783724750716237,1.9089882960402522,2.077680139489681,4.180425587698095,7.973285809921735,1655.7852783203125,163.18055725097656,1027.6785888671875,129.36968994140625,192.58352661132813,1133.93212890625,63.412109375,644.9736938476563,1055.0244140625,647.63916015625,1433.1031494140625,286.6552429199219,1260.2528076171875,449.9807434082031,107.35879516601563,1178.86474609375,276.3675231933594,1243.6546630859375,1093.2989501953125,353.9454040527344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03333333507180214,0.03529411926865578,0.029411766678094864,0.03333333507180214,0.03333333507180214,352.5290222167969,-51.55255889892578,6.371520042419434,352.3526611328125,-51.75883102416992,4.918351173400879,352.2418212890625,-52.04201126098633,4.712080955505371,352.2107238769531,-52.203128814697266,4.540319442749023,353.5785827636719,-51.842262268066406,4.1410932540893555,353.4298095703125,-51.69293975830078,5.595679759979248,353.2518005371094,-51.50589370727539,5.848151683807373,353.0345458984375,-51.43902587890625,6.075571537017822,352.78863525390625,-51.453495025634766,6.263326168060303,352.78863525390625,-51.453495025634766,6.263326168060303,7.544606542274135,8.81174000571049,1.0,0.01060257177033493,0.8571428954601288,0.0,20.26,32
